date,FA384104005.Q,FA154104005.Q,FA153165105.Q,FA153166000.Q,FA144104005.Q,FA104104005.Q,FA314104005.Q,FA214104005.Q,FA794104005.Q,FA264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-9240,6625,4394,2977,7166,5301,-23079,48,-447,2303
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,12721,8846,5167,3521,8653,6914,-6408,1630,15,4081
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,12435,8510,5155,3034,7407,6093,-4886,1404,2041,1212
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,15333,7850,3984,3042,2965,1583,3617,901,1316,353
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,26923,13572,7844,4573,9154,6048,-395,4592,2718,142
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q4,612605,250535,197417,-10049,-129070,-99435,338560,152580,298990,34287
1992:Q1,569502,207141,196786,6750,908,19097,362686,-1233,124473,9546
1992:Q2,504341,148989,114773,-7566,-29644,418,363349,21647,317638,50620
1992:Q3,654057,209921,184651,12790,8502,42386,379495,56140,271783,10430
1992:Q4,470201,237337,195880,24778,-26124,-2966,269543,-10554,210697,-3038
1993:Q1,535744,168539,98263,32019,66625,104489,235542,65038,300738,41543
1993:Q2,822488,243794,198151,42491,134686,150056,364575,79433,270737,57452
1993:Q3,787397,284606,170134,69031,148321,169509,273915,80554,453384,104214
1993:Q4,708699,291449,159086,102059,111720,117122,298776,6755,382310,44698
1994:Q1,601143,289602,169634,106079,229390,223865,102460,-20309,559880,-103719
1994:Q2,718846,314179,161315,134879,199343,185473,278560,-73237,361672,-7712
1994:Q3,706607,287444,146176,135987,220573,196748,204942,-6352,390845,9479
1994:Q4,732152,407622,189941,163051,218802,200662,188003,-82275,527873,43947
1995:Q1,663015,294366,151291,148865,282886,236342,147742,-61979,337851,64387
1995:Q2,983146,329121,163825,146533,300457,264158,412488,-58920,420447,62714
1995:Q3,638844,374850,164461,152485,193349,139495,125442,-54796,483192,88332
1995:Q4,428488,294184,136683,140077,190670,141939,10999,-67365,614202,85625
1996:Q1,910504,436459,254174,116789,242372,177749,253091,-21418,458853,54186
1996:Q2,916946,362539,210954,110089,309910,238093,258371,-13874,615008,45747
1996:Q3,702525,282604,164022,90309,264334,181635,191154,-35567,406427,125838
1996:Q4,535446,315003,191275,105685,170013,96903,61744,-11314,773248,116130
1997:Q1,801850,350396,238793,41808,323635,229278,106618,21201,308422,38875
1997:Q2,859973,328796,181388,73812,396476,299464,104421,30280,727696,79526
1997:Q3,1067586,390254,286946,74072,524043,417600,80033,73256,477412,115495
1997:Q4,797646,319782,153777,91456,437009,316637,-37436,78290,749174,51775
1998:Q1,1134858,436265,320122,33452,631391,459045,4715,62487,959519,107822
1998:Q2,1390362,493247,267409,165024,715138,522381,110515,71462,1080933,92429
1998:Q3,898016,361027,240549,94256,592972,411936,-119192,63209,1059908,-19083
1998:Q4,1135301,527170,380843,95696,579718,395095,-41658,70071,1024781,-30611
1999:Q1,1236136,564974,418730,121773,668539,475860,-59605,62228,1148056,15592
1999:Q2,1005190,568107,338135,115985,421340,273993,-5251,20993,1065711,-10230
1999:Q3,1212250,549129,408434,129217,695679,481385,-87779,55220,1126549,68234
1999:Q4,1133580,598472,337485,82429,492234,257479,32291,10583,1056497,26902
2000:Q1,1237177,745835,358284,123161,673439,484059,-201082,18985,851181,90490
2000:Q2,764100,512618,382254,194169,678077,438604,-400159,-26437,851556,-56489
2000:Q3,781714,627572,403073,195193,394199,240122,-283218,43162,716684,96791
2000:Q4,689569,431511,385155,193657,441677,240984,-215441,31822,1062486,97887
2001:Q1,997313,488448,453432,173966,250685,89960,131545,126634,586947,45070
2001:Q2,938328,728263,572987,126982,505368,333367,-370446,75143,898922,-46248
2001:Q3,1609225,966616,569897,87214,286225,136276,266345,90039,1422703,-101119
2001:Q4,960464,391433,429918,214074,245611,73186,193405,130015,894336,60274
2002:Q1,1138208,767535,653733,108270,221789,61721,44891,103994,722258,76593
2002:Q2,1305902,599736,572487,130886,150137,-8319,415603,140426,679599,87843
2002:Q3,1482358,808110,747708,94802,136841,-17406,389274,148133,789955,10864
2002:Q4,1584107,930174,844183,86762,189691,33044,278596,185646,1085181,73733
2003:Q1,1284539,913736,714068,117060,79678,-3716,183102,108023,1158124,-89586
2003:Q2,2321641,1421248,915572,128920,62240,-4399,661962,176191,1280951,81559
2003:Q3,1727976,948375,951909,95964,228358,159944,456120,95123,1037261,-114684
2003:Q4,1455249,969231,897699,81756,1572,-79192,381645,102802,1165815,188756
2004:Q1,1813293,909249,729562,131741,482599,203159,255924,165521,957728,110634
2004:Q2,2375890,1177169,1009466,75377,293178,54862,677255,228287,936348,-29126
2004:Q3,2024284,951229,897884,130933,508541,261051,368579,195935,891675,179873
2004:Q4,2397408,1386407,1083556,130693,560014,309405,309633,141353,1325649,105455
2005:Q1,2156558,954566,877348,113566,589585,274865,408101,204307,940717,60068
2005:Q2,2519376,1281996,1117954,112290,632527,293730,427985,176867,1242055,125884
2005:Q3,2161129,1267820,1113602,96954,503549,156769,220580,169181,603518,79794
2005:Q4,2384817,1187502,1140252,78934,757919,404028,330803,108593,1635339,131149
2006:Q1,2714454,1409286,1171152,78986,876376,468102,424238,4554,1556852,153094
2006:Q2,2818708,1498156,1241819,114821,856220,434938,315094,149238,1677491,287311
2006:Q3,1899176,1142130,929010,124000,589299,176372,15930,151817,1000477,345007
2006:Q4,2328574,1063052,645875,162621,983276,568532,121330,160916,1574180,351459
2007:Q1,2515047,826993,731255,110870,971301,501909,486257,230496,1785690,223018
2007:Q2,2788040,1251999,872336,138751,1252481,790225,55000,228560,1850200,415761
2007:Q3,2473921,833137,751020,181309,1287894,823250,220228,132662,2554446,192389
2007:Q4,2311967,784330,479581,169925,1097840,630074,320083,109714,1885357,176664
2008:Q1,2370961,752926,364198,144508,849369,500293,674976,93689,1572244,-104820
2008:Q2,1174406,-71411,111377,67224,830446,475925,338980,76391,853472,-5734
2008:Q3,3159619,564175,47469,-20082,597040,304735,1974367,24037,1267424,-507654
2008:Q4,1286036,-1058321,-164140,-54401,153545,-151403,2221685,-30873,-804140,-194444
2009:Q1,1451021,-32146,210502,-83844,-301402,-260372,1642739,141831,-2104397,115576
2009:Q2,1758047,103577,131799,-148610,-374151,-265868,1859587,169034,-1974840,230975
2009:Q3,1166446,58948,-19296,-59524,-534905,-414333,1543146,99258,-1548889,179314
2009:Q4,819689,119145,58336,-86311,-436049,-315716,977840,158753,-1379686,383998
2010:Q1,1183072,-290307,-300472,-88259,-277342,-237176,1653678,97044,-294035,218078
2010:Q2,1725653,-42707,-50349,-72542,-256480,-236098,1999951,24890,-897697,-74106
2010:Q3,1676879,-237636,-219111,14711,177693,184546,1685984,50838,-779431,260883
2010:Q4,1560339,65063,-54759,33478,66021,75955,1244059,185197,-711537,347822
2011:Q1,982865,236972,30396,100880,50220,106399,785270,-89596,-189088,333999
2011:Q2,1324074,-46142,-65522,84228,358414,424561,1100128,-88326,-412139,385716
2011:Q3,1884758,-68078,-136179,107889,324744,394037,1614296,13796,-612883,-122581
2011:Q4,1522446,32831,-51527,144658,401282,442583,1055058,33275,-667142,50297
2012:Q1,1844019,114920,-86964,141364,381648,214136,1341436,6015,-171041,-59601
2012:Q2,2113357,31448,-88931,161139,465722,280701,1532157,84030,-752008,147768
2012:Q3,1754410,-1869,-159665,143756,713941,539420,1032769,9569,524174,340402
2012:Q4,1618434,-17551,-90400,188461,919972,743367,815950,-99938,-356899,388742
2013:Q1,1744599,230059,-45769,200968,277855,184112,1227774,8911,261605,361251
2013:Q2,1166784,154017,-49799,151156,660386,546418,420908,-68527,-53807,144787
2013:Q3,1472199,121198,15424,179702,793898,685368,619242,-62137,-190281,249518
2013:Q4,2551748,697965,-14832,178425,585102,464141,1161272,107409,838697,224665
2014:Q1,1955653,307531,-33334,240917,780519,508051,874342,-6740,18060,160790
2014:Q2,1605294,261430,-30561,236811,737430,459845,666144,-59710,112549,511136
2014:Q3,1257725,-188172,-24087,220807,797653,513625,884752,-236507,620772,149891
2014:Q4,1770933,216661,70583,177754,1003258,698667,518470,32545,369255,202147
2015:Q1,1538148,300371,15506,233961,951610,722359,216081,70086,5252,115669
2015:Q2,2465862,482546,157846,258668,1124657,869221,841148,17511,353679,79071
2015:Q3,1405099,324137,114281,250548,755578,494478,302191,23193,259512,-243367
2015:Q4,2552522,311521,145255,190766,741978,482124,1538868,-39846,196773,-34632
2016:Q1,2493275,426202,134569,263909,1153795,777826,871154,42124,660617,-128073
2016:Q2,2111475,478798,182067,231239,593986,202889,962268,76423,464860,43689
2016:Q3,2171004,515820,202262,249490,718328,335148,903730,33126,444967,-5237
2016:Q4,1222104,336758,225606,200212,266111,-136888,633508,-14273,-76464,248269
2017:Q1,1261841,574764,317326,195498,860288,404540,-105796,-67415,346740,305219
2017:Q2,2384020,576993,265785,174824,993328,531392,827851,-14152,495253,240785
2017:Q3,2263257,441594,264290,177068,822083,359550,1011913,-12333,646179,267501
2017:Q4,2282776,692468,297247,229873,832844,357567,660624,96840,-154804,671019
2018:Q1,2862713,536941,271174,181215,685508,404298,1723662,-83399,213737,393997
2018:Q2,2182266,462191,311002,121817,488198,201745,1224085,7791,106412,223416
2018:Q3,2300504,492260,317645,190291,769223,468163,1027498,11524,297802,259149
2018:Q4,2153099,434365,251539,197426,745259,441982,1057102,-83628,413588,100822
2019:Q1,2282876,381836,237180,179704,1043115,928902,923147,-65222,279514,-189785
2019:Q2,2025940,652923,331431,168096,672988,557515,754842,-54813,527632,362780
2019:Q3,3465542,584376,315786,209338,950519,848869,1904572,26075,672163,73306
2019:Q4,2167935,567578,257551,183459,385486,262384,1116927,97944,134318,37114
2020:Q1,5728999,556772,293866,36838,3376563,3039359,1762754,32909,4612251,-386612
2020:Q2,15337902,-76426,262910,-275432,2714264,1895862,12586159,113905,-1857361,186463
2020:Q3,2813617,891488,559839,109157,49432,-416760,1691939,180758,-1172,28630
2020:Q4,3511768,927991,483513,81282,241009,-241852,2283793,58976,1094118,585591
2021:Q1,3045311,983754,560120,162398,877099,495914,1075628,108830,1004247,984479
2021:Q2,4546463,1274323,851552,293923,490462,311887,2677465,104213,861369,379065
2021:Q3,2258561,1249819,853462,231353,891598,676552,18947,98198,867872,935086
2021:Q4,5657698,1361042,895026,263576,1360114,662376,2961655,-25113,732832,235593
2022:Q1,5475322,1491026,1041178,345520,1475261,904794,2586274,-77238,2283364,483326
2022:Q2,4223211,1367344,1043369,401159,1357819,781876,1443099,54950,1188127,406624
2022:Q3,3072873,1159662,788420,314166,824743,341620,1101168,-12700,1066089,494914
2022:Q4,2119197,559263,413041,322034,667694,140466,1057028,-164788,1860796,-158124
2023:Q1,2605522,451855,351626,200353,917248,641850,1195311,41107,2368474,130560
2023:Q2,4440267,585657,379278,164239,322029,196151,3440382,92199,-1230951,221613
2023:Q3,3835511,599610,462643,19079,272588,151956,2968263,-4949,-454918,129994
2023:Q4,3401960,431047,273352,136759,128203,-4900,2877783,-35073,752534,163265
2024:Q1,3369666,598842,286759,100603,841646,696132,1827921,101257,376121,216916
2024:Q2,3491466,583033,433175,57138,821434,649071,1887769,199231,52905,626465
2024:Q3,3602405,588697,429985,121232,614221,446373,2261003,138485,1665650,163205
2024:Q4,3404160,679603,341262,123345,165911,-75897,2602942,-44297,134321,300483
2025:Q1,2162155,374461,311090,66887,1023372,866254,617687,146635,1229530,621625
