date,FL893065603.Q,FL183165603.Q,FL233165605.Q,FL893065603.Q,FL153065605.Q,FL113065603.Q,FL313065605.Q,FL213065603.Q,FL763065633.Q,FL753065603.Q,FL473065603.Q,FL543065633.Q,FL223065643.Q,FL403065605.Q,FL413065605.Q
1945:Q4,4760,98,4662,4760,1955,0,467,0,524,0,0,776,3,1035,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4897,100,4797,4897,2080,0,357,0,704,0,0,795,2,959,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5064,104,4960,5064,2149,0,307,0,824,0,0,895,2,887,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5288,108,5180,5288,2276,0,266,4,874,0,0,990,2,872,4
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,5579,114,5465,5579,2355,0,253,10,909,0,0,1138,2,905,7
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,6071,124,5947,6071,2513,0,260,16,968,0,0,1327,3,952,32
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6651,135,6516,6651,2789,0,250,23,1004,0,0,1527,5,1010,43
1952:Q1,6814,143,6671,6814,2799,0,300,33,1030,0,0,1574,5,1028,45
1952:Q2,7021,152,6869,7021,2880,0,309,38,1063,0,0,1632,6,1046,47
1952:Q3,7134,155,6979,7134,2915,0,320,44,1060,0,0,1671,6,1068,50
1952:Q4,7236,154,7082,7236,2943,0,330,49,1058,0,0,1705,7,1091,53
1953:Q1,7396,165,7231,7396,3000,0,335,54,1080,0,0,1751,7,1114,55
1953:Q2,7587,171,7416,7587,3070,0,340,60,1104,0,0,1814,7,1136,56
1953:Q3,7667,171,7496,7667,3089,0,346,66,1090,0,0,1853,7,1158,58
1953:Q4,7737,171,7566,7737,3098,0,352,72,1082,0,0,1886,7,1180,60
1954:Q1,7916,180,7736,7916,3169,0,354,78,1100,0,0,1935,8,1211,61
1954:Q2,8116,187,7929,8116,3234,0,356,84,1140,0,0,1989,9,1242,62
1954:Q3,8187,191,7996,8187,3219,0,367,90,1150,0,0,2021,8,1262,70
1954:Q4,8246,193,8053,8246,3196,0,378,97,1159,0,0,2048,9,1281,78
1955:Q1,8472,207,8265,8472,3334,0,288,103,1205,0,0,2102,10,1344,86
1955:Q2,8707,221,8486,8707,3361,0,283,109,1263,0,0,2178,10,1408,95
1955:Q3,8866,228,8638,8866,3390,0,280,114,1280,0,0,2233,11,1453,105
1955:Q4,9022,224,8798,9022,3429,0,280,118,1297,0,0,2273,12,1497,116
1956:Q1,9291,245,9046,9291,3527,0,281,121,1320,0,0,2336,12,1567,127
1956:Q2,9589,258,9331,9589,3632,0,282,123,1353,0,0,2410,13,1638,138
1956:Q3,9759,261,9498,9759,3675,0,290,125,1358,0,0,2466,13,1689,143
1956:Q4,9835,260,9575,9835,3691,0,296,127,1336,0,0,2481,14,1741,149
1957:Q1,10033,262,9771,10033,3759,0,319,129,1350,0,0,2501,14,1804,157
1957:Q2,10231,260,9971,10231,3823,0,312,130,1370,0,0,2546,16,1868,166
1957:Q3,10348,267,10081,10348,3858,0,335,132,1375,0,0,2569,16,1893,170
1957:Q4,10397,290,10107,10397,3856,0,349,134,1367,0,0,2584,17,1917,173
1958:Q1,10524,279,10245,10524,3898,0,350,137,1395,0,0,2599,18,1952,175
1958:Q2,10754,288,10466,10754,3994,0,364,140,1440,0,0,2631,21,1987,177
1958:Q3,10957,307,10650,10957,4077,0,378,143,1461,0,0,2656,22,2037,183
1958:Q4,11109,329,10780,11109,4129,0,397,146,1471,0,0,2667,22,2087,190
1959:Q1,11357,344,11013,11357,4207,0,412,149,1505,0,0,2692,24,2173,195
1959:Q2,11744,367,11377,11744,4355,0,425,151,1570,0,0,2756,26,2260,201
1959:Q3,11948,383,11565,11948,4431,0,443,153,1585,0,0,2796,28,2310,202
1959:Q4,12101,385,11716,12101,4489,0,448,156,1588,0,0,2827,30,2360,203
1960:Q1,12271,407,11864,12271,4540,0,461,159,1591,0,0,2859,33,2424,204
1960:Q2,12559,422,12137,12559,4647,0,464,161,1646,0,0,2912,36,2487,206
1960:Q3,12697,428,12269,12697,4694,0,482,164,1643,0,0,2946,39,2525,204
1960:Q4,12838,439,12399,12838,4737,0,496,168,1648,0,0,2982,42,2564,201
1961:Q1,13063,447,12616,13063,4811,0,506,173,1677,0,0,3005,45,2646,200
1961:Q2,13437,465,12972,13437,4961,0,529,179,1716,0,0,3079,48,2728,197
1961:Q3,13737,485,13252,13737,5024,0,589,186,1740,0,0,3128,52,2778,240
1961:Q4,13917,502,13415,13917,5000,0,638,194,1747,0,0,3170,54,2828,286
1962:Q1,14222,511,13711,14222,5099,0,628,204,1816,0,0,3212,58,2898,307
1962:Q2,14674,527,14147,14674,5272,0,615,217,1927,0,0,3286,59,2968,330
1962:Q3,14944,544,14400,14944,5321,0,633,229,1978,0,0,3346,61,3010,366
1962:Q4,15193,574,14619,15193,5390,0,625,235,2022,0,0,3400,64,3052,405
1963:Q1,15561,586,14975,15561,5449,0,649,236,2127,0,0,3464,67,3125,444
1963:Q2,16151,622,15529,16151,5684,0,649,232,2241,0,0,3592,70,3198,485
1963:Q3,16573,655,15918,16573,5851,0,661,227,2302,0,0,3713,71,3253,495
1963:Q4,16822,667,16155,16822,5922,0,668,222,2327,0,0,3792,73,3309,509
1964:Q1,17334,712,16622,17334,6062,0,694,222,2412,0,0,3921,78,3413,532
1964:Q2,18068,750,17318,18068,6331,0,712,223,2558,0,0,4086,83,3516,559
1964:Q3,18536,769,17767,18536,6510,0,711,224,2620,0,0,4197,87,3617,570
1964:Q4,18942,783,18159,18942,6680,0,707,223,2638,0,0,4304,91,3718,581
1965:Q1,19474,819,18655,19474,6803,0,730,223,2688,0,0,4425,97,3888,620
1965:Q2,20184,861,19323,20184,7011,0,756,223,2794,0,0,4578,104,4058,660
1965:Q3,20697,892,19805,20697,7197,0,771,223,2853,0,0,4688,110,4170,685
1965:Q4,21187,909,20278,21187,7335,0,787,223,2911,0,0,4823,116,4281,711
1966:Q1,21697,943,20754,21697,7356,0,799,224,2988,0,0,4968,123,4503,736
1966:Q2,22321,969,21352,22321,7498,0,786,227,3028,0,0,5165,131,4725,761
1966:Q3,22775,994,21781,22775,7612,0,813,229,3109,0,0,5227,139,4841,805
1966:Q4,23052,1027,22025,23052,7644,0,872,230,3113,0,0,5240,145,4958,850
1967:Q1,23440,1049,22391,23440,7815,0,814,230,3123,0,0,5274,153,5131,900
1967:Q2,23993,1097,22896,23993,7977,0,796,227,3199,0,0,5377,161,5304,952
1967:Q3,24546,1140,23406,24546,8166,0,816,225,3268,0,0,5463,163,5456,989
1967:Q4,25017,1149,23868,25017,8295,0,811,221,3321,0,0,5569,165,5609,1026
1968:Q1,25623,1220,24403,25623,8500,0,825,224,3416,0,0,5621,173,5793,1071
1968:Q2,26387,1269,25118,26387,8745,0,830,230,3581,0,0,5731,180,5973,1117
1968:Q3,26836,1287,25549,26836,9021,0,876,237,3557,0,0,5775,181,6064,1125
1968:Q4,27177,1297,25880,27177,9232,0,923,242,3538,0,0,5803,182,6126,1131
1969:Q1,27647,1320,26327,27647,9329,0,979,245,3662,0,0,5785,185,6317,1145
1969:Q2,28342,1354,26988,28342,9436,0,1037,245,3873,0,0,5849,189,6557,1156
1969:Q3,28752,1384,27368,28752,9573,0,981,247,3883,0,0,5865,272,6676,1255
1969:Q4,28995,1426,27569,28995,9888,0,924,255,3831,0,0,5773,254,6714,1356
1970:Q1,29592,1448,28144,29592,10139,0,873,320,4038,0,0,5675,236,6833,1478
1970:Q2,29922,1473,28449,29922,10263,0,915,323,4054,0,0,5670,194,6995,1508
1970:Q3,30241,1511,28730,30241,10278,0,844,329,4250,0,0,5667,184,7101,1588
1970:Q4,30492,1542,28950,30492,10337,0,773,338,4351,0,0,5649,190,7187,1667
1971:Q1,30823,1574,29249,30823,10411,0,723,342,4486,0,0,5545,171,7347,1798
1971:Q2,31786,1636,30150,31786,11524,0,667,350,3999,0,0,5564,169,7579,1934
1971:Q3,32115,1656,30459,32115,11458,0,590,364,4156,0,0,5594,176,7767,2010
1971:Q4,32381,1665,30716,32381,11497,0,513,381,4205,0,0,5601,171,7917,2096
1972:Q1,33096,1699,31397,33096,11812,0,481,391,4324,0,0,5535,160,8139,2254
1972:Q2,34109,1739,32370,34109,12241,0,432,404,4547,0,0,5582,160,8430,2313
1972:Q3,34855,1781,33074,34855,12461,0,429,413,4657,0,0,5617,167,8745,2366
1972:Q4,35361,1857,33504,35361,12339,0,391,425,4781,0,0,5678,209,9094,2444
1973:Q1,36490,1884,34606,36490,12722,3,453,429,4970,0,0,5643,268,9567,2435
1973:Q2,37961,1981,35980,37961,13232,6,351,433,5240,0,0,5737,286,10077,2599
