date,FU266905095.A,FU266903001.A,FU266904195.A,FU266400101.A,FU266900095.A,FU266903011.A,FU266904095.A,FU266400201.A,FU266000095.A,FU266000095.A,FU265440005.A,FU265420095.A,FU265000905.A,FU265000905.A,FU264090005.A,FU263011105.A,FU263011205.A,FU313111303.A,FU264000005.A,FU263025003.A,FU263027003.A,FU264016005.A,FU263030005.A,FU264022005.A,FU263069103.A,FU263061105.A,FU263061705.A,FU263062003.A,FU263063005.A,FU264035005.A,FU264041005.A,FU262051005.A,FU263069005.A,FU263092305.A,FU263081005.A,FU263034003.A,FU263064105.A,FU263064203.A,FU263092101.A,FU263052005.A,FU263076005.A,FU543141905.A,FU543151905.A,FU263096005.A,FU264194005.A,FU313011303.A,FU264100005.A,FU264116005.A,FU263130505.A,FU264122005.A,FU263169105.A,FU263163005.A,FU264135005.A,FU264141005.A,FU262151005.A,FU263169005.A,FU263168005.A,FU263192305.A,FU263181105.A,FU263164100.A,FU313092803.A,FU263192101.A,FU263152005.A,FU263196005.A,FU263170005.A,FU263194735.A,FU265000005.A,FV268090185.A,FV268090085.A,FU267005085.A,FR264090005.A,FR263011105.A,FR264000005.A,FR264022005.A,FR263069103.A,FR263061105.A,FR263061705.A,FR263062003.A,FR263063005.A,FR263092305.A,FR263081005.A,FR263064105.A,FR263064203.A,FR263092101.A,FR263096005.A,FR264194005.A,FR313011303.A,FR264100005.A,FR264116005.A,FR263130505.A,FR263163005.A,FR264135005.A,FR264141005.A,FR263192305.A,FR263181105.A,FR263164100.A,FR263192101.A,FR263152005.A,FR263196005.A,FR265000005.A,FC262090095.A,FL264090005.A,FL313111303.A,FL264000005.A,FL263025003.A,FL263027003.A,FL264016005.A,FL263030005.A,FL264022005.A,LM263069103.A,LM263061105.A,LM263061705.A,LM263062003.A,LM263063005.A,FL264035005.A,FL264041005.A,FL262051005.A,FL263069005.A,FL263092305.A,FL263081005.A,FL263034003.A,LM263064105.A,LM263064203.A,LM263092101.A,FL263052005.A,FL263076005.A,FL543141905.A,FL543151905.A,LM263096005.A,FL262100005.A,FL264194005.A,FL313011303.A,FL264100005.A,FL264116005.A,LM263130505.A,FL264122005.A,FL263169105.A,LM263163005.A,FL264135005.A,FL264141005.A,FL262151005.A,FL263169005.A,FL263168005.A,FL263192305.A,FL263181105.A,LM263164100.A,FL313092803.A,LM263192101.A,FL263152005.A,LM263196005.A,LM263170005.A,FL263194735.A,FL262090095.A
2002,1846006,1437724,290018,118264,1390564,997979,335811,56774,455441,455441,-4229,46,459625,459625,742887,0,-0,0,82863,18861,-581,48616,15967,432767,18106,160869,127071,3500,123221,32224,54781,40154,14627,-22557,162582,1123,61491,-8547,108515,2039,2000,29,10,30412,331339,475,53729,29962,23767,62578,39753,22825,50342,23860,24180,-2325,2005,26482,145757,16954,1391,127412,16439,2019,2019,0,411547,-197320,-149243,48077,-842060,504,-123,72949,1992,29421,9551,0,31985,-8375,-907016,-273521,-17435,-616061,1,-676699,917,1493,19,1474,19470,4069,4096,-27,-701860,-255647,-446208,0,-788,-165361,96943,8413585,6661,1308648,248061,25333,814910,220344,3197795,128547,1285498,637478,11500,1134772,748542,385277,211225,174052,363265,2994344,16259,1229421,90112,1658552,11497,11200,215,82,146098,8413585,6473327,12166,1723604,774395,949210,829254,186228,643026,472430,289952,164780,43836,81336,182478,3252941,1373980,38851,1840110,139775,43156,43156,0,1940258
2003,2006161,1557120,318909,130132,1478526,1035165,377406,65956,527635,527635,-8877,73,536439,536439,856818,0,-0,0,93273,10591,4008,72707,5967,519564,2114,276386,12264,8000,220800,88444,132401,133034,-633,-43957,147451,2561,18307,13114,113469,2354,2300,39,15,5732,525443,-601,139272,96863,42409,19893,196,19697,68381,74990,78371,2631,-6012,-6609,273533,118002,1303,154228,16804,8162,3292,4870,331375,-333062,-127999,205063,805706,620,797,33697,1661,-25192,6668,0,50560,-972,771245,385495,21230,364522,319,1199052,1073,6885,1763,5123,43002,5607,784,4823,1141537,587440,554094,0,948,-393346,-189970,10088204,7281,1318289,258652,4247,887617,167773,3672414,133122,1513524,661110,19500,1345158,986014,667678,494259,173419,318336,3976050,18820,1696233,124456,2136541,13851,13500,254,97,114305,10088204,8337916,12638,1864021,873021,991001,1033783,94424,939359,546418,365726,243935,46467,75324,180692,4668011,2079422,40154,2548435,156579,56466,47396,9070,1750288
2004,2343365,1810504,387983,144878,1705597,1176363,464696,64538,637768,637768,-4631,27,642373,642373,1338990,0,-0,0,126945,13301,9086,81758,22800,803959,16460,366888,154580,6500,259531,171616,168084,190493,-22409,3532,209986,4054,47007,10726,148199,62,-31,67,26,26422,931669,398,288618,138162,150456,102043,-6472,108515,158020,137982,148316,-7820,-2514,20038,378661,84753,1852,292056,13283,-9354,-3882,-5472,407321,-257796,-22744,235052,300690,328,940,5859,164,-20566,1069,0,25192,-3202,296540,169533,13030,113978,225,747801,546,566,-928,1494,28516,-8344,135,-8479,726297,396243,330056,0,220,-447111,-62534,11742824,7609,1457594,271953,13333,969375,202933,4449618,137746,1813553,861677,26000,1610642,1154428,835762,684752,151010,318666,4521976,22874,1952173,148212,2398717,13913,13469,321,123,137686,11742824,10055070,13582,2185749,1010255,1175494,1169482,87952,1081530,696094,503843,392386,38647,72810,192251,5772969,2560418,42006,3170545,169862,47332,43734,3598,1687754
2005,2692046,2041483,494469,156095,1940869,1301580,569269,70021,751177,751177,602,86,750489,750489,1249245,0,-0,0,179491,8447,6416,144053,20575,737176,20792,245140,139789,3000,328455,90961,90783,41359,49424,178,205735,84,83042,6132,116477,5651,5330,258,63,30231,521173,-4511,168705,156916,11790,93753,-921,94674,-16946,-1561,-7033,-6836,12308,-15385,230108,186684,1138,42286,36348,13716,2634,11082,728072,-182275,-159858,22417,-92443,-606,-1587,-141817,-425,-29186,-25790,0,-86416,15430,36461,59001,8958,-31497,-324,657223,-861,-11674,-3418,-8257,-46011,11316,-512,11828,704896,468425,236470,2,-445,-749666,-181452,12856213,7003,1636801,280400,19749,1113428,223224,4980153,156813,1984391,1006143,29000,1803806,1260819,926545,726111,200434,334274,4787709,22958,2117753,163302,2483696,19564,18799,579,186,164164,12856213,11349911,8210,2347786,1163753,1184033,1226485,87031,1139454,690464,501770,384841,31811,85118,188694,6810151,3317705,43144,3449302,206212,60603,45923,14680,1506302
2006,3067003,2256623,656161,154219,2247696,1470170,702621,74905,819307,819307,-7643,-73,827023,827023,1694017,0,-0,0,252209,2227,9186,206815,33981,968710,54934,150334,217097,5364,540981,152627,93620,59734,33886,59007,333800,4061,119030,22390,188319,-1961,-2478,388,129,-11368,1089579,223,364489,187210,177280,277551,18859,258692,41308,62697,56030,-7326,13993,-21389,393322,137331,1939,254052,2428,10258,3576,6682,604438,-54488,168097,222585,557826,368,-3,-1277,1564,-17846,-48552,0,63557,4241,554225,309938,20771,223516,272,1485477,437,4256,662,3595,6332,9191,454,8737,1464871,873924,590947,94,296,-927651,-155116,15418579,7371,1889008,282627,28935,1320243,257203,5985418,213311,2126178,1258233,34364,2353332,1678687,1281165,1046845,234320,397522,5687424,27019,2558411,206463,2895531,17603,16321,967,315,153068,15418579,14067393,8870,2714084,1351624,1362460,1525241,105890,1419351,870963,694921,571325,24485,99111,176042,8668344,4328960,45083,4294301,208734,71157,49795,21362,1351186
2007,3325237,2395228,754520,175489,2584377,1659295,850184,74898,740860,740860,-6851,500,747210,747210,1771055,0,-0,0,198507,-10675,5240,167283,36659,856562,16514,165277,239483,10700,424588,180979,150231,72626,77605,30748,472583,18957,243987,12673,196966,320,-203,468,55,62104,1600763,154,613691,319946,293746,235061,-1729,236790,122917,140256,123359,-3173,20070,-17339,571690,147781,1581,422328,13187,44063,10568,33495,170292,-543888,33030,576918,306558,371,69,144686,1433,75707,42961,0,24585,25524,135554,117998,12540,5015,354,1221688,452,6350,943,5408,43086,25804,484,25320,1145588,771249,374339,92,316,-915130,-711808,17547738,7742,2092588,271952,34175,1487526,298935,6999605,226258,2376442,1576815,45064,2775026,1885190,1431396,1119471,311925,453794,6329164,45976,2953999,231676,3097513,17923,16118,1435,370,215526,17547738,16908360,9476,3325331,1672512,1652819,1859198,104161,1755037,991184,807161,686168,21312,99681,184023,10385622,5247990,46664,5090968,222013,115536,60679,54857,639378
2008,3484113,2576151,710009,197953,2779880,1835281,855223,89376,704233,704233,-779,7,705005,705005,624902,0,-0,0,309813,29187,34819,172362,73445,404680,-59038,711596,-231928,5896,-21846,-638148,-653381,-629667,-23714,15233,430022,23703,125407,-22305,303217,2148,454,1234,460,116387,-120595,106,130737,457967,-327230,-211438,-12884,-198554,-405357,-374308,-382583,-1401,9676,-31049,314747,-38550,1306,351991,34141,16469,-1526,17995,745497,50749,10257,-40492,-2763578,-195,54,-152621,-1769,166934,76165,0,-393951,16911,-2626245,-1149547,-76476,-1400222,-1482,-5134150,-242,-7274,-194,-7080,-173345,24114,2817,21297,-4975824,-2461012,-2514811,-1308,-271,2370572,3126326,15507367,7547,2402450,301139,68994,1659888,372429,7255474,165451,3252974,1402180,50960,2383909,1358453,872515,584304,288211,485938,4132941,69679,1929859,132895,2000508,20071,16572,2669,830,330431,15507367,11741663,9340,3451304,2130285,1321020,1456264,91277,1364987,713630,539359,410402,19600,109357,174271,5724545,2748428,47970,2928147,254846,131734,58882,72852,3765704
2009,2745251,2001927,539014,204311,2362144,1582774,689256,90115,383107,383107,-6299,-2,389408,389408,415465,47598,-0,47598,-64924,12632,-21812,17546,-73290,160447,-48403,554440,-226011,7695,-127274,-94290,-96268,-54788,-41480,1978,375063,7196,192896,19211,155760,3409,1774,1497,138,-11838,284753,48230,-449459,-409034,-40426,237060,64811,172249,124821,76496,86090,496,-10090,48325,326191,63696,1567,260928,-6250,4160,733,3427,130712,-253762,4934,258696,990931,219,1547,71074,-1390,-138419,-47633,0,258516,-6358,923578,534671,31274,357633,871,2273401,244,2399,620,1780,179378,-672,-3019,2347,2091275,1183171,908103,634,143,-1282470,-1146824,16886205,55364,2337575,313771,47182,1677434,299188,7479935,117157,3670597,1150004,58655,2483522,1238805,757247,510516,246731,481558,5431582,76875,2657426,183380,2513901,23480,18346,4166,968,319464,16886205,14267325,57814,3004936,1721871,1283066,1872566,156088,1716478,804731,579788,459973,20548,99267,224943,8142011,3995295,49537,4097179,249230,136037,59758,76279,2618880
2010,3153840,2389555,554336,209949,2714054,1857247,759969,96838,439787,439787,-7404,-13,447203,447203,1097528,0,-0,0,53094,28319,1178,18746,4851,639381,-10731,740353,-66559,13081,-36763,9634,6931,92352,-85421,2703,386795,-7110,129581,56482,207842,4980,3211,1486,283,3644,866980,31,113282,40401,72882,125128,17091,108037,229032,270993,207952,1578,61463,-41961,419351,79150,1906,338295,-20484,640,4981,-4341,230548,-506740,-290085,216655,812171,-977,1870,145516,-1997,58247,22969,0,66297,10279,655145,426457,22678,206010,338,803876,-1021,-5252,171,-5423,49068,5492,-263,5755,755330,569954,185378,302,-43,8295,-51242,18784978,54387,2394844,342090,48360,1696180,308214,8251601,102123,4458824,1095811,71736,2523107,1258718,764178,602868,161310,494540,6473522,69765,3213464,262540,2927753,28460,21557,5652,1251,323446,18784978,16217340,56824,3092146,1762442,1329705,2101320,173179,1928141,1028829,840092,668662,22126,149304,188737,9572539,4900246,51443,4620850,229048,136634,64696,71938,2567638
2011,3510132,2695481,589937,224715,3049796,2115864,827869,106064,460336,460336,-9458,-8,469802,469802,904025,0,-0,0,205848,54996,26836,76712,47304,203585,742,355277,-41553,634,-111515,202590,151572,92622,58950,51018,314495,4594,43264,75499,191138,10647,9261,822,564,-33140,468035,-1752,-235408,-38566,-196842,127614,-21984,149598,148207,130678,96434,2378,31866,17529,406417,6950,1724,397743,-10670,33627,5777,27850,435990,16100,49911,33812,-6488,-168,104,224480,-156,166827,32428,0,25381,-15194,-215608,-54856,-10223,-150530,-102,-1335965,-116,9930,2349,7581,17044,-16964,-4973,-11991,-1345811,-647270,-698542,-54,6,1329477,1815378,19993462,54219,2600797,397086,75196,1772892,355623,8748658,102709,5004354,1078186,72370,2491039,1450214,919850,699590,220260,530364,6810263,74359,3397174,370368,2968362,39107,30818,6474,1815,290204,19993462,15610446,54956,2838482,1726225,1112258,2283706,151195,2132511,1170054,975779,764723,24504,186552,194275,8874657,4501438,53167,4320052,218324,170267,70479,99788,4383016
2012,3585773,2769318,594681,221774,3161770,2217700,827372,116699,424003,424003,607,-84,423480,423480,602704,0,-0,0,-193929,57141,11146,-300258,38042,495917,108,589747,-73607,-594,-19737,-127376,-127424,-7234,-120190,48,450485,22564,136866,79636,211419,4036,1516,1546,974,-26429,281035,37,-398033,-254680,-143353,155631,42305,113326,101841,84705,36008,8288,40409,17136,427361,103974,2159,321228,4597,-10399,3277,-13676,321669,17513,119324,101811,675376,58,-171,105830,-42,-22498,-1273,2551,127092,-30450,599834,318331,45441,236062,275,1191065,57,6132,-964,7096,137477,28883,1316,27567,1018315,675700,342615,263,-63,-515689,-74696,21386714,54277,2406860,454227,86342,1472634,393657,9364792,102775,5571482,1001204,74327,2615004,1292388,792426,692356,100070,499962,7961204,96923,3952993,495445,3415843,43143,32334,8020,2789,264050,21386714,17078394,55050,2439324,1470705,968620,2537173,179089,2358084,1302780,1063802,802047,32812,228943,238978,10361078,5321857,55326,4983895,223184,159805,73693,86112,4308320
2013,3617224,2766376,616936,233913,3266038,2287922,847173,130943,351187,351187,-6954,-15,358155,358155,1014806,0,-0,0,292949,37713,13047,190686,51503,553566,-850,423194,-83616,4460,210378,22552,17048,34140,-17092,5504,149127,9234,-54880,-16996,211769,-1251,3718,-4132,-837,-2137,757195,22,-59066,-86761,27695,182811,23519,159292,-59076,-46308,-108552,1744,60500,-12768,624169,287433,2030,334706,-1183,69518,9459,60059,257611,111279,211823,100544,1745084,109,1660,-382043,-592,-215519,-32625,-5033,-128274,-264,2125506,1235286,74616,815604,116,1500610,112,-3833,-2039,-1794,-117139,2515,3781,-1266,1618918,908292,710626,158,-122,244474,713908,24296017,54386,2699779,491940,99389,1663320,445130,9586906,101333,5792616,883776,73754,2735427,1314676,809474,726496,82978,505202,10307816,106157,5205378,553065,4443216,41892,36052,3888,1952,290562,24296017,19273789,55184,2376196,1381905,994292,2594907,206702,2388205,1221219,1021275,697276,34556,289443,199944,12584460,6472877,57356,6054227,222159,219664,70993,148671,5022228
2014,3780994,2887445,646356,247193,3405895,2378545,881514,145836,375099,375099,-6858,-21,381977,381977,1092188,0,-0,0,39601,66265,16579,-97450,54207,527770,7738,314231,-8110,4327,209584,200316,134403,105480,28923,65913,300386,-854,114299,40867,146074,9096,-353,6685,2764,15019,826318,23,-183159,-61541,-121618,162066,-3780,165846,113129,110386,16461,2822,91103,2743,778599,431626,2058,344915,-5852,-38488,-4858,-33630,265870,-276031,-159924,116107,1006440,-3220,-1096,87907,-1088,93963,23979,6068,-35015,-9979,933056,603890,22704,306463,-228,-507048,-3266,-5177,-873,-4304,17996,2748,-5103,7851,-518879,-229323,-289555,44,-514,1513488,1619434,26364167,51166,2739196,558205,115968,1565870,499153,10174192,107983,6157966,899645,84149,2924449,1505013,943877,831976,111901,561136,11538259,105303,5920568,616636,4895752,50988,35699,10573,4716,305353,26364167,19722505,51941,2184176,1319491,864686,2812650,202922,2609728,1387096,1126558,708634,37378,380546,260538,12889629,6770629,59414,6059586,216351,180662,65621,115041,6641662
2015,3692430,2794942,640457,257032,3269338,2270622,860585,138130,423093,423093,-8352,2,431442,431442,468824,0,-0,0,-143468,38370,-5721,-157482,-18635,406501,-2345,42688,24761,6456,334941,-9426,-66953,-145860,78907,57527,239015,2282,-191401,1813,426321,-3787,2862,-4640,-2009,-20011,175061,9,-340740,-98435,-242306,-84348,-7020,-77328,126402,144371,80838,672,62861,-17969,491474,196922,2097,292455,9914,-27650,1433,-29083,293763,-202992,-65313,137679,-669346,-2228,-1150,-268283,-1371,-56244,-8051,179,-202796,2331,-399762,-170197,-17881,-211684,-254,-872996,-2262,-1624,-811,-813,-103931,4367,1,4366,-768971,-229267,-539704,0,-576,203650,432100,26131306,48938,2595381,596575,110247,1408388,480171,10337311,104267,6146221,916456,90784,3079583,1497918,876924,686116,190808,620994,11319469,107585,5500927,600568,5110389,47201,38561,5933,2707,285088,26131306,19057544,49688,1840092,1220245,619847,2644640,195902,2448738,1514412,1267477,789473,37499,440505,246935,12630011,6756163,61511,5812337,226265,152436,66478,85958,7073762
2016,3676464,2738830,661531,276103,3275110,2235558,892896,146656,401353,401353,-7034,16,408371,408371,744952,0,-0,0,-9149,42311,17755,-140021,70806,341587,36911,-107855,79050,7230,326251,165438,59665,49668,9997,105773,234542,-14280,-186318,60897,374243,13437,1193,11017,1227,-903,453212,684,-74968,8520,-83488,7089,-28163,35252,128203,148484,115911,-1506,34079,-20281,349213,21743,1747,325723,21895,21096,2737,18359,291740,-63737,52894,116631,691582,-1462,-679,-69328,-426,-43035,-7010,-1850,-17007,-47371,810666,439176,32768,338722,-244,304956,-1489,622,212,411,48568,-17039,0,-17039,274557,226808,47750,0,-263,386626,731260,27753756,47476,2586010,638886,128002,1268367,550755,10661134,140752,6002797,991622,96164,3429799,1615985,936589,735784,200805,679396,12393572,93305,5782680,694233,5823354,60638,39754,16950,3934,388941,27753756,19948734,48883,1759236,1228977,530260,2693223,167739,2525484,1625576,1415961,905384,35993,474584,209615,13395387,7146320,63258,6185809,248160,178269,68952,109317,7805022
2017,3963098,2931589,738152,293357,3585102,2388260,1031102,165740,377996,377996,-15967,-44,394006,394006,1591377,0,-0,0,249467,69706,11865,151509,16387,652473,-6338,308208,22049,7057,321497,136792,145036,43820,101216,-8244,482950,89,116959,32585,333317,13534,10377,2746,411,56161,1203572,78,309213,54058,255155,355605,68295,287310,-56375,-17571,-33097,2789,12737,-38804,533913,139940,1506,392467,47412,13726,7442,6284,387805,-46132,-39931,6201,2232683,2818,1962,68482,1010,-21664,-2772,2517,89391,19320,2139707,1078594,101926,959187,394,3023110,2903,1668,3882,-2214,131135,10402,-0,10402,2876322,1770793,1105530,0,681,-790427,-442553,31647365,50294,2832958,708592,139867,1419876,564623,11341939,135424,6211279,1012181,105738,3877317,1845097,1154625,779604,375021,690472,15057409,93394,7019413,828744,7115858,74172,50131,19696,4345,445496,31647365,24284896,51864,2077643,1286917,790727,3203240,236034,2967206,1597194,1415981,872287,56373,487321,181213,16866707,9118138,64764,7683805,295572,192676,77075,115601,7362469
2018,4271839,3131166,848351,292322,3830681,2538089,1138659,153933,441158,441158,-4599,-77,445834,445834,638649,0,-0,0,43795,65331,14202,-73098,37360,141936,-10210,120235,95679,-1561,-62207,-81797,20734,-49140,69874,-102531,475862,17280,110985,28651,318946,10874,9109,-9250,11015,47979,414886,156,-58660,-129843,71183,191920,74352,117568,260003,169691,117265,-5766,58192,90312,-46705,171300,1328,-219333,27472,40700,2658,38042,223763,150896,372967,222071,-1603710,-1177,-1144,-359718,-487,-61466,-22612,-2622,-272531,13400,-1254815,-507167,-58380,-689269,-256,-2871485,-1217,-191,833,-1024,-101114,-873,0,-873,-2767728,-1403326,-1364401,-48,-315,1267775,1864505,31085507,49117,2876628,773923,154069,1346778,601858,11186039,124727,6270130,1087036,101555,3602591,2110700,1509359,730464,778895,601341,14284758,110674,6629533,799015,6745536,85046,59240,10446,15360,493219,31085507,21858533,50803,2020215,1157906,862309,3309409,310386,2999023,1817324,1585672,989552,50607,545513,231652,14104725,7899563,66092,6139070,322996,233061,79418,153643,9226974
2019,4323395,3116681,892817,313897,3876134,2539391,1174712,162031,447261,447261,-6828,-58,454147,454147,704851,0,-0,0,83455,51294,7730,26493,-2062,544996,5370,297654,81925,4043,156004,69672,89961,12038,77923,-20289,-14450,7435,-249168,-49694,276977,2926,2013,281,632,18252,353836,237,130887,109282,21605,-23314,-22581,-733,89100,205376,111208,7035,87133,-116276,147968,-25304,1367,171905,11175,-2217,2204,-4421,351015,-8517,94615,103132,4343510,-282,-4127,527652,116,196451,38907,4704,287474,-12885,3835561,1917297,150263,1768001,-2409,3009570,-291,3295,970,2325,237612,-28554,0,-28554,2797316,1622327,1174988,174,17,1333940,1779570,36300725,48835,2960130,825217,161799,1373271,599843,12368484,130213,6917822,1230694,110302,3979453,2239487,1671320,814502,856818,568167,18086755,118109,8278548,899584,8790514,87972,61253,10727,15992,509062,36300725,25294181,50749,2075468,1268158,807310,3570451,291405,3279046,2000870,1914048,1223760,57642,632646,86822,17031437,9478014,67459,7485964,334345,230861,81639,149222,11006544
2020,3885606,2777342,777468,330797,3312727,2151139,989065,172523,572880,572880,-6264,177,578967,578967,1579280,0,-0,0,340462,121325,34741,88957,95439,244769,-46201,67046,5722,4849,213353,56256,118020,84141,33879,-61764,861061,18851,669321,-756,173645,-24881,-2122,-9133,-13626,101613,1056936,81,184440,73713,110728,38974,-19003,57977,79939,120031,55487,-1783,66327,-40092,695080,395996,1847,297237,65020,-6598,-356,-6242,522344,-33417,23206,56623,3677727,2029,4564,628093,2292,305157,34336,3101,283207,-8623,3054296,1630105,125478,1298713,-2632,1229716,2112,-102,430,-532,198495,-7349,2,-7351,1036231,624294,411937,-4,333,2448011,2993561,41631270,50864,3270407,946542,196540,1462228,665097,13254246,86304,7291566,1276402,118252,4481722,2287120,1789340,898643,890697,497780,22097500,136960,10673362,1024306,10262872,63091,59131,1594,2366,608042,41631270,27631165,52942,2233068,1342301,890768,3768278,217702,3550576,2074816,2034081,1279249,55859,698973,40735,18878104,10615016,69306,8193782,399361,224596,81616,142980,14000105
2021,4699258,3415459,930823,352977,3819877,2555430,1083475,180972,879382,879382,-7103,-160,886644,886644,1778585,112834,-0,112834,203806,48347,18086,100251,37122,672250,1917,605767,-9823,1723,72666,350966,357892,211380,146512,-6926,357210,27540,-112365,31757,410278,2923,5973,-1423,-1627,78596,1243565,113685,43509,15190,28320,482445,104996,377449,-7258,45043,-106068,-1691,152802,-52301,520267,197255,1206,321806,81558,9359,3404,5955,535020,296315,647939,351624,4944661,-2938,3515,-496827,79,-210216,-4990,-1310,-280390,-10462,5451017,2828533,131787,2490697,356,2143394,-2998,-2567,-790,-1777,-175473,-26956,0,-26956,2351601,1202590,1149011,6,-218,2801267,3984226,49073104,160760,3465664,994889,214626,1562479,693670,13651587,138300,7740370,1252643,118665,4401609,2627624,2147232,1110023,1037209,480392,28414462,164500,13898265,1187850,13163847,66014,65104,171,739,686993,49073104,31088773,163629,2246079,1356700,889379,4230739,421698,3809041,1937259,1975781,1173181,54168,748432,-38522,21796405,12061294,70512,9664599,480925,233737,84802,148935,17984331
2022,5452042,3976314,1069919,405809,4431104,3017379,1219191,194534,1020938,1020938,-675,-181,1021793,1021793,1413425,0,-0,0,200949,35044,-20306,196054,-9843,720263,53840,392853,165255,2701,105614,104000,84612,-8669,93281,19388,336057,9203,-124055,117438,333471,2169,1541,108,520,49987,938635,4965,49025,78,48948,172248,-89853,262101,75442,122007,-12430,20197,114240,-46565,540786,159464,2370,378952,89614,6555,-2184,8739,474790,-558035,-11032,547003,-8042059,-7897,3947,-1905076,-834,-842233,-186239,-14429,-861341,-28453,-6104292,-2846928,-226965,-3030399,-288,-4746134,-8057,-2657,63,-2721,-682933,41076,-0,41076,-4093363,-1947169,-2146194,-5,-195,-3295925,-2832167,42402735,152863,3666444,1029933,194320,1758533,683658,12481493,191306,7294065,1232915,106937,3656270,2703171,2231844,1101354,1130490,471327,22593889,173703,10874944,1078323,10466919,68183,66645,279,1259,736692,42402735,27250571,160537,2293272,1356841,936431,3728089,331845,3396244,1962704,2052088,1160751,28665,862672,-89384,18295338,10279726,72882,7942730,570534,240097,82423,157674,15152164
2023,5582355,3849811,1311305,421238,4666470,3052469,1411351,202651,915885,915885,-6658,-177,922720,922720,2098889,0,-0,0,226721,16597,2696,201315,6113,1098239,23862,611285,146867,6380,309845,149190,166788,204003,-37215,-17598,439296,7738,143428,-18152,306282,2360,2179,143,38,183083,1203620,4624,51511,48127,3385,64223,-18330,82553,600441,566412,469277,2798,94337,34029,357112,-4691,1848,359955,119496,6213,5487,726,895269,-19923,7527,27450,4954453,1244,-44,296162,-273,99859,-11644,3545,204675,-4770,4665768,2298359,161664,2205745,-3907,2301265,1337,-413,-470,57,138285,-13918,1,-13919,2175920,1183710,992210,8,46,2653188,3555984,49370411,154107,3890573,1046530,197016,1959848,687179,13776263,123395,7946509,1352447,116862,4237050,2847591,2398632,1305357,1093275,448959,27715465,181441,13333243,1221835,12978946,70543,68824,422,1297,915869,49370411,30662263,166498,2345879,1405247,940633,3812051,319783,3492268,2549227,2618501,1630029,31463,957009,-69274,20852214,11482589,74730,9294895,690038,246356,87956,158400,18708148
2024,5959973,4083292,1430603,446077,4872331,3180241,1488821,203269,1087642,1087642,4507,-214,1083350,1083350,1875446,0,-0,0,-65619,1488,-1145,-66441,479,1005789,15930,568471,68369,6487,346532,66064,50172,33491,16681,15892,713347,31511,276627,113198,292011,-3161,-4657,265,1231,159026,904811,5137,11306,-106863,118169,198602,-20915,219517,54564,121284,-6881,4094,124071,-66720,525759,157821,2234,365704,122570,-13127,5203,-18330,970635,256543,369258,112715,5296731,-4312,-4737,-145437,-562,-27668,-64607,-1420,-51180,13315,5438108,2684552,141649,2611907,-206,679905,-4745,-6481,-1197,-5284,-95632,3088,749,2339,783813,521566,262247,4,-142,4616826,5956719,56906366,149795,3819767,1048018,195871,1893407,682471,14541558,138763,8512857,1365392,121929,4402617,2926970,2448804,1338848,1109956,478166,34326206,212952,16753708,1476682,15882864,67382,64167,687,2528,1074688,56906366,32241499,166890,2344611,1294318,1050294,3728711,296389,3432322,2846494,2980149,1623052,35557,1321540,-133655,22109094,12109284,76964,9922846,812612,233087,93017,140070,24664867
