1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,47848,1203,1184,19,19,0,0,0,0,0,0,0,-28,197,23604,0,23604,13193,10411,0,0,0,0,0,0,0,0,0,0,22872,22695,0,177,47220,46983,20056,26704,1517,1270,247,0,0,0,534,21956,2697,0,0,0,223,237,0,237,0,0,0
1952:Q1,46861,867,710,157,157,0,0,0,0,0,0,0,-31,300,22228,0,22228,11810,10418,0,0,0,0,0,0,0,0,0,0,23497,23291,0,206,46152,45910,20276,25591,1289,1282,7,0,0,0,548,21334,2420,0,0,0,43,242,0,242,0,0,0
1952:Q2,47080,625,581,44,44,0,0,0,0,0,0,0,-30,400,22506,0,22506,12202,10304,0,0,0,0,0,0,0,0,0,0,23579,23346,0,233,46366,46121,19381,26598,1616,1283,333,0,0,0,554,22032,2396,0,0,0,142,245,0,245,0,0,0
1952:Q3,48426,1093,738,355,355,0,0,0,0,0,0,0,-31,500,23215,0,23215,12889,10326,0,0,0,0,0,0,0,0,0,0,23649,23342,0,307,47699,47452,20581,26900,1538,1274,264,0,0,0,740,22092,2530,0,0,0,-29,247,0,247,0,0,0
1952:Q4,49156,1094,967,127,127,0,0,0,0,0,0,0,-30,664,24034,0,24034,5738,18296,0,0,0,0,0,0,0,0,0,0,23394,23187,0,207,48484,48231,19950,27996,1659,1270,389,0,0,0,560,23024,2753,0,0,0,285,253,0,253,0,0,0
1953:Q1,48124,1500,810,690,690,0,0,0,0,0,0,0,-32,600,23269,0,23269,5511,17758,0,0,0,0,0,0,0,0,0,0,22787,22563,0,224,47362,47105,20148,26756,1313,1306,7,0,0,0,513,22380,2550,0,0,0,201,257,0,257,0,0,0
1953:Q2,47982,655,601,54,54,0,0,0,0,0,0,0,-30,600,24146,0,24146,6423,17723,0,0,0,0,0,0,0,0,0,0,22611,22463,0,148,47229,46969,19561,27350,1391,1259,132,0,0,0,532,22837,2590,0,0,0,58,260,0,260,0,0,0
1953:Q3,48591,1014,685,329,329,0,0,0,0,0,0,0,-30,600,24635,0,24635,7795,16840,0,0,0,0,0,0,0,0,0,0,22372,22128,0,244,47801,47539,19309,28001,1925,1283,642,0,0,0,517,22909,2650,0,0,0,229,262,0,262,0,0,0
1953:Q4,49055,948,935,13,13,0,0,0,0,0,0,0,-43,598,25317,0,25317,8413,16904,0,0,0,0,0,0,0,0,0,0,22235,22030,0,205,48347,48082,20160,27580,1107,761,346,0,0,0,430,23531,2512,0,0,0,342,265,0,265,0,0,0
1954:Q1,47447,667,535,132,132,0,0,0,0,0,0,0,-36,400,24232,0,24232,7962,16270,0,0,0,0,0,0,0,0,0,0,22184,21965,0,219,46652,46382,19194,26964,1541,819,722,0,0,0,495,22298,2630,0,0,0,224,270,0,270,0,0,0
