1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q2,1029704,251619,257172,-25160,805729,46510,-49,1348041,1291338,1178555,1153370,25054,131,112783,1009083,143904,-77228,-15220,37797,9076,-17067,-28491,14796,4932,-10092,1788,24973,4812,20161,-12707,-182716,125744,24,712,160643,811149,896300,1029124,-61961,-34105,31052,-58908,355691,60384,79492,215815,-89152,158651,-1324,667220,-6364,113412,560172,-132824,-183528,50704,56703,-122976
2005:Q3,1014166,255954,112170,-39020,811218,-74481,-54317,1398076,1512181,1196325,1185244,7952,3129,315857,946220,100788,33588,-24308,60503,12932,30237,44345,-17780,-5928,8872,728,23794,1392,22402,32561,-188464,-121672,160,712,322998,662391,630363,815735,34213,-12785,60622,-13624,122556,-138005,82607,177955,67460,287001,-6870,311376,9280,81911,220185,-185372,-273184,87812,-114105,-276232
2005:Q4,1158128,282820,15677,-39108,816460,-193686,-7626,1450923,1443345,1280042,1204639,75397,6,163304,800316,129337,115056,48608,76638,11472,52092,32060,14532,4844,-872,1528,-12258,3004,-15262,-79787,-191452,-91036,32,712,340362,400540,637012,813780,16458,-13601,55443,-25384,387570,-23185,146001,264753,18000,136900,-8467,263320,-5852,72384,196788,-176768,-343432,166664,7578,-364567
2006:Q1,1170629,289954,403005,-29264,840771,106134,-26,1395337,1558417,1320820,1253234,67139,447,237597,602999,-42911,-20116,-86300,53073,-17828,5199,7159,-8428,-2808,9468,-192,5091,-9076,14167,-46715,-218148,232992,36,23640,27965,687022,365402,605518,74631,-22765,49048,48348,393472,104453,111899,177120,-19008,95645,13568,47212,1980,57518,-12286,-240116,-402448,162332,-163080,31617
2006:Q2,1200329,297754,415626,-54196,847519,94684,-26,1374982,1614432,1355989,1282419,73029,541,258443,974086,-177490,-79572,44196,72275,8204,-21787,20709,-20520,-6840,-15048,-88,-17331,-7740,-9591,-29055,-214000,144812,40,23640,64111,1156042,715643,919911,172054,22939,36607,112508,262883,28808,156501,77574,59804,148898,-5644,281915,1984,55339,224592,-204268,-362692,158424,-239450,75691
2006:Q3,1279903,310570,489218,-36864,855405,130280,-26,1428962,1612934,1387635,1311574,74671,1390,225299,524768,-64044,3616,-37392,80403,2056,2062,16266,-344,-116,-13620,-124,-39195,-7524,-31671,3408,-225060,250996,72,23640,-1405,525612,299469,595581,87974,-21481,47863,61592,88398,-16477,2731,102145,52212,94892,-9413,281518,1980,53973,225565,-296112,-431696,135584,-183972,88953
2006:Q4,1191339,286048,583307,-7440,864610,212141,-27,1391322,1455972,1424069,1332142,41282,50645,31904,392452,-9835,122600,22556,70181,11460,9914,2646,2676,892,3272,428,-2214,-7188,4974,-2506,-238948,273716,56,23640,-149730,261562,360548,676484,282353,111091,82618,88644,286179,-40540,204822,121898,80268,101957,-1715,-72559,1984,50972,-125515,-315936,-471148,155212,-64650,244888
2007:Q1,1171477,296610,474577,-45368,894616,126426,-29,1375993,1516976,1371122,1357980,13551,-409,145854,1056823,-1094,-106284,-16120,98703,-6476,-60739,-29863,-25184,-8392,1156,1544,4006,-12460,16466,-68731,33996,354616,180,-4904,107970,721700,910969,1069961,227805,18942,72959,135904,274104,21749,254694,-2338,488,119553,-88860,536872,4536,-6863,539199,-158992,-373352,214360,-140983,121555
2007:Q2,1190510,293074,476881,-45572,905138,125156,-32,1405309,1647202,1426262,1385365,40470,427,220940,1036436,135789,-115712,42072,91332,-20876,-37150,-8638,-24192,-8064,4140,-396,-29599,-21472,-8127,-49871,35972,226568,204,-4904,177303,585308,815496,1246840,332935,40938,88501,203496,457290,53711,295066,108514,45680,92719,-31117,349333,4544,-6588,351377,-431344,-595956,164612,-241893,146109
2007:Q3,1058250,266824,500517,-19636,916223,183396,-35,1370927,1614965,1445636,1406486,41172,-2022,169329,998006,44040,-169788,4564,224227,-4208,-88636,-123288,23396,7796,4036,-576,-47364,-17124,-30240,-9048,36532,239612,76,-4904,222428,550474,828677,1147217,123118,-30646,63824,89940,700133,205064,361263,133806,65680,42620,-52893,268560,4540,-5795,269815,-318540,-533540,215000,-244038,258105
