1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,140937,0,0,0,0,0,0,14141,0,126796,140937,140937,14141,126796,140937,0
1961:Q2,144063,0,0,0,0,0,0,14927,0,129136,144063,144063,14927,129136,144063,0
1961:Q3,146775,0,0,0,0,0,0,14996,0,131779,146775,146775,14996,131779,146775,0
1961:Q4,149440,0,0,0,0,0,0,15006,0,134434,149440,149440,15006,134434,149440,0
1962:Q1,152314,0,0,0,0,0,0,15054,0,137260,152314,152314,15054,137260,152314,0
1962:Q2,155668,0,0,0,0,0,0,15908,0,139760,155668,155668,15908,139760,155668,0
1962:Q3,158530,0,0,0,0,0,0,15923,0,142607,158530,158530,15923,142607,158530,0
1962:Q4,161427,0,0,0,0,0,0,15999,0,145428,161427,161427,15999,145428,161427,0
1963:Q1,164457,0,0,0,0,0,0,16048,0,148409,164457,164457,16048,148409,164457,0
1963:Q2,168016,0,0,0,0,0,0,17000,0,151016,168016,168016,17000,151016,168016,0
1963:Q3,171051,0,0,0,0,0,0,17073,0,153978,171051,171051,17073,153978,171051,0
1963:Q4,174119,0,0,0,0,0,0,17160,0,156959,174119,174119,17160,156959,174119,0
1964:Q1,177353,0,0,0,0,0,0,17268,0,160085,177353,177353,17268,160085,177353,0
1964:Q2,181093,0,0,0,0,0,0,18179,0,162914,181093,181093,18179,162914,181093,0
1964:Q3,184358,0,0,0,0,0,0,18348,0,166010,184358,184358,18348,166010,184358,0
1964:Q4,187594,0,0,0,0,0,0,18409,0,169185,187594,187594,18409,169185,187594,0
1965:Q1,191027,0,0,0,0,0,0,18480,0,172547,191027,191027,18480,172547,191027,0
1965:Q2,195034,0,0,0,0,0,0,19550,0,175484,195034,195034,19550,175484,195034,0
1965:Q3,198490,0,0,0,0,0,0,19728,0,178762,198490,198490,19728,178762,198490,0
1965:Q4,201910,0,0,0,0,0,0,19724,0,182186,201910,201910,19724,182186,201910,0
1966:Q1,205667,0,0,0,0,0,0,19747,0,185920,205667,205667,19747,185920,205667,0
1966:Q2,210034,0,0,0,0,0,0,20835,0,189199,210034,210034,20835,189199,210034,0
1966:Q3,213800,0,0,0,0,0,0,20935,0,192865,213800,213800,20935,192865,213800,0
1966:Q4,217602,0,0,0,0,0,0,20977,0,196625,217602,217602,20977,196625,217602,0
1967:Q1,221679,0,0,0,0,0,0,20925,0,200754,221679,221679,20925,200754,221679,0
1967:Q2,226408,0,0,0,0,0,0,22043,0,204365,226408,226408,22043,204365,226408,0
1967:Q3,230440,0,0,0,0,0,0,22074,0,208366,230440,230440,22074,208366,230440,0
1967:Q4,234517,0,0,0,0,0,0,22292,0,212225,234517,234517,22292,212225,234517,0
1968:Q1,238861,0,0,0,0,0,0,22334,0,216527,238861,238861,22334,216527,238861,0
