1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q4,-90117,5090,-48786,ND,ND,-32798,-2888,-29910,712,-141,-3430,2479,8254,-69711,-1134,49348,-107457,703,11,-15107,3761,-3511,ND,ND,-43153,2921,-46074,604,-102,706,-1994,592,-477,-235,-23308,5608,3559,-5718,-57677,-736,31,23873,17340,0,0,0
2005:Q1,193488,-6677,2487,ND,ND,-6218,4152,-10370,-2418,706,6594,-1102,1724,192390,7034,-1032,129168,-232,11,-3739,-1990,-1987,ND,ND,14061,-4479,18540,1724,-698,2422,386,7189,890,84,17983,4201,2082,7126,74991,7456,0,6058,64320,0,0,0
2005:Q2,202821,2077,22485,ND,ND,14079,-3258,17337,1784,-94,-55,-744,3117,105731,2193,52248,77587,2269,11,8668,3511,-48001,ND,ND,18428,5227,13201,-2430,1714,-4144,606,-2198,-7,229,42332,-1069,-4486,-896,42168,495,0,17062,125234,0,0,0
2005:Q3,175727,737,30353,ND,ND,13681,11775,1906,2182,-595,813,-966,5471,124007,452,-408,205363,3233,10,13428,-8740,31633,ND,ND,5098,-3693,8791,3907,669,3238,-462,-2732,11,-256,9567,-635,18807,20912,83470,1097,0,47927,-29636,0,0,0
2005:Q4,-99636,3585,-13774,ND,ND,20522,761,19761,-511,132,196,932,2874,-52280,-3471,-57841,-48486,2868,10,-845,21010,-2525,ND,ND,1203,14029,-12826,-1355,393,-1748,142,-3279,174,442,43905,-1754,-2455,-1182,-73849,-2607,117,-29688,-51150,0,0,0
2006:Q1,194218,-3965,35240,ND,ND,-12773,4842,-17615,-2067,-11,3205,-904,1073,131544,1465,41411,117493,-4457,12,-11168,-19989,28995,ND,ND,7366,-2126,9492,3418,-765,4183,-547,-751,-899,-68,-5601,8479,8414,4062,33755,2093,0,68441,76725,0,0,0
2006:Q2,46553,2624,33006,ND,ND,6766,142,6624,2946,-35,-600,2,9054,32151,27,-39388,-49132,2051,13,3379,4513,-41534,ND,ND,16070,-7275,23345,-1656,910,-2566,-482,-136,-898,-36,11816,418,-7336,-11170,6389,304,0,-42007,95685,0,0,0
2006:Q3,373153,1991,57901,ND,ND,41755,13989,27766,955,81,-3156,-197,4746,229774,2402,36901,255283,514,16,7504,-9735,83137,ND,ND,15624,4087,11537,-1829,-1776,-53,1258,226,-900,194,17569,1922,7420,3851,78878,2736,0,50749,117870,0,0,0
2006:Q4,-71546,-1540,-99221,ND,ND,21583,-3841,25424,-920,-142,926,700,-469,-6790,-2779,17106,-87133,2865,19,3447,19269,535,ND,ND,20179,-5706,25885,-1654,-966,-688,-1015,598,-898,241,27072,-3089,830,-244,-134210,-3982,110,-17449,15587,0,0,0
2007:Q1,435820,7668,22942,ND,ND,10235,20829,-10594,-4498,-626,-3478,500,6146,324101,356,72474,386848,-1619,20,8532,-7480,39399,ND,ND,1165,-6277,7442,6326,1860,4466,964,-619,59,20,-7154,-618,34891,21158,161787,502,0,150673,48972,0,0,0
