1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,616,0,110,0,0,198,0,42,56,100,0,259,0,49,0,0,49,616
1970:Q4,705,0,101,0,0,154,0,-7,-2,163,0,367,0,83,0,0,83,705
1971:Q1,537,0,118,0,0,-136,0,34,-32,-138,0,478,0,77,0,0,77,537
1971:Q2,657,0,94,0,0,-182,0,-65,-37,-80,0,590,0,155,0,0,155,657
1971:Q3,796,0,126,0,0,-82,0,11,0,-93,0,614,0,138,0,0,138,796
1971:Q4,959,0,111,0,0,168,0,20,3,145,0,548,0,132,0,0,132,959
1972:Q1,1827,0,114,0,0,257,123,104,55,-25,0,724,0,732,0,0,732,1827
1972:Q2,2646,0,145,0,0,427,195,-22,77,177,0,861,0,1213,0,0,1213,2646
1972:Q3,2836,0,157,0,0,619,211,43,118,247,0,823,0,1237,0,0,1237,2836
1972:Q4,2080,0,167,0,0,435,173,189,74,-1,0,611,0,867,0,0,867,2080
1973:Q1,1850,0,179,0,0,531,140,86,114,191,0,420,0,720,0,0,720,1850
1973:Q2,1246,0,160,0,0,322,111,72,42,97,0,250,0,514,0,0,514,1246
1973:Q3,1212,0,211,0,0,520,118,175,40,187,0,170,0,311,0,0,311,1212
1973:Q4,1297,0,163,0,0,328,161,167,49,-49,0,178,0,628,0,0,628,1297
1974:Q1,1267,0,196,0,0,377,190,182,13,-8,0,126,0,568,0,0,568,1267
1974:Q2,1351,0,201,0,0,450,206,201,3,40,0,12,0,688,0,0,688,1351
1974:Q3,1921,0,216,0,0,795,240,331,54,170,0,54,0,856,0,0,856,1921
1974:Q4,2013,0,294,0,0,802,293,81,175,253,0,253,0,664,0,0,664,2013
1975:Q1,2606,0,253,0,0,1139,371,266,81,421,0,516,0,698,0,0,698,2606
1975:Q2,3628,0,308,0,0,1050,471,223,50,306,0,544,0,1726,0,0,1726,3628
1975:Q3,4386,0,320,0,0,1036,376,345,18,297,0,507,0,2523,0,0,2523,4386
1975:Q4,3176,0,292,0,0,834,247,125,106,356,0,547,0,1503,0,0,1503,3176
1976:Q1,1796,0,302,0,0,849,331,304,107,107,0,617,0,28,0,0,28,1796
1976:Q2,193,0,259,0,0,796,219,400,82,95,0,469,0,-1331,0,0,-1331,193
1976:Q3,2010,0,211,0,0,157,126,290,42,-301,0,343,0,1299,0,0,1299,2010
1976:Q4,2589,0,255,0,0,174,79,426,-97,-234,0,331,0,1829,0,0,1829,2589
1977:Q1,4102,0,311,0,0,220,74,-51,223,-26,0,432,0,3139,0,0,3139,4102
1977:Q2,1833,0,345,23,0,920,54,521,119,226,0,541,0,4,0,0,4,1833
1977:Q3,3868,0,370,30,0,326,15,31,216,64,0,654,0,2488,0,0,2488,3868
1977:Q4,1408,0,387,41,0,882,2,307,-24,597,0,631,0,-533,0,0,-533,1408
1978:Q1,4329,0,445,56,0,211,14,42,-6,161,0,695,0,2922,0,0,2922,4329
1978:Q2,1291,0,469,62,0,982,-6,177,-11,822,0,668,0,-890,0,0,-890,1291
1978:Q3,3292,0,432,60,0,461,-65,-274,341,459,0,660,0,1679,0,0,1679,3292
1978:Q4,4198,0,541,87,0,480,-4,523,-284,245,0,709,0,2381,0,0,2381,4198
1979:Q1,3774,0,502,141,0,786,172,137,267,210,0,811,0,1534,0,0,1534,3774
1979:Q2,4123,0,446,188,0,1495,362,300,184,649,0,833,0,1161,0,0,1161,4123
1979:Q3,3561,0,488,225,0,1695,559,210,280,646,0,1124,0,29,0,0,29,3561
1979:Q4,4687,0,554,269,0,1415,600,57,122,636,0,1236,0,1213,0,0,1213,4687
1980:Q1,4660,0,440,318,0,1737,490,302,172,773,0,864,184,1117,0,0,1117,4660
1980:Q2,4872,0,409,345,0,2022,420,546,371,685,0,1443,-165,818,0,0,818,4872
1980:Q3,5064,0,385,350,0,1791,392,295,312,792,0,1042,185,1311,0,0,1311,5064
1980:Q4,3179,0,615,438,0,1739,352,412,418,557,0,982,175,-770,0,0,-770,3179
1981:Q1,2990,0,515,611,0,1408,302,284,431,391,0,1294,0,-838,0,0,-838,2990
1981:Q2,4819,0,378,890,0,1699,601,298,577,223,0,1198,51,603,0,0,603,4819
1981:Q3,5588,0,579,1279,0,1522,576,53,613,280,0,908,291,1009,0,0,1009,5588
1981:Q4,3949,0,713,1151,0,2507,511,2982,-1213,227,0,1101,132,-1655,0,0,-1655,3949
1982:Q1,1949,0,1461,466,0,2784,-1012,2338,814,644,0,195,64,-3021,0,0,-3021,1949
1982:Q2,3828,0,1621,-1000,0,2242,-547,1501,810,478,0,450,101,414,0,0,414,3828
1982:Q3,6689,0,1463,-959,0,1529,-1123,1466,465,721,0,654,166,3836,0,0,3836,6689
1982:Q4,7739,0,1537,-383,0,1820,-1039,1817,506,536,0,4612,122,31,0,0,31,7739
1983:Q1,7684,0,1915,189,0,1825,-384,1139,271,799,0,1206,-101,2650,0,0,2650,7684
1983:Q2,10748,0,2612,351,0,1809,424,831,267,287,0,616,68,5292,0,0,5292,10748
1983:Q3,4280,0,81,374,0,3613,678,1513,557,865,0,66,286,-140,0,0,-140,4280
1983:Q4,4323,0,776,327,0,2172,100,1057,422,593,0,-312,235,1125,0,0,1125,4323
1984:Q1,-1725,0,-331,262,0,1708,933,423,90,262,0,-1589,314,-2089,0,0,-2089,-1725
1984:Q2,-3604,0,-70,197,0,-835,1013,-725,-195,-928,0,-1585,-63,-1248,0,0,-1248,-3604
1984:Q3,11069,0,2282,382,0,3974,23,1660,657,1634,0,1100,117,3214,0,0,3214,11069
1984:Q4,7188,0,1481,168,0,4217,-1024,2410,708,2123,0,-184,233,1273,0,0,1273,7188
1985:Q1,7730,0,2430,491,0,161,-112,937,373,-1037,0,1069,95,3484,0,0,3484,7730
1985:Q2,10065,0,3008,586,0,1194,-38,1822,805,-1395,0,1454,78,3745,0,0,3745,10065
1985:Q3,-565,0,-363,224,0,870,243,883,457,-713,0,703,84,-2083,0,0,-2083,-565
1985:Q4,11080,0,-1409,848,5284,2273,-340,1395,3312,-2094,0,-120,78,4126,0,0,4126,11080
1986:Q1,8948,-300,379,430,133,2955,25,737,339,1854,-342,-3353,893,8153,3016,10,5127,8948
1986:Q2,1846,-240,-1602,-90,-164,-1061,-389,-1163,-530,1021,-435,1391,237,3810,2439,15,1356,1846
1986:Q3,7345,-190,1163,679,259,1575,195,-419,-164,1963,-399,-1530,297,5491,2279,20,3192,7345
1986:Q4,18168,-76,1721,884,356,8621,310,-7713,-3312,19336,-415,369,271,6437,2837,54,3546,18168
1987:Q1,9871,-25,-3707,204,-189,11381,316,3643,4217,3205,229,-2726,1031,3673,5368,400,-2095,9871
1987:Q2,5612,-20,-1943,814,110,-1843,776,360,203,-3182,-30,3315,556,4653,7651,750,-3748,5612
1987:Q3,20620,-15,-3332,329,-138,2059,440,1527,858,-766,55,1038,421,20203,7539,1100,11564,20620
1987:Q4,9135,-8,-2929,495,-66,-673,583,403,226,-1885,-2,5885,-276,6709,8089,755,-2135,9135
1988:Q1,10621,150,3689,618,188,-7862,-632,-3668,630,-4192,309,6243,-383,7669,2492,200,4977,10621
1988:Q2,6881,350,4738,1181,347,278,-369,779,519,-651,604,-1590,-207,1180,3618,-300,-2138,6881
1988:Q3,9068,300,3356,482,62,-693,-756,469,313,-719,703,2068,-424,3214,2,-900,4112,9068
1988:Q4,12991,183,2516,150,-77,-1076,-857,483,-650,-52,980,513,974,8828,6196,106,2526,12991
1989:Q1,8170,175,3761,785,413,-3707,168,-3290,640,-1225,-101,65,1038,5741,4768,584,389,8170
1989:Q2,7212,150,5360,1172,631,2834,378,1221,91,1144,289,-2284,1223,-2163,2690,734,-5587,7212
1989:Q3,9012,125,2565,200,205,5300,-111,2273,951,2187,477,-2234,1235,1139,2128,749,-1738,9012
1989:Q4,12129,113,6175,1258,705,3637,385,1580,383,1289,354,-7056,1589,5354,5131,760,-537,12129
1990:Q1,11656,-75,3197,971,506,1284,506,-2795,2090,1483,-60,-2873,1639,7067,8042,774,-1749,11656
1990:Q2,-3460,-200,-2056,-652,-234,7156,-234,2130,1296,3964,338,-125,2036,-9723,-521,814,-10016,-3460
1990:Q3,17135,50,-1223,-303,-117,745,-117,55,-778,1585,-55,2275,1156,14607,8392,824,5391,17135
1990:Q4,6140,-86,1445,456,264,779,264,-90,-922,1527,-86,804,1637,927,2806,836,-2715,6140
1991:Q1,10039,-75,-2187,-882,99,4909,99,1523,690,2597,137,3339,2289,2410,2675,934,-1199,10039
1991:Q2,17421,-70,928,517,587,1929,587,459,-373,1256,-52,1096,2527,9959,6945,964,2050,17421
1991:Q3,15108,-70,3305,1343,1028,1452,1028,177,-657,904,-100,1050,2681,4419,4787,984,-1352,15108
1991:Q4,15619,-81,-2008,-288,182,4790,182,1445,612,2551,91,3943,3004,5986,4614,1027,345,15619
1992:Q1,13830,-45,-2333,104,234,932,234,204,-629,1123,-201,6076,6364,2699,4020,1003,-2324,13830
1992:Q2,16471,-18,-2517,68,199,-1293,199,-466,-1299,273,-290,11909,6657,1756,1995,1034,-1273,16471
1992:Q3,21308,-17,-716,732,578,7629,578,2107,1274,3670,61,6420,1872,4749,3694,1103,-48,21308
1992:Q4,-1270,10,-2413,165,240,2350,240,604,-228,1734,-143,-4446,5398,-2431,-894,1211,-2748,-1270
1993:Q1,35503,40,-617,2216,744,4480,744,589,-245,3392,238,18782,5597,4023,4844,1087,-1908,35503
1993:Q2,19976,37,-1594,2057,595,-2998,595,-1604,-2437,448,-49,12037,8387,1504,4382,1087,-3965,19976
1993:Q3,9349,34,-5532,188,-454,12022,-454,3090,2257,7129,585,-1528,5870,-1836,1993,1137,-4966,9349
1993:Q4,7535,30,-2060,2103,47,-720,47,-816,-1648,1697,-936,-5371,9935,4507,4810,1636,-1939,7535
1994:Q1,29392,6,55,2505,173,116,173,2478,1644,-4179,92,-980,13840,13585,8678,1534,3373,29392
1994:Q2,33459,6,-1540,1635,-303,6817,-303,4434,3601,-915,439,12959,7419,6027,6292,1492,-1757,33459
1994:Q3,11095,6,-3299,294,-918,2112,-918,-334,2500,864,646,1215,6908,4131,2594,1486,51,11095
1994:Q4,-6962,128,-1815,996,-946,-4089,-946,14,2151,-5308,-2617,-14783,11892,4272,4031,1002,-761,-6962
1995:Q1,8330,146,717,888,179,1534,179,184,442,729,167,-9486,10588,3597,829,947,1821,8330
1995:Q2,3598,145,-1008,2530,179,-307,179,-92,-187,-207,168,-10645,11630,906,-1862,948,1820,3598
1995:Q3,17141,146,290,1188,180,-5619,180,-1755,-1232,-2812,167,-1374,17376,4787,2020,947,1820,17141
1995:Q4,13268,155,-169,1876,178,-1465,178,-438,-345,-860,168,-9959,14481,8003,5234,948,1821,13268
1996:Q1,13513,150,-1340,2900,180,5344,180,1585,1104,2475,166,-7763,11445,2431,-335,947,1819,13513
1996:Q2,8627,150,-269,1756,178,-680,178,-321,-125,-412,167,-7450,11376,3399,631,947,1821,8627
1996:Q3,11484,153,-1058,2708,180,-1826,180,-1244,-714,-48,168,-5158,10914,5403,2634,948,1821,11484
1996:Q4,7546,63,-2920,4098,1344,-1409,1344,-250,-32,-2471,172,-7654,11591,2261,-4001,947,5315,7546
1997:Q1,1849,326,-2793,4822,137,3649,137,225,165,3122,231,-14989,14478,-4012,-6303,288,2003,1849
1997:Q2,8867,174,-1161,2442,136,92,136,-845,-551,1352,242,-10703,13883,3762,1410,293,2059,8867
1997:Q3,10330,492,-4851,7389,137,1378,137,-370,-272,1883,254,-12534,13287,4778,2365,297,2116,10330
1997:Q4,18300,-45,3023,-1038,728,1083,728,-239,-217,811,-430,-9275,16884,7370,1650,2137,3583,18300
1998:Q1,32809,-445,3120,606,327,6992,327,2593,4105,-33,51,7104,12247,2807,-469,1644,1632,32809
1998:Q2,22686,-455,4108,539,328,3205,328,2447,-1718,2148,52,5157,13812,-4060,-7564,1812,1692,22686
1998:Q3,20582,-459,3115,773,268,5833,268,1041,2249,2275,145,-2708,17098,-3483,-7030,1988,1559,20582
1998:Q4,22272,-62,2914,1186,189,-3268,189,912,-4524,155,-79,12898,11652,-3158,-2640,-599,81,22272
1999:Q1,-7658,288,-5748,4070,990,2309,563,-2127,2819,1054,452,-26737,15985,733,740,-2712,2705,-7658
1999:Q2,498,228,-4633,2815,136,1856,563,-532,1014,811,452,-13575,14886,-1667,-1662,-2711,2706,498
1999:Q3,6059,179,-6836,5146,564,1798,564,168,220,846,452,-20580,18635,6701,6707,-2712,2706,6059
1999:Q4,16245,456,-2252,546,562,4338,562,722,2214,840,452,13160,10359,-11376,-11370,-2711,2705,16245
2000:Q1,23785,224,-191,285,331,8175,331,141,8141,-438,309,3286,13409,-2043,-4675,-72,2704,23785
2000:Q2,4781,390,163,13,710,-5464,710,592,-4965,-1801,353,-5884,17347,-2847,-6965,-307,4425,4781
2000:Q3,6030,678,-756,2913,1258,-769,1258,2470,-1086,-3411,394,-10422,15228,-2494,-8596,-544,6646,6030
2000:Q4,13829,783,1711,864,1637,-879,1637,-857,3545,-5204,439,-7727,19213,-2212,-9793,-779,8360,13829
2001:Q1,-22508,-1309,-847,-3551,-6498,5487,-6498,1553,1767,8665,-2543,15469,18527,-47243,-15566,5969,-37646,-22508
2001:Q2,23613,1,-24,-194,-123,-9647,-123,-4730,-794,-4000,-79,13350,12131,8198,10598,-1240,-1160,23613
2001:Q3,5438,-30,-134,-389,-277,-8071,-277,685,-6910,-1569,-32,19295,19394,-24318,-22737,-1095,-486,5438
2001:Q4,31853,-78,-319,-1557,-494,-4471,-494,-4571,4994,-4400,-155,16897,10557,11473,16209,-2456,-2280,31853
2002:Q1,64124,327,1266,1120,1658,12417,1654,6177,2808,1778,422,4698,12603,29613,16898,6480,6235,64124
2002:Q2,-24373,33,120,5039,107,4308,107,-144,-1043,5388,12,-23525,16148,-26615,-26916,114,187,-24373
2002:Q3,-21812,32,114,3116,102,10433,102,960,667,8704,-38,-20088,16970,-32453,-31536,-348,-569,-21812
2002:Q4,5972,34,120,143,108,806,108,1231,-1104,571,-24,-10597,10670,4712,5283,-216,-355,5972
2003:Q1,63343,47,167,-1176,149,1043,149,1435,1566,-2107,63,48180,17393,-2523,-4033,565,945,63343
2003:Q2,31183,29,103,292,92,-2323,92,-1353,-229,-833,-67,3774,11901,17382,18969,-602,-985,31183
2003:Q3,8829,21,77,343,70,290,70,-207,163,264,4,-18498,15296,11226,11136,34,56,8829
2003:Q4,28268,11,37,27,33,-57,33,-13,361,-438,-15,-2692,12656,18268,18635,-140,-227,28268
2004:Q1,18646,-1,-2,-108,-7,-1102,1,68,-265,-906,-123,1621,19392,-1024,1917,-1115,-1826,18646
2004:Q2,25598,9,31,212,28,2783,28,657,664,1434,-5,2055,20464,21,134,-43,-70,25598
2004:Q3,41617,14,51,267,45,4793,45,1085,1179,2484,97,14014,20514,1822,-495,879,1438,41617
2004:Q4,47030,16,54,183,49,2089,49,247,1566,227,-94,13203,16011,15519,17757,-850,-1388,47030
2005:Q1,18154,19,72,383,72,1499,54,445,371,629,-13,-4012,21845,-1711,-1389,-121,-201,18154
2005:Q2,24076,17,62,343,55,1705,55,53,679,918,46,-672,19547,2973,3553,413,-993,24076
2005:Q3,28305,34,120,665,108,4784,108,931,1327,2418,27,-23,18105,4485,5497,245,-1257,28305
2005:Q4,24717,43,152,747,137,1861,137,339,511,874,-57,-1374,19802,3406,6357,-517,-2434,24717
2006:Q1,18910,223,259,943,-503,2698,250,311,1084,1053,345,-2456,11205,6196,3346,-543,3393,18910
2006:Q2,21196,223,259,1202,-503,2698,250,311,1084,1053,345,-2456,15039,4389,1540,-543,3392,21196
2006:Q3,19304,223,259,1106,-504,2698,250,311,1084,1053,345,-2456,11584,6049,3199,-543,3393,19304
2006:Q4,19413,223,258,1035,-503,2698,250,311,1084,1053,344,-2456,10002,7812,4963,-543,3392,19413
2007:Q1,19891,112,54,1832,0,1969,126,575,446,822,127,-6339,11821,10315,4613,518,5184,19891
2007:Q2,24610,112,54,1904,0,1969,126,575,446,822,126,-6339,13199,13585,7883,519,5183,24610
2007:Q3,20571,112,54,1986,0,1968,125,575,446,822,126,-6339,11872,10792,5090,518,5184,20571
2007:Q4,17825,111,54,1818,0,1969,126,575,446,822,126,-6339,12602,7484,1782,519,5183,17825
2008:Q1,14562,-364,169,5430,0,9259,395,3560,6869,-1565,-87,12198,2311,-14354,-11405,-493,-2456,14562
2008:Q2,25287,-364,169,5071,0,9258,394,3560,6869,-1565,-86,12198,6157,-7116,-4168,-493,-2455,25287
2008:Q3,12096,-364,169,5286,0,9259,395,3560,6869,-1565,-87,12198,1927,-16292,-13343,-493,-2456,12096
2008:Q4,10354,-364,169,5974,0,9258,394,3560,6869,-1565,-87,12198,2774,-19568,-16620,-492,-2456,10354
2009:Q1,27689,15,-82,-2251,0,3001,-193,3880,-4181,3495,-124,-10544,22816,14858,15408,-815,265,27689
2009:Q2,40624,14,-83,-2865,0,3001,-193,3880,-4181,3495,-124,-10544,24771,26454,27003,-815,266,40624
2009:Q3,39724,14,-83,-2895,0,3001,-193,3880,-4181,3495,-124,-10544,23797,26558,27108,-815,265,39724
2009:Q4,34291,14,-82,-2743,0,3001,-193,3880,-4181,3495,-123,-10544,23482,21286,21836,-815,265,34291
2010:Q1,37696,-133,-43,-1443,0,10663,-99,7067,2041,1654,400,6434,16890,4928,3206,505,1217,37696
2010:Q2,25194,-133,-42,-1375,0,10663,-99,7067,2041,1654,401,6434,13922,-4676,-6398,505,1217,25194
2010:Q3,39283,-133,-43,-1411,0,10663,-99,7067,2041,1654,401,6434,15319,8053,6330,506,1217,39283
2010:Q4,38581,-133,-42,-1454,0,10663,-99,7067,2041,1654,401,6434,16036,6676,4954,505,1217,38581
2011:Q1,14681,930,138,3970,0,-2473,322,1115,-2241,-1669,-546,-2490,5543,9609,3746,322,5541,14681
2011:Q2,15574,930,138,4285,0,-2472,323,1115,-2241,-1669,-545,-2490,7794,7934,1851,322,5761,15574
