1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,51862,22568,17898,3791,2237,1554,2062,2210,305,2674,-3127,12045,12045,0,6559,479,6080,6080,0,0,4837,2231,352,2058,196,0,54989,3987,2237,1554,196,0,25683,22568,479,2636,690,285,1661,4215,0,2210,2005,1541,67,397,305,0,305,2674,0,2674,18125,18125,0,-3127
1970:Q2,51164,21991,17823,2892,2562,330,3527,2705,334,2584,-2096,11404,11404,0,6655,521,6134,6134,0,0,4695,2205,472,1894,124,0,53260,3016,2562,330,124,0,25032,21991,521,2520,629,390,1501,4756,0,2705,2051,1576,82,393,334,0,334,2584,0,2584,17538,17538,0,-2096
1970:Q3,52947,23938,17205,3166,2313,853,3844,2727,364,2354,-1601,10195,10195,0,6640,452,6188,6188,0,0,5164,2348,497,2188,131,0,54548,3297,2313,853,131,0,27133,23938,452,2743,654,399,1690,5017,0,2727,2290,1694,98,498,364,0,364,2354,0,2354,16383,16383,0,-1601
1970:Q4,51198,24150,15134,4596,4261,335,3302,2699,387,2866,-2650,7236,7236,0,6908,656,6252,6252,0,0,5006,2472,560,2031,-58,0,53848,4539,4261,335,-58,0,27461,24150,656,2655,713,450,1492,5107,0,2699,2408,1759,110,539,387,0,387,2866,0,2866,13488,13488,0,-2650
1971:Q1,49586,25932,12288,2941,2550,391,5302,3124,408,3605,-1835,4045,4045,0,6703,419,6284,6284,0,0,4663,2390,634,1734,-95,0,51421,2846,2550,391,-95,0,28639,25932,419,2288,559,514,1215,5594,0,3124,2470,1831,120,519,408,0,408,3605,0,3605,10329,10329,0,-1835
1971:Q2,48304,24550,12105,2995,2549,446,6452,4175,443,3754,-1920,2658,2658,0,6939,508,6431,6431,0,0,4710,2489,624,1662,-65,0,50224,2930,2549,446,-65,0,27232,24550,508,2174,523,496,1155,6776,0,4175,2601,1966,128,507,443,0,443,3754,0,3754,9089,9089,0,-1920
1971:Q3,49219,25424,10914,2909,2527,382,5037,4254,507,3617,-3341,2968,2968,0,7531,810,6721,6721,0,0,5350,2572,693,2187,-102,0,52560,2807,2527,382,-102,0,28937,25424,810,2703,500,557,1646,7003,0,4254,2749,2072,136,541,507,0,507,3617,0,3617,9689,9689,0,-3341
1971:Q4,52079,27788,9890,4382,4343,39,3208,3527,514,3895,-4728,2300,2300,0,8731,1764,6967,6967,0,0,5670,2651,770,2372,-123,0,56807,4259,4343,39,-123,0,32624,27788,1764,3072,658,625,1789,6248,0,3527,2721,1993,145,583,514,0,514,3895,0,3895,9267,9267,0,-4728
1972:Q1,51986,28471,6414,3703,2673,1030,581,2500,561,4647,-7127,2130,2130,0,11044,4301,6743,6743,0,0,6057,2759,901,2486,-89,0,59113,3614,2673,1030,-89,0,36024,28471,4301,3252,645,747,1860,5394,0,2500,2894,2114,154,626,561,0,561,4647,0,4647,8873,8873,0,-7127
1972:Q2,55001,27482,8686,3429,3299,130,2992,3590,623,4313,-5534,2265,2265,0,12994,5799,7195,7195,0,0,5839,2964,878,2207,-211,0,60535,3219,3299,130,-211,0,36224,27482,5799,2943,643,717,1583,6696,0,3590,3106,2321,161,624,623,0,623,4313,0,4313,9460,9460,0,-5534
1972:Q3,56350,26692,7680,4584,3742,842,874,4120,676,4200,-8122,2222,2222,0,14871,7247,7624,7624,0,0,7107,3244,875,3044,-57,0,64472,4528,3742,842,-57,0,37717,26692,7247,3778,726,703,2349,7505,0,4120,3385,2518,172,695,676,0,676,4200,0,4200,9846,9846,0,-8122
1972:Q4,55197,25647,7331,5955,3974,1981,-737,4535,683,4548,-10503,2113,2113,0,13543,3793,9750,9750,0,0,8676,4020,1056,3528,72,0,65700,6027,3974,1981,72,0,33654,25647,3793,4214,997,647,2570,8925,0,4535,4390,3023,409,958,683,0,683,4548,0,4548,11863,11863,0,-10503
1973:Q1,57686,26873,6991,4149,2121,2028,866,4349,688,5137,-9308,1976,1976,0,14195,5914,8281,8281,0,0,9627,4286,1164,4177,0,0,66994,4149,2121,2028,0,0,37578,26873,5914,4791,1209,576,3006,9185,0,4349,4836,3077,588,1171,688,0,688,5137,0,5137,10257,10257,0,-9308
1973:Q2,60172,24818,7725,3818,2048,1770,1582,6691,694,5086,-10889,2325,2325,0,17107,7592,9515,9515,0,0,10522,4636,1267,4619,0,0,71061,3818,2048,1770,0,0,37456,24818,7592,5046,1005,695,3346,12167,0,6691,5476,3631,572,1273,694,0,694,5086,0,5086,11840,11840,0,-10889
1973:Q3,70488,30962,12224,7558,3036,4522,2749,4730,832,4124,-6937,1917,1917,0,16840,7341,9499,9499,0,0,10462,4936,1101,4425,0,0,77425,7558,3036,4522,0,0,43243,30962,7341,4940,1180,542,3218,10252,0,4730,5522,3756,559,1207,832,0,832,4124,0,4124,11416,11416,0,-6937
1973:Q4,64459,27060,7319,4357,3099,1258,1076,5845,969,4140,-9878,1886,1886,0,17669,8175,9494,9494,0,0,12411,5894,1389,5128,0,0,74337,4357,3099,1258,0,0,41003,27060,8175,5768,1642,686,3440,12488,0,5845,6643,4252,703,1688,969,0,969,4140,0,4140,11380,11380,0,-9878
1974:Q1,74738,28410,11856,4255,2222,2033,2265,6401,850,5257,-10243,5336,5336,0,20354,8451,11903,11903,0,0,14118,6567,1129,6420,2,0,84981,4257,2222,2033,2,0,44578,28410,8451,7717,2429,547,4741,12800,0,6401,6399,4138,582,1679,850,0,850,5257,0,5257,17239,17239,0,-10243
1974:Q2,94560,30086,20088,5507,2297,3210,10423,10394,730,5456,-6157,4158,4158,0,24176,11614,12562,12562,0,0,20210,9845,1856,8466,43,0,100717,5550,2297,3210,43,0,51939,30086,11614,10239,3488,1013,5738,20322,0,10394,9928,6357,843,2728,730,0,730,5456,0,5456,16720,16720,0,-6157
1974:Q3,95100,33256,18457,8913,3721,5192,5922,6151,675,4314,-5218,3622,3622,0,23431,9879,13552,13552,0,0,19956,10626,1708,7503,119,0,100318,9032,3721,5192,119,0,54541,33256,9879,11406,5058,976,5372,14582,0,6151,8431,5568,732,2131,675,0,675,4314,0,4314,17174,17174,0,-5218
1974:Q4,87193,25843,11589,2300,2001,299,4825,7322,787,4755,-8039,4464,4464,0,26932,12949,13983,13983,0,0,22829,12324,2261,8244,-1,0,95232,2300,2001,299,-1,0,51202,25843,12949,12410,5809,1332,5269,17741,0,7322,10419,6515,929,2975,787,0,787,4755,0,4755,18447,18447,0,-8039
1975:Q1,89636,30437,10237,2976,2163,813,4618,5617,795,6225,-8019,2643,2643,0,24600,11177,13423,13423,0,0,24362,15118,2513,6726,5,0,97655,2981,2163,813,5,0,56509,30437,11177,14895,8941,1485,4469,15079,0,5617,9462,6177,1028,2257,795,0,795,6225,0,6225,16066,16066,0,-8019
1975:Q2,89976,25976,8706,2352,1791,561,4010,8513,803,6715,-12021,2344,2344,0,25696,12172,13524,13524,0,0,29598,18561,3002,8022,13,0,101997,2365,1791,561,13,0,57409,25976,12172,19261,12283,1835,5143,18837,0,8513,10324,6278,1167,2879,803,0,803,6715,0,6715,15868,15868,0,-12021
1975:Q3,94108,29363,10709,3808,2406,1402,3633,6130,850,5185,-8532,3268,3268,0,25114,9976,15138,15138,0,0,28922,17851,2135,9008,-73,0,102640,3736,2406,1402,-73,0,57789,29363,9976,18450,11026,1181,6243,16674,0,6130,10544,6825,954,2765,850,0,850,5185,0,5185,18406,18406,0,-8532
1975:Q4,95983,26052,9163,3917,3688,229,1581,8295,899,5140,-12753,3665,3665,0,26890,12049,14841,14841,0,0,33878,20391,4112,9335,40,0,108736,3957,3688,229,40,0,59056,26052,12049,20955,12149,2607,6199,21178,0,8295,12883,8242,1505,3136,899,0,899,5140,0,5140,18506,18506,0,-12753
1976:Q1,100654,28150,9994,2164,2110,54,4305,7931,875,6153,-10654,3525,3525,0,26839,11719,15120,15120,0,0,35671,22950,2343,10092,286,0,111308,2450,2110,54,286,0,62582,28150,11719,22713,15295,1374,6044,20603,0,7931,12672,7655,969,4048,875,0,875,6153,0,6153,18645,18645,0,-10654
1976:Q2,108373,27460,10357,3891,3577,314,3194,7617,864,5741,-11028,3272,3272,0,28594,12110,16484,16484,0,0,41962,25377,4743,11359,483,0,119401,4374,3577,314,483,0,66348,27460,12110,26778,16502,3624,6652,22318,0,7617,14701,8875,1119,4707,864,0,864,5741,0,5741,19756,19756,0,-11028
1976:Q3,112098,29716,12301,3137,2811,326,5917,10585,800,4484,-9952,3247,3247,0,29853,12182,17671,17671,0,0,40228,26840,2510,10759,119,0,122050,3256,2811,326,119,0,68464,29716,12182,26566,19010,1518,6038,24128,0,10585,13543,7830,992,4721,800,0,800,4484,0,4484,20918,20918,0,-9952
1976:Q4,116625,25158,9925,2626,2601,25,2976,10876,744,4898,-13542,4323,4323,0,33014,14200,18814,18814,0,0,48528,29055,5929,13534,10,0,130167,2636,2601,25,10,0,70209,25158,14200,30851,19773,4526,6552,28543,0,10876,17667,9282,1403,6982,744,0,744,4898,0,4898,23137,23137,0,-13542
1977:Q1,115734,26883,11476,3062,2913,149,4792,12528,900,6254,-14890,3622,3622,0,31563,13896,17667,17667,0,0,45812,28429,5776,11679,-73,0,130624,2990,2913,149,-73,0,72312,26883,13896,31533,21017,4463,6053,26879,0,12528,14351,7412,1313,5626,900,0,900,6254,0,6254,21289,21289,0,-14890
1977:Q2,121806,24562,14329,3864,3604,260,6853,13399,1093,5932,-13571,3612,3612,0,34157,14873,19284,19284,0,0,48758,31261,5327,12159,11,0,135377,3875,3604,260,11,0,72231,24562,14873,32796,22821,3801,6174,29350,0,13399,15951,8440,1526,5985,1093,0,1093,5932,0,5932,22896,22896,0,-13571
1977:Q3,124968,23953,13715,3248,1956,1292,2236,12237,1172,5345,-16518,8231,8231,0,37196,16749,20447,20447,0,0,50104,29510,6811,13751,32,0,141486,3280,1956,1292,32,0,71087,23953,16749,30385,20073,4056,6256,31924,0,12237,19687,9437,2755,7495,1172,0,1172,5345,0,5345,28678,28678,0,-16518
1977:Q4,143380,26870,13273,4075,3810,265,1392,14610,1252,5876,-20346,7806,7806,0,42174,17776,24398,24398,0,0,61063,36915,7956,16184,8,0,163726,4083,3810,265,8,0,81390,26870,17776,36744,24542,4934,7268,38921,0,14610,24311,12373,3022,8916,1252,0,1252,5876,0,5876,32204,32204,0,-20346
1978:Q1,151348,27900,15280,3064,2732,332,5508,12249,1332,7422,-15495,6708,6708,0,43453,19355,24098,24098,0,0,64715,40692,7176,16821,26,0,166843,3090,2732,332,26,0,85874,27700,19355,38819,27650,4385,6784,38319,200,12249,25870,13042,2791,10037,1332,0,1332,7422,0,7422,30806,30806,0,-15495
1978:Q2,150717,27920,14820,4746,3318,1428,3324,12779,1414,6099,-16968,6750,6750,0,46053,20511,25542,25542,0,0,61924,37998,6500,17410,16,0,167685,4762,3318,1428,16,0,83374,27431,20511,35432,25199,3590,6643,39744,489,12779,26476,12799,2910,10767,1414,0,1414,6099,0,6099,32292,32292,0,-16968
1978:Q3,162179,26830,20208,5084,3719,1365,4431,15568,1489,5137,-17763,10693,10693,0,52380,22265,30115,30115,0,0,62761,37135,6209,19410,7,0,179942,5091,3719,1365,7,0,82237,26356,22265,33616,22930,3299,7387,45180,474,15568,29138,14205,2910,12023,1489,0,1489,5137,0,5137,40808,40808,0,-17763
1978:Q4,188848,31223,22623,7688,6516,1172,2774,17246,1578,4537,-20587,12161,12161,0,58999,27527,31472,31472,0,0,76003,43393,7484,25707,-581,0,209435,7107,6516,1172,-581,0,100101,30645,27527,41929,27682,4081,10166,52479,578,17246,34655,15711,3403,15541,1578,0,1578,4537,0,4537,43633,43633,0,-20587
1979:Q1,189938,31714,26339,5300,4337,963,3725,18028,1673,5922,-21898,17314,17314,0,63722,26202,37520,37520,0,0,68163,37855,7790,21959,559,0,211836,5859,4337,963,559,0,90184,31097,26202,32885,21886,3381,7618,53364,617,18028,34719,15969,4409,14341,1673,0,1673,5922,0,5922,54834,54834,0,-21898
1979:Q2,205319,30407,32147,5482,3924,1558,4024,17670,1755,6803,-22204,22641,22641,0,70302,29301,41001,41001,0,0,72463,40354,8771,23431,-94,0,227523,5389,3924,1558,-94,0,90511,29607,29301,31603,21261,3337,7005,59423,800,17670,40953,19093,5434,16426,1755,0,1755,6803,0,6803,63642,63642,0,-22204
1979:Q3,228072,29089,38107,3810,2654,1156,4366,20837,2090,6412,-24973,29931,29931,0,81562,36171,45391,45391,0,0,79314,44442,9611,25387,-126,0,253045,3684,2654,1156,-126,0,100634,28196,36171,36267,24089,4739,7439,64903,893,20837,43173,20353,4872,17948,2090,0,2090,6412,0,6412,75322,75322,0,-24973
1979:Q4,239465,29792,40216,8221,6767,1454,6070,22028,2441,5760,-24159,25925,25925,0,85757,38815,46942,46942,0,0,83700,54203,7295,21622,580,0,263624,8801,6767,1454,580,0,108590,29226,38815,40549,28785,3916,7848,65165,566,22028,42571,25418,3379,13774,2441,0,2441,5760,0,5760,72867,72867,0,-24159
1980:Q1,238522,32270,38562,6184,3682,2502,4154,20630,2531,5445,-24452,28224,28224,0,89773,40425,49348,49348,0,0,77917,52773,6033,19485,-374,0,262974,5810,3682,2502,-374,0,108094,31504,40425,36165,25066,3957,7142,63522,766,20630,42126,27707,2076,12343,2531,0,2531,5445,0,5445,77572,77572,0,-24452
1980:Q2,245115,33612,23994,4382,4167,215,1047,18562,2621,7985,-28121,18565,18565,0,93415,43318,50097,50097,0,0,94094,64096,9525,20936,-463,0,273236,3919,4167,215,-463,0,121126,32824,43318,44984,32641,4953,7390,68923,788,18562,49573,31455,4572,13546,2621,0,2621,7985,0,7985,68662,68662,0,-28121
1980:Q3,262168,28146,25820,4174,3192,982,1961,20946,2711,8808,-30504,19685,19685,0,101243,45752,55491,55491,0,0,106959,74331,9984,23476,-832,0,292672,3342,3192,982,-832,0,129413,27634,45752,56027,42192,5685,8150,73222,512,20946,51764,32139,4299,15326,2711,0,2711,8808,0,8808,75176,75176,0,-30504
1980:Q4,288026,27456,26691,6276,4467,1809,213,21298,2800,8270,-32155,20202,20202,0,113839,53441,60398,60398,0,0,120040,80996,12707,26300,37,0,320181,6313,4467,1809,37,0,141124,26737,53441,60946,43285,7319,10342,81074,719,21298,59057,37711,5388,15958,2800,0,2800,8270,0,8270,80600,80600,0,-32155
1981:Q1,281707,26164,26106,3917,3261,656,3548,24468,2754,9164,-32838,18641,18641,0,112537,57008,55529,55529,0,0,116900,81275,11681,22831,1113,0,314545,5030,3261,656,1113,0,145725,25257,57008,63460,45467,8119,9874,77702,907,24468,52327,35808,3562,12957,2754,0,2754,9164,0,9164,74170,74170,0,-32838
1981:Q2,333442,23626,46281,3516,2506,1010,18454,38817,2775,8522,-31660,24311,24311,0,136962,76073,60889,60889,0,0,126573,88673,13168,23677,1055,0,365102,4571,2506,1010,1055,0,166688,22482,76073,68133,49118,9360,9655,97346,1144,38817,57385,39555,3808,14022,2775,0,2775,8522,0,8522,85200,85200,0,-31660
1981:Q3,364831,27243,52712,5297,2811,2486,15143,38023,2833,7456,-33169,32272,32272,0,147173,78821,68352,68352,0,0,137703,96502,15132,25527,542,0,398000,5839,2811,2486,542,0,179521,25826,78821,74874,53373,10838,10663,101727,1417,38023,62287,43129,4294,14864,2833,0,2833,7456,0,7456,100624,100624,0,-33169
1981:Q4,344566,25228,27986,3363,1762,1601,-8282,14693,2900,8709,-34584,32905,32905,0,128116,59960,68156,68156,0,0,163236,106055,21035,35904,242,0,379150,3605,1762,1601,242,0,167704,23912,59960,83832,57000,13018,13814,95171,1316,14693,79162,49055,8017,22090,2900,0,2900,8709,0,8709,101061,101061,0,-34584
1982:Q1,366809,26357,35388,4528,1882,2646,-4048,14518,2999,12577,-34142,34908,34908,0,124273,58178,66095,66095,0,0,180791,115650,30080,34668,393,0,400951,4921,1882,2646,393,0,186735,24964,58178,103593,67250,19857,16485,92717,1393,14518,76806,48400,10223,18183,2999,0,2999,12577,0,12577,101003,101003,0,-34142
1982:Q2,395084,20198,40523,4183,2545,1638,1446,16209,3145,12903,-30811,34894,34894,0,128506,60481,68025,68025,0,0,205857,125800,41217,38561,280,0,425895,4463,2545,1638,280,0,202406,18886,60481,123039,77500,26839,18700,100060,1312,16209,82539,48300,14378,19861,3145,0,3145,12903,0,12903,102919,102919,0,-30811
1982:Q3,423955,20318,44424,1673,550,1123,9255,21439,3294,14066,-29544,33496,33496,0,137442,71004,66438,66438,0,0,221772,135950,45428,39593,801,0,453500,2474,550,1123,801,0,223428,18771,71004,133653,87750,28211,17692,110304,1547,21439,87318,48200,17217,21901,3294,0,3294,14066,0,14066,99934,99934,0,-29544
1982:Q4,436899,26489,43475,3452,2735,717,8847,20215,3400,16330,-31098,31176,31176,0,134925,69449,65476,65476,0,0,232010,139004,48458,43890,658,0,467997,4110,2735,717,658,0,234387,24826,69449,140112,90904,30105,19103,113118,1663,20215,91240,48100,18353,24787,3400,0,3400,16330,0,16330,96652,96652,0,-31098
1983:Q1,450936,23419,42666,3294,486,2808,7825,22641,3470,21954,-40240,31547,31547,0,144049,74618,69431,69431,0,0,240802,146997,49168,43975,662,0,491176,3956,486,2808,662,0,245138,21592,74618,148928,98997,30245,19686,115680,1827,22641,91212,48000,18923,24289,3470,0,3470,21954,0,21954,100978,100978,0,-40240
1983:Q2,448164,18004,47113,4630,1020,3610,13040,23293,3503,21717,-35473,29443,29443,0,140272,72578,67694,67694,0,0,242775,144479,53287,44614,395,0,483637,5025,1020,3610,395,0,239640,16763,72578,150299,96579,33188,20532,116615,1241,23293,92081,47900,20099,24082,3503,0,3503,21717,0,21717,97137,97137,0,-35473
1983:Q3,459579,20697,50365,1565,-60,1625,18306,26887,3536,17933,-30050,30494,30494,0,148618,80216,68402,68402,0,0,239899,139292,54784,45557,266,0,489629,1831,-60,1625,266,0,245443,19759,80216,145468,91492,32607,21369,121990,938,26887,94165,47800,22177,24188,3536,0,3536,17933,0,17933,98896,98896,0,-30050
1983:Q4,439352,21446,44170,2481,1563,918,1043,25940,3600,18376,-46873,40646,40646,0,153603,79257,74346,74346,0,0,220133,139525,44676,35388,544,0,486225,3025,1563,918,544,0,226415,20449,79257,126709,91825,22930,11954,119817,997,25940,92880,47700,21746,23434,3600,0,3600,18376,0,18376,114992,114992,0,-46873
1984:Q1,465533,22167,61012,1683,787,896,17792,31993,3699,19544,-37444,41537,41537,0,151420,82644,68776,68776,0,0,230934,140126,50982,39224,603,0,502977,2286,787,896,603,0,236936,21267,82644,133025,92526,26279,14220,130200,900,31993,97307,47600,24703,25004,3699,0,3699,19544,0,19544,110313,110313,0,-37444
1984:Q2,491482,20252,75381,4105,-655,4760,23292,34810,3825,20232,-35575,47984,47984,0,158821,84701,74120,74120,0,0,237028,141619,56410,38431,569,0,527057,4674,-655,4760,569,0,237861,19252,84701,133908,94119,26425,13365,138361,1000,34810,102551,47500,29985,25066,3825,0,3825,20232,0,20232,122104,122104,0,-35575
1984:Q3,499876,23612,81305,6922,289,6633,30073,38328,3958,18857,-31070,44310,44310,0,157293,82069,75224,75224,0,0,237667,140097,57804,39262,504,0,530947,7426,289,6633,504,0,240893,22512,82069,136312,92697,27848,15767,140279,1100,38328,100851,47400,29956,23495,3958,0,3958,18857,0,18857,119534,119534,0,-31070
1984:Q4,507279,21819,78950,4432,855,3577,32007,38049,4075,17584,-27701,42511,42511,0,159294,82211,77083,77083,0,0,247216,143055,61619,42272,269,0,534980,4701,855,3577,269,0,245330,20519,82211,142600,95755,29424,17420,143696,1300,38049,104347,47300,32195,24852,4075,0,4075,17584,0,17584,119594,119594,0,-27701
1985:Q1,521837,26997,87203,2880,298,2582,37151,41845,4194,19676,-28564,47172,47172,0,160913,85875,75038,75038,0,0,246725,139271,62878,44126,451,0,550402,3331,298,2582,451,0,251173,25547,85875,139751,92071,30061,17620,149818,1450,41845,106523,47200,32817,26506,4194,0,4194,19676,0,19676,122210,122210,0,-28564
1985:Q2,528845,27236,90418,1600,262,1338,37558,41369,4325,21244,-29380,51260,51260,0,163178,86545,76633,76633,0,0,248013,145840,58777,42951,446,0,558225,2046,262,1338,446,0,256103,25636,86545,143922,98740,27980,17202,146615,1600,41369,103646,47100,30797,25749,4325,0,4325,21244,0,21244,127893,127893,0,-29380
1985:Q3,544487,27162,94359,2589,69,2520,39817,44440,4438,21611,-30672,51953,51953,0,170544,90097,80447,80447,0,0,252421,146457,60226,45110,628,0,575158,3217,69,2520,628,0,261269,25462,90097,145710,99457,28324,17928,152224,1700,44440,106084,47000,31902,27182,4438,0,4438,21611,0,21611,132400,132400,0,-30672
1985:Q4,561274,28631,97063,4048,988,3060,34109,42085,4500,23256,-35732,58906,55761,3145,183017,79595,103422,91403,12019,0,252564,149876,57233,44867,588,0,597007,4636,988,3060,588,0,248920,26617,79595,142708,99995,25961,16752,153367,2014,42085,109268,49881,31272,28115,4500,0,4500,23256,0,23256,162328,147164,15164,-35732
1986:Q1,560844,30782,85737,1378,560,818,29158,44231,4529,26519,-46121,55201,51488,3713,194611,78784,115827,102140,13687,0,249714,148495,57461,43068,691,0,606965,2069,560,818,691,0,242511,28930,78784,134797,93876,25105,15816,160310,1852,44231,114227,54619,32356,27252,4529,0,4529,26519,0,26519,171028,153628,17400,-46121
1986:Q2,573156,31940,81780,1235,283,952,32527,49096,4533,29021,-50123,48018,44561,3457,205197,81352,123845,110349,13496,0,254238,152600,58055,42998,586,0,623279,1821,283,952,586,0,244088,29374,81352,133362,93730,23868,15764,171953,2566,49096,120291,58870,34187,27234,4533,0,4533,29021,0,29021,171863,154910,16953,-50123
1986:Q3,637970,36794,100676,1728,849,879,43769,55341,4498,30794,-46864,55180,51682,3498,223676,90253,133423,118165,15258,0,276823,168262,65952,41877,733,0,684834,2461,849,879,733,0,263875,34829,90253,138793,99766,24886,14142,194603,1965,55341,137297,68496,41066,27735,4498,0,4498,30794,0,30794,188603,169847,18756,-46864
1986:Q4,713441,48107,99609,2826,1261,1565,45207,60723,4406,31007,-50929,51576,47730,3846,261600,100279,161321,143130,18191,0,304125,190740,65153,47418,814,0,764370,3640,1261,1565,814,0,285263,45501,100279,139483,98695,24795,15993,227157,2606,60723,163828,92045,40358,31425,4406,0,4406,31007,0,31007,212897,190860,22037,-50929
1987:Q1,686181,41973,110686,6828,5241,1587,53178,59474,4248,33386,-43930,50680,47374,3306,253217,100803,152414,135081,17333,0,280305,171059,64636,43789,821,0,730111,7649,5241,1587,821,0,263938,39739,100803,123396,85374,24175,13847,217796,2234,59474,156088,85685,40461,29942,4248,0,4248,33386,0,33386,203094,182455,20639,-43930
1987:Q2,721662,36102,117212,2551,1579,972,55827,63944,4002,35303,-47422,58834,55182,3652,264828,108425,156403,136995,19408,0,303520,181950,73606,45738,2226,0,769084,4777,1579,972,2226,0,264621,33306,108425,122890,86111,23828,12951,245144,2796,63944,178404,95839,49778,32787,4002,0,4002,35303,0,35303,215237,192177,23060,-47422
1987:Q3,760083,39027,137598,2189,248,1941,64274,67033,3751,31721,-38231,71135,67330,3805,278292,110883,167409,146397,21012,0,305165,185783,72593,46688,102,0,798314,2291,248,1941,102,0,271986,36326,110883,124777,89149,22389,13239,250021,2701,67033,180287,96634,50204,33449,3751,0,3751,31721,0,31721,238544,213727,24817,-38231
1987:Q4,791366,41784,127007,4626,811,3815,55259,68031,3571,31408,-47751,67123,62731,4392,304113,110969,193144,168739,24405,0,318462,197832,73323,48176,-869,0,839117,3757,811,3815,-869,0,271684,39594,110969,121121,82868,24169,14084,268431,2190,68031,198210,114964,49154,34092,3571,0,3571,31408,0,31408,260267,231470,28797,-47751
1988:Q1,770232,38777,116980,2609,298,2311,53279,65426,3405,34457,-50009,61091,57181,3910,296763,107619,189144,167594,21550,0,317712,199377,70458,47015,863,0,820241,3472,298,2311,863,0,259912,36647,107619,115646,79547,22604,13495,268760,2130,65426,201204,119830,47854,33520,3405,0,3405,34457,0,34457,250235,224775,25460,-50009
1988:Q2,807565,35681,128351,2723,259,2464,57717,68725,3257,32892,-47157,67912,64405,3507,313942,110681,203261,183875,19386,0,329591,205047,77971,45744,830,0,854722,3553,259,2464,830,0,258936,34391,110681,113864,73903,26135,13827,284912,1290,68725,214897,131144,51836,31917,3257,0,3257,32892,0,32892,271173,248280,22893,-47157
1988:Q3,856775,39038,140560,3353,1199,2154,62156,75306,3123,29644,-45917,75051,71528,3523,326722,120287,206435,186413,20022,0,350455,227080,80550,42304,521,0,902692,3874,1199,2154,521,0,278719,37677,120287,120755,81461,26439,12854,305847,1361,75306,229180,145619,54111,29450,3123,0,3123,29644,0,29644,281486,257941,23545,-45917
1988:Q4,870999,39347,137274,3456,1286,2170,54348,72517,2997,28151,-49317,79470,76065,3405,335049,116575,218474,196941,21533,0,359329,232811,83846,42225,448,0,920316,3904,1286,2170,448,0,283292,38273,116575,128444,92370,24933,11142,304028,1074,72517,230437,140441,58913,31083,2997,0,2997,28151,0,28151,297944,273006,24938,-49317
1989:Q1,896114,37394,140967,3011,557,2454,61420,73627,2888,28177,-43272,76536,73112,3424,338205,116471,221734,200103,21631,0,379549,248698,87463,43052,336,0,939387,3347,557,2454,336,0,283286,36374,116471,130441,93888,25198,11355,323419,1020,73627,248772,154810,62265,31697,2888,0,2888,28177,0,28177,298270,273215,25055,-43272
1989:Q2,845512,37381,129693,638,-203,841,58222,80103,2791,26534,-51206,70833,67196,3637,325185,122999,202186,179219,22967,0,353253,225470,85221,39108,3455,0,896718,4093,-203,841,3455,0,276988,35998,122999,117991,83125,23998,10868,313294,1383,80103,231808,142345,61223,28240,2791,0,2791,26534,0,26534,273019,246415,26604,-51206
1989:Q3,871991,32253,132730,1099,501,598,67498,89820,2708,25667,-50697,64133,61045,3088,344715,134140,210575,188642,21933,0,362292,230896,88375,36150,6871,0,922687,7970,501,598,6871,0,276645,31336,134140,111169,77194,23517,10458,334989,917,89820,244252,153702,64858,25692,2708,0,2708,25667,0,25667,274708,249687,25021,-50697
1989:Q4,909859,38327,129478,1612,1131,481,60878,88838,2637,26047,-56644,66987,63635,3352,355932,135867,220065,194928,25137,0,386123,251097,91028,34940,9058,0,966503,10670,1131,481,9058,0,294954,37292,135867,121795,89461,22684,9650,345143,1035,88838,255270,161636,68344,25290,2637,0,2637,26047,0,26047,287052,258563,28489,-56644
1990:Q1,851669,36129,117289,2539,376,2163,61063,83810,2499,27346,-52592,53687,50652,3035,339972,129045,210927,189540,21387,0,358279,230602,86296,31141,10240,0,904261,12779,376,2163,10240,0,264657,34659,129045,100953,72376,20238,8339,332267,1371,83810,247086,158226,66058,22802,2598,99,2499,27346,0,27346,264614,240192,24422,-52592
1990:Q2,857517,36336,114487,1242,656,586,55471,77212,2528,27966,-52235,57774,54283,3491,342102,128568,213534,190053,23481,0,364593,234785,86573,32657,10578,0,909752,11820,656,586,10578,0,253606,35232,128568,89806,61510,19818,8478,342454,1033,77212,264209,173275,66755,24179,2599,71,2528,27966,0,27966,271308,244336,26972,-52235
1990:Q3,877056,33834,127758,2382,1877,505,59650,84612,2503,26693,-54158,65726,62062,3664,348502,121722,226780,201504,25276,0,366962,236513,90670,30031,9747,0,931214,12129,1877,505,9747,0,253260,32430,121722,99108,71276,19785,8046,344037,1318,84612,258107,165237,70885,21985,2589,86,2503,26693,0,26693,292506,263566,28940,-54158
1990:Q4,931249,38658,141847,2412,2222,190,58082,89571,2411,26476,-60376,81354,77529,3825,360942,133773,227169,195510,31659,0,389802,264896,90469,27901,6537,0,991625,8949,2222,190,6537,0,291999,37350,133773,120876,97068,17683,6126,353170,1210,89571,262389,167828,72786,21775,2509,98,2411,26476,0,26476,308523,273039,35484,-60376
