1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22899,20056,972,1203,1184,19,-946,100,174,409,-1629,715,715,0,1256,30,1226,1226,0,0,615,203,62,350,0,0,24528,1203,1184,19,0,0,20437,20056,30,351,0,53,298,364,0,100,264,203,9,52,174,0,174,409,0,409,1941,1941,0,-1629
1952:Q1,22949,20276,651,867,710,157,-944,115,176,415,-1650,728,728,0,1428,33,1395,1395,0,0,594,229,56,309,0,0,24599,867,710,157,0,0,20603,20276,33,294,0,46,248,415,0,115,300,229,10,61,176,0,176,415,0,415,2123,2123,0,-1650
1952:Q2,21756,19381,234,625,581,44,-1113,128,175,436,-1852,722,722,0,1567,34,1533,1533,0,0,574,252,55,267,0,0,23608,625,581,44,0,0,19662,19381,34,247,0,44,203,455,0,128,327,252,11,64,175,0,175,436,0,436,2255,2255,0,-1852
1952:Q3,23798,20581,1302,1093,738,355,-446,118,173,441,-1178,655,655,0,1382,30,1352,1352,0,0,533,229,52,252,0,0,24976,1093,738,355,0,0,20858,20581,30,247,0,42,205,404,0,118,286,229,10,47,173,0,173,441,0,441,2007,2007,0,-1178
1952:Q4,22780,19950,802,1094,967,127,-953,124,170,491,-1738,661,661,0,1456,32,1424,1424,0,0,572,241,86,245,0,0,24518,1094,967,127,0,0,20243,19950,32,261,0,76,185,435,0,124,311,241,10,60,170,0,170,491,0,491,2085,2085,0,-1738
1953:Q1,23402,20148,1267,1500,810,690,-939,122,170,474,-1705,706,706,0,1396,30,1366,1366,0,0,591,271,59,261,0,0,25107,1500,810,690,0,0,20433,20148,30,255,0,48,207,458,0,122,336,271,11,54,170,0,170,474,0,474,2072,2072,0,-1705
1953:Q2,21965,19561,450,655,601,54,-904,126,171,521,-1722,699,699,0,1428,30,1398,1398,0,0,526,243,71,212,0,0,23687,655,601,54,0,0,19811,19561,30,220,0,60,160,432,0,126,306,243,11,52,171,0,171,521,0,521,2097,2097,0,-1722
1953:Q3,22415,19309,1206,1014,685,329,-546,125,172,521,-1364,738,738,0,1403,30,1373,1373,0,0,497,242,71,184,0,0,23779,1014,685,329,0,0,19541,19309,30,202,0,60,142,420,0,125,295,242,11,42,172,0,172,521,0,521,2111,2111,0,-1364
1953:Q4,22756,20160,533,948,935,13,-985,133,173,581,-1872,570,570,0,1479,32,1447,1447,0,0,584,256,79,249,0,0,24628,948,935,13,0,0,20451,20160,32,259,0,66,193,458,0,133,325,256,13,56,173,0,173,581,0,581,2017,2017,0,-1872
1954:Q1,21121,19194,-111,667,535,132,-1267,133,173,610,-2183,489,489,0,1471,32,1439,1439,0,0,567,257,69,241,0,0,23304,667,535,132,0,0,19472,19194,32,246,0,57,189,454,0,133,321,257,12,52,173,0,173,610,0,610,1928,1928,0,-2183
1954:Q2,21225,19011,97,589,567,22,-972,137,172,648,-1929,480,480,0,1511,32,1479,1479,0,0,606,266,87,253,0,0,23154,589,567,22,0,0,19319,19011,32,276,0,73,203,467,0,137,330,266,14,50,172,0,172,648,0,648,1959,1959,0,-1929
1954:Q3,21038,18331,525,685,511,174,-670,140,171,690,-1671,510,510,0,1537,34,1503,1503,0,0,645,272,114,259,0,0,22709,685,511,174,0,0,18681,18331,34,316,0,100,216,469,0,140,329,272,14,43,171,0,171,690,0,690,2013,2013,0,-1671
1954:Q4,21346,18876,21,818,808,10,-1306,152,167,782,-2407,509,509,0,1696,38,1658,1658,0,0,753,297,141,315,0,0,23753,818,808,10,0,0,19297,18876,38,383,0,126,257,522,0,152,370,297,15,58,167,0,167,782,0,782,2167,2167,0,-2407
1955:Q1,21021,18388,305,1150,552,598,-1356,147,168,781,-2452,511,511,0,1640,36,1604,1604,0,0,688,289,107,292,0,0,23473,1150,552,598,0,0,18759,18388,36,335,0,93,242,500,0,147,353,289,14,50,168,0,168,781,0,781,2115,2115,0,-2452
1955:Q2,20946,18066,360,925,850,75,-1103,155,169,811,-2238,538,538,0,1752,38,1714,1714,0,0,768,304,128,336,0,0,23184,925,850,75,0,0,18504,18066,38,400,0,113,287,523,0,155,368,304,15,49,169,0,169,811,0,811,2252,2252,0,-2238
1955:Q3,22159,18475,1220,1437,788,649,-787,152,171,839,-1949,570,570,0,1703,38,1665,1665,0,0,761,296,107,358,0,0,24108,1437,788,649,0,0,18926,18475,38,413,0,92,321,500,0,152,348,296,15,37,171,0,171,839,0,839,2235,2235,0,-1949
1955:Q4,22734,19005,1104,1692,1585,107,-1141,154,174,924,-2393,553,553,0,1750,38,1712,1712,0,0,875,303,116,456,0,0,25127,1692,1585,107,0,0,19555,19005,38,512,0,102,410,517,0,154,363,303,14,46,174,0,174,924,0,924,2265,2265,0,-2393
1956:Q1,22146,18582,947,1499,793,706,-1167,157,178,993,-2495,615,615,0,1783,38,1745,1745,0,0,834,311,105,418,0,0,24641,1499,793,706,0,0,19085,18582,38,465,0,90,375,526,0,157,369,311,15,43,178,0,178,993,0,993,2360,2360,0,-2495
1956:Q2,21840,18443,616,1438,1206,232,-1268,168,183,1009,-2628,446,446,0,1909,43,1866,1866,0,0,872,333,89,450,0,0,24468,1438,1206,232,0,0,18965,18443,43,479,0,72,407,561,0,168,393,333,17,43,183,0,183,1009,0,1009,2312,2312,0,-2628
1956:Q3,23323,18656,1674,1633,1060,573,-636,178,189,1007,-2010,677,677,0,2027,45,1982,1982,0,0,966,354,146,466,0,0,25333,1633,1060,573,0,0,19254,18656,45,553,0,127,426,591,0,178,413,354,19,40,189,0,189,1007,0,1007,2659,2659,0,-2010
1956:Q4,23388,19059,1253,1690,1665,25,-1051,183,195,1117,-2546,614,614,0,2076,47,2029,2029,0,0,1000,363,84,553,0,0,25934,1690,1665,25,0,0,19673,19059,47,567,0,64,503,616,0,183,433,363,20,50,195,0,195,1117,0,1117,2643,2643,0,-2546
1957:Q1,22003,18350,597,1399,807,592,-1355,181,202,1178,-2916,553,553,0,2044,47,1997,1997,0,0,1012,359,94,559,0,0,24919,1399,807,592,0,0,18983,18350,47,586,0,70,516,607,0,181,426,359,24,43,202,0,202,1178,0,1178,2550,2550,0,-2916
1957:Q2,22809,18628,941,1853,1029,824,-1356,187,210,1170,-2923,444,444,0,2161,53,2108,2108,0,0,1079,374,104,601,0,0,25732,1853,1029,824,0,0,19316,18628,53,635,0,76,559,631,0,187,444,374,28,42,210,0,210,1170,0,1170,2552,2552,0,-2923
1957:Q3,23108,18594,1342,1761,985,776,-810,184,218,1145,-2357,391,391,0,2139,53,2086,2086,0,0,1033,369,101,563,0,0,25465,1761,985,776,0,0,19247,18594,53,600,0,68,532,617,0,184,433,369,33,31,218,0,218,1145,0,1145,2477,2477,0,-2357
1957:Q4,22664,19034,395,1474,1424,50,-1410,184,223,1281,-3098,331,331,0,2178,57,2121,2121,0,0,1057,373,120,564,0,0,25762,1474,1424,50,0,0,19695,19034,57,604,0,79,525,637,0,184,453,373,41,39,223,0,223,1281,0,1281,2452,2452,0,-3098
1958:Q1,20622,18426,-1028,822,704,118,-2251,188,229,1433,-4101,401,401,0,2229,58,2171,2171,0,0,995,380,93,522,0,0,24723,822,704,118,0,0,19039,18426,58,555,0,65,490,628,0,188,440,380,28,32,229,0,229,1433,0,1433,2572,2572,0,-4101
1958:Q2,20912,18568,-1175,924,796,128,-2614,199,235,1480,-4528,515,515,0,2380,63,2317,2317,0,0,1139,400,128,611,0,0,25440,924,796,128,0,0,19319,18568,63,688,0,114,574,650,0,199,451,400,14,37,235,0,235,1480,0,1480,2832,2832,0,-4528
1958:Q3,21809,18101,117,1286,949,337,-1634,202,239,1519,-3594,465,465,0,2423,66,2357,2357,0,0,1168,406,140,622,0,0,25403,1286,949,337,0,0,18888,18101,66,721,0,125,596,649,0,202,447,406,15,26,239,0,239,1519,0,1519,2822,2822,0,-3594
1958:Q4,22147,18504,36,1342,1296,46,-1598,201,240,1665,-3704,292,292,0,2427,66,2361,2361,0,0,1180,406,136,638,0,0,25851,1342,1296,46,0,0,19284,18504,66,714,0,120,594,667,0,201,466,406,16,44,240,0,240,1665,0,1665,2653,2653,0,-3704
1959:Q1,22162,18194,405,1318,746,572,-1371,201,188,1756,-3516,458,458,0,2402,63,2339,2339,0,0,1161,428,99,634,0,0,25678,1318,746,572,0,0,18933,18194,63,676,0,84,592,686,0,201,485,428,15,42,188,0,188,1756,0,1756,2797,2797,0,-3516
1959:Q2,22941,18188,1157,1738,846,892,-1031,201,130,1721,-3083,450,450,0,2375,60,2315,2315,0,0,1221,461,97,663,0,0,26024,1738,846,892,0,0,18951,18188,60,703,0,82,621,719,0,201,518,461,15,42,130,0,130,1721,0,1721,2765,2765,0,-3083
1959:Q3,22602,17760,1210,1280,951,329,-461,202,74,1641,-2378,391,391,0,2357,57,2300,2300,0,0,1275,489,116,670,0,0,24980,1280,951,329,0,0,18556,17760,57,739,0,102,637,738,0,202,536,489,14,33,74,0,74,1641,0,1641,2691,2691,0,-2378
1959:Q4,23226,18174,1561,2043,1590,453,-1007,204,66,1745,-3022,525,525,0,2217,53,2164,2164,0,0,1274,429,128,717,0,0,26248,2043,1590,453,0,0,19007,18174,53,780,0,114,666,698,0,204,494,429,14,51,66,0,66,1745,0,1745,2689,2689,0,-3022
1960:Q1,22447,17716,1176,1638,823,815,-1105,215,67,1783,-3170,643,643,0,2329,43,2286,2286,0,0,1226,446,109,671,0,0,25617,1638,823,815,0,0,18492,17716,43,733,0,95,638,708,0,215,493,446,14,33,67,0,67,1783,0,1783,2929,2929,0,-3170
1960:Q2,22118,17528,874,1135,868,267,-1184,228,71,1693,-3176,923,923,0,2443,34,2409,2409,0,0,1273,475,119,679,0,0,25294,1135,868,267,0,0,18307,17528,34,745,0,103,642,756,0,228,528,475,16,37,71,0,71,1693,0,1693,3332,3332,0,-3176
1960:Q3,23822,18058,1890,1580,987,593,-747,241,77,1633,-2698,1057,1057,0,2568,26,2542,2542,0,0,1306,484,137,685,0,0,26520,1580,987,593,0,0,18855,18058,26,771,0,120,651,776,0,241,535,484,17,34,77,0,77,1633,0,1633,3599,3599,0,-2698
1960:Q4,22963,17081,1768,1893,1868,25,-1073,255,83,1776,-3187,948,948,0,2693,17,2676,2676,0,0,1421,502,162,757,0,0,26150,1893,1868,25,0,0,17938,17081,17,840,0,144,696,836,0,255,581,502,18,61,83,0,83,1776,0,1776,3624,3624,0,-3187
1961:Q1,20849,15992,463,861,755,106,-1402,253,91,1945,-3691,1004,1004,0,2926,26,2900,2900,0,0,1468,533,148,799,-13,0,24540,849,755,106,-13,0,16836,15992,26,818,0,131,687,915,0,253,662,533,17,112,91,0,91,1945,0,1945,3904,3904,0,-3691
1961:Q2,22101,16716,725,1206,1171,35,-1643,251,101,1943,-3938,1162,1162,0,3159,36,3123,3123,0,0,1501,568,164,862,-93,0,26039,1113,1171,35,-93,0,17659,16716,36,907,0,148,759,938,0,251,687,568,16,103,101,0,101,1943,0,1943,4285,4285,0,-3938
1961:Q3,22523,16310,1454,1382,1300,82,-1098,257,111,1967,-3433,1170,1170,0,3166,33,3133,3133,0,0,1593,560,181,883,-31,0,25956,1351,1300,82,-31,0,17291,16310,33,948,0,164,784,933,0,257,676,560,17,99,111,0,111,1967,0,1967,4303,4303,0,-3433
1961:Q4,24756,17387,2675,2415,2300,115,-773,322,119,2156,-3370,1033,1033,0,2942,76,2866,2866,0,0,1752,536,276,998,-58,0,28126,2357,2300,115,-58,0,18622,17387,76,1159,0,254,905,973,0,322,651,536,22,93,119,0,119,2156,0,2156,3899,3899,0,-3370
1962:Q1,21999,16786,478,1088,918,170,-1801,284,124,2350,-4559,1191,1191,0,2938,50,2888,2888,0,0,1797,535,195,1098,-31,0,26558,1057,918,170,-31,0,18032,16786,50,1196,0,177,1019,916,0,284,632,535,18,79,124,0,124,2350,0,2350,4079,4079,0,-4559
1962:Q2,22936,17206,757,1505,1462,43,-1938,245,127,2240,-4550,1190,1190,0,2934,24,2910,2910,0,0,2039,541,197,1139,162,0,27486,1667,1462,43,162,0,18462,17206,24,1232,0,182,1050,890,0,245,645,541,15,89,127,0,127,2240,0,2240,4100,4100,0,-4550
1962:Q3,24391,17105,2411,2403,1641,762,-1118,255,129,2179,-3681,1126,1126,0,2939,13,2926,2926,0,0,1936,538,176,1097,125,0,28072,2528,1641,762,125,0,18290,17105,13,1172,0,161,1011,894,0,255,639,538,15,86,129,0,129,2179,0,2179,4052,4052,0,-3681
1962:Q4,24311,17454,1719,2940,2903,37,-2072,295,131,2329,-4827,851,851,0,3048,105,2943,2943,0,0,2090,552,261,1245,32,0,29138,2972,2903,37,32,0,18955,17454,105,1396,0,242,1154,957,0,295,662,552,19,91,131,0,131,2329,0,2329,3794,3794,0,-4827
1963:Q1,21609,16410,153,1417,1223,194,-2555,282,134,2504,-5475,1291,1291,0,3112,73,3039,3039,0,0,1934,555,212,1139,28,0,27084,1445,1223,194,28,0,17715,16410,73,1232,0,194,1038,956,0,282,674,555,18,101,134,0,134,2504,0,2504,4330,4330,0,-5475
1963:Q2,22630,16965,431,1734,1638,96,-2433,271,136,2364,-5204,1130,1130,0,3174,40,3134,3134,0,0,2060,568,269,1173,50,0,27834,1784,1638,96,50,0,18328,16965,40,1323,0,252,1071,958,0,271,687,568,17,102,136,0,136,2364,0,2364,4264,4264,0,-5204
1963:Q3,23060,16621,1210,1900,1435,465,-1790,301,138,2309,-4538,1100,1100,0,3244,53,3191,3191,0,0,1985,571,254,1171,-11,0,27598,1889,1435,465,-11,0,17984,16621,53,1310,0,236,1074,987,0,301,686,571,18,97,138,0,138,2309,0,2309,4291,4291,0,-4538
1963:Q4,24157,17049,1464,2631,2600,31,-2167,324,141,2493,-5125,1000,1000,0,3274,98,3176,3176,0,0,2370,583,360,1380,47,0,29282,2678,2600,31,47,0,18769,17049,98,1622,0,340,1282,1025,0,324,701,583,20,98,141,0,141,2493,0,2493,4176,4176,0,-5125
1964:Q1,22753,16611,206,1552,1497,55,-2496,316,144,2641,-5597,1150,1150,0,3339,105,3234,3234,0,0,2597,596,316,1597,88,0,28350,1640,1497,55,88,0,18499,16611,105,1783,0,297,1486,1042,0,316,726,596,19,111,144,0,144,2641,0,2641,4384,4384,0,-5597
1964:Q2,23177,16973,81,1712,1633,79,-2631,307,147,2585,-5670,1000,1000,0,3402,112,3290,3290,0,0,2721,616,383,1689,33,0,28847,1745,1633,79,33,0,19029,16973,112,1944,0,364,1580,1051,0,307,744,616,19,109,147,0,147,2585,0,2585,4290,4290,0,-5670
1964:Q3,24570,17121,1043,1660,1567,93,-1676,321,150,2523,-4670,1059,1059,0,3538,66,3472,3472,0,0,2868,647,305,1865,51,0,29240,1711,1567,93,51,0,19221,17121,66,2034,0,285,1749,1104,0,321,783,647,20,116,150,0,150,2523,0,2523,4531,4531,0,-4670
1964:Q4,25721,17850,1093,2762,2606,156,-2787,379,151,2751,-6068,1118,1118,0,3721,82,3639,3639,0,0,3057,677,363,1938,79,0,31789,2841,2606,156,79,0,20108,17850,82,2176,0,341,1835,1181,0,379,802,677,22,103,151,0,151,2751,0,2751,4757,4757,0,-6068
1965:Q1,25196,17277,535,1223,1114,109,-2191,344,151,2834,-5520,1503,1503,0,3988,88,3900,3900,0,0,3396,713,303,2250,130,0,30716,1353,1114,109,130,0,19760,17277,88,2395,0,281,2114,1215,0,344,871,713,22,136,151,0,151,2834,0,2834,5403,5403,0,-5520
1965:Q2,27375,18229,1558,1995,1349,646,-1911,352,148,2643,-5054,1474,1474,0,4258,97,4161,4161,0,0,3330,745,330,2071,184,0,32429,2179,1349,646,184,0,20584,18229,97,2258,0,308,1950,1240,0,352,888,745,22,121,148,0,148,2643,0,2643,5635,5635,0,-5054
1965:Q3,26335,17797,1250,1528,1405,123,-1860,414,146,2562,-4982,1582,1582,0,3868,53,3815,3815,0,0,3420,713,280,2040,387,0,31317,1915,1405,123,387,0,20022,17797,53,2172,0,255,1917,1275,0,414,861,713,25,123,146,0,146,2562,0,2562,5397,5397,0,-4982
1965:Q4,26644,18447,1358,2344,2248,96,-2369,428,144,2797,-5738,1383,1383,0,3533,96,3437,3437,0,0,3306,682,308,2077,239,0,32382,2583,2248,96,239,0,20789,18447,96,2246,0,282,1964,1249,0,428,821,682,26,113,144,0,144,2797,0,2797,4820,4820,0,-5738
1966:Q1,25622,17941,1356,1967,1388,579,-2322,409,149,2895,-5775,1711,1711,0,3388,81,3307,3307,0,0,2937,686,296,2016,-62,0,31397,1906,1388,579,-62,0,20180,17941,81,2158,0,268,1890,1249,0,409,840,686,28,126,149,0,149,2895,0,2895,5018,5018,0,-5775
1966:Q2,27771,18564,2611,2244,1957,287,-1426,415,158,2718,-4717,1793,1793,0,3453,67,3386,3386,0,0,3143,741,281,2000,121,0,32488,2365,1957,287,121,0,20759,18564,67,2128,0,252,1876,1309,0,415,894,741,29,124,158,0,158,2718,0,2718,5179,5179,0,-4717
1966:Q3,30268,18070,5302,2626,1647,979,-351,436,168,2510,-3465,3027,3027,0,3705,121,3584,3584,0,0,3191,767,280,2118,26,0,33733,2652,1647,979,26,0,20418,18070,121,2227,0,250,1977,1374,0,436,938,767,30,141,168,0,168,2510,0,2510,6611,6611,0,-3465
1966:Q4,33033,19794,5785,2683,2510,173,-934,447,176,2652,-4209,4036,4036,0,3907,167,3740,3740,0,0,3547,774,309,2249,215,0,37242,2898,2510,173,215,0,22341,19794,167,2380,0,279,2101,1399,0,447,952,774,30,148,176,0,176,2652,0,2652,7776,7776,0,-4209
1967:Q1,28523,18619,2699,1289,1260,29,-2002,643,187,2858,-5690,3412,3412,0,3891,214,3677,3677,0,0,3314,748,340,2195,31,0,34213,1320,1260,29,31,0,21166,18619,214,2333,0,309,2024,1593,0,643,950,748,31,171,187,0,187,2858,0,2858,7089,7089,0,-5690
1967:Q2,30190,19505,3451,1398,1345,53,-1113,668,200,2809,-4790,3166,3166,0,3874,259,3615,3615,0,0,3360,814,312,2025,209,0,34980,1607,1345,53,209,0,21904,19505,259,2140,0,280,1860,1679,0,668,1011,814,32,165,200,0,200,2809,0,2809,6781,6781,0,-4790
1967:Q3,33117,20039,5539,1406,1235,171,74,866,214,2735,-3741,4059,4059,0,4159,200,3959,3959,0,0,3380,846,327,2032,175,0,36858,1581,1235,171,175,0,22394,20039,200,2155,0,292,1863,1916,0,866,1050,846,35,169,214,0,214,2735,0,2735,8018,8018,0,-3741
1967:Q4,35773,21092,6763,2624,2483,141,-102,971,226,2934,-4233,4241,4241,0,4396,135,4261,4261,0,0,3522,877,366,1847,432,0,40006,3056,2483,141,432,0,23241,21092,135,2014,0,328,1686,2047,0,971,1076,877,38,161,226,0,226,2934,0,2934,8502,8502,0,-4233
1968:Q1,35469,21232,6421,2734,1344,1390,-1233,1164,231,3132,-5760,4920,4920,0,4591,159,4432,4432,0,0,3225,953,299,1806,167,0,41229,2901,1344,1390,167,0,23279,21232,159,1888,0,259,1629,2334,0,1164,1170,953,40,177,231,0,231,3132,0,3132,9352,9352,0,-5760
1968:Q2,38389,21462,9157,2230,1938,292,725,1369,237,3003,-3884,6202,6202,0,4772,186,4586,4586,0,0,2998,1041,308,1879,-231,0,42273,2000,1938,292,-231,0,23607,21462,186,1959,0,267,1692,2638,0,1369,1269,1041,41,187,237,0,237,3003,0,3003,10788,10788,0,-3884
1968:Q3,41814,22413,11430,3335,1770,1565,991,1512,243,2695,-3459,7104,7104,0,4904,218,4686,4686,0,0,3067,942,324,2006,-206,0,45273,3130,1770,1565,-206,0,24721,22413,218,2090,0,284,1806,2694,0,1512,1182,942,40,200,243,0,243,2695,0,2695,11790,11790,0,-3459
1968:Q4,41569,21859,11036,3670,3482,188,1327,1378,249,2766,-3066,6039,6039,0,5029,223,4806,4806,0,0,3645,1064,377,1907,297,0,44635,3967,3482,188,297,0,24130,21859,223,2048,0,337,1711,2678,0,1378,1300,1064,40,196,249,0,249,2766,0,2766,10845,10845,0,-3066
1969:Q1,44670,22066,13426,3031,2034,997,774,1599,257,2876,-3958,9621,9621,0,5402,275,5127,5127,0,0,3776,1184,365,1949,278,0,48628,3309,2034,997,278,0,24390,22066,275,2049,0,322,1727,3048,0,1599,1449,1184,43,222,257,0,257,2876,0,2876,14748,14748,0,-3958
1969:Q2,49795,20808,19464,2521,1472,1049,3674,1832,266,2476,-900,13269,13269,0,5724,317,5407,5407,0,0,3799,1238,338,2066,157,0,50695,2678,1472,1049,157,0,23241,20808,317,2116,0,291,1825,3358,0,1832,1526,1238,47,241,266,0,266,2476,0,2476,18676,18676,0,-900
1969:Q3,49884,22508,16422,3839,2313,1526,2384,1918,275,2135,-1944,10199,10199,0,6065,355,5710,5710,0,0,4889,1997,396,2038,458,0,51828,4297,2313,1526,458,0,25646,22508,355,2783,680,344,1759,3566,0,1918,1648,1317,52,279,275,0,275,2135,0,2135,15909,15909,0,-1944
1969:Q4,52425,22085,18844,3623,3440,183,1979,1893,284,2286,-2484,13242,13242,0,6413,400,6013,6013,0,0,5083,1992,419,2095,577,0,54909,4200,3440,183,577,0,25346,22085,400,2861,713,363,1785,3538,0,1893,1645,1279,56,310,284,0,284,2286,0,2286,19255,19255,0,-2484
