1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,43754,12875,14544,6891,45,6066,1373,1743,218,43770,27376,7866,2512,5714,302,-16,6243,407,-819,6639,10616,11888,548,-1819,2929,73,1846,316,-192,0,814,191,0,-58,287,-38,0,702,3,0,699,0,51,0,129,-994,-7,4748,0,-1,-18,184,-1715,128,1771,1211,-6,1217,24,-42,3390,-3977,2950,4769
1964:Q3,43228,13176,14285,6645,45,5548,1398,1977,155,44228,27265,7757,2295,5763,1148,-1000,6313,-79,-836,6228,6503,12589,560,-6645,2708,20,-725,190,-158,0,367,507,0,347,178,-18,0,849,55,0,794,0,-44,0,306,1382,14,9353,0,-25,-18,4321,2696,-187,1812,478,18,460,24,490,4083,-275,2281,8926
1964:Q4,43816,13362,14855,6741,48,5381,1341,1839,250,43865,27288,7834,2211,5841,691,-49,6391,-90,-852,7284,2252,11565,287,-9599,1089,-172,-1094,957,299,0,-2000,714,0,540,176,-2,0,699,52,0,647,0,54,0,345,1270,16,10688,0,-148,-19,5711,3266,1045,1400,394,21,373,28,707,4015,5032,459,10058
1965:Q1,44492,13905,14856,6753,49,5410,1350,1920,249,44920,27529,8480,2327,5957,627,-429,6471,-79,-878,6999,7478,10452,467,-3441,1618,-833,1075,626,-206,0,939,334,0,264,72,-2,0,803,16,0,787,0,0,0,99,-1180,-39,5059,0,-15,-25,994,-593,86,1501,511,24,487,31,332,3231,-480,1297,4738
1965:Q2,47485,14583,15403,7570,51,6074,1401,2224,179,46389,28741,8279,2979,6088,302,1095,6565,498,-832,7993,12641,11959,360,322,4000,-590,2839,123,559,0,876,463,0,390,87,-14,0,724,-65,0,789,0,-5,0,295,-1296,12,3678,0,22,-23,-1347,-3202,-342,2197,1252,26,1226,34,386,3354,-4647,3492,3170
1965:Q3,46131,14456,14876,7248,53,5825,1397,2135,141,48076,29067,8953,2443,6147,1466,-1945,6658,-51,-888,5651,6719,13116,453,-6850,-560,-124,-4792,466,-213,0,746,738,0,773,-17,-18,0,529,76,0,453,0,-5,0,419,1639,37,6290,0,60,-17,829,-1520,302,2047,465,-15,480,35,614,4304,-1068,-1379,5471
1965:Q4,48215,14719,15574,8008,53,6191,1371,2080,219,48787,30852,8654,2400,6269,612,-572,6748,-91,-931,7197,2613,12338,485,-10209,2694,-119,-1274,1137,-26,0,-1336,801,0,764,59,-22,0,1040,143,0,897,0,0,0,338,2145,-12,12903,0,103,-19,7467,5573,402,1492,322,-16,338,34,621,4375,4584,1894,12103
1966:Q1,49158,15274,14948,7693,54,6928,1527,2621,113,50429,31161,9227,3072,6410,559,-1271,6839,-92,-967,6626,7454,11796,592,-4934,1758,-68,588,58,-215,0,332,305,0,311,20,-26,0,1234,260,0,974,0,52,0,221,-751,2,6692,0,161,-20,1820,-65,440,1445,223,-15,238,29,357,4122,-827,1427,6361
1966:Q2,53804,16391,16109,8416,54,8115,1576,3006,138,52599,32723,9086,3834,6585,371,1205,6979,516,-967,8635,14673,13251,479,943,4661,-209,6416,380,69,0,347,293,0,511,-196,-22,0,694,259,0,435,0,38,0,297,-3728,65,3718,0,242,-116,-2731,-6549,1519,2299,1868,-15,1883,28,473,3954,-6038,4085,3142
1966:Q3,53558,17065,15813,7858,60,8177,1659,2941,-15,55067,33491,9417,3207,6763,2189,-1509,7096,-104,-945,6636,6978,14542,528,-8092,92,-173,-5320,117,-215,0,1921,80,0,-98,185,-7,0,1509,336,0,1173,0,14,0,696,1460,3,8184,0,108,-52,2846,2170,-707,1383,209,-15,224,26,656,4391,-343,-100,7992
