1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q1,114240,37310,31965,8501,100,21160,5390,10749,-934,142690,72453,39061,11351,18496,1329,-28450,14608,830,-1411,-13261,-11048,17799,297,-29144,4730,4,-534,-1249,228,0,2219,727,0,468,283,-24,0,2828,817,0,2011,0,152,0,-124,494,-15,33874,0,201,0,17490,16348,-293,1435,3352,-4,3356,1144,58,11629,-2213,4190,33334
1975:Q2,115103,30219,33448,10879,108,23316,5453,12748,-1068,150879,75219,41667,13891,19007,1095,-35776,14786,908,-1542,-20356,-13671,20061,339,-34071,434,16,3373,-604,9,0,-950,932,0,-257,1283,-94,0,4560,2569,0,1991,0,119,0,713,-7719,-15,34505,0,234,0,19414,16527,-49,2936,5369,-42,5411,379,1519,7590,-6685,795,34866
1975:Q3,126276,39567,34537,12967,122,22489,5467,12169,-1042,146003,72064,41554,11858,19602,925,-19727,15045,-607,-1605,-2470,-2990,23677,423,-27090,11941,25,155,-843,43,0,2053,2076,0,449,896,731,0,3981,2306,0,1675,0,200,0,1066,3188,-2,39031,0,247,0,25979,24286,-9,1702,-1766,-17,-1749,39,1831,12701,520,10646,37736
1975:Q4,129235,40512,35342,13177,141,22932,5511,12645,-1025,153932,76988,42839,12661,20299,1145,-24697,15281,292,-1592,-8116,-13104,22866,452,-36422,7704,21,221,817,136,0,-3985,2070,0,600,-300,1770,0,3660,2424,0,1236,0,183,0,924,3697,-40,44126,0,284,0,29590,24708,-2,4884,1069,-27,1096,719,1169,11295,4988,5346,41768
1976:Q1,130867,40137,35220,13300,164,23959,5575,13156,-644,158243,77738,45590,12642,20923,1350,-27376,15589,-396,-1628,-9763,-10407,20087,250,-30745,13750,45,-3858,1381,295,0,813,4172,0,2827,183,1162,0,4380,631,0,3749,0,155,0,-132,6540,-41,44495,0,185,0,25557,22104,56,3397,2662,-22,2684,-99,2782,13408,644,7502,38247
1976:Q2,139358,42387,36381,15478,180,26642,5592,13339,-641,159462,79933,44021,13003,21398,1107,-20104,15757,1082,-1703,-3726,-3148,22586,-305,-25430,5870,-15,8905,-2798,663,0,1912,1676,0,467,340,869,0,-100,-668,0,568,0,364,0,976,-5816,103,31300,0,155,0,16052,7249,42,8761,6997,-22,7019,334,2008,5754,-577,4841,30271
1976:Q3,140972,44481,37020,15045,186,25622,5682,13532,-595,157334,75433,44640,14032,21902,1327,-16361,16033,-583,-1736,1991,3316,24475,-656,-20503,16507,18,1488,838,696,0,409,2823,0,1459,1016,348,0,5754,1180,0,4574,0,344,0,612,3474,51,37010,0,127,0,19457,16266,285,2906,1423,-32,1455,53,2866,13084,-1325,12463,32966
1976:Q4,143565,45666,37767,14520,184,25749,5673,14512,-505,165063,81404,45883,13934,22501,1341,-21498,16336,117,-1920,-3359,-4710,22498,70,-27277,8794,29,-3641,2837,426,0,-2796,3852,0,3245,614,-7,0,3615,527,0,3088,0,238,0,724,3533,-24,36071,0,135,0,14908,13941,-404,1371,5201,-15,5216,311,1428,14088,1351,3249,30526
1977:Q1,144068,45799,38485,13753,177,26593,5906,14014,-659,168602,82438,48251,13507,22876,1530,-24534,16703,-517,-3500,-3814,-4582,20192,428,-25201,11089,60,-4497,2547,322,0,508,4355,0,1021,3591,-257,0,3931,372,0,3559,0,185,0,154,3520,4,36290,0,119,0,16906,14566,-154,2494,2432,-33,2465,52,2340,14441,768,7619,32820
1977:Q2,156736,48726,39540,18197,174,29705,6093,15073,-772,172476,85683,47250,14668,23476,1399,-15740,17046,882,-1898,2321,8626,23810,151,-15335,6679,83,8640,-808,173,0,1285,4529,0,3792,880,-143,0,2893,981,0,1912,0,227,0,408,-10681,-69,22014,0,142,0,5079,-4352,-78,9509,2797,-30,2827,167,1965,11864,-6304,2710,18045
1977:Q3,159490,50647,40595,18218,181,28538,6262,15898,-849,173286,84473,47604,15338,24151,1720,-13796,17314,-502,-1850,5870,8327,25523,-480,-16716,22245,9,1749,2320,-176,0,721,5729,0,3741,1572,416,0,7199,1570,0,5629,0,243,0,887,3634,-70,38961,0,125,0,20248,16419,-498,4327,10878,-25,10903,99,2047,5564,-2457,14512,31228
1977:Q4,161863,52708,41044,16939,195,29017,6407,16232,-679,180725,88575,48956,15494,25249,2451,-18863,17642,-51,-1804,634,-5397,23638,39,-29074,9489,90,-5252,3058,-61,0,-2687,3984,0,3118,303,563,0,5847,1814,0,4033,0,215,0,133,4181,-19,38563,0,125,0,19722,16421,-43,3344,4711,-25,4736,353,1045,12607,6031,2755,31829
1978:Q1,161654,51720,41411,15577,217,29520,6889,17176,-856,186784,90487,51223,16546,26535,1993,-25130,18058,-346,-1735,-4991,-4842,20947,439,-26228,17999,15,-7853,3966,-282,0,649,7161,0,4812,1710,639,0,7958,1666,0,6292,0,292,0,1595,4501,-3,44227,0,110,0,22943,15577,-323,7689,4244,-24,4268,53,2181,14696,-149,9664,35892
1978:Q2,178622,55812,43393,20548,235,33974,7371,18035,-746,192217,94501,50745,17382,27558,2031,-13595,18626,1202,-1711,5540,14677,26212,-359,-11176,17720,104,12439,-201,-442,0,1425,6636,0,2224,4625,-213,0,6128,1441,0,4687,0,142,0,1332,-9891,49,28896,0,124,0,13512,1071,-97,12538,1142,-27,1169,306,1786,12026,-9137,14949,26125
1978:Q3,180730,59770,42597,19744,247,33489,7856,17596,-569,188942,89839,51599,16827,28659,2018,-8212,18951,-633,-1733,13105,16074,29689,719,-14334,26941,43,3940,2721,-219,0,498,5825,0,4462,1541,-178,0,9582,2512,0,7070,0,192,0,865,3420,75,41275,0,118,0,21196,11732,-552,10016,9817,-26,9843,67,2312,7765,-2969,20058,34392
1978:Q4,188601,62347,43498,20631,255,35141,8493,18443,-207,198851,95943,52602,17719,29693,2894,-10250,19446,210,-1759,10745,2356,28719,344,-26707,16687,-1347,-4003,1662,-3150,0,3899,4393,0,409,4914,-930,0,6654,1701,0,4953,0,241,0,2244,6071,23,43394,0,148,0,14255,3869,-363,10749,11839,-20,11859,264,2817,14071,8389,14597,41304
1979:Q1,186439,62171,43915,18517,257,35373,9202,17492,-487,204346,99016,55762,16622,30774,2173,-17908,19890,-561,-1788,4331,4765,24263,-155,-19344,16567,1142,-11912,2948,125,0,2804,8479,0,5760,3500,-781,0,5264,3058,0,2206,0,163,0,688,6806,60,35911,1139,327,0,15193,9593,-628,6228,-623,-26,-597,-18,2059,17834,-433,11503,30847
1979:Q2,197421,65108,44485,20800,270,39700,9760,17968,-669,209228,102517,55839,17101,31605,2167,-11807,20471,1087,-1744,9321,19536,29172,430,-10066,14216,-6,12198,-3246,73,0,4020,3181,0,-252,3509,-76,0,8130,3069,0,5061,0,146,0,1747,-12065,38,24282,0,367,0,6926,-151,-447,7524,-2251,-41,-2210,263,2314,16663,-10215,14304,24370
1979:Q3,202128,69528,45370,20053,294,38996,10465,18274,-851,207826,97241,58471,17615,32442,2058,-5698,21129,-547,-1772,17750,18516,34053,-178,-15360,22842,0,5486,374,11,0,1113,4446,0,683,3707,56,0,6441,3270,0,3171,0,133,0,1463,3333,43,38202,0,300,0,18784,11169,-76,7691,8749,-25,8774,2,2656,7711,-766,22128,37488
1979:Q4,207334,72107,46331,19347,327,39609,11202,19103,-691,220504,105933,60312,18488,33639,2133,-13171,21660,243,-1886,10132,4685,32609,-949,-26975,11609,64,-6758,-1026,-47,0,1559,4796,0,-4701,9146,351,0,6196,3663,0,2533,0,110,0,2394,4405,-84,38584,0,266,0,22198,17354,-132,4976,1430,-26,1456,271,503,13916,5447,15773,42748
1980:Q1,206967,70071,46929,19417,370,39346,12197,19536,-898,231521,109311,65272,19090,35436,2412,-24554,22270,-649,-1939,305,3919,29723,-128,-25676,15041,1152,-9157,1816,-129,0,3273,-109,0,-2731,2374,248,0,8144,4522,0,3622,0,216,0,1940,7874,21,40717,1152,261,0,28275,24515,-64,3824,-8977,-21,-8956,-32,2309,17729,-3614,18172,43848
1980:Q2,213257,72903,49411,16308,400,42779,12895,19667,-1105,238180,114984,65353,18630,36964,2249,-24923,22984,886,-2076,-749,6801,33919,729,-27847,-491,-112,7579,-3835,53,0,3243,-349,0,728,-1395,318,0,8799,4601,0,4198,0,171,0,500,-16484,-55,27356,0,171,0,19374,13212,-189,6351,-5371,-32,-5339,244,2102,10836,-7550,-1322,26525
1980:Q3,219115,76197,51373,18038,414,41497,13211,19697,-1311,239455,109311,71695,18823,37461,2165,-20340,23676,-744,-2240,6320,9672,36782,76,-27186,25658,261,7013,-1097,293,0,3030,4696,0,5510,-869,55,0,7987,4014,0,3973,0,287,0,1840,1374,-26,52844,0,130,0,35004,28548,-112,6568,9220,-29,9249,18,2049,6423,-3352,19734,46920
1980:Q4,230245,80342,52617,19316,413,43581,14033,21110,-1167,255111,120045,72720,20477,38895,2974,-24866,24524,-22,-2119,1799,-1936,35524,-2567,-34893,12005,-1285,-8541,1165,1239,0,-1094,4968,0,5115,254,-401,0,7705,4151,0,3554,0,121,0,2252,5481,-6,46898,0,179,0,31723,27300,-128,4551,-755,-22,-733,335,1697,13719,3735,6623,41516
1981:Q1,237006,81302,57258,17442,396,45366,15058,21620,-1435,264724,122742,76227,20251,42611,2893,-27717,25214,-675,-2084,256,-3164,32275,613,-36052,27485,1341,-433,1979,525,0,1329,5398,0,4689,843,-134,0,9476,3572,0,5904,0,195,0,1907,5669,99,63537,1093,172,0,41385,36620,-54,4819,-4978,-30,-4948,-32,3014,22883,3420,23063,59115
1981:Q2,247447,85089,59160,16907,384,50883,15833,20485,-1293,269694,128271,75755,19162,43848,2658,-22247,25997,970,-2212,4992,18858,36580,-769,-16953,-2914,23,-1493,-2914,956,0,-783,8076,0,6174,2064,-162,0,9309,3777,0,5532,0,323,0,1297,-17757,49,14039,0,154,0,4893,-43,-159,5095,-179,-27,-152,334,1580,7257,-13866,-9403,7550
1981:Q3,250907,88890,59348,17453,373,50070,16747,19330,-1304,268550,122633,79395,18148,45783,2591,-17643,26677,-872,-2301,12207,10515,39836,-2703,-26618,21459,223,5487,574,613,0,580,7222,0,3384,3625,213,0,6564,2487,0,4077,0,316,0,690,-872,62,48077,0,155,0,31202,21868,-62,9396,7372,-28,7400,-24,1291,8081,1692,17963,44581
1981:Q4,253177,90499,59879,15317,364,50551,17588,19664,-685,283809,133397,80719,18511,47851,3331,-30632,27411,-296,-2341,-584,-18620,38649,-423,-56846,4556,133,-4639,2587,214,0,-4031,4662,0,1616,2832,214,0,5417,2785,0,2632,0,308,0,982,-950,-127,61402,0,169,0,44601,37595,-66,7072,-1202,-24,-1178,360,976,16498,18035,2601,59447
1982:Q1,243890,86137,59055,10318,334,50423,18314,20048,-739,289814,134868,83299,18714,49373,3560,-45924,28140,-653,-2773,-14358,-16486,34002,-326,-50163,12659,399,-1095,4743,611,0,-1694,5327,0,8190,-3322,459,0,4498,1707,0,2791,0,213,0,718,-1044,-17,62822,0,155,0,40070,32858,-598,7810,-2507,-26,-2481,35,2671,22398,2128,3586,53749
1982:Q2,253793,87759,59856,12440,332,55123,18833,20368,-917,296371,139000,84634,18537,50849,3351,-42578,28967,1184,-2495,-12300,-2862,39211,298,-42372,3494,240,-497,-1200,1038,0,1593,7085,0,8595,-1513,3,0,6649,2054,0,4595,0,285,0,1753,-13436,-16,45866,0,140,0,23079,11111,-21,11989,526,-32,558,364,3512,18245,-9438,-5862,36510
1982:Q3,253866,90908,60366,13014,330,52475,19068,18958,-1252,295072,134662,87408,17298,52578,3126,-41206,29509,-688,-2433,-8576,-15769,42414,427,-58610,32233,433,15844,2187,503,0,1202,2767,0,-2909,5672,4,0,6820,1354,0,5466,0,257,0,288,1860,73,90843,0,135,0,70406,59899,-42,10549,9699,-30,9729,10,3169,7424,7193,34891,93501
1982:Q4,255633,89940,61656,12104,376,52066,19117,20884,-510,316039,145998,91843,19853,53365,4980,-60406,29956,-412,-2090,-27948,-39945,41316,-1877,-79385,8405,297,-9021,749,752,0,1845,1417,0,1381,258,-222,0,6175,2488,0,3687,0,252,0,3381,2607,-49,87790,0,131,0,70076,59763,-92,10405,3742,-31,3773,437,2082,11322,11997,5008,84393
1983:Q1,250189,84664,62224,10521,288,52877,19390,20846,-620,318309,146584,94487,18599,54341,4299,-68121,30003,-333,-2028,-35757,-30016,37543,555,-68114,15886,98,-5692,853,2198,0,1706,5143,0,4448,402,168,125,4297,1178,0,3119,0,415,0,605,6314,-51,84000,0,170,0,63854,56120,36,7698,-3004,-15,-2989,28,1961,20991,-5741,9568,77682
1983:Q2,267279,86872,65354,15623,311,58684,19679,21239,-482,325577,151356,94686,19082,55865,4589,-58299,30765,992,-2072,-26454,-19560,41863,-3110,-58313,27975,303,14585,-3824,274,0,4640,2406,0,2103,475,-297,125,11652,2659,0,8993,0,225,0,1539,-4108,284,86288,0,179,0,57332,41012,-43,16363,8490,-32,8522,405,3676,16206,-6894,19882,78195
1983:Q3,272034,89941,67053,17918,305,56944,20286,20165,-577,320002,147438,92034,18243,57992,4296,-47968,31380,-796,-2188,-13605,-16316,46926,-737,-62505,22438,209,6506,-1347,52,0,6960,393,0,601,-710,252,250,6134,2254,0,3880,0,349,0,469,2612,101,84943,0,176,0,55055,43830,-24,11249,16015,-14,16029,52,3502,10143,2712,19242,81747
1983:Q4,280541,91402,68651,18950,307,58703,21027,21705,-204,331767,150017,92917,20947,59767,8120,-51227,31689,583,-1863,-18258,-28040,44831,567,-73437,-3134,-545,-23923,400,1979,0,1621,5405,0,4749,-293,449,500,5826,3015,0,2811,0,380,0,2652,3307,-236,70303,0,164,0,45343,34436,-9,10916,4001,-20,4021,473,2986,17336,9781,-10159,63278
1984:Q1,283872,89848,70126,18831,331,60665,21709,22739,-377,340142,154791,95905,20335,61788,7324,-56270,32409,705,-2150,-22416,-17414,42023,-108,-59330,31613,226,4064,-1085,439,0,4032,5832,0,2967,1585,499,781,5326,2096,0,3230,0,324,0,2011,10296,149,90943,0,157,0,58111,47530,-37,10618,-822,-37,-785,86,4470,28941,-5001,27014,86344
1984:Q2,299459,92896,71944,21777,332,67569,22614,22614,-287,343484,160349,95735,20077,63489,3835,-44025,32987,1835,-2029,-10844,-10532,47465,-933,-57065,14598,288,2631,8,333,0,3397,5632,0,4181,68,289,1094,7365,3026,0,4339,0,311,0,3610,-9854,877,71663,0,224,0,45297,29128,-12,16181,5708,-24,5732,454,4541,15439,-312,7951,65016
1984:Q3,298189,96507,73246,18918,307,65012,23193,21394,-388,339292,154071,95350,19503,66405,3964,-41103,34047,5,-2022,-5038,-1501,52003,-425,-53079,39339,271,13647,3673,458,0,8366,5708,0,904,3709,-61,1156,7368,1775,0,5593,0,376,0,1612,-2985,846,92418,0,124,0,67242,51200,-7,16049,16488,-28,16516,53,3749,4762,-3538,36115,89194
1984:Q4,305777,98666,74457,18457,334,65559,23928,24192,184,361077,165519,97594,23640,68383,5942,-55299,35435,317,-2053,-18128,-21926,51690,70,-73686,16876,193,-9447,1340,161,0,5241,1517,0,1058,-844,334,969,14984,4205,0,10779,0,415,0,959,1981,-468,90562,0,181,0,62060,60135,-11,1936,14118,-11,14129,491,2221,11491,3798,5774,79460
1985:Q1,315454,106370,75110,17408,354,66915,25071,24084,143,367642,167945,101364,21857,69467,7010,-52188,35069,807,-2193,-15733,-12800,47215,760,-60775,40818,264,-6996,6063,-237,0,5551,17718,0,6925,10315,-366,844,11817,2257,0,9560,0,335,0,2254,4470,-421,101593,0,170,0,65479,44347,-14,21146,9244,-25,9269,36,5107,21557,-2934,28484,89259
1985:Q2,319327,97151,76459,19659,462,74448,25629,25115,404,373576,173135,101229,21671,71084,6458,-54249,35648,409,-2107,-16903,1826,54868,699,-53741,40156,180,14047,-1804,-328,0,8792,12499,0,8136,4081,-499,781,14810,2633,0,12177,0,340,0,2472,-11267,415,93897,0,195,0,56266,33165,-9,23110,19929,-20,19949,469,5050,11988,-18729,23078,76819
1985:Q3,327331,106286,78065,22074,544,70215,26257,23508,382,367760,168807,101689,21889,71839,3537,-40429,36114,-20,-2303,-1993,-11413,60734,-349,-71799,25217,264,-7976,1614,-408,0,6521,1121,0,-2495,1903,994,719,18569,3180,0,15389,0,336,0,1341,2680,1155,97016,0,141,0,62523,38075,-6,24454,23809,-13,23822,56,5028,5459,9421,16650,88449
1985:Q4,331092,108007,78499,19575,579,71217,26588,25685,943,385877,180753,102860,24519,73390,4356,-54785,36896,335,-2185,-16039,-27635,57059,751,-85445,106769,189,15339,2560,-74,0,2077,52319,0,36991,14212,460,656,25737,3579,0,22158,0,290,0,1387,2103,4842,192214,0,128,0,164272,77587,2,86683,27607,-11,27618,547,4204,-4545,11596,43303,128748
1986:Q1,335118,106511,79147,19684,367,73238,27445,28027,699,389632,180654,106650,23139,74739,4450,-54514,37390,872,-2347,-15650,-19524,52082,853,-72459,-2235,274,-20906,2648,-370,0,344,2272,0,3595,-2118,217,578,8694,4613,0,4081,0,208,0,-2528,6872,257,70224,0,155,0,37283,35807,-54,1530,-26,-11,-15,30,4397,28385,3874,-7609,64850
1986:Q2,346183,108359,79828,22381,396,80922,27225,26371,702,403235,187118,106779,24523,75548,9267,-57052,38125,724,-2463,-17188,-14327,59043,-957,-72413,39951,104,17740,-1856,-395,0,1381,13172,0,19720,-7296,264,484,16611,3125,0,13486,0,394,0,982,-9412,1230,112364,0,123,0,56865,26432,2,30431,30931,-9,30940,496,7336,16613,-2861,9589,82002
1986:Q3,345076,110494,81736,22730,437,75401,27491,26432,356,394751,179862,109173,24866,75989,4861,-49675,38746,220,-2594,-8555,-11115,65743,936,-77794,21015,-163,3974,-1590,-1464,0,6032,3017,0,-4266,6604,226,453,9024,2098,0,6926,86,715,0,-90,661,814,98809,0,108,0,81540,65105,394,16041,3378,-12,3390,73,8316,5394,2559,20956,98750
1986:Q4,348905,112443,82663,23888,513,75329,26718,26567,785,407577,190355,110403,24095,76407,6317,-58672,39462,480,-2506,-17185,-14021,61218,-182,-75057,31031,31,2783,-102,-230,0,-2436,16996,0,15018,1390,103,485,11135,3485,0,7650,130,165,0,247,2920,-608,106088,0,129,0,80235,55426,49,24760,29526,-4,29530,443,4083,-8328,-3164,7522,82579
1987:Q1,355767,117502,83875,23419,465,77345,26329,26295,538,410642,190253,111712,22604,77054,9020,-54875,40065,206,-2647,-12369,-10140,56519,1010,-67669,6666,-76,-26150,2680,-451,0,2059,10761,0,21065,-10849,29,516,8765,3141,0,5624,104,189,0,5866,3056,-137,74335,0,168,0,45457,15988,986,28483,7804,-9,7813,127,4775,16004,-2230,-22227,45442
1987:Q2,382116,128255,85829,28306,500,85966,26298,26548,415,416859,197161,112929,22667,77791,6312,-34743,40654,495,-2609,8025,36544,63808,989,-28253,40160,171,34522,-1426,-488,0,1891,-1110,0,-3087,1428,2,547,10500,2816,0,7684,123,282,0,1714,-6428,410,68413,0,154,0,39091,22091,-467,17467,14140,-2,14142,489,3792,10747,-28519,38226,66479
1987:Q3,371865,120577,88378,30122,481,79911,26151,25368,878,406868,186966,114051,21610,78973,5269,-35003,41341,922,-2694,8110,1294,69006,848,-68560,4707,210,-5021,-1317,-407,0,5548,6897,86,584,5776,-65,516,-1258,-4280,0,3022,82,407,0,2007,-3324,883,73267,0,117,0,41694,17143,-226,24777,19060,-3,19063,1031,4993,6372,6816,385,68945
1987:Q4,375276,123255,89464,27505,594,81415,25696,26432,916,430756,202515,113502,24216,80842,9682,-55480,42016,-506,-2489,-10469,-20409,65303,882,-86594,12399,205,-10398,2706,-604,0,-1361,3753,133,-5503,8878,-176,421,11667,1726,0,9941,223,333,0,2158,993,2723,98993,0,171,0,71046,47725,1243,22078,26321,-1,26322,-442,4006,-2110,9940,8218,94812
1988:Q1,382224,121767,91143,26269,531,85547,27594,28218,1155,435811,201258,120065,24630,82007,7851,-53587,42985,164,-2612,-8154,-23266,57819,1105,-82190,8775,-155,-5363,3429,-558,0,-3218,2795,148,5863,-3363,-166,313,3402,1441,0,1961,62,279,0,1811,7680,-1390,90965,0,162,0,41379,32357,-123,9145,4262,0,4262,21,5283,39858,15112,246,82436
1988:Q2,400894,124402,93394,29945,687,96707,26379,27925,1456,439075,207408,119706,23956,82369,5636,-38181,43765,746,-2563,7401,13467,65216,1680,-53429,12403,-180,22544,-4306,-94,0,4165,-2013,133,-7650,5355,-39,188,3679,-10,0,3689,159,298,0,987,-13545,709,65832,0,162,0,25103,11953,1931,11219,11687,1,11686,520,5237,23123,-6066,16922,70351
1988:Q3,400823,128444,94261,31829,598,90115,26870,27445,1262,429536,198097,120406,23548,83787,3698,-28713,44520,60,-2892,18639,4862,68992,496,-64626,17446,34,4078,1159,-256,0,4349,5860,109,-8244,13721,86,188,2731,-662,0,3393,305,325,55,-1035,240,-398,82072,0,136,0,52105,30861,5224,16020,16281,-2,16283,37,3832,9681,13777,25644,90270
1988:Q4,408861,131326,95666,31752,558,90787,27935,29154,1684,459636,213690,121267,26797,85565,12317,-50775,45313,379,-2914,-2927,-29691,66373,904,-96969,1659,173,-9717,-603,-401,0,-3778,12186,78,4491,7104,202,311,-3165,2130,0,-5295,375,412,38,3085,2458,595,98628,0,162,0,65359,37630,10402,17327,22138,-4,22142,595,4421,5953,26764,-5944,91025
1989:Q1,421323,136647,98185,31864,750,92953,28733,30483,1708,468474,214693,129644,26063,88490,9584,-47151,46010,-72,-2854,1786,-3176,60434,1181,-64791,11635,188,-24044,2847,-306,0,10042,1335,109,-11252,11814,226,438,4981,1563,0,3418,314,261,111,2439,13816,-349,76427,0,237,0,40007,31722,-294,8579,2101,-1,2102,22,5485,28575,4962,19375,84167
1989:Q2,437298,141817,99471,30650,616,103410,29216,30327,1791,476757,225095,130915,25162,90405,5180,-39459,46750,869,-3111,9534,40238,67574,806,-28141,34238,-66,28425,-2254,95,0,8367,11431,204,1100,9405,159,563,2947,1028,0,1919,228,257,273,2353,-18394,576,62379,0,217,0,14321,5629,1283,7409,11132,-1,11133,527,6406,29776,-30705,31382,59523
1989:Q3,432439,143928,100280,29405,684,95209,29801,30555,2577,464726,213125,131427,25838,91161,3175,-32287,47530,-70,-3049,18363,-9717,73166,1061,-83944,7264,213,-10053,-1721,-297,0,6444,8223,266,-1367,8663,98,563,1083,1292,0,-209,153,314,401,598,978,928,91208,0,172,0,49838,30696,1775,17367,17645,-1,17646,-8,4565,18996,28080,6545,90489
1989:Q4,432778,145343,100930,27888,690,95364,29317,32063,1183,492587,228515,134216,28325,92041,9490,-59809,48348,522,-3073,-8910,-30984,69259,1100,-101343,12839,204,-9391,149,-78,0,3908,6402,297,4590,1034,45,436,6042,1699,0,4343,372,341,585,1289,2804,212,114183,0,202,0,63140,50036,-1145,14249,30097,0,30097,616,3961,16167,22074,3545,104889
1990:Q1,437997,143647,104920,26349,672,97952,29582,34096,779,505768,234309,141274,28998,93242,7944,-67771,48930,-76,-3192,-15573,-2808,65554,1268,-69630,33097,248,-15115,494,-157,0,1943,21906,391,31785,-10638,55,313,11459,8587,0,2872,515,324,761,1757,8602,360,102727,0,214,0,37973,12504,7393,18076,33885,1,33884,-4,534,30125,-12765,767,70397
1990:Q2,459103,148541,104836,29983,722,109834,29608,34617,963,515711,239979,144299,30382,94521,6529,-56607,49606,502,-4645,-2859,12111,72954,1083,-61926,22011,221,18479,-2972,-509,0,3114,3949,546,3117,-31,129,188,12164,11978,0,186,216,307,676,1746,-16530,1150,83936,0,225,0,42574,30090,1343,11141,13091,-3,13094,548,4570,22928,-14970,17845,79770
1990:Q3,458247,151484,105996,32155,760,102409,30382,33976,1086,504039,227253,146528,28875,96924,4458,-45791,50466,4,-3853,8523,3643,77456,1097,-74909,26194,-365,4009,-1087,22,0,-289,6224,680,5292,-165,229,188,13314,14816,0,-1502,1003,461,1338,444,2554,-1433,101104,0,155,0,68439,58788,-330,9981,18693,-1,18694,35,2704,11078,4880,23303,98213
1990:Q4,462332,150996,109237,28511,876,101881,32922,37008,901,531710,246644,148737,29631,98635,8062,-69378,51133,415,3307,-21967,-40091,74406,1501,-115997,2408,88,-2007,-692,45,0,2312,4416,789,3724,-762,354,311,-497,5447,0,-5944,38,212,679,-3233,-384,1431,118406,0,181,0,80026,73298,-253,6981,32624,0,32624,609,-697,5663,18124,-1318,114680
1991:Q1,455943,142818,110626,26497,666,102733,30467,40042,2095,524477,249323,157376,10988,100338,6452,-68534,51904,-8,-2772,-13850,-5280,66476,1500,-73256,29695,-31,2433,2086,401,0,-2078,10041,930,6504,1872,313,422,9750,11020,0,-1270,-366,283,299,-2390,8462,805,102951,0,172,0,55726,48075,-6000,13651,2514,1,2513,61,601,43877,-8570,24386,97642
1991:Q2,478038,146566,112836,28458,672,116213,29594,41355,2344,550297,256111,162844,23060,101876,6406,-72259,52485,799,-3599,-16974,-3973,74815,1500,-80289,12083,194,10828,-4301,136,0,4403,2205,1101,-424,908,104,516,9563,9208,0,355,431,425,1166,122,-13358,269,92372,0,175,0,56247,39716,-1550,18081,14159,-1,14160,572,3973,17246,-13000,10940,91229
1991:Q3,474739,149174,115756,29989,641,106754,29469,41309,1647,541636,242111,164104,29232,102542,3647,-66897,53125,233,-117,-13888,-62822,78843,1496,-143162,6085,-6,-9163,-2341,552,0,-1023,21792,1336,16300,3702,-93,547,-2950,3358,0,-6308,67,341,764,504,-1020,-1432,149247,0,137,0,124559,103302,-7198,28455,14241,0,14241,-109,3766,6653,48935,-7620,135542
1991:Q4,478945,150344,117873,27856,623,106532,28445,45142,2130,579803,257314,172454,35117,103935,10983,-100858,53422,490,-3810,-44116,-65997,73959,1500,-141456,38328,18,28608,-5247,255,0,2215,10761,1633,3683,5210,-280,515,-3453,-4650,0,1197,-89,455,575,-469,718,3981,179784,0,128,0,113971,82392,954,30625,26351,0,26351,672,-185,38847,21881,33095,174551
1992:Q1,483596,146720,118640,30719,663,110461,27499,46525,2368,587268,257038,180341,38587,103878,7424,-103672,53615,-293,-3890,-45874,-56467,68470,1519,-126457,-2549,172,-30795,1316,-39,0,-2156,13617,1648,26429,-14570,-343,453,2268,4190,0,-1922,500,314,1469,-37,14611,-3789,123908,0,121,0,82297,83140,-2791,1948,-3242,0,-3242,-116,2698,42150,10594,-26724,99733
1992:Q2,507108,152609,119834,33561,651,123816,26826,47345,2466,598870,264883,183730,39793,104508,5956,-91762,54097,852,-3643,-34874,-25143,75031,1516,-101690,8633,170,31341,-5423,141,0,5747,-8094,1383,-28524,18472,-284,859,-657,-4555,0,3898,428,306,1429,-1165,-17136,1547,110323,0,118,0,68435,58696,97,9642,14417,-2,14419,613,4983,21757,-9731,33421,135111
