date,FU156902505.A,FU156300003.A,FU156902605.A,FU156025005.A,FU156020001.A,FU156401001.A,FU156240101.A,FU156402101.A,FU156140005.A,FU156402101.A,FU156025105.A,FU156020101.A,FU156401101.A,FU156150105.A,FU156130101.A,FU156120105.A,FU156121101.A,FU156122101.A,FU156130001.A,FU156140005.A,FU156220001.A,FU156404105.A,FU156600001.A,FU156403101.A,FU156403001.A,FU156012095.A,FU156901001.A,FU156006005.A,FU156006315.A,FU156006005.A,FU155440005.A,FU155050905.A,FU155019005.A,FU155012005.A,FU165013005.A,FU156300003.A,FU155420003.A,FU155000905.A,FU155000905.A,FU154090005.A,FU154000005.A,FU153020005.A,FU153030005.A,FU153030505.A,FU154022005.A,FU153061105.A,FU153061705.A,FU153062005.A,FU153063005.A,FU154023005.A,FU154041005.A,FU153065005.A,FU153081005.A,FU153064105.A,FU153064205.A,FU153034005.A,FU152090205.A,FU153094305.A,FU153052005.A,FU153076005.A,FU153040005.A,FU153050005.A,FU153095105.A,FU313195105.A,FU163096005.A,FU154190005.A,FU163162003.A,FU154123005.A,FU154141005.A,FU153166000.A,FU153168005.A,FU153169005.A,FU153165005.A,FU543077073.A,FU163170005.A,FU155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010005.A,FR155035005.A,FR165015205.A,FR165013765.A,FR155111005.A,FR154090005.A,FR154000005.A,FR154022005.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052005.A,FR152090005.A,FC152090005.A,FL152000005.A,LM152010005.A,LM155035005.A,LM155111005.A,LM165015205.A,LM165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,FL153030005.A,LM153030505.A,LM154022005.A,LM153061105.A,LM153061705.A,LM153062005.A,LM153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,LM152090205.A,LM153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL153095105.A,FL313195105.A,FL163096005.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170005.A,FL152090005.A
1960,45031,8174,36857,13894,13337,557,5594,17369,406590,17369,301282,272855,28427,100606,31182,69425,13366,56059,12667,406590,46068,24428,16444,1312,787,369031,331181,37851,35609,37851,2242,16892,25730,21952,3778,8174,-664,18717,18717,44967,13726,1977,11936,-187,4796,990,-1234,2645,2395,2800,26,2774,-3973,-3974,1049,0,-1048,0,27618,148,3228,23672,570,0,0,17847,0,17545,5428,4035,698,695,12117,192,110,27120,16514,5251,664,2195,-8404,9704,9766,-13,-1,-48,13146,-1,0,4015,159,10985,0,-2012,22850,74972,2315603,737552,547589,185419,3760,784,1578051,242843,77538,164461,844,69154,26502,1033,31007,10612,79315,45740,33575,780392,364813,17026,0,398553,0,406346,6427,85184,307674,7061,0,0,2315603,224545,0,219857,73271,61248,2122,9901,146586,2379,2309,2091058
1961,47800,8496,39304,14463,13862,601,6194,18648,421586,18648,310421,280519,29902,106083,33448,72635,13901,58734,13566,421586,47250,28089,17005,1361,921,385860,341475,44385,41876,44385,2509,15826,25083,20990,4093,8496,-761,26050,26050,46390,17974,-286,18384,-124,233,-1053,-441,1499,228,3274,15,3259,-3036,-4768,1671,0,61,0,27945,136,3447,23740,622,0,0,18363,0,18040,4856,2187,870,1799,13184,133,190,28027,7593,3048,760,1808,-1977,13297,13418,-27,-4,-92,102895,-0,0,83577,4178,17164,0,-2024,116191,165660,2499626,769614,576368,188375,3989,882,1730012,260491,76926,182845,720,69387,25449,592,32506,10840,82589,45755,36834,882275,443622,22875,0,415778,0,435270,6563,88631,332393,7683,0,0,2499626,242908,0,237897,78127,63435,2992,11700,159770,2512,2499,2256718
1962,51519,8846,42673,15625,14923,702,6735,20313,450580,20313,332202,299358,32844,112935,37090,75846,15027,60819,14870,450580,51555,28843,19117,1549,1040,409260,362558,46703,44065,46703,2638,17089,26747,22161,4586,8846,-812,26976,26976,50612,25407,-457,25983,-119,-155,1250,-357,-419,-629,2572,400,2172,-5486,-6756,872,0,398,0,28274,18,3767,23809,680,0,0,22136,0,21851,6975,5909,458,608,14876,155,130,28476,3837,6995,811,-5469,-1500,9604,10300,-30,-6,-661,4979,-0,0,-5387,-2838,16672,0,-3468,14582,62484,2584246,803569,603604,194709,4245,1011,1780677,286577,77148,208828,601,69232,26699,235,32087,10211,85161,46155,39006,885236,431479,20909,0,432848,0,454471,6581,92398,347129,8363,0,0,2584246,265044,0,259748,85102,69344,3450,12308,174646,2667,2629,2319202
1963,54877,9288,45589,16657,15845,812,7418,21514,474251,21514,350408,314851,35557,118951,40500,78451,16236,62215,16622,474251,54552,30341,21669,1868,1107,429133,382035,47098,44213,47098,2885,18626,28797,24154,4643,9288,-883,25587,25587,59234,30694,4679,26108,-93,-2577,-2281,-235,7,-68,2695,1173,1522,-3645,-6616,971,0,2000,0,32067,379,4237,27104,347,0,0,28955,0,28459,11064,8526,344,2194,17395,186,310,30279,5286,9267,883,-9556,-4692,7628,6764,-3,-2,868,46342,1,0,42724,2939,3617,0,-2939,53970,103469,2716670,839163,628622,204844,4529,1168,1877507,317421,81977,234936,508,66655,24418,0,32094,10143,87856,47328,40528,920870,457587,24819,0,438464,0,484704,6960,96635,372399,8710,0,0,2716670,293999,0,288207,96166,77870,3794,14502,192041,2853,2939,2422671
1964,58370,9882,48488,17868,16989,879,8095,22526,508071,22526,375975,337788,38188,128080,44981,83099,18194,64905,18509,508071,52069,31317,22387,2187,1207,465913,410632,55281,51976,55281,3305,19823,30670,25565,5105,9882,-965,32153,32153,71245,32372,6339,26105,-72,3220,68,245,2760,147,2004,434,1570,-3425,-6559,944,0,2190,0,37074,547,4416,31601,510,0,0,29364,0,28919,11085,9482,1340,263,17834,186,259,41881,19832,11755,965,-2616,-9728,13738,14960,-15,-7,-1201,95970,0,0,79671,2684,17495,0,-3880,109708,181516,2927550,884104,662499,215398,4873,1334,2043446,346262,84785,261041,436,69875,24486,245,34854,10290,90360,48262,42098,1017295,530699,28447,0,458149,0,519654,7507,101051,401876,9220,0,0,2927550,323363,0,317126,107251,87352,5134,14765,209875,3039,3198,2604187
1965,62611,10662,51949,19316,18338,978,8818,23815,547929,23815,405415,363757,41658,139135,49319,89816,20205,69611,20436,547929,57664,33913,23416,2265,1300,501726,442973,58753,55145,58753,3608,20444,32099,26231,5868,10662,-993,34702,34702,75233,34128,6739,27473,-84,1563,288,887,1677,-1289,1929,1416,513,-4940,-10538,2073,0,3525,0,42553,719,4825,36267,742,0,0,29416,0,28733,10901,10137,-427,1191,17832,264,419,45817,29904,15925,992,1871,-11115,9921,13404,-22,-7,-3455,103988,0,0,81278,3890,23365,0,-4545,113909,198958,3155924,930933,696286,227868,5257,1522,2224991,380386,91520,288514,352,71438,24774,1132,36531,9001,92289,49678,42611,1120888,601439,34410,0,485039,0,559990,8226,105876,435926,9962,0,0,3155924,352779,0,345859,118152,97489,4707,15956,227707,3303,3617,2803145
1966,67587,11533,56054,21261,20056,1205,9510,25283,601469,25283,449249,400321,48928,148930,54336,94594,20670,73924,21993,601469,66378,37504,31336,2113,1591,541780,479919,61861,57975,61861,3886,18579,31164,25009,6155,11533,-1052,39396,39396,78250,20237,1833,18621,-217,14586,3128,4718,4620,2120,3091,1435,1656,-8175,-13609,2206,0,3228,0,48511,709,4692,42279,831,0,0,22896,0,22190,8539,5933,671,1935,13651,356,350,55354,38859,17853,1052,3996,-15958,37601,33670,136,-1,3796,-35143,-0,0,-56114,-2766,30267,0,-6530,2458,99292,3278452,1005985,748935,249517,5795,1738,2272467,400623,93353,307135,135,86024,27902,5850,41151,11121,95730,51113,44617,1084100,531716,33850,0,518534,0,605991,8935,110568,475695,10793,0,0,3278452,376015,0,368389,126691,103422,5378,17891,241698,3659,3967,2902437
1967,72940,12445,60495,23384,21976,1408,10633,26478,641462,26478,481791,429009,52782,156393,59502,96891,21510,75381,23200,641462,72961,45752,34867,2262,1968,579680,506685,72995,69017,72995,3978,18179,31684,25517,6166,12445,-1060,50838,50838,93051,45190,10291,35009,-110,1272,-181,415,-2952,3990,4441,2317,2124,-10709,-12271,929,0,633,0,52857,803,4965,46205,884,0,0,34965,0,34050,17706,5145,8026,4535,16344,288,627,58086,27273,16003,1059,2963,-7248,33291,26796,80,13,6402,172045,1,0,144231,8194,24032,0,-4413,205336,301626,3614917,1074444,794221,271922,6317,1984,2540473,445900,103731,342144,25,87305,27721,6265,38208,15111,100037,53430,46607,1249848,663676,42973,0,543199,0,657384,9738,115533,520252,11861,0,0,3614917,410854,0,402313,144397,108567,13404,22426,257916,3947,4594,3204063
1968,78998,13640,65358,26086,24616,1470,11994,27279,701370,27279,530751,471972,58779,168712,65353,103359,23535,79824,25371,701370,86987,53306,38695,2788,2005,629777,556853,72924,68836,72924,4088,21135,35860,29431,6430,13640,-1085,47701,47701,89599,39096,8928,30168,0,3272,2096,-145,-1614,2935,5700,3366,2334,-18361,-23391,2205,0,2825,0,59892,929,4788,53186,989,0,0,25048,0,24146,8719,10757,-6596,4558,15427,355,547,64551,45933,20868,1085,7130,-16850,85498,76009,160,60,9269,191374,0,0,151209,4351,42272,0,-6458,276873,391642,4031835,1200814,889605,302059,6876,2274,2831021,484971,112659,372312,0,90473,29817,6120,36490,18046,105878,56796,49082,1429319,791494,49529,0,588296,0,720380,10667,120321,576542,12850,0,0,4031835,436130,0,426687,153452,119324,6808,27320,273235,4302,5141,3595705
1969,87045,15235,71810,29477,27721,1756,13407,28926,768241,28926,584459,518333,66126,183342,76164,107178,24239,82939,28487,768241,104506,58973,44127,3331,2215,679697,603639,76058,71433,76058,4625,22489,38477,31072,7405,15235,-753,48945,48945,89640,6970,-1724,8694,0,30761,11248,5185,10754,3574,-187,-2044,1857,-18789,-21205,2666,0,-250,0,70885,1158,5038,63612,1077,0,0,29052,0,28000,9582,9907,220,-545,18418,386,666,60588,39398,19501,752,7501,-11643,66475,58052,181,91,8151,-112687,-0,0,-131305,-6617,35213,0,-9977,-46212,64619,4124086,1308558,968674,329711,7605,2568,2815528,492052,110925,381127,0,121674,41065,11305,47244,22060,103989,54752,49237,1307816,638984,45578,0,623254,0,789997,11825,125359,638886,13927,0,0,4124086,463762,0,453267,163563,129231,7557,26775,289704,4688,5807,3660324
1970,94595,16468,78127,32400,30313,2087,15231,30496,821626,30496,623347,551560,71787,198951,90687,108264,24307,83957,31167,821626,103070,71737,46359,2926,2548,744313,646725,97588,92824,97588,4764,20189,37501,29683,7818,16468,-843,72635,72635,118718,49760,7575,42185,0,1994,-10288,4638,-100,7744,2473,1076,1397,-3552,-3845,1060,0,-767,0,68043,1415,5340,60003,1285,0,0,18922,0,17856,5678,4429,-64,1313,12178,430,636,99796,59573,14264,843,17306,-27161,46578,35986,214,95,10283,16311,0,0,-17482,-2137,32068,0,3862,62889,215286,4354328,1390677,1025204,354257,8354,2862,2963651,541812,118500,423312,0,123668,30777,15943,47144,29804,105936,55828,50108,1316805,617731,44501,0,654573,0,875430,13240,130699,716279,15212,0,0,4354328,478718,0,467157,169241,133660,7493,28088,297916,5118,6443,3875610
1971,104537,18224,86313,35596,33084,2512,16747,33970,879513,33970,664995,584549,80446,215319,100184,115135,25027,90108,34771,879513,101705,85412,51176,2696,2878,811862,699937,111925,106128,111925,5797,29196,48669,40032,8637,18224,-1249,76932,76932,144437,80919,13344,67575,0,-5973,-11105,-1328,-1174,7634,-728,2297,-3025,-4498,-6158,330,0,1330,0,74717,1244,6351,65823,1299,0,0,45431,0,44237,19600,15583,68,3949,24637,318,876,99006,60658,19863,1199,17522,-22074,79062,75094,112,81,3776,172958,0,0,96014,8175,65057,0,3711,252020,418805,4818473,1517841,1127739,377896,9063,3143,3300632,622731,131844,490887,0,117695,19672,14615,45970,37438,105466,58125,47341,1481476,707587,53006,0,720883,0,973264,14484,137050,805219,16511,0,0,4818473,524058,0,511303,189374,149243,8094,32037,321929,5436,7319,4294415
1972,114034,20340,93694,38946,35912,3034,18061,36688,967945,36688,731333,638785,92549,239041,109852,129189,26836,102353,39117,967945,123640,94808,59204,3112,3339,879682,768153,111529,104725,111529,6804,38583,60194,49450,10744,20340,-1271,66142,66142,166287,86754,13460,73294,0,-2844,9,-5732,1712,1167,3170,2188,982,-10010,-2905,-1410,0,-5695,0,89217,1402,6874,79440,1501,0,0,61499,0,60123,25258,19514,688,5056,34865,540,836,104788,85173,26098,637,19793,-38646,132748,127221,-62,74,5514,272717,-0,0,177440,4787,87176,0,3314,405464,595362,5475168,1714199,1290675,409508,10558,3458,3760969,708033,143997,564036,0,114853,19666,8898,47684,38605,108660,60400,48260,1740563,882122,56383,0,802058,0,1088859,15886,143924,911037,18012,0,0,5475168,585391,0,571260,214466,168757,8616,37093,356794,5976,8155,4889777
1973,124629,23321,101307,43010,39282,3728,19499,38799,1084214,38799,812682,708762,103921,276456,125606,150850,29880,120970,43722,1084214,132407,108628,75496,3940,3493,985386,849575,135812,129211,135812,6601,42034,66678,55397,11281,23321,-1322,87177,87177,183592,73866,12352,61514,0,17436,8460,-566,6556,2986,3400,3527,-127,-2344,-9624,-2221,0,9501,0,91234,1367,7347,80851,1669,0,0,65439,400,63912,23832,22459,3278,-1905,40080,400,727,118153,26239,32050,1167,-37955,-30977,155464,142551,163,278,12474,-99654,0,0,-225325,-10467,142438,0,-6301,55810,211260,5752964,1943148,1472632,454032,12517,3967,3809816,778900,152350,626550,0,133185,28126,8332,55136,41591,111158,63927,47231,1628967,647173,43695,0,938099,0,1157606,17253,151271,969401,19681,0,0,5752964,651927,400,636269,240197,192980,11894,35323,396072,6376,8882,5101037
1974,137198,27045,110153,47144,42862,4282,20841,42169,1182520,42169,887714,772282,115432,301158,147519,153639,33187,120452,48521,1182520,151048,128556,85181,4738,3145,1076441,930161,146279,139981,146279,6298,33230,61715,50467,11248,27045,-1440,106751,106751,150549,61168,5488,55680,0,31214,3915,6402,7128,13769,5861,2498,3363,-46423,-19633,-1401,2379,-27768,0,98729,1233,7119,88707,1670,0,0,56832,900,54077,16162,8946,5572,1644,37915,710,1145,93717,18207,21366,1326,8550,13035,66549,14139,1749,388,50273,-112711,1,0,-236132,-10481,140746,0,-6845,-46162,112026,5921640,2064417,1517696,525671,16435,4615,3857223,840529,157533,682996,0,138999,7806,13669,62164,55360,142474,91880,50594,1476638,391408,31813,2379,1051038,0,1258583,18486,158390,1060356,21351,0,0,5921640,708576,1300,690163,256359,201926,17466,36967,433804,7086,10027,5213064
1975,151623,30882,120741,51965,47030,4935,22898,45879,1265126,45879,947231,814838,132393,327635,168163,159473,32922,126551,55619,1265126,147607,163134,89310,6844,3610,1194577,1030547,164030,157582,164030,6448,31777,64152,53148,11004,30882,-1493,125806,125806,238744,84822,1324,83498,0,27537,16424,-5236,5830,10519,12567,4046,8521,1362,13676,-671,1266,-12909,0,112456,2059,10225,98262,1910,0,0,60067,1400,57516,17268,7770,6316,3182,40248,658,493,178677,78866,20587,1493,3915,-52871,161804,128768,1087,211,31738,250611,1,0,118789,7607,111462,0,12752,412414,648863,6627657,2286518,1684206,577996,19180,5136,4341139,924051,158857,765194,0,160264,19992,7584,66809,65879,146407,95926,50481,1715858,523873,38749,3645,1149591,0,1394559,20545,168615,1182138,23261,0,0,6627657,765731,2700,744767,270693,206996,23548,40149,474074,7744,10520,5861926
1976,164874,34318,130556,57057,51474,5583,25286,48213,1396250,48213,1048347,899745,148602,359366,181184,178183,38971,139212,59676,1396250,172671,177643,101334,6694,4530,1302052,1147666,154387,147151,154387,7236,47301,82959,70896,12063,34318,-1340,99850,99850,240510,109672,10850,98822,0,2752,-14588,2393,6050,8897,10085,8088,1997,-3146,14255,-2904,-546,-13951,0,121147,3587,9195,106083,2282,0,0,88824,2000,86032,27837,21965,125,5747,58195,631,161,151686,57554,32482,1280,-28044,-51836,176060,150082,711,224,25043,279976,1,0,125903,5591,143901,0,4580,456036,660741,7377974,2543119,1880025,635521,21838,5735,4834855,1026552,169708,856844,0,166903,4928,11611,72859,77505,156853,104014,52839,1988082,664031,41436,3099,1279516,0,1496465,24132,177810,1268980,25543,0,0,7377974,855307,4700,831551,298930,228961,24073,45896,532621,8375,10681,6522667
1977,179872,39616,140256,62370,55923,6447,27779,50107,1551586,50107,1165825,994158,171667,404901,207010,197891,44723,153168,69247,1551586,197879,189482,113094,5090,5264,1429921,1273975,155946,146670,155946,9276,67897,108709,94480,14229,39616,-1196,78773,78773,235176,117086,14958,102128,0,2027,-4204,-3351,5958,3624,5020,2534,2486,-24354,-15660,416,98,-9208,0,135397,4191,9981,118054,3171,0,0,131900,3400,127217,40533,35790,501,4242,86684,909,374,103276,65979,40104,1121,251,-24503,295216,264861,643,221,29491,77050,-1,0,-89346,-1497,173024,0,-5131,372266,584914,8094419,2947334,2211304,705116,24480,6434,5147085,1142911,184665,958246,0,169259,724,8260,78817,81458,161926,106548,55378,2045859,559025,40355,3197,1443282,0,1627130,28323,187791,1382302,28714,0,0,8094419,986838,8100,958399,339094,264892,24474,49728,619305,9284,11055,7107581
1978,202077,46589,155488,69498,62619,6879,28402,57588,1754269,57588,1316764,1120570,196194,461218,235262,225956,50728,175228,81300,1754269,229649,203427,131260,6463,5932,1597318,1422252,175066,167877,175066,7189,78598,126537,110920,15617,46589,-1350,89279,89279,274338,107376,16672,90704,0,13658,-8657,735,26851,-5271,24729,17146,7583,-21215,-11201,-238,5731,-15507,0,149790,3901,11558,131174,3157,0,0,165653,2600,161205,54036,46413,1597,6026,107169,1065,783,108685,69807,43817,1350,5234,-19406,338260,290305,1439,352,46165,272078,0,0,19850,963,247241,0,4023,610338,848022,9105801,3407984,2577511,795098,27912,7463,5697817,1250287,201337,1048950,0,183302,-7933,9657,104168,77410,186139,123694,62445,2292866,567841,41080,8928,1675017,0,1785222,32224,199349,1521778,31871,0,0,9105801,1150198,10700,1117311,391530,311305,24471,55754,725781,10349,11838,7955603
1979,226340,54366,171974,76926,69160,7766,29234,65814,1964319,65814,1477231,1253314,223917,516972,269682,247290,57657,189633,95699,1964319,268913,227334,152749,8225,5972,1772244,1585420,186825,179284,186825,7541,74457,130356,113630,16726,54366,-1533,104827,104827,291978,87645,19865,67780,0,60182,43030,1231,19075,-3154,11379,2054,9325,-25239,-24600,-2223,30531,-28947,0,158011,4798,10931,139345,2937,0,0,169636,2900,164648,47702,43311,-1712,6103,116946,1343,745,122342,65140,38341,1246,8038,-17516,441590,376977,1874,602,62137,454781,0,0,141371,5941,298398,0,9071,896370,1140794,10417568,3961948,3025997,895576,31525,8850,6455620,1336486,221039,1115447,0,248667,35317,12405,123387,77558,197359,125748,71611,2706679,684612,38388,39459,1944220,0,1966429,37022,210280,1684319,34808,0,0,10417568,1321171,13600,1283296,438973,354616,22486,61871,844323,11692,12583,9096397
1980,258150,62193,195957,86529,77844,8685,31799,77629,2167715,77629,1622248,1373422,248826,582563,333760,248804,64196,184607,114725,2167715,299512,271498,166188,8630,6580,1975564,1750668,224896,216118,224896,8778,52995,116875,98956,17919,62193,-1687,163123,163123,354702,137252,13163,124089,0,30564,31386,3219,6325,-10366,-568,-6946,6378,-37306,-16004,-590,24907,-45619,0,224760,5093,10248,207436,1983,0,0,116130,3100,110609,19747,3428,1358,14961,90862,1247,1174,238572,82040,17715,1587,-12711,-75449,418682,337221,3117,767,77578,546216,1,0,237557,7852,289300,0,11506,964898,1263057,11806337,4451130,3413722,990869,36150,10389,7355207,1478236,238699,1239537,0,281524,68703,13624,129712,69485,206057,118802,87255,3205833,901755,52060,64366,2187652,0,2183557,42115,220528,1884123,36791,0,0,11806337,1446883,16700,1403487,458720,358044,23844,76832,944767,12939,13757,10359454
1981,291615,68466,223149,96845,86915,9930,35136,91169,2431716,91169,1792525,1511373,281152,681430,414463,266968,69733,197235,133408,2431716,345780,307809,195701,11175,11716,2197503,1933951,263552,254290,263552,9262,47131,117359,97536,19823,68466,-1762,207160,207160,442064,142009,46191,95818,0,32123,7049,-6244,28936,2382,1596,-13208,14804,60218,-41748,4492,90244,7230,0,206119,4680,9575,188659,3205,0,0,104364,4400,97215,29433,19838,2440,7155,67782,1783,966,337700,165299,18941,1762,14056,-130541,398348,344250,2359,770,50969,81563,-0,0,-56420,-3912,150456,0,-8561,479911,899501,12814949,4916768,3803851,1060779,40085,12053,7898181,1621645,284890,1336755,0,314754,75752,7380,158648,72974,207001,105594,101407,3353512,800923,52640,154610,2345339,0,2401270,46795,230103,2084376,39996,0,0,12814949,1555995,21100,1505450,488153,377882,26284,83987,1017297,14722,14723,11258954
1982,323803,72872,250931,107323,96321,11002,38371,105237,2584470,105237,1892983,1587517,305465,747407,482067,265340,73124,192216,161156,2584470,354743,343079,208894,12386,13843,2362456,2071256,291199,281096,291199,10103,35520,110258,86832,23426,72872,-1867,245577,245577,458972,201127,20251,180876,0,58605,22901,-7278,42548,434,18792,800,17992,-53018,-30010,3487,32102,-58597,0,233466,4805,7809,217138,3714,0,0,87416,8500,77296,28008,18836,543,8629,49288,793,827,371556,169470,18170,1557,23764,-125979,174966,149888,1091,512,23475,199760,1,-0,74375,8983,99757,0,16643,374725,825292,13713198,5148139,3989640,1102424,42670,13405,8565059,1817986,305157,1510402,2427,379590,98653,3400,201416,76121,217282,106394,110888,3485594,845288,65110,186712,2388484,0,2664606,51600,237912,2331384,43710,0,0,13713198,1628952,29600,1568287,516215,396718,26881,92616,1052072,15515,15550,12084246
1983,352482,76013,276469,118128,104712,13416,40928,117414,2755826,117414,2012488,1677513,334975,809177,518561,290616,81986,208630,183252,2755826,352879,370499,225953,13796,15008,2546281,2281605,264676,256386,264676,8290,74700,152689,127164,25525,76013,-1976,181686,181686,499220,213856,10235,203305,316,85790,37261,1242,45336,1951,-1612,-1858,246,-92768,-25948,22733,-36768,-52785,0,293953,12299,8768,268957,3929,0,0,184700,11400,170285,57581,48160,-916,10337,112704,584,2431,314520,202175,51620,1523,16199,-132833,167172,145192,464,470,21048,271008,4189,-0,120257,10197,111505,0,24860,438180,896741,14774639,5444411,4209413,1175092,45262,14644,9330228,2050785,315392,1728457,6937,456251,135914,4642,246752,68943,215849,104536,111313,3634506,939597,98040,149944,2446925,0,2972837,63899,246680,2614619,47639,0,0,14774639,1793652,41000,1718572,573796,444878,25965,102953,1144776,16099,17981,12980987
1984,383773,80866,302907,129915,113855,16060,43985,129007,3070325,129007,2215872,1844915,370957,930391,591322,339069,85810,253259,204944,3070325,377916,380909,257470,19727,16924,2818651,2492340,326311,317951,326311,8360,95348,178391,150938,27452,80866,-2177,222604,222604,519829,258503,11983,246522,-2,98600,56265,7554,44424,-9643,8167,7040,1127,-77377,-79630,19415,44374,-61536,0,231936,-1378,6037,223253,4024,0,0,224162,10171,211852,77361,81706,-3036,-1309,134491,-991,3130,295667,168499,80071,2176,13188,-73064,530950,515918,344,268,14420,65288,25,0,-12947,1563,59676,0,16971,596238,1082687,16077521,6150304,4816923,1269583,48100,15698,9927217,2309314,327378,1975034,6902,534745,185722,11880,291176,45967,214585,111576,103009,3605416,847020,119018,194318,2445060,0,3263157,62521,252717,2896256,51663,0,0,16077521,2013847,51171,1926457,647859,526584,19631,101644,1278598,15108,21111,14063674
1985,411787,86155,325632,139539,121836,17703,46686,139407,3288035,139407,2387325,1982550,404775,995190,630958,364232,93794,270438,233886,3288035,417813,403112,281370,22260,18455,2995770,2712830,282940,274006,282940,8934,96568,185269,157065,28204,86155,-2546,177437,177437,556129,138602,11481,126305,816,142466,-7689,-7588,105132,52611,29813,25556,4257,-48363,-115214,74423,11745,-19317,0,293611,27241,11533,251028,3809,0,0,334564,30163,301187,116270,83990,6505,25775,184917,101,3113,221565,91696,93281,1333,-47046,-44128,598252,583576,308,102,14266,479422,67,-0,301273,37774,83276,0,57032,1077674,1443376,17876212,6937161,5492906,1377130,50419,16706,10939051,2447984,338859,2101333,7791,676531,178033,9315,397033,92150,253306,137132,116174,3967196,1033079,219442,206063,2508612,0,3594035,89762,264250,3184551,55472,0,0,17876212,2369161,81334,2248394,759629,610574,26136,122919,1488765,15209,24224,15507051
1986,446989,93435,353554,152117,132589,19528,49541,151897,3486735,151897,2542063,2102335,439728,1049970,663661,386309,103121,283188,257195,3486735,437806,428607,303438,22948,22056,3174990,2886278,288712,278693,288712,10019,118753,215079,184430,30649,93435,-2891,159940,159940,623483,243856,117173,125907,776,41963,-9588,793,18599,32159,16329,19901,-3572,14397,-150911,130094,43711,-8497,0,306938,16659,18244,268278,3757,0,0,265535,-2962,267559,63527,55781,-3251,10997,204032,-1324,2262,357948,379737,108676,2892,70161,-198008,476969,438941,1410,41,36578,497622,257,0,361705,26207,104641,0,4812,974591,1633021,19772670,7644160,6049418,1522384,54289,18069,12128510,2687904,456032,2223118,8753,727237,165445,10108,416632,135052,269635,157033,112602,4499015,1249742,375743,246652,2626878,0,3944719,106421,282494,3496575,59229,0,0,19772670,2632598,78372,2513855,821656,666355,22885,132416,1692199,13885,26486,17140072
1987,489522,101821,387701,171035,149141,21894,54098,162568,3706217,162568,2722405,2256267,466138,1088775,674932,413844,101967,311877,267531,3706217,489587,447913,323113,20228,24788,3336870,3076279,260591,250015,260591,10576,130475,235540,200228,35312,101821,-3244,119539,119539,530743,144540,-4527,149198,-131,152283,17555,6464,106496,21768,3350,-9481,12831,-96452,-141136,47612,25489,-28417,0,327022,23024,31231,266406,6361,0,0,258337,-299,252451,24145,32285,3937,-12077,228306,1522,4663,272406,302223,100901,3244,45211,-152867,452883,421924,1075,507,29377,255083,577,-0,112079,-24126,141503,0,25049,707965,1260202,21277543,8330141,6598723,1652662,58601,20155,12947402,2825409,451128,2364522,9759,851303,170212,16572,523080,141439,288410,170581,117829,4620342,1210754,404113,272141,2733333,0,4310121,129445,313725,3801361,65590,0,51818,21277543,2877269,78073,2740684,858007,698640,26822,132545,1882677,15407,43105,18400274
1988,539812,108755,431057,193107,169431,23676,57711,180239,4043388,180239,2947986,2439782,508204,1199205,720691,478514,127971,350543,284043,4043388,505939,476864,361482,20596,26304,3647122,3330013,317110,305996,317110,11114,135552,247722,210840,36882,108755,-3414,170444,170444,624824,178834,9793,168129,912,107808,46037,20748,58766,-17743,19602,16610,2992,-58138,-39508,-2319,12923,-29234,0,373845,14692,27829,325531,5793,0,2872,278168,1491,273645,53443,46566,213,6664,220202,428,2604,346656,337357,104052,3415,53678,-176212,529067,483205,1468,782,43612,577610,38,0,381290,18595,173491,0,4196,1106676,1750029,23313941,9094409,7207766,1800326,63306,23011,14219532,3022972,460921,2551343,10708,1009872,218757,36668,594883,159564,307509,187191,120318,5135580,1552536,420389,285064,2877591,0,4688910,144137,341893,4131497,71383,0,54690,23313941,3163638,79564,3022530,909000,745206,27035,136759,2113530,15835,45709,20150303
1989,586041,117021,469020,211746,184718,27028,62520,194754,4348043,194754,3139602,2583051,556551,1325349,802906,522443,157486,364957,311662,4348043,567735,521070,385231,23171,27145,3912172,3576758,335415,324628,335415,10787,128905,249732,209149,40583,117021,-3806,195723,195723,524340,71686,-8959,79880,765,95850,58736,-641,29991,7764,33976,25979,7997,-32449,-123068,28531,93535,-31447,0,349302,11818,29474,303312,4698,0,5976,308463,3151,288263,56178,46979,4042,5157,232085,814,16235,215877,237351,96342,547,120308,-20154,502608,471705,1350,638,28915,733646,471,0,459551,41773,152254,0,79597,1236254,1798233,25413148,9817681,7797521,1925583,68558,26019,15595467,3094682,451522,2631287,11874,1113830,244519,37056,624874,207381,341485,213170,128315,5757835,1913688,468721,378599,2996828,0,5226969,155955,371631,4623302,76081,0,60666,25413148,3464612,82715,3303304,977278,809285,31077,136916,2326026,16649,61944,21948536
