1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q1,36,86,121795,-498,-1779,1492,974,17093,1609,17133,-4209,-1615,4175,-11772,-9335,-2437,20238,21713,74334,-530,-1151,77619,-1604,121845,198861,92765,29080,51605,25411
2005:Q2,36,88,125082,677,3562,3821,222,-42461,2282,1379,-35465,-1700,-8957,11205,11461,-256,-11723,16937,142842,1503,-1591,140606,2324,125134,204030,94059,31075,51605,27291
2005:Q3,37,90,128023,-1819,3664,-3762,-245,22072,-1775,-8800,10045,76,22526,13845,15947,-2102,-69449,-769,164486,6329,2320,158819,-2982,128076,178092,94171,33905,51605,-1589
2005:Q4,38,95,127134,2500,810,7569,616,54834,4343,5598,41159,75,3659,31350,29688,1662,-21043,17531,32967,6810,-1463,26421,1199,127191,200549,95010,32181,51605,21753
2006:Q1,39,67,148132,-340,311,-127,-967,16474,509,-5069,11699,86,9249,-6378,-12693,6315,66031,23787,49341,-983,495,3545,46284,148159,221848,93672,54487,61862,11827
2006:Q2,39,70,128456,-148,325,938,-934,39121,771,780,21610,91,15869,15875,9194,6681,-28109,13440,87948,-5133,496,91011,1574,128487,215039,93690,34797,61862,24690
2006:Q3,41,73,120877,193,124,4367,-706,10894,2854,2840,-10223,-141,15564,24271,16558,7713,-50171,9692,122213,-1402,495,114580,8540,120909,197451,93623,27286,61862,14680
2006:Q4,41,75,119130,423,157,4893,-657,38024,3341,6034,6418,-99,22330,35560,31036,4524,-75707,6137,110300,1776,496,96450,11578,119164,183317,93306,25858,61862,2291
2007:Q1,42,104,122962,-967,788,1999,79,-14121,1691,-10508,-33968,-93,28757,-9763,-11731,1968,-12339,7156,150130,7210,1134,135154,6632,123024,192086,95954,27070,73337,-4275
2007:Q2,43,109,135836,1513,1106,8778,515,90794,5791,19366,22516,-72,43193,-7280,-9510,2230,22007,14760,3643,15413,1136,-25344,12438,135903,228978,96658,39245,82862,10213
2007:Q3,44,116,123968,-2342,442,-6988,-598,-9201,-4704,-3959,-6443,-64,5969,22543,20195,2348,-20261,-143,140516,7541,1135,117466,14374,124040,211679,97557,26483,84928,2711
2007:Q4,44,120,124047,449,822,1426,43,25795,1330,-15898,-22266,35,62594,53845,45484,8361,18845,-1327,24149,2509,1136,14694,5810,124123,233583,98114,26009,89091,20369
2008:Q1,49,127,106145,620,-1020,7876,182,-16374,2967,-6765,-4226,-31,-8319,-10547,-7025,-3522,79604,6647,39157,-19198,3684,58631,-3960,106223,256417,97967,8256,113101,37093
2008:Q2,50,129,134501,-1404,-1299,25,-291,8843,-1619,-72,-131,-53,10718,-1502,8984,-10486,77368,4364,48397,-690,3684,46144,-741,134580,209232,98566,36014,65902,8750
2008:Q3,50,130,103563,-1632,-1532,-5520,-706,-36987,-5806,-2565,-11470,6,-17152,22279,25894,-3615,47362,20897,59402,-23335,3684,87301,-8248,103642,260042,99025,4617,90547,65853
2008:Q4,51,127,96206,2632,-1071,9172,204,-73977,3354,-8006,-17264,-53,-52008,55437,59760,-4323,73556,18733,11520,-32783,3686,56134,-15517,96282,268059,98976,-2694,125619,46158
2009:Q1,62,114,126837,2162,753,-28,210,-16151,2814,11456,-26054,-109,-4258,-18735,-17658,-1077,51217,14416,92993,10855,-2152,86132,-1842,126890,176853,100125,26765,58988,-9025
