date,FA893111305.Q,FA313111303.Q,FA313011303.Q,FA893011105.Q,FA313011105.Q,FA313011203.Q,FA313011303.Q,FA263011105.Q,FA263011205.Q,FA313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,148,0,148,148,92,-56,148,56,56,0
1970:Q3,136,0,136,136,-1444,-1580,136,1580,1580,0
1970:Q4,-560,0,-560,-560,-2248,-1688,-560,1688,1688,0
1971:Q1,5236,2868,2368,5236,1932,-436,2368,3304,436,2868
1971:Q2,-784,0,-784,-784,-2608,-1824,-784,1824,1824,0
1971:Q3,-600,0,-600,-600,-1800,-1200,-600,1200,1200,0
1971:Q4,12,0,12,12,8,-4,12,4,4,0
1972:Q1,5680,2840,2840,5680,664,-2176,2840,5016,2176,2840
1972:Q2,-28,0,-28,-28,-28,0,-28,0,-0,0
1972:Q3,0,0,0,0,-12,-12,0,12,12,0
1972:Q4,0,0,0,0,0,0,0,0,-0,0
1973:Q1,0,0,0,0,0,0,0,0,-0,0
1973:Q2,-36,0,-36,-36,-36,0,-36,0,-0,0
1973:Q3,0,0,0,0,0,0,0,0,-0,0
1973:Q4,0,0,0,0,0,0,0,0,-0,0
1974:Q1,0,0,0,0,0,0,0,0,-0,0
1974:Q2,116,0,116,116,116,0,116,0,-0,0
1974:Q3,492,0,492,492,492,0,492,0,-0,0
1974:Q4,80,0,80,80,80,0,80,0,-0,0
1975:Q1,16,0,16,16,16,0,16,0,-0,0
1975:Q2,64,0,64,64,64,0,64,0,-0,0
1975:Q3,100,0,100,100,100,0,100,0,-0,0
1975:Q4,84,0,84,84,84,0,84,0,-0,0
1976:Q1,180,0,180,180,180,0,180,0,-0,0
1976:Q2,-56,0,-56,-56,-60,-4,-56,4,4,0
1976:Q3,72,0,72,72,72,0,72,0,-0,0
1976:Q4,116,0,116,116,116,0,116,0,-0,0
1977:Q1,0,0,0,0,240,240,0,-240,-240,0
1977:Q2,332,0,332,332,332,0,332,0,-0,0
1977:Q3,36,0,36,36,36,0,36,0,-0,0
1977:Q4,116,0,116,116,360,244,116,-244,-244,0
