1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6852,509,170,101,2115,3957,6852,5504,0,3356,33,2115,1071,78,19,227,11,0,736,0,0,0,0,277,6852,1543,-93,922,0,5,709,5234,2879,-336,131,-44,10,572,257,755,0,699,0,64,40,0,55,0,0,0,-219,0,371,75
1952:Q1,23556,980,10780,-756,8508,4044,23556,23384,0,4404,10472,8508,16,-104,-12,-456,8,0,580,0,0,0,0,156,23556,7796,9792,-3232,0,36,1200,16148,-992,11500,220,4,8,968,2180,972,0,964,0,156,52,0,548,0,0,0,-1240,0,808,-388
1952:Q2,22460,744,2188,2624,10500,6404,22460,20952,0,6036,4416,10500,1312,-136,-16,388,8,0,1068,0,0,0,0,196,22460,17112,19192,-4748,0,-40,2708,4908,-388,-1028,244,28,4,536,1152,972,0,708,0,36,64,0,-276,0,0,0,3300,0,-444,440
1952:Q3,13756,636,1864,2972,4220,4064,13756,13220,0,4536,4464,4220,868,124,-28,360,12,0,400,0,0,0,0,-332,13756,4128,1728,1804,0,-8,604,8036,2900,1456,-328,32,4,1180,3348,1108,0,1360,0,24,64,0,-52,0,0,0,-3460,0,400,1592
1952:Q4,9756,-688,4736,-3088,4320,4476,9756,10152,0,4092,1740,4320,-484,124,56,-104,12,0,-572,0,0,0,0,88,9756,-216,-3840,2448,0,0,1176,10648,200,1424,200,20,12,1008,2628,1344,0,792,0,92,60,0,48,0,0,0,2608,0,212,-676
1953:Q1,13264,636,2204,-168,5776,4816,13264,11280,0,3052,2452,5776,1780,-120,-24,-424,8,0,2340,0,0,0,0,204,13264,3372,44,2204,0,208,916,9408,1464,2032,-160,8,4,1184,2868,1392,0,1096,0,12,60,0,800,0,0,0,-2288,0,936,484
1953:Q2,16976,-496,5392,1048,5284,5748,16976,15676,0,4012,6380,5284,1800,-88,-4,56,4,0,1832,0,0,0,0,-500,16976,20104,26028,-6384,0,-136,596,-4052,2116,-11136,108,0,4,884,2256,1368,0,1484,0,-88,60,0,-484,0,0,0,-372,0,-252,924
1953:Q3,27828,1096,16412,2216,5016,3088,27828,25328,0,2160,18152,5016,2680,280,16,468,8,0,1908,0,0,0,0,-180,27828,4436,-3776,7556,0,-76,732,22196,2096,12388,-36,-4,4,1208,1964,1248,0,1436,0,16,60,0,72,0,0,0,1276,0,468,1196
1953:Q4,11280,276,-3228,3428,5344,5460,11280,10768,0,5120,304,5344,484,188,80,-112,8,0,320,0,0,0,0,28,11280,-3088,-8248,3800,0,-4,1364,14276,-544,6824,232,-4,12,1220,2624,1088,0,892,0,92,60,0,-12,0,0,0,1872,0,-80,92
1954:Q1,9264,1300,-2992,1496,5528,3932,9264,8420,0,3480,-588,5528,160,24,4,-912,4,0,1040,0,0,0,0,684,9264,-3408,1020,-5228,0,72,728,11692,320,4880,-116,12,8,764,2780,1108,0,1536,0,192,60,0,1248,0,0,0,-1556,0,456,980
