1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,25704,1104,4304,3248,6168,10880,25704,19308,0,6244,6896,6168,4516,1060,104,568,88,0,2696,0,0,0,0,1880,25704,6956,5444,-1344,0,-32,2888,16284,2908,5872,-288,-44,20,860,1092,2720,0,1496,0,88,68,0,-340,0,0,0,440,0,1392,2464
1965:Q1,16448,2312,664,648,6768,6056,16448,9616,0,2220,628,6768,6472,284,-28,476,208,0,5532,0,0,0,0,360,16448,-2744,-4524,444,0,24,1312,20856,6612,-256,172,4,20,872,2712,2160,0,3196,0,1392,320,0,1004,0,0,0,-2280,0,4928,-1664
1965:Q2,20624,1756,-648,4552,8024,6940,20624,13212,0,6212,-1024,8024,7132,2488,60,4712,216,0,-344,0,0,0,0,280,20624,7412,11388,-5828,0,28,1824,14392,2592,488,-124,16,8,824,2044,1036,0,2540,0,-384,-76,0,-324,0,0,0,4112,0,1640,-1180
1965:Q3,6828,528,-12084,4284,7544,6556,6828,4308,0,6796,-10032,7544,1952,-24,-12,1964,268,0,-244,0,0,0,0,568,6828,1388,-756,-808,0,88,2864,3956,4928,-564,332,24,20,984,2924,548,0,1628,0,1492,-112,0,-400,0,0,0,-5644,0,-2204,1484
1965:Q4,26016,-1136,13100,924,6612,6516,26016,22732,0,2868,13252,6612,2652,544,-16,484,288,0,1352,0,0,0,0,632,26016,5144,144,1796,0,-8,3212,17604,1820,6840,96,28,60,1348,1076,1448,0,1676,0,156,-92,0,256,0,0,0,2912,0,-20,3268
1966:Q1,36064,6228,2760,5572,6652,14852,36064,22044,0,11236,4156,6652,12584,160,12,3856,320,0,8236,0,0,0,0,1436,36064,21236,16904,3112,0,88,1132,17080,2936,-284,-180,60,100,1088,4876,3952,0,3368,0,1788,208,0,-80,0,0,0,-3376,0,2624,-2252
1966:Q2,26220,764,-12464,17668,8176,12076,26220,13544,0,10780,-5412,8176,12136,344,88,10280,336,0,1088,0,0,0,0,540,26220,14052,18024,-5144,0,156,1016,11228,2680,-2440,-284,84,144,1584,720,1320,0,2336,0,1080,-124,0,1244,0,0,0,2792,0,92,940
1966:Q3,22204,3164,948,1324,4912,11856,22204,15084,0,11360,-1188,4912,6692,-160,-12,2924,536,0,3404,0,0,0,0,428,22204,12268,15276,-3328,0,1764,-1444,9440,1480,-1812,564,88,152,1636,1320,1588,0,3584,0,1488,-104,0,-448,0,0,0,-2832,0,2736,496
1966:Q4,40768,8076,13208,2868,5204,11412,40768,28300,0,10780,12316,5204,11932,752,84,3172,588,0,7336,0,0,0,0,536,40768,10460,8140,624,0,3232,-1536,29988,5588,1836,88,60,120,1544,1248,2280,0,2380,0,676,-48,0,3024,0,0,0,6560,0,4632,320
1967:Q1,43348,10808,8292,3576,5744,14928,43348,35316,0,15784,13788,5744,6876,1140,96,-2584,664,0,7560,0,0,0,0,1156,43348,-17952,-16072,-2492,0,1656,-1044,58828,5452,35576,160,88,92,1476,3736,984,0,1952,0,-1136,292,0,3948,0,0,0,576,0,5632,2472
1967:Q2,7700,2652,-22656,5564,8184,13956,7700,10092,0,17140,-15232,8184,-3340,1472,412,-2580,720,0,-3364,0,0,0,0,948,7700,-12648,-1656,-10636,0,-128,-228,18824,4784,11944,132,88,68,1300,3208,-128,0,2700,0,-1888,24,0,628,0,0,0,-4156,0,120,1524
1967:Q3,51640,-156,23656,-252,7968,20424,51640,48836,0,17296,23572,7968,1248,188,36,-812,644,0,1192,0,0,0,0,1556,51640,7696,9424,-1164,200,-1568,804,41020,3332,33080,808,88,72,1348,5056,1432,0,2932,0,-872,80,0,-3288,0,0,0,1168,0,-4216,2924
1967:Q4,62072,3340,25752,8212,6708,18060,62072,50304,0,14060,29536,6708,10564,584,32,3760,668,0,5520,0,0,0,0,1204,62072,21376,13392,7488,200,-312,608,36512,7756,13320,548,84,96,1540,2148,504,0,3796,0,656,184,0,-1192,0,0,0,1024,0,6048,4184
1968:Q1,55732,6968,23556,6240,6748,12220,55732,42280,0,10908,24624,6748,12240,60,32,4448,724,0,6976,0,0,0,0,1212,55732,12404,904,8848,200,-64,2516,43968,6352,19924,124,52,132,1784,5756,2496,0,2164,0,2436,328,0,656,0,0,0,-1516,0,3280,-640
1968:Q2,31472,1932,-3196,11000,7388,14348,31472,23164,0,14308,1468,7388,8068,544,32,5576,760,0,1156,0,0,0,0,240,31472,23492,22376,-3424,200,1628,2712,10104,6204,-2196,-32,32,140,2016,2624,56,0,3124,0,-2368,512,0,644,0,0,0,-816,0,164,-2124
1968:Q3,48764,5144,16488,5676,7564,13892,48764,47180,0,18412,21204,7564,648,464,56,620,340,0,-832,0,0,0,0,936,48764,-3124,-4768,-3024,200,-68,4536,46380,3332,24888,-16,28,168,2040,3656,752,0,3036,0,1312,492,0,-1652,0,0,0,7624,0,720,5508
1968:Q4,35728,2756,-1728,4792,12072,17836,35728,25340,0,12804,464,12072,8440,324,-32,2272,328,0,5548,0,0,0,0,1948,35728,5808,-5424,7212,200,-960,4780,22388,-128,13240,-188,136,212,1848,2492,1004,0,3680,0,-2104,264,0,-128,0,0,0,-2708,0,4768,7532
1969:Q1,47492,11712,2388,5444,15492,12456,47492,33188,0,14820,2876,15492,13036,-380,44,4596,360,0,7616,0,0,800,0,1268,47492,45508,34072,6116,200,-1196,6316,4504,508,-6756,160,60,264,1668,5380,-108,0,3184,0,4132,456,0,-1072,0,0,0,-6844,0,3472,-2520
1969:Q2,13576,11840,-31884,8608,12880,12132,13576,-6172,0,13888,-32940,12880,18928,992,420,9324,340,0,3656,16,0,4180,0,820,13576,4432,7788,-4968,200,-2520,3932,8036,3152,-9812,92,56,320,1164,604,-632,0,3792,0,-1604,-12,0,240,0,0,0,4112,0,6564,1108
1969:Q3,61844,15260,14400,5764,10496,15924,61844,32544,0,13664,8384,10496,27640,1160,304,10788,992,0,8940,56,0,5400,0,1660,61844,46616,51812,-8112,200,-472,3188,4508,2648,-15668,232,60,340,1812,2628,2356,0,4400,0,2296,-156,0,-2476,0,0,0,-3056,0,9092,10720
1969:Q4,54564,11032,11284,9944,6676,15628,54564,25584,0,10256,8652,6676,28616,800,60,11556,1020,0,8376,8,0,6796,0,364,54564,33992,29372,868,200,-1000,4552,27648,10584,-5172,360,72,340,1804,816,976,0,3084,0,-756,-336,0,956,0,0,0,6332,0,8588,-7076
1970:Q1,62220,19748,8188,13904,8576,11804,62220,31828,0,16872,6380,8576,29264,-228,144,14532,1180,0,980,172,0,12484,0,1128,62220,17484,15928,-608,200,64,1900,35368,1180,3252,-1000,44,272,3088,2144,1012,0,3840,0,1776,-612,0,5164,0,0,0,-936,0,16144,9368
1970:Q2,58792,5444,11076,5088,13360,23824,58792,45380,0,22888,9132,13360,13644,2136,504,6176,856,0,-776,84,0,4664,0,-232,58792,7820,964,6400,200,-12,268,40240,6668,21748,388,20,356,3048,1216,472,0,3320,0,5396,-1000,0,-2228,0,0,0,-4340,0,5176,10732
1970:Q3,48784,-16760,23332,7652,8852,25708,48784,53692,0,21904,22936,8852,-6492,-336,-112,6372,1676,0,-2456,0,0,-11636,0,1584,48784,-164,5220,-1684,200,-16,-3884,36888,6332,38756,1020,32,388,4172,2236,3688,0,5332,0,-2924,-928,0,-1928,0,0,0,5996,0,-25284,12060
1970:Q4,66236,-56,9136,8664,17144,31348,66236,52660,0,26064,9452,17144,12560,4012,764,5856,2492,0,8160,168,0,-8892,0,1016,66236,-20532,-14136,1116,200,-424,-7288,71744,5744,43556,2428,52,356,4864,3928,3096,0,2664,0,-1912,-396,0,3392,0,0,0,8612,0,-4640,15024
1971:Q1,43844,-3432,2968,-2144,17120,29332,43844,41664,0,24404,140,17120,1052,2032,324,-4124,4808,0,-3532,96,0,1448,0,1128,43844,-41504,-34108,780,200,0,-8376,63424,15424,48972,-2128,344,152,3804,6620,-2800,0,3704,0,-1044,376,0,4592,0,0,0,-5932,0,-8660,21924
1971:Q2,79244,-5084,40880,1824,17072,24552,79244,73716,0,16784,39940,16992,4456,1876,380,-3696,6460,0,-948,224,0,160,0,1072,79244,22984,20564,5784,200,-28,-3536,27320,744,30460,-976,152,148,3812,5548,-3288,0,3032,0,-628,644,0,-3052,0,0,0,-4504,0,-4772,28940
1971:Q3,74372,3384,28956,8268,14160,19604,74372,55972,0,14752,27192,14028,17152,2172,400,6844,3188,0,2608,1176,0,764,0,1248,74372,17276,17496,496,240,0,-956,15168,4332,7180,308,180,208,3808,4116,-1696,0,2556,0,-1496,760,0,-5120,0,0,0,740,0,-708,41928
1971:Q4,79000,4708,22128,11464,16252,24448,79000,56984,0,17404,23460,16120,21704,24,-432,5544,4588,0,9332,1972,0,676,0,312,79000,-11436,-27844,14388,160,100,1760,71680,8948,33944,192,40,356,3772,7784,3280,0,2332,0,2344,492,0,1396,0,0,0,4252,0,2548,18756
1972:Q1,48712,6464,-676,6168,16780,19976,48712,33024,0,16736,-332,16620,13756,2296,312,1720,4104,0,512,2284,0,2528,0,1932,48712,-4220,-5476,-2040,200,-84,3180,40048,-652,16120,1280,64,420,3812,5860,3408,0,4240,0,1244,608,0,6688,0,0,0,-5304,0,2260,12884
1972:Q2,55120,-16,6012,10500,14640,23984,55120,39088,0,19164,5952,13972,14344,-2412,-552,5736,4824,0,2836,2568,0,1344,0,1688,55120,23504,19804,-444,200,-4,3948,27488,4236,13948,-324,-12,560,3904,7368,6524,0,4240,0,-336,156,0,-3696,0,0,0,-52,0,-9028,4128
1972:Q3,47772,-4804,13880,8788,12520,17388,47772,37552,0,9996,15728,11828,10732,-964,-332,2672,4268,0,-1312,2692,0,3708,0,-512,47772,2116,-4808,856,200,0,5868,27748,-5904,14992,1024,548,556,3776,9180,9868,0,4308,0,1684,140,0,-3328,0,0,0,1064,0,-10160,17908
1972:Q4,75348,4732,24928,11776,12724,21188,75348,47552,0,9108,26392,12052,26784,2428,-232,3956,6356,0,8932,2612,0,2732,0,1012,75348,-3084,-20896,9264,200,20,8328,72028,8832,36680,-564,512,548,3412,6776,6092,0,4692,0,-584,272,0,-2868,0,0,0,9556,0,-1328,6404
1973:Q1,51216,-3200,14204,12084,14952,13176,51216,31476,244,2560,15248,13424,19208,-400,224,8016,3024,0,4272,-436,0,4508,0,532,51216,10492,7904,-6040,132,20,8476,8180,15196,-22844,324,-308,476,3480,9076,8672,0,4908,0,1764,772,0,-2256,0,0,0,-8152,0,-2928,32544
1973:Q2,68156,9060,5400,24304,14456,14936,68156,31996,332,15948,3732,11984,35560,820,488,20152,5820,0,3884,236,0,4160,0,600,68156,45052,33912,2344,112,-28,8712,32384,684,5704,1284,-308,512,3240,5796,4952,0,5144,0,496,624,0,-1996,0,0,0,2668,0,3584,-9280
1973:Q3,59160,10072,-9644,27884,14436,16412,59160,17312,444,12708,-7876,12036,40964,2944,884,24348,1768,0,3252,3240,0,4528,0,884,59160,31364,34348,-10868,60,-8,7832,29208,3428,-1692,-680,300,456,3348,3096,8440,0,5896,0,932,556,0,72,0,0,0,1240,0,3816,-1412
1973:Q4,78016,17532,5728,17172,20072,17512,78016,44572,580,20000,6304,17688,31628,3112,16,12664,3932,0,12060,360,0,-516,0,1816,78016,3700,-6420,2980,28,8,7104,90216,17788,24304,596,304,464,3776,4688,4196,0,4100,0,-720,240,0,3332,0,0,0,10516,0,16632,-15900
1974:Q1,59200,18716,-6272,8264,19736,18756,59200,32312,712,19064,-4844,17380,24120,4376,1352,160,6676,0,7360,-2268,0,6464,0,2768,59200,28176,18544,2944,64,8,6616,32456,-2896,10876,1160,-136,356,4240,8412,4904,0,5060,748,1956,316,0,368,0,0,0,-8956,0,6048,-1432
1974:Q2,92868,13172,9120,23632,17104,29840,92868,50840,836,26428,9004,14572,40192,10164,2588,22056,1692,0,5408,-7260,0,5544,0,1836,92868,36940,29404,2100,60,-32,5408,42176,9840,-832,1244,268,260,4668,4112,6132,0,6692,684,-256,-412,0,-1804,0,0,0,3220,0,8360,13752
1974:Q3,123564,28096,17780,35676,14996,27016,123564,58000,964,27380,16948,12708,63548,9204,2584,30628,5880,0,9372,-2704,0,8584,0,2016,123564,73084,57708,10872,48,0,4456,51156,3868,-5956,-128,180,316,4804,1204,12076,6004,7400,960,576,-468,0,268,0,0,0,2920,0,17132,-676
1974:Q4,103476,11052,23324,16248,9388,43464,103476,59208,1088,29424,22324,6372,40676,7876,1228,13564,3684,0,14676,-692,0,340,0,3592,103476,31168,19200,12128,48,0,-208,64436,8692,23224,1364,-356,620,4700,7832,12460,0,3704,636,744,-268,0,6364,0,0,0,3712,0,-8992,7872
1975:Q1,127088,6304,49080,9208,11588,50908,127088,100536,1212,42760,47908,8656,17824,976,656,-1468,11848,0,2460,-76,0,3428,0,8728,127088,9500,124,6508,-40,0,2908,91300,10348,43256,-2716,204,900,6768,8564,17848,-6004,7232,2148,220,252,0,13776,0,0,0,100,0,-11596,26288
1975:Q2,149724,-12316,104604,4336,13324,39776,149724,140500,1336,26012,104408,8744,3808,-3092,-748,-200,4732,0,3240,176,0,-300,0,5416,149724,44836,27144,13972,-8,0,3728,103396,1372,82900,1456,140,1248,5944,8608,15316,0,9520,-860,664,-4,0,-3168,0,0,0,768,0,-20508,1492
1975:Q3,129244,-6056,91052,8428,9132,26688,129244,113888,1464,16144,91016,5264,10216,-2600,-280,3736,4728,0,4036,-432,0,1028,0,5140,129244,60176,52520,-716,68,0,8304,73488,10492,41940,-336,216,1260,7012,13424,15540,0,7504,1020,1644,52,0,-5396,0,0,0,-2312,0,-18572,-4420
1975:Q4,184560,7232,82740,14196,25784,54608,184560,125040,1588,19556,82732,21164,48620,6456,568,7300,6904,0,12532,-32,0,14892,0,10900,184560,57664,30360,18900,124,0,8280,116468,10552,42776,1164,196,1052,9368,18852,13548,152,11864,484,-4,56,0,1020,0,0,0,7700,6000,-8312,10428
1976:Q1,144884,5340,70608,11780,20516,36640,144884,119520,1724,29400,70832,17564,15352,1248,744,992,10564,0,1148,-836,0,1492,0,10012,144884,8620,-27064,19096,-100,0,16688,124996,5328,48632,28,480,800,15128,17844,12244,144,9368,1840,-1428,500,0,6052,0,0,0,2392,400,5244,11268
1976:Q2,159600,5608,70956,13732,34632,34672,159600,128492,1776,24744,71124,30848,24868,3916,656,2108,11456,0,6144,-136,0,724,0,6240,159600,58112,47228,4144,36,0,6704,91968,9988,29628,540,320,672,8896,17444,11996,88,14524,-984,-192,300,0,108,0,0,0,392,400,-2152,9520
1976:Q3,129528,-1616,57000,18272,15640,40232,129528,92104,2028,21816,58140,10120,26228,100,424,5260,11872,0,4828,200,0,3544,0,11196,129528,19664,11456,-3460,376,0,11292,90888,7296,32208,872,692,528,13184,19560,640,112,9124,308,684,208,0,-776,0,0,0,14308,400,-8460,18976
1976:Q4,133308,23408,39676,14700,12892,42632,133308,78196,2472,30456,38060,7208,45548,10092,1244,1480,14836,0,15016,-464,0,3344,0,9564,133308,9304,-20612,13856,652,0,15408,107076,4300,43012,2288,868,552,12620,24636,1148,72,3964,588,2440,-120,0,436,0,0,0,15916,1020,-6664,16928
1977:Q1,121856,8484,39032,21792,22708,29840,121856,83360,3012,27120,38416,14812,34972,752,812,3508,18900,0,8264,-204,0,2940,0,3524,121856,3928,-15876,1700,684,0,17420,89796,11636,27952,-656,180,648,17232,21216,3484,40,6000,-108,3352,-500,0,-3428,0,0,0,-29580,980,31348,28132
1977:Q2,151712,19940,27216,20148,45264,39144,151712,87960,3640,24396,26904,33020,56252,5156,456,10212,10248,0,24868,252,0,5060,0,7500,151712,17564,18676,-19996,768,0,18116,110008,9988,15432,-1740,296,436,16824,20812,15544,-584,12324,-564,4380,-928,0,-4168,0,0,0,8028,1200,12728,24140
1977:Q3,143864,1808,56592,21140,25816,38508,143864,105412,3712,31532,54600,15568,30348,632,368,5404,17728,0,2116,-240,0,4340,0,8104,143864,26496,4320,-1720,980,0,22916,77456,7488,13248,2532,224,380,18344,17728,5852,128,13020,-216,5876,-912,0,-4760,0,0,0,-6972,1600,3896,39912
1977:Q4,184308,29768,49376,26092,25188,53884,184308,109156,3236,41420,49204,15296,71816,10420,892,8700,17564,0,30744,-44,0,3540,0,3336,184308,13432,988,-4648,1156,0,15936,111208,5544,6720,644,232,368,17120,22112,16436,68,13520,1104,1932,-464,0,-1920,0,0,0,14212,1396,12184,59668
1978:Q1,143792,3708,38484,27240,43928,30432,143792,97864,2832,22044,37192,35796,40228,-4544,-536,17696,10836,0,11788,4,0,4984,0,5700,143792,22680,-2232,-5012,1280,0,28644,63696,-576,2516,1076,472,-60,17340,26408,3916,44,13156,2712,3200,264,0,-920,0,0,0,-8048,-1396,3592,57416
1978:Q2,210704,19872,54160,38640,56340,41692,210704,135484,2492,33916,53772,45304,69496,2448,-120,26632,12396,0,16312,416,0,11412,0,5724,210704,77220,50080,-480,1076,0,26544,148568,31772,19524,2332,452,-1412,12804,19808,19012,72,17944,3776,-260,364,0,2176,0,0,0,-224,-1200,21628,-15084
1978:Q3,146008,-1828,39380,34324,48824,25308,146008,108056,2432,30776,37172,37676,34456,-6880,-1584,23956,12576,0,812,72,0,5504,0,3496,146008,41420,23468,-5916,568,0,23300,90408,9420,26380,944,396,-780,18312,21748,10348,132,13820,1896,-1728,448,0,-4228,0,0,0,-5416,-1200,-84,14180
1978:Q4,177652,48916,-3028,41148,55932,34684,177652,81884,2644,38528,-4480,45192,90648,10592,1232,23992,18608,0,22768,-224,0,13680,0,5120,177652,8372,-16684,7320,164,0,17572,108008,-6808,5960,1396,396,-1072,17572,16388,8060,92,20016,4380,-340,204,0,540,0,0,0,5692,-1340,36872,61272
1979:Q1,149008,27960,9796,41440,42140,27672,149008,69624,2792,29500,7284,30048,74964,1648,944,24352,19600,0,22692,108,0,5620,0,4420,149008,51152,18668,-1464,32,0,33916,120092,3536,18740,208,-736,-324,15252,22908,12960,64,7848,19044,2684,348,0,-2264,0,0,0,956,1740,17128,-22236
1979:Q2,202048,46260,51748,38548,37816,27676,202048,116464,2880,37948,49960,25676,82896,9612,1984,20820,19516,0,17364,384,0,13216,0,2688,202048,124212,98772,12848,-132,0,12724,124140,-11296,7328,392,-588,-1064,8212,19048,24768,120,17528,18424,4060,-104,0,3848,0,0,0,25812,2000,5652,-46304
1979:Q3,189592,35020,47284,44576,41268,21444,189592,114892,2944,37220,46980,27748,64868,16568,3708,17668,27212,0,-6936,-460,0,7108,0,9832,189592,10980,18056,-24320,-540,0,17784,145156,24668,31372,4056,488,-608,15308,14376,26948,160,3888,13100,1564,-136,0,-3384,0,0,0,-4984,2000,16340,33456
1979:Q4,211200,40876,43032,59532,36000,31760,211200,108176,2984,40484,42504,22204,98468,6952,644,34184,25876,0,29692,480,0,640,0,4556,211200,125876,105232,2336,-876,0,19184,102252,11624,22548,720,468,-2284,13928,7812,21852,-884,8920,28636,-160,-64,0,3216,0,0,0,-14904,888,-64,-16928
1980:Q1,221732,30396,69020,55540,33576,33200,221732,139200,2956,45336,68764,22144,79456,10692,3632,35092,20704,0,-1744,-440,0,11520,0,3076,221732,59568,41372,19312,-680,0,-436,156076,10776,11136,44,344,-2328,10288,14012,28324,88,21768,48356,3203,16,0,2924,0,0,0,-2360,312,9173,6088
1980:Q2,287792,25620,129144,33816,34900,64312,287792,220732,2868,68952,128388,20524,62168,13932,2236,18324,16248,0,5300,-240,0,3968,2400,4892,287792,62260,81188,-17028,-504,0,-1396,203400,32356,65388,-776,688,1888,5916,7744,33376,116,29900,46700,352,96,0,3100,0,0,0,17916,0,-41360,22132
1980:Q3,186444,-12380,95804,29724,35544,37752,186444,140796,3056,20772,95356,21612,44120,904,3368,7472,22700,0,2652,-284,0,4432,2876,1528,186444,24360,-4804,10444,-64,0,18784,134532,-24212,85516,4176,604,3084,10700,17524,30152,88,15076,-5004,7897,64,0,-816,0,0,0,-3368,400,-7349,27552
1980:Q4,222000,33544,80332,53288,37012,17824,222000,139224,3520,34988,79820,20896,77856,1476,-1640,36728,17072,0,13532,80,0,14188,-3580,4920,222000,32248,4500,7592,284,0,19872,145592,-4796,69876,2632,88,1292,11192,15972,28844,104,10572,-22444,1128,-76,0,-2392,0,0,0,5196,16,28388,44160
1981:Q1,250080,37592,119492,26816,42388,23792,250080,186520,3736,36988,119276,26520,56188,13164,3744,13828,13204,0,5008,108,0,872,6260,7372,250080,632,1012,-22628,656,0,21592,202176,6672,12132,784,-400,488,10796,24700,23232,136,12772,108744,3738,688,0,-7724,0,0,0,30944,-816,-24710,47272
1981:Q2,268872,62888,73060,53788,34920,44216,268872,152964,3716,61496,72424,15328,106228,3552,3596,40060,14364,0,23740,-32,0,19832,1116,9680,268872,128384,79272,16120,688,0,32304,135592,6196,19768,2704,-868,-2072,6220,21496,25720,292,27128,23540,6163,-472,0,7788,0,0,0,-2620,-228,-5163,4896
1981:Q3,283832,68756,69860,67112,50060,28044,283832,159932,4388,52800,69612,33132,117880,6104,1100,53284,14076,0,9820,48,0,21840,11608,6020,283832,101104,54640,16812,764,0,28888,187956,11668,25784,556,-996,-1232,9828,18032,23356,-844,14748,83668,7373,-448,0,312,0,0,0,-8696,228,4619,-5228
1981:Q4,299656,35764,121748,33048,49484,59612,299656,218232,5760,60440,121484,30548,67052,8812,4424,14848,18464,0,13656,0,0,8672,-1824,14372,299656,38100,-6432,25056,828,0,18648,232168,10764,33436,5428,-800,4192,5864,18068,35296,0,26012,45812,1501,-216,0,2380,0,0,0,38188,640,5603,29388
1982:Q1,292612,17960,125056,39308,63848,46440,292612,231064,7040,59112,122664,42248,56040,4364,6160,7132,34568,0,-6888,-128,0,6372,4460,5508,292612,98834,104386,-25988,-872,0,21308,182018,-3708,45666,-812,-320,892,5976,30756,54984,0,23944,23896,313,1156,0,-1568,0,0,0,-13520,-3840,18203,11760
1982:Q2,320324,57132,96856,72388,62988,30960,320324,178204,8216,31740,96772,41476,133816,8864,3388,35180,37292,0,22988,-128,0,17712,8520,8304,320324,110515,102559,-19844,-540,0,28340,185389,9032,21981,-232,-92,-904,6180,27880,42820,0,24556,28276,3382,268,0,1972,0,0,0,-3180,-3984,27434,24420
1982:Q3,386088,-40640,226180,77324,64868,58356,386088,311444,9088,37772,226012,38572,62288,4064,-5216,24372,53120,0,-12388,-128,0,-10724,9188,12356,386088,117504,96652,9508,276,0,11068,235128,10236,67180,540,16,-2304,7316,27888,35116,0,22836,74700,-1973,312,0,15024,0,0,0,4336,1584,-27679,33456
1982:Q4,399748,-11784,206432,65868,65880,73352,399748,286484,9656,30048,206064,40716,105512,24876,1868,-6916,73152,0,5344,-128,0,15964,-8648,7752,399748,-21372,-69176,41216,920,0,5668,386328,15164,174768,3768,-4,7080,9808,52820,38600,0,10544,-6616,2015,152,0,-10768,0,0,0,83104,1600,4293,34792
1983:Q1,400592,-7900,247000,59416,62836,39240,400592,339076,10836,38912,247144,42184,52236,-18348,532,-12720,71992,0,5744,-68,184,8500,-3580,9280,400592,189344,144020,21780,2972,0,20572,180384,18420,130652,1628,40,-160,7964,41000,35308,0,12588,-51328,9262,-1152,0,-316,0,0,0,-73436,200,49714,30864
1983:Q2,434020,16284,206132,67908,85772,57924,434020,315244,12616,35044,205960,61624,107488,8528,-1708,1904,66176,880,16696,-64,112,10992,3972,11288,434020,162530,124834,25176,2896,0,9624,245214,11260,144374,4960,120,12476,2844,40040,28100,0,17856,-21816,14152,72,0,-1032,0,0,0,5624,92,-13908,26276
1983:Q3,390088,29708,178884,77456,57712,46328,390088,259064,12288,30856,178788,37132,125496,7348,6012,3644,73908,8036,10532,-64,192,16648,-760,5528,390088,119413,132225,-17084,2700,0,1572,265755,29236,90235,580,144,4284,7316,35416,58412,0,-6852,2208,5118,168,0,3480,7156,0,0,29500,3308,-3954,4920
1983:Q4,307768,69648,69576,65840,61908,40796,307768,156892,9860,33528,69540,43964,138704,14068,4112,12800,53076,5704,19216,-68,1020,15636,13140,12172,307768,17689,-57919,51440,2548,0,21620,260991,-280,88603,2992,96,-4020,10756,44640,37452,0,5412,-488,12632,28,0,-5688,4824,0,0,18752,3568,41712,29088
1984:Q1,442740,56932,227392,66516,64672,27228,442740,342008,9472,58092,227244,47200,91512,-11248,7688,22172,44492,7900,30452,656,-996,-10564,960,9220,442740,199724,126916,49016,464,0,23328,220956,18696,67556,-2640,68,1748,10380,48656,22988,0,26236,9664,14836,-92,0,1644,7020,0,2760,-15752,-1568,8756,22060
1984:Q2,464324,94488,155108,67256,72552,74920,464324,292888,9124,74152,155060,54552,142836,30520,5412,36180,31124,7880,18680,664,836,39900,-28360,28600,464324,238208,223912,-8296,64,0,22528,190240,-1384,11500,2640,16,3120,15332,46636,-23580,0,42492,30924,18665,28,0,3388,7000,32,2756,-23136,-904,54715,35876
1984:Q3,523876,18760,219348,98572,88692,98504,523876,395264,10252,96708,219320,68984,142208,-22580,12920,49824,48776,7880,9080,672,712,4928,29996,-13596,523876,124229,122897,-20560,-940,0,22832,361919,23308,63491,4264,60,308,16528,42232,71420,0,31268,36888,11017,-1272,0,14552,7000,1588,2748,52512,2904,-18897,37728
1984:Q4,483360,37512,150124,67296,76072,152356,483360,309476,11836,139160,150080,8400,158132,10996,3056,13544,53796,11076,30620,720,2224,30044,2056,15752,483360,-58277,-79325,16736,-1756,0,6068,453905,-6984,64705,1772,188,-3512,14016,62244,83628,0,34972,103960,13183,-572,0,-13580,2196,-2268,2024,112272,2980,-17319,87732
1985:Q1,563192,51464,214784,75816,110020,111108,563192,414908,9856,96960,214728,93364,142240,-5884,3668,15688,60184,18356,33544,328,-2756,12892,6220,6044,563192,363225,340545,-48140,-52,0,70872,176227,32232,3518,4248,344,6172,17512,59684,-4064,0,-2712,-10140,47683,1084,0,8352,15461,1016,32,-99692,2220,93277,23740
1985:Q2,583024,21224,166856,103408,127908,163628,583024,397408,9512,120680,166820,100396,172532,-8964,-2184,35216,68228,15220,56772,328,664,13196,-5944,13084,583024,207232,76576,80580,80,0,49996,302876,20376,-13124,3824,472,3448,23756,60784,27496,0,22240,79308,55224,512,0,8164,6841,4356,44,29128,2512,-32484,72916
1985:Q3,595416,76244,173852,103328,113728,128264,595416,373404,7348,107448,173828,84780,213308,4108,1272,14384,88968,14244,40432,332,296,21796,27476,8704,595416,71646,111814,-45052,400,0,4484,459522,13252,74279,8716,536,3064,37916,56224,6616,0,34072,-14684,62213,1944,0,16232,9814,9924,48,30400,6288,102667,64248
1985:Q4,1055400,62368,217204,115188,480968,179672,1055400,813360,93936,159180,217212,343032,229888,3620,3224,17052,98128,15520,46488,288,2880,27592,15096,12152,1055400,292114,40930,41244,664,0,209276,683926,7792,175810,7008,532,2068,37500,68440,45160,56776,22968,1900,125048,2052,0,-17048,3832,-380,640,100348,6440,37040,79360
