1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,16422,14713,0,863,93,443,258,52,0,7559,6850,709,8863
1963:Q4,17292,15744,0,710,92,434,255,57,0,9319,8571,748,7973
1964:Q1,17015,15109,0,914,77,538,321,56,0,7914,7108,806,9101
1964:Q2,16342,14675,0,846,61,474,236,50,0,6920,6057,863,9422
1964:Q3,17073,15338,0,886,49,556,186,58,0,7753,6923,830,9320
1964:Q4,17970,16211,0,935,37,552,175,60,0,9023,8231,792,8947
1965:Q1,17549,15891,0,769,67,566,189,67,0,7843,7081,762,9706
1965:Q2,16793,15316,0,678,64,483,188,64,0,6547,5695,852,10246
1965:Q3,18036,16329,0,784,82,534,225,82,0,7604,6756,848,10432
1965:Q4,20080,18294,0,806,93,532,262,93,0,9749,8880,869,10331
1966:Q1,20262,18132,0,1062,101,636,230,101,0,8998,8088,910,11264
1966:Q2,17110,15594,0,624,84,537,187,84,0,5270,4335,935,11840
1966:Q3,18136,16562,0,613,92,566,211,92,0,5338,4484,854,12798
1966:Q4,19155,17414,0,731,95,592,228,95,0,6931,6057,874,12224
1967:Q1,18923,16730,0,897,174,803,186,133,0,5906,4998,908,13017
1967:Q2,12681,11296,0,558,101,481,136,109,0,-1638,-2588,950,14319
1967:Q3,13429,11866,0,639,100,512,167,145,0,5729,4825,904,7700
1967:Q4,14773,13225,0,647,97,481,172,151,0,7818,6819,999,6955
1968:Q1,19513,17667,0,660,127,643,215,201,0,10425,9303,1122,9088
1968:Q2,14582,13031,0,562,91,553,151,194,0,6478,5312,1166,8104
1968:Q3,14719,12930,0,664,115,629,156,225,0,6834,5720,1114,7885
1968:Q4,16038,14330,0,620,75,643,171,199,0,8650,7466,1184,7388
1969:Q1,17630,15517,0,774,107,806,217,209,0,10229,8970,1259,7401
1969:Q2,13886,12220,0,618,101,636,167,144,0,3715,2411,1304,10171
1969:Q3,14465,12507,0,738,144,723,190,163,0,4463,3254,1209,10002
1969:Q4,14522,12628,0,704,126,698,219,147,0,5387,4193,1194,9135
1970:Q1,15408,12846,0,1143,172,884,244,119,0,6360,5114,1246,9048
1970:Q2,12034,10054,0,857,125,686,204,108,0,286,-1003,1289,11748
1970:Q3,12519,10159,0,1044,157,785,239,135,0,2193,943,1250,10326
1970:Q4,12475,9996,0,1062,193,823,251,150,0,3339,2080,1259,9136
1971:Q1,14633,11698,0,1315,227,948,285,160,0,6588,5220,1368,8045
1971:Q2,13417,10799,311,860,260,815,252,120,0,2943,1137,1806,10474
1971:Q3,15348,12131,674,993,248,895,277,130,0,6256,4120,2136,9092
1971:Q4,16566,13086,1037,1080,150,796,277,140,0,7699,5194,2505,8867
1972:Q1,18458,14398,1400,1054,216,940,300,150,0,11443,8420,3023,7015
1972:Q2,16082,12257,1763,749,202,739,249,123,0,5445,1974,3471,10637
1972:Q3,18348,13824,2126,894,249,835,269,151,0,8477,4711,3766,9871
1972:Q4,20460,15521,2489,906,270,811,298,165,0,10528,6244,4284,9932
1973:Q1,23530,17634,2853,1242,296,993,332,180,0,14877,10116,4761,8653
1973:Q2,21365,15760,3222,918,264,786,271,144,0,8856,3610,5246,12509
1973:Q3,23799,17565,3599,1024,286,873,296,156,0,11307,5824,5483,12492
1973:Q4,25898,19305,3985,1027,283,847,298,153,0,14110,8202,5908,11788
1974:Q1,29869,22325,4419,1318,318,1024,325,140,0,17022,10595,6427,12847
1974:Q2,28597,21308,4836,1004,286,809,272,82,0,11003,3898,7105,17594
1974:Q3,33399,25444,5208,1194,307,885,293,68,0,14271,6768,7503,19128
1974:Q4,32754,24516,5545,1212,303,835,298,45,0,16053,8481,7572,16701
1975:Q1,31889,22901,5847,1431,330,990,329,61,0,16547,8729,7818,15342
1975:Q2,26994,18582,6134,933,297,757,276,15,0,8828,438,8390,18166
1975:Q3,29746,20917,6383,971,312,812,299,52,0,13912,5002,8910,15834
1975:Q4,31331,22292,6602,1006,308,745,298,80,0,17609,8458,9151,13722
1976:Q1,35455,25583,6894,1072,340,938,331,297,0,24149,14398,9751,11306
1976:Q2,32717,22915,7187,1095,316,735,270,199,0,18333,8014,10319,14384
1976:Q3,36332,26002,7484,1154,349,863,295,185,0,20050,9648,10402,16282
1976:Q4,38535,27790,7785,1214,362,878,298,208,0,23583,12988,10595,14952
1977:Q1,40373,29197,8065,1300,386,956,316,153,0,27103,15976,11127,13270
1977:Q2,35174,23478,8341,1406,416,1060,344,129,0,16422,4519,11903,18752
1977:Q3,39052,26812,8609,1516,448,1171,375,121,0,21123,9039,12084,17929
1977:Q4,41889,29134,8871,1613,480,1268,404,119,0,25304,13044,12260,16585
1978:Q1,45206,32136,8965,1702,513,1360,434,96,0,29805,17733,12072,15401
1978:Q2,40627,27075,9130,1787,550,1457,471,157,0,19914,7122,12792,20713
1978:Q3,44793,30596,9470,1867,583,1541,501,235,0,25754,12747,13007,19039
1978:Q4,48845,34055,9951,1941,604,1597,510,187,0,31825,18204,13621,17020
1979:Q1,54409,38940,10517,2021,615,1630,500,186,0,38631,24246,14385,15778
1979:Q2,50247,34071,11141,2116,619,1645,470,185,0,26566,11333,15233,23681
1979:Q3,55674,38687,11910,2186,615,1638,432,206,0,30731,14945,15786,24943
1979:Q4,58767,40986,12795,2185,600,1600,393,208,0,35136,18678,16458,23631
1980:Q1,64925,46024,13870,2118,627,1676,371,239,0,43010,24756,18254,21915
1980:Q2,59540,39592,14768,1975,674,1805,353,373,0,26526,7965,18561,33014
1980:Q3,62876,42354,15225,1815,720,1930,335,497,0,31439,12213,19226,31437
1980:Q4,64413,43864,15328,1688,744,1996,310,483,0,36920,17413,19507,27493
1981:Q1,67037,46958,15036,1591,746,2002,285,419,0,42589,22985,19604,24448
1981:Q2,61003,41488,14703,1502,727,1951,258,374,0,24832,5802,19030,36171
1981:Q3,62864,44008,14266,1427,706,1894,229,334,0,20293,1720,18573,42571
1981:Q4,58072,39864,13744,1364,699,1882,195,324,0,19343,1778,17565,38729
1982:Q1,57367,39220,13774,1325,711,1915,159,263,0,18299,677,17622,39068
1982:Q2,51431,33080,13941,1307,738,1988,114,263,0,4863,-13394,18257,46568
1982:Q3,53810,34754,14450,1298,765,2062,75,406,0,18766,1,18765,35044
1982:Q4,55676,35585,15235,1283,778,2099,53,643,0,21373,2283,19090,34303
1983:Q1,62042,41447,15738,1274,778,2100,56,649,0,27687,8398,19289,34355
1983:Q2,58334,37404,16224,1270,766,2069,81,520,0,23579,2688,20891,34755
1983:Q3,62354,41038,16668,1258,752,2033,111,494,0,23645,2062,21583,38709
1983:Q4,60353,38646,17081,1254,742,2017,127,486,0,26952,5120,21832,33401
1984:Q1,68022,43234,17188,4299,742,2017,132,410,0,37248,14692,22556,30774
1984:Q2,64588,39561,17359,4509,744,2019,130,266,0,27394,4202,23192,37194
1984:Q3,65680,40087,17690,4560,750,2036,126,431,0,30546,7937,22609,35134
1984:Q4,68097,42167,18151,4387,762,2078,124,428,0,32527,9726,22801,35570
1985:Q1,69268,42555,18775,4404,779,2146,127,482,0,36997,12981,24016,32271
1985:Q2,65697,38470,19494,4001,799,2236,131,566,0,25730,588,25142,39967
1985:Q3,69970,41296,20450,4293,826,2345,136,624,0,37565,11337,26228,32405
1985:Q4,69436,39009,21596,4583,864,2470,141,773,0,39668,12875,26793,29768
1986:Q1,71213,40329,21836,4717,910,2624,143,654,0,46540,19161,27379,24673
1986:Q2,71284,39574,22148,5000,962,2818,139,643,0,37128,8825,28303,34156
1986:Q3,74018,41274,22637,5294,1027,3007,141,638,0,46955,18369,28586,27063
1986:Q4,76337,42784,23269,4932,1111,3145,164,932,0,49875,20348,29527,26462
1987:Q1,77850,43947,23459,4828,1215,3234,211,956,0,52931,23644,29287,24919
1987:Q2,78929,46928,23480,2970,1340,3272,281,658,0,46503,16065,30438,32426
1987:Q3,79777,47763,23542,2783,1477,3304,358,550,0,49756,19251,30505,30021
1987:Q4,80095,47866,23851,2497,1617,3446,424,394,0,50749,20739,30010,29346
1988:Q1,81366,48823,24369,2001,1696,3536,482,459,0,58429,28045,30384,22937
1988:Q2,79137,46307,25051,1348,1775,3634,533,489,0,44884,13212,31672,34253
1988:Q3,79412,45149,25860,1702,1854,3753,587,507,0,57204,24497,32707,22208
1988:Q4,80873,44371,26761,2701,1933,3910,654,543,0,59662,26010,33652,21211
1989:Q1,107305,49134,27852,23296,1761,4116,734,412,0,73478,38582,34896,33827
1989:Q2,103988,43378,29234,24041,1589,4378,825,543,0,55084,18944,36140,48904
1989:Q3,104801,42076,30543,24497,1417,4643,922,703,0,60793,23844,36949,44008
1989:Q4,101579,38289,31417,24152,1246,4850,1019,606,0,63597,26450,37147,37982
1990:Q1,106677,42256,31781,24462,1409,5005,1119,645,0,72199,34833,37366,34478
1990:Q2,102170,37130,31863,24589,1571,5098,1223,696,0,55669,18293,37376,46501
1990:Q3,108894,40934,31919,27089,1734,5200,1330,688,0,59576,22499,37077,49318
1990:Q4,105683,38302,32000,26008,1897,5371,1441,664,0,59192,22575,36617,46492
1991:Q1,102013,34609,32143,25475,2063,5600,1555,568,0,67654,30048,37606,34360
1991:Q2,93967,27402,32226,23957,2229,5879,1669,605,0,54296,16055,38241,39672
1991:Q3,100611,31379,32372,25801,2395,6187,1790,687,0,54767,16440,38327,45845
1991:Q4,97149,28892,32479,23936,2561,6507,1924,850,0,55485,17111,38374,41665
1992:Q1,103865,34543,32641,24758,2136,6840,2070,877,0,70096,31431,38665,33770
1992:Q2,101505,31419,32794,25255,1710,7193,2226,908,0,52960,14015,38945,48546
1992:Q3,107303,35418,32956,26709,1285,7564,2392,979,0,55736,16980,38756,51568
1992:Q4,106317,35344,33121,25590,860,7949,2565,888,0,57970,19663,38307,48348
1993:Q1,113572,41686,32710,25592,1390,8354,2749,1091,0,71989,34116,37873,41583
1993:Q2,108703,38333,32276,23357,1921,8804,2945,1067,0,49451,12651,36800,59252
1993:Q3,116046,41382,31850,26529,2452,9240,3146,1447,0,54815,19112,35703,61231
1993:Q4,116670,40725,31387,27224,2983,9608,3342,1401,0,60511,24916,35595,56159
1994:Q1,123644,45468,31496,28929,2879,9907,3537,1428,0,75012,38882,36130,48632
1994:Q2,116784,41256,32000,25535,2775,10131,3734,1353,0,49307,13138,36169,67477
1994:Q3,121371,42676,32320,28014,2672,10350,3930,1409,0,55743,19581,36162,65628
1994:Q4,118271,40315,32807,26613,2568,10651,4122,1195,0,60899,24036,36863,57372
1995:Q1,132542,49454,32898,31083,2745,11024,4291,1047,0,84770,46832,37938,47772
1995:Q2,123831,40898,33006,29993,2922,11457,4483,1072,0,54254,16514,37740,69577
1995:Q3,131488,42359,33156,34923,3100,11917,4685,1348,0,60381,22992,37389,71107
1995:Q4,132415,40309,33358,37163,3277,12327,4864,1117,0,60095,22353,37742,72320
1996:Q1,142587,49331,33834,37441,3437,12432,5049,1063,0,83024,44253,38771,59564
1996:Q2,141519,45602,34412,38907,3598,12545,5259,1196,0,54884,15684,39200,86635
1996:Q3,146972,49068,35249,39652,3759,12696,5469,1079,0,62495,22988,39507,84477
1996:Q4,150787,49872,35675,42578,7761,7974,5663,1264,0,69220,29141,40079,81567
1997:Q1,167545,62141,36794,46071,7725,7927,5847,1040,0,92122,50595,41527,75423
1997:Q2,163127,57173,38074,45369,7688,7883,6051,889,0,60248,17880,42368,102879
1997:Q3,177759,64368,38974,51541,7652,7843,6271,1110,0,133217,90200,43017,44542
1997:Q4,175028,59214,39941,52634,7615,7806,6473,1345,0,131106,86783,44323,43922
1998:Q1,192344,69045,41243,58278,7914,8109,6670,1085,0,156564,110417,46147,35780
1998:Q2,182325,59915,40730,57063,8213,8425,6884,1095,0,121893,76493,45400,60433
1998:Q3,199283,68559,43306,62273,8512,8740,7100,793,0,130772,82900,47872,68511
1998:Q4,197242,64058,44061,62696,8811,9059,7293,1264,0,125805,76506,49299,71437
1999:Q1,203629,69320,43949,63323,9010,9250,7488,1289,0,152399,102100,50299,51230
1999:Q2,207340,70936,49595,59056,9209,9457,7702,1385,0,132550,76650,55900,74791
1999:Q3,216442,73587,50261,64111,9408,9663,7914,1498,0,135523,79199,56324,80919
1999:Q4,223973,71032,52989,70181,9607,9861,8123,2180,0,140674,81457,59217,83299
2000:Q1,242079,82756,58902,70171,9621,9868,8338,2423,0,169464,103882,65582,72615
2000:Q2,241044,80244,61712,69278,9635,9882,8572,1721,0,140650,72392,68258,100394
2000:Q3,249904,80356,60513,78905,9649,9895,8815,1771,0,149502,83700,65802,100402
2000:Q4,259446,77992,64640,86072,9663,9909,9074,2096,0,148271,78475,69796,111175
2001:Q1,269180,82860,64763,84824,12919,13262,9344,1208,0,165754,96567,69187,103426
2001:Q2,258250,77568,65078,80451,11948,12257,9628,1320,0,137156,68908,68248,121094
2001:Q3,308144,103125,67078,102444,11912,12212,9926,1447,0,152664,82200,70464,155480
2001:Q4,273151,81045,68689,88451,11279,11561,10236,1890,0,135251,62434,72817,137900
2002:Q1,285941,85067,69438,97231,10727,11006,10561,1911,0,141095,67649,73446,144846
2002:Q2,303677,88580,69679,113981,9332,9575,10898,1632,0,129234,56194,73040,174443
2002:Q3,312064,101055,69919,109556,9216,9454,11249,1615,0,162101,89400,72701,149963
2002:Q4,294783,92954,70160,98246,10098,10364,11614,1347,0,164211,89865,74346,130572
2003:Q1,301985,97214,70033,104578,8160,8374,11992,1634,0,197048,121658,75390,104937
2003:Q2,303674,96413,69905,106235,8295,8513,12384,1929,0,175419,99796,75623,128255
2003:Q3,300503,98972,69778,99530,8610,8839,12789,1985,0,170740,94400,76340,129763
2003:Q4,283909,81222,69650,101479,8188,8410,13209,1751,0,187809,110753,77056,96100
2004:Q1,306806,90747,71739,108662,9917,10179,13642,1920,0,221274,141285,79989,85532
2004:Q2,291529,92174,73827,90646,9257,9503,14088,2034,0,202387,119466,82921,89143
2004:Q3,318465,100406,75915,107048,8987,9227,14549,2333,0,177875,91400,86475,140591
2004:Q4,316829,87996,78004,113248,10045,10317,15024,2195,0,190868,100838,90030,125961
2005:Q1,325778,99689,80173,106567,9384,9622,17735,2608,0,238528,144863,93665,87251
2005:Q2,325314,98061,82342,106051,9544,9775,18287,1254,0,213206,115906,97300,112109
2005:Q3,326859,96934,84511,106022,8754,8957,19887,1794,0,191365,90700,100665,135495
2005:Q4,312288,86222,86680,103324,8425,8614,16943,2080,0,207241,103211,104030,105048
2006:Q1,331586,98139,88932,106966,8839,9037,17107,2566,0,246557,139079,107478,85030
2006:Q2,328370,95147,91184,106108,8151,8339,16630,2811,0,205194,94268,110926,123177
2006:Q3,346639,94466,93437,121123,8647,8853,16844,3269,0,206968,94300,112668,139672
2006:Q4,343075,85421,95689,119367,11272,11552,16969,2805,0,219070,104662,114408,124006
2007:Q1,323199,73230,96634,114187,9933,10170,15497,3548,0,253016,138174,114842,70184
2007:Q2,303180,63114,97580,105526,8931,9144,15402,3483,0,207891,92614,115277,95290
2007:Q3,300810,51882,98525,112474,9272,9493,15695,3469,0,216834,101500,115334,83977
2007:Q4,279530,35828,99471,106544,9878,10115,15508,2186,0,199926,84535,115391,79605
2008:Q1,283790,55007,101142,91006,9349,9576,15667,2043,0,222579,106406,116173,61212
2008:Q2,244511,37941,102812,70520,7392,7568,15661,2617,0,163176,46222,116954,81336
2008:Q3,246227,54068,104483,59151,5135,5256,15596,2538,0,233885,115500,118385,12343
2008:Q4,187124,38954,106154,12341,5816,5950,15424,2485,0,222265,102449,119816,-35141
2009:Q1,188059,40221,104589,14026,5525,5660,15357,2681,0,248798,130787,118011,-60739
2009:Q2,177582,34647,103024,8881,5909,6058,14563,4500,0,229642,113436,116206,-52060
2009:Q3,200635,41742,101459,25269,5992,6146,13779,6248,0,245637,131200,114437,-45002
2009:Q4,187014,35700,99893,18037,7406,7600,12659,5719,0,257850,145183,112667,-70836
2010:Q1,188465,49464,99710,8290,6941,7121,12555,4384,0,300480,188200,112280,-112015
2010:Q2,199201,43875,99527,24657,6985,7167,12630,4360,0,264723,152830,111893,-65522
2010:Q3,218748,47060,99344,36554,8211,8427,12784,6368,0,253632,141900,111732,-34884
2010:Q4,240791,78398,99161,37292,8025,8239,6028,3648,0,273686,162114,111572,-32895
2011:Q1,267222,102670,99307,38845,8034,8249,5889,4228,0,325792,214051,111741,-58570
2011:Q2,263649,86907,99453,51239,7877,8088,5745,4340,0,286895,174986,111909,-23246
2011:Q3,289691,99887,99599,66313,6731,6909,6563,3689,0,263465,151500,111965,26227
2011:Q4,279466,91745,99745,64145,7202,7394,6702,2533,0,272369,160348,112021,7098
2012:Q1,304899,110778,101647,66203,8033,8251,6998,2989,0,318680,204847,113833,-13781
2012:Q2,295869,100024,103549,66188,8203,8433,6626,2846,0,289270,173624,115646,6599
2012:Q3,311530,99318,105451,79070,8644,8890,6481,3676,0,274316,156800,117516,37214
2012:Q4,305421,93102,107353,78207,8359,8603,6717,3080,0,287854,168468,119386,17568
2013:Q1,312750,106315,108146,70354,8183,8413,6918,4421,0,330884,210737,120147,-18134
2013:Q2,272727,83694,108940,56053,6335,6512,6756,4437,0,289961,169052,120909,-17234
2013:Q3,283941,80643,109733,67890,6946,7139,6991,4599,0,285700,164000,121700,-1759
2013:Q4,277971,83191,110527,59392,7084,7280,6774,3723,0,301149,178657,122492,-23178
2014:Q1,299504,98508,112239,62157,7217,7414,7448,4521,0,345033,220831,124202,-45529
2014:Q2,294924,84810,113951,69489,6933,7123,7477,5141,0,315132,189220,125912,-20208
2014:Q3,323392,104861,115663,76493,6550,6730,7683,5412,0,289407,161700,127707,33985
2014:Q4,317912,95409,117374,79949,6592,6773,7766,4049,0,284104,154603,129501,33808
2015:Q1,338242,110474,118665,80296,7663,7876,8395,4873,0,341337,210461,130876,-3095
2015:Q2,317540,101473,119955,67546,7746,7963,8610,4247,0,304287,172037,132250,13253
2015:Q3,316631,93886,121245,75594,6471,6650,8707,4078,0,310980,177400,133580,5651
2015:Q4,293269,74206,122536,70751,7364,7569,7620,3223,0,310351,175440,134911,-17082
2016:Q1,307029,79163,125038,73065,8436,8674,8580,4073,0,356941,219488,137453,-49912
2016:Q2,293525,61840,127541,76400,8123,8349,7765,3507,0,335169,195173,139996,-41644
2016:Q3,302710,64117,130044,82569,6880,7072,7987,4041,0,327500,184700,142800,-24790
2016:Q4,298516,66113,132547,71640,8411,8650,7870,3285,0,339127,193523,145604,-40611
2017:Q1,315919,90006,133698,64407,7977,8202,7712,3917,0,385982,238926,147056,-70063
2017:Q2,303910,74445,134849,69276,6656,6845,7760,4079,0,317470,168961,148509,-13560
2017:Q3,312059,69590,136000,80231,7222,7428,6807,4781,0,353244,203800,149444,-41185
2017:Q4,564843,286554,137151,104285,10214,8836,11331,2349,4123,582306,431927,150379,-17463
2018:Q1,563404,294136,141763,90297,11147,8625,10668,2645,4123,632204,477428,154776,-68800
2018:Q2,539310,266406,146376,92985,9072,7864,9641,3173,3793,605418,446244,159174,-66108
2018:Q3,557712,275221,150989,98548,9054,7591,8766,3750,3793,620644,456700,163944,-62932
2018:Q4,572790,275257,155601,109672,9773,5991,8918,3785,3793,630104,461391,168713,-57314
2019:Q1,599430,301822,157298,105461,10810,6679,9121,4446,3793,671530,500963,170567,-72100
2019:Q2,561531,260276,158994,108906,9686,5864,9173,5169,3463,625045,452625,172420,-63514
2019:Q3,581634,270274,160690,119102,8796,5656,8756,4897,3463,559821,383700,176121,21813
2019:Q4,586527,267738,162386,124218,9782,6582,9104,3254,3463,559494,379672,179822,27033
2020:Q1,602479,291816,164281,107558,12433,9169,9174,4585,3463,599173,415451,183722,3306
2020:Q2,637422,318697,166175,109938,12707,10418,9315,6709,3463,651324,463703,187621,-13902
2020:Q3,586550,271156,168070,112346,9371,6918,9153,6403,3133,628033,441900,186133,-41483
2020:Q4,595132,275391,169965,113005,10516,7688,9156,6278,3133,626574,441929,184645,-31442
2021:Q1,592325,277142,178041,96275,12154,8941,9572,7067,3133,675563,486224,189339,-83238
2021:Q2,576114,253255,186117,94390,9557,6514,15740,7738,2803,600691,406658,194033,-24577
2021:Q3,589075,252183,194194,101110,8756,6450,14746,8833,2803,723717,507800,215917,-134642
2021:Q4,598145,249846,202270,104138,10269,7189,14857,6773,2803,730040,492240,237800,-131895
2022:Q1,606315,308557,209130,46685,11273,6271,15195,6401,2803,817868,559401,258467,-211553
2022:Q2,570100,282161,215991,32324,8710,5249,16246,6946,2473,734536,469208,265328,-164436
2022:Q3,567078,287627,222851,17856,8203,5313,16038,6717,2473,723588,451400,272188,-156510
2022:Q4,565063,265597,229711,30235,10504,6045,16620,3878,2473,734839,455791,279048,-169776
2023:Q1,609316,303283,234115,31545,10663,6525,16329,4383,2473,813399,529947,283452,-204083
2023:Q2,557750,254210,236261,29148,9119,5710,16425,5023,1854,750132,464534,285598,-192382
2023:Q3,568144,259947,237413,30738,9328,6602,16983,5279,1854,706150,419400,286750,-138006
2023:Q4,588290,249704,239338,56637,11036,7171,18566,3984,1854,677034,388359,288675,-88744
2024:Q1,607191,278067,241462,39794,15035,7746,18234,4999,1854,760213,469414,290799,-153022
2024:Q2,561677,219345,243544,45915,22979,6089,17261,5515,1029,674560,381679,292881,-112883
2024:Q3,595379,224207,246256,75027,17806,6694,18039,6321,1029,699793,404200,295593,-104414
2024:Q4,578730,225452,249380,61270,12415,5381,18438,5365,1029,714825,416108,298717,-136095
2025:Q1,594807,248658,251955,49644,14474,5192,18399,5456,1029,793881,491635,302246,-199074
