1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q3,4596914,1490696,1104238,8921,3077,374460,841996,702377,79561,8278,51780,0,1302242,1263507,38735,386440,178138,110421,97881,536012,519095,13897,3020,39528,178920,7218,171702,139392,29859,109533,4596914,45980,1.0103416131947218,4173523,60144,1.4621606929082958
1971:Q4,4718695,1517841,1127739,9063,3143,377896,861877,719630,80391,8216,53640,0,1356170,1316128,40042,391164,182422,109194,99548,550439,533184,14147,3108,41204,187070,7641,179429,145866,30811,115055,4718695,121781,2.649187183131029,4294415,120892,2.896640655800792
1972:Q1,4889870,1570853,1171254,9454,3215,386930,887505,742508,81837,8339,54821,0,1405219,1358784,46435,427956,185586,141140,101230,563003,545328,14478,3197,35334,187865,8779,179086,152531,33513,119018,4889870,171175,3.6276021173008828,4453459,159045,3.7035210344024696
1972:Q2,4947254,1600621,1192509,9833,3292,394987,910210,760609,83068,8363,58170,0,1406113,1364459,41654,423602,189852,130638,103112,571992,553914,14790,3288,34716,190650,9359,181291,155934,33803,122131,4947254,57384,1.1735296789992087,4518456,64997,1.4594788082098344
1972:Q3,5055863,1649560,1232534,10196,3371,403459,936094,783632,84114,8341,60007,0,1431877,1386749,45128,422638,197224,120269,105145,585570,567098,15089,3383,30124,194660,9616,185044,164536,35099,129437,5055863,108609,2.195338114034377,4643458,125002,2.766470682038196
1972:Q4,5294065,1714199,1290675,10558,3458,409508,969756,812021,85049,8279,64408,0,1537946,1494263,43683,424729,205043,112314,107372,602849,583972,15401,3476,44586,219981,10537,209444,175395,39059,136336,5294065,238202,4.711402333026225,4889777,246319,5.304636816233696
1973:Q1,5305854,1758656,1322715,11001,3553,421387,1008053,841725,87151,8350,70827,257,1454007,1439418,14589,435526,212751,112878,109897,623151,603741,15825,3585,26204,209053,12272,196781,182849,37594,145255,5305854,11789,0.22267662445049408,4915338,25561,0.5227388197039693
1973:Q2,5385911,1819083,1369699,11537,3668,434179,1053769,877440,89914,8383,78032,506,1386826,1390617,-3791,449561,219988,116757,112816,644475,624386,16373,3716,31691,214616,11887,202729,182925,34552,148373,5385911,80057,1.508843553208245,4955122,39784,0.8093863472438454
1973:Q3,5601194,1891184,1430284,12057,3806,445037,1101652,918462,92524,8415,82251,735,1450453,1446311,4142,461862,226692,119085,116085,665558,644698,16989,3871,29750,216697,11711,204986,186947,37905,149042,5601194,215283,3.9971579379556297,5137640,182519,3.6834363087513715
1973:Q4,5599544,1943148,1472632,12517,3967,454032,1137615,952736,94515,8450,81914,950,1304965,1316776,-11811,470809,232712,118385,119712,692557,670987,17517,4053,49500,232582,10026,222556,183082,33516,149566,5599544,-1650,-0.029463628811940937,5101037,-36603,-0.7124559033373252
1974:Q1,5654812,1944362,1462386,13193,4139,464644,1167152,981957,97208,8606,79380,1146,1281173,1298627,-17454,485180,239846,121799,123535,730555,707933,18379,4243,45244,236896,10625,226271,191652,34242,157410,5654812,55267,0.9869990796005075,5131824,30787,0.6035349897238019
1974:Q2,5712487,1962169,1461485,14046,4306,482332,1199801,1015814,101118,8743,74125,1343,1212827,1262818,-49991,498461,249739,121474,127248,784171,760378,19374,4419,53715,248917,9769,239148,195202,30543,164659,5712487,57675,1.019931426935909,5114581,-17242,-0.335987021022668
1974:Q3,5730997,2002021,1475406,15167,4466,506982,1253383,1056060,107044,8872,81407,1530,1051402,1108352,-56950,521515,263861,126891,130763,840910,815601,20729,4580,60236,255225,8388,246837,194989,24012,170977,5730997,18510,0.3240353574840084,5074459,-40123,-0.7844748248458526
1974:Q4,5835319,2064417,1517696,16435,4615,525671,1292563,1092686,114461,8953,76463,1706,993684,1053138,-59454,539642,278687,126796,134159,879382,852362,22292,4728,63925,268014,9011,259003,204089,23921,180168,5835319,104321,1.820300747568621,5213064,138605,2.7314207989235157
1975:Q1,6251728,2142403,1582858,17398,4768,537379,1328113,1125228,119511,9095,74279,1829,1261143,1314891,-53748,551798,285210,129304,137284,900717,872543,23302,4872,65725,279884,11291,268593,214159,30308,183851,6251728,416410,7.136022669332362,5466296,253233,4.857661289686201
1975:Q2,6472120,2216133,1642027,18153,4903,551050,1365075,1151518,123215,9292,81050,1921,1354079,1404095,-50016,560162,285856,134286,140020,906064,876957,24097,5010,68686,291152,10805,280347,222466,35096,187370,6472120,220392,3.525293239015735,5699560,233263,4.2673031851239545
1975:Q3,6447078,2228768,1642336,18651,5025,562756,1388251,1171457,125266,9266,82262,2015,1281709,1341158,-59449,563311,286488,134453,142370,910453,880547,24766,5140,72571,293724,9108,284616,221153,32046,189107,6447078,-25042,-0.38692129552657545,5695018,-4542,-0.07969226820721557
1975:Q4,6602815,2286518,1684206,19180,5136,577996,1413727,1196958,127379,9264,80126,2135,1330049,1391915,-61866,572069,288182,139511,144376,918386,887629,25493,5264,79931,309552,9585,299967,229621,33399,196222,6602815,155737,2.415618118734376,5861926,166908,2.9307767186807143
1976:Q1,6807199,2335041,1717934,19842,5250,592015,1441847,1222968,130403,9318,79158,1837,1434374,1489582,-55208,584516,291816,146462,146238,929044,897543,26115,5386,80540,320325,9885,310440,239785,39514,200271,6807199,204384,3.0954072004798023,6062158,200232,3.4158073311359107
1976:Q2,6991670,2420317,1789837,20418,5419,604643,1491689,1266335,132835,9495,83024,1861,1453536,1508591,-55055,592935,296552,147221,149162,942334,910013,26796,5525,88998,334204,9642,324562,245206,39559,205647,6991670,184471,2.7099372450473727,6238816,176658,2.9141106204440557
1976:Q3,7115626,2471455,1826561,21082,5572,618240,1526233,1302411,135745,9639,78438,1799,1478389,1534758,-56369,604671,303705,149024,151942,948146,915010,27467,5669,84933,339507,9283,330224,254574,40120,214454,7115626,123957,1.7729221244271227,6354593,115777,1.8557575459758768
1976:Q4,7288338,2543119,1880025,21838,5735,635521,1568516,1341057,139076,9686,78698,1943,1476927,1536052,-59125,619507,311938,152562,155007,958540,924616,28098,5826,119786,415547,9453,406094,295761,47475,248286,7288338,172712,2.4272205239656097,6522667,168073,2.644908195585665
1977:Q1,7401152,2630011,1949358,22450,5882,652321,1613768,1381471,142539,9824,79935,1803,1426724,1489920,-63196,632408,315885,158876,157647,976278,941634,28669,5975,120160,417934,9591,408343,297774,44313,253461,7401152,112814,1.5478695381242784,6631747,109080,1.67232915839364
1977:Q2,7605053,2742979,2047570,23059,6053,666297,1656357,1421959,145843,9916,78638,1927,1451482,1517133,-65651,643282,320114,162496,160672,990588,955099,29354,6135,118438,429249,9823,419426,310811,46038,264773,7605053,203900,2.7549802517212707,6811023,179276,2.7033048910934254
1977:Q3,7741781,2839343,2125108,23729,6239,684267,1707143,1467923,149510,9969,79740,1877,1428235,1496867,-68632,646138,319297,162823,164018,1008688,972323,30062,6303,110357,436342,10252,426090,325985,44502,281483,7741781,136728,1.797860006585333,6950400,139376,2.0463357034869163
1977:Q4,7903173,2947334,2211304,24480,6434,705116,1762657,1512676,153768,10008,86205,1711,1399110,1475249,-76139,655972,321005,167372,167595,1023316,985968,30869,6479,113073,466590,10110,456480,353517,45129,308388,7903173,161392,2.08469003233875,7107581,157181,2.2614709534217363
1978:Q1,8078657,3042463,2286391,25249,6657,724166,1832791,1567899,157883,10340,96669,1858,1376976,1454957,-77981,670761,326290,173408,171063,1040723,1002306,31746,6671,113085,481315,10544,470771,368230,43234,324996,8078657,175484,2.220421994868943,7280835,173254,2.437599395836207
1978:Q2,8391414,3172605,2392252,26115,6894,747344,1903382,1627929,162884,10562,102007,1937,1443365,1520352,-76987,689979,335611,179734,174634,1068812,1029257,32672,6883,111334,485741,10730,475011,374407,47584,326823,8391414,312757,3.8713956581237086,7527563,246728,3.38872599452353
1978:Q3,8663237,3288652,2483986,27005,7164,770497,1969746,1685331,168326,10777,105312,2082,1501463,1579844,-78381,706909,344496,183661,178752,1097216,1056463,33641,7112,97169,491740,11832,479908,394571,51327,343244,8663237,271824,3.239307659728842,7773697,246134,3.2697666486623347
1978:Q4,8888110,3407984,2577511,27912,7463,795098,2038863,1742627,173992,10959,111284,1973,1457400,1548336,-90936,721488,350840,187425,183223,1125638,1083868,34409,7361,134764,550792,11236,539556,416028,47859,368169,8888110,224872,2.595706540476088,7955603,181906,2.340020113315689
1979:Q1,9253723,3561950,2704236,28853,7779,821082,2125824,1806496,181005,11220,127104,2065,1534089,1621326,-87237,741442,363954,189456,188032,1156205,1112737,35825,7643,132148,559419,11735,547684,427271,51322,375949,9253723,365614,4.113517670655972,8270795,315192,3.961891278747523
1979:Q2,9596644,3717513,2832579,29758,8116,847060,2214007,1884494,187906,11580,130027,2315,1561993,1646009,-84016,760341,375843,191219,193279,1198622,1153752,36932,7938,141853,576048,12022,564026,434195,52534,381661,9596644,342921,3.705758307727224,8546591,275796,3.334578180136432
1979:Q3,9941246,3845262,2937035,30635,8482,869110,2300947,1963860,194801,11870,130416,2495,1622241,1710246,-88005,781919,388798,194142,198979,1247004,1201135,37607,8262,141378,606726,14087,592639,465348,55881,409467,9941246,344602,3.5908606307177098,8825914,279323,3.2682363312134846
1979:Q4,10272146,3961948,3025997,31525,8850,895576,2378693,2033457,202086,12202,130948,2694,1657765,1754885,-97120,799572,397310,197501,204761,1295515,1248372,38558,8585,175959,650011,14803,635208,474052,55434,418618,10272146,330900,3.3285585765108685,9096397,270483,3.0646416425286933
1980:Q1,10545696,4113142,3142501,32849,9252,928540,2450488,2100245,209104,12534,128605,1594,1643520,1759206,-115686,815743,405199,199010,211534,1342926,1294075,39908,8943,178283,660820,14344,646476,482537,53575,428962,10545696,273550,2.6630253672331126,9300836,204440,2.247478682746882
1980:Q2,10970721,4223728,3229277,34074,9621,950756,2528514,2167111,215944,12894,132565,2036,1797524,1888071,-90547,840926,414843,208193,217890,1392763,1342092,41366,9305,185230,693447,17548,675899,508217,60991,447226,10970721,425025,4.030313400829854,9646988,346151,3.7217222088696342
1980:Q3,11401804,4369625,3354028,35214,9989,970394,2608468,2237969,222422,13316,134761,2022,1920755,2015053,-94298,861337,428873,208211,224253,1450340,1397873,42798,9669,189257,718620,19083,699537,529363,67590,461773,11401804,431083,3.9293938100162293,10038129,391141,4.0545400456668546
1980:Q4,11792348,4451130,3413722,36150,10389,990869,2689173,2313816,227609,13666,134082,2172,2048074,2146967,-98893,888284,441487,215889,230908,1505329,1451264,44023,10042,208186,782564,18930,763634,574378,74586,499792,11792348,390544,3.4252837866865566,10359454,321325,3.2010454725913835
1981:Q1,12030124,4514682,3458906,37243,10750,1007783,2751398,2368247,234953,14113,134085,2351,2088495,2181714,-93219,902826,447291,218088,237447,1555584,1499896,45263,10425,214788,800406,18883,781523,585618,76834,508784,12030124,237776,2.0163609452683766,10553583,194129,1.8739347340317136
1981:Q2,12349927,4715758,3637211,38344,11185,1029018,2804501,2410788,242294,14408,137012,2489,2090547,2172322,-81775,923827,453048,225997,244782,1597444,1539944,46700,10800,215361,822630,18417,804213,607269,78076,529193,12349927,319803,2.658354505076654,10839556,285973,2.709724149692493
1981:Q3,12459874,4842006,3743288,39224,11567,1047927,2839675,2445487,248207,14812,131169,2259,1977092,2063579,-86487,943860,457575,235132,251153,1636236,1577561,47523,11152,218746,838546,15333,823213,619800,69484,550316,12459874,109947,0.8902605157868161,10945165,105609,0.9742947071216009
1981:Q4,12769301,4916768,3803851,40085,12053,1060779,2883132,2485585,253944,15311,128292,2191,2086761,2163465,-76704,959787,463386,237746,258655,1669531,1609260,48744,11527,251131,910416,16467,893949,659285,74683,584602,12769301,309427,2.4833868703081694,11258954,313789,2.866918544495621
1982:Q1,12737331,5030489,3903891,40830,12379,1073389,2932141,2524585,257129,15412,135014,2192,1948178,2030960,-82782,973158,469806,238687,264665,1697576,1636238,49446,11892,153597,759727,14044,745683,606130,68554,537576,12737331,-31969,-0.2503618885618979,11406642,147688,1.3117349448163973
1982:Q2,12903104,5075194,3935371,41669,12713,1085441,2969352,2554061,260976,15630,138685,2287,1943813,2032708,-88895,1002611,476549,255756,270306,1730918,1668308,50365,12245,178928,803653,13513,790140,624725,67704,557021,12903104,165772,1.301467551208529,11546116,139474,1.2227446221937632
1982:Q3,13069803,5096982,3948646,42230,13032,1093074,2986691,2575495,263293,16003,131900,2532,2038617,2106746,-68129,1009350,479614,254327,275409,1755025,1691129,51327,12569,180606,823113,13693,809420,642507,74449,568058,13069803,166699,1.2919326887740827,11764820,218704,1.8941797547200971
1982:Q4,13335348,5148139,3989640,42670,13405,1102424,3005164,2589754,265258,16566,133586,2994,2210888,2290152,-79264,1024194,480445,262817,280932,1761861,1696957,52021,12883,182108,870765,17442,853323,688657,88324,600333,13335348,265545,2.031741691952556,12084246,319426,2.7150918003612814
1983:Q1,13601132,5221901,4047656,43250,13682,1117313,3041168,2618857,265422,16584,140305,3171,2336134,2407855,-71721,1032222,480588,265541,286093,1769444,1703470,52772,13202,197092,892171,19401,872770,695079,98625,596454,13601132,265784,1.9930776822341896,12425164,340918,2.8211753418645156
1983:Q2,13860274,5290283,4100094,43777,13933,1132479,3052552,2634450,265483,16797,135822,3402,2506501,2560499,-53998,1045988,481324,273895,290769,1772042,1704944,53559,13539,189505,906533,22898,883635,717028,110389,606639,13860274,259142,1.9052983127718213,12721932,296769,2.388449827103851
1983:Q3,13982312,5365336,4154821,44367,14299,1151849,3075888,2663921,265985,17284,128697,3408,2493409,2563216,-69807,1068150,488049,283145,296956,1778681,1710219,54540,13922,197441,925011,24289,900722,727570,110130,617440,13982312,122039,0.8804932423678697,12880395,158463,1.24558552039035
1983:Q4,14148309,5444411,4209413,45262,14644,1175092,3120880,2704845,268073,17915,130047,3642,2466088,2490656,-24568,1084225,491876,289329,303020,1784065,1714287,55461,14317,244998,1011467,26154,985313,766469,109555,656914,14148309,165997,1.1871895210357424,12980987,100592,0.7809707767614273
1984:Q1,14367205,5648683,4392635,45872,14989,1195187,3144251,2720810,269357,18022,136063,3686,2386583,2478101,-91518,1117190,503351,303764,310075,1793538,1722114,56693,14731,273274,1047302,28801,1018501,774028,105627,668401,14367205,218896,1.5471552061011706,13215050,234063,1.8031222489285519
1984:Q2,14564521,5826507,4541059,46612,15202,1223634,3164126,2738908,271344,18473,135400,3322,2364143,2470277,-106134,1134666,503561,315845,315260,1811081,1738310,57653,15118,260676,1073015,25051,1047964,812339,100731,711608,14564521,197316,1.3733764279236793,13444568,229518,1.7367936892975306
1984:Q3,14870699,5993672,4684988,47316,15499,1245869,3190014,2765063,273069,19156,132726,3821,2461423,2534431,-73008,1157498,505418,330900,321180,1828099,1753717,58874,15508,236172,1071325,25456,1045869,835153,107372,727781,14870699,306177,2.1022145279417486,13778009,333441,2.480113633334126
1984:Q4,15075753,6150304,4816923,48100,15698,1269583,3221698,2789414,275474,19855,136955,3966,2486831,2548316,-61485,1181793,512526,344038,325229,1844662,1768947,59825,15890,186499,1061660,25994,1035666,875161,104852,770309,15075753,205055,1.3789167668722617,14063674,285666,2.0733439207518933
1985:Q1,15469505,6324809,4960818,48555,15968,1299468,3248338,2813349,276393,20209,138387,4284,2662776,2702188,-39412,1189445,517854,340424,331167,1865057,1787284,61476,16297,174795,1069994,30324,1039670,895199,112979,782220,15469505,393752,2.611820451559287,14465040,401365,2.853914329309666
1985:Q2,15787712,6521392,5130422,49116,16221,1325633,3261576,2830101,277919,20619,132937,4552,2783543,2789639,-6096,1193031,522702,333539,336790,1882864,1803279,62910,16675,140754,1074047,32398,1041649,933293,120428,812865,15787712,318207,2.056996997451706,14804687,339647,2.3480557670494826
1985:Q3,16006840,6732066,5315273,49694,16487,1350612,3294321,2863589,279990,21262,129480,4724,2733443,2761718,-28275,1206005,525900,337535,342570,1904222,1822962,64217,17043,132059,1092986,37738,1055248,960927,115106,845821,16006840,219128,1.3879624594985742,15008880,204194,1.379250338551142
1985:Q4,16443576,6937161,5492906,50419,16706,1377130,3353925,2912260,283730,22012,135923,4718,2875708,2847299,28409,1210016,528614,333965,347437,1928856,1845633,65830,17393,133191,1216479,44383,1172096,1083288,136791,946497,16443576,436736,2.7284359301617385,15507051,498170,3.3191688529341343
1986:Q1,16878164,7076987,5606479,51159,17057,1402292,3382702,2943506,284430,22418,132348,5285,3127694,3033363,94331,1218287,532898,332996,352393,1956781,1872064,66959,17758,110428,1248896,58372,1190524,1138469,162113,976356,16878164,434588,2.642904922419505,16009509,502459,3.2401961472149563
1986:Q2,17229135,7264499,5758746,52297,17420,1436036,3413797,2975024,287970,22850,127953,6157,3256833,3150987,105846,1227403,536695,333315,357393,1991196,1904218,68807,18171,69250,1273636,64259,1209377,1204386,178274,1026112,17229135,350971,2.079438522313945,16387252,377743,2.359488699932053
1986:Q3,17355457,7464725,5910883,53402,17745,1482695,3457107,3016221,291709,23534,125643,6136,3094017,3026900,67117,1242058,541659,338449,361950,2023982,1934891,70487,18604,67432,1325730,72043,1253687,1258298,172779,1085519,17355457,126322,0.7331900393253213,16570452,183200,1.117939462166715
1986:Q4,17834975,7644160,6049418,54289,18069,1522384,3498188,3054746,294536,24417,124489,6398,3245854,3167902,77952,1259625,553366,339675,366584,2056726,1964715,72950,19061,124024,1482799,72399,1410400,1358775,183172,1175603,17834975,479518,2.76292336400512,17140072,569620,3.4375652681599096
1987:Q1,18430785,7820609,6192570,55365,18524,1554150,3543554,3093672,296522,24776,128584,7192,3627771,3522983,104788,1275204,558498,344386,372320,2085943,1992227,74169,19547,70512,1491364,91583,1399781,1420852,228339,1192513,18430785,595809,3.340678983107854,17763652,623581,3.6381462006138245
1987:Q2,18745430,8009484,6345840,56214,19002,1588428,3579617,3128903,297572,25446,127696,7056,3694821,3596682,98139,1290245,562973,348370,378902,2119085,2023410,75621,20054,45122,1521884,99680,1422204,1476762,242944,1233818,18745430,314645,1.707171959375677,18052429,288776,1.625656868706104
1987:Q3,19112523,8195217,6493503,57090,19498,1625126,3615639,3163813,298854,26518,126454,7278,3832090,3734571,97519,1312290,571861,354415,386014,2154269,2056679,76995,20595,-4261,1544560,107277,1437283,1548820,259413,1289407,19112523,367093,1.958306567489512,18465234,412806,2.286705152445096
1987:Q4,18968712,8330141,6598723,58601,20155,1652662,3669597,3208385,303632,28105,129475,5877,3359154,3347613,11541,1317674,570498,352037,395139,2179932,2080297,78462,21173,106337,1619793,94700,1525093,1513457,189006,1324451,18968712,-143811,-0.7524438380535402,18400274,-64960,-0.35179775539730956
1988:Q1,19427454,8514062,6753305,59712,20947,1680098,3728164,3258011,307451,29088,133614,6345,3564743,3534181,30562,1338052,571197,362475,404380,2210318,2108350,80166,21802,65770,1635413,110010,1525403,1569643,199740,1369903,19427454,458742,2.4184156178019762,18906179,505905,2.7494413462863116
1988:Q2,19838164,8751511,6950051,60742,21684,1719034,3776328,3300169,310734,30376,135049,6500,3701712,3651209,50503,1355736,576426,367032,412278,2234559,2130070,82028,22461,11818,1653320,105733,1547587,1641502,211473,1430029,19838164,410710,2.1140709214153914,19336976,430797,2.278604107237253
1988:Q3,20089443,8929484,7087072,61706,22332,1758374,3822934,3340500,313486,32072,136876,6664,3686203,3647021,39182,1373661,585827,369297,418537,2260724,2153424,84171,23129,9773,1696796,108506,1588290,1687023,211836,1475187,20089443,251279,1.2666454729310221,19656998,320023,1.654977662619714
1988:Q4,20503005,9094409,7207766,63306,23011,1800326,3877703,3388668,319657,33847,135532,6578,3747346,3722489,24857,1405285,601146,379567,424572,2285320,2175285,86189,23846,86364,1850849,128662,1722187,1764485,213813,1550672,20503005,413562,2.058603683528484,20150303,493305,2.5095632395352316
1989:Q1,20896378,9256889,7332485,64584,23750,1836070,3932344,3433238,323245,35275,140586,6649,3901947,3863453,38494,1418533,603080,384560,430893,2309665,2196422,88634,24609,70351,1910257,133621,1776636,1839906,226810,1613096,20896378,393373,1.9186106357885586,20580555,430252,2.135213533764636
1989:Q2,21363344,9431993,7477745,65729,24499,1864020,3989360,3486034,326247,36647,140432,6188,4109820,4034173,75647,1439392,610522,392172,436698,2347084,2231022,90627,25435,39506,1901187,137833,1763354,1861681,247993,1613688,21363344,466966,2.23467344244058,21008971,428416,2.0816528694072507
1989:Q3,21924076,9674610,7685986,67215,25229,1896180,4024430,3519713,330591,38312,135814,6475,4334268,4255614,78654,1463703,619270,402687,441746,2382210,2262978,92941,26291,38380,1967964,171711,1796253,1929584,275749,1653835,21924076,560732,2.6247395207332915,21549347,540376,2.5721194616095953
1989:Q4,22265951,9817681,7797521,68558,26019,1925583,4070053,3557102,333525,39929,139497,5788,4446025,4398287,47738,1477370,627901,402685,446784,2411943,2289407,95370,27166,37091,2143714,197345,1946369,2106622,275709,1830913,22265951,341875,1.5593598043085057,21948536,399189,1.852441325734317
1990:Q1,22278438,9869598,7805824,70032,26759,1966983,4092765,3573186,336256,40939,142385,5725,4392290,4360398,31892,1493415,631173,410115,452127,2447261,2321765,97449,28047,-22617,2081889,162878,1919011,2104506,260910,1843596,22278438,12486,0.05607775870762106,21989409,40873,0.1862236384165287
1990:Q2,22608801,9968788,7877721,71143,27537,1992387,4122569,3601204,336847,42360,142158,5497,4529690,4476195,53495,1508427,634849,415767,457811,2484402,2355356,100128,28918,-10572,2145362,190890,1954472,2155934,269743,1886191,22608801,330364,1.4828857315534503,22282973,293564,1.3350258979772476
1990:Q3,22366085,10074386,7957269,72647,28316,2016154,4151167,3624632,338541,44099,143895,5225,4106603,4152893,-46290,1525114,640615,420998,463501,2522444,2389494,103172,29778,-18853,2165351,166628,1998723,2184204,230043,1954161,22366085,-242716,-1.073548089441545,22149107,-133866,-0.6007568885249395
1990:Q4,22752101,10083770,7941478,74319,28931,2039042,4158519,3627011,340708,46014,144787,4524,4508869,4533282,-24413,1540287,644532,428181,467574,2540689,2404215,105833,30641,-84557,2101723,197596,1904127,2186281,242615,1943666,22752101,386016,1.7258988301126816,22606090,456983,2.063211527017269
1991:Q1,23239184,10111638,7938060,75981,29813,2067784,4142550,3604694,343623,47303,146930,5004,4941818,4919785,22033,1556852,649404,433460,473988,2556915,2416916,108423,31576,-75593,2149310,220890,1928420,2224903,276092,1948811,23239184,487083,2.140828003401675,23109791,503701,2.2281639315758297
1991:Q2,23264315,10181563,7990366,76825,30674,2083698,4140981,3609361,342695,48753,140172,5186,4897505,4872425,25080,1566244,654659,432581,479004,2589629,2447496,109787,32346,-116793,2135407,224206,1911201,2252200,276334,1975866,23264315,25130,0.10813727229604768,23195268,85478,0.36987736300542556
1991:Q3,23567503,10251935,8039248,77694,31518,2103475,4117513,3592049,341874,50325,133265,5644,5085484,5034787,50697,1585428,664621,437588,483219,2614545,2470343,111144,33058,-93046,2182383,258216,1924167,2275430,282180,1993250,23567503,303188,1.3032322652500037,23534244,338975,1.4613979102257768
1991:Q4,24110365,10308658,8080373,78767,32071,2117447,4084658,3558659,341091,51818,133090,5680,5647349,5507065,140284,1592104,662815,445394,483895,2620420,2473428,113293,33699,-148503,2293392,278976,2014416,2441895,291200,2150695,24110365,542863,2.3034375558470583,24108237,573993,2.438970431075063
1992:Q1,24095158,10376639,8131694,80072,32669,2132204,4061413,3525919,343166,52459,139870,5685,5738924,5591558,147366,1597942,665712,447466,484764,2636608,2487338,114980,34290,-322053,2290493,257473,2033020,2612546,279172,2333374,24095158,-15208,-0.06307488369151441,24116886,8649,0.03587446367509556
1992:Q2,24187442,10441605,8173841,80953,33590,2153221,4048256,3511949,342936,53881,139490,5521,5722283,5562713,159570,1612909,671688,452746,488475,2673959,2522190,116731,35038,-317091,2335904,272908,2062996,2652995,280355,2372640,24187442,92285,0.3830003671273013,24235825,118939,0.4931778178679459
1992:Q3,24475382,10565838,8277602,82043,34469,2171724,4044147,3505613,342631,55453,140450,6048,5854513,5679484,175029,1627912,677558,458333,492021,2702620,2548747,118027,35846,-325697,2363637,296190,2067447,2689333,285368,2403965,24475382,287939,1.190450031598984,24619430,383605,1.5828009673127168
1992:Q4,25076447,10665051,8353177,82840,35566,2193468,4031750,3491583,341468,57225,141474,5889,6423295,6141305,281990,1651570,689103,465237,497230,2737267,2580845,119698,36724,-438374,2306726,314266,1992460,2745100,308847,2436253,25076447,601066,2.455796659372723,25220380,600951,2.4409605124444624
1993:Q1,25335223,10695110,8369238,83414,35844,2206614,4053347,3505173,342960,58191,147023,6875,6567424,6245808,321616,1667181,697593,471978,497610,2777210,2618102,121579,37529,-431924,2344421,365074,1979347,2776345,323329,2453016,25335223,258776,1.0319484893628503,25556710,336330,1.3335634802374485
1993:Q2,25594848,10834811,8478022,83929,36414,2236446,4080998,3533570,344488,59417,143523,6516,6558725,6254762,303963,1676597,703597,472479,500521,2814784,2653353,123216,38215,-377583,2429544,426520,2003024,2807127,320431,2486696,25594848,259625,1.0247591164161072,25846476,289766,1.1338150317829687
1993:Q3,25957095,10984907,8597723,84400,36717,2266067,4117106,3571780,345556,60377,139393,7255,6693019,6339701,353318,1688739,708737,478621,501381,2836061,2672361,124894,38806,-369992,2527116,491186,2035930,2897108,327673,2569435,25957095,362246,1.415309709333233,26278390,431915,1.6710770421157848
1993:Q4,26399828,11136596,8711539,85114,37695,2302248,4147899,3598143,347761,62097,139898,6966,6706987,6388762,318225,1704204,714854,482301,507049,2873571,2708230,125957,39384,-176395,2847589,543862,2303727,3023984,340997,2682987,26399828,442733,1.7056338233627406,26730905,452514,1.7220016985517408
1994:Q1,26498944,11248766,8798482,86054,38072,2326158,4197754,3637350,351872,63149,145383,6982,6641087,6260372,380715,1712856,720591,483788,508477,2912641,2744112,128607,39922,-221142,2877079,578653,2298426,3098222,330689,2767533,26498944,99117,0.37544397074632874,26879112,148207,0.5544416694974322
1994:Q2,26720333,11403893,8918832,86834,38613,2359614,4257601,3695807,356019,64236,141538,6352,6564892,6169369,395523,1734850,726951,496148,511751,2945377,2773946,130908,40523,-192632,2952511,616744,2335767,3145143,328840,2816303,26720333,221389,0.8354617726140592,27089267,210155,0.7818515980857146
1994:Q3,27123381,11554846,9031651,87310,39371,2396514,4303565,3737275,358824,65583,141882,6450,6749171,6386381,362790,1750067,736635,496849,516583,2997085,2822892,133006,41187,-237803,2995978,626046,2369932,3233782,351444,2882338,27123381,403048,1.50839353818951,27483807,394540,1.4564441499204217
1994:Q4,27438542,11662710,9110696,87566,40312,2424136,4349717,3775823,359958,67201,146735,5868,6721817,6323974,397843,1769893,747045,499970,522878,3052822,2877003,133891,41928,-124285,3067780,626762,2441018,3192065,352812,2839253,27438542,315161,1.1619530082247322,27709985,226178,0.8229516398067129
1995:Q1,28053465,11759563,9169218,88129,41520,2460696,4381494,3799850,363252,69113,149279,6174,7168032,6681923,486109,1785447,755978,497596,531873,3106540,2927419,136448,42673,-153784,3154448,644382,2510066,3308232,377573,2930659,28053465,614924,2.2410951385945803,28276384,566399,2.0440253508016895
1995:Q2,28658389,11881627,9266311,89139,41845,2484332,4421862,3837699,368030,70197,145936,5996,7590968,7042327,548641,1797129,763677,499418,534034,3151810,2969617,138976,43217,-191004,3267264,668010,2599254,3458268,412156,3046112,28658389,604923,2.1563227645132566,28881548,605163,2.1401724217928733
1995:Q3,29134958,11818659,9181393,89696,42546,2505024,4480029,3895747,371075,71698,141509,6900,8072141,7430861,641280,1805626,770983,496856,537787,3193442,3008855,140949,43638,-241840,3347450,728149,2619301,3589290,448511,3140779,29134958,476569,1.6629300260183402,29339728,458181,1.5864139447187862
