1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1269076,430932,308963,1592,366,120011,333808,255779,31385,3103,43541,0,246418,224339,22079,120256,71927,39900,8429,123145,120319,2464,362,14517,32286,1390,30896,17769,3450,14319,1269076,148890,13.291556003845956,1280523,109080,9.311571226055618
1952:Q1,1284567,437115,311906,1634,365,123210,336414,257826,31889,3105,43594,0,252108,230034,22074,121852,71818,41423,8611,123133,120244,2530,359,13945,31847,363,31484,17902,3454,14448,1284567,15491,1.2206386640584885,1298871,18348,1.4328808674505682
1952:Q2,1314527,448848,322754,1682,366,124046,338620,259928,32447,3127,43118,0,261184,239519,21665,124522,72879,42831,8812,126763,123834,2569,360,14590,33059,789,32270,18469,3539,14930,1314527,29960,2.3323428759516895,1321517,22646,1.7435096457099595
1952:Q3,1326970,453488,324183,1697,369,127239,339349,262029,32455,3181,41683,0,259640,238433,21207,128163,74522,44610,9031,131654,128675,2615,364,14676,33720,1128,32592,19044,3434,15610,1326970,12443,0.9465501893706914,1334343,12826,0.9705466810742096
1952:Q4,1317785,463998,334895,1728,375,127000,336953,262603,32717,3221,38412,0,240284,219995,20289,130505,74903,46335,9267,130532,127514,2646,372,15513,34640,1459,33181,19127,3705,15422,1317785,-9184,-0.6921247679906284,1338242,3899,0.2922205028987737
1953:Q1,1322454,472950,340387,1787,380,130396,335907,262881,33093,3283,36650,0,232982,212769,20213,131999,74991,47504,9504,132428,129320,2736,372,16188,35255,1492,33763,19067,3569,15498,1322454,4669,0.35429831045822097,1348622,10379,0.7755988452990478
1953:Q2,1314792,481976,347238,1855,386,132497,335539,263388,33683,3327,35141,0,214511,194625,19886,135167,75940,49502,9725,131208,128084,2745,379,16391,35704,1399,34305,19313,3476,15837,1314792,-7663,-0.5794342532353791,1350855,2233,0.1655845726444805
1953:Q3,1322933,493036,357332,1926,390,133388,337198,265056,34340,3381,34421,0,205930,186342,19588,137984,76396,51643,9945,132081,128930,2765,386,16704,36405,1290,35115,19701,3430,16271,1322933,8141,0.6192018723792139,1365443,14588,1.0799446793528213
1953:Q4,1351999,493418,355919,1980,394,135125,337208,264204,34704,3430,34869,0,236352,217688,18664,138681,75199,53327,10155,129329,126136,2799,394,17011,37088,1329,35759,20077,3650,16427,1351999,29066,2.1970760765491,1386232,20789,1.5225018404571786
1954:Q1,1380931,498301,357485,2045,399,138372,338553,264497,35126,3519,35411,0,258634,240633,18001,141316,75993,54945,10378,127510,124246,2862,402,16617,37563,1439,36124,20946,3996,16950,1380931,28932,2.139962142396494,1409007,22775,1.6429248375248613
1954:Q2,1422460,501395,361814,2109,404,137068,339980,266070,35500,3536,34874,0,288383,271415,16968,143413,76909,55874,10630,132891,129473,3009,409,16398,38071,1554,36517,21673,4353,17320,1422460,41529,3.007308913123357,1430699,21693,1.5395630545076575
1954:Q3,1474383,510860,371385,2121,410,136944,342882,269336,35028,3570,34948,0,325627,309721,15906,146512,77490,58112,10910,132736,129216,3103,417,15766,38387,1708,36679,22621,4804,17817,1474383,51923,3.650215744639889,1466938,36238,2.532917602809378
1954:Q4,1497114,520894,379599,2160,417,138718,344490,271288,35044,3603,34554,0,331169,316942,14227,149640,78848,59577,11215,135098,131455,3217,426,15823,39345,1868,37477,23522,5254,18268,1497114,22731,1.5417252468840874,1484121,17183,1.1713727999302121
1955:Q1,1517447,527830,384467,2175,424,140764,347469,273937,35015,3738,34779,0,343244,328847,14397,148988,78043,59388,11557,133750,129959,3355,436,16166,39620,1934,37686,23454,5407,18047,1517447,20333,1.3581691935549463,1505874,21753,1.4657025345395032
1955:Q2,1584340,540617,394908,2226,432,143051,350441,277898,35608,3762,33173,0,388836,375343,13493,151247,78387,60920,11940,136910,133011,3452,447,16289,40593,2168,38425,24304,5981,18323,1584340,66893,4.40827189568112,1540998,35124,2.3324519312283565
1955:Q3,1646093,555200,406169,2313,442,146276,355168,282691,36768,3811,31898,0,419961,407533,12428,154400,79616,62414,12370,145180,141083,3637,460,16184,41181,2333,38848,24997,6349,18648,1646093,61753,3.897696546188362,1580327,39329,2.5521808505879857
1955:Q4,1679481,565453,414487,2412,455,148099,359453,287208,38014,3850,30381,0,429646,418008,11638,158331,80989,64477,12865,149966,145708,3782,476,16632,42013,2439,39574,25381,6575,18806,1679481,33388,2.0283472522900103,1600734,20407,1.2913448379840136
1956:Q1,1744623,577329,424188,2484,466,150191,366100,292719,38709,3925,30746,0,466150,454848,11302,162463,82210,66840,13413,155887,151502,3894,491,16694,43067,2642,40425,26373,7074,19299,1744623,65141,3.8786521310736246,1643835,43100,2.6925429324759733
1956:Q2,1755230,588163,433166,2555,479,151963,372303,297111,39219,3975,31998,0,449012,437808,11204,166570,85224,67331,14015,161690,157330,3855,505,17492,44109,2591,41518,26617,6899,19718,1755230,10608,0.6080251049897839,1654132,10298,0.6264347527301146
1956:Q3,1770805,599569,440946,2651,491,155481,376785,301342,40008,4047,31387,0,438264,427419,10845,171047,88394,67990,14663,167066,162663,3885,518,18074,45421,2565,42856,27347,6805,20542,1770805,15574,0.8873051562510089,1672629,18496,1.1181850068659716
