1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q2,2009,3774,5473,2505,-3541,0,498,40,110,348,105,0,0,-11202,0,17108,1599,15509,2393,2393,0,2785,-815,3600,0,0,-392,-553,161,0,0,0,-4845
1987:Q3,1993,3907,11766,-1295,3993,0,2,0,0,2,-475,0,0,5652,0,3889,2549,1340,6591,6590,0,5833,3055,2778,0,0,757,747,10,1,0,1,-7090
1987:Q4,2104,3960,-2314,147,-6104,0,223,18,49,156,506,0,0,1852,0,1062,1835,-773,-1860,-1894,0,-3007,-4427,1420,0,0,1113,813,300,34,0,34,-1402
1988:Q1,2314,3922,1284,-901,1443,0,-1002,-80,-220,-702,1728,0,0,-591,0,607,603,4,1634,1634,0,2102,744,1358,0,0,-468,-552,84,0,0,0,-1257
1988:Q2,2455,4039,10016,-989,2445,0,-118,-10,-26,-82,-343,0,0,7670,0,1351,1633,-282,3253,3252,0,132,-689,821,0,0,3120,2374,746,1,0,1,-8346
1988:Q3,2393,4076,8297,-479,2018,0,219,18,48,153,-45,0,0,6089,0,495,703,-208,2964,2939,0,915,2346,-1431,45,0,1979,1982,-3,25,0,25,-7016
1988:Q4,2831,4157,1985,-249,-2927,0,1046,83,230,733,-1567,0,0,3802,0,1880,1833,47,-2497,-2477,0,-3613,-3016,-597,0,0,1136,918,218,-20,0,-20,-5808
1989:Q1,2459,4188,11152,832,4573,0,-55,-4,-12,-39,1440,0,0,5729,0,-1367,-1874,507,7347,7347,0,7889,6514,1375,0,0,-542,-710,168,0,0,0,-5535
1989:Q2,2484,4263,4675,880,-3896,0,-100,-8,-22,-70,-694,0,0,4505,0,3980,3705,275,-463,-462,0,-442,-999,557,0,0,-20,-376,356,-1,0,-1,-6917
1989:Q3,2392,4423,1616,2056,-2992,0,-387,-31,-85,-271,2067,0,0,-603,0,1475,1779,-304,2762,2762,0,3623,2011,1612,0,0,-861,-587,-274,0,0,0,-885
1989:Q4,2738,4417,2654,316,-1697,0,1764,141,388,1235,-1295,0,0,-1003,0,4569,3130,1439,-340,-305,0,-160,640,-800,0,0,-145,-546,401,-35,0,-35,-4673
1990:Q1,2116,4141,1792,-878,243,0,839,67,185,587,504,0,0,4735,0,-3651,-3736,85,466,-1491,0,-2107,-516,-1591,0,0,616,386,230,1957,1936,21,-3351
1990:Q2,2122,4117,-5431,1321,-1530,0,-2094,-167,-461,-1466,-283,0,0,3743,0,-6588,-6660,72,-8745,-10682,0,-10727,-8519,-2208,0,0,45,-109,154,1937,1936,1,-5309
1990:Q3,2140,4147,-3209,-72,-1167,334,-538,-22,-49,-467,-1372,0,0,1483,0,-1877,8293,-10170,-6792,-8731,156,-12876,-7213,-5663,0,0,3989,904,3085,1939,1936,3,-5591
1990:Q4,2281,4097,-11509,-4494,2538,111,-532,-173,-568,209,946,0,0,-2497,0,-7581,-7235,-346,-10831,-11981,44,-10494,-8226,-2268,0,0,-1531,-592,-939,1150,1061,89,-1139
1991:Q1,2555,3825,-1103,-1089,-20,238,-250,-29,142,-363,-904,0,0,3048,0,-2126,-1619,-507,-1105,-5148,-153,-4115,-5398,1283,87,0,-967,-83,-884,4043,4042,1,-1272
1991:Q2,2805,3785,2193,-1295,1511,1027,-77,386,442,-905,-1071,0,0,2233,0,-135,-750,615,1188,-2826,-3,-3228,-2818,-410,14,0,391,271,120,4014,4013,1,-1985
1991:Q3,3035,3703,-244,-34,-728,162,522,642,-247,127,-268,0,0,2760,0,-2658,-2204,-454,-477,-3138,-7,-2069,-1405,-664,-7,0,-1055,-1034,-21,2661,2655,6,-902
1991:Q4,3244,3670,3446,-3290,2729,-448,177,-506,656,27,121,0,0,2459,0,1698,1326,372,3682,-304,4,266,-518,784,0,0,-574,-636,62,3986,4028,-42,-190
1992:Q1,3178,3871,9765,18933,4319,-737,1933,2964,-650,-381,-227,0,0,5820,0,-20276,-20137,-139,6785,2312,-3,2895,219,2676,-5,0,-575,-323,-252,4473,4479,-6,-3674
1992:Q2,3282,3974,6366,61,-3784,900,-29,-38,-174,183,-374,0,0,10028,0,-436,-1814,1378,-780,-4223,7,-4228,-897,-3331,0,0,-2,408,-410,3443,3443,0,-7838
1992:Q3,3314,4049,12034,228,-1852,-141,2889,1635,733,521,1470,0,0,7338,0,2102,2299,-197,9385,5174,97,1795,213,1582,-5,0,3287,382,2905,4211,4213,-2,-3384
1992:Q4,3381,4168,6746,318,-3473,-144,505,648,-124,-19,-522,0,0,7704,0,2358,2367,-9,3498,-279,-38,-1086,-2529,1443,-8,0,853,680,173,3777,3768,9,-4035
1993:Q1,3126,3661,14228,1036,5828,-467,-680,-659,35,-56,-392,0,0,10002,0,-1099,-1801,702,7468,5201,-11,5176,1449,3727,0,0,36,-608,644,2267,2265,2,-7295
1993:Q2,3250,3724,9489,49,-5887,147,1515,388,227,900,470,0,0,9345,0,3850,2942,908,2497,864,160,1776,1013,763,-7,0,-1065,-1463,398,1633,1633,0,-7466
1993:Q3,3311,3767,9102,814,1697,-628,714,-274,45,943,-462,0,0,7687,0,-720,-152,-568,1801,1046,-129,1418,582,836,-10,0,-233,-842,609,755,753,2,-7758
1993:Q4,3408,3907,14481,-901,-1649,450,561,-219,673,107,-1481,0,0,11747,0,5754,5619,135,2938,2192,-102,4182,2470,1712,-53,0,-1835,-310,-1525,746,772,-26,-12043
1994:Q1,3127,3619,3762,663,759,-355,997,550,267,180,-193,0,0,2288,0,-397,-626,229,1443,1715,102,501,1615,-1114,-3,0,1115,1267,-152,-272,-273,1,-2811
1994:Q2,3184,3704,8753,53,5793,296,-635,-1097,353,109,474,0,0,6213,0,-3441,-2785,-656,1777,2349,-103,3231,1095,2136,-1,0,-778,-651,-127,-572,-572,0,-7496
1994:Q3,3383,3759,9381,507,-3195,-91,816,5,492,319,-155,0,0,7708,0,3791,3470,321,872,2727,75,3617,2284,1333,0,0,-965,-742,-223,-1855,-1861,6,-8886
1994:Q4,3387,3888,10270,96,1984,375,-375,-256,630,-749,-196,0,0,2234,0,6152,5630,522,6165,8443,-33,8741,1004,7737,4,0,-269,-1415,1146,-2278,-2371,93,-4605
1995:Q1,3491,3926,17176,498,1196,-305,-1021,-638,-758,375,647,0,0,14320,0,1841,1754,87,4147,4808,72,5135,496,4639,1,0,-400,-358,-42,-661,-664,3,-13464
1995:Q2,3459,3995,15386,-1155,-411,188,1507,1698,-210,19,-277,0,0,10140,0,5394,5178,216,2986,4963,1903,4537,-103,4640,-1,0,-1476,-1302,-174,-1977,-1984,7,-12937
1995:Q3,3515,4042,15268,911,3581,-442,-2095,-2643,257,291,-307,0,0,11095,0,2525,2894,-369,4069,6573,-1966,5558,2472,3086,-3,0,2984,2265,719,-2504,-2510,6,-11726
1995:Q4,3354,4102,7955,-298,-1640,334,815,375,541,-101,351,0,0,2492,0,5901,4458,1443,-2769,-729,186,-594,-3701,3107,0,0,-321,-883,562,-2040,-2011,-29,-11473
1996:Q1,2321,4149,7725,572,632,-271,-893,-622,71,-342,-376,0,0,7068,0,993,1103,-110,1802,5251,-122,5916,1880,4036,0,0,-543,-494,-49,-3449,-3456,7,-7752
1996:Q2,2059,4251,14059,931,-2502,34,1270,-30,78,1222,89,0,0,10769,0,3468,2955,513,857,4334,1,4012,2529,1483,30,0,291,-22,313,-3477,-3508,31,-15395
1996:Q3,2085,4385,5103,875,1012,-233,1115,554,-108,669,152,0,0,5569,0,-3387,-3114,-273,-5221,709,-78,-903,-2849,1946,0,0,1690,1024,666,-5930,-6019,89,-12625
