date,FU893150005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU263150005.Q,FU893150005.Q,FU153050005.Q,FU543050005.Q,FU543151905.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,3935,283,1199,1917,536,0,3935,3935,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q1,4022,280,1327,1869,546,0,4022,4022,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q2,4167,279,1372,1958,558,0,4167,4167,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q3,4175,280,1415,1910,570,0,4175,4175,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q4,4226,286,1457,1901,582,0,4226,4226,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q1,4019,288,1247,1886,598,0,4019,4019,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q2,4071,288,1189,1983,611,0,4071,4071,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q3,3924,294,1143,1863,624,0,3924,3924,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q4,3992,305,1109,1940,638,0,3992,3992,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q1,4101,322,1208,1919,652,0,4101,4101,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q2,4296,341,1240,2050,665,0,4296,4296,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q3,4260,341,1263,1977,679,0,4260,4260,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q4,4271,321,1262,1995,693,0,4271,4271,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q1,4469,299,1407,2049,714,0,4469,4469,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q2,4648,271,1468,2179,730,0,4648,4648,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q3,4651,280,1518,2107,746,0,4651,4651,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q4,4796,325,1582,2126,763,0,4796,4796,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q1,5268,368,1870,2246,784,0,5268,5268,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q2,5633,411,2024,2395,803,0,5633,5633,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q3,5764,421,2150,2372,821,0,5764,5764,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q4,5948,400,2276,2432,840,0,5948,5948,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q1,5428,375,1783,2403,867,0,5428,5428,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q2,5436,351,1697,2499,889,0,5436,5436,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q3,5467,363,1631,2562,911,0,5467,5467,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q4,5391,411,1577,2470,933,0,5391,5391,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q1,5841,468,1944,2484,945,0,5841,5841,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q2,6185,534,2091,2597,963,0,6185,6185,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,6438,527,2174,2757,980,0,6438,6438,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,6259,446,2305,2510,998,0,6259,6259,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,5895,371,1930,2569,1025,0,5895,5895,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,6221,302,1861,3011,1047,0,6221,6221,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,5755,284,1774,2628,1069,0,5755,5755,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,5801,318,1766,2627,1090,0,5801,5801,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,5776,341,1637,2666,1132,0,5776,5776,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,6277,353,1609,3154,1161,0,6277,6277,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,5836,356,1509,2780,1191,0,5836,5836,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,5851,350,1508,2772,1221,0,5851,5851,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,5916,341,1475,2849,1251,0,5916,5916,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,6269,329,1286,3373,1281,0,6269,6269,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,5720,338,1146,2925,1311,0,5720,5720,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,5904,367,1192,3004,1341,0,5904,5904,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,6309,391,1530,3017,1371,0,6309,6309,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,7042,411,1646,3584,1401,0,7042,7042,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,6743,429,1782,3101,1431,0,6743,6743,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,7010,444,1933,3172,1461,0,7010,7010,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q1,7376,464,2211,3210,1491,0,7376,7376,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,8150,486,2379,3765,1520,0,8150,8150,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,7921,498,2533,3340,1550,0,7921,7921,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,8154,502,2712,3360,1580,0,8154,8154,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,8600,587,2933,3439,1641,0,8600,8600,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,9236,504,2978,4070,1684,0,9236,9236,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,8999,477,3219,3577,1726,0,8999,8999,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,9432,507,3558,3598,1769,0,9432,9432,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,10035,521,4003,3710,1801,0,10035,10035,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,10831,521,4072,4398,1840,0,10831,10831,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,10473,525,4195,3875,1878,0,10473,10473,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,10940,533,4501,3989,1917,0,10940,10940,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,10877,316,4518,4046,1997,0,10877,10877,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,11842,356,4658,4776,2052,0,11842,11842,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,11574,374,4936,4156,2108,0,11574,11574,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,11912,450,5020,4279,2163,0,11912,11912,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,12413,559,5223,4288,2343,0,12413,12413,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q2,13537,574,5447,5068,2448,0,13537,13537,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,13151,383,5773,4441,2554,0,13151,13151,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,14085,785,6041,4600,2659,0,14085,14085,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,14758,667,6574,4773,2744,0,14758,14758,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,16006,767,6908,5491,2840,0,16006,16006,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,16163,779,7331,5115,2938,0,16163,16163,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,16685,907,7661,5083,3034,0,16685,16685,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,14291,653,4713,5760,3165,0,14291,14291,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,15317,651,4621,6769,3276,0,15317,15317,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,14928,719,4522,6301,3386,0,14928,14928,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,15467,860,4491,6619,3497,0,15467,15467,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,15656,1050,4193,6680,3733,0,15656,15656,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,16835,1187,4190,7564,3894,0,16835,16835,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q3,16420,1225,4205,6935,4055,0,16420,16420,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q4,16912,1158,4245,7293,4216,0,16912,16912,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q1,18419,1083,5743,7159,4434,0,18419,18419,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q2,20471,994,6740,8120,4617,0,20471,20471,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q3,20301,1055,7107,7338,4801,0,20301,20301,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q4,20249,1258,6529,7477,4985,0,20249,20249,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q1,19869,1229,6091,7457,5092,0,19869,19869,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q2,20522,1355,5510,8412,5245,0,20522,20522,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q3,19901,1499,5499,7504,5399,0,19901,19901,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q4,20559,1662,5607,7738,5552,0,20559,20559,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q1,20808,1316,6099,7688,5705,0,20808,20808,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q2,22526,1543,6405,8720,5858,0,22526,22526,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q3,22401,1609,7198,7582,6012,0,22401,22401,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q4,22972,1515,7513,7779,6165,0,22972,22972,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q1,23510,2084,7248,7805,6373,0,23510,23510,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q2,25240,1860,8061,8771,6548,0,25240,25240,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q3,24958,2056,8610,7569,6723,0,24958,24958,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q4,24554,2663,7191,7802,6898,0,24554,24554,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q1,25189,3220,6971,8087,6911,0,25189,25189,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q2,25715,3756,5707,9230,7022,0,25715,25715,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q3,26824,4006,7863,7823,7132,0,26824,26824,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q4,28355,3969,8780,8364,7242,0,28355,28355,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q1,29580,3878,9785,8359,7558,0,29580,29580,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q2,29128,4047,7516,9814,7751,0,29128,29128,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q3,30484,4320,9551,8670,7943,0,30484,30484,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q4,28862,4577,7091,9058,8136,0,28862,28862,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q1,32561,4599,10012,9676,8274,0,32561,32561,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q2,31553,4808,6974,11327,8444,0,31553,31553,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q3,32556,4888,8976,10077,8615,0,32556,32556,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q4,34504,4838,9882,10999,8785,0,34504,34504,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q1,33569,4781,9457,10276,9055,0,33569,33569,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q2,35531,4712,9806,11747,9266,0,35531,35531,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q3,34009,4812,9244,10477,9476,0,34009,34009,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q4,36236,5081,10370,11098,9687,0,36236,36236,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q1,45502,5245,19570,10566,10121,0,45502,45502,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q2,50569,5299,23473,11856,9941,0,50569,50569,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q3,54134,5615,27355,10612,10552,0,54134,54134,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q4,57231,6190,29161,11123,10757,0,57231,57231,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q1,48021,7685,18361,10893,11082,0,48021,48021,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q2,48028,6005,18160,12382,11481,0,48028,48028,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q3,48714,8712,16898,11014,12090,0,48714,48714,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q4,43896,7110,13229,11306,12251,0,43896,43896,0,0,ND,ND,ND,ND,ND,ND,ND
1982:Q1,47352,7880,15371,11502,12599,0,47352,47352,0,0,7217,4475,325,614,323,436,1044
1982:Q2,53388,9593,17689,13094,13012,0,53388,53388,0,0,7217,4475,325,614,324,436,1043
1982:Q3,58085,11901,20988,11737,13459,0,58085,58085,0,0,7217,4475,325,614,324,436,1043
1982:Q4,58313,10307,22477,11745,13784,0,58313,58313,0,0,7217,4475,325,614,324,436,1043
1983:Q1,60999,6271,28416,12339,13973,0,60999,60999,0,0,9323,5950,400,781,174,950,1068
1983:Q2,69959,7850,34142,13405,14562,0,69959,69959,0,0,9323,5950,400,781,173,950,1069
1983:Q3,65056,7402,30334,12111,15209,0,65056,65056,0,0,9323,5950,400,781,174,950,1068
1983:Q4,72943,11139,33039,13215,15550,0,72943,72943,0,0,9323,5950,400,781,174,950,1068
1984:Q1,53270,9528,13748,14478,15516,0,53270,53270,0,0,12675,4040,625,899,497,1210,5404
1984:Q2,49059,10048,8169,15563,15279,0,49059,49059,0,0,12675,4040,625,899,498,1210,5403
1984:Q3,59856,10571,19142,14470,15673,0,59856,59856,0,0,12675,4040,625,899,497,1210,5404
1984:Q4,61068,18789,11561,14725,15993,0,61068,61068,0,0,12675,17124,654,899,498,1210,-7710
1985:Q1,58297,8812,17626,15530,16329,0,58297,58297,0,0,18204,13517,-504,1942,348,2767,134
1985:Q2,65523,14102,19950,14852,16619,0,65523,65523,0,0,18204,10571,1569,1942,348,2767,1007
1985:Q3,53503,12256,9309,15001,16937,0,53503,53503,0,0,18204,4307,1094,1942,349,2767,7745
1985:Q4,73705,20457,20943,15063,17242,0,73705,73705,0,0,18204,3848,2059,1942,348,2767,7240
1986:Q1,57840,5757,17590,16337,18156,0,57840,57840,0,0,20437,11953,1266,1403,498,4745,572
1986:Q2,58267,14592,9993,15912,17770,0,58267,58267,0,0,20437,9629,3154,1403,498,4745,1008
1986:Q3,69657,20442,14996,16043,18176,0,69657,69657,0,0,20437,777,742,1403,497,4745,12273
1986:Q4,82514,22586,25324,16101,18503,0,82514,82514,0,0,20437,3567,742,1403,498,4745,9482
1987:Q1,60231,6138,19059,15614,19420,0,60231,60231,0,0,18302,5396,973,1971,1239,3963,4760
1987:Q2,57276,6925,15316,15790,19245,0,57276,57276,0,0,18302,7169,972,1971,1240,3963,2987
1987:Q3,75269,9368,30839,15527,19535,0,75269,75269,0,0,18302,2633,485,1971,1239,3963,8011
1987:Q4,73630,18421,19870,15523,19816,0,73630,73630,0,0,18302,4851,484,1971,1240,3963,5793
1988:Q1,85922,27130,22416,16161,20215,0,85922,85922,0,0,13813,7472,537,2007,1237,2010,550
1988:Q2,75720,19131,19409,16393,20787,0,75720,75720,0,0,13813,7126,536,2007,1238,2010,896
1988:Q3,78890,19247,22329,16329,20985,0,78890,78890,0,0,13813,4348,205,2007,1237,2010,4006
1988:Q4,84999,20302,26985,16276,21436,0,84999,84999,0,0,13813,4157,205,2007,1238,2010,4196
1989:Q1,69351,10170,20281,16624,22276,0,69351,69351,0,0,14235,6095,383,-327,2237,2550,3297
1989:Q2,78912,19828,19010,17197,22877,0,78912,78912,0,0,14235,8484,382,-327,2238,2550,908
1989:Q3,71936,11183,20496,16890,23367,0,71936,71936,0,0,14235,4246,555,-327,2238,2550,4973
1989:Q4,83113,18633,23300,17133,24047,0,83113,83113,0,0,14235,4076,554,-327,2237,2550,5145
1990:Q1,84664,18858,24154,17099,24553,0,84664,84664,0,0,24097,4862,1023,1090,3250,2429,11443
1990:Q2,86430,34694,9380,17266,25090,0,86430,86430,0,0,24097,6529,1022,1090,3250,2429,9777
1990:Q3,80627,7402,30318,17313,25594,0,80627,80627,0,0,24097,4244,582,1090,3250,2429,12502
1990:Q4,80530,17117,19666,17503,26244,0,80530,80530,0,0,24097,3404,582,1090,3250,2429,13342
1991:Q1,72992,5775,23074,17640,26503,0,72992,72992,0,0,23899,4553,1293,1770,0,6486,9797
1991:Q2,92017,15507,30465,18126,27919,0,92017,92017,0,0,23899,4640,1292,1770,0,6486,9711
1991:Q3,87215,12275,28161,18202,28577,0,87215,87215,0,0,23899,934,513,1770,0,6486,14196
1991:Q4,90240,13755,28682,18402,29401,0,90240,90240,0,0,23899,2687,512,1770,0,6486,12444
1992:Q1,84317,9462,26253,18434,30168,0,84317,84317,0,0,20726,-2560,304,1237,750,9415,11580
1992:Q2,96621,17879,28644,18904,31194,0,96621,96621,0,0,20726,-1716,304,1237,750,9415,10736
1992:Q3,98380,14354,33230,18849,31947,0,98380,98380,0,0,20726,-3069,165,1237,750,9415,12228
1992:Q4,92287,30032,10402,18824,33029,0,92287,92287,0,0,20726,-1483,165,1237,750,9415,10642
1993:Q1,116608,17791,48132,18329,32356,0,116608,116608,0,0,21673,-2826,-48,3140,1500,13442,6465
1993:Q2,103838,20107,32838,18272,32621,0,103838,103838,0,0,21673,-3169,-49,3140,1500,13442,6809
1993:Q3,96772,24885,22443,18033,31411,0,96772,96772,0,0,21673,-1928,-88,3140,1500,13442,5607
1993:Q4,83824,11935,20862,17738,33289,0,83824,83824,0,0,21673,-4046,-88,3140,1500,13442,7725
1994:Q1,108070,13705,42525,18139,33701,0,108070,108070,0,0,21388,-2036,-223,3291,3250,6509,10597
1994:Q2,101617,3114,46654,17939,33910,0,101617,101617,0,0,21388,-2578,-223,3291,3250,6509,11139
1994:Q3,88193,10135,24353,18823,34882,0,88193,88193,0,0,21388,-1658,201,3291,3250,6509,9795
1994:Q4,57991,-1377,6358,18075,34935,0,57991,57991,0,0,21388,-1124,200,3291,3250,6509,9262
1995:Q1,88003,12020,21633,18990,35360,0,88003,88003,0,0,30538,2151,274,2797,3750,10836,10730
1995:Q2,95897,25876,16931,19256,33834,0,95897,95897,0,0,30538,2978,273,2797,3750,10836,9904
1995:Q3,101576,15512,30505,19160,36399,0,101576,101576,0,0,30538,1252,331,2797,3750,10836,11572
1995:Q4,91990,9612,26662,18555,37161,0,91990,91990,0,0,30538,-1840,330,2797,3750,10836,14665
1996:Q1,91460,8870,25888,19092,37610,0,91460,91460,0,0,33188,34,262,2585,3250,15971,11086
1996:Q2,85388,7058,20612,19690,38028,0,85388,85388,0,0,33188,-523,261,2585,3250,15971,11644
1996:Q3,84226,4288,23080,18697,38161,0,84226,84226,0,0,33188,-702,167,2585,3250,15971,11917
1996:Q4,107882,30717,18753,18890,39522,0,107882,107882,0,0,33188,-1964,166,2585,3250,15971,13180
1997:Q1,95780,15779,14506,18704,46791,0,95780,95780,0,0,37942,-1754,344,11883,-500,21124,6845
1997:Q2,115060,27999,21870,19351,45840,0,115060,115060,0,0,37942,-478,344,11883,-500,21124,5569
1997:Q3,106846,20105,23679,18514,44548,0,106846,106846,0,0,37942,1965,344,11883,-500,21124,3126
1997:Q4,97421,-2939,31996,18935,49429,0,97421,97421,0,0,37942,-5665,143,11883,-500,21124,10957
1998:Q1,132554,20594,45731,18878,47351,0,132554,132554,0,0,47865,-1563,300,6152,6000,21442,15534
1998:Q2,136549,31108,35507,21007,48927,0,136549,136549,0,0,47865,-3865,-688,6152,6000,21442,18824
1998:Q3,127103,22303,33301,18641,52858,0,127103,127103,0,0,47865,1717,48,6152,6000,21442,12506
1998:Q4,110115,6052,34890,20649,48524,0,110115,110115,0,0,47865,-2025,675,6152,6000,21442,15621
1999:Q1,80262,3754,5179,19333,51996,0,80262,80262,0,0,54916,-784,370,10201,4500,19987,20642
1999:Q2,96386,10955,13362,20806,51263,0,96386,96386,0,0,54916,-86,371,10201,4500,19987,19943
1999:Q3,94314,-1586,18950,19993,56957,0,94314,94314,0,0,54916,-2268,374,10201,4500,19987,22122
1999:Q4,122055,27429,29163,20548,44915,0,122055,122055,0,0,54916,-3309,-208,10201,4500,19987,23745
2000:Q1,107928,12836,36091,19442,39474,85,107928,107563,363,2,57152,-2367,-82,4878,1000,17024,36699
2000:Q2,109885,25778,16858,20206,46958,85,109885,109523,362,0,57152,4435,-184,4878,1000,17024,29999
2000:Q3,110348,28499,17878,20405,43481,85,110348,109984,362,2,57152,4031,124,4878,1000,17024,30095
2000:Q4,121926,25530,25449,20044,50818,85,121926,121564,362,0,57152,533,586,4878,1000,17024,33131
2001:Q1,115856,50419,-8883,20409,53654,257,115856,114839,1014,3,42466,6201,314,6641,4000,14164,11146
2001:Q2,110002,5562,37903,22154,44126,257,110002,108983,1016,3,42466,-1876,1749,6641,4000,14164,17788
2001:Q3,161944,64338,20393,20101,56855,257,161944,160928,1013,3,42466,-948,1539,6641,4000,14164,17070
2001:Q4,93746,-18992,47473,21929,43080,256,93746,92728,1016,2,42466,-2113,-358,6641,4000,14164,20132
2002:Q1,135444,-12508,78549,21591,47549,263,135444,134423,1019,2,43702,1810,894,20500,2750,8246,9502
2002:Q2,109437,45006,-10026,20445,53749,263,109437,108413,1020,4,43702,2604,699,20500,2750,8246,8903
2002:Q3,124080,53544,-7544,22025,55794,261,124080,123063,1015,2,43702,3562,708,20500,2750,8246,7936
2002:Q4,131863,45287,20161,18836,47316,263,131863,130841,1020,2,43702,-3268,1088,20700,2750,8246,14186
2003:Q1,182924,18684,78538,21238,64097,367,182924,181788,1132,4,40092,3137,1233,1305,-3000,21178,16239
2003:Q2,122136,-3183,46733,22767,55453,366,122136,120998,1134,4,40092,1248,1674,1305,-3000,21178,17687
2003:Q3,116071,6252,24734,23060,61658,367,116071,114935,1133,3,40092,-634,76,1305,-3000,21178,21167
2003:Q4,134508,6669,44528,24814,58131,366,134508,133371,1133,4,40092,-2247,502,1306,-3000,21178,22353
2004:Q1,152278,35982,33382,22869,59394,651,152278,150034,2237,7,43976,266,-83,-550,-3250,21746,25847
2004:Q2,152966,27203,39938,23101,62073,651,152966,150723,2237,6,43976,1784,883,-550,-3250,21746,23363
2004:Q3,187926,44848,55561,25045,61822,650,187926,185683,2236,7,43976,-435,-437,-550,-3250,21746,26902
2004:Q4,160567,18426,60577,25105,55809,650,160567,158323,2238,6,43976,-870,510,500,-3250,21746,25340
2005:Q1,155282,32461,33694,24807,63344,976,155282,154200,1066,16,51605,510,15,7050,1500,21316,21214
2005:Q2,160449,34341,40175,25077,59882,974,160449,159369,1064,16,51605,866,1122,7050,1500,21316,19751
2005:Q3,134512,5461,44963,24741,58372,975,134512,133432,1065,15,51605,1580,-23,7050,1500,21316,20182
2005:Q4,156968,28803,41934,23905,61352,974,156968,155889,1063,16,51605,4448,518,7050,1500,21316,16773
2006:Q1,164713,14885,34327,24132,89700,1669,164713,159887,4794,32,61862,3249,487,3058,8500,26568,20000
2006:Q2,157903,27748,36229,24045,68213,1668,157903,153080,4790,33,61862,4494,1237,3058,8500,26568,18005
2006:Q3,140316,17738,33953,23679,63277,1669,140316,135490,4794,32,61862,7703,1185,3058,8500,26568,14848
2006:Q4,126181,5349,33677,24242,61245,1668,126181,121355,4794,32,61862,15109,1013,3058,8500,26568,7614
2007:Q1,132603,7987,35106,24286,63632,1592,132603,130362,2227,14,73337,5311,1613,12262,7000,33000,14151
