1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q2,27133208,49401,1410048,741073,523829,106920,769906,10855555,109494,6279053,982152,96186,3388670,211084,ND,636956,5450247,5409046,628483,11442,3321,255078,70819,39158,31661,19294571,6682618,50161,1206183,624853,953390,2730756,228161,2502595,227050,521848,484473,37375,218753,62892,18304,68316,227162,71143,24212,131807,12611953,6728339,5820403,63211,3258999,3312870
2016:Q3,27799158,49294,1333435,749237,530938,100113,763784,10906456,129951,6155875,1010798,97921,3511911,205336,ND,670592,5711178,5651118,677779,14196,3628,251969,180105,39456,140649,20080972,6691646,50054,1198130,608589,949300,2760130,186399,2573731,241125,514616,477525,37091,210121,68957,16817,70804,244128,87215,22087,134826,13389326,7148103,6177992,63231,2734700,2786084
2016:Q4,27753756,47476,1268367,766888,550755,93305,735784,10661134,140752,6002797,991622,96164,3429799,200805,ND,679396,5782680,5823354,694233,16950,3934,253526,175169,39754,135415,19948734,6553347,48883,1228977,530260,905384,2693223,167739,2525484,255200,510577,474584,35993,209615,75021,15330,68952,267126,109317,19963,137846,13395387,7146320,6185809,63258,2162275,2220453
2017:Q1,28862082,47918,1316467,794720,571838,86498,757614,10765439,134523,6075334,972472,97784,3485326,229391,ND,693580,6193511,6201924,728677,17637,4037,269847,182984,42349,140635,21240774,6830180,49349,1224871,619552,919470,2818914,192732,2626182,263925,519811,466798,53013,224706,80794,16220,74372,282121,119120,19798,143203,14410594,7712310,6634191,64093,1914976,1954447
2017:Q2,29737046,49138,1350914,812846,590879,79690,773259,11106342,139658,6151906,991768,102253,3720757,284528,ND,693002,6315896,6400410,795397,18323,4140,277419,184863,44943,139920,22254565,7036143,50620,1273951,689371,910647,2916931,198969,2717962,272650,528408,476392,52016,197376,86566,17109,74857,290308,122115,19632,148561,15218422,8206770,6947525,64127,1894288,1931341
2017:Q3,30697345,49912,1382863,834272,589327,86542,757914,11356291,125155,6301939,1006139,104426,3818632,290274,ND,690513,6669995,6689764,794253,19010,4243,291226,190946,47537,143409,23434983,7239492,51443,1272413,802180,885752,3008500,217050,2791450,281375,539619,486324,53295,205854,92339,17998,76746,286648,113263,19467,153918,16195491,8724834,7405893,64764,1671337,1705114
2017:Q4,31647365,50294,1419876,848459,564623,93394,779604,11341939,135424,6211279,1012181,105738,3877317,375021,ND,690472,7019413,7115858,828744,19696,4345,299562,196065,50131,145934,24284896,7418189,51864,1286917,790727,872287,3203240,236034,2967206,290100,543694,487321,56373,181213,98110,18887,77075,294176,115601,19300,159275,16866707,9118138,7683805,64764,1523171,1560816
2018:Q1,31567566,51344,1368027,876344,591240,100245,751420,11294588,150047,6223434,1031911,103558,3785638,407410,ND,665950,7055819,7042226,824862,17384,7099,314048,199560,52409,147151,24081847,7586783,52979,1257300,838399,862730,3278081,273986,3004095,302325,550074,491836,58238,232587,90223,33556,77519,313336,134674,18934,159728,16495064,9140032,7290268,64764,1462535,1522631
2018:Q2,31999713,49674,1295850,898372,609647,107097,714560,11188697,142736,6225015,1048457,103254,3669235,695951,408861,620122,7184948,7237920,852295,15071,9853,322686,196970,54686,142284,23575877,7499364,51288,1129451,869677,869756,3256243,292564,2963679,314550,556781,505122,51659,236344,82336,48231,78762,320496,141746,18568,160182,16076513,8845101,7165370,66042,1454663,1525923
2018:Q3,32941093,49274,1264213,920494,607537,108885,631763,11208142,137540,6225896,1051954,103207,3689545,734815,438793,619002,7575650,7807010,844559,12759,12606,329325,215059,56963,158096,23787775,7521312,50918,1125822,866675,839593,3301814,318343,2983471,326775,576277,526270,50007,232630,74448,62916,77111,313109,134274,18201,160634,16266463,8980931,7219440,66092,1380607,1447261
2018:Q4,31085507,49117,1346778,927992,601858,110674,730464,11186039,124727,6270130,1087036,101555,3602591,778895,459125,601341,6629533,6745536,799015,10446,15360,332714,219745,59240,160505,21858533,7753808,50803,1157906,862309,989552,3309409,310386,2999023,339000,596120,545513,50607,231652,66560,77515,79418,332564,153643,17834,161087,14104725,7899563,6139070,66092,1407548,1449590
2019:Q1,33249812,49027,1329486,930264,598888,112462,848978,11573020,116436,6473999,1117562,104874,3760149,817975,483210,582051,7243390,7660183,908971,10516,15518,342035,227048,59743,167305,23481575,7883658,50766,1222311,784247,1173960,3342575,311272,3031303,349850,605363,546613,58750,122975,67008,78383,77730,358340,177852,18032,162456,15597917,8687158,6844667,66092,1464484,1500077
2019:Q2,34115088,49096,1294821,950737,609530,114250,804041,11821425,115666,6625860,1152055,106987,3820857,820228,501410,580534,7621167,7974772,874924,10587,15676,342351,230949,60247,170702,24049344,8024022,50898,1213350,765791,1148378,3482386,321048,3161338,360700,645929,588809,57120,122757,67455,79194,77056,370829,188775,18230,163824,16025322,8894576,7063305,67441,1756399,1772165
2019:Q3,34802397,48146,1306025,969462,604697,116179,823562,12328436,137114,6960290,1205525,109302,3916205,832468,502734,575107,7659531,8075327,870664,10657,15834,343212,223090,60750,162340,23991436,8213131,49976,1211447,791947,1298165,3519969,295773,3224196,371550,677637,620463,57174,70590,67903,79980,81777,363741,180120,18428,165193,15778305,8722334,6988512,67459,2047868,2078260
2019:Q4,36300725,48835,1373271,987016,599843,118109,814502,12368484,130213,6917822,1230694,110302,3979453,856818,522617,568167,8278548,8790514,899584,10727,15992,349091,221224,61253,159971,25294181,8262744,50749,1268158,807310,1223760,3570451,291405,3279046,382400,690288,632646,57642,86822,68349,80810,81639,334408,149222,18625,166561,17031437,9478014,7485964,67459,1770251,1790402
2020:Q1,33762237,48199,1746781,1059826,712826,120038,924628,12360564,99902,7059898,1323964,107906,3768894,923284,532621,551608,6852288,7018103,799809,8444,12585,367054,256200,60722,195478,21963817,8704422,50136,1645924,981113,1325719,3283901,264240,3019661,389350,778868,715911,62957,44540,72221,92411,78619,350970,165150,20077,165743,13259395,7442650,5747988,68757,2964959,2999008
2020:Q2,37025285,48584,1560355,1073435,685970,121967,854476,12955107,107884,7199344,1292944,114138,4240797,912561,557207,535604,8290190,8428289,908583,6161,9180,386348,248475,60193,188282,24035503,8605860,50556,1514912,855527,1231270,3536256,273414,3262842,396300,741258,685734,55524,69619,76094,104253,75440,350676,164220,21530,164926,15429643,8574871,6786005,68767,2728570,2750789
2020:Q3,38715863,49709,1484862,1106694,685775,129463,860055,13028172,89737,7253228,1249656,115474,4320077,907674,561209,533852,9154869,9162839,951188,3878,5773,405943,245117,59662,185455,24876317,8489683,51733,1303055,920496,1205837,3620946,268072,3352874,403250,736148,685045,51103,44209,79964,116026,75893,335377,148289,22981,164107,16386634,9142675,7174977,68982,2518221,2545162
2020:Q4,41631270,50864,1462228,1143082,665097,136960,898643,13254246,86304,7291566,1276402,118252,4481722,890697,566038,497780,10673362,10262872,1024306,1594,2366,429960,237213,59131,178082,27631165,8753061,52942,1342301,890768,1279249,3768278,217702,3550576,410200,754832,698973,55859,40735,83837,127802,81616,330702,142980,24433,163289,18878104,10615016,8193782,69306,2552650,2545955
2021:Q1,42998640,50050,1443788,1168099,688811,144456,965069,13107348,101427,7295920,1253526,118761,4337714,896793,577102,505382,11409010,10865701,1068421,1238,1959,450138,232377,60625,171752,28742252,8906014,52102,1421942,921819,1149605,3899013,365657,3533356,449325,772949,716619,56330,34314,89021,138396,85834,341020,148684,24991,167345,19836238,11098240,8667523,70475,2125811,2158913
2021:Q2,45390005,50375,1397441,1181812,689981,151952,1008453,13457834,92801,7518880,1268029,119726,4458398,914820,595779,470731,12336038,11807304,1223802,883,1553,468503,228523,62118,166405,30070633,8915869,52445,1380008,917959,1107102,4057730,436381,3621349,488450,696756,640098,56658,28705,94202,148994,83170,348798,151846,25550,171402,21154764,11810521,9273768,70475,2061385,2100803
