1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,98340,51437,-5559,53671,49229,4817,44412,5235,-793,-59230,24404,1940,-400,-92,0,0,11920,136,11668,200,-84,0,585,12,573,-40,0,-872,20,0,6243,5100,83634,79219,4712,-296,0,5008,10948,2656,1572,6720,-188,6712,1040,55995,4415,1616,-536,3335,56996
1959:Q1,101366,53053,7555,54125,51042,5146,45896,3876,-793,-46570,9150,-1636,-400,-24,0,0,5840,688,4752,400,0,0,1887,-52,1939,84,0,2060,24,0,6625,-5310,55720,56232,2156,-212,0,2368,8364,1952,2112,4300,108,9160,4280,32164,-511,2044,408,-2963,45498
1959:Q2,106334,55462,-14634,59310,52822,5310,47512,7288,-800,-73944,15945,-2548,-400,-24,0,0,4692,392,3296,800,204,0,55,-48,103,124,0,2960,20,0,7833,3233,89889,94210,2852,-596,0,3448,17492,9232,2160,6100,128,8684,7936,57118,-4321,2952,496,-7769,70096
1959:Q3,99748,52953,85497,53177,54173,5156,49017,384,-1380,32320,16111,-4040,-400,32,0,0,9732,-1280,8828,400,1784,0,103,-164,267,76,0,1920,64,0,3141,5483,-16209,-10753,2184,-88,0,2272,11088,4716,1176,5196,96,880,-2100,-22901,-5456,1040,376,-6872,-32544
1959:Q4,98375,53794,-36210,56743,54006,5002,49004,4120,-1383,-92953,10626,-1720,-400,-52,0,0,5724,2328,5240,800,-2644,0,4171,0,4171,-88,0,-2084,40,0,13,5022,103579,102568,3752,-476,0,4228,10712,2812,1952,5948,-136,796,-1620,89064,1011,2276,-636,-629,90004
1960:Q1,102404,55376,131084,66312,55596,5034,50562,11200,-484,64772,3179,-2028,-928,-44,0,0,-4440,-520,-6540,0,2620,0,-2980,4,-2984,88,0,2092,48,0,13920,-2549,-61593,-62973,1852,164,0,1688,13056,5892,3960,3204,76,11988,-468,-89477,1380,1404,300,-324,-75708
1960:Q2,98920,53768,856,58576,56068,4749,51319,3224,-716,-57720,-6806,-980,-724,76,0,0,-7608,-144,-6956,572,-1080,0,676,4,672,52,0,952,24,0,724,2,50914,51193,4332,768,0,3564,11584,3740,2544,5300,40,3096,-380,32521,-279,1476,176,-1931,52912
1960:Q3,97080,53856,163032,58745,55163,4801,50362,4320,-738,104287,9994,404,1036,204,0,0,-6436,-96,-7204,-612,1476,0,-948,4,-952,48,0,1516,68,0,7372,6730,-94293,-95075,3620,492,0,3128,6484,376,696,5412,76,3928,-4128,-105055,782,1600,212,-1030,-109176
1960:Q4,94963,52825,-128542,48598,55080,5031,50049,-5812,-670,-177140,3397,-3928,6616,-224,0,0,-2792,944,-2776,-296,-664,0,392,0,392,248,0,6284,28,0,-1036,-2191,180537,180370,5700,392,0,5308,8264,900,2244,5120,8,-5344,-1384,173126,168,980,92,-904,181367
1961:Q1,95013,51930,-141443,51398,54545,5353,49192,-2548,-599,-192841,269,1748,1088,164,0,0,-2660,-1424,-2108,-720,1592,0,-2703,8,-2711,116,0,2740,32,0,6663,-6919,193110,195514,560,-884,0,1444,8996,4112,-724,5608,60,6784,-2264,181378,-2404,2680,248,-5332,193373
1961:Q2,98806,55160,53034,56877,55871,5704,50167,1792,-786,-3843,20092,1432,2364,96,0,0,-1168,-8,-2356,1188,8,0,325,8,317,104,0,2324,8,0,10727,3880,23935,18150,8580,768,0,7812,4824,-2076,-164,7064,92,4840,1108,-1294,5785,4672,324,789,2126
1961:Q3,102351,56678,9380,62636,56827,6290,50537,6656,-847,-53256,17263,1104,2972,100,0,0,-4648,-952,-5392,60,1636,0,773,8,765,120,0,3128,64,0,9627,4023,70519,68390,3436,608,0,2828,10628,1776,1428,7424,44,5960,1124,47198,2129,1532,144,453,47298
1961:Q4,107808,59035,7526,64081,58745,6737,52008,5996,-660,-56555,18348,8520,-2024,-8,0,0,3636,3588,3232,0,-3184,0,1329,12,1317,56,0,1488,28,0,5951,-628,74903,70690,6304,808,0,5496,13024,2328,2176,8520,-100,1468,2516,47478,4214,-400,280,4334,51509
1962:Q1,107375,61295,46094,68617,60027,7074,52953,9408,-818,-22523,4961,-5320,5180,-8,0,0,1892,-2476,484,-40,3924,0,279,20,259,68,0,1812,32,124,6761,-5859,27484,25715,3148,-156,0,3304,9776,2692,480,6604,32,8380,2452,1927,1769,244,144,1381,15201
1962:Q2,106250,61265,54237,66409,61915,7489,54426,5444,-950,-12172,8232,1620,636,128,0,0,-4960,1108,-4624,-216,-1228,0,2075,24,2051,108,0,2240,20,296,3381,2688,20404,20351,6452,276,0,6176,14088,5264,288,8536,76,1756,2412,-4433,54,576,264,-786,7028
1962:Q3,107797,62488,57852,68156,62766,7640,55126,6188,-798,-10304,18845,5864,-2604,-76,0,0,-3988,1232,-5664,496,-52,0,735,24,711,96,0,2592,68,196,9621,6341,29149,28506,2772,464,0,2308,14472,5320,984,8168,48,10296,1780,-862,643,256,144,243,4636
1962:Q4,109201,65461,74002,65282,62713,7727,54986,3364,-795,8720,15446,12120,388,-544,0,0,2076,996,2648,-132,-1436,0,827,16,811,148,0,3728,24,80,-3455,54,6726,5247,4172,-168,0,4340,17376,5744,1608,10024,196,-9144,-2320,-5033,1479,400,324,755,-8541
1963:Q1,109607,66166,34761,69567,63363,8053,55310,6868,-664,-34806,-1804,-18464,1376,152,0,0,16272,-1264,16240,-1380,2676,0,815,8,807,140,-604,3508,20,44,9085,-14148,33002,30733,3584,-160,0,3744,11972,2596,2448,6928,52,11692,424,3009,2269,-20,188,2101,31405
1963:Q2,113446,67927,60252,69651,65778,8659,57119,4836,-963,-9399,14436,2064,-736,484,0,0,-1712,-388,-4460,1536,1600,0,939,0,939,132,-628,3200,-4,-8,6189,4516,23835,23014,3952,-512,0,4464,14872,3448,944,10480,116,4560,2980,-3466,821,-44,404,461,7675
1963:Q3,115593,68995,60175,72347,67600,8825,58775,5716,-969,-12172,17658,3320,-172,-260,0,0,-596,-1556,-2600,340,3220,0,1743,0,1743,100,-648,2636,76,-4,5321,6142,29830,27020,1904,-216,0,2120,15472,4392,1372,9708,96,7164,1644,740,2810,384,360,2066,8820
1963:Q4,118366,69757,66471,74202,69714,9267,60447,5064,-576,-7731,17610,8552,2280,-1212,0,0,1672,1868,2104,836,-3136,0,1299,16,1283,140,-680,3388,20,32,2633,-514,25341,23792,4724,-32,0,4756,21176,7888,2960,10328,-144,484,508,-2956,1549,-1684,-140,3373,3286
1964:Q1,121291,73561,46530,75547,71439,9883,61556,5124,-1016,-29017,-1237,-9136,4148,544,0,272,4220,1124,4080,-1132,148,0,2283,20,2263,116,-436,2972,24,-4,5381,-11621,27780,22342,2364,-344,0,2708,13936,2860,3844,7232,72,2464,632,2874,5438,2548,276,2614,27031
1964:Q2,122234,73763,61423,75990,72764,9593,63171,4456,-1230,-14567,15998,4056,-1088,368,0,404,-2396,-976,-3632,156,2056,0,-597,28,-625,152,-448,3528,8,44,7629,4338,30565,27078,5224,140,0,5084,17932,4848,2748,10336,92,6368,1476,-4014,3487,3128,324,35,12340
1964:Q3,124288,74434,65554,77997,74571,9409,65162,4692,-1266,-12443,24717,3328,-572,224,0,-136,-3028,3360,-3352,-848,-2188,0,1863,28,1835,136,-464,3732,84,20,14681,4849,37160,35294,2772,-12,0,2784,20252,6900,2580,10772,48,10612,420,1190,1866,748,136,982,8880
1964:Q4,124697,74621,63068,80952,76100,9256,66844,5016,-164,-17884,15645,456,1448,-724,0,696,-1344,-608,316,-608,-444,0,1195,20,1175,152,-464,3472,32,88,7057,3581,33529,29952,6244,844,0,5400,20088,7652,1120,11316,-44,6168,-660,-1844,3576,-1844,292,5128,11553
1965:Q1,133409,80930,47860,90933,80280,9039,71241,11544,-891,-43073,10349,-3072,4132,-256,0,-116,444,-3148,-1556,312,4836,0,2671,8,2663,244,44,6148,40,48,11317,-11295,53422,50086,2220,-1516,0,3736,26544,15544,3244,7756,148,15528,2236,3410,3336,-224,544,3016,33070
1965:Q2,137092,82263,71669,91181,83066,8926,74140,8568,-453,-19512,21715,-1404,3588,-844,0,-328,-5828,-928,-7088,-76,2264,0,-545,0,-545,216,44,5132,92,108,12781,8703,41227,38437,6212,-184,0,6396,23648,10104,3032,10512,4,9684,1556,-2667,2790,1320,-32,1502,10594
1965:Q3,139317,82998,66172,94574,86098,8851,77247,9292,-816,-28402,21753,-1736,2444,280,0,552,-808,1452,-1964,780,-1076,0,1359,0,1359,144,48,3928,64,8,14957,513,50155,46395,6796,24,0,6772,22536,10920,1592,10024,132,11516,1488,3927,3760,52,484,3224,16826
1965:Q4,145029,85670,98071,96580,89924,8911,81013,7584,-928,1491,53194,7872,-876,-428,0,1028,1796,1328,2876,-64,-2344,0,1355,8,1347,180,48,3180,40,40,13321,25638,51703,46085,2868,364,0,2504,27344,13216,3920,10208,84,8844,3052,3893,5618,-1260,520,6358,-12401
1966:Q1,150905,88814,63639,106282,93738,9067,84671,13872,-1328,-42643,12711,-9612,3572,412,0,-324,3112,3688,1640,-88,-2128,0,2203,20,2183,152,4092,4072,80,100,13437,-8585,55354,54506,11236,-616,0,11852,26972,11712,4592,10668,108,10276,3124,2790,848,-528,432,944,25175
1966:Q2,149258,89741,79143,107197,95744,8657,87087,12316,-863,-28054,22793,-2308,-712,132,0,-292,-5144,736,-6512,664,-32,0,-1013,28,-1041,228,3884,5024,88,136,17057,5713,50847,43328,10780,512,0,10268,31300,16556,2240,12504,84,6776,-5380,-232,7519,6032,272,1215,10598
1966:Q3,148339,90071,77837,107645,96847,8285,88562,11852,-1054,-29808,25532,-2212,264,60,0,168,-3328,-1788,-2224,-1100,1784,0,-513,32,-545,184,3512,4824,88,268,15829,6388,55340,49228,11360,1628,0,9732,20648,11392,-500,9756,-24,10960,976,5308,6113,1068,-168,5213,12234
1966:Q4,147659,93669,81399,112707,96798,7468,89330,16504,-595,-31308,9153,11364,-4684,-188,0,1656,624,3292,1120,-320,-3468,0,-97,24,-121,240,3684,5968,56,60,5425,-14955,40461,35951,10780,1776,0,9004,14904,3636,3844,7424,268,3648,-2240,8591,4510,-1536,504,5542,12270
1967:Q1,144981,92311,52577,110356,95301,7117,88184,15423,-368,-57779,-12430,-1140,3812,264,0,-1308,-2492,2056,-2436,-936,-1176,0,2551,4,2547,204,-1236,4296,56,0,2293,-19730,45349,37317,15784,3212,0,12572,17600,8472,2524,6604,160,-1208,1348,3633,8032,1008,628,6396,39734
1967:Q2,144478,91920,78193,102710,96159,7828,88331,6341,210,-24517,3201,1380,-3116,-432,0,396,-10636,32,-10148,-428,-92,0,-1585,-8,-1577,128,-1240,3472,104,172,7333,7225,27718,26541,17140,2664,0,14476,20100,9908,-596,10788,180,4880,-16128,369,1177,1920,648,-1391,13727
1967:Q3,147397,93489,78146,104949,96967,8324,88643,9263,-1281,-26803,24696,6932,1288,-64,0,-248,-964,2192,-2284,-8,-864,0,-237,-8,-229,184,-1324,4984,64,108,11033,2940,51499,48675,17296,-740,0,18036,15524,3924,936,10664,120,9348,-1400,7787,2824,2944,416,-536,15343
1967:Q4,151207,97083,95677,109822,100315,9170,91145,8433,1074,-14145,46972,3484,2332,568,0,260,7688,120,5508,1284,776,0,-65,4,-69,196,-1320,4712,72,216,14785,14044,61117,58772,14060,512,0,13548,13072,9356,2380,1336,44,10308,-576,21864,2345,3716,564,-1935,1406
1968:Q1,155172,93902,61132,114333,104131,9723,94408,8438,1764,-53201,22114,4404,-1228,1208,0,1732,9048,-1172,5544,716,3960,0,3412,356,3056,168,3260,3456,76,504,4080,-8006,75315,62301,10908,500,0,10408,29492,6512,4128,18852,296,3252,21884,-3531,13014,1460,1132,10422,32770
1968:Q2,158258,97701,84330,119063,104424,10398,94026,14082,557,-34733,19774,828,-4984,1568,0,-144,-3224,3468,-5092,596,-2196,0,-1084,520,-1604,204,3596,4184,164,-52,20888,-2170,54507,51004,14308,196,0,14112,29660,12664,5032,11964,116,18780,-12164,304,3504,2120,388,996,13371
1968:Q3,160263,99149,72194,115265,107016,11008,96008,7681,568,-43071,27721,2032,1640,332,0,-184,-2824,2004,-2792,124,-2160,0,-1528,336,-1864,248,3708,5716,64,128,21836,-3447,70792,71743,18412,5208,0,13204,23052,10168,908,11976,96,22652,-4452,11983,-951,-1904,368,585,26955
1968:Q4,163132,101311,102489,117457,111999,11946,100053,6007,-549,-14968,58120,4212,2068,-980,0,400,7412,288,4520,280,2324,0,1460,668,792,168,3752,5768,252,132,21828,11648,73088,75478,12804,-1044,0,13848,34552,17960,2952,13640,80,12856,-848,16034,-2390,-2312,624,-702,-1178
1969:Q1,162255,101286,75268,127635,116441,12977,103464,11489,-295,-52367,37034,7496,-5456,1076,0,4324,6316,3740,1960,1344,-728,0,4804,384,4420,244,7948,5620,96,224,18684,-14342,89401,81788,14820,1072,0,13748,29900,14988,4524,10388,256,17096,9220,10496,7613,1348,1008,5257,26018
1969:Q2,160994,101171,85268,127828,119013,13409,105604,9222,-407,-42560,37679,8632,-12396,-188,0,-1024,-4768,2708,-5600,-676,-1200,0,-1220,1104,-2324,280,7652,5996,168,100,26024,8423,80239,81285,13888,700,0,13188,43268,16080,14776,12412,184,21372,-6752,9325,-1046,1684,656,-3386,15903
1969:Q3,158486,101395,82528,132742,122885,13652,109233,10194,-337,-50214,40562,4684,-4272,-764,0,3688,-7912,1668,-8452,-128,-1000,0,-24,920,-944,256,7292,5544,128,-76,27788,4230,90776,88335,13664,2568,0,11096,36552,8312,16724,11516,204,23628,-3012,17299,2441,3960,764,-2283,18867
1969:Q4,155703,98137,88615,128710,123212,13177,110035,5787,-289,-40095,46534,1868,508,-1780,0,1772,1068,2000,-360,428,-1000,0,624,1412,-788,108,7208,4248,140,-28,20616,10182,86629,79361,10256,88,0,10168,33444,11280,7300,14864,512,18540,-6264,22873,7268,6632,1224,-588,9522
1970:Q1,148140,96757,68669,125565,123869,13349,110520,1823,-127,-56896,27578,460,3584,-4,0,1804,-408,2256,-1364,-800,-500,0,139,444,-305,328,3956,7068,-844,-84,10781,798,84474,63902,16872,3940,0,12932,24960,-1052,13552,12460,496,12280,-3576,12870,20573,5268,1932,13373,28088
1970:Q2,147211,102610,95125,129795,124634,13118,111516,5081,80,-34670,45256,-2824,5452,192,0,-10012,6600,1620,3440,40,1500,0,255,1128,-873,396,3208,7724,76,556,7625,26008,79926,78467,22888,-332,0,23220,37684,8792,10520,18372,188,12728,-2600,7579,1460,4780,680,-4000,7485
1970:Q3,149672,102480,67455,130909,125967,13528,112439,5083,-141,-63454,3177,188,1656,-316,0,-4784,-1484,500,3804,-1288,-4500,0,5107,1160,3947,244,3716,6144,28,-364,3301,-10259,66631,67903,21904,464,0,21440,25948,12632,-8104,21420,300,5592,-2224,16383,-1272,4456,1156,-6884,35025
1970:Q4,145499,100290,95257,120892,124632,14916,109716,-3984,244,-25635,23221,6360,1688,-1372,0,684,1316,2668,-2532,180,1000,0,2007,1768,239,156,4064,6424,104,-196,6117,-4131,48856,45348,26064,3036,0,23028,17368,5740,-8056,19684,212,-1824,-2128,5656,3508,8332,732,-5556,5033
1971:Q1,156625,111166,69366,141917,127674,15913,111761,12254,1989,-72551,31517,-5900,10388,1136,0,4336,980,2612,-1992,-640,1000,0,10045,1868,8177,-220,240,-6932,72,-268,5799,11841,104068,89934,24404,2176,0,22228,24012,3080,5016,15916,168,21036,2120,18194,14134,7960,668,5506,41800
1971:Q2,161565,113745,94162,142230,131914,17669,114245,10875,-559,-48068,42247,5368,6720,80,0,-5248,5984,-316,5780,-480,1000,0,2157,2284,-127,352,236,6876,84,44,11907,7687,90315,76865,16784,-5724,80,22428,44052,8892,6080,29080,132,5300,6260,4337,13451,13284,488,-321,19583
1971:Q3,165666,117772,101707,143869,134306,18838,115468,10188,-625,-42162,60033,-4332,3364,548,0,4228,736,3280,-3436,-108,1000,0,3913,2440,1473,344,232,8300,24,100,16511,26065,102195,83702,14752,552,132,14068,41960,13720,2600,25640,-264,9712,4240,13302,18493,15356,-984,4121,16065
1971:Q4,171279,123450,124136,137545,138402,20063,118339,-295,-562,-13409,66183,-500,2576,-20,0,56,14548,1968,11544,36,1000,0,3197,2580,617,88,244,4596,152,-76,21431,19891,79592,73479,17404,-548,132,17820,28304,3084,-1424,26644,36,19268,3888,4579,6113,9184,916,-3987,-686
1972:Q1,177228,127361,78291,147961,145377,22036,123341,3227,-643,-69670,51780,4216,10524,748,0,5952,-1840,4712,-7200,-352,1000,0,-346,2632,-2978,-472,-2192,-13928,40,-40,24254,24864,121450,109930,16736,5048,160,11528,49104,15400,6020,27684,-184,29576,2064,12634,11521,9036,-724,3209,49070
1972:Q2,180408,130269,122642,160267,148904,22674,126230,11998,-635,-37625,48940,836,3936,820,0,2184,-244,6644,-7828,-60,1000,0,4442,2688,1754,248,-2192,4980,144,60,10022,23704,86565,81994,19164,2844,668,15652,53644,11988,1528,40128,200,9968,5456,-6438,4571,13688,772,-9889,7627
1972:Q3,190076,135516,121923,165604,151907,23022,128885,13715,-18,-43681,61439,7928,-3932,776,0,-4032,1056,676,-1288,668,1000,0,4846,2848,1998,308,-2260,8688,28,60,21082,26891,105120,95261,9996,-3004,692,12308,56440,16664,3640,36136,316,26520,1668,321,9859,10416,1196,-1753,13593
1972:Q4,209899,139662,191993,170104,160004,24066,135938,7491,2609,21889,147981,-2480,5396,1408,0,2340,9464,-192,8412,244,1000,0,5238,3604,1634,276,-2412,5520,196,-84,52846,70273,126092,127699,9108,-2004,672,10440,76332,22676,9076,44580,208,31092,6360,4599,-1607,10956,1784,-14347,-52331
1973:Q1,221281,145239,114802,182787,167396,24364,143032,10550,4841,-67985,94244,-1372,16396,2200,0,15304,-5908,-3548,-3604,244,1000,0,-3954,2488,-6442,-2472,16052,-61144,116,392,42878,75756,162229,162235,2560,-5008,1284,6284,104688,58032,17244,29412,796,40660,4952,8579,-6,6908,3088,-10002,30437
1973:Q2,228338,144397,117026,192667,173704,23122,150582,18206,757,-75641,92330,776,10804,1132,0,-676,2456,3960,-4640,636,2500,0,6470,3848,2622,420,15008,9468,260,344,35154,10714,167971,154314,15948,1060,2140,12748,92676,34188,8968,49520,976,44932,7136,-7354,13657,8572,3740,1345,27371
1973:Q3,229765,150239,110863,192023,177862,22502,155360,9761,4400,-81160,78347,4200,-824,-1104,0,12624,-10808,364,-11284,1612,-1500,0,2742,3544,-802,284,15608,7436,224,-184,42814,5335,159507,134940,12708,-40,1956,10792,88772,32728,13976,42068,412,26828,2516,3704,24567,5256,1592,17719,39376
1973:Q4,245532,152723,165725,206367,180153,21713,158440,24993,1221,-40642,133673,4148,-992,2400,0,7044,3008,1788,2264,1504,-2548,0,2886,1460,1426,436,14040,9460,120,388,51906,38829,174315,138306,20000,9644,1804,8552,53028,18020,5408,29600,-128,53232,6516,5658,36009,10572,292,25145,-13002
1974:Q1,241583,152216,107034,197952,182094,20855,161239,12519,3339,-90918,72643,368,10760,1600,0,4840,3008,5696,-5992,1180,2124,0,5064,1716,3348,-172,28164,-4468,96,212,44924,-21753,163561,172641,19064,2192,1644,15228,80620,40968,11816,27836,1520,40112,8368,22957,-9079,6204,5860,-21143,45182
1974:Q2,240362,152934,136163,216948,186025,20085,165940,17416,13507,-80785,82525,1616,3432,-800,0,-9704,2160,-1060,2156,1108,-44,0,2264,392,1872,288,25772,5780,440,344,57704,-6771,163310,185421,26428,3164,1696,21568,90640,46056,9580,35004,452,45976,12076,9849,-22111,4832,1740,-28683,16771
1974:Q3,253497,147693,200719,194920,189999,19126,170873,5578,-657,5799,135347,9996,828,-1600,0,-5664,10920,6884,2004,1892,140,0,-1168,740,-1908,648,19044,15732,208,872,21676,63855,129548,158891,27380,9396,1324,16660,67604,32472,16484,18648,1332,27856,11192,23527,-29342,-128,5148,-34362,-53026
1974:Q4,239830,154595,139640,214686,189480,15935,173545,20446,4760,-75046,-3948,-7008,6628,0,0,-12580,12176,4984,7456,-508,244,0,-264,-16,-248,468,20548,13412,216,-188,17536,-54892,71098,93695,29424,1772,1928,25724,44624,13564,15052,16008,696,4060,4032,10859,-22597,5156,2152,-29905,14955
1975:Q1,219832,167616,137711,173883,183593,13964,169629,-10028,318,-36172,5455,28964,-2440,76,0,1980,6468,5612,-1492,788,1560,0,-4403,-6688,2285,592,-8800,14196,168,-384,9855,-40817,41627,48695,42760,4104,1720,36936,-1984,-19568,3560,14024,92,-13812,-11388,33027,-7068,7796,344,-15208,29905
1975:Q2,230319,181430,123019,169315,183115,13353,169762,-13954,154,-46296,21063,6988,9136,-1724,0,-2636,13964,4940,6532,-1776,4268,0,-4851,-3648,-1203,608,-10048,13968,136,-308,8423,-12593,67359,68979,26012,-9528,3244,32296,6652,-22272,6688,22236,632,-2680,144,38219,-1620,12916,2424,-16960,58411
1975:Q3,262873,196123,127920,185579,187165,13384,173781,-1388,-198,-57659,35904,5248,9612,84,0,76,-648,2800,4344,-284,-7508,0,-6651,-4144,-2507,176,-8852,4344,140,504,38439,-6568,93563,98134,16144,-180,2404,13920,17564,-9256,10140,16680,-12,48020,2768,13650,-4571,6772,-68,-11275,68203
1975:Q4,272365,205307,149323,191967,191962,13641,178321,348,-343,-42644,29922,3124,-428,3448,0,1504,19024,1784,20412,-880,-2292,0,1021,-2488,3509,612,-9520,16788,664,-108,36579,-42786,72566,66081,19556,-5984,3032,22508,10984,-7436,6276,12144,1084,12044,3808,18605,6486,12180,4212,-9906,55984
1976:Q1,289083,212501,191027,214218,199111,14849,184262,14693,414,-23191,115144,12840,3732,2240,0,7672,18996,2868,19880,-704,-3048,0,4490,-224,4714,568,-5052,13480,252,-268,29086,27108,138335,143697,29400,2680,1228,25492,35124,-10716,22872,22968,1124,8124,7208,62717,-5361,12656,4324,-22341,21474
1976:Q2,291477,212398,199538,229855,204822,15564,189258,22448,2585,-30317,117280,2704,6452,464,0,-7112,4180,2128,4728,-236,-2440,0,-1006,28,-1034,296,-5124,6024,248,40,43110,67004,147597,143940,24744,2832,2008,19904,43852,4340,12432,27080,736,31556,8980,34072,3657,14028,2820,-13191,12860
1976:Q3,296117,215508,144286,236463,211716,15557,196159,20807,3940,-92177,86405,7312,-1772,-2356,0,2528,-3084,2136,-7216,-44,2040,0,-2622,608,-3230,444,-5172,11120,152,136,27010,52709,178582,178413,21816,-4380,3492,22704,54612,7960,17916,28736,664,35028,4920,61373,168,7344,2544,-9720,71222
1976:Q4,296729,217284,141220,232114,220607,17495,203112,10518,989,-90894,24703,3712,15808,2920,0,-2008,14508,1428,12704,-600,976,0,9086,1132,7954,856,-5280,7908,536,-36,30006,-53313,115597,115866,30456,4600,3212,22644,50960,5248,18696,27016,772,12532,5616,15530,-269,8192,1324,-9785,76064
1977:Q1,311647,225181,193300,247425,233111,18213,214898,14822,-508,-54125,110566,-4260,-1468,1832,124,968,2384,-824,4020,-316,-496,0,1104,3256,-2152,236,13000,5196,324,172,45356,45598,164691,193002,27120,732,4884,21504,80208,27804,23076,29328,640,48996,-1580,37618,-28311,-628,2444,-30127,31881
1977:Q2,325817,242858,216042,265171,245124,20752,224372,19469,578,-49129,86324,10184,7500,3388,172,588,-19228,-1244,-18724,-428,1168,0,6676,3560,3116,540,13272,12380,220,-372,35548,15456,135453,142066,24396,1116,8604,14676,82956,20736,18112,44108,672,33708,-1252,1586,-6612,1736,2604,-10952,26816
1977:Q3,333784,257464,212394,288557,254567,21626,232941,30884,3106,-76163,134767,8932,5380,680,224,1276,-740,-1368,-832,-1228,2688,0,3444,4256,-812,328,12748,8368,80,-144,42524,51667,210930,206284,31532,560,6536,24436,76708,18492,14304,43912,728,32356,5128,59832,4646,4428,2780,-2562,45070
1977:Q4,349110,254147,214609,291811,266631,22404,244227,24121,1059,-77202,170364,10872,25828,3088,280,-208,-3492,-1048,-840,1188,-2792,0,6212,4856,1356,292,12560,10872,540,-172,68904,34788,247566,232825,41420,4148,6656,30616,96484,21384,25364,49736,848,26804,7424,59845,14741,5420,1584,7737,39538
1978:Q1,345919,258299,227964,298475,273512,23575,249937,25453,-490,-70511,163357,-12416,648,5644,220,1044,-3732,3280,-4972,900,-2940,0,6531,3788,2743,624,-424,16536,344,-100,31145,117293,233868,251527,22044,-696,5300,17440,119136,55216,26884,37036,1040,29396,2964,76947,-17659,-6440,4004,-15223,30335
1978:Q2,385697,277071,215847,326967,299947,26140,273807,24257,2763,-111120,98581,12800,3872,1412,52,-416,596,-1408,-3016,1844,3176,0,7035,4036,2999,544,-452,12388,480,-432,83581,-22879,209701,219838,33916,-236,8544,25608,106884,30948,24856,51080,1744,52748,2448,22098,-10137,2780,6724,-19641,61224
1978:Q3,391211,286103,236457,339555,316083,28213,287870,24966,-1494,-103098,138681,12844,-592,-3972,324,-936,-5348,-676,-4544,-2316,2188,0,3723,4620,-897,-980,-488,8656,400,-328,77253,48125,241779,246896,30776,1356,8716,20704,93176,18388,26016,48772,2012,38208,5176,77548,-5116,832,7728,-13676,49646
1978:Q4,405820,297768,261100,361511,332976,30432,302544,28487,48,-100411,221680,25056,20556,7440,1044,1884,7484,-708,9676,-24,-1460,0,6807,5260,1547,764,-456,16252,368,156,75685,58640,322091,330125,38528,10340,8096,20092,105676,34988,27836,42852,1536,57140,13416,113829,-8034,2408,4092,-14534,36668
1979:Q1,415687,298949,258860,374547,348600,32203,316397,23852,2095,-115687,205881,5404,-2708,16828,1672,3700,-1432,-2720,-2172,2364,1096,0,11147,6608,4539,1760,1936,18772,272,168,68217,80145,321568,333152,29500,2808,9300,17392,118940,51436,26552,40952,1012,49568,11440,122692,-11584,-6680,3900,-8804,40089
1979:Q2,416728,306583,287035,384350,357155,34082,323073,27401,-206,-97315,148110,-3500,-2332,-5004,2212,-1940,12716,964,12548,264,-1060,0,10755,6420,4335,2080,1960,25460,532,412,77421,27338,245425,291231,37948,7448,9260,21240,142236,44784,35492,61960,2272,70532,5524,32719,-45806,-12408,8756,-42154,19548
1979:Q3,417128,312989,271516,389141,374750,35505,339245,12131,2260,-117625,238928,7500,20388,-5984,2660,-1056,-24860,-3076,-15876,-3440,-2468,0,3835,5916,-2081,2968,2084,25236,380,380,97009,108388,356553,386195,37220,11524,10576,15120,132052,51324,21544,59184,2300,84404,10776,119443,-29642,-7524,8840,-30958,41473
1979:Q4,408736,317297,256460,394737,380797,35055,345742,8553,5387,-138277,170806,26364,16568,1212,3016,1724,1460,5128,-2408,-3080,1820,0,3615,5508,-1893,3348,2056,17956,904,440,63393,28750,309083,341981,40484,14296,10812,15376,101148,38616,33860,28672,2840,50764,11360,135385,-32898,-4580,8440,-36758,60837
1980:Q1,408231,311439,201171,400905,388852,32853,355999,9899,2154,-199734,156038,6560,-5592,-3624,3028,-3128,18632,2440,2632,532,13028,0,4865,7560,-2695,3840,6840,17220,624,864,67207,38702,355772,395394,45336,13028,8476,23832,115588,38008,33100,44480,2160,37852,12476,181982,-39622,5472,8300,-53394,110268
