1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q3,262077,47787,117554,-8920,317061,53915,-1869,460660,516777,378127,357707,20496,-76,138650,183781,-2517,-16708,-21409,-15344,-970,-34066,-19141,-10532,-2976,-1002,-415,-583,-976,393,-6290,5257,92479,-68,-3512,-26885,214397,45131,122099,59010,17774,-1220,42456,43360,51993,9449,-18082,14251,-15116,12980,7614,740,-844,7718,-76968,-126810,49842,-56116,-28618
2011:Q4,265705,55257,123279,-2943,320502,53246,-1690,459663,33232,359472,367047,-7372,-203,-326240,-84200,47572,13340,-5671,7728,683,19431,16953,2122,669,-538,225,718,-248,966,9058,5844,71266,16,-3512,-42424,-208249,242040,292558,35189,-8378,2554,41013,73505,54789,18264,452,19693,-10337,-8142,182651,740,-1204,183115,-50518,-80950,30432,426430,-46945
2012:Q1,325102,58752,121974,-7814,278993,51429,-1632,468616,200198,429756,381911,47907,-62,-229558,10283,-71560,-17988,-4037,-23644,3393,-15803,-11533,-3052,-1287,-39,108,-2478,-981,-1497,17829,-6579,81633,106,-1532,50308,635,239841,241333,98072,11276,1110,85686,-40450,21381,-24897,-36934,4477,28635,19033,131566,-3080,4831,129815,-1492,-45471,43979,268418,12568
2012:Q2,321395,61377,121980,4570,282421,42455,-1953,469438,565214,389600,390671,-937,-134,175614,320098,59525,-13175,-5356,-15622,-97,-4328,-2883,-1191,-292,37,1,-549,-615,66,-6834,-6363,83351,-82,-1532,11910,219249,144484,189016,79469,4498,10933,64038,-5863,33021,-5308,-33576,5545,-12365,-10754,132984,-3081,3481,132584,-44532,-95812,51280,-95776,-37382
2012:Q3,320423,62744,126337,-6219,286148,43203,-2290,456764,306548,436930,388979,48056,-105,-130382,72351,29760,5418,6571,4389,-5541,2953,1962,1016,212,-186,-51,141,99,42,2553,-6730,91517,4,-1532,26115,-83268,202733,243210,113840,3922,-1092,111010,23520,5974,40692,-23146,7322,54660,-706,44574,-3080,1959,45695,-40477,-73896,33419,150215,23370
2012:Q4,324092,62931,169601,-1986,290111,49042,-11123,439849,104760,368804,389756,-21499,548,-264044,-81326,26159,39476,3915,23959,-2388,1015,982,428,33,14,-442,1858,1259,599,1773,-6662,46073,-2,-1532,-32909,-182062,182718,189560,119208,-5674,2556,122326,56611,43603,8519,4489,-14643,-2858,-6216,37458,-3080,484,40054,-6842,-65312,58470,335089,-22003
2013:Q1,337577,66137,133863,5665,288850,50156,-2411,484659,357774,430159,390641,39310,208,-72384,117099,-6307,-1834,29567,-11394,288,-8794,765,-6424,-2177,-13,-945,-7714,-1397,-6317,-58,2497,70489,72,559,98321,-48594,189483,187841,58952,9757,3023,46172,-15697,-23315,23004,-15386,1936,864,13213,128573,-619,35104,94088,1642,-21503,23145,126885,-4345
2013:Q2,332459,65618,129918,7675,292773,45248,-1461,484080,310103,386312,390432,-4588,468,-76210,81708,-50051,-15565,15508,5933,-2227,-13,-9544,5698,1847,72,1914,4222,4273,-51,15260,2556,90154,-50,559,120643,-105221,157918,175038,75823,7160,3924,64739,82256,21164,43129,17963,2223,26422,-22621,10935,-617,32642,-21090,-17120,-74466,57346,173977,-52520
2013:Q3,333252,65468,157523,2030,296200,68691,-1126,478308,455263,453987,398038,55315,634,1276,296851,38005,17976,764,24496,9854,10556,10474,338,24,-174,-106,-711,-648,-63,-13979,2676,87112,-11,559,50610,68944,295576,326213,139018,23923,-3628,118723,18502,11669,-9116,15949,5179,65259,-3051,101305,-618,30007,71916,-30637,-83344,52707,23045,44371
2013:Q4,337356,66734,128791,-1476,299438,53997,-714,494505,484097,405715,411761,-6112,66,78383,232146,62720,38578,22711,11545,-3545,-5234,-7323,2062,583,-107,-449,2056,1736,320,-4173,2941,52052,33,559,2245,49658,153764,186922,34634,-26658,-1215,62507,76522,42743,29848,3931,2621,7977,2548,62619,-618,27439,35799,-33158,-75741,42583,10407,-34793
2014:Q1,329561,70042,156932,-13362,307516,55846,-1847,454433,469224,465958,424329,41520,109,3266,44479,-54057,-56585,-13302,-14339,543,9017,10096,-286,-117,-482,-194,590,1495,-905,891,8890,66549,154,5946,47185,42998,41213,217579,107591,35643,-443,72391,30800,16059,29761,-15020,1746,39621,15317,22504,-716,9875,13346,-176366,-94850,-81516,-14791,67370
