1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,9465,6542,1341,1002,580,9465,6845,2620,595,2025,0,9465,934,3,0,628,503,-11,19,117,69,4586,4555,0,28,3,14,3212,18,30,58,0,0,58,0,0,11,0,0,0,0,11,0,-98,0
1952:Q1,1840,1274,178,225,163,1840,1324,516,156,360,0,1840,29,1,0,263,193,50,4,16,28,788,833,0,3,-48,2,575,6,8,18,0,0,18,0,0,2,0,0,0,0,2,0,120,0
1952:Q2,2370,1732,217,214,207,2370,1808,562,-126,688,0,2370,261,1,0,37,15,9,5,8,25,1513,1465,0,1,47,1,460,7,9,18,0,0,18,0,0,2,0,0,0,0,2,0,36,0
1952:Q3,2427,1842,238,234,113,2427,1918,509,-10,519,0,2427,213,1,0,67,30,11,3,23,26,1556,1599,0,1,-44,1,463,8,9,22,0,0,22,0,0,3,0,0,0,0,3,0,58,0
1952:Q4,2320,1776,206,236,102,2320,1841,479,213,266,0,2320,163,1,0,193,154,10,4,25,24,1427,1397,0,0,30,1,439,8,10,23,0,0,23,0,0,3,0,0,0,0,3,0,28,0
1953:Q1,2119,1590,106,263,160,2119,1667,452,292,160,0,2119,330,1,0,188,152,5,8,23,21,1158,1152,0,1,5,2,490,10,11,23,0,0,23,0,0,2,0,0,0,0,2,0,-117,0
1953:Q2,2868,2219,179,279,191,2868,2293,575,-60,635,0,2868,267,1,0,148,104,5,8,31,21,1805,1770,0,2,33,4,512,11,11,22,0,0,22,0,0,1,0,0,0,0,1,0,65,0
1953:Q3,2501,1980,168,273,80,2501,2043,458,65,393,0,2501,134,0,0,89,43,6,9,31,20,1606,1647,0,1,-42,5,483,11,12,22,0,0,22,0,0,2,0,0,0,0,2,0,117,0
1953:Q4,2342,1733,187,352,70,2342,1815,527,380,147,0,2342,265,0,0,-30,-78,6,7,35,21,1486,1489,0,0,-3,5,586,11,13,22,0,0,22,0,0,2,0,0,0,0,2,0,-39,0
1954:Q1,1961,1413,53,316,179,1961,1505,456,277,179,0,1961,207,0,0,-68,-97,2,7,20,22,1215,1237,0,0,-22,4,495,11,14,31,0,0,31,0,0,1,0,0,0,0,1,0,29,0
