1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,40332,376,2300,35976,35280,-140,136,700,-528,2208,38188,14756,4176,3904,272,10064,2536,4580,868,2856,2412,-20,40,424,40,156,364,0,36,0,0,196,0,64,0,0,2076,2144
1961:Q4,24436,0,2416,21632,21500,-720,128,724,632,-244,23680,8892,6488,6372,116,-3064,2312,9220,4220,3640,3072,160,32,376,44,332,336,0,32,0,368,200,0,48,0,0,-168,756
1962:Q1,30232,-160,1332,30036,28952,204,120,760,-284,-692,34208,34676,-148,-208,60,1084,1872,-5100,-5316,756,556,-228,20,408,92,-692,316,0,32,0,-416,120,0,8,0,0,1824,-3976
1962:Q2,33044,-76,2300,29732,28860,156,112,604,336,752,31468,24096,2384,2348,36,2900,660,840,1668,-1544,-1460,-104,12,8,136,-24,292,0,36,0,180,124,0,-28,0,0,588,1576
1962:Q3,30892,-304,1696,31700,31180,-308,120,708,-836,-1364,29728,21144,3184,3192,-8,-1980,1744,7512,3608,3128,2984,16,8,120,128,304,300,0,32,0,-56,128,0,-60,0,0,-1876,1164
1962:Q4,40700,-8,1044,38476,37388,252,140,696,916,272,42274,21712,11964,12048,-84,230,32,6760,2136,3120,2704,252,8,156,68,672,320,0,20,0,372,132,0,-80,0,0,1576,-1574
1963:Q1,29072,-60,1208,27716,26700,-16,160,872,280,-72,26674,47708,-16936,-16840,-96,530,3452,-10520,-6096,-3236,-3556,-4,12,312,8,-908,344,0,16,0,-480,-184,0,16,0,0,2440,2398
1963:Q2,39628,-60,2476,35084,33772,372,180,760,168,1960,39392,27768,1812,2016,-204,8004,-428,608,1092,-1028,-980,8,8,-64,-44,64,352,0,8,0,344,-192,0,12,0,0,1628,236
1963:Q3,31524,-108,2548,30756,29656,60,184,856,-1244,-428,27660,25024,2888,3084,-196,-6112,2240,3080,848,1820,1512,116,8,184,-64,416,376,0,4,0,-184,-200,0,64,0,0,540,3864
1963:Q4,37156,-100,2264,34008,32648,348,164,848,548,436,40896,22276,9620,9704,-84,-2540,5052,5100,2904,1380,992,152,12,224,-56,464,404,0,-4,0,216,-212,0,4,0,0,1388,-3740
1964:Q1,33412,-64,3852,29828,28332,436,160,900,-696,492,22920,24772,-4444,-4448,4,324,3064,-3004,-4300,1800,1536,68,12,184,-32,-688,448,0,0,0,-300,-20,0,88,0,0,2208,10492
1964:Q2,37420,-76,1328,35144,32712,1080,156,1196,704,320,43012,33616,3336,3220,116,3740,-3836,3768,644,2488,2132,36,12,308,-24,-60,536,0,0,0,248,-44,0,-20,0,0,2388,-5592
1964:Q3,53344,-172,4056,50004,47116,1652,148,1088,-656,112,51486,37756,2980,2824,156,254,6216,1144,-204,1040,624,212,12,192,-28,140,384,0,0,0,-148,-20,0,-20,0,0,3136,1858
1964:Q4,39708,-668,3960,34456,31612,1664,124,1056,840,1120,49682,33344,1180,1048,132,-3438,6480,8668,4412,3008,2348,308,4,348,-60,696,512,0,-8,0,144,-24,0,-12,0,0,3448,-9974
1965:Q1,41344,-160,2404,39644,36944,1764,92,844,-604,60,27964,30976,804,700,104,1140,-372,-6812,-6168,448,404,136,0,-92,-64,-808,-172,0,0,0,-256,184,0,24,0,0,2228,13380
