1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q2,3216107,8580,27606,33008,2603,768523,30078,178488,100668,459289,15119,1090648,373088,896932,58689,50354,521436,266453,3253345
2013:Q3,3315122,8650,28722,34342,2708,778239,31294,177139,99422,470384,14850,1105706,389588,952317,59607,49321,577027,266362,3352340
2013:Q4,3414134,8720,29837,35676,2813,782963,32510,174266,98188,477999,14581,1164955,407942,966647,60786,48288,591303,266270,3451336
2014:Q1,3417192,9257,30328,36263,2860,808556,33044,177523,100934,497055,14607,1147457,414238,953626,60637,47317,574303,271369,3454390
2014:Q2,3420255,9794,30819,36849,2906,832604,33579,180705,103581,514739,14633,1161988,428130,902532,61096,46346,518622,276468,3457444
2014:Q3,3423312,10331,31310,37436,2952,845861,34114,181800,103393,526554,14659,1120399,421776,938588,59837,45376,551808,281567,3460497
2014:Q4,3426361,10868,31801,38023,2998,870127,34648,186300,104697,544482,14685,1137904,425645,894310,59817,44405,503422,286666,3463551
2015:Q1,3419528,10680,30939,36993,2917,871262,33710,186236,105695,545621,14499,1144498,426142,881598,59947,47722,488349,285580,3456742
2015:Q2,3412696,10491,30077,35963,2836,850829,32771,179489,101235,537334,14313,1132019,416621,919547,59157,51040,524855,284495,3449934
2015:Q3,3405859,10303,29216,34932,2755,851353,31832,179608,100268,539645,14127,1036102,381497,1045574,56311,54357,651497,283409,3443125
2015:Q4,3399023,10114,28354,33902,2673,835444,30893,174717,98339,531495,13941,1086928,382850,1004817,56536,57675,608283,282323,3436316
2016:Q1,3407274,9982,28140,33647,2653,864333,30660,181383,100780,551510,13989,1067243,384512,1002775,56196,59777,600523,286279,3444608
2016:Q2,3415525,9850,27927,33391,2633,885366,30428,185931,102697,566310,14037,1065791,384848,991682,56350,61878,583219,290235,3452901
2016:Q3,3423790,9718,27713,33136,2613,888442,30195,186084,102908,569255,14085,1083821,392084,972178,56894,63980,557113,294191,3461193
2016:Q4,3432052,9586,27499,32880,2593,859437,29962,179540,101251,548684,14132,1099076,385079,1001770,56030,66082,581511,298147,3469486
2017:Q1,3443671,9642,28428,33990,2680,889144,30974,188345,106166,563659,14551,1134909,395769,934558,57841,70397,505950,300370,3481124
2017:Q2,3455284,9697,29356,35101,2768,926151,31986,198255,111664,584246,14969,1141144,399417,896681,59106,74711,460270,302594,3492762
2017:Q3,3466906,9752,30285,36211,2856,954608,32997,206588,116438,598585,15387,1165315,405959,846533,60633,79025,402058,304817,3504401
2017:Q4,3478523,9807,31214,37321,2943,980664,34009,214283,120555,611817,15805,1210941,411486,778342,62192,83340,325769,307041,3516039
2018:Q1,3482636,9581,29912,35764,2820,971119,32590,213921,121049,603559,15421,1179284,399020,839715,62594,74208,397443,305470,3520094
2018:Q2,3486747,9355,28609,34207,2698,973145,31171,216510,122185,603279,15037,1200409,393620,829667,63939,65076,396752,303900,3524148
2018:Q3,3490859,9130,27307,32650,2575,985602,29753,217354,123583,614912,14654,1260979,395561,762401,65952,55944,338176,302329,3528202
2018:Q4,3494977,8904,26005,31093,2452,1000428,28334,225359,126694,620041,14270,1055518,344941,1011366,62832,46812,600963,300759,3532257
2019:Q1,3529592,8904,22056,33762,5784,1038436,27515,237652,128854,644415,14230,1164133,366538,875749,64112,45462,452873,313302,3566838
2019:Q2,3564209,8904,18107,36430,9115,1075144,26697,252214,131481,664752,14191,1172259,365288,864771,63136,44113,431678,325844,3601420
2019:Q3,3598817,8903,14159,39099,12447,1100978,25879,265402,133179,676518,14151,1146191,353934,908955,61191,42763,466614,338387,3636002
2019:Q4,3633432,8903,10210,41767,15779,1104620,25060,269786,132958,676816,14112,1210104,360874,867063,60867,41413,413853,350930,3670583
2020:Q1,3632278,9720,10630,43487,16428,1106144,26092,288811,137503,653738,14215,930264,303198,1198192,55256,40457,748472,354007,3669411
2020:Q2,3631120,10536,11051,45207,17078,1168873,27124,283051,135621,723077,14318,1108890,349333,905834,59441,39502,449807,357084,3668238
2020:Q3,3629963,11353,11471,46926,17728,1176146,28156,277269,133605,737116,14421,1183153,369514,799251,60955,38546,339589,360161,3667066
2020:Q4,3628803,12169,11891,48646,18377,1192769,29188,268771,132407,762403,14524,1331052,406635,592740,64183,37590,127729,363238,3665894
2021:Q1,3640495,12048,11945,48864,18460,1157495,29319,262998,133011,732167,14805,1354965,409188,612725,63469,35176,150100,363980,3677912
2021:Q2,3652169,11927,11998,49082,18542,1206274,29449,275543,137691,763591,15085,1405535,422086,511640,64860,32761,49297,364722,3689930
2021:Q3,3663843,11806,12051,49300,18625,1221581,29580,282884,141188,767929,15366,1342358,409141,583615,63080,30347,124724,365464,3701948
2021:Q4,3675507,11684,12104,49518,18707,1238938,29711,291299,143450,774478,15646,1403355,414926,510629,63048,27933,53441,366207,3713966
2022:Q1,3553017,11953,11414,46692,17639,1124889,28015,267776,132241,696857,14849,1316285,382755,626541,60211,27797,180463,358070,3591674
2022:Q2,3430497,12221,10723,43867,16572,1032577,26320,250515,124628,631114,14051,1083662,327688,889136,55469,27661,456073,349933,3469382
2022:Q3,3307961,12489,10032,41041,15504,953001,24624,231776,115843,580758,13254,1023407,303702,935531,53608,27525,512602,341796,3347089
2022:Q4,3185455,12757,9341,38215,14437,945433,22929,226656,111832,584016,12457,1085439,315575,751801,54983,27388,335771,333659,3224797
2023:Q1,3196384,12921,8856,36230,13687,958192,21738,230834,111339,594281,11949,1140662,324687,689200,56214,26709,278308,327969,3235927
2023:Q2,3207368,13046,8487,34721,13117,938053,20833,225054,108343,583823,11564,1217422,333134,637824,57054,26194,230930,323646,3247057
2023:Q3,3218336,13153,8171,33428,12629,899494,20056,215036,105386,559016,11233,1160892,317191,762145,55498,25752,360956,319939,3258187
2023:Q4,3229281,13255,7870,32199,12164,946342,19319,225297,107205,594521,10919,1285070,341247,580215,58009,25332,180456,316418,3269317
2024:Q1,3215078,13333,7639,31251,11806,932006,18750,221272,105480,586504,10677,1400358,359200,448808,59701,25008,50397,313702,3255320
2024:Q2,3200816,13415,7398,30267,11435,920502,18160,219665,104523,578154,10425,1431625,360080,415669,59802,24672,20312,310883,3241322
2024:Q3,3186543,13587,6888,28182,10647,949218,16909,227329,105173,599807,9892,1495335,372020,300774,61283,23959,-89375,304907,3227325
2024:Q4,3172063,13755,6394,26158,9882,903406,15695,216513,100760,570438,9375,1511947,360009,331137,60205,23267,-51442,299107,3213328
2025:Q1,3157625,13903,5955,24366,9205,907931,14619,220053,99964,573295,8917,1416955,347664,422729,59161,22654,46944,293970,3199331
