1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q1,78920,2700,6444,12120,5372,-3976,5444,0,5280,1244,4,1240,13720,34856,80,-636,260,8132,80192,-25160,43760,260,61332
2005:Q2,25736,-8136,-5388,6648,-104,-1776,3236,-16,5308,1192,-4,1196,23516,40676,80,-632,244,-32464,27976,-42356,148696,244,-78608
2005:Q3,54136,-48,7064,6564,-112,-1720,3272,-16,5140,1188,0,1188,-5391,34399,76,-636,236,10684,56164,-9024,42712,236,22240
2005:Q4,53772,-388,-9268,9872,-104,3660,688,68,5560,1092,-200,1292,3043,5257,80,-636,240,44480,57024,-16640,55496,240,17928
2006:Q1,112372,2888,1948,6040,2252,1192,1856,144,596,200,24,176,205,56247,-80,3752,-76,41248,110380,33656,123720,1628,-48624
2006:Q2,76080,2872,22784,42612,2220,5304,28068,740,6280,1564,-20,1584,1386,18342,-84,3744,0,-17140,76264,26100,102684,1700,-54220
2006:Q3,85200,2840,4748,20372,2216,2156,2148,-88,13940,812,0,812,67,45753,-80,3752,-68,7004,83640,25836,109808,1600,-53604
2006:Q4,121916,2384,-4348,17468,2192,-896,6772,56,9344,832,32,800,-19383,50943,-80,3760,-96,70436,126968,44752,129500,1548,-48832
2007:Q1,123240,1352,10664,22788,8108,-3380,3888,228,13944,92,4,88,16014,35074,0,800,-256,36712,121156,10460,56140,1468,53088
2007:Q2,104840,1448,6644,15980,8044,-4384,2140,204,9976,-276,-88,-188,-11798,42246,4,812,-292,50072,104464,15828,86480,1372,784
2007:Q3,61460,9028,11568,20672,8144,-3296,3400,192,12232,20,0,20,1644,47652,0,808,-260,-29672,63888,10664,59052,1432,-7260
2007:Q4,146876,-16860,4024,12592,8172,-4380,1172,140,7488,476,-28,504,-16688,66080,0,792,-232,96692,153120,15036,86972,1564,49548
2008:Q1,-34920,-616,26120,12260,-3708,1172,21116,2700,-9020,-72,40,-112,23222,-398,0,1776,48,-97260,-27748,3104,4668,1268,-36788
2008:Q2,32788,5188,-4100,17024,-3580,8260,15564,2928,-6148,164,48,116,-41787,29703,4,1796,28,24768,37208,-8588,-41112,1092,85816
2008:Q3,10916,2000,22092,17776,-3544,-6752,31864,2652,-6444,-28,48,-76,47015,-17595,4,1768,48,-62164,17636,10704,36860,1336,-31264
2008:Q4,49128,4148,32036,-2096,-3492,-25240,30224,2800,-6388,17456,52,17404,25854,-17514,4,1756,68,-12584,42572,8948,28572,1396,3656
2009:Q1,-51476,-2828,-2424,-18668,-10600,80,4180,-1112,-11216,-4380,-28,-4352,-7025,12309,0,-756,816,-28520,-59752,-5956,-30508,144,-23432
2009:Q2,42232,-2696,-21972,-3188,-296,2800,2272,352,-8316,-4384,-20,-4364,-14781,72009,-4,-728,728,17248,33600,-19012,75968,-120,-23236
2009:Q3,63808,-2720,-20604,-12056,-3900,664,1984,-396,-10408,-4436,-28,-4408,-1175,56459,0,-732,680,48392,56088,-11952,48636,-192,19596
2009:Q4,-51152,-10976,-18476,-3176,-1428,3292,2460,328,-7828,-4408,-20,-4388,5112,37264,0,-740,748,-56500,-58860,-15720,50404,-24,-93520
2010:Q1,92816,2952,-13688,36752,3020,8060,8744,588,16340,-8,-24,16,48578,30218,0,-700,-124,-11164,88640,-13344,65496,-552,37040
2010:Q2,102528,3052,-232,31632,3124,5984,10060,-916,13380,-28,-28,0,34611,30697,-4,-720,60,3460,100632,-20480,52684,-280,68708
2010:Q3,35008,3092,-8448,36084,3168,8256,9096,8,15556,-76,-28,-48,35531,30901,4,-688,-232,-61160,31316,-11468,63616,-780,-20052
2010:Q4,37692,3236,-7508,31348,3320,6004,10556,-1324,12792,-68,-24,-44,45100,22492,0,-692,-196,-56020,32992,-19384,81540,-724,-28440
2011:Q1,21752,-968,-1100,-7368,1768,5780,-4492,-148,-10276,-844,-48,-796,23627,5349,3292,-3800,-716,4280,19004,7436,23176,-808,-10800
2011:Q2,21648,-940,1620,-7704,1832,5408,-4188,-208,-10548,-808,-40,-768,11387,1253,3292,-3808,-636,17992,20804,5560,13696,-664,2212
2011:Q3,60292,-2056,9820,-9008,1956,4880,-4248,-272,-11324,-752,-40,-712,823,845,3276,-3828,-452,61624,59796,-5488,-62116,-324,127724
2011:Q4,10280,252,-9380,-9844,-28,5012,-4696,-204,-9928,-804,-44,-760,54643,6417,3312,-3796,-720,-29800,7560,20204,116256,-864,-128036
2012:Q1,21720,-8,-7020,29664,-2024,4772,-10260,540,36636,-8,0,-8,-5026,12590,-2328,-1288,-556,-4300,18048,-19000,137072,-2976,-97048
2012:Q2,11356,44,-2664,31924,-1968,1252,-9096,544,41192,28,4,24,435,10137,-2356,-1304,-396,-24492,9728,-7676,26732,-2660,-6668
2012:Q3,46004,-16,-6160,33444,-2032,4212,-10256,428,41092,-8,0,-8,-3190,1874,-2348,-1300,-468,24176,42108,-8056,25340,-2784,27608
2012:Q4,100496,5340,-2004,41844,-2012,4488,-8896,532,47732,-5168,-568,-4600,1941,-18753,-2356,-1300,-436,81388,101700,-8420,21892,-2732,90960
