1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,406,52,3971,80,0,0,257,0,-2452,0,-10,2719,3389,177,3212,6,55,1,0,0,0,0,0,183,0,79,0,104,3970,3978,0,0,11,2555,975,0,57,380,0,0,259,0,121,-8,0,-8,0,353,0,3601,0,0,0
1952:Q1,566,49,4772,-280,0,0,2180,0,-864,0,-36,3080,2448,148,2300,0,248,0,0,0,0,0,0,176,0,76,0,100,4284,4284,0,0,0,2612,1080,0,128,464,0,0,272,0,192,0,0,0,0,29,0,3756,0,0,0
1952:Q2,581,50,3704,248,0,0,1152,0,-1820,0,-40,3012,1976,136,1840,0,160,8,0,0,0,0,0,160,0,72,0,88,4548,4544,0,0,0,2752,1136,0,-68,724,0,0,272,0,452,4,0,4,0,1375,0,3948,0,0,0
1952:Q3,580,44,5548,-48,0,0,3348,0,368,0,160,2820,1996,144,1852,0,88,8,0,0,0,0,0,156,0,76,0,80,4760,4760,0,0,4,2924,1152,0,44,636,0,0,284,0,352,0,0,0,0,-252,0,4136,0,0,0
1952:Q4,571,48,5076,324,0,0,2628,0,-812,0,-40,3480,1820,64,1756,0,160,8,0,0,0,0,0,136,0,80,0,56,4820,4820,0,0,4,3092,1132,0,-40,632,0,0,348,0,284,0,0,0,0,267,0,4288,0,0,0
1953:Q1,560,46,4648,-624,0,0,2868,0,-528,0,200,3196,2140,180,1960,0,116,8,0,0,0,0,0,140,0,88,0,52,4796,4792,0,0,0,3064,1120,0,-40,648,0,0,368,0,280,4,0,4,0,662,0,4252,0,0,0
1953:Q2,560,46,4576,-168,0,0,2256,0,-120,0,60,2316,2240,192,2048,0,116,8,0,0,0,0,0,124,0,92,0,32,4644,4636,0,0,0,2968,1116,0,-56,608,0,0,400,0,208,8,0,8,0,582,0,4160,0,0,0
1953:Q3,595,48,4596,328,0,0,1964,0,-412,0,160,2216,2108,176,1932,0,56,8,0,0,0,0,0,132,0,96,0,36,4564,4560,0,0,4,2852,1120,0,140,444,0,0,404,0,40,4,0,4,0,515,0,4048,0,0,0
1953:Q4,635,47,6208,740,0,0,2624,0,-632,0,160,3096,2600,256,2344,4,84,12,0,0,0,0,0,144,0,92,0,52,4580,4568,0,0,-4,2748,1144,0,284,396,0,0,392,0,4,12,0,12,0,-1040,0,3956,0,0,0
1954:Q1,662,54,4764,-620,0,0,2780,0,-436,0,660,2556,2212,232,1980,0,212,8,0,0,0,0,0,172,0,84,0,88,4696,4692,0,0,4,2820,1152,0,-184,900,0,0,372,0,528,4,0,4,0,540,0,4024,0,0,0
1954:Q2,670,53,5152,164,0,0,1664,0,-1284,0,776,2172,2700,240,2460,0,424,12,0,0,0,0,0,188,0,76,0,112,4844,4836,0,0,0,2952,1152,0,-180,912,0,0,360,0,552,8,0,8,0,309,0,4144,0,0,0
1954:Q3,682,55,4888,40,0,0,1544,0,-1044,0,536,2052,2812,208,2604,0,284,12,0,0,0,0,0,196,0,84,0,112,4864,4860,0,0,4,3076,1176,0,112,492,0,0,364,0,128,4,0,4,0,603,0,4288,0,0,0
1954:Q4,735,55,6196,516,0,0,1580,0,-272,0,220,1632,3744,172,3572,0,160,8,0,0,0,0,0,188,0,104,0,84,4652,4652,0,0,8,3156,1220,0,60,208,0,0,400,0,-192,0,0,0,0,-864,0,4424,0,0,0
1955:Q1,683,64,5224,-716,0,0,2268,0,264,0,552,1452,3412,244,3168,0,76,12,0,0,0,0,0,172,0,120,0,52,4856,4852,0,0,4,3124,1288,0,24,412,0,0,428,0,-16,4,0,4,0,251,0,4468,0,0,0
1955:Q2,685,69,4756,112,0,0,1224,0,-200,0,0,1424,3148,148,3000,0,100,12,0,0,0,0,0,160,0,136,0,24,5040,5032,0,0,0,3044,1364,0,-132,756,0,0,464,0,292,8,0,8,0,900,0,4476,0,0,0
1955:Q3,682,74,5688,284,0,0,1956,0,312,0,128,1516,3204,168,3036,0,60,12,0,0,0,0,0,172,0,148,0,24,5180,5176,0,0,4,3028,1364,0,168,612,0,0,468,0,144,4,0,4,0,100,0,4456,0,0,0
1955:Q4,667,77,5784,420,0,0,340,0,-2352,0,88,2604,4764,92,4672,0,24,12,0,0,0,0,0,224,0,160,0,64,5152,5148,0,0,4,3084,1284,0,96,680,0,0,440,0,240,4,0,4,0,-42,0,4424,0,0,0
1956:Q1,675,94,4720,-860,0,0,1268,0,-1996,0,620,2644,4028,224,3804,4,0,8,0,0,0,0,0,272,0,172,0,100,5196,5192,0,0,4,3168,1196,0,-72,896,0,0,436,0,460,4,0,4,0,1057,0,4404,0,0,0
1956:Q2,684,96,5428,144,0,0,1088,0,-492,0,-28,1608,3856,272,3584,0,0,12,0,0,0,0,0,328,0,192,0,136,5072,5068,0,0,0,3276,1084,0,-200,908,0,0,416,0,492,4,0,4,0,232,0,4388,0,0,0
1956:Q3,799,99,5848,-8,0,0,2088,0,-480,0,260,2308,3424,144,3280,0,0,12,0,0,0,0,0,332,0,196,0,136,4976,4972,0,0,0,3220,1120,0,360,272,0,0,408,0,-136,4,0,4,0,-172,0,4368,0,0,0
1956:Q4,800,100,5888,788,0,0,1020,0,-1116,0,88,2048,3784,276,3508,0,-8,12,0,0,0,0,0,292,0,188,0,104,4944,4936,0,0,-4,3004,1300,0,72,564,0,0,440,0,124,8,0,8,0,-244,0,4356,0,0,0
1957:Q1,755,94,4832,-828,0,0,2272,0,-308,0,64,2516,3064,304,2760,0,52,12,0,0,0,0,0,260,0,180,0,80,4892,4892,0,0,4,2792,1472,0,-4,628,0,0,464,0,164,0,0,0,0,721,0,4340,0,0,0
1957:Q2,648,94,4860,272,0,0,1992,0,-520,0,132,2380,2340,332,2008,0,0,12,0,0,0,0,0,244,0,184,0,60,4772,4768,0,0,0,2580,1644,0,-304,848,0,0,488,0,360,4,0,4,0,466,0,4328,0,0,0
1957:Q3,650,97,5456,32,0,0,2684,0,-236,0,104,2816,2408,352,2056,0,88,12,0,0,0,0,0,232,0,176,0,56,4836,4832,0,0,0,2548,1684,0,156,444,0,0,480,0,-36,4,0,4,0,-67,0,4332,0,0,0
1957:Q4,671,95,5456,568,0,0,2048,0,-1040,0,112,2976,2576,412,2164,0,32,16,0,0,0,0,0,216,0,156,0,60,5152,5132,0,0,-16,2684,1600,0,160,704,0,0,444,0,260,20,0,20,0,272,0,4348,0,0,0
1958:Q1,606,88,5008,-488,0,0,2972,0,232,0,336,2404,2232,404,1828,4,76,8,0,0,0,0,0,204,0,136,0,68,5232,5228,0,0,0,2856,1500,0,492,380,0,0,412,0,-32,4,0,4,0,742,0,4388,0,0,0
1958:Q2,632,84,4780,160,0,0,2668,0,-48,0,296,2420,1696,352,1344,0,76,16,0,0,0,0,0,164,0,104,0,60,5408,5408,0,0,0,3056,1404,0,-348,1296,0,0,376,0,920,0,0,0,0,1176,0,4456,0,0,0
1958:Q3,686,84,5620,28,0,0,3412,0,880,0,316,2216,1904,268,1636,0,80,12,0,0,0,0,0,184,0,112,0,72,5280,5280,0,0,0,3112,1452,0,140,576,0,0,372,0,204,0,0,0,0,262,0,4560,0,0,0
1958:Q4,702,87,6336,596,0,0,2656,68,-448,200,272,2564,2748,252,2496,0,80,16,0,0,0,0,0,240,0,152,0,88,4728,4748,0,0,20,3044,1644,0,52,-12,0,0,388,0,-400,-20,0,-20,0,-993,0,4712,0,0,0
1959:Q1,621,114,4820,-592,0,0,2976,332,116,44,588,1896,1936,340,1596,0,176,16,0,0,0,0,0,308,0,192,0,116,5032,5032,0,0,0,3076,1872,0,128,-44,0,0,416,0,-460,0,0,0,0,719,0,5012,0,0,0
1959:Q2,650,118,5736,-48,0,0,3324,340,64,52,652,2216,1928,376,1552,0,144,12,0,0,0,0,0,376,0,228,0,148,5276,5272,0,0,0,3084,2136,0,-164,216,0,0,416,0,-200,4,0,4,0,72,0,5312,0,0,0
1959:Q3,687,123,5000,-192,0,0,1904,-104,-180,32,628,1528,2684,428,2256,0,200,16,0,0,0,0,0,388,0,236,0,152,5772,5772,0,0,4,3332,2108,0,316,12,0,0,440,0,-428,0,0,0,0,1336,0,5540,0,0,0
1959:Q4,656,126,6336,604,0,0,1408,-164,-1260,-40,208,2664,3712,576,3136,4,248,12,0,0,0,0,0,348,0,216,0,132,6320,6316,0,0,0,3756,1784,0,64,712,0,0,468,0,244,4,0,4,0,514,0,5620,0,0,0
1960:Q1,723,116,4944,-728,0,0,1668,-104,-160,4,336,1592,3504,672,2832,0,168,16,0,0,0,0,0,316,0,204,0,112,6176,6172,0,0,0,3672,1484,0,-232,1248,0,0,528,0,720,4,0,4,0,1839,0,5232,0,0,0
1960:Q2,684,120,5336,244,0,0,1360,184,-1016,108,292,1792,3172,720,2452,0,256,16,0,0,0,0,0,288,0,200,0,88,5628,5624,0,0,4,3436,1208,0,-156,1132,0,0,580,0,552,4,0,4,0,856,0,4716,0,0,0
1960:Q3,712,119,5780,-20,0,0,2156,164,12,20,612,1348,2816,584,2232,0,524,16,0,0,0,0,0,288,0,192,0,96,5060,5052,0,0,0,3000,1136,0,184,732,0,0,596,0,136,8,0,8,0,-127,0,4204,0,0,0
1960:Q4,641,118,6916,588,0,0,2292,460,-600,-16,312,2136,3256,476,2780,0,460,16,0,0,0,0,0,304,0,172,0,132,4592,4596,0,0,12,2500,1272,0,140,672,0,0,576,0,96,-4,0,-4,0,-1801,0,3840,0,0,0
1961:Q1,708,120,5592,-392,0,0,2428,-28,464,-40,420,1612,2768,568,2200,0,444,16,0,0,0,0,0,328,0,152,0,176,4976,4972,0,0,4,2668,1364,0,24,912,0,0,616,0,296,4,0,4,0,-28,0,4092,0,0,0
1961:Q2,757,123,6028,152,0,0,2228,-24,-540,-40,140,2692,3080,600,2480,4,204,12,0,0,0,0,0,348,0,124,0,224,5632,5628,0,0,0,3084,1412,0,-268,1400,0,0,608,0,792,4,0,4,0,238,0,4548,0,0,0
1961:Q3,799,124,5828,156,0,0,2680,-200,80,88,320,2392,2204,444,1760,0,428,16,0,0,0,0,0,344,0,120,0,224,6072,6068,0,0,0,3596,1424,0,88,960,0,0,624,0,336,4,0,4,0,919,0,5076,0,0,0
1961:Q4,803,129,7296,332,0,0,2172,-152,-1176,28,320,3152,3684,396,3288,0,784,20,0,0,0,0,0,304,0,136,0,168,5940,5980,0,0,44,4068,1400,0,28,440,0,0,640,0,-200,-40,0,-40,0,-682,0,5532,0,0,0
1962:Q1,806,121,5728,-692,0,0,3672,872,692,44,604,1460,2072,460,1612,0,364,16,0,16,0,0,0,280,0,148,0,132,6084,6080,0,0,0,4012,1364,0,436,268,0,0,684,0,-416,4,0,4,0,1041,0,5448,0,0,0
1962:Q2,788,125,6564,-24,0,0,2900,276,-112,-24,-60,2820,2640,588,2052,0,748,20,0,40,0,0,0,240,0,152,0,88,5912,5908,0,0,0,3828,1316,0,-264,1028,0,0,744,0,284,4,0,4,0,11,0,5216,0,0,0
1962:Q3,825,128,6312,304,0,0,2848,196,208,108,196,2140,2720,516,2204,0,156,20,0,28,0,0,0,236,0,156,0,80,5976,5972,0,0,0,3516,1352,0,168,936,0,0,712,0,224,4,0,4,0,361,0,4952,0,0,0
1962:Q4,818,130,8452,672,0,0,1740,-728,-644,-148,-188,3448,5368,440,4928,4,364,12,0,16,0,0,0,276,0,164,0,112,6408,6388,0,0,-16,3212,1468,0,-124,1848,0,0,580,0,1268,20,0,20,0,-1356,0,4780,0,0,0
1963:Q1,967,108,5740,-908,0,0,2936,548,-592,-20,12,2988,2956,456,2500,0,428,20,0,0,0,0,0,308,0,176,0,132,6084,6080,0,0,0,3696,1564,0,692,128,0,0,440,0,-312,4,0,4,0,1203,0,5380,0,0,0
1963:Q2,840,115,6532,64,0,0,2236,-124,-1104,72,-360,3752,3640,496,3144,0,252,20,0,-20,0,0,0,340,0,188,0,152,6280,6280,0,0,0,3956,1644,0,-644,1324,0,0,296,0,1028,0,0,0,0,473,0,5740,0,0,0
1963:Q3,745,120,7280,416,0,0,2300,208,380,12,-252,1952,3952,380,3572,0,256,20,0,-12,0,0,0,348,0,192,0,156,6632,6632,0,0,0,4248,1716,0,-36,704,0,0,276,0,428,0,0,0,0,-23,0,6112,0,0,0
1963:Q4,661,126,8572,464,0,0,1972,-500,-112,72,-96,2608,5704,352,5352,0,68,20,0,12,0,0,0,332,0,188,0,144,6952,6972,0,0,20,4524,1776,0,-36,688,0,0,376,0,312,-20,0,-20,0,-1085,0,6436,0,0,0
1964:Q1,773,180,6576,-688,0,0,2344,68,-100,-72,-36,2484,4132,488,3644,4,388,16,0,64,0,0,0,316,0,180,0,136,6932,6932,0,0,0,4224,1856,0,416,436,0,0,444,0,-8,0,0,0,0,949,0,6216,0,0,0
1964:Q2,784,184,7440,-60,0,0,2016,-468,-292,60,-164,2880,4672,536,4136,0,384,20,0,108,0,0,0,300,0,172,0,128,7096,7092,0,0,0,4252,1944,0,-256,1152,0,0,476,0,676,4,0,4,0,256,0,6328,0,0,0
1964:Q3,874,188,7776,140,0,0,2068,96,500,12,80,1380,4612,472,4140,0,528,24,0,96,0,0,0,308,0,180,0,128,7276,7272,0,0,0,4332,1992,0,328,620,0,0,528,0,92,4,0,4,0,186,0,6456,0,0,0
1964:Q4,942,193,9740,696,0,0,1092,-224,-984,-40,-192,2532,6956,444,6512,0,536,20,0,80,0,0,0,360,0,212,0,148,7312,7336,0,0,28,4440,2008,0,-16,876,0,0,592,0,284,-24,0,-24,0,-1679,0,6588,0,0,0
1965:Q1,859,218,7820,-808,0,0,2712,596,180,28,-112,2020,5176,516,4660,0,280,24,0,36,0,0,0,400,0,232,0,168,7744,7740,0,0,0,4268,2348,0,56,1068,0,0,664,0,404,4,0,4,0,565,0,6760,0,0,0
1965:Q2,954,228,7752,-28,0,0,2044,760,-1124,60,-288,2636,4720,600,4120,4,524,16,0,24,0,0,0,448,0,252,0,196,8096,8100,0,0,0,4796,2016,0,-332,1620,0,0,740,0,880,-4,0,-4,0,1070,0,6956,0,0,0
1965:Q3,948,241,9124,68,0,0,2924,492,-240,112,-316,2876,4832,568,4264,0,836,24,0,-24,0,0,0,464,0,272,0,192,8096,8100,0,0,0,4956,1908,0,204,1032,0,0,780,0,252,-4,0,-4,0,-321,0,7020,0,0,0
1965:Q4,898,257,10428,828,0,0,1076,-1668,-716,-48,-260,3768,6868,468,6400,-8,1160,32,0,-4,0,0,0,476,0,300,0,176,7744,7748,0,0,-4,4744,2028,0,-8,988,0,0,784,0,204,-4,0,-4,0,-2043,0,6952,0,0,0
1966:Q1,984,215,8772,-1720,0,0,4876,-192,208,96,36,4728,5608,732,4876,0,156,24,0,16,0,0,0,-188,0,328,0,-516,6632,6636,0,0,0,4576,2084,0,416,-440,0,0,800,0,-1240,-4,0,-4,0,-1371,0,6840,0,0,0
1966:Q2,965,225,7328,96,0,0,720,-32,-1000,164,-692,2280,6356,1248,5108,4,176,20,0,36,0,0,0,-80,0,360,0,-440,8460,8456,0,0,4,4452,2084,0,-396,2312,0,0,824,0,1488,4,0,4,0,1872,0,6736,0,0,0
1966:Q3,992,231,7952,248,0,0,1320,300,-276,36,-184,1444,6160,1936,4224,0,224,24,0,80,0,0,0,-104,0,372,0,-476,9180,9172,0,0,0,4524,2100,0,116,2432,0,0,844,0,1588,8,0,8,0,1989,0,6836,0,0,0
1966:Q4,1047,237,10444,1552,0,0,1248,272,276,-20,-240,960,6016,1840,4176,0,380,24,0,4,0,0,0,1220,0,364,0,856,7652,7620,0,0,-24,4788,2132,0,104,620,0,0,856,0,-236,32,0,32,0,-1982,0,7128,0,0,0
1967:Q1,921,257,10804,-956,0,0,3736,688,-264,4,-172,3480,4556,1116,3440,0,596,32,0,-16,0,0,0,2856,0,308,0,2548,7688,7684,0,0,4,4964,1264,0,844,608,0,0,916,0,-308,4,0,4,0,-2452,0,6544,0,0,0
1967:Q2,1023,258,8504,304,0,0,3208,1340,-660,20,-240,2748,3724,1096,2628,4,1044,32,0,40,0,0,0,148,0,284,0,-136,7488,7484,0,0,0,4852,1424,0,-1288,2496,0,0,860,0,1636,4,0,4,0,-251,0,6548,0,0,0
1967:Q3,1063,257,9212,188,0,0,5056,1100,108,-16,-112,3976,2844,760,2084,0,964,36,0,16,0,0,0,108,0,276,0,-168,8504,8500,0,0,0,4888,1496,0,124,1992,0,0,864,0,1128,4,0,4,0,98,0,6664,0,0,0
1967:Q4,1046,264,8744,580,0,0,2148,-2728,-136,-32,64,4980,4272,796,3476,0,1372,32,0,52,0,0,0,288,0,284,0,4,8508,8524,0,0,20,4836,1800,0,-124,1992,0,0,896,0,1096,-16,0,-16,0,546,0,6940,0,0,0
1968:Q1,994,269,8808,-1648,0,0,5756,848,-20,144,120,4664,2936,1108,1828,4,1152,36,0,116,0,0,0,456,0,336,0,120,8520,8516,0,0,0,4800,2236,0,648,832,0,0,960,0,-128,4,0,4,0,437,0,7352,0,0,0
1968:Q2,976,270,8220,244,0,0,2624,-44,-924,-56,-8,3656,3236,1444,1792,0,1592,36,0,-76,0,0,0,564,0,360,0,204,8384,8376,0,0,0,4768,2296,0,-360,1672,0,0,976,0,696,8,0,8,0,870,0,7372,0,0,0
1968:Q3,1097,277,9460,836,0,0,3656,620,324,44,-16,2684,3324,1380,1944,0,964,40,0,12,0,0,0,628,0,368,0,260,7856,7852,0,0,4,4788,1532,0,304,1224,0,0,1000,0,224,4,0,4,0,-784,0,6640,0,0,0
1968:Q4,1137,290,11180,992,0,0,2492,-1240,-288,124,100,3796,5328,1056,4272,0,1536,36,0,132,0,0,0,664,0,356,0,308,10012,10028,0,0,24,4852,3140,0,56,1956,0,0,1020,0,936,-16,0,-16,0,-321,0,8340,0,0,0
1969:Q1,916,279,10080,-1340,0,0,5380,1408,-468,92,144,4204,3304,1676,1628,0,1552,40,0,308,0,0,0,836,0,352,0,484,9076,9068,0,0,0,4904,2668,0,652,844,0,0,1028,0,-184,8,0,8,0,-367,0,7924,0,0,0
1969:Q2,918,290,7248,-520,0,0,604,-684,-840,112,-24,2040,4448,2544,1904,4,1396,40,0,424,0,0,0,852,0,352,0,500,9460,9452,0,0,4,4932,3068,0,-680,2128,0,0,1048,0,1080,8,0,8,0,2840,0,8368,0,0,0
1969:Q3,898,307,9968,248,0,0,2628,1396,-164,148,0,1248,5324,3284,2040,0,680,40,0,400,0,0,0,648,0,360,0,288,9564,9552,0,0,0,4988,3116,0,348,1100,0,0,1084,0,16,12,0,12,0,187,0,8508,0,0,0
1969:Q4,938,316,10492,1420,0,0,816,1236,144,32,-12,-584,5208,2572,2636,-4,1668,48,0,392,0,0,0,944,0,480,0,464,10404,10360,0,0,-32,5064,3628,0,-100,1800,0,0,1148,0,652,44,0,44,0,534,0,9148,0,0,0
1970:Q1,1037,342,10048,-628,0,0,2144,-12,-176,232,56,2044,5460,2876,2584,4,1888,40,0,352,0,0,0,788,0,416,0,372,9208,9200,0,0,4,5088,2612,0,744,752,0,0,1224,0,-472,8,0,8,0,-145,0,8228,0,0,0
1970:Q2,1064,350,8748,-384,0,0,1216,-140,-264,-12,-24,1656,4804,2588,2216,0,1164,44,0,1128,0,0,0,776,0,428,0,348,9120,9112,0,0,0,5052,2604,0,-792,2248,0,0,1308,0,940,8,0,8,0,1086,0,8264,0,0,0
1970:Q3,1115,353,7252,196,0,0,2236,668,532,172,172,692,3468,2048,1420,4,528,40,0,8,0,0,0,772,0,436,0,336,9644,9640,0,0,4,5220,2876,0,396,1144,0,0,1328,0,-184,4,0,4,0,3154,0,8720,0,0,0
1970:Q4,1359,343,13540,1312,0,0,3928,2592,-420,176,136,1444,4616,1444,3172,-4,2912,52,0,-44,0,0,0,768,0,440,0,328,10780,10776,0,0,4,5576,3440,0,152,1604,0,0,1280,0,324,4,0,4,0,-1744,0,9588,0,0,0
1971:Q1,1295,362,12728,-836,0,0,6620,2120,-152,28,32,4592,1560,928,632,4,4908,44,0,-416,0,0,0,844,0,352,0,492,11864,11860,0,0,4,5928,4200,0,500,1228,0,0,1332,0,-104,4,0,4,0,69,0,10588,0,0,0
1971:Q2,1328,374,10464,-268,0,0,5548,2604,-1128,0,100,3972,844,940,-96,0,3676,48,0,-284,0,0,0,900,0,304,0,596,12788,12776,0,0,0,6264,4748,0,-532,2296,0,0,1276,0,1020,12,0,12,0,3278,0,11404,0,0,0
1971:Q3,1406,382,10440,100,0,0,4116,-1284,116,296,108,4880,2092,1124,968,4,3504,48,0,-316,0,0,0,892,0,296,0,596,13236,13228,0,0,4,6444,4900,0,320,1560,0,0,1276,0,284,8,0,8,0,3820,0,11712,0,0,0
1971:Q4,1417,396,17176,1024,0,0,7784,-928,308,56,-12,8360,3992,1012,2980,-4,3908,56,0,-420,0,0,0,836,0,320,0,516,12904,12948,0,0,56,6484,4632,0,-396,2172,0,0,1312,0,860,-44,0,-44,0,-3251,0,11512,0,0,0
1972:Q1,1509,346,9092,-2396,0,0,5860,-260,648,356,-48,5164,416,808,-392,4,4588,48,0,-360,0,0,0,932,0,480,0,452,13452,13444,0,0,4,6556,4332,0,576,1976,0,0,1424,0,552,8,0,8,0,5523,0,11304,0,0,0
1972:Q2,1594,354,14288,656,0,0,7368,560,-1072,-68,0,7948,1044,1020,24,0,4544,52,0,-352,0,0,0,976,0,580,0,396,13800,13792,0,0,0,6668,3976,0,-804,3952,0,0,1484,0,2468,8,0,8,0,752,0,11064,0,0,0
1972:Q3,1534,363,14408,376,0,0,9180,2948,612,204,44,5372,1732,996,736,4,2400,52,0,-312,0,0,0,976,0,592,0,384,13948,13940,0,0,0,6772,4220,0,384,2564,0,0,1528,0,1036,8,0,8,0,711,0,11432,0,0,0
1972:Q4,1520,377,19852,2236,0,0,6776,-2404,-192,-60,20,9412,6368,928,5440,-16,3708,72,0,-216,0,0,0,924,0,508,0,416,13448,13504,0,0,64,6892,5032,0,-96,1612,0,0,1568,0,44,-56,0,-56,0,-5261,0,12396,0,0,0
