date,FU316902505.A,FU316300001.A,FU316902605.A,FU316025001.A,FU316020001.A,FU316401005.A,FU316402101.A,FU316140005.A,FU316402101.A,FU316240001.A,FU316402015.A,FU316150195.A,FU316130101.A,FU316121185.A,FU316112101.A,FU316130095.A,FU316140005.A,FU316220001.A,FU316601001.A,FU316404001.A,FU316403105.A,FU316403001.A,FU316012005.A,FU316901001.A,FU316006085.A,FU316006385.A,FU316006085.A,FU315440005.A,FU315050905.A,FU315019001.A,FU316300001.A,FU315420003.A,FU315000995.A,FU315000995.A,FU314090005.A,FU313011105.A,FU313011203.A,FU313011303.A,FU314000005.A,FU313020005.A,FU313030003.A,FU313030505.A,FU314022005.A,FU313061703.A,FU313063005.A,FU314035005.A,FU314041005.A,FU313011545.A,FU313066220.A,FU313069005.A,FU313065005.A,FU313081105.A,FU313064105.A,FU313092803.A,FU313092403.A,FU313094303.A,FU313094205.A,FU313096005.A,FU313070000.A,FU313078000.A,FU314190005.A,FU313111303.A,FU314100005.A,FU314122005.A,FU313161105.A,FU313161705.A,FU314123005.A,FU313152005.A,FU313140003.A,FU313195105.A,FU343073045.A,FU313196005.A,FU713011203.A,FU713014003.A,FU313170005.A,FU313172003.A,FU313193005.A,FU315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315015605.A,FR315013265.A,FR315013765.A,FR314090005.A,FR313011105.A,FR314000005.A,FR313011545.A,FR313063005.A,FR313069005.A,FR313064105.A,FR313094303.A,FR314190005.A,FR313111303.A,FR313190015.A,FR312090095.A,FC312090095.A,FL312000095.A,LM312010095.A,LM315015605.A,LM315013265.A,LM315013765.A,FL314090005.A,FL313011105.A,LM313011203.A,LM313011303.A,FL314000005.A,FL313020005.A,FL313030003.A,FL313030505.A,FL314022005.A,FL313061703.A,FL313063005.A,FL314035005.A,FL314041005.A,LM313011545.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081105.A,LM313064105.A,FL313092803.A,FL313092403.A,LM313094303.A,FL313094205.A,FL313096005.A,FL313070000.A,FL313078000.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL314123005.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073045.A,FL313196005.A,FL713011203.A,FL713014003.A,FL313170005.A,FL313172003.A,FL313193013.A,FL312090095.A
2015,740532,272435,468097,469030,330474,138556,-933,-183818,-933,141864,-56678,161211,28119,126416,6676,429282,-183818,1883845,1190781,1990268,71617,577850,394307,951747,-557440,-617387,-557440,59947,-32305,271030,272435,-30900,-585082,-585082,226843,9,0,9,103439,110405,-462,-6504,66,0,66,106582,106773,-1,103416,3357,-191,2073,-24,2097,0,0,0,14675,12707,1968,757551,0,1266,688322,688142,180,36250,13630,-108,7385,6353,18083,0,0,14541,0,3542,-530708,106046,-0,51671,-54374,3840,14810,-2708,-8263,-41512,-40441,-361,1,-710,0,0,0,-6343,-2228,-4114,-31329,-542670,5581816,3255708,1517437,744976,993295,2326108,326877,277189,49688,368908,338078,1764,29066,11274,1,11273,1287535,1171228,0,949665,221563,116307,94918,33407,61511,0,0,0,236596,61156,175440,5581816,17589029,48938,47567,13193550,13168996,24554,1972076,2048115,51149,264694,1732272,278783,11037,5200,261366,0,1180,-12007213
2016,754107,273695,480412,479723,336357,143366,689,-236876,689,137269,-61214,140684,29609,106272,4803,454304,-236876,1883862,1224406,2045156,73762,604985,295014,962316,-667302,-727819,-667302,60517,-7554,275037,273695,-8895,-720266,-720266,195861,684,0,684,66953,65708,-228,1473,57,0,57,97977,94702,0,99629,-4927,3275,1687,-60,1747,0,0,0,28503,3787,24716,884755,0,969,711131,711226,-95,131534,5968,114,12866,-7012,35153,0,0,29375,0,5778,-688894,48763,0,17391,-31372,68147,47095,5849,15204,20403,20974,-303,0,-269,0,0,0,-7852,-1462,-6390,96402,-582654,5860935,3325197,1556576,752359,1016262,2535738,348535,299652,48883,435559,404037,1536,29986,11063,1,11062,1385511,1265929,0,1049293,216636,119582,96605,33347,63258,0,0,0,258466,64943,193523,5860935,18450802,47476,48536,13904681,13880222,24459,2103610,2038953,51263,277560,1710130,307546,11037,5200,290741,0,568,-12589867
2017,772790,280174,492617,489537,344100,145437,3080,-262563,3080,131435,-59320,138938,29157,103712,6069,476695,-262563,1868370,1284314,2119581,77612,606448,241705,978501,-736797,-572273,-736797,-164524,5142,287553,280174,-2238,-577415,-577415,114606,78,0,78,-171603,-170154,385,-1834,23,0,23,95727,95606,0,96286,-680,121,1367,-139,1506,0,0,0,189014,74,188940,635559,0,845,554303,554367,-64,44345,15339,-173,9555,5957,20727,0,0,17484,0,3243,-520953,129215,0,72752,-56462,90100,56975,7510,25615,41905,40846,3170,0,-2110,0,0,0,-883,2818,-3701,132888,-310170,6164391,3422677,1603287,765929,1053461,2741714,389459,337595,51864,267126,231954,1921,33251,8976,1,8975,1481238,1361535,0,1145579,215956,119703,97972,33208,64764,0,0,0,496944,65017,431927,6164391,19064428,50294,49381,14458984,14434589,24395,2147955,2033242,51090,287115,1695037,324572,11037,5200,308225,0,110,-12900037
2018,803105,290150,512955,509636,357261,152375,3319,-314912,3319,163454,-62743,121687,34754,79024,7910,540629,-314912,1864985,1346609,2217625,83041,634064,128033,1034417,-906384,-967030,-906384,60646,20144,311878,290150,-1584,-987174,-987174,324427,156,0,156,178493,173546,127,4820,5,0,5,99154,95727,0,90693,5034,3427,5298,3970,1328,0,0,0,41321,10403,30918,1295012,0,381,1130172,1131627,-1455,127915,-39060,194,13908,-53162,75604,0,0,74041,0,1563,-970585,-241,0,-16831,-16589,102842,68430,12527,21885,-8796,-4355,816,0,-1257,0,-4000,0,-3014,-1177,-1836,97060,-870211,6603138,3547247,1663083,790330,1093834,3055891,385260,334457,50803,446434,405904,2048,38482,7724,1,7723,1580392,1457262,0,1236272,220990,123130,99270,33178,66092,0,0,0,536811,75420,461391,6603138,20373386,49117,49762,15589156,15566216,22940,2275870,2011141,51284,301023,1658834,398340,11037,5200,382266,0,-163,-13770248
2019,823834,298860,524975,523608,365473,158135,1366,-363238,1366,174916,-72357,109992,37826,63824,8342,577155,-363238,1938055,1409502,2352013,70500,659356,43450,1087242,-1043792,-1122782,-1043792,78991,31498,332258,298860,-1900,-1154280,-1154280,72243,237,0,237,5569,1040,264,4265,82,0,82,93539,92882,0,82973,9909,657,1367,0,1367,0,0,0,-28550,-1896,-26654,1185038,0,309,1060962,1062691,-1729,113910,-27325,897,14374,-42596,37182,0,0,33279,0,3903,-1112795,-47942,0,-89427,-41485,46070,38987,7207,-124,61223,61357,1111,0,-1245,0,0,0,-4222,-282,-3939,111515,-1059209,6761007,3626715,1696326,817787,1112602,3134292,446854,396105,50749,453113,407211,2312,43590,6561,1,6560,1673931,1550144,0,1319245,230899,123787,100637,33178,67459,0,0,0,453196,73524,379672,6761007,21590464,48835,50071,16650118,16628907,21211,2389780,2020077,52181,315397,1652499,431583,11037,5200,415545,0,-199,-14829457
2020,866800,310467,556333,550456,381797,168659,5877,-939006,5877,155349,-697886,118679,26210,87046,5423,521026,-939006,1993741,1435025,3399436,58582,932369,-1783463,1157289,-2940752,-3014187,-2940752,73435,52411,365728,310467,-2850,-3066598,-3066598,1726227,81,0,81,1333764,1326317,-1331,8779,76,0,76,254075,250714,-1,61743,188972,3361,115847,0,1847,0,0,114000,22384,11328,11056,5018510,0,384,4316247,4317251,-1004,264915,-26979,190,8236,-35405,463943,0,0,35034,432735,-3826,-3292283,-183972,-0,41713,225685,91133,54148,6226,30759,101015,99612,374,1,1029,0,0,0,6054,2029,4025,186094,-3012065,8785844,3773109,1747984,846876,1178249,5012735,546547,493605,52942,1787251,1732079,981,54191,7666,1,7665,1928007,1800859,0,1380988,419871,127148,216484,33178,69306,0,0,114000,526781,84852,441929,8785844,26627366,50864,50455,20966365,20946158,20207,2654695,2005436,52371,323633,1629432,899551,11037,5200,450579,432735,0,-17841522
2021,909799,328720,581080,573942,392973,180969,7138,-853232,7138,180579,-606752,139891,21608,109211,9072,574088,-853232,2490472,1543043,3685917,62700,1173056,-1615991,1222777,-2838767,-2954867,-2838767,116100,42660,380408,328720,-9028,-2997527,-2997527,-1186587,113685,0,113685,-1322068,-1323616,1112,437,-45,0,-45,177922,171929,0,55367,116562,5993,-91556,-20,1206,0,0,-92742,-64526,10626,-75152,1446980,112834,372,1610958,1611378,-420,72466,-72569,277,21447,-94293,-277081,0,0,57823,-332616,-2288,-2633567,494537,-0,130577,-363960,291324,206274,42818,42233,-25372,-24374,-62,0,-936,0,0,0,-650,-2938,2288,266602,-2193728,8042361,4116121,1946015,905977,1264129,3926240,635858,472229,163629,465121,410331,2093,52697,6685,1,6684,2105930,1972789,0,1436356,536433,133141,124928,33158,70512,0,0,21258,587718,95478,492240,8042361,28077611,160760,50827,22577323,22557536,19787,2727161,1936782,52648,345080,1539054,624758,11037,5200,508402,100119,0,-20035250
2022,956808,357875,598933,594087,404798,189289,4846,-531589,4846,201610,-127330,114126,21146,76144,16836,724842,-531589,3042144,1687976,3014261,70118,1041805,212582,1232869,-1020286,-1207104,-1020286,186817,-57865,408167,357875,-108157,-1149239,-1149239,163925,4965,0,4965,42404,42602,-993,795,25,0,25,155604,142245,0,50958,91287,13359,-3488,0,2370,0,0,-5858,-35584,-104,-35480,1338172,0,540,1287454,1287442,12,259438,-124744,370,38470,-163584,-84516,0,0,-9741,-97092,22317,-1174247,107314,-0,132322,25008,288328,197923,41178,49227,-7675,-5992,148,0,-1831,0,0,0,-30214,-7897,-22317,310867,-788923,8557711,4454741,2135372,955204,1364165,4102970,634831,474294,160537,507672,454724,1100,51848,4879,1,4878,2282983,2115033,0,1487313,627720,167950,121440,33158,72882,0,0,15400,551165,95374,455791,8557711,29381884,152863,51367,23864777,23844978,19799,2986599,1808353,53018,383550,1371785,517925,11037,5200,498661,3027,0,-20824173
2023,1010272,378192,632080,634932,432331,202601,-2852,-823633,-2852,174239,-102120,46983,32086,130,14767,939884,-823633,2741982,1801329,3097249,72321,1040974,-346226,1320180,-1666405,-1916313,-1666405,249907,63476,442447,378192,-779,-1979788,-1979788,233388,4624,0,4624,316583,321194,135,-4746,-11,0,-11,-84087,-92162,-1,-25123,-67038,8075,-6152,0,1848,0,0,-8000,2430,12842,-10412,2573071,0,1249,2381969,2381591,378,238465,-156333,1315,29812,-187460,107721,0,0,84890,-3027,25858,-2339683,-410822,-0,-50927,359895,75477,35515,22336,17626,70798,70542,16,1,240,0,0,0,-24613,1244,-25858,170888,-2156247,8944608,4594472,2166688,987056,1440728,4350136,709997,543499,166498,825020,775994,1235,47791,4360,1,4359,2198897,2022872,0,1462190,560682,176025,115288,33158,74730,0,0,7400,496575,108216,388359,8944608,31925028,154107,52616,26246746,26226569,20177,3225064,1646707,54333,413362,1179012,599788,11037,5200,583551,0,0,-22980420
2024,1062700,397890,664810,673263,ND,ND,-8453,-959849,-8453,178352,-93848,65467,47210,3280,14976,1101366,-959849,2921474,1878274,3297977,81283,1050794,-427589,1405861,-1833450,-1993818,-1833450,160368,63478,461785,397890,-417,-2057296,-2057296,21230,5137,0,5137,-52022,-49017,257,-3262,-52,0,-52,83252,75372,48,55784,19540,7880,-1705,0,2234,0,0,-3939,-13380,3025,-16405,2052309,0,487,1913179,1912901,278,231729,-150322,2174,25757,-178253,57236,0,10000,32200,0,15036,-2031079,70789,0,44572,-26216,95921,36067,17158,42697,133249,134033,-538,375,-620,0,0,0,-19350,-4312,-15036,248520,-1674509,9303058,4754288,2199171,1012291,1542826,4548770,849167,682277,166890,769592,728404,1492,39696,6979,1,6978,2282101,2098196,-1,1517974,580222,183905,113583,33158,76964,0,0,3461,527349,111241,416108,9303058,33957987,149795,53103,28159925,28139470,20455,3456793,1496383,56507,439119,1000757,641988,11037,15200,615751,0,0,-24654929
