date,FU883120005.Q,FU313125003.Q,FU713120005.Q,FU713123005.Q,FU713124005.Q,FU713129005.Q,FU713122605.Q,FU713125005.Q,FU703025005.Q,FU763127005.Q,FU763123005.Q,FU763128000.Q,FU763122605.Q,FU763129205.Q,FU753127005.Q,FU753122603.Q,FU753129205.Q,FU743127003.Q,FU473127003.Q,FU883120005.Q,FU153020005.Q,FU143020005.Q,FU103020005.Q,FU113020005.Q,FU313020005.Q,FU213020005.Q,FU793020005.Q,FU713012003.Q,FU763025000.Q,FU753025003.Q,FU513020005.Q,FU543020005.Q,FU573020005.Q,FU343020033.Q,FU223020043.Q,FU403020005.Q,FU613020003.Q,FU643020073.Q,FU663020003.Q,FU503020005.Q,FU263020005.Q,FU263027003.Q,FU263025003.Q,FU903020005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-14400,223,-783,-599,0,0,-398,37,177,-13761,-21521,875,27,6858,-63,-26,-37,-16,0,-14400,5202,1147,543,604,-22723,875,613,0,177,0,189,-6,20,0,8,2,-6,0,229,0,-397,-397,0,883
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1275,0,-917,-459,0,0,-374,-254,170,2243,-1646,741,-192,3340,-14,4,-18,-37,0,1275,-105,2082,1932,150,-552,741,485,0,170,0,182,246,30,0,8,-3,-47,0,-101,0,-562,-562,0,-814
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
