1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q3,66259292,25655005,40604287,5951503,3732479,2238922,1493556,187950,468963,9457,52467,774719,997355,11346446,6831761,4514685,675736,1561271,68803,140106,2068769,18576504,10727374,55531918,5.6331401051648635,9.192326805789635,17.124308735503664,27.943960079327905
2004:Q4,68849658,26439341,42410317,6086342,3884599,2367697,1516903,192433,479578,9733,51623,783536,1060461,12423362,7368566,5054796,760083,1751152,79884,152284,2311393,18955552,11091308,57758350,5.6421477989070485,9.159562452263794,18.044188674968208,29.29325479577448
2005:Q1,69977638,27236710,42740928,6173478,3813789,2300554,1513235,189672,486665,9577,51951,775370,1050529,12417710,7430140,4987570,746638,1722210,80842,153084,2284796,19285422,11299248,58678390,5.450011026448932,8.923037387671465,17.745254192818606,29.05343968073125
2005:Q2,71834647,28054261,43780386,6216681,3986299,2423312,1562988,199116,509696,10002,53415,790759,1056831,12811729,7678716,5133013,791299,1783919,82908,156597,2318290,19708845,11628436,60206211,5.549271096827262,9.105217361009057,17.835028113355776,29.263628461881687
2005:Q3,73884697,28970797,44913900,6341030,3791023,2195905,1595117,202214,528198,9948,53468,801289,1054640,13514260,8082079,5432181,829277,1890809,88813,164095,2459187,20212947,11981057,61903640,5.130998307188934,8.44064433869322,18.291014239697272,30.08926071461535
2005:Q4,75603516,29771424,45832092,6486938,3920005,2305620,1614385,204403,546162,10257,53927,799636,1054923,13802126,8193332,5608794,853838,1980544,93102,169402,2511908,20568100,12279779,63323737,5.1849509087789,8.552970253683684,18.255931467678913,30.114545256730025
2006:Q1,77969794,29976461,47993333,6716384,3966579,2392625,1573954,206060,491647,10034,53519,812694,1140628,15221322,9433871,5787451,874434,1925275,101060,178354,2708328,20948420,12644948,65324846,5.0873283678091115,8.26485515074491,19.522075655638602,31.7154930585347
2006:Q2,78592863,30496024,48096839,6819396,3948817,2364365,1584451,207364,496345,9861,55117,815764,1169105,14837319,9160713,5676606,859028,1888130,98868,179144,2651436,21322202,13001768,65591095,5.024396194804107,8.210137942779241,18.878710492707484,30.84884458100847
2006:Q3,80058877,30892428,49166449,6975069,3982822,2329556,1653266,217927,515651,10378,57280,852030,1166156,15338317,9444782,5893535,896909,1952044,105248,185157,2754177,21704085,13326351,66732526,4.9748657347009955,8.10069006358968,19.158796304370888,31.196715475273805
2006:Q4,81816934,31082953,50733981,7163497,3885447,2167352,1718095,230195,525917,11104,58300,892579,1169908,16535078,10154846,6380232,974609,2089525,116666,196162,3003270,21980050,13590431,68226503,4.748952388207437,7.658471029231577,20.209848287876195,32.59172233484698
2007:Q1,82930775,30950718,51980057,7430747,4023164,2250195,1772969,233568,536353,11394,59272,932382,1192928,17162128,10586242,6575886,987403,2121886,119001,200087,3147509,22171089,13772766,69158009,4.851231765143002,7.739822417993346,20.694523200864566,33.016755816656705
2007:Q2,83948412,30983074,52965338,7487289,3975412,2157312,1818100,240076,544673,11194,60920,961237,1247061,17750157,10709122,7041035,1054491,2251806,129098,214895,3390745,22505419,14071974,69876438,4.735541756067837,7.505686284875683,21.14412436197346,33.5127789816276
2007:Q3,84994778,30890748,54104030,7750800,4484475,2610200,1874275,249749,561460,11783,62237,989046,1275374,17866446,10667569,7198877,1086722,2290850,130417,218505,3472383,22726934,14307922,70686856,5.276176645930453,8.288614794357613,21.020640135257832,33.02239490907714
2007:Q4,84383671,30588476,53795195,8111077,4593978,2651153,1942825,259507,578345,12864,64285,1027824,1389175,16934091,9987099,6946992,1042850,2197628,127761,210657,3368096,22766873,14504231,69879440,5.444155728820119,8.53975614956996,20.06797182677759,31.47881771821797
