1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q3,2147106,96587,85392,8268,19711,3305,36673,7731,18164,2506,8272,0,92407,63236,29171,27633,109408,206557,4820,2689,641153,812502,7240543,3607934,532166,49726,70589,411851,1258306,426335,235111,596860,34571,440290,49204,1293397,3632609,1172793,77530,2382286
1982:Q4,2189414,112027,91673,10063,19031,2435,47703,7948,24255,3322,12178,0,95342,64555,30787,31897,128675,210743,4980,3070,614124,817651,7484730,3623171,533603,37614,74466,421523,1277111,433708,234507,608896,28211,457218,50820,1276208,3861559,1386479,89590,2385490
1983:Q1,2240756,107905,92246,11580,17526,3278,53732,8071,28391,2830,14440,0,94420,65531,28889,28776,141890,215580,5005,3409,628486,836923,7689779,3657347,545830,41187,76920,427723,1313737,435474,235232,643031,27879,438110,57185,1274607,4032432,1533804,90902,2407726
1983:Q2,2312000,116583,97666,11545,14825,3899,60762,9343,31581,3753,16085,0,97475,66730,30745,27745,158078,220261,4983,3707,651607,842864,7925050,3693187,557500,38849,79803,438848,1342964,436509,244551,661904,29738,442362,53628,1266996,4231863,1736716,92259,2402888
1983:Q3,2351869,123739,97393,13176,12259,3847,56816,9943,29491,3141,14241,0,100335,68469,31866,27674,158269,225710,5021,4044,680734,842851,7990972,3775846,565894,40547,81876,443471,1375198,442936,249697,682565,31721,439619,57706,1305708,4215126,1709522,93306,2412298
1983:Q4,2428099,142066,101674,14393,11153,3248,70810,12188,36167,4187,18268,0,106005,70640,35365,26988,159277,262731,5058,4501,678921,841274,8039635,3858948,568188,36775,83897,447516,1431001,464601,260772,705628,30913,464977,55727,1308143,4180687,1630514,106890,2443283
1984:Q1,2518258,155909,99993,15541,11509,4127,82992,12632,44240,2548,23572,0,109126,76050,33076,25313,156938,268766,5065,5034,716809,861136,8140611,4053242,584561,42518,85897,456146,1486064,484217,273113,728734,31321,473593,60422,1417281,4087369,1527807,109741,2449821
1984:Q2,2605696,151707,99091,16503,13318,5917,81000,11246,43437,3291,23026,0,116040,81474,34566,23535,154115,275475,5075,5604,749377,908939,8240099,4230452,606582,53463,88116,465003,1556327,510474,285096,760757,35442,493850,56920,1481331,4009647,1456011,113963,2439673
1984:Q3,2701594,152576,95221,12418,15272,3928,75228,11189,39660,3715,20664,0,121942,86962,34980,22369,170467,280585,5115,6295,775691,964487,8426039,4331172,630042,60349,90480,479213,1601165,518401,294600,788164,36253,494711,57777,1511223,4094867,1543237,116234,2435396
1984:Q4,2713177,160237,104224,13284,16062,3919,79492,9742,41948,5319,22483,0,130832,92454,38378,24401,175013,263661,5140,7193,753413,976306,8483191,4372275,660216,58490,104439,497287,1665530,541632,310646,813252,37203,504505,60318,1444503,4110916,1553653,116169,2441094
1985:Q1,2785547,150217,109420,12568,15820,8081,68285,10202,35624,4183,18276,0,131080,95574,35506,23485,187569,267804,5160,8651,785332,1012075,8736073,4500128,685075,62972,106139,515964,1693407,552752,314517,826138,38624,501790,61330,1519902,4235946,1671498,119952,2444496
1985:Q2,2840693,158964,104764,11895,14675,4225,88176,9798,48218,3502,26658,0,135605,98514,37091,20429,197608,274917,5032,10112,798095,1016196,8891908,4595487,717806,68886,110639,538281,1730978,558176,318441,854361,40318,507609,57964,1540812,4296421,1744053,122482,2429886
1985:Q3,2897283,172773,108177,12514,14413,4794,76473,9326,41501,3533,22113,0,139044,100944,38100,21043,186046,277439,4919,10393,809283,1059972,8953322,4743731,742619,69036,116039,557544,1750831,567885,319902,863044,41305,505527,61746,1641703,4209591,1642361,125211,2442019
1985:Q4,3109004,197485,109901,16023,14516,3374,86923,10478,46856,4017,25572,0,146563,104058,42505,20675,214143,370692,4828,10799,803140,1109943,9310228,4735415,780402,72207,127039,581156,1797732,585944,332083,879705,41644,546211,60605,1508821,4574814,1917631,153289,2503894
1986:Q1,3129754,188505,116137,17734,19191,3349,79307,11646,42964,4167,20530,0,142441,102323,40118,24088,247091,374288,4612,12589,793951,1106471,9545819,4705438,810766,69514,124039,617213,1829742,592081,338244,899417,43407,498756,62165,1460601,4840381,2137668,163080,2539633
1986:Q2,3178160,186128,122345,18854,20134,2900,90823,10268,50723,4518,25314,0,143646,102046,41600,23470,264642,380217,4636,13947,810815,1095603,9742944,4769837,846331,68654,120767,656910,1875306,602647,349601,923058,45054,489911,61722,1451512,4973107,2245424,168356,2559327
1986:Q3,3260420,177915,134442,18104,21424,3742,88764,9378,49491,5750,24145,0,144052,101537,42515,23498,248845,384997,4427,14709,832565,1162936,9744427,4943595,878036,72779,119531,685726,1905929,605349,356058,944522,46226,495109,63911,1554384,4800831,2032679,174766,2593386
1986:Q4,3424113,198348,127838,19201,21344,5073,88684,10173,51096,2360,25055,0,144909,97892,47017,24955,265538,492660,4187,15676,816308,1199393,10090203,5026916,892043,62865,117138,712040,1983133,652566,367221,963346,51191,529417,66053,1505079,5063287,2241896,200911,2620480
1987:Q1,3524219,199534,123132,16826,22046,5556,86391,12384,48425,2274,23308,0,141054,96631,44423,26134,321289,497641,3965,16057,847753,1216842,10590756,5022631,918406,63593,117349,737464,2018568,637674,370841,1010053,57103,532658,67406,1428490,5568125,2709357,208891,2649877
1987:Q2,3571543,203844,122975,15896,21684,5532,79914,13815,43099,3006,19994,0,141018,94447,46571,26169,336338,505161,3866,15039,864259,1229848,10747842,5077024,941146,67916,116146,757084,2059278,646317,382732,1030229,59000,527180,70408,1420011,5670818,2784821,217201,2668796
1987:Q3,3635478,204158,120919,15081,21728,5601,80849,16886,41642,3036,19285,0,140966,92891,48075,26352,357654,512466,3710,14628,886331,1245036,10985689,5124273,963518,68108,116097,779313,2090772,653641,387255,1049876,70075,537607,71305,1390996,5861415,2945570,226600,2689245
1987:Q4,3674810,208865,126333,16262,22058,3362,78567,14966,41589,2648,19364,0,147077,93049,54028,27104,275803,538063,3685,12817,881598,1333216,10692020,5440068,986175,73768,116224,796183,2150202,666130,408806,1075266,66999,578862,71717,1586113,5251952,2287678,236818,2727456
1988:Q1,3757377,205592,124630,18334,23453,3658,76163,12295,41115,3702,19051,0,150548,99635,50913,28833,270421,538954,3602,12167,919892,1381130,11019722,5575228,1011324,73507,115753,822064,2198841,671138,431910,1095793,63962,585078,73192,1642831,5444495,2420352,252797,2771346
1988:Q2,3835449,213793,119384,25398,22091,3075,74323,15348,36777,6107,16091,0,160172,107342,52830,28138,266069,543200,3614,11478,958949,1405764,11262985,5669969,1047566,77847,116168,853551,2247858,691501,439557,1116800,67012,592523,71358,1643652,5593017,2516095,270675,2806247
1988:Q3,3893625,212983,124824,26273,21284,3695,72495,13725,36840,5918,16012,0,168927,115140,53787,27990,245024,550938,3724,10912,975610,1448946,11363580,5783921,1074802,80303,115932,878567,2277469,694773,450701,1131995,71103,589151,71009,1700387,5579659,2460529,282989,2836141
1988:Q4,4179205,225196,129230,21554,20959,4981,74715,13648,38251,6022,16794,0,181253,120496,60757,30781,230344,615657,3753,10627,984210,1645945,11779397,6034999,1102799,85676,116409,900714,2336218,718260,454426,1163532,77855,640021,71132,1806973,5744399,2559333,314053,2871013
1989:Q1,4326288,218570,122107,18622,22028,3744,93104,14686,47795,7692,22931,0,168405,115752,52653,35128,243434,623683,3383,10876,1017506,1745699,12122085,6221169,1127636,96147,115626,915863,2383126,723113,477533,1182480,90624,642483,76986,1900315,5900916,2670653,318291,2911972
1989:Q2,4370314,220105,128116,17113,22173,3524,100109,17526,50845,7090,24648,0,163116,108724,54392,35023,261289,627617,2954,11643,1047531,1730000,12393847,6280605,1162621,110059,115090,937472,2425974,737444,495584,1192946,94414,646860,72612,1878124,6113242,2837245,327843,2948154
1989:Q3,4399877,221388,120264,13992,22377,2449,105256,14351,56344,6564,27997,0,156983,101207,55776,35450,285558,633029,2881,12045,1058457,1729748,12679921,6316989,1181428,113273,114688,953467,2439626,744902,491384,1203340,94682,643932,72619,1884702,6362932,3057566,342218,2963148
1989:Q4,4487393,234901,128961,14705,21999,2783,119190,14291,63378,9170,32351,0,157713,93884,63829,42055,287674,699734,2950,11709,1033072,1729947,12955733,6400636,1197917,107112,115490,975315,2482001,771068,507996,1202937,98272,664370,69706,1888370,6555098,3140008,424050,2991040
1990:Q1,4493481,226143,119428,15669,25966,2036,99565,11574,56308,7046,24637,0,150328,91816,58512,42874,278230,711776,2750,11097,1039846,1767773,12946644,6492586,1222979,126034,114943,982002,2517345,764856,531788,1220701,100943,656136,74037,1921146,6454058,3006907,436483,3010668
1990:Q2,4503920,226576,121084,15551,27570,1800,99797,12555,58039,5292,23911,0,150113,90528,59585,41723,294621,719576,2675,11261,1075983,1715591,13102684,6479324,1242767,128659,115278,998830,2538771,770487,544950,1223334,103723,660767,68993,1864304,6623359,3136251,447057,3040051
