1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,94706,22521,13712,2082,0,0,11647,0,8988,515,2144,0,20244,3650,0,16594,0,874,0,4671,16949,136,381171,0,4698,2567,201243,168581,283,32379,58901,0,58901,6211,4572,102979,82735,369200
1953:Q3,89351,22220,15891,2040,0,815,11811,0,9114,494,2203,0,20930,3759,0,17171,0,874,0,4748,7862,273,391253,0,4716,2509,209238,175018,425,33795,59007,0,59007,6236,4691,104856,77192,379094
1953:Q4,89462,22091,13672,2299,0,175,12151,0,9342,516,2293,0,21094,3750,0,17344,0,874,0,4417,10462,397,398479,0,4738,2465,214079,176814,2253,35012,59086,0,59086,6259,4758,107094,77053,386070
1954:Q1,91976,22035,15878,2627,0,-216,12351,0,9402,565,2384,0,21033,3704,0,17329,0,866,0,4682,10699,267,398645,0,4779,2415,211627,172200,2911,36516,59052,0,59052,6246,5061,109465,79520,386189
1954:Q2,92813,22027,16282,2670,0,0,12483,0,9466,576,2441,0,20679,3717,0,16962,0,845,0,4577,11336,121,400897,0,4803,2355,211783,171915,2002,37866,59295,0,59295,6187,4853,111621,80429,388513
1954:Q3,85027,21863,13286,2782,0,1006,12712,0,9638,606,2468,0,20765,3877,0,16888,0,845,0,4867,4957,212,406525,0,4815,2304,214958,175045,537,39376,59437,0,59437,6087,4897,114027,72468,393966
1954:Q4,87908,21793,13704,2789,0,172,12916,0,9789,660,2467,0,20957,4007,0,16950,0,938,0,4823,7748,315,415828,0,4829,2239,221533,178532,2338,40663,59764,0,59764,5960,5104,116399,75213,403133
1955:Q1,91407,21763,13649,2751,0,402,13173,0,9978,739,2456,0,21213,4056,0,17157,0,938,0,4858,10637,213,415881,0,4841,2200,218723,173973,2595,42155,59959,0,59959,5861,5116,119181,78526,403000
1955:Q2,96730,21730,15526,2822,0,0,13475,0,10248,772,2455,0,21469,4164,0,17305,0,938,0,4811,13903,141,417661,0,4846,2107,217814,172997,1550,43267,60324,0,60324,5809,5202,121559,83589,404520
1955:Q3,89270,21745,13844,2665,0,1136,13764,0,10550,751,2463,0,21569,4198,0,17371,0,938,0,4915,6437,313,423366,0,4850,1997,220767,175191,908,44668,60594,0,60594,5810,5386,123962,75816,409912
1955:Q4,92467,21753,13453,2713,0,721,14111,0,10936,696,2479,0,21579,4263,0,17316,0,938,0,5137,9614,469,431047,0,4852,1984,225497,178189,1611,45697,60728,0,60728,5795,5667,126524,78601,417181
1956:Q1,96405,21765,16037,2859,0,563,14323,0,11198,630,2495,0,21551,4282,0,17269,0,938,0,5098,10818,391,430978,0,4859,1893,222273,173724,1617,46932,60916,0,60916,5853,5842,129342,82254,416827
1956:Q2,99051,21868,16056,2840,0,0,14676,0,11531,642,2503,0,21809,4305,0,17504,0,935,0,5444,13020,291,429624,0,4876,1858,217506,168502,1151,47853,61157,0,61157,5943,6028,132256,84557,415130
1956:Q3,92717,22032,14124,2677,0,1878,14969,0,11779,691,2499,0,21857,4321,0,17536,0,970,0,5528,5843,466,434936,0,4890,1792,219431,169476,917,49038,61651,0,61651,6029,6267,134876,77944,420163
1956:Q4,95002,22058,12637,2730,0,1292,15235,0,11988,767,2480,0,22311,4365,0,17946,0,970,0,5477,8655,533,442823,0,4910,1740,223855,172637,1356,49862,61565,0,61565,6098,6684,137971,80015,427836
1957:Q1,100337,22406,15793,2924,0,1118,15317,0,12017,835,2465,0,22372,4457,0,17915,0,1045,0,5550,10121,379,447848,0,4929,1693,223790,171487,1378,50925,61102,0,61102,6144,6796,143394,85279,432790
1957:Q2,100927,22732,15028,3049,0,0,15327,0,12006,847,2474,0,22219,4551,0,17668,0,1038,0,5721,11920,222,447960,0,4951,1592,218819,166057,926,51836,60942,0,60942,6166,6930,148560,85869,432902
1957:Q3,96549,22759,14386,3082,0,2242,15188,0,11867,807,2514,0,22502,4684,0,17818,0,1038,0,5706,5227,376,458345,0,4970,1490,224565,170669,704,53192,60614,48,60566,6178,7069,153459,81524,443320
1957:Q4,96949,22857,12163,3084,0,1820,15002,0,11660,752,2590,0,23105,4848,0,18257,0,1038,0,5499,7776,540,466937,0,4990,1413,227891,171843,1679,54369,60388,96,60292,6185,7608,158462,82029,452017
1958:Q1,98426,22487,13501,3703,0,1758,14742,0,11326,750,2666,0,23432,4968,0,18464,0,1038,0,5231,7951,320,470628,0,5026,1388,228164,170060,2275,55829,60800,222,60578,6192,7709,161349,83713,455915
1958:Q2,102208,21412,18386,4388,0,0,14796,0,11395,696,2705,0,23627,5076,0,18551,0,1034,0,5124,8817,125,476815,0,5047,1288,231548,173354,1222,56972,61154,347,60807,6203,7855,163720,87350,461957
1958:Q3,92724,20929,11628,4035,0,2093,14842,0,11471,648,2723,0,24082,5182,0,18900,0,1028,0,5161,4083,246,482463,0,5063,1287,233718,173914,1291,58513,61452,439,61013,6219,8138,166586,77713,467452
1958:Q4,96820,20582,12261,3916,0,1417,14964,0,11627,600,2737,0,24761,5470,0,19291,0,1028,0,5222,7815,461,494683,0,5078,1220,242513,181096,1598,59819,61530,532,60998,6241,8517,169584,81606,479469
1959:Q1,96635,20486,12894,3909,0,204,15157,0,11848,564,2745,0,25535,5955,0,19580,0,1031,0,5261,7386,489,498407,0,5090,1186,243829,181118,1314,61397,61501,581,60920,6268,8714,171819,81167,482939
1959:Q2,99336,19746,13997,3978,0,0,15491,0,12165,579,2747,0,26396,6446,0,19950,0,1034,0,5373,8139,452,501977,0,5123,1127,245727,182046,1026,62655,61568,632,60936,6299,8818,173315,83486,486127
1959:Q3,99653,19579,15113,3497,0,998,15706,0,12375,593,2738,0,26923,6810,0,20113,0,1027,0,5450,6228,461,510524,0,5153,1075,252081,186548,939,64594,61492,739,60753,6327,9032,175364,83559,494430
1959:Q4,100014,19507,14590,3464,0,576,16104,0,12842,548,2714,0,27072,6995,0,20077,0,1029,0,5597,7132,472,517562,0,5155,1031,256758,190148,949,65661,61118,847,60271,6350,9484,177666,83423,500971
1960:Q1,99410,19457,14832,3628,0,154,16471,0,13200,583,2688,0,27326,6971,0,20355,0,1029,0,5783,5770,463,519700,0,5184,975,254677,186451,978,67248,61172,947,60225,6371,9911,181410,82449,502739
1960:Q2,102032,19363,17669,4038,0,0,16823,0,13511,638,2674,0,27660,7058,0,20602,0,1111,0,5793,4516,469,522960,0,5198,917,253631,184325,953,68353,61826,1049,60777,6389,10030,184969,84676,505604
1960:Q3,103679,18725,17610,4316,0,155,17260,0,13775,797,2688,0,27940,7200,0,20740,0,1115,0,5873,5575,501,529743,0,5219,873,256546,186230,392,69924,62067,1150,60917,6406,10344,188288,85966,512030
1960:Q4,102383,17804,15620,4819,0,-176,17573,0,13739,1087,2747,0,28260,7382,0,20878,0,1194,0,6004,6166,523,536758,0,5242,844,260009,188350,688,70971,62274,1252,61022,6426,10860,191103,84657,519032
1961:Q1,99222,17433,13255,5183,0,92,17710,0,13581,1323,2806,0,28942,7528,0,21414,0,1194,0,6003,4233,559,540092,0,5253,803,259042,185688,934,72420,62809,1306,61503,6447,11193,194545,81545,522415
1961:Q2,101178,17603,15189,5554,0,93,17899,0,13946,1129,2824,0,28860,7689,0,21171,0,1198,0,6042,3361,537,545834,0,5281,774,259900,185994,656,73250,63785,1360,62425,6469,11203,198422,83005,527661
1961:Q3,107075,17457,16968,5542,0,587,18108,0,13790,1511,2807,0,29667,7891,0,21776,0,1187,0,6211,5610,502,557240,0,5406,743,266495,191041,436,75018,64233,1417,62816,6493,11602,202268,89037,539202
1961:Q4,107379,16947,15493,5749,0,3,18320,0,14002,1555,2763,0,30189,8098,0,22091,0,1359,0,6297,7518,508,566630,0,5429,720,271550,194206,995,76349,64441,1474,62967,6519,12114,205857,89148,548399
1962:Q1,107357,16643,15697,6377,0,156,18260,0,13976,1572,2712,0,30951,8214,0,22737,0,1360,0,6309,6304,515,570805,0,5432,677,273633,194302,1294,78037,64887,1554,63333,6548,12164,207464,89118,552566
1962:Q2,111417,16527,19393,6641,0,277,18524,0,14220,1625,2679,0,31599,8274,0,23325,0,1362,0,6408,5529,461,575085,0,5442,648,274559,194009,1347,79203,65993,1635,64358,6579,12477,209387,92806,556474
1962:Q3,111568,16082,18007,6385,0,1137,18936,0,14581,1713,2642,0,31804,8336,0,23468,0,1351,0,6652,6321,420,579192,0,5394,620,276201,194901,748,80552,66258,1683,64575,6612,12910,211197,92581,560205
1962:Q4,112857,16057,16628,6719,0,516,19597,0,15157,1867,2573,0,32423,8421,0,24002,0,1475,0,6849,7686,381,589383,0,5411,601,283092,199754,1538,81800,66722,1734,64988,6644,13594,213319,93157,569683
1963:Q1,113975,15946,17054,7569,0,65,20180,0,16107,1580,2493,0,33160,8426,0,24734,0,1477,0,7171,6321,405,595541,0,5422,575,284542,199827,1739,82976,67235,1759,65476,6677,13784,217306,93344,574910
1963:Q2,118865,15830,21171,7720,0,63,20516,0,16398,1684,2434,0,33318,8131,0,25187,0,1486,0,7495,5972,380,601270,0,5431,551,285307,199094,1489,84724,68792,1786,67006,6711,13857,220621,97981,580386
1963:Q3,118763,15634,18050,7708,0,1081,20843,0,16966,1491,2386,0,33537,8116,0,25421,0,1473,0,7600,7559,377,606652,0,5432,523,286168,199333,936,85899,68996,1790,67206,6744,14314,224475,97257,585146
1963:Q4,119531,15596,17137,8353,0,-639,21079,0,16314,2431,2334,0,34145,8219,0,25926,0,1482,0,7798,9319,328,616469,0,5422,508,290618,202211,1367,87040,69633,1796,67837,6775,15066,228447,98680,595618
1964:Q1,120468,15550,18874,8621,0,-723,21088,0,16504,2303,2281,0,34907,8287,0,26620,0,1468,0,7794,7914,286,622173,0,5423,491,291933,202520,1236,88177,69701,1793,67908,6803,15254,232568,99484,601189
1964:Q2,123397,15623,20665,8937,0,91,21279,0,16446,2590,2243,0,35609,8290,0,27319,0,1519,0,7923,6920,279,627367,0,5422,473,292117,200805,1364,89948,70912,1787,69125,6827,15212,236404,102434,606404
1964:Q3,125556,15643,19958,9127,0,458,21786,0,16793,2768,2225,0,36458,8345,0,28113,0,1475,0,8229,7753,293,637025,0,5397,455,296438,203501,1177,91760,71390,1805,69585,6851,15702,240792,104166,615635
1964:Q4,126645,15471,18893,10084,0,-1542,22500,0,17333,2944,2223,0,37157,8397,0,28760,0,1529,0,8574,9023,309,648222,0,5249,436,302149,206767,2222,93160,71784,1826,69958,6879,16409,245316,104625,626202
1965:Q1,128263,14638,20019,10710,0,-603,22834,0,17597,3016,2221,0,37960,8413,0,29547,0,1529,0,8673,7843,270,653924,0,5234,411,303143,206174,2308,94661,72295,1850,70445,6910,16741,249190,105922,631583
1965:Q2,132523,14308,22912,10833,0,273,23297,0,17987,3103,2207,0,38684,8348,0,30336,0,1524,0,8968,6547,282,658276,0,5256,388,301796,202972,1966,96858,73547,1876,71671,6944,17127,253218,109674,635427
1965:Q3,131381,14184,18323,11299,0,1019,24035,0,18760,3086,2189,0,39213,8424,0,30789,0,1519,0,9387,7604,319,665004,0,5316,371,302625,201452,2268,98905,74012,1861,72151,6979,17741,257960,107713,641336
1965:Q4,134075,14065,16901,12436,0,-318,24836,0,19524,3145,2167,0,40253,8567,0,31686,0,1519,0,9725,9749,307,678432,0,5419,352,310092,207025,2670,100397,74334,1845,72489,7013,18362,262860,109607,653964
1966:Q1,135574,13738,17189,12494,0,15,25141,0,19835,3165,2141,0,41487,8827,0,32660,0,1571,0,9946,8998,309,686451,0,5580,332,311912,206960,3110,101842,74557,1830,72727,7042,18719,268309,110775,661652
1966:Q2,140235,13529,23787,12874,0,361,25434,0,20346,2969,2119,0,42181,9086,0,33095,0,1609,0,10243,5270,374,691217,0,5822,216,309181,200411,4629,104141,76425,1815,74610,7070,19192,273311,114860,665842
1966:Q3,138935,13356,18372,12991,0,2282,25514,0,20248,3154,2112,0,43690,9422,0,34268,0,1623,0,10939,5338,377,700694,0,5930,164,312027,202581,3922,105524,76634,1800,74834,7096,19848,278995,113368,675127
1966:Q4,140590,13235,17061,13682,0,1466,25938,0,20097,3716,2125,0,44336,9779,0,34557,0,1513,0,11615,6931,452,715063,0,6161,135,318796,208138,4025,106633,77342,1783,75559,7120,20680,284829,114964,689437
1967:Q1,142773,13184,18105,15250,0,177,26091,0,20115,3843,2133,0,45939,9975,0,35964,0,1546,0,11980,5906,457,724996,0,6348,99,322964,209601,5489,107874,76898,1770,75128,7144,20989,290554,117111,699334
1967:Q2,138749,13169,19272,15938,0,369,26002,0,20003,3863,2136,0,46789,10100,0,36689,0,1563,0,12691,-1638,498,727040,0,6456,83,317275,199980,7100,110195,77995,1755,76240,7168,21826,296237,113146,701437
1967:Q3,148649,13077,19087,15718,0,1559,25811,0,20033,3651,2127,0,48258,10440,0,37818,0,1643,0,13205,5729,468,743814,0,6604,44,327528,208290,6919,112319,78369,1738,76631,7188,22256,301825,122919,718084
1967:Q4,151155,12065,18952,16159,0,1429,25885,0,19742,4018,2125,0,49019,10820,0,38199,0,1684,0,13661,7818,452,761116,0,6628,25,338872,216899,8180,113793,78862,1720,77142,7200,23019,306510,125709,735670
1968:Q1,155005,10703,17588,16710,0,2242,26498,0,19320,5093,2085,0,50616,11262,0,39354,0,1724,0,13808,10425,471,775996,0,6799,0,345929,222114,8537,115278,79069,1702,77367,7202,23183,313814,129964,750955
1968:Q2,154320,10681,18089,16843,0,1440,27583,0,19303,6136,2144,0,51542,11659,0,39883,0,1778,0,14273,6478,464,783050,0,6708,0,344075,217294,9458,117323,80751,1684,79067,7194,23494,320828,129038,757768
1968:Q3,161179,10755,19409,17782,0,2846,28700,0,19514,7037,2149,0,52977,12076,0,40901,0,1632,0,14697,6834,400,801116,0,6741,0,353785,223989,10477,119319,80818,1670,79148,7186,24017,328569,135638,775575
1968:Q4,161113,10892,15885,19478,0,491,29655,0,19926,7558,2171,0,54029,12456,0,41573,0,1512,0,15183,8650,367,815509,0,6795,0,359151,225679,11340,122132,81193,1654,79539,7186,24874,336310,135023,789419
1969:Q1,166183,10836,16364,18626,0,1641,30935,0,20432,8308,2195,0,55211,12750,0,42461,0,1534,0,15692,10229,324,828444,0,6826,0,362907,225552,11552,125803,81407,1635,79772,7197,25027,345080,139426,801687
1969:Q2,163804,11153,17820,17042,0,2978,31288,0,20956,8080,2252,0,56302,13084,0,43218,0,1589,0,16376,3715,302,829110,0,6736,0,353982,213596,11043,129343,82545,1610,80935,7217,25501,353129,136391,801697
1969:Q3,167996,11164,18081,13872,0,6757,31967,0,21751,7961,2255,0,57528,13412,0,44116,0,1639,0,17009,4463,289,845353,0,6761,0,361270,219837,9379,132054,82856,1598,81258,7239,25851,361376,139719,817076
1969:Q4,170937,11859,19560,13431,0,3990,32855,0,23007,7612,2236,0,58922,13883,0,45039,0,1696,0,17341,5387,257,861776,0,6848,0,367280,224726,9036,133518,83560,1573,81987,7252,26820,370016,140955,831794
1970:Q1,176301,12823,20004,15114,0,2985,33346,0,23963,7175,2208,0,60243,14396,0,45847,0,1762,0,17156,6360,256,879492,867,6900,0,371709,227467,8584,135658,83185,1556,81629,7321,27177,382333,145432,848623
1970:Q2,173173,12846,22292,17350,0,566,33410,0,24366,6750,2294,0,61055,14635,0,46420,0,1812,0,17155,286,258,890151,867,6986,0,368872,221776,8098,138998,84806,1532,83274,7333,27176,394111,141941,858919
1970:Q3,176511,12485,20592,20256,0,1622,32435,0,23868,6271,2296,0,62007,14849,0,47158,0,1860,0,17160,2193,229,910349,867,7074,0,378777,229196,7999,141582,85163,1506,83657,7344,27617,403507,145581,879419
1970:Q4,177812,11923,21487,23688,0,-1102,30507,0,22940,5183,2384,0,62723,15102,0,47621,0,1929,0,17186,3339,217,933716,867,7149,0,391238,237659,8078,145501,86106,1498,84608,7358,27969,413029,147672,903576
1971:Q1,178994,12406,18514,26659,0,-1691,28413,0,22010,4040,2363,0,63477,15319,0,48158,0,1964,0,16821,6588,206,954212,1584,7270,0,396413,239296,7371,149746,87334,1484,85850,7375,28549,425687,149712,924930
1971:Q2,180349,11754,23103,26738,0,161,27522,0,21890,3301,2331,0,64507,15435,0,49072,0,2013,0,16099,2943,255,974830,1584,7420,0,402314,241212,7136,153966,89113,1463,87650,7393,28752,438254,151287,945768
1971:Q3,186180,11304,23545,27456,0,2026,27283,0,21848,3150,2285,0,65349,15693,0,49656,0,2112,0,16086,6256,325,1002186,1584,7547,0,414527,249957,6695,157875,90178,1445,88733,7412,29272,451666,156957,972963
1971:Q4,192189,11400,25890,30904,0,-723,27748,0,22587,3029,2132,0,65927,15801,0,50126,0,2176,0,16411,7699,308,1032204,1720,7627,0,429986,261392,7028,161566,91506,1426,90080,7429,29240,464696,162289,1002304
1972:Q1,196318,11627,21978,32320,0,43,28522,0,23279,3239,2004,0,67085,16222,0,50863,0,2220,0,16438,11443,333,1056099,2491,7895,0,437396,264601,7114,165681,92439,1401,91038,7459,29583,478836,165587,1025368
1972:Q2,197072,12448,24689,33602,0,229,29508,0,23584,4200,1724,0,67611,16580,0,51031,0,2289,0,16651,5445,335,1070901,2491,8066,0,433960,257796,7099,169065,95050,1383,93667,7498,29771,494065,166619,1040448
1972:Q3,204487,12445,23610,34010,0,2476,30975,0,24150,4888,1937,0,68766,16756,0,52010,0,2337,0,16984,8477,290,1095686,2491,8200,0,441587,261550,7561,172476,96149,1362,94787,7540,30645,509074,173129,1064328
1972:Q4,212520,12445,26717,37767,0,-832,33062,0,24896,6333,1833,0,69163,16495,0,52668,0,2447,0,17046,10528,206,1126181,2491,8313,0,455539,272428,7927,175184,97921,1340,96581,7581,31976,522360,180265,1093926
1973:Q1,224733,12662,26732,40919,0,-342,35186,0,25424,7704,2058,0,70427,16612,0,53815,0,2537,0,17440,14877,208,1146750,2767,8420,0,466937,279503,8188,179246,97856,1318,96538,7624,32400,530746,192454,1114471
1973:Q2,223844,12653,27956,41464,0,4,37357,0,25889,9415,2053,0,70075,15825,0,54250,0,2613,0,18534,8856,215,1153034,2767,8531,0,462422,272356,7771,182295,100835,1300,99535,7671,33145,537663,191347,1120537
1973:Q3,228108,12653,21149,43327,0,1710,39313,0,26152,11199,1962,0,72508,17231,0,55277,0,2716,0,19104,11307,235,1161760,2767,8614,0,464368,270401,8213,185754,101333,1284,100049,7717,34082,542879,195023,1128675
1973:Q4,241621,13818,25859,44824,0,501,41091,0,26065,12964,2062,0,73539,17606,0,55933,0,2820,0,20147,14110,178,1184912,2767,8716,0,474570,276350,8357,189863,102038,1269,100769,7756,35537,553528,208578,1151869
1974:Q1,246382,13818,22268,46551,0,2753,42747,0,26102,14601,2044,0,72428,17985,0,54443,0,2917,0,20632,17022,118,1206232,2767,8813,0,481079,278582,8714,193783,102457,1249,101208,7789,36007,567320,213262,1173112
1974:Q2,246992,13847,25899,48157,0,47,44091,0,25809,15834,2448,0,74423,19324,0,55099,0,3059,0,21586,11003,144,1221871,2767,8924,0,478321,271853,8685,197783,106854,1227,105627,7816,36952,580237,213954,1188833
1974:Q3,256037,13934,22444,47961,0,3454,45205,0,26258,16412,2535,0,77680,21184,0,56496,0,3141,0,22554,14271,176,1250084,2723,9069,0,461626,251769,8477,201380,130991,1196,129795,7842,38333,599500,222071,1216118
1974:Q4,257453,14026,21404,50564,0,-1257,45153,0,26523,16044,2586,0,83425,23839,0,59586,0,3357,0,19107,16053,124,1278232,2809,9252,0,472731,261883,8227,202621,131939,1163,130776,7871,39805,613825,222752,1243531
1975:Q1,262231,14043,20875,49315,0,963,45880,0,26991,16327,2562,0,86253,24656,0,61597,0,3509,0,18983,16547,109,1316734,2862,9453,0,490221,278231,7934,204056,135409,1159,134250,9015,44715,625059,226990,1281493
1975:Q2,262622,14038,24256,48711,0,13,46812,0,26734,17610,2468,0,90813,27225,0,63588,0,3628,0,19696,8828,94,1350075,2836,9687,0,509635,294758,7885,206992,140778,1117,139661,9394,46234,631511,227742,1315195
1975:Q3,276166,13900,24321,47868,0,2070,48888,0,27183,18506,3199,0,94794,29531,0,65263,0,3828,0,20762,13912,92,1394562,2671,9934,0,535614,319044,7876,208694,139012,1100,137912,9433,48065,649833,239991,1358387
