1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q1,41903,-18227,1200,761,214,80612,4724,-30,-12,507,944,-10860,6606,-742,-2985,-152,-20657,78382,4339,4994,2009,-993,63394,5777,241,1557,0,11154,-3007,-287,6391,13716,0,-1786,-4200,243,-25389,229,0,-36479
1994:Q2,3526,-13040,4951,-2468,1138,43723,6068,199,428,291,-56,-4204,2719,-616,-2194,-127,-33286,29681,4485,3869,2016,293,24756,7462,126,-209,0,-9810,3774,252,-2431,7955,0,-2389,-3745,132,-6199,-656,0,-26154
1994:Q3,-26018,-12096,4951,-1106,-117,-21890,2444,307,614,401,223,61,6527,-788,3610,-223,-8936,-1973,15834,4494,3692,-130,-12610,1051,-6,-4866,0,7430,2094,557,-1933,-7200,0,-1983,-3840,797,-5675,321,0,-24046
1994:Q4,22428,702,4951,6678,-585,-10480,1381,1359,762,440,1247,-3997,11859,83,-8522,1146,15404,140841,102620,3619,13379,1098,3937,-1137,-481,484,29,-1990,-2949,-44,1033,16907,0,913,-4436,1204,6133,522,0,-118413
1995:Q1,27180,-1620,3401,-6005,1551,24663,1280,-146,-1425,328,7020,-2985,9892,-87,1168,-42,-9813,8919,27480,8169,-2956,-1210,-21510,-2263,-406,608,0,6140,1503,-360,-4259,-11378,0,-238,2784,190,6537,87,0,18261
1995:Q2,8685,8578,3401,1346,306,-52599,9843,1040,-122,1133,4902,2196,5929,-147,8151,-174,14902,53485,-8772,8294,41510,803,-11535,-3433,364,-346,0,-6362,1502,354,7603,3121,0,1522,-155,525,18274,216,0,-44800
1995:Q3,82971,42308,3401,5585,-384,13532,-3793,-27,32,330,1537,2794,1584,-88,4410,719,11032,68447,45960,8918,14333,-128,-3412,1991,132,-538,0,3579,1502,253,3316,-14367,0,10084,-34,-163,-2609,-369,0,14524
1995:Q4,96084,58454,3401,3576,-221,11009,-1654,2053,34,5864,1372,-1242,8339,-45,12777,562,-8195,117632,80600,9294,2427,1438,-7913,-5575,1502,205,-6967,8193,1503,-33,4140,20164,0,-12226,2736,-483,17185,1443,0,-21548
1996:Q1,32848,47034,7358,-3633,32,-7313,-7335,-137,183,638,238,2527,-67,-46,-9454,-49,2872,32088,78803,8310,-24863,-925,4700,-5168,-193,2803,0,-6099,4351,355,6315,-13204,0,3291,-513,-1278,-24488,-110,0,760
1996:Q2,11059,362,7358,2949,63,16895,-3035,-286,343,616,-304,-3251,-4621,-63,2578,313,-8858,4061,5195,8434,-22199,391,32018,-3502,116,-1048,0,1137,4353,282,1024,-18564,0,-3807,3182,-666,-2797,513,0,6998
1996:Q3,109498,67164,7358,-7409,323,25080,-452,832,176,478,1525,-926,774,-77,16297,666,-2311,52812,15239,9061,24928,-48,12242,-283,427,-1388,0,-1300,4353,-170,-1469,-8861,0,19,6312,-876,-5101,-273,0,56686
