date,FL154090005.A,FL144090005.A,FL314090005.A,FL214090005.A,FL384090005.A,FL794090005.A,FL264090005.A,FL894090005.A,FL907005015.A,FL154190005.A,FL144194005.A,FL314190005.A,FL214190005.A,FL384194005.A,FL794194005.A,FL264194005.A,FL894194005.A,FL154190005.A,FL144190005.A,FL314190005.A,FL214190005.A,FL384190005.A,FL794190005.A,FL264190005.A,FL894190005.A,FL313011105.A,FL313111303.A,FL313011105.A,FL313111303.A,FL713011005.A,FL263011105.A,FL313011303.A,FL893011105.A,FL893111305.A,FL903011105.A,FL794010005.A,FL794110005.A,FL264016005.A,FL264116005.A,FL894010005.A,FL894110005.A,FL904010005.A,FL153020005.A,FL143020005.A,FL313020005.A,FL313125003.A,FL213020005.A,FL383020005.A,FL313125003.A,FL793020005.A,FL793120005.A,FL263020005.A,FL893020005.A,FL883120005.A,FL903020005.A,FL153030005.A,FL143030005.A,FL313030003.A,FL213030000.A,FL383030005.A,FL793030005.A,FL703130005.A,FL263030005.A,FL703130005.A,FL703130005.A,FL153030505.A,FL103091003.A,FL313030505.A,FL313131003.A,FL383030505.A,FL313131003.A,FL793030505.A,FL403197033.A,FL263130505.A,FL893030505.A,FL893130505.A,FL903091005.A,FL153034005.A,FL143034005.A,FL213034003.A,FL383034005.A,FL793034005.A,FL634090005.A,FL263034003.A,FL634090005.A,FL634090005.A,FL102051003.A,FL313011545.A,FL212051003.A,FL382051005.A,FL792050005.A,FL792150005.A,FL262051005.A,FL262151005.A,FL892050005.A,FL892150005.A,FL902050005.A,FL154022005.A,FL163162003.A,FL144022005.A,FL104122005.A,FL314022005.A,FL314122005.A,FL214022005.A,FL213162005.A,FL384022005.A,FL384122005.A,FL794022005.A,FL794122005.A,FL264022005.A,FL264122005.A,FL894022005.A,FL894122005.A,FL904022005.A,FL103069100.A,FL103169100.A,FL213069103.A,FL383069105.A,FL103169100.A,FL793069175.A,FL793169175.A,FL263069103.A,FL263169105.A,FL893169175.A,FL893169175.A,FL153061105.A,FL143061105.A,FL313161105.A,FL213061103.A,FL383061105.A,FL313161105.A,FL793061105.A,FL263061105.A,FL893061105.A,FL313161105.A,FL903061103.A,FL153061705.A,FL103061703.A,FL313061703.A,FL313161705.A,FL213061703.A,FL383061705.A,FL313161705.A,FL793061705.A,FL423161705.A,FL263061705.A,FL893061705.A,FL893161705.A,FL903061703.A,FL153062005.A,FL163162003.A,FL143062005.A,FL103162000.A,FL213062003.A,FL213162005.A,FL383062005.A,FL383162005.A,FL793062005.A,FL263062003.A,FL893062005.A,FL383162005.A,FL903062003.A,FL153063005.A,FL123063003.A,FL103163005.A,FL313063005.A,FL213063003.A,FL383063005.A,FL103163005.A,FL793063005.A,FL793163005.A,FL263063005.A,FL263163005.A,FL893063005.A,FL893163005.A,FL903063003.A,FL154023005.A,FL154123005.A,FL144023005.A,FL144123005.A,FL314023005.A,FL314123005.A,FL214023005.A,FL213169203.A,FL384023005.A,FL384123005.A,FL794023005.A,FL794123005.A,FL263069005.A,FL264123005.A,FL894123005.A,FL894123005.A,FL153168005.A,FL143168005.A,FL383168005.A,FL793068005.A,FL793168005.A,FL263168005.A,FL793068005.A,FL793068005.A,FL153069005.A,FL153169005.A,FL143169005.A,FL313069005.A,FL313169005.A,FL213069200.A,FL213169203.A,FL383069005.A,FL383169005.A,FL793069005.A,FL793169005.A,FL263069005.A,FL263169005.A,FL893169005.A,FL893169005.A,FL153065005.A,FL153165005.A,FL143065005.A,FL143165005.A,FL313065005.A,FL313165403.A,FL213065005.A,FL383065005.A,FL383165005.A,FL793065005.A,FL893065005.A,FL893065005.A,FL163066223.A,FL153166000.A,FL143066005.A,FL313066220.A,FL383066005.A,FL153166000.A,FL793066005.A,FL153166000.A,FL153166000.A,FL103092305.A,FL103092305.A,FL793092305.A,FL263192305.A,FL263192305.A,FL263192305.A,FL143192305.A,FL143192305.A,FL793192305.A,FL263092305.A,FL263092305.A,FL263092305.A,FL153064105.A,LM103064103.A,LM103164105.A,FL313064105.A,FL213064103.A,FL383064105.A,FL103164105.A,FL793064105.A,FL793164105.A,FL263064105.A,FL263164100.A,FL893064105.A,FL893064105.A,FL103092105.A,FL103092105.A,FL793092105.A,FL263192101.A,FL263192101.A,FL263192101.A,FL143192105.A,FL143192105.A,FL793192105.A,FL263092101.A,FL263092101.A,FL263092101.A,FL153081115.A,FL143092405.A,FL112090205.A,FL313081115.A,FL383094905.A,FL112090205.A,FL793094905.A,FL793194905.A,FL313092803.A,FL893194905.A,FL893194905.A,FL153064205.A,FL103064203.A,FL213064203.A,FL383064205.A,FL793064205.A,FL653164205.A,FL263064203.A,FL653164205.A,FL653164205.A,FL153040005.A,FL313140003.A,FL153040005.A,FL313140003.A,FL793040005.A,FL543140005.A,FL543141905.A,FL263140005.A,FL893140005.A,FL893140005.A,FL153050005.A,FL153050005.A,FL543050005.A,FL583150005.A,FL543151905.A,FL263150005.A,FL893150005.A,FL893150005.A,FL163070005.A,FL163170005.A,FL143070005.A,FL143170005.A,FL313070000.A,FL313170005.A,FL213070003.A,FL213170003.A,FL383070005.A,FL383170005.A,FL793070005.A,FL793170005.A,FL263070005.A,FL263170005.A,FL893070005.A,FL893170005.A,FL903070005.A,FL143178005.A,FL313078000.A,FL213078005.A,FL383078005.A,FL143178005.A,FL793178005.A,FL893078005.A,FL893178005.A,FL903078005.A,FL153090005.A,FL543077073.A,FL143090005.A,FL143190005.A,FL313190005.A,FL213093003.A,FL223073045.A,FL383090005.A,FL383190005.A,FL793090005.A,FL793190005.A,FL263090005.A,FL263190005.A,FL893090005.A,FL893190005.A,FL903090005.A
1969,2815528,424412,94611,76326,3410877,1842132,107371,5360380,338330,463762,2335313,591008,270768,3660851,1879505,158354,5698710,463762,999170,591008,270768,2324708,1742770,69863,4137341,11859,0,11859,0,12273,0,0,11859,0,-11859,35654,47342,19255,5083,54909,52425,-2484,110925,61700,6915,6848,12645,192185,6848,15046,232544,11454,218685,239392,20707,381127,3652,211,13220,398210,6206,413205,8789,413205,413205,0,1173,5640,0,6813,0,980,1041,6752,7793,7793,0,0,0,0,0,0,0,0,0,0,3311,1391,2599,7301,14448,14777,0,2781,21748,17558,-4190,121674,0,18250,152431,104,233762,32751,133518,172779,519711,424417,87451,23164,13198,620360,620360,0,7628,5356,0,7628,5356,26658,32750,3820,0,38106,38106,41065,6146,224726,23007,70218,224726,144268,10240,224726,224726,0,11305,1676,104,9036,7508,20593,9036,19604,33849,2688,42885,42885,0,47244,0,2800,0,2236,133518,52280,133518,81238,0,133518,133518,0,22060,0,147075,0,0,22060,147075,152649,20852,6416,13198,181125,181125,0,103989,453267,19276,309751,55270,78821,3652,4739,182187,846578,733660,35346,0,33923,915847,915847,7557,118417,125974,153314,23406,3934,153314,153314,54752,26775,42700,45039,77248,0,4739,99791,151462,93600,11940,0,29989,193391,193391,49237,289704,1537,148634,10231,1573,3652,64657,439911,375254,439911,439911,0,129231,17739,0,17739,129231,111492,129231,129231,3104,3104,127,3231,3231,3231,2032,2032,379,2411,2411,2411,638984,28569,705075,0,0,667553,705075,146295,128581,26761,6953,840609,840609,76695,76695,3147,79842,79842,79842,7814,7814,1459,9273,9273,9273,623254,948,623254,1696,625898,623254,5747,6695,1696,631645,631645,45578,745,0,46323,1265,47588,0,47588,47588,125359,7252,125359,7252,0,118107,0,0,125359,125359,638886,638886,0,638886,0,0,638886,638886,0,5807,191056,155722,7333,6389,10008,20431,208397,188349,3898,580,6264,4896,218559,193825,-24734,12628,4193,1194,5387,12628,1894,5387,14522,9135,25752,4688,15933,366606,257936,257,112080,41942,741310,451243,103630,0,0,493185,844940,351755
1970,2963651,453181,97150,80662,3594644,2018322,117049,5730015,333078,478718,2431368,636395,297321,3843802,2047463,171827,6063092,478718,1065297,636395,297321,2477731,1911709,72645,4462085,11923,867,11923,867,10914,867,851,12790,1718,-11072,40360,46192,13488,5006,53848,51198,-2650,118500,62746,9809,7149,11678,202733,7149,14994,244721,12439,230166,251870,21704,423312,6747,463,23225,453747,7194,468066,7125,468066,468066,0,798,5915,0,6713,0,2255,2330,6638,8968,8968,0,0,0,0,0,0,0,0,0,0,234,315,-1416,-868,20455,16722,0,629,19587,17351,-2236,123668,0,19756,174363,7,245737,30500,145501,173931,565601,470477,99695,34960,14072,679368,679368,0,9389,7133,0,9389,7133,26504,33067,4307,0,40200,40200,30777,6983,237659,22940,60700,237659,157227,19732,237659,237659,0,15943,1209,7,8078,5176,22335,8078,26365,43634,3012,51712,51712,0,47144,0,2175,0,2384,145501,51703,145501,93798,0,145501,145501,0,29804,0,167230,0,0,29804,167230,166583,22994,7909,14072,204296,204296,0,105936,467157,21153,339565,58154,81290,4569,4816,189812,892828,778754,39817,0,35921,968566,968566,7493,124945,132438,161869,25638,3793,161869,161869,55828,28088,44670,47621,79792,0,4816,103449,157366,100224,14179,0,32128,203673,203673,50108,297916,2662,169950,10533,1498,4569,67872,469364,401492,469364,469364,0,133660,18491,0,18491,133660,115169,133660,133660,3523,3523,146,3669,3669,3669,2345,2345,384,2729,2729,2729,617731,32658,702482,0,0,650389,702482,153635,122178,27209,6573,831233,831233,87083,87083,3597,90680,90680,90680,9017,9017,1478,10495,10495,10495,654573,789,654573,1929,657291,654573,11309,12098,1929,668600,668600,44501,645,0,45146,1666,46812,0,46812,46812,130699,7358,130699,7358,0,123341,0,0,130699,130699,716279,716279,0,716279,0,0,716279,716279,0,6443,198012,162917,6556,5351,10630,22618,215198,197329,4370,610,7737,5860,227305,203799,-23506,9996,2080,1259,3339,9996,2479,3339,12475,9136,28452,5118,19037,376111,288643,217,124386,47706,794258,509111,104261,0,0,556817,898519,341702
1971,3300632,512417,102263,89926,4005238,2265124,145866,6416228,322692,524058,2690422,688958,343246,4246684,2305166,187070,6738920,524058,1136387,688958,343246,2692649,2143545,77392,4913586,11400,1720,11400,1720,10073,1720,1194,13120,2914,-10206,47540,46409,9267,5670,56807,52079,-4728,131844,61405,13228,7627,12662,219139,7627,16220,262785,12725,248084,270412,22328,490887,12509,520,30384,534300,8155,549909,7454,549909,549909,0,1234,4449,0,5683,0,1713,1789,5607,7396,7396,0,0,0,0,0,0,0,0,0,0,1077,140,-863,354,25698,24732,0,280,26052,25012,-1040,117695,0,25318,192699,25,268420,27723,161566,170761,622685,514875,110786,62847,15012,748483,748483,0,11275,6247,0,11275,6247,24671,33847,4148,0,40094,40094,19672,9957,261392,22587,52216,261392,162890,46286,261392,261392,0,14615,911,25,7028,3004,18555,7028,34959,49537,3051,56565,56565,0,45970,0,3175,86,2132,161566,51277,161652,110375,0,161652,161652,0,37438,0,186366,0,0,37438,186366,181980,27402,9362,15012,228780,228780,0,105466,511303,25981,373710,60279,86325,5648,5181,197374,976519,857587,39275,0,39167,1054961,1054961,8094,132139,140233,172894,27742,4919,172894,172894,58125,32037,47057,50126,84899,0,5181,108251,169174,106704,11533,0,34248,214955,214955,47341,321929,4955,194514,10153,1426,5648,68097,517869,449772,517869,517869,0,149243,21026,0,21026,149243,128217,149243,149243,3873,3873,168,4041,4041,4041,2369,2369,442,2811,2811,2811,707587,36422,824038,0,0,744009,824038,200051,143192,30811,7641,974871,974871,95705,95705,4156,99861,99861,99861,9114,9114,1697,10811,10811,10811,720883,872,720883,2176,723931,720883,15860,16732,2176,739791,739791,53006,690,0,53696,1750,55446,0,55446,55446,137050,7429,137050,7429,0,129621,0,0,137050,137050,805219,805219,0,805219,0,0,805219,805219,0,7319,211924,176745,4852,4228,11559,25012,228335,213304,4661,670,7420,6421,240416,220395,-20021,14123,5194,2505,7699,14123,2443,7699,16566,8867,30995,5436,35407,376741,313209,308,151487,66710,846873,566690,114019,0,0,633400,960892,327492
1972,3760969,615037,105289,107231,4588526,2566694,175395,7330615,290372,585391,3079056,735849,390332,4790628,2610377,219981,7620986,585391,1234313,735849,390332,2945885,2426199,86368,5458452,12445,2491,12445,2491,10524,2491,1958,14936,4449,-10487,53837,46521,11863,8676,65700,55197,-10503,143997,64031,13287,8313,13430,234745,8313,18412,287290,15076,268233,295603,27370,564036,16490,606,37161,618293,9504,638377,10580,638377,638377,0,2172,3971,0,6143,0,1470,1548,6065,7613,7613,0,0,0,0,0,0,0,0,0,0,2688,121,-952,1857,32225,34930,0,241,34081,35171,1090,114853,0,27427,206450,8,280355,33054,175184,175342,661989,556701,127190,73178,16042,805221,805221,0,14235,6968,0,14235,6968,23367,34720,4086,0,41688,41688,19666,7981,272428,24896,52543,272428,165425,54460,272428,272428,0,8898,1036,8,7927,6325,16267,7927,46410,57946,3196,65873,65873,0,47684,0,4175,634,1833,175184,53692,175818,122126,0,175818,175818,0,38605,0,198848,0,0,38605,198848,199373,34524,11436,16042,249414,249414,0,108660,571260,29526,432933,62128,92395,7035,5526,207349,1102114,984862,48570,0,41527,1192211,1192211,8616,149158,157774,202517,37882,6861,202517,202517,60400,37093,52123,52668,91055,0,5526,113068,185797,118083,10688,0,34666,231151,231151,48260,356794,7898,231652,9460,1340,7035,72653,589786,517133,589786,589786,0,168757,21628,0,21628,168757,147129,168757,168757,4685,4685,196,4881,4881,4881,2532,2532,509,3041,3041,3041,882122,39717,1032948,0,0,921839,1032948,242383,159796,39059,10537,1203281,1203281,115780,115780,4849,120629,120629,120629,9737,9737,1959,11696,11696,11696,802058,974,802058,2447,805479,802058,21449,22423,2447,826928,826928,56383,732,0,57115,1811,58926,0,58926,58926,143924,7581,143924,7581,0,136343,0,0,143924,143924,911037,911037,0,911037,0,0,911037,911037,0,8155,238977,201035,4033,4429,13013,27547,256023,241166,5842,750,8411,6979,270276,248895,-21381,18010,6244,4284,10528,18010,2450,10528,20460,9932,33898,5976,71839,373353,340285,206,182075,105943,901689,633154,131758,0,0,739097,1033447,294351
1973,3809816,719321,111776,129845,4770758,2827590,183082,7781430,278432,651927,3173712,776412,408500,5010551,2816729,232582,8059862,651927,1415073,776412,408500,3251912,2668371,98400,6018683,13818,2767,13818,2767,11491,2767,2166,16585,4933,-11652,62957,52048,11380,12411,74337,64459,-9878,152350,69968,12642,8716,13217,248177,8716,21026,306703,18910,288113,315419,27306,626550,22836,439,44385,694210,9191,716793,13392,716793,716793,0,3329,4734,0,8063,0,4165,1745,7983,12228,9728,-2500,0,0,0,0,0,0,0,0,0,11262,4,497,11763,41017,50921,500,8,53280,50929,-2351,133185,400,24614,219254,6,284707,41085,189863,198890,694224,596698,159030,74666,17000,870254,870254,0,14876,8382,0,14876,8382,30791,41672,4387,0,50054,50054,28126,3665,276350,26065,57856,276350,164191,54303,276350,276350,0,8332,2035,6,8357,12958,23331,8357,59655,77877,3248,86234,86234,0,55136,400,4038,2430,2062,189863,61236,192693,131457,0,192693,192693,0,41591,0,208442,0,0,41591,208442,210604,39481,12728,17000,264923,264923,0,111158,636269,33326,517203,64804,97122,8735,4916,218023,1255510,1138730,56035,32,45240,1356785,1356785,11894,184900,196794,242085,37315,7976,242085,242085,63927,35323,63101,55933,95853,0,4916,119860,199193,135285,18720,32,37264,255177,255177,47231,396072,10733,269202,8871,1269,8735,75570,666543,590973,666543,666543,0,192980,22593,0,22593,192980,170387,192980,192980,4679,4679,231,4910,4910,4910,3101,3101,581,3682,3682,3682,647173,46857,809566,0,0,694030,809566,210792,118746,33516,10026,938338,938338,115623,115623,5713,121336,121336,121336,11924,11924,2239,14163,14163,14163,938099,1154,937149,2820,942073,937149,25269,27373,2820,967342,967342,43695,775,0,44470,2165,46635,0,46635,46635,151271,7756,151271,7756,0,143515,0,0,151271,151271,969401,969401,0,969401,0,0,969401,969401,0,8882,280403,252446,4307,5219,15840,30318,300550,296865,6485,790,10074,8682,317109,306337,-10772,23290,8202,5908,14110,23290,2608,14110,25898,11788,36934,6376,104495,399779,370125,178,183403,141607,959683,703151,161566,0,0,844758,1121249,276491
1974,3857223,768010,117619,139834,4882686,3072439,204089,8159214,224010,708576,3113711,822978,455254,5100519,3014691,268014,8383224,708576,1490942,822978,455254,3477751,2911795,125610,6515156,14026,2809,14026,2809,11571,2809,2374,16835,5183,-11652,76785,64364,18447,22829,95232,87193,-8039,157533,71516,8254,9252,13150,250453,9252,22638,314075,22722,295813,323327,27514,682996,28248,477,50087,761808,12541,795472,21123,795472,795472,0,4946,5497,0,10443,0,5810,2393,10360,16253,12753,-3500,2379,0,0,2379,0,2379,0,2379,2379,5485,3,-1259,4229,54831,64751,525,5,59584,64756,5172,138999,1300,27978,244828,0,270110,45153,202621,212130,718859,646836,200099,79545,19553,938511,938511,0,16520,12513,0,16520,12513,46493,55119,4800,181,67813,67813,7806,3851,261883,26523,38180,261883,165433,58270,261883,261883,0,13669,2953,0,8227,16044,32666,8227,70677,97897,2781,106124,106124,0,62164,1300,4654,4078,2586,202621,69404,207999,138595,0,207999,207999,0,55360,0,228237,0,0,55360,228237,225638,47083,13694,19372,294692,294692,0,142474,690163,34800,587643,72220,126347,11205,5592,260699,1409745,1260819,58528,253,53498,1521771,1521771,17466,218165,235631,277743,32596,9516,277743,277743,91880,36967,76019,59586,125184,0,5592,151466,243762,161957,25932,253,43982,313676,313676,50594,433804,11441,293459,12634,1163,11205,85874,728426,642552,728426,728426,0,201926,23359,0,23359,201926,178567,201926,201926,4987,4987,275,5262,5262,5262,4102,4102,563,4665,4665,4665,391408,53476,557656,0,0,444884,557656,163687,65825,23921,9011,632492,632492,123237,123237,6799,130036,130036,130036,15781,15781,2160,17941,17941,17941,1051038,1394,1049332,3357,1055789,1049332,31811,34911,3357,1087600,1087600,31813,816,0,32629,2523,35152,0,35152,35152,158390,7871,158390,7871,0,150519,0,0,158390,158390,1060356,1060356,0,1060356,0,0,1060356,1060356,0,10027,258807,192328,5305,6165,13802,33640,277914,242160,7020,870,12138,11730,297072,254760,-42312,30061,8481,7572,16053,30061,2693,16053,32754,16701,39837,7086,152320,431980,400424,124,213401,192281,1052891,780065,159581,0,0,972346,1212472,240126
1975,4341139,920350,136071,147823,5545383,3366992,229621,9141996,406351,765731,3725991,948602,491209,5931533,3307261,309552,9548346,765731,1806133,948602,491209,4011675,3186404,152230,7350309,13934,2685,13934,2685,11655,2685,2335,16619,5020,-11599,90230,62105,18506,33878,108736,95983,-12753,158857,82597,11153,10218,13626,266233,10218,24475,333130,23606,314314,343348,29034,765194,32218,572,48113,846097,16039,884715,22579,884715,884715,0,2622,5766,0,8388,0,6838,2662,11514,15226,14176,-1050,3645,0,0,3645,0,3645,0,3645,3645,1189,40,-2080,-851,55147,60935,450,80,54746,61015,6269,160264,2700,32019,270946,0,351626,50958,213578,243241,838850,754992,220216,87992,27099,1086225,1086165,-60,8371,9616,0,8371,9616,52933,56429,5300,559,66604,66604,19992,15538,343752,27783,63313,343752,214929,65518,343760,343752,-8,7584,3264,0,7874,18206,29054,7874,83421,107292,2691,115166,115166,0,66809,2700,4846,6678,4969,213578,76624,222956,146332,0,222956,222956,0,65879,0,254652,0,0,65879,254652,257377,56495,14483,26540,337739,337687,-52,146407,744767,40176,596638,85642,134300,12812,5781,285037,1481486,1304180,49069,325,58987,1589542,1589542,23548,203532,227080,264307,24943,12284,264307,264307,95926,40149,82685,66499,133227,0,5781,162425,261842,169921,24126,325,46703,332671,332671,50481,474074,16296,310421,19143,1073,12812,98732,785568,686836,785568,785568,0,206996,23880,0,23880,206996,183116,206996,206996,5484,5484,332,5816,5816,5816,4551,4551,651,5202,5202,5202,523873,60832,754897,0,0,584705,754897,221274,74896,33399,9585,839378,839378,135561,135561,8165,143726,143726,143726,17506,17506,2501,20007,20007,20007,1149591,1671,1147456,4011,1155273,1147456,39654,43460,4011,1194927,1194927,38749,890,0,39639,3395,43034,0,43034,43034,168615,10152,168615,10152,0,158463,0,0,168615,168615,1182138,1182138,0,1182138,0,0,1182138,1182138,0,10520,285992,204807,6495,11791,15191,37443,307678,264561,7668,950,14170,12521,329516,278032,-51484,28894,8458,9151,17609,28894,2437,17609,31331,13722,43806,7744,239099,700297,427830,52,234407,282957,1370278,834603,182254,700,0,1118260,1552532,434272
1976,4834855,1078633,179364,170659,6263511,3710580,295761,10269852,399320,855307,4183201,1058342,503376,6600226,3653398,415547,10669171,855307,1943625,1058342,503376,4360650,3504088,187344,8052082,39339,2665,39339,2665,11743,2665,2395,42004,5060,-36944,107030,68097,23137,48528,130167,116625,-13542,169708,89238,14990,10820,12666,286602,10820,24829,357510,28120,339551,368330,28779,856844,38273,731,50212,946060,18458,992370,27852,992370,992370,0,3439,5304,0,8743,0,8241,3866,12720,16984,16586,-398,3099,0,0,3099,305,3404,0,3404,3404,1459,161,-1875,-256,71223,84978,375,321,71342,85299,13957,166903,4700,40669,297550,0,411165,63481,230013,271053,943428,859174,248215,98420,35986,1228647,1227629,-1018,10511,11049,0,10511,11049,58678,62458,5600,1282,74789,74789,4928,23062,402836,35781,63771,402836,261651,77583,403005,402836,-169,11611,2868,0,8329,20359,34838,8329,93327,121934,2017,130182,130263,81,72859,4700,4228,9163,7341,230013,84428,243876,159448,0,243876,243876,0,77505,0,277338,0,0,77505,277338,286070,63823,13220,34704,376795,375865,-930,156853,831551,42663,639774,93791,148547,18522,7817,311829,1627689,1435530,53934,495,66231,1747854,1747854,24073,204040,228113,272450,29476,14861,272450,272450,104014,45896,98819,74228,147565,4460,7817,182702,300097,192728,24458,495,51370,375925,375925,52839,532621,16682,336915,19563,982,14062,103146,870518,767372,870518,870518,0,228961,25981,0,25981,228961,202980,228961,228961,8244,8244,401,8645,8645,8645,8992,8992,815,9807,9807,9807,664031,67205,927412,0,0,731236,927412,255517,97363,47475,9453,1034228,1034228,203740,203740,9898,213638,213638,213638,34592,34592,3129,37721,37721,37721,1279516,1968,1277573,5112,1286596,1277573,44907,48818,5112,1331503,1331503,41436,964,0,42400,4110,46510,0,46510,46510,177810,10751,177810,10751,0,167059,0,0,177810,177810,1268980,1268980,0,1268980,0,0,1268980,1268980,0,10681,318298,226618,6949,17920,16917,41437,342164,296656,8878,1030,18894,12519,369936,310205,-59731,35575,12988,10595,23583,35575,2960,23583,38535,14952,49675,8375,262473,735116,456474,141,224109,312289,1424074,862080,204360,800,0,1175169,1628434,453265
1977,5147085,1207932,198474,211065,6764556,4143712,353517,11261785,407240,986838,4445838,1152883,547592,7133151,4069284,466590,11669025,986838,2144719,1152883,547592,4832032,3916877,213990,8962899,48410,2787,48410,2787,11714,2787,2629,51197,5416,-45781,131522,82317,32204,61063,163726,143380,-20346,184665,95671,14626,11331,13740,308702,11331,27652,388870,31971,368325,400201,31876,958246,47583,878,57182,1063889,23393,1116191,28909,1116191,1116191,0,5686,5783,0,11469,0,8724,4146,14517,20193,18663,-1530,3197,200,0,3397,490,3887,0,3887,3887,2115,10,-1970,155,83771,102149,300,20,84226,102169,17943,169259,8100,35400,330331,0,453446,82078,248143,286737,1040020,955927,296442,134492,41176,1377156,1377638,482,9390,12808,0,9390,12808,74399,75134,6000,1847,89789,89789,724,18968,445890,47453,67145,445890,270338,108654,446137,445890,-247,8260,2672,0,7556,26705,37637,7556,110112,145000,4695,152444,152556,112,78817,8100,4370,17377,7920,248143,91107,273620,182427,86,273620,273620,0,81458,0,300146,0,0,81458,300146,318651,76308,15057,39329,415166,415783,617,161926,958399,47022,724016,103554,169160,28527,8022,341029,1859597,1650519,61352,645,71244,1992193,1992193,24474,225944,250418,301003,35320,15265,301003,301003,106548,49728,119033,79809,168291,13910,8022,200267,345074,226173,26032,645,55979,427085,427085,55378,619305,20664,379039,23745,869,14617,114404,999213,884809,999213,999213,0,264892,26358,0,26358,264892,238534,264892,264892,11302,11302,489,11791,11791,11791,10497,10497,937,11434,11434,11434,559025,72035,819176,0,0,631060,819176,246390,93293,45129,10110,922579,922579,224410,224410,12098,236508,236508,236508,40372,40372,3607,43979,43979,43979,1443282,2259,1441571,5982,1451523,1441571,51537,55507,5982,1503060,1503060,40355,790,0,41145,4346,45491,0,45491,45491,187791,11422,187791,11422,0,176369,0,0,187791,187791,1382302,1382302,0,1382302,0,0,1382302,1382302,0,11055,366382,262084,6187,21125,19261,45629,391830,339893,10176,1100,20767,11550,422773,352543,-70230,38005,13044,12260,25304,38005,3884,25304,41889,16585,57037,9284,297077,779786,483612,-13,245798,354101,1518480,936678,251440,900,0,1291679,1769920,478241
1978,5697817,1387212,242708,265089,7592826,4689828,416028,12698682,439678,1150198,4974411,1252668,609426,7986703,4600865,550792,13138360,1150198,2394440,1252668,609426,5406732,4432035,258786,10097553,64029,2989,64029,2989,13248,2989,1558,67018,4547,-62471,165802,112845,43633,76003,209435,188848,-20587,201337,105242,18652,11831,13812,339043,11831,30390,422633,33962,403395,434464,31069,1048950,53704,942,65266,1168862,35373,1237393,33158,1237393,1237393,0,8317,2592,0,10909,0,9122,6206,19694,20031,25900,5869,8928,610,0,9538,1270,10808,0,10808,10808,2509,2187,2158,6854,94176,116893,2426,4374,103456,121267,17811,183302,10700,35150,361647,0,484360,106093,289135,324545,1145842,1059812,355149,160557,47544,1544914,1548535,3621,9512,15499,0,9512,15499,91479,89077,6465,2880,107456,107456,-7933,18254,478139,59360,69681,478139,274148,132901,476730,478139,1409,9657,2773,0,6221,39495,51925,6221,130551,181673,5165,187641,187894,253,104168,10700,4611,25041,7238,289135,116017,324876,208659,200,324876,324876,0,77410,0,321107,0,0,77410,321107,354975,84399,15826,44664,448211,450170,1959,186139,1117311,53046,826167,120341,197758,41436,6466,400962,2147702,1911225,80720,901,84666,2313088,2313088,24471,260603,285074,345295,35988,24233,345295,345295,123694,55754,141443,92375,196986,24320,6466,240389,400649,264524,44732,901,60433,505814,505814,62445,725781,25090,424121,27966,772,17116,132617,1150674,1018057,1150674,1150674,0,311305,27956,0,27956,311305,283349,311305,311305,13023,13023,567,13590,13590,13590,13154,13154,1079,14233,14233,14233,567841,72345,856335,0,0,640186,856335,281574,102048,47859,11236,969619,969619,259898,259898,14023,273921,273921,273921,50592,50592,4151,54743,54743,54743,1675017,2657,1673044,6849,1684523,1673044,58001,62631,6849,1742524,1742524,41080,618,0,41698,4352,46050,0,46050,46050,199349,12112,199349,12112,0,187237,0,0,199349,199349,1521778,1521778,0,1521778,0,0,1521778,1521778,0,11838,433299,310446,8912,25524,22572,50326,464783,398134,11656,1190,21333,11357,497772,410681,-87091,44006,18204,13621,31825,44006,4839,31825,48845,17020,64095,10349,346795,839020,518094,131,263499,411021,1630962,1012485,327215,234,0,1423740,1958177,534437
