1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q4,-48983,22088,-45673,-93695,-354,3849,0,-4204,-44762,26802,164930,-78319,75585,2734
1996:Q1,-159538,69508,34356,-80190,-18642,-15143,0,-3499,-29487,18288,-102403,-50969,48221,2748
1996:Q2,88266,37224,-30716,-26298,-5111,-1035,0,-4076,18052,22878,140596,-68360,65603,2757
1996:Q3,-136411,81256,-8289,32082,21991,26596,0,-4605,-176533,12455,-31968,-67406,64638,2768
1996:Q4,-5974,33348,17580,-40901,-12507,-8579,0,-3928,74332,16342,-41641,-52527,49648,2879
1997:Q1,215259,202600,49649,-88531,-43321,-40373,0,-2948,-105137,50842,164812,-15655,12717,2938
1997:Q2,2082,-7768,-25519,62145,21208,25281,0,-4072,-32572,20063,11525,-47000,44014,2986
1997:Q3,-197445,77764,-47775,42643,12885,16060,0,-3174,24718,31572,-322328,-16925,13875,3050
1997:Q4,172681,154008,-60549,207473,-17091,-11709,0,-5382,-15490,18770,-140958,26517,-29599,3082
1998:Q1,365166,-57068,31397,2823,-48449,-45088,0,-3361,17494,39136,354995,24838,-27899,3061
1998:Q2,-55490,116980,17097,-147378,-8840,-5988,0,-2852,-15213,9347,-101184,73700,-76784,3084
1998:Q3,-665628,105032,11253,218321,22080,25727,0,-3647,-111601,24698,-1021994,86583,-89690,3107
1998:Q4,65467,-185768,-94633,-78805,33087,35602,0,-2515,8093,36522,318935,28037,-31193,3156
1999:Q1,732554,55376,64929,146321,-58583,-57299,0,-1284,-40008,-8274,501613,71179,-74362,3183
1999:Q2,769256,73124,4794,-72383,3470,4270,0,-800,90383,4906,626563,38398,-41646,3248
1999:Q3,43446,-4680,-7612,27613,17496,17915,0,-419,-13850,33366,-14765,5879,-9246,3367
1999:Q4,751066,-27664,-102674,-359164,4711,5412,0,-701,20316,36322,1190585,-11365,7991,3374
2000:Q1,892160,219160,47614,509940,-42463,-42351,0,-112,84572,33071,-110169,150436,-153883,3447
2000:Q2,-278313,47092,51309,11439,80828,81328,0,-500,44746,8786,-558644,36131,-39637,3506
2000:Q3,-579541,-37084,-40000,177523,-13132,-12446,0,-686,-56452,64474,-795473,120602,-124189,3587
2000:Q4,-1024692,107520,14257,-81071,9385,9361,0,25,-83358,85231,-1138323,61666,-65339,3673
2001:Q1,-119886,74772,443,-145826,-94148,-94767,0,619,61066,41171,-262777,205413,-209189,3776
2001:Q2,-407228,-158520,17146,56208,-16851,-15190,0,-1661,-15040,-40896,-378617,129342,-133108,3766
2001:Q3,-1421277,22504,9614,62110,-26354,-23681,0,-2673,-24039,93394,-1675416,116909,-120656,3747
2001:Q4,400579,-40760,-39051,-56555,-24637,-26544,0,1908,-18835,-7893,588094,215,-3950,3735
2002:Q1,504953,-34452,108076,79625,28749,26139,0,2609,156606,110091,16737,39520,-43273,3753
2002:Q2,312614,35788,-53046,311352,-4920,-3278,0,-1643,33788,9072,-95541,76121,-79878,3757
2002:Q3,-562093,98356,-40931,-232690,-56549,-38719,0,-17830,174783,12778,-581785,63945,-67698,3753
2002:Q4,846582,-19468,-26386,245748,23643,9629,0,14014,233490,-36415,293888,132082,-135839,3757
2003:Q1,555029,170872,-3710,91392,11016,21880,0,-10864,-194764,-17655,430036,67842,-71665,3823
2003:Q2,1392441,148524,-72823,253285,5180,-3026,0,8206,133288,-44844,909456,60376,-64251,3875
2003:Q3,-117384,-159488,60670,-13723,-67131,-38170,0,-28961,124973,-69214,11744,-5216,1267,3949
2003:Q4,277467,103660,-11770,65118,15116,-16305,0,31421,53019,-55931,150184,-41930,37876,4054
2004:Q1,-54844,85596,30375,-217352,43787,79081,0,-35294,-37365,62139,-10353,-11670,7436,4234
2004:Q2,94015,215796,21378,-244113,-3783,-3279,0,-503,-76223,-117117,266749,31329,-35681,4352
2004:Q3,-43620,58868,-16396,413085,15157,15538,0,-381,35303,26892,-642840,66311,-70769,4458
2004:Q4,495024,159224,49499,168228,16949,20311,0,-3362,49569,19001,23685,8869,-13397,4528
2005:Q1,445028,275628,25203,116833,-21851,-25300,0,3450,-44530,-35072,150701,-21884,17232,4652
2005:Q2,-690297,-236996,-142572,453793,-6832,-7419,0,587,-30871,-53300,-710942,37423,-42104,4681
2005:Q3,-459775,71172,29004,-65168,12747,11163,0,1585,20983,-26177,-535579,33243,-37932,4689
2005:Q4,-1182965,-172344,91909,-70385,-4758,-4821,0,63,-158122,-58083,-971738,160557,-165197,4640
2006:Q1,66964,301448,-11201,112024,-18874,-17163,0,-1710,-19346,23590,-512762,192084,-196732,4648
2006:Q2,-558270,385264,-161856,297252,7417,6823,0,594,146171,-30015,-1417571,215069,-219659,4590
2006:Q3,323963,124608,124903,660765,11080,11259,0,-179,121142,60750,-1029575,250290,-254850,4560
2006:Q4,-25578,-64620,45562,153427,-11775,-12739,0,963,310957,57687,-680151,163336,-167927,4591
2007:Q1,-442214,173128,25343,-985,-26187,-21681,0,-4505,31770,-126486,-640451,121652,-126337,4685
2007:Q2,512242,473084,-267349,-43013,11757,11223,0,535,-35604,-53167,321951,104582,-109289,4707
2007:Q3,-877017,182368,147586,27749,3679,3430,0,250,-163302,15642,-987026,-103713,98990,4723
2007:Q4,-1806183,-27956,116804,-882631,14848,11687,0,3161,-56734,51511,-831459,-190567,185819,4748
2008:Q1,327106,-244316,51502,461998,-34623,-34315,0,-308,47571,11860,170350,-137236,132453,4783
2008:Q2,-856978,-470980,-179941,-761360,18363,20473,0,-2109,-4849,-54323,848712,-252601,247807,4794
2008:Q3,-69340,-307848,-41871,305041,2038,5787,0,-3749,25833,28279,112026,-192838,187997,4841
2008:Q4,-499598,-328180,72966,-976323,-7924,-4955,0,-2969,-1274,-120296,1062875,-201442,196544,4898
2009:Q1,349569,-15588,339094,-218581,-46159,-44733,0,-1426,109459,-25786,480388,-273259,268349,4910
2009:Q2,939891,72484,75287,988375,39743,41767,0,-2024,-15216,-66900,43972,-197854,192882,4972
2009:Q3,1618849,104264,-126612,361804,-1909,2132,0,-4041,183125,47923,1240478,-190223,185243,4980
2009:Q4,-398700,-399156,-53121,-243582,5544,3805,0,1739,192996,-66769,290770,-125381,120408,4973
2010:Q1,332775,-210248,263709,65772,-54600,-51667,0,-2933,-11759,-60002,456979,-117076,112099,4977
2010:Q2,-144184,196724,5688,113202,45784,45092,0,693,-25059,77766,-438864,-119424,114471,4953
2010:Q3,270241,85028,-211452,-135182,4330,3577,0,753,-93820,46933,584740,-10335,5432,4904
2010:Q4,110994,78580,127883,192148,2693,3018,0,-325,-50553,78103,-267236,-50625,45768,4857
2011:Q1,-67954,159356,332719,92206,-87186,-87564,0,378,-92717,13105,-488544,3106,-7500,4394
2011:Q2,-317313,-346552,-77756,198481,75337,75294,0,43,14876,5708,-198566,11159,-15544,4385
