1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2751,0,-794,-114,202,-10,0,212,-2762,-9250,18927,-3458,3440,18
1952:Q1,8647,0,1212,-1000,-276,-2004,0,1728,-3164,-3364,19025,-3785,3765,20
1952:Q2,7317,0,-2096,-900,3764,1820,0,1944,-7458,-5416,21873,-2450,2426,24
1952:Q3,-41082,0,5800,-2560,-2500,-2596,56,40,-1254,-12948,-25893,-1727,1703,24
1952:Q4,-50351,0,-5352,1308,3064,192,180,2692,-3462,-13396,-29950,-2563,2543,20
1953:Q1,-16660,0,1008,468,1544,456,188,900,1253,-8992,-9010,-2931,2907,24
1953:Q2,-48701,0,-1132,580,860,1172,196,-508,1237,-9664,-37322,-3260,3236,24
1953:Q3,-49609,0,4220,-3284,-2248,-2748,224,276,3657,-10716,-37645,-3593,3569,24
1953:Q4,49813,0,-4632,2776,1464,1860,276,-672,-2135,-8824,66627,-5463,5443,20
1954:Q1,42877,0,-856,1904,-72,180,236,-488,3149,-11628,53196,-2816,2792,24
1954:Q2,46198,0,360,-164,-488,708,104,-1300,-875,-12348,62261,-2548,2524,24
1954:Q3,52280,0,2732,-2964,-988,-508,-76,-404,3181,-6348,60141,-3474,3446,28
1954:Q4,7267,0,-4376,3252,1984,2088,-324,220,-3279,-7684,20284,-2914,2886,28
1955:Q1,16578,0,-344,-1368,1568,2584,-244,-772,-95,-14776,35048,-3455,3431,24
1955:Q2,83747,0,628,964,-908,-3476,140,2428,1865,-14148,97169,-1823,1795,28
1955:Q3,42692,0,1996,-4812,-2932,-1784,556,-1704,5165,-4588,49883,-2020,1996,24
1955:Q4,14659,0,-2224,732,2884,1112,956,816,-1299,-3352,19269,-1351,1323,28
1956:Q1,61887,0,-776,1328,1528,1612,1036,-1120,1085,-13592,71554,760,-788,28
1956:Q2,-57167,0,-640,1776,48,-856,796,108,413,-17976,-42422,1634,-1666,32
1956:Q3,-42422,0,2656,-6604,212,-1072,584,700,-2811,-4228,-34194,2547,-2579,32
1956:Q4,81501,0,-1852,1328,1512,1784,400,-672,-2875,-3784,84107,3065,-3093,28
1957:Q1,-69639,0,-1788,1452,-1632,-1168,428,-892,119,-12224,-56831,1265,-1297,32
1957:Q2,61250,0,-324,4052,-1096,148,668,-1912,-349,-13780,70839,1908,-1940,32
1957:Q3,-127286,0,3116,-8572,780,304,972,-496,1159,-8616,-114463,-690,658,32
1957:Q4,-3578,0,-3212,-320,856,936,1348,-1428,6291,-8052,2051,-1192,1164,28
1958:Q1,39786,0,-3688,492,2276,888,1240,148,-8811,-9564,58511,570,-606,36
1958:Q2,61737,0,-2452,7600,1372,1032,644,-304,6177,-12460,62607,-1107,1071,36
1958:Q3,111322,0,5012,-6800,-3780,-2436,144,-1488,-2719,-9828,130497,-1060,1024,36
1958:Q4,48080,0,-1296,2284,1104,-112,-248,1464,1897,-10228,55471,-1152,1112,40
1959:Q1,32582,0,1076,5872,-2248,680,-556,-2372,3707,1116,23284,-225,181,44
1959:Q2,56432,0,280,2148,-1072,-168,-784,-120,839,548,51499,2190,-2230,40
1959:Q3,-33759,0,4028,-4980,-404,-532,-1248,1376,-1705,-1468,-26726,-2504,2464,40
1959:Q4,95409,0,-3628,852,1520,4,-1976,3492,2107,-1328,96308,-422,386,36
1960:Q1,-99135,0,40,4344,-892,-132,-1772,1012,-1656,280,-100694,-557,525,32
1960:Q2,39105,0,-1148,-1544,-404,268,-640,-32,3776,1752,34389,2284,-2316,32
1960:Q3,-114879,0,3064,-1656,-1024,-1500,916,-440,-2648,-736,-111527,-352,316,36
1960:Q4,184982,0,-2616,-428,3984,640,2412,932,-504,2140,178703,3703,-3739,36
1961:Q1,188251,0,-1712,16,4466,994,2488,984,97,244,183985,1155,-1203,48
1961:Q2,-14217,0,-1616,544,2002,982,1148,-128,-5055,-1412,-9802,1122,-1174,52
1961:Q3,48246,0,2856,-1560,-712,-3484,-72,2844,-2139,-1160,51529,-568,516,52
1961:Q4,58450,0,-260,2256,1016,1776,-1180,420,-3131,-1208,58040,1737,-1793,56
1962:Q1,5116,0,-3792,-888,-184,772,-1336,380,2819,3500,5228,-1567,1511,52
1962:Q2,-2897,0,-628,-200,2204,1564,-556,1196,-405,1108,-4623,-353,297,56
1962:Q3,-1332,0,3464,-3380,-2300,-3496,140,1056,1999,2660,-2113,-1662,1602,60
1962:Q4,3945,0,-4872,896,3298,2554,700,44,-4081,-2828,8069,3463,-3523,60
1963:Q1,27806,0,-508,2944,2906,878,776,1252,1903,2120,16323,2118,-2178,60
1963:Q2,-3815,0,116,84,120,-436,340,216,-4141,-2596,-1618,4220,-4296,72
1963:Q3,2432,0,1448,-3420,2416,588,-20,1848,3191,-672,533,-1064,996,64
1963:Q4,5950,0,-2248,6052,-1492,-644,-344,-504,-409,-2096,5837,306,-374,68
1964:Q1,13360,0,1636,524,8856,2732,1624,4500,-1941,3188,3690,-2593,2525,68
1964:Q2,-6468,0,-2128,-4476,-3464,-1260,-2128,-76,-1677,-260,5563,-26,-54,76
1964:Q3,-16549,0,2020,-2564,-162,-2606,100,2344,-2333,-444,-12039,-1027,935,84
1964:Q4,13655,0,-5300,8836,-4674,514,-3348,-1840,1071,-796,11011,3507,-3591,80
1965:Q1,34933,0,6320,-3668,7060,1712,3932,1416,4355,2432,16163,2271,-2367,88
1965:Q2,-8741,0,-1016,-2264,912,1888,344,-1320,-3145,944,-6576,2404,-2492,84
1965:Q3,-10562,0,-1776,-1476,-2290,-2122,408,-576,-2553,248,789,-3504,3416,84
1965:Q4,-24061,0,-2984,1000,1832,248,524,1060,-2401,-420,-16608,-4480,4400,80
1966:Q1,18702,0,5508,-1744,10264,548,504,9212,-2185,4184,9194,-6519,6403,108
1966:Q2,-14348,0,992,-1800,4778,1854,348,2576,-9593,2064,-6784,-4005,3893,108
1966:Q3,-22411,0,1872,-7776,-4760,-6512,184,1568,-5605,-952,159,-5349,5241,104
1966:Q4,1215,0,-2256,864,-1054,4058,16,-5128,-1473,-3288,13323,-4901,4797,100
1967:Q1,21534,0,-700,5540,1814,2710,-2000,1104,-3853,4672,21556,-7495,7375,112
1967:Q2,1620,0,832,376,3000,980,2120,-100,-2201,5520,-2492,-3415,3303,108
1967:Q3,-25273,0,-264,-2104,-4552,-3796,-3048,2292,-1873,-3292,-10604,-2584,2468,108
1967:Q4,-5223,0,36,3476,726,2650,2052,-3976,-1921,-4380,-2735,-425,297,120
1968:Q1,16202,0,-2148,-4028,6078,4334,3364,-1620,-1512,10636,12570,-5394,5262,132
1968:Q2,11505,0,6020,5736,4558,1534,-1124,4148,-3752,-2556,8514,-7015,6879,136
1968:Q3,-11852,0,-4116,-6672,-7868,-7784,240,-324,1036,-3144,10607,-1695,1547,148
1968:Q4,15228,0,4912,8240,15138,5814,5412,3912,-8996,-3952,-1109,995,-1155,160
1969:Q1,21526,0,-440,-4496,652,2184,176,-1708,-2544,2836,30308,-4790,4598,192
1969:Q2,21834,0,11488,752,6012,2212,116,3684,-5400,12952,-2136,-1834,1622,212
1969:Q3,-6039,0,-10184,-16904,-8220,-6320,88,-1988,-5604,-3160,39752,-1719,1499,220
1969:Q4,-15819,0,1424,8028,1396,-1828,-5168,8392,488,-5924,-22393,1162,-1390,228
1970:Q1,-24841,0,13016,-1264,-4618,-6702,12,2072,5171,3960,-36739,-4367,4135,232
1970:Q2,-38157,0,-2436,20088,-2566,2346,20,-4932,4931,-3304,-49124,-5746,5518,228
1970:Q3,-32324,0,-5736,-13324,8588,-420,4944,4064,3287,1060,-19383,-6816,6580,236
1970:Q4,66577,0,-5508,2316,42,666,-288,-336,-8481,540,83052,-5384,5144,240
1971:Q1,-34128,0,17548,4400,-942,-5482,-5044,9584,20169,536,-62232,-13607,13311,296
1971:Q2,-47184,0,-7768,6172,5932,3816,636,1480,-875,-4856,-33177,-12612,12280,332
1971:Q3,-49005,0,-8280,-14188,1672,-668,-2432,4772,-1795,5552,-19405,-12561,12221,340
1971:Q4,57236,0,-9812,8400,-4492,844,2512,-7848,-4099,4408,63438,-607,263,344
1972:Q1,-30982,0,-4756,1176,12326,402,96,11828,6886,-1536,-39721,-5357,4977,380
1972:Q2,-51526,0,-4700,8108,-2020,-256,296,-2060,-1882,1972,-35340,-17664,17296,368
1972:Q3,-38077,0,-9104,-9140,19584,7896,128,11560,6354,3284,-39790,-9265,8893,372
1972:Q4,-34851,0,-5228,8376,-8844,-5732,100,-3212,-17038,6156,-20421,2148,-2524,376
1973:Q1,-121050,0,7976,-6968,-1432,-1108,132,-456,-3702,1232,-110970,-7186,6670,516
1973:Q2,-31889,0,-16092,8100,512,648,192,-328,7410,2408,-19308,-14919,14375,544
