1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q4,9352906,415386,43076,104532,60673,23174,328630,2342676,287632,685196,427574,327883,614391,3504935,708421,527642,1780666,488206,-1613,662280,185951,27126,0,0,26540,1629542,9295388,8901744,260063,637541,2295945,18852,233554,399322,926870,223490,526197,177183,167916,57226,110690,4610,153337,235996,2896256,5465,7779,658237,393644,209518,184126
1985:Q1,9569945,428192,36227,108139,58528,23591,311220,2387823,298888,714013,434258,330443,610221,3578910,711643,535921,1830829,500517,-1633,740058,190005,29766,0,0,27404,1651715,9534817,9112271,275113,603778,2354690,15404,241000,373377,961097,230243,545165,185689,158158,51546,106612,4547,174257,238070,2997273,4199,7938,703371,422546,234268,188278
1985:Q2,9857915,430332,38236,114849,59930,25296,327637,2467347,309467,737835,442919,339997,637129,3688343,725911,550064,1889867,522501,-1886,778170,194563,32137,0,0,28233,1674728,9856371,9395926,280832,642510,2381245,20318,247095,382373,1005430,232196,571026,202208,174555,54223,120332,4733,205015,240444,3067437,5280,7733,730926,460445,268102,192343
1985:Q3,10150076,442758,43498,116299,54570,25461,348694,2575015,326101,763260,470788,358166,656700,3808726,737262,567610,1956049,547805,-1645,742505,208364,31887,0,0,28959,1724984,10126525,9675808,292065,664788,2418005,18136,243416,407262,1058292,247014,596864,214414,185819,61370,124449,5040,221441,243201,3118680,5699,8224,785740,450717,243558,207159
1985:Q4,10731232,434679,58080,108995,62377,23224,411385,2756564,339882,814614,498343,428848,674877,3944621,765292,590461,2020799,568069,-1441,886392,223272,42724,0,0,29610,1750750,10764359,10236647,308711,721964,2444041,23342,243803,470775,1117243,267071,625659,224513,211359,62562,148797,5355,272965,246421,3184551,7998,8831,969289,527712,308391,219321
1986:Q1,11021706,435937,51754,115218,60037,24085,414091,2870298,339133,861075,530679,426602,712809,3992809,766567,592628,2066933,566681,-1041,1002083,237216,52847,0,0,31097,1735275,11121322,10521247,311130,689429,2477592,25662,266529,490342,1171181,265389,651140,254652,210583,60452,150131,5446,340693,250317,3277172,6745,9048,989378,600075,376350,223725
1986:Q2,11393701,451415,53730,115517,61843,23718,446551,2971601,354556,863545,570942,435031,747527,4124173,777475,620424,2139983,586291,-882,1036735,267364,56050,0,0,32409,1753477,11505704,10877002,318917,743398,2498863,23325,278099,520571,1247153,276457,690373,280323,222750,70640,152110,5600,382490,254412,3353180,7294,9562,1011387,628702,376162,252540
1986:Q3,11760905,496231,57134,117228,65721,24370,476876,3151664,371435,905341,614590,465169,795129,4228000,776452,617427,2226748,607373,-709,945272,271785,54291,0,0,34085,1838956,11834158,11226555,361146,752734,2545899,25041,296048,549607,1326425,283177,743119,300129,229671,70414,159257,6214,407139,258907,3402400,7077,10107,1048139,607603,349494,258109
1986:Q4,12260964,551473,66392,119765,69027,24156,501907,3274087,366693,935087,673966,472197,826144,4412082,833079,654940,2304725,619338,-720,983528,287468,58948,0,0,35362,1877489,12345314,11711452,409316,846967,2591103,26954,292152,574529,1420022,298632,804601,316789,248289,70032,178257,7106,450367,263623,3496575,7632,10284,1066532,633862,367904,265958
1987:Q1,12581347,527017,60188,113116,75250,23583,504076,3384140,376613,950170,723267,478622,855468,4441369,807617,654641,2379217,599894,-628,1208333,294850,70368,0,0,36773,1842912,12693327,11995341,405876,768684,2595007,25191,304475,579246,1502299,309351,843811,349137,232988,61975,171013,7908,539434,270561,3606001,8787,10444,1138441,697986,426915,271071
1987:Q2,12898311,553847,61210,118935,64667,23010,521802,3451316,391177,956502,759734,468039,875864,4582049,813921,683677,2470709,613742,-444,1278394,288035,76868,0,0,37938,1840684,13003506,12326883,418142,827231,2631468,21327,301489,586548,1585683,325098,890913,369672,240729,63087,177642,8548,550400,276454,3687526,8424,8521,1174393,676623,414084,262539
1987:Q3,13236884,559769,63020,117252,64243,22279,541973,3512019,393599,966180,785679,465128,901433,4705219,822633,704735,2546289,631562,-319,1351063,294651,82672,0,0,39171,1883872,13341681,12655716,454917,821949,2667024,18127,306182,617103,1652407,326477,930809,395121,244868,60608,184260,9525,556224,282729,3794033,8892,8472,1213264,685965,417792,268173
1987:Q4,13417610,578851,68128,120147,59272,21897,563553,3637532,413716,986168,818701,460172,958775,4818301,833548,736820,2603321,644612,-146,1034050,308166,64536,0,0,40735,2102587,13435028,12839463,472904,849537,2735458,20351,316096,634977,1699070,337909,972608,388553,237603,52219,185384,8681,481466,293649,3801361,6828,8378,1273104,595565,327922,267643
1988:Q1,13733333,570005,65367,122992,65400,25098,607364,3719575,424478,986879,847312,463046,997860,4877803,833998,736315,2664671,642819,178,1092103,318323,68365,0,0,42604,2158155,13770240,13146779,452520,825163,2805416,24544,344684,683233,1738060,346452,991360,400248,232435,48804,183631,8808,502572,299808,3899611,8300,8174,1313451,623461,352015,271446
1988:Q2,14082980,583550,69988,126244,63584,27641,612073,3800152,450787,979124,861894,461525,1046822,5014414,856082,755692,2745342,657298,298,1124774,332208,71230,0,0,44947,2211877,14139984,13477458,477974,868308,2838031,20268,327808,689958,1799608,367867,1013197,418544,243553,52196,191357,8409,511551,306686,3985937,9413,7779,1382175,662526,383500,279026
1988:Q3,14372329,621206,64858,129113,65417,30066,657091,3880715,459298,995863,884872,461429,1079253,5117249,856220,777515,2811463,672051,312,1082046,344711,69672,0,0,47317,2262555,14418175,13727326,506320,859596,2891690,19706,327157,729151,1848414,372934,1049624,425856,247051,49412,197639,9056,504894,312952,4051392,9012,8403,1402532,690849,403064,287785
1988:Q4,14657762,622372,69385,130214,69007,32839,629421,3962764,487186,995012,901375,460453,1118738,5270892,878153,818690,2889600,684449,943,1077238,360104,71987,0,0,49257,2311340,14689197,14008142,511670,893884,2936044,19030,338862,692755,1920232,377740,1093384,449108,260903,52091,208812,9387,503097,320644,4131497,8548,9741,1451848,681055,387624,293431
1989:Q1,14977974,641117,63247,143157,71546,32255,682858,4046462,513829,999185,936778,461213,1135457,5353885,879053,826784,2947508,700540,1364,1130949,374502,77114,0,0,50586,2308931,15023117,14296769,516566,830678,2973141,17674,365061,761480,2015314,392484,1134775,488055,265586,44331,221255,11753,515301,324398,4247030,8463,30319,1414005,726348,421807,304541
1989:Q2,15390532,623699,67626,158767,64755,31591,760340,4115957,529268,982112,974541,463647,1166389,5478262,893804,848225,3021009,715225,1636,1226536,383078,81462,0,0,51568,2345255,15472367,14696813,492259,868204,2993795,21455,385856,840561,2060719,399406,1163468,497845,273718,48720,224998,12987,549881,332565,4374151,8532,31376,1450755,775554,466678,308876
1989:Q3,15679233,647979,68205,169904,70691,30046,724594,4158054,539530,979216,988116,466398,1184794,5580437,900086,850898,3101022,728431,1931,1336710,384400,87516,0,0,52398,2366367,15764362,14952217,509698,855958,3023562,23333,416782,800651,2101422,398820,1197441,505161,257840,51542,206298,11960,576895,338402,4496352,8216,32182,1498964,812145,507176,304969
1989:Q4,16002587,679451,82146,174352,68542,29018,714268,4247024,550685,1010977,1008989,465306,1211067,5699197,926864,872345,3154531,745456,3660,1332634,408862,109384,0,0,53998,2400051,16056113,15268666,523737,901196,3065052,25897,430007,788857,2170508,409088,1242876,518544,263461,54907,208554,13594,591345,349225,4623302,8005,31873,1482607,787447,475602,311845
1990:Q1,16109221,639647,76053,167659,67931,33735,726326,4360672,569487,1033384,1049270,475138,1233393,5742724,909468,860373,3239075,733808,3754,1269942,409291,110408,0,0,56205,2444873,16146838,15388994,493390,856938,3067142,24378,465696,785491,2217789,409060,1283235,525494,242008,46795,195213,13648,585636,355592,4705283,6095,32640,1537269,757844,443469,314375
1990:Q2,16321762,638445,74153,160311,66954,36005,720833,4434913,567028,1054781,1077880,473984,1261240,5816049,916530,869859,3290533,739127,3630,1350575,412557,121827,0,0,58646,2426865,16380754,15609438,492925,891192,3052552,23935,455295,783055,2266990,400256,1325172,541562,240429,49605,190824,14054,620236,363171,4813273,5866,33177,1553289,771316,452384,318932
1990:Q3,16419187,638708,73808,142169,72281,40816,734155,4517376,586494,1079610,1102210,479490,1269572,5855321,906298,866805,3329991,752227,4331,1150048,420132,110446,0,0,61427,2598169,16378121,15708252,510094,894169,3049415,26665,486898,773543,2318128,409590,1362943,545595,236125,50420,185705,13452,568041,369545,4864307,5720,36041,1556109,669869,355922,313947
1990:Q4,16730512,683103,76926,134048,74092,46307,725296,4609335,581366,1112297,1147409,485061,1283202,5926986,908755,895378,3365603,757250,3284,1274562,396943,117546,0,0,64665,2597418,16710623,16034490,541447,946928,3067603,30667,501268,759824,2401518,417681,1413555,570282,245490,51399,194091,12577,603053,375656,4981536,6103,35381,1525437,676133,376718,299415
1991:Q1,17026619,656274,66873,146310,78609,49393,753110,4752369,578708,1172235,1196372,501312,1303742,5902717,892617,869692,3397387,743021,3745,1447992,406458,135313,0,0,66098,2561358,17053657,16297051,523061,910543,3087162,31142,555411,760096,2432918,400578,1447279,585061,228534,46424,182110,12307,669138,382443,5109791,5774,35261,1553470,756606,454550,302056
1991:Q2,17219689,657364,67626,149111,74306,50349,781586,4795948,551763,1197065,1215218,500567,1331335,5944353,879689,870046,3450697,743921,2926,1452894,402577,143421,0,0,67642,2629586,17249955,16469407,521418,939140,3043851,31035,535657,801306,2469616,389898,1475585,604133,220221,52452,167769,15101,700414,390802,5208742,6469,34339,1551296,780548,468256,312292
1991:Q3,17565958,663267,68440,154614,72994,53388,819239,4933216,540692,1265428,1241299,504916,1380881,5947181,869066,883488,3449370,745257,2875,1564920,411607,159768,0,0,69179,2645271,17622300,16787057,544730,956173,3027888,33479,536008,841852,2523000,386663,1518054,618283,221707,53235,168472,13719,769566,395815,5328803,6202,36860,1551255,835243,509874,325369
1991:Q4,17953949,704778,75358,152892,71577,55258,759549,5073107,530940,1329683,1269997,526444,1416043,6021995,864590,909294,3495518,752593,2880,1705100,429474,173939,0,0,70592,2657449,18099913,17168999,578117,1035108,2999890,31691,542441,781017,2583609,397840,1559392,626377,244734,57330,187404,14917,850744,402239,5460492,6785,35778,1601436,930914,568380,362534
1992:Q1,18230920,701420,70925,166644,78128,58987,782711,5167225,539240,1351719,1285715,540443,1450108,6005755,854624,890122,3523689,737321,4037,1718830,446270,184054,0,0,71576,2774357,18383970,17432518,596333,1001491,2969379,35309,574836,815558,2638712,396338,1585464,656910,219988,52448,167540,14952,889980,409713,5569202,6002,36681,1654382,951452,587055,364397
1992:Q2,18570500,700388,71147,160070,70255,59311,814754,5315218,542901,1399805,1332747,555176,1484589,6049216,851213,910687,3551857,735459,4152,1751183,462708,196813,0,0,71368,2843917,18735591,17747954,585027,1043149,2926829,34861,559738,861579,2706791,393647,1637277,675867,231213,54583,176630,15468,952243,413727,5704100,6432,37292,1669505,987637,607712,379925
1992:Q3,19025832,673015,74450,160469,74188,61017,870170,5475474,543523,1457225,1370172,572250,1532305,6113310,845221,925247,3598752,744090,3929,1798654,473614,206100,0,0,72085,2969358,19206910,18177250,584239,1082031,2894294,35858,556864,935519,2774088,397840,1678861,697387,236850,57587,179263,15282,1019928,423311,5855622,6554,38929,1717880,1029660,630639,399021
1992:Q4,19361190,703701,76368,153172,64589,61430,858794,5572400,534977,1490128,1390427,593993,1562876,6184130,843691,957459,3623953,759028,4810,1959684,488259,227878,0,0,74815,2931159,19649069,18497531,588283,1145090,2872193,30773,546194,922293,2833397,401535,1715656,716206,241672,64780,176892,14131,1096342,431112,6020766,7389,37852,1710043,1151538,738442,413096
1993:Q1,19712107,654325,75832,158786,66705,66197,877260,5763614,521710,1530884,1456835,619225,1634960,6156329,824221,953217,3634980,743911,5126,2102044,494341,249384,0,0,75337,2966826,20040598,18811422,579167,1098327,2829974,28736,559524,996263,2881294,387031,1751473,742790,257584,60114,197470,14737,1201180,439270,6160737,8101,39176,1717352,1229176,811355,417821
1993:Q2,20115676,641156,77797,156136,57321,69195,883157,5912680,518130,1569143,1492301,647951,1685155,6247745,835263,967822,3690551,754109,6563,2185156,514663,270783,0,0,76342,3016982,20426155,19176079,558027,1178658,2812865,24871,552412,990737,2920040,383566,1770141,766333,286578,70790,215788,16986,1302226,447843,6270840,9931,38094,1765972,1250076,816684,433392
1993:Q3,20659457,646960,76818,146928,51659,70766,932195,6129145,514425,1624458,1550209,673963,1766090,6346630,831153,994644,3744773,776060,5999,2321545,531978,297132,0,0,75516,3026186,21020030,19668430,570772,1191953,2786360,22755,550522,1071811,3026780,380939,1841319,804522,296546,77188,219358,18574,1419318,457498,6392930,10437,42814,1809359,1351600,887088,464512
1993:Q4,21128973,655017,81702,150353,47068,75677,924917,6250259,523883,1628934,1594936,696821,1805685,6480820,842563,1035138,3794532,808587,9484,2429417,599815,324531,0,0,79050,3020863,21454164,20070172,579809,1262557,2786062,23745,565319,1047464,3123294,399881,1880937,842476,308936,82923,226013,23675,1504644,466703,6489951,10069,44558,1833387,1383992,887665,496327
1994:Q1,21525684,643390,81963,149045,47375,76193,985317,6303528,523834,1630462,1620338,690023,1838871,6516730,846281,1035081,3823547,811821,11756,2384355,611874,337269,0,0,80208,3296681,21913381,20564711,597838,1229825,2787822,21916,582288,1109336,3258601,414447,1963461,880693,301205,78065,223140,23631,1495186,473096,6574767,12256,46680,2050265,1348670,850537,498133
1994:Q2,21811438,634497,84879,150738,46959,73904,1004860,6300024,527026,1608907,1644592,671482,1848017,6631600,856309,1059043,3871277,844970,11704,2421155,622424,353628,0,0,79716,3395349,22213313,20841553,605274,1241376,2772986,18205,576632,1145364,3358397,415693,2033210,909494,296166,67327,228839,23826,1504264,479578,6676018,9989,43528,2089950,1371760,861358,510402
1994:Q3,22211324,642301,82915,152940,40583,71478,1030016,6378888,539796,1593821,1694139,681393,1869739,6755113,868464,1081627,3920369,884654,11938,2595359,631165,384181,0,0,83589,3350859,22580564,21218228,616233,1214094,2781932,15410,586195,1190321,3456135,425696,2093724,936715,300251,62814,237437,24194,1580774,497532,6803249,10257,46375,2095276,1362336,850153,512183
1994:Q4,22363637,640937,88792,155382,50599,70806,965312,6409635,557347,1582752,1717516,671738,1880282,6923900,896316,1134204,3965699,927682,7766,2571115,609866,424030,0,0,88101,3357396,22767347,21408864,650229,1255337,2785028,15994,611005,1090628,3586458,441556,2173449,971453,313920,66625,247295,18437,1544320,503049,6856695,9149,45149,2123467,1358483,859154,499329
1995:Q1,22953392,638660,83366,169681,49817,75738,1019510,6566632,583475,1627911,1754035,690280,1910931,6995713,926023,1130923,4000843,937925,7872,2777913,641090,479625,0,0,92175,3355599,23445675,21970460,641920,1199709,2835673,14796,641874,1171926,3660620,453054,2197029,1010537,308278,61906,246372,18003,1649397,515724,7015813,9021,50190,2237516,1475215,952671,522544
1995:Q2,23651479,666141,85186,171176,52897,83439,1100095,6720074,596888,1615563,1811348,697139,1999137,7156008,967727,1151758,4060113,976410,7919,3046514,657733,551107,0,0,96323,3256868,24206117,22626639,663098,1249904,2886768,17927,686673,1230786,3763172,461821,2247962,1053389,320685,71715,248970,18354,1800550,531273,7191749,9330,49927,2206442,1579478,1045019,534459
1995:Q3,24253945,634677,86404,190908,61384,88620,1104773,6816252,601817,1608660,1869500,703692,2032583,7312913,984805,1178306,4125649,1024153,8004,3311578,677742,620267,0,0,98490,3241932,24902125,23184834,641862,1197997,2934336,16922,710873,1259554,3880040,472623,2301123,1106294,326018,73540,252478,19078,1954042,540551,7375122,9997,55973,2262470,1717291,1163620,553671
1995:Q4,24865807,608587,91753,190281,60623,96016,1154064,7004579,596946,1638061,1943051,729811,2096710,7476608,1006065,1229634,4166992,1073917,7010,3449618,696919,676952,0,0,108245,3244553,25632395,23786115,623026,1227915,2964629,19254,753018,1292818,4017088,486868,2377738,1152482,350143,69778,280365,21519,2058275,550296,7532929,10261,58748,2306195,1846280,1240737,605543
1996:Q1,25467953,580600,85240,198023,61040,106371,1185113,7136050,626851,1653228,1991360,735779,2128833,7580759,1011828,1250273,4244665,1073993,6719,3658603,720438,732066,0,0,111281,3305651,26288237,24355782,586581,1168286,3046771,17505,824202,1334794,4099112,490922,2415003,1193187,369605,79995,289610,22705,2201626,554945,7683053,11613,59422,2375563,1932455,1301865,630590
1996:Q2,25992445,583565,88949,199286,48703,109309,1203463,7147326,639259,1608020,1998520,736168,2165359,7755288,1036287,1286279,4321199,1111523,6778,3851681,745632,779085,0,0,111826,3361553,26837860,24869012,572134,1192450,3070824,14856,817748,1370608,4254321,517349,2490273,1246699,377482,77485,299997,23021,2351651,562934,7806238,13026,61505,2380214,1968848,1324205,644643
1996:Q3,26563404,592054,94089,215153,53785,116899,1196190,7227401,651549,1589940,2025074,740073,2220765,7906178,1066630,1300637,4393113,1145798,7319,4017112,768731,829404,0,0,114504,3424584,27496729,25415678,558298,1197184,3136646,15357,852063,1369212,4351348,538567,2545969,1266812,382021,74504,307517,22849,2461780,577927,7939063,14461,62655,2474813,2081051,1409970,671081
1996:Q4,27502736,626379,102755,236239,66829,128481,1221510,7368218,653100,1550466,2073858,763593,2327201,8079952,1087214,1351739,4462537,1178462,8443,4294423,828233,949380,0,0,119432,3472463,28691470,26304205,603791,1220586,3190775,18025,901807,1374193,4492361,579096,2609151,1304114,438254,85401,352853,23294,2623994,594100,8158717,14282,65240,2584786,2387265,1651432,735833
1997:Q1,28155481,664166,92255,254726,55912,140903,1304446,7553178,715989,1535526,2128545,781868,2391250,8150877,1126176,1347151,4513845,1163706,8601,4289677,874636,993165,0,0,124507,3648432,29343373,26881000,630053,1179422,3262019,15240,965433,1470476,4562506,623019,2636172,1303315,422443,83288,339155,25279,2686387,605078,8255126,17663,68610,2715265,2462373,1685784,776589
1997:Q2,29267980,682198,104026,261966,56855,145012,1318775,7695487,732914,1522285,2176954,789770,2473564,8320956,1165924,1383512,4584340,1187180,8822,4943350,892233,1158081,0,0,123291,3556928,30702175,27931521,642858,1217435,3311603,13037,963700,1509591,4705508,642458,2708053,1354997,458184,85464,372720,27219,3051401,622032,8582769,16356,67880,2741948,2770654,1977698,792956
1997:Q3,30319634,655434,101261,268614,63776,159124,1414363,7853095,749725,1543183,2214658,809508,2536021,8508193,1174079,1430859,4691721,1211534,8842,5436904,927080,1291754,0,0,135534,3495660,31996010,28925468,606258,1177046,3380561,15324,1015127,1621466,4780402,684716,2748187,1347499,475746,90758,384988,27367,3368362,639173,8858194,23629,74417,2862395,3070542,2228006,842536
1997:Q4,30967327,725773,112882,277403,66421,164330,1382571,8097904,790342,1580799,2252508,834448,2639808,8709785,1221155,1501004,4755506,1232121,9317,5430770,958881,1312522,0,0,143200,3575567,32820710,29543452,687099,1228650,3442236,18025,1058885,1620751,4970223,745741,2822805,1401677,505960,87671,418289,31579,3409315,646556,8925054,19938,75873,2903308,3277258,2357358,919900
1998:Q1,32408579,666016,105666,285202,75347,172634,1463039,8424296,882328,1594203,2358215,856743,2732807,8821701,1243727,1516754,4846871,1214349,9814,6171156,1003811,1481782,0,0,148309,3579805,34441157,30843080,613576,1184645,3537647,22330,1142406,1737923,5145746,804942,2879811,1460993,541432,89506,451926,31902,3840596,658595,9295173,19532,82056,2989521,3598077,2634875,963202
1998:Q2,33130050,676315,106222,295357,67097,175101,1493264,8546780,913578,1546267,2367111,872553,2847271,9082375,1292637,1565437,4967193,1257108,11749,6248719,1021928,1513220,0,0,148785,3743137,35199234,31511417,645293,1237318,3541336,21615,1168511,1730511,5370043,838860,2983343,1547840,582256,96700,485556,32887,3977323,669422,9444363,20869,81680,2987990,3687817,2706888,980929
1998:Q3,33097687,703938,108965,309560,71083,185073,1498687,8746828,939702,1501927,2481610,902161,2921428,9308471,1323213,1603640,5093583,1288035,11356,5420485,1053084,1374822,0,0,150151,4155184,34709156,31484354,697245,1189978,3578013,22799,1266902,1771755,5581784,874206,3123817,1583761,630279,84932,545347,33959,3622978,671774,9324257,21782,87418,2983431,3224802,2199547,1025255
1998:Q4,34726556,719659,118277,325668,79651,191526,1382846,8969597,931204,1494093,2589388,925894,3029018,9644673,1356130,1719647,5243489,1325407,12923,6550950,1138943,1628715,0,0,148925,3814203,36645604,32938261,718369,1236075,3659227,24873,1351678,1606439,5843446,906724,3294394,1642328,664022,82994,581028,35929,4173531,701172,9812187,18932,89123,3003258,3707343,2556931,1150412
1999:Q1,35584574,689988,107547,343408,82419,206858,1359738,9244440,986718,1512388,2740885,940349,3064100,9799424,1363684,1736555,5372692,1326492,16627,6724747,1193940,1731137,0,0,146174,3938128,37634255,33734009,692719,1197746,3675502,21497,1438367,1646206,6103610,926443,3436768,1740399,663149,76405,586744,38409,4327921,713203,9994489,19429,90360,3111401,3900246,2687253,1212993
1999:Q2,36628328,704127,116673,338526,81370,210816,1352381,9368822,997532,1476915,2820281,929524,3144570,10062082,1380557,1810649,5516948,1353928,18707,7226475,1205065,1879901,0,0,143095,3920288,38896602,34738540,721035,1232041,3702594,17323,1420845,1631554,6328217,940869,3584099,1803249,698666,81556,617110,40997,4651052,731995,10258149,31539,86809,3185725,4158062,2882684,1275378
1999:Q3,36849743,704469,116134,329996,90685,224708,1350769,9521057,1029605,1472135,2908107,922812,3188399,10359197,1408060,1869681,5689883,1391573,20351,6772226,1233461,1847123,0,0,139830,4139737,38754820,34981779,726052,1223230,3761032,15885,1476728,1629345,6550994,963430,3749551,1838013,753380,80755,672625,44106,4498393,734987,10236959,30022,92594,3208072,3773041,2451200,1321841
1999:Q4,39286259,777955,155894,344149,92805,242504,1499827,9794575,1140949,1462529,2992920,921821,3276356,10714862,1454482,1997017,5833849,1429514,18455,8014551,1268726,2159338,46467,24714,176545,3954892,41458943,37463963,783646,1370825,3873939,17078,1613146,1667894,6768138,1082947,3887741,1797450,841333,95857,745476,46893,5233194,812848,10723663,83092,99952,3528323,3994980,2588045,1406935
2000:Q1,40612665,783503,112907,353481,97946,251561,1447783,10000661,1217259,1456131,3047445,923899,3355927,10941536,1474740,2099559,5937565,1429672,17454,8603604,1314931,2303617,47316,25081,185229,4126054,42774284,38692628,717287,1234265,3980531,15054,1696149,1754719,6895820,1115708,3943982,1836130,913699,92076,821623,47345,5600779,831127,10971981,89954,100421,3843497,4081656,2620256,1461400
2000:Q2,40902951,793186,119041,337180,100824,247209,1465081,9994641,1268179,1402535,3064125,908272,3351530,11242414,1521820,2147178,6100043,1473373,17350,8368437,1338753,2293761,48165,25438,188408,4323062,43030202,38998164,787943,1241703,4044070,12870,1658250,1797798,7068656,1139171,4039375,1890110,934494,96251,838243,48246,5463631,834805,11013876,99554,99088,3893180,4032038,2546757,1485281
2000:Q3,41657285,798804,110803,349848,105679,256963,1453580,10165076,1294065,1421548,3144686,921457,3383320,11478317,1533766,2159018,6252306,1533227,18425,8476263,1375453,2365390,49014,25801,197304,4430566,44161490,39671395,777246,1203491,4143136,13577,1727378,1831555,7228110,1154050,4168498,1905562,951929,100636,851293,55676,5541139,847552,11159794,100013,109035,3981765,4490095,2968556,1521539
2000:Q4,41840868,847326,135109,352767,131226,269965,1592586,10298749,1317220,1383984,3261353,952063,3384129,11726310,1564226,2169214,6392756,1600115,17216,7775901,1379968,2262941,49862,26143,205220,4769579,44360116,39832163,826562,1231535,4256547,17100,1845248,1909616,7486340,1214673,4319662,1952005,1003652,98692,904960,52638,5119386,850362,11075762,103967,116814,3936634,4527953,3030805,1497148
2001:Q1,41755676,881509,145569,363474,171875,289977,1718471,10632640,1250271,1418036,3509216,972010,3483107,11794342,1554556,2154987,6474891,1609909,17637,6872864,1430815,2012484,52211,27125,206482,5138201,44008485,39732153,786061,1204478,4403812,29883,2035459,2017884,7685321,1182516,4428724,2074081,1008952,103397,905555,57764,4588723,867142,10909869,108779,121557,3906469,4276332,2719692,1556640
2001:Q2,42866652,887091,165546,346303,171055,294432,1710989,10733977,1175287,1401404,3630378,977830,3549078,12046780,1532871,2191630,6677925,1644354,17101,7420721,1437993,2101628,54559,28155,210817,5239505,45292446,40778316,799288,1235740,4455307,26113,2052455,2039900,7873643,1138284,4601999,2133360,1024202,111162,913040,59207,4887912,898894,11171657,112167,115604,4026226,4514130,2943624,1570506
2001:Q3,42715906,858734,193398,347324,170347,309404,1763864,11002789,1135587,1420881,3801232,992306,3652784,12339072,1524423,2255754,6885133,1673762,18242,6351788,1448995,1844888,56906,29122,222723,5758310,44818768,40648886,797958,1260233,4521780,29415,2161638,2104595,8124861,1116494,4806735,2201632,1126165,113028,1013137,60113,4252626,889122,10995418,120366,137941,4066656,4169882,2604416,1565466
2001:Q4,44445356,940900,198352,409393,180153,324561,1793746,11296354,1162431,1416847,3960184,1022944,3733948,12534177,1488998,2232446,7066429,1746304,18355,7149184,1407635,2021055,59254,30170,227937,5854129,46641544,42292239,900162,1375155,4610330,25661,2285310,2100011,8401762,1149792,4962349,2289621,1094841,114584,980257,60347,4689603,920728,11288373,128840,123417,4287698,4349305,2832591,1516714
2002:Q1,45294252,985741,184737,411355,176230,320675,1809056,11536594,1094334,1474686,4105783,1028542,3833249,12663615,1476905,2211803,7235786,1739121,19700,7246215,1436295,2131676,61502,31197,235441,6044222,47468038,42977569,916392,1265141,4780510,28432,2247857,2140927,8599855,1096276,5132043,2371536,1071592,113715,957877,60855,4812247,948967,11493024,133093,131436,4347242,4490469,2954385,1536084
2002:Q2,45053286,1009339,188485,416471,170275,318643,1830932,11666309,1017832,1487541,4215347,1052103,3893486,12891857,1443434,2212502,7463540,1772381,20966,6455254,1476473,1933231,63752,32169,242284,6336846,47108498,42727861,903860,1304590,4812098,26257,2190769,2282316,8789428,1033583,5253012,2502833,1054673,127755,926918,57605,4433260,962119,11346126,134446,145418,4284896,4380637,2803515,1577122
2002:Q3,44782784,948458,208993,396873,171039,318997,1912857,11946336,1002640,1539208,4381343,1088113,3935032,13147438,1423203,2213403,7709233,1801599,20893,5507854,1485467,1734709,65999,33125,244608,6639138,46452946,42450820,879176,1331126,4905430,28644,2158164,2343462,8971085,1035827,5367986,2567272,1056545,123888,932657,55317,3898456,965778,11176232,142736,141090,4397579,4002126,2415120,1587006
2002:Q4,45934761,978134,219697,389757,176769,332190,1913235,12208232,1023593,1609080,4496277,1111134,3968148,13467964,1403373,2250828,7972043,1841720,24135,5884136,1503170,1856267,68247,34173,245167,6633487,47551316,43464382,942709,1366317,4956947,27610,2265075,2364122,9258940,1068856,5509001,2681083,1056911,126419,930492,54253,4118082,971633,11435816,155510,131669,4358789,4086934,2549330,1537604
2003:Q1,46875984,1118925,233042,383646,160323,321733,1916075,12641419,1016708,1585420,4716078,1147090,4176123,13639989,1378803,2256428,8171207,1833551,22981,5828063,1536410,1810043,71199,35292,250030,6906815,48336110,44324797,1034255,1339131,5103841,30492,2198864,2422893,9567747,1144675,5637311,2785761,1075928,127331,948597,55364,4057552,990344,11527346,148376,134738,4637926,4011313,2428325,1582988
