1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,2970401,83997,18183,10159,4982,0,49260,616212,38421,158197,65223,136930,217441,1208819,262935,150385,621220,174279,252,194909,35235,2311,0,0,6764,739318,2921753,2803663,74350,292759,765395,2064,570,61542,174988,48184,85523,41281,54822,34045,20777,567,40662,146969,1015519,830,2453,170173,118090,84266,33824
1974:Q3,3001130,83144,20663,10897,5488,0,52442,628532,43728,159516,67536,136482,221270,1236765,268407,155868,634007,178483,263,146209,37242,2393,0,0,6885,770207,2945710,2848130,75144,289295,776619,2063,1386,63110,189742,52702,93585,43455,56243,32317,23926,566,32320,148697,1033711,850,2747,175637,97580,61798,35782
1974:Q4,3072439,76785,22638,12541,5810,0,54831,646836,46493,165433,70677,138595,225638,1260819,277743,161957,642552,178567,275,163687,38610,2523,0,0,7020,780065,3014691,2911795,64364,314075,795472,2393,2379,64751,200099,55119,97897,47083,58528,32596,25932,563,35152,150519,1060356,870,2693,159581,102896,65825,37071
1975:Q1,3143663,81589,21308,13567,6856,0,57135,681635,58539,176097,73648,138773,234578,1249226,264601,160775,649509,174341,287,197593,40681,2700,0,0,7182,783905,3091744,2972997,65274,292008,822810,2889,3620,66266,204440,55480,100492,48468,49962,28063,21899,597,40968,152422,1093315,890,3141,174395,118747,79618,39129
1975:Q2,3228947,86129,21137,14319,6693,0,59807,707786,54898,188514,76775,141425,246174,1265997,265422,165768,661236,173571,301,232054,42961,2927,0,0,7359,781478,3180852,3048859,60378,311670,844694,2721,3661,67862,205379,54637,101625,49117,50190,28554,21636,619,46061,154392,1126810,910,2278,171234,131993,90706,41287
1975:Q3,3265257,84234,22286,14444,6224,0,49544,726252,52748,202434,79578,143122,248370,1277504,259340,165782,673814,178568,315,205958,45348,3170,0,0,7526,822453,3207823,3092351,65186,307928,861883,2245,3708,60366,207812,53028,103741,51043,45219,24810,20409,640,40876,156412,1152351,930,2446,184349,115472,71935,43537
1975:Q4,3366992,90230,24475,16039,6838,0,55147,754992,52933,214929,83421,146332,257377,1304180,264307,169921,686836,183116,332,221274,47819,3395,0,0,7668,834603,3307261,3186404,62105,333130,884715,2662,3645,60935,220216,56429,107292,56495,49069,24943,24126,651,43034,158463,1182138,950,2437,182254,120857,74896,45961
1976:Q1,3440599,92663,23070,16352,7291,155,55914,786207,53729,228733,87380,147119,269246,1311099,254363,172263,702210,182263,347,250770,49473,3389,0,0,7925,835945,3387228,3249757,64983,314634,914589,3121,3712,65948,223903,56795,110181,56927,45926,23838,22088,674,46920,160550,1206466,970,2978,194383,137471,90401,47070
1976:Q2,3524554,99645,24280,17048,7115,89,57135,809490,55505,236913,89600,152450,275022,1358819,262515,183810,723043,189451,363,251564,50972,3620,0,0,8232,836183,3471360,3332365,66411,333855,936971,2860,3430,69156,230134,57290,113572,59272,46123,25434,20689,714,47003,162676,1226453,990,2615,202974,138995,90604,48391
1976:Q3,3597991,101132,24197,17493,7325,99,59699,833303,54636,249459,93682,154790,280736,1387512,260461,185068,745335,196648,380,251529,52610,3878,0,0,8559,850276,3543421,3401482,71870,330723,957201,3067,3421,78250,236548,57618,117855,61075,45456,24739,20717,754,45799,164844,1247028,1010,2846,212665,141939,92196,49743
