1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,1039,195,361,274,0,65,22,209,0,155,54,274,1027,1039,0,-12,ND
1957:Q1,1070,202,366,277,0,67,22,214,0,156,58,288,1058,1070,0,-12,ND
1957:Q2,1106,210,369,279,0,69,21,219,0,156,63,308,1094,1106,0,-12,ND
1957:Q3,1143,218,372,281,0,71,20,224,0,156,68,329,1131,1143,0,-12,ND
1957:Q4,1177,223,373,284,0,73,16,229,0,157,72,352,1164,1177,0,-13,ND
1958:Q1,1211,229,381,289,0,75,17,239,0,163,76,362,1197,1211,0,-14,ND
1958:Q2,1247,235,393,296,0,77,20,252,0,172,80,367,1233,1247,0,-14,ND
1958:Q3,1278,239,404,302,0,79,23,265,0,181,84,370,1264,1278,0,-14,ND
1958:Q4,1296,240,408,303,0,81,24,272,0,185,87,376,1281,1296,0,-15,ND
1959:Q1,1108,188,327,233,0,70,24,230,0,156,74,363,1093,1108,0,-15,ND
1959:Q2,919,130,255,173,0,59,23,188,0,126,62,346,905,919,0,-14,ND
1959:Q3,614,74,146,87,0,37,22,89,0,68,21,305,600,614,0,-14,ND
1959:Q4,611,66,135,81,0,35,19,86,0,65,21,324,596,611,0,-15,ND
1960:Q1,622,67,138,83,0,36,19,87,0,65,22,330,605,622,0,-17,ND
1960:Q2,641,71,145,89,0,37,19,89,0,66,23,336,622,641,0,-19,ND
1960:Q3,665,77,153,96,0,38,19,92,0,68,24,343,645,665,0,-20,ND
1960:Q4,688,83,154,101,0,38,15,94,0,70,24,357,666,688,0,-22,ND
1961:Q1,716,91,158,104,0,39,15,99,0,73,26,368,692,716,0,-24,ND
1961:Q2,749,101,160,106,0,40,14,104,0,76,28,384,724,749,0,-25,ND
1961:Q3,783,111,161,107,0,41,13,111,0,81,30,400,757,783,0,-26,ND
1961:Q4,815,119,157,107,0,41,9,121,0,88,33,418,789,815,0,-26,ND
1962:Q1,845,124,159,109,0,41,9,136,0,98,38,426,817,845,0,-28,ND
1962:Q2,873,127,161,111,0,41,9,155,0,111,44,430,843,873,0,-30,ND
1962:Q3,903,129,164,114,0,41,9,174,0,124,50,436,872,903,0,-31,ND
1962:Q4,938,131,168,119,0,40,9,189,0,135,54,450,907,938,0,-31,ND
1963:Q1,978,134,182,127,0,44,11,201,0,145,56,461,945,978,0,-33,ND
1963:Q2,1023,136,205,139,0,51,15,210,0,154,56,472,989,1023,0,-34,ND
1963:Q3,1069,138,226,150,0,58,18,218,0,162,56,487,1035,1069,0,-34,ND
1963:Q4,1110,141,235,155,0,61,19,231,0,171,60,503,1076,1110,0,-34,ND
1964:Q1,1150,144,234,155,0,62,17,246,0,181,65,526,1111,1150,0,-39,ND
1964:Q2,1189,147,225,151,0,62,12,264,0,192,72,553,1144,1189,0,-45,ND
1964:Q3,1226,150,215,146,0,62,7,283,0,204,79,578,1180,1226,0,-46,ND
1964:Q4,1257,151,204,142,0,61,1,301,0,217,84,601,1208,1257,0,-49,ND
1965:Q1,1280,151,205,141,0,63,1,319,0,233,86,605,1228,1280,0,-52,ND
1965:Q2,1292,148,209,141,0,65,3,338,0,252,86,597,1237,1292,0,-55,ND
1965:Q3,1308,146,215,141,0,68,6,357,0,271,86,590,1251,1308,0,-57,ND
1965:Q4,1344,144,222,141,0,73,8,374,0,286,88,604,1283,1344,0,-61,ND
1966:Q1,1399,149,237,145,0,80,12,390,0,297,93,623,1337,1399,0,-62,ND
1966:Q2,1472,158,258,151,0,90,17,404,0,304,100,652,1410,1472,0,-62,ND
1966:Q3,1550,168,280,158,0,100,22,418,0,310,108,684,1487,1550,0,-63,ND
1966:Q4,1620,176,295,163,0,107,25,433,0,319,114,716,1555,1620,0,-65,ND
1967:Q1,1693,187,317,172,0,112,33,448,0,333,115,741,1627,1693,0,-66,ND
1967:Q2,1771,200,339,183,0,115,41,464,0,351,113,768,1704,1771,0,-67,ND
1967:Q3,1847,214,361,194,0,117,50,480,0,369,111,792,1780,1847,0,-67,ND
1967:Q4,1914,226,382,204,0,118,60,494,0,382,112,812,1847,1914,0,-67,ND
1968:Q1,1969,231,395,210,0,120,65,499,0,393,106,844,1903,1969,0,-66,ND
1968:Q2,1990,237,403,213,0,122,68,505,0,401,104,845,1925,1990,0,-65,ND
1968:Q3,2036,243,410,216,0,124,70,511,0,408,103,872,1971,2036,0,-65,ND
1968:Q4,2166,249,444,220,0,153,71,517,0,417,100,956,2100,2166,0,-66,ND
1969:Q1,2402,257,459,226,0,161,72,548,0,425,123,1138,2307,2191,211,-95,ND
1969:Q2,2770,266,473,232,0,169,72,593,0,433,160,1438,2635,2231,539,-135,ND
1969:Q3,3115,275,488,239,0,177,72,642,0,441,201,1710,2977,2271,844,-138,ND
1969:Q4,3281,284,506,248,0,184,74,685,0,449,236,1806,3140,2297,984,-141,ND
1970:Q1,3456,305,517,255,0,190,72,715,0,521,194,1919,3311,2419,1037,-145,ND
1970:Q2,3578,334,522,261,0,193,68,738,0,536,202,1984,3429,2505,1073,-149,ND
1970:Q3,3675,364,530,268,0,198,64,759,0,551,208,2022,3521,2572,1103,-154,ND
1970:Q4,3775,387,543,277,0,207,59,783,0,569,214,2062,3617,2642,1133,-158,ND
1971:Q1,3732,408,629,307,0,263,59,809,0,590,219,1886,3565,2612,1120,-167,ND
1971:Q2,3696,443,667,332,0,276,59,863,0,664,199,1723,3521,2587,1109,-175,ND
1971:Q3,4065,507,712,401,0,251,60,890,0,670,220,1956,3880,2845,1220,-185,ND
1971:Q4,4284,514,722,438,0,224,60,915,0,676,239,2133,4088,2999,1285,-196,ND
1972:Q1,4174,561,738,399,0,278,61,917,0,680,237,1958,3971,2922,1252,-203,ND
1972:Q2,4067,623,735,368,0,305,62,894,0,695,199,1815,3856,2847,1220,-211,ND
1972:Q3,4408,676,872,508,0,301,63,971,0,700,271,1889,4191,3086,1322,-217,ND
1972:Q4,4750,683,1000,643,0,293,64,924,0,698,226,2143,4527,3325,1425,-223,ND
1973:Q1,4792,688,923,558,0,296,69,920,0,656,264,2261,4567,3354,1438,-225,ND
1973:Q2,4666,694,846,473,0,299,74,915,0,615,300,2211,4438,3266,1400,-228,ND
1973:Q3,4975,832,921,521,0,326,74,975,0,663,312,2247,4733,3482,1493,-242,ND
1973:Q4,5223,969,997,570,0,353,74,1036,0,712,324,2221,4968,3656,1567,-255,ND
1974:Q1,5182,850,963,445,0,443,75,1092,0,695,397,2277,4926,3627,1555,-256,ND
1974:Q2,5138,730,1030,421,0,534,75,1148,0,677,471,2230,4880,3597,1541,-258,ND
1974:Q3,5220,675,1075,400,0,600,75,1382,0,765,617,2088,4963,3654,1566,-257,ND
1974:Q4,5290,787,986,346,0,565,75,1512,0,766,746,2005,5035,3703,1587,-255,ND
1975:Q1,5540,795,1037,375,0,590,72,1537,0,730,807,2171,5280,3878,1662,-260,ND
1975:Q2,5794,803,1072,395,0,602,75,1567,0,745,822,2352,5527,4056,1738,-267,ND
1975:Q3,6069,850,1126,408,0,640,78,1627,0,753,874,2466,5820,4248,1821,-249,ND
1975:Q4,6350,899,1175,417,0,677,81,1688,0,760,928,2588,6118,4445,1905,-232,ND
1976:Q1,6325,875,1295,375,0,820,100,1712,0,810,902,2443,6155,4427,1898,-170,ND
1976:Q2,6294,864,1375,346,0,902,127,1734,0,859,875,2321,6176,4406,1888,-118,ND
1976:Q3,6510,800,1548,410,0,1000,138,1730,0,875,855,2432,6394,4557,1953,-116,ND
1976:Q4,6729,744,1765,494,0,1121,150,1727,0,889,838,2493,6614,4710,2019,-115,ND
1977:Q1,6964,900,1810,550,0,1060,200,1729,0,925,804,2525,6871,4698,2266,-93,ND
1977:Q2,7204,1093,1884,621,0,1002,261,1731,0,961,770,2496,7129,4638,2566,-75,ND
1977:Q3,7383,1172,1940,660,0,1020,260,1770,0,910,860,2501,7258,4572,2811,-125,ND
1977:Q4,7562,1252,1998,702,0,1039,257,1807,0,877,930,2505,7367,4537,3025,-195,ND
1978:Q1,7932,1332,2116,700,0,1139,277,1700,0,930,770,2784,7735,4518,3414,-197,ND
1978:Q2,8415,1414,2229,700,0,1231,298,1590,0,996,594,3182,8216,4488,3927,-199,ND
1978:Q3,8815,1489,2328,665,0,1295,368,1604,0,1010,594,3394,8600,4496,4319,-215,ND
1978:Q4,9183,1578,2427,629,0,1359,439,1619,0,1025,594,3559,8951,4591,4592,-232,ND
1979:Q1,9500,1673,2243,600,0,1200,443,1635,0,1040,595,3949,9261,4794,4706,-239,ND
1979:Q2,9817,1755,2096,563,0,1084,449,1655,0,1055,600,4311,9571,5121,4696,-246,ND
1979:Q3,10550,2090,2218,618,0,1100,500,1676,0,1070,606,4566,10296,5451,5099,-254,ND
1979:Q4,11325,2441,2335,672,0,1115,548,1700,0,1085,615,4849,11063,5662,5663,-262,ND
1980:Q1,11916,2531,2421,693,0,1082,646,1721,66,1105,550,5243,11646,5770,5845,31,ND
1980:Q2,12709,2621,2593,722,0,1070,801,1863,163,1125,575,5632,12430,5791,5943,696,ND
1980:Q3,13544,2711,2744,750,0,1053,941,2030,279,1145,606,6059,13256,5783,6084,1389,ND
1980:Q4,14375,2800,2766,770,0,1000,996,2200,400,1165,635,6609,14080,5800,6400,1880,ND
1981:Q1,15281,2754,2666,786,0,920,960,2450,539,1185,726,7411,14976,5832,6923,2221,ND
1981:Q2,16335,2775,2449,803,0,807,839,2730,656,1205,869,8381,16020,5864,7682,2474,ND
1981:Q3,17281,2833,2200,811,0,692,697,3070,845,1225,1000,9178,16955,5895,8422,2638,ND
1981:Q4,17862,2900,2000,800,0,600,600,3500,1200,1245,1055,9462,17526,5923,8884,2719,ND
1982:Q1,18008,2999,1920,819,0,569,532,4047,1739,1213,1095,9042,17661,5964,9077,2620,ND
1982:Q2,17640,3145,1897,841,0,576,480,4738,2485,1150,1103,7860,17282,6033,8998,2251,ND
1982:Q3,17318,3294,1901,869,0,595,437,5435,3262,1080,1093,6688,16949,6070,8898,1981,ND
1982:Q4,17598,3400,1900,900,0,600,400,6000,3900,1025,1075,6298,17217,6014,9022,2181,ND
1983:Q1,18148,3470,1910,946,0,601,363,6454,4426,1010,1018,6314,17754,5858,9371,2525,ND
1983:Q2,19416,3503,1940,1008,0,602,330,6818,4884,1020,914,7155,19008,5593,9933,3482,ND
1983:Q3,20619,3536,1976,1067,0,603,306,7147,5298,1035,814,7960,20198,5311,10491,4396,ND
1983:Q4,21077,3600,2000,1100,0,600,300,7500,5700,1060,740,7977,20642,5100,10828,4714,ND
1984:Q1,21300,3699,2017,1115,0,601,301,7847,6057,1085,705,7737,20850,4940,10961,4949,ND
1984:Q2,20795,3825,2021,1108,0,602,311,8159,6346,1125,688,6790,20330,4800,10904,4626,ND
1984:Q3,20207,3958,2036,1098,0,603,335,8494,6643,1150,701,5719,19727,4697,10813,4217,ND
1984:Q4,20279,4075,2083,1100,0,603,380,8907,7026,1185,696,5214,19783,4646,10840,4297,ND
1985:Q1,20558,4194,2169,1117,0,619,433,9429,7513,1221,695,4766,20046,4659,10956,4431,ND
1985:Q2,21384,4325,2287,1138,0,617,532,10086,8127,1239,720,4686,20855,4738,11127,4990,ND
1985:Q3,22244,4438,2421,1167,0,609,645,10710,8707,1251,752,4675,21698,4845,11327,5526,ND
1985:Q4,22626,4500,2554,1209,0,603,742,11129,9091,1265,773,4443,22063,4940,11529,5594,ND
1986:Q1,22608,4529,2706,1308,0,603,795,11362,9292,1275,795,4011,22013,5042,11768,5203,ND
1986:Q2,22248,4533,2891,1457,0,603,831,11424,9329,1285,810,3400,21629,5169,12071,4389,ND
1986:Q3,21775,4498,3062,1603,0,603,856,11418,9296,1295,827,2797,21132,5286,12347,3499,ND
1986:Q4,21402,4406,3173,1694,0,603,876,11443,9290,1320,833,2380,20735,5359,12505,2871,ND
1987:Q1,21037,4248,3227,1724,0,603,900,11472,9281,1343,848,2090,20375,5386,12533,2456,ND
1987:Q2,20575,4002,3222,1692,0,601,929,11464,9238,1378,848,1887,19923,5365,12422,2136,ND
1987:Q3,20199,3751,3203,1664,0,601,938,11460,9185,1416,859,1785,19556,5339,12303,1914,ND
1987:Q4,20088,3571,3207,1705,0,603,899,11495,9148,1462,885,1815,19450,5350,12306,1794,ND
1988:Q1,20246,3405,3152,1522,289,614,727,11668,9213,1512,943,2021,19596,5394,12380,1822,ND
1988:Q2,20656,3257,3039,1646,324,633,436,11930,9339,1562,1029,2430,19993,5460,12510,2023,ND
1988:Q3,21173,3123,2949,1785,366,651,147,12218,9474,1612,1132,2883,20494,5540,12681,2273,ND
1988:Q4,21650,2997,3009,1898,423,658,30,12467,9564,1662,1241,3177,20952,5628,12877,2447,ND
1989:Q1,22096,2888,3176,1994,502,657,23,12641,9571,1712,1358,3391,21537,5745,13062,2730,ND
1989:Q2,22517,2791,3351,2083,606,647,15,12701,9453,1762,1486,3674,21935,5914,13200,2821,ND
1989:Q3,23031,2708,3544,2167,707,636,34,12862,9425,1812,1625,3917,22425,6053,13450,2922,ND
1989:Q4,23756,2637,3717,2248,777,627,65,13336,9702,1862,1772,4066,23124,6079,13971,3074,ND
1990:Q1,24818,2598,4634,2323,817,627,867,14223,10376,1918,1929,3363,24171,5987,14869,3315,ND
1990:Q2,26346,2599,3909,2391,830,632,56,15623,11541,1992,2090,4215,25686,5771,16248,3667,ND
1990:Q3,27709,2589,3973,2457,836,635,45,16924,12609,2046,2269,4223,27038,5536,17530,3972,ND
1990:Q4,28273,2509,4057,2526,855,628,48,17515,12994,2043,2478,4192,27496,5381,18137,3978,ND
1991:Q1,28017,2359,4160,2579,866,611,104,17398,12687,2074,2637,4100,27274,5285,18076,3913,ND
1991:Q2,26920,2126,4281,2596,850,581,254,16576,11678,2029,2869,3937,26218,5213,17349,3656,ND
1991:Q3,25700,1898,4392,2651,865,552,324,15648,10590,1982,3076,3762,25037,5182,16516,3339,ND
1991:Q4,25103,1759,4466,2817,971,533,145,15209,10040,2000,3169,3669,24441,5203,16134,3104,ND
1992:Q1,25717,1677,4977,3094,1184,525,174,15414,10089,2155,3170,3649,25025,5299,16133,3593,ND
1992:Q2,26415,1577,5814,3482,1517,525,290,15658,10155,2423,3080,3366,25693,5479,16432,3782,ND
1992:Q3,27099,1464,6584,3907,1854,515,308,15924,10211,2725,2988,3127,26346,5674,16779,3893,ND
1992:Q4,27707,1297,7243,4295,2077,484,387,16175,10200,2981,2994,2992,26921,5816,16923,4182,ND
1993:Q1,28195,1166,7800,4690,2203,432,475,16380,10113,3320,2947,2849,27290,5925,16898,4467,ND
1993:Q2,28591,1016,8219,5137,2249,340,493,16552,9935,3672,2945,2804,27566,6022,16735,4809,ND
1993:Q3,28951,934,8601,5532,2265,263,541,16714,9760,3974,2980,2702,27826,6093,16556,5177,ND
1993:Q4,29386,1000,8933,5773,2303,238,619,16901,9676,4136,3089,2552,28176,6125,16481,5570,ND
1994:Q1,29721,912,8800,5400,2400,325,675,17216,9780,4261,3175,2793,28423,6135,16748,5540,ND
1994:Q2,30404,942,8900,5200,2500,400,800,17643,9743,4280,3620,2919,29118,6203,17176,5739,ND
1994:Q3,31084,1072,8700,5000,2600,500,600,18399,10199,4358,3842,2913,29717,6167,17504,6046,ND
1994:Q4,33056,1449,9041,5145,2771,622,503,20134,11346,4769,4019,2432,31670,6233,18032,7405,ND
1995:Q1,33025,1231,9225,5353,2769,602,501,20543,11625,4837,4081,2026,31585,5852,18474,7259,ND
1995:Q2,34942,1487,9709,5854,2787,560,508,21356,12179,5340,3837,2390,33436,6215,18922,8299,ND
1995:Q3,35211,1173,9652,5932,2829,670,221,21864,12622,5351,3891,2522,33657,5991,19394,8272,ND
1995:Q4,38997,1599,10523,5389,4025,687,422,22851,13145,5719,3987,4024,37200,6416,20459,10325,ND
1996:Q1,39134,1405,10166,5052,3997,720,397,23732,13661,5849,4222,3831,37312,6225,20899,10188,ND
1996:Q2,39775,1495,10010,5260,3708,708,334,24323,14177,6084,4062,3947,37896,6474,21520,9902,ND
1996:Q3,40303,1429,9719,4657,4184,619,259,24781,14506,6393,3882,4374,38353,6545,21074,10734,ND
1996:Q4,40303,1413,9239,4130,4258,548,303,24853,14581,6339,3933,4798,38566,6904,20776,10886,ND
1997:Q1,41937,1383,10661,4740,5132,486,303,24948,14666,6185,4097,4945,40151,6819,20238,13094,ND
1997:Q2,42808,1435,10733,4840,5060,491,342,25329,15053,6124,4152,5311,40921,6993,19752,14176,ND
1997:Q3,44219,1402,11668,5336,5460,440,432,25851,15360,6224,4267,5298,42237,6705,20340,15192,ND
1997:Q4,45782,1361,11495,4217,6306,526,446,26287,15465,6408,4414,6639,43678,7327,20774,15577,ND
1998:Q1,47181,1328,12549,4565,6991,592,401,26606,15417,6693,4496,6698,45091,7453,21320,16318,ND
1998:Q2,48966,1516,12847,4340,7549,459,499,27573,15957,7077,4539,7030,46611,7670,21817,17124,ND
1998:Q3,50124,1382,12922,3744,8044,469,665,28224,16201,7307,4716,7596,47765,7751,22430,17584,ND
1998:Q4,55549,1993,15195,3555,10209,475,956,28631,16328,7466,4837,9730,53104,8530,22714,21860,ND
1999:Q1,54068,1609,14752,2987,10600,586,579,27984,15820,6947,5217,9723,51925,7872,21499,22554,ND
1999:Q2,56442,1260,15693,3005,11678,607,403,29355,16231,7538,5586,10134,54278,8392,22053,23833,ND
1999:Q3,58669,1652,16732,2641,13187,558,346,29970,16318,7805,5847,10315,56407,8094,22743,25570,ND
1999:Q4,59227,2248,17356,2808,13537,559,452,30915,16863,8065,5987,8708,56929,8530,24345,24054,ND
2000:Q1,59896,1917,17282,2498,13747,680,357,32327,17810,8425,6092,8370,57478,8186,24544,24748,ND
2000:Q2,61807,2079,17560,2366,14157,670,367,33391,17998,8976,6417,8777,59289,8191,25786,25312,ND
2000:Q3,64654,1417,19573,2226,15972,680,695,34451,18389,9363,6699,9213,61995,8125,26922,26948,ND
2000:Q4,63275,1708,21086,1806,17829,693,758,33883,17973,9104,6806,6598,60351,8431,27164,24756,ND
2001:Q1,62994,1865,19434,1158,16409,354,1513,34624,18100,7072,9452,7071,59783,8415,26862,24506,ND
2001:Q2,64611,1721,19088,1037,16492,350,1209,36015,18418,7515,10082,7787,61277,8766,29068,23443,ND
2001:Q3,67218,2520,19992,1415,16829,325,1423,36524,18575,7648,10301,8182,63557,8766,30300,24491,ND
2001:Q4,80237,2771,23308,1167,20302,467,1372,41681,22502,8173,11006,12477,76798,11528,36274,28996,11215
2002:Q1,81790,1684,25017,1999,21340,449,1229,41613,22231,8196,11186,13476,78363,11227,37395,29741,11869
2002:Q2,84630,2727,25754,1114,22793,444,1403,42099,22371,8628,11100,14050,81076,13270,39057,28749,12133
2002:Q3,85336,2707,25752,1057,23076,478,1141,43093,22417,9159,11517,13784,81432,12174,38953,30305,11938
2002:Q4,75224,2484,27298,1490,24243,475,1090,39003,18156,9653,11194,6439,71086,10401,32399,28286,12561
2003:Q1,77078,3049,26285,1621,23368,513,783,39845,17969,10563,11313,7899,72727,10842,32056,29829,12208
2003:Q2,79783,2995,29126,1972,24964,519,1671,40872,18175,11104,11593,6790,75204,12014,32102,31088,11926
2003:Q3,83514,2397,32820,2337,28283,614,1586,42035,18135,11531,12369,6262,78751,11342,33343,34066,12252
2003:Q4,83628,2468,33441,2480,28948,566,1447,43451,18493,12176,12782,4268,78556,11915,34937,31704,12655
2004:Q1,87667,3184,34963,2796,29922,612,1633,44902,18983,12735,13184,4618,82184,12575,35057,34552,13433
2004:Q2,91075,2730,37249,3700,31530,637,1382,47240,19537,13830,13873,3856,85769,12953,35941,36875,13668
2004:Q3,96559,3083,37994,3217,33318,255,1204,49120,19565,14709,14846,6362,90810,13087,37691,40032,14020
2004:Q4,99528,3505,39079,3836,33608,341,1294,51727,20284,15565,15878,5217,94041,13497,38064,42480,14202
2005:Q1,102942,3620,39670,4034,34199,354,1083,54141,20519,20343,13279,5511,97353,13504,41018,42831,14725
2005:Q2,106325,3798,40925,3497,35765,358,1305,56474,22217,20270,13987,5128,100341,14322,43993,42026,15194
2005:Q3,107401,3278,40727,3335,35964,322,1106,58043,21857,20459,15727,5353,101505,13122,46551,41832,15268
2005:Q4,109309,3044,39968,3935,34758,508,767,60992,25911,16314,18767,5305,103366,13314,47893,42159,14545
2006:Q1,110814,2697,39875,4034,34652,641,548,62120,26393,15773,19954,6122,105013,13637,49817,41559,14738
2006:Q2,111031,2630,38018,3726,33436,750,106,61923,23028,18129,20766,8460,105396,13468,50188,41740,14396
2006:Q3,107712,2459,36633,3298,32210,1023,102,62493,24476,17046,20971,6127,101698,12605,50117,38976,12936
2006:Q4,108105,2911,34408,3687,29004,1338,379,64842,25617,17236,21989,5944,102105,13988,50371,37746,13493
2007:Q1,106701,2701,33878,3147,29004,1377,350,63742,24692,16701,22349,6380,100435,13105,50497,36833,12754
2007:Q2,108200,2143,33627,3161,28874,1134,458,63764,23615,17460,22689,8666,102164,13542,52112,36510,13593
2007:Q3,108701,2907,31823,2211,27447,1386,779,65400,24173,17815,23412,8571,102443,13281,54551,34611,15066
2007:Q4,107508,2603,30670,1834,26336,2024,476,62174,21397,21522,19255,12061,94429,15692,52570,26167,13620
2008:Q1,108119,2649,29829,1405,25732,2022,670,62889,21418,22060,19411,12752,94129,15276,52043,26810,23700
2008:Q2,110700,2718,31850,1207,27826,2199,618,62614,21052,22071,19491,13518,96451,15801,53339,27311,23872
2008:Q3,109526,2633,31303,1192,27407,2263,441,62749,20883,22393,19473,12841,95095,15517,56014,23564,24165
2008:Q4,105210,3230,28607,1190,24386,2521,510,62299,19718,22901,19680,11074,91046,14606,54735,21705,13022
2009:Q1,103514,4308,26822,847,22806,2977,192,62375,19723,23017,19635,10009,88639,14946,51860,21833,13035
2009:Q2,101806,3291,28117,768,23488,2386,1475,61335,18619,22938,19778,9063,86958,15582,50538,20838,13036
2009:Q3,101713,2807,28338,689,21811,3496,2342,62558,19722,22950,19886,8010,92736,15760,50227,26749,9374
2009:Q4,98847,4190,26457,496,20491,3465,2005,61671,19408,22619,19644,6529,89976,16050,48930,24996,9365
2010:Q1,95116,3876,23805,904,18390,3085,1426,59973,18418,22250,19305,7462,86857,16214,48439,22204,12868
2010:Q2,90892,5389,20006,1284,16185,1988,549,52220,15732,20812,15676,13277,82136,16741,39279,26116,11469
2010:Q3,86643,5261,17346,1118,12971,2720,537,51945,15863,20453,15629,12091,78002,16908,39531,21563,11651
2010:Q4,83212,3331,16994,1062,12810,2535,587,51872,16059,20124,15689,11015,75162,16581,38582,19999,10956
2011:Q1,82570,4113,16709,1063,6941,2832,5873,50873,16039,18778,16056,10875,74650,17136,38741,18773,12464
2011:Q2,81540,4403,15319,1587,6006,2497,5229,49870,15956,18223,15691,11948,73624,18119,38335,17170,12869
2011:Q3,85221,4866,13671,935,5366,2843,4527,49997,16633,17937,15427,16687,76475,18002,38305,20168,13827
2011:Q4,80354,4556,13479,1031,4841,3431,4176,50511,17109,17766,15636,11808,72054,19374,37853,14827,13457
2012:Q1,99954,4213,13518,606,5131,3444,4337,49821,17148,17325,15348,32402,91428,19758,36865,34805,12904
2012:Q2,105337,4342,12821,1075,4821,2819,4106,49376,17219,17072,15085,38798,96830,22437,38574,35819,14200
