date,FU216902505.A,FU216300001.A,FU216902605.A,FU216025001.A,FU216020001.A,FU216401005.A,FU216402101.A,FU216140005.A,FU216402101.A,FU216240001.A,FU216402015.A,FU216150195.A,FU216130101.A,FU216121101.A,FU216112101.A,FU216130095.A,FU216140005.A,FU216220005.A,FU216601001.A,FU216404001.A,FU216403105.A,FU216403001.A,FU216012005.A,FU216901001.A,FU216006095.A,FU216006395.A,FU216006095.A,FU215440005.A,FU215050905.A,FU215019001.A,FU216300001.A,FU215420003.A,FU215000995.A,FU215000995.A,FU214090005.A,FU214000005.A,FU213020005.A,FU213030000.A,FU214022005.A,FU213069103.A,FU213061103.A,FU213061703.A,FU213062003.A,FU213063003.A,FU214035005.A,FU212051003.A,FU214023005.A,FU213081005.A,FU213034003.A,FU213064103.A,FU213064203.A,FU213096005.A,FU213070003.A,FU213078005.A,FU213093003.A,FU214190005.A,FU213162005.A,FU213162400.A,FU213162200.A,FU213169203.A,FU223073045.A,FU213170003.A,FU215000005.A,FV218090185.A,FV212010095.A,FV218090085.A,FU217005045.A,FR212010095.A,FR215015605.A,FR215013265.A,FR215013765.A,FR214090005.A,FR214022005.A,FR213081005.A,FR223073045.A,FR212090095.A,FC212090095.A,FL212000095.A,LM212010095.A,LM215015605.A,LM215013265.A,LM215013765.A,FL214090005.A,FL214000005.A,FL213020005.A,FL213030000.A,FL214022005.A,FL213069103.A,FL213061103.A,FL213061703.A,FL213062003.A,FL213063003.A,FL214035005.A,FL212051003.A,FL214023005.A,FL213081005.A,FL213034003.A,LM213064103.A,LM213064203.A,FL213096005.A,FL213070003.A,FL213078005.A,FL213093003.A,FL212100005.A,FL214190005.A,FL213162005.A,FL213162400.A,FL213162200.A,FL213169203.A,FL223073045.A,FL213170003.A,FL212090095.A
1960,33600,4526,29074,27911,25137,2774,1163,30386,1163,31475,-0,1323,1047,0,276,3575,30386,5479,461,4561,4290,0,36055,33539,2517,5523,2517,-3006,10446,14107,4526,865,-4923,-4923,2628,1365,-13,1378,1434,0,897,504,33,0,-560,-752,192,0,0,0,0,389,339,-1,51,8509,5310,284,5026,205,2074,920,-5881,-5112,0,-4154,958,-379,-394,8,7,0,0,0,-15,-364,46,241516,204261,198364,5123,774,37255,13023,8466,4557,17536,0,13739,1050,2747,0,1406,-176,1582,0,0,0,0,5290,4214,553,523,241516,128562,70971,3457,67514,1240,48850,7501,112954
1961,36571,4789,31782,30552,27401,3151,1230,32505,1230,33807,-0,1417,1061,0,356,3949,32505,5846,492,4982,4941,0,38802,36606,2196,5486,2196,-3290,11455,15252,4789,992,-5969,-5969,2399,880,-28,908,749,0,263,470,16,0,388,121,267,0,0,0,0,382,307,90,-15,8924,5378,236,5142,226,2325,995,-6525,-4738,0,-4183,556,1987,1990,-11,9,0,0,0,-149,2136,2884,256366,216712,210372,5485,855,39654,13903,8438,5465,18285,0,14002,1520,2763,0,1794,-55,1849,0,0,0,0,5672,4521,643,508,256366,140528,76349,3693,72656,1466,54217,8496,115838
1962,39253,5135,34118,32819,29717,3102,1299,34534,1299,36251,-0,1538,1113,0,425,4554,34534,6528,548,5340,5453,0,41723,38672,3052,6577,3052,-3525,12019,16097,5135,1057,-5442,-5442,3384,1077,92,985,1312,0,1155,347,-190,0,772,521,251,0,0,0,0,223,323,27,-127,9831,5451,-11,5462,504,2829,1047,-6447,3381,0,4387,1005,4362,4376,-21,7,0,0,0,96,4266,14224,275074,232036,225234,5856,946,43038,14980,8530,6450,19597,0,15157,1867,2573,0,2566,466,2100,0,0,0,0,5895,4844,670,381,275074,145012,81800,3682,78118,1970,51699,9543,130062
1963,42665,5506,37159,35629,32095,3534,1530,36854,1530,38700,-12,1637,1245,0,392,5001,36854,7067,629,5697,5973,0,44826,41549,3278,7420,3278,-4142,13414,17769,5506,1151,-5995,-5995,3507,2579,936,1643,1453,0,1157,535,-239,0,-1014,-1211,197,0,0,0,0,489,464,78,-53,9719,5240,446,4794,233,3104,1142,-6212,-2651,0,-2434,217,3587,3536,42,10,0,0,0,-291,3878,8646,294432,247887,240427,6396,1064,46545,17559,9466,8093,21050,0,16314,2402,2334,0,1552,-745,2297,0,0,0,0,6384,5308,748,328,294432,155724,87040,4128,82912,2203,55796,10685,138708
1964,46401,5910,40490,38863,35024,3839,1627,39942,1627,41845,-10,1911,1485,0,426,5431,39942,7928,682,6154,6755,0,49153,45233,3920,8641,3920,-4721,14622,19274,5910,1258,-5981,-5981,4190,2981,1262,1719,1438,0,1019,530,-111,0,-786,-1013,227,0,0,0,0,557,532,44,-19,10731,6120,761,5359,261,3102,1248,-6541,-3772,0,-3212,560,3310,3273,23,14,0,0,0,-229,3538,8407,315295,264560,256340,7022,1198,50735,20540,10728,9812,22488,0,17333,2932,2223,0,766,-1758,2524,0,0,0,0,6941,5840,792,309,315295,168180,93160,4889,88271,2464,60623,11933,147115
1965,50780,6427,44353,42689,38410,4279,1663,43257,1663,45282,-18,2198,1751,0,447,5869,43257,8573,758,6651,7421,0,53358,49693,3665,8412,3665,-4747,16032,21165,6427,1294,-7620,-7620,6177,1797,-577,2374,2303,0,2191,168,-56,0,1239,1050,189,0,0,0,0,838,763,77,-2,12457,7237,618,6619,313,3526,1381,-6280,-2649,0,-3990,-1341,8970,8888,67,15,0,0,0,-149,9118,14881,345178,288266,279209,7708,1349,56912,22337,10151,12186,24791,0,19524,3100,2167,0,2005,-708,2713,0,0,0,0,7779,6603,869,307,345178,183182,100397,5507,94890,2777,66694,13314,161996
1966,56330,7091,49239,47657,42549,5108,1583,46507,1583,48762,-24,2618,2091,0,527,6432,46507,10006,821,7621,10404,0,60117,55391,4726,9870,4726,-5144,17759,23479,7091,1371,-7889,-7889,4087,1816,540,1276,-208,0,573,-739,-42,0,1688,1513,175,0,0,0,0,791,641,5,145,11607,6236,661,5575,627,3209,1535,-7520,-5299,0,-5668,-369,14002,13771,210,21,0,0,0,188,13814,18385,379656,318657,308507,8612,1538,60999,24153,10691,13462,24583,0,20097,2361,2125,0,3693,805,2888,0,0,0,0,8570,7244,874,452,379656,199275,106633,6168,100465,3404,74389,14849,180381
1967,62156,7766,54390,52839,47371,5468,1551,50140,1551,52773,-26,3001,2365,0,636,7159,50140,11200,877,9232,12314,0,65299,61291,4009,9097,4009,-5088,19337,25722,7766,1381,-10240,-10240,3470,3166,736,2430,35,0,-355,390,0,0,-434,-549,115,0,0,0,0,703,578,125,0,13234,7151,1823,5328,175,4221,1687,-9764,-4018,0,-4494,-476,12159,11833,290,37,0,0,0,-431,12590,17669,413242,348773,337432,9579,1762,64469,27319,11427,15892,24618,0,19742,2751,2125,0,3259,256,3003,0,0,0,0,9273,7822,999,452,413242,215192,113793,8000,105793,3579,81284,16536,198050
1968,70256,8600,61656,60178,53543,6635,1478,56226,1478,59535,-27,3476,2759,0,717,8236,56226,13862,942,11446,13319,0,72903,69435,3468,10309,3468,-6841,20943,28128,8600,1414,-10634,-10634,5903,2557,-661,3218,3636,0,184,3406,46,0,-1337,-1529,192,0,0,0,0,1047,947,185,-85,15806,8443,143,8300,310,5182,1871,-9903,-10509,0,-11240,-731,18525,18139,298,89,0,0,0,-582,19107,18906,457199,386827,374222,10563,2042,70372,29876,10766,19110,28254,0,19926,6157,2171,0,1922,-1273,3195,0,0,0,0,10320,8769,1184,367,457199,240243,122132,8143,113989,3993,95711,18407,216956
1969,78530,9645,68885,67459,59560,7899,1426,62616,1426,66044,-25,4341,3574,0,767,9170,62616,16416,1026,13217,15257,0,82098,78973,3124,9967,3124,-6843,20154,28818,9645,981,-10187,-10187,5954,-4011,1879,-5890,4497,0,3081,1351,65,0,4329,3872,457,0,0,0,0,1139,1239,10,-110,20222,11386,2766,8620,746,6066,2024,-14268,-15068,0,-10987,4081,31791,31203,468,120,0,0,0,288,31503,26402,514126,437800,423629,11790,2381,76326,25865,12645,13220,32751,0,23007,7508,2236,0,6251,2599,3652,0,0,0,0,11459,10008,1194,257,514126,270768,133518,10909,122609,4739,112080,20431,243358
1970,88695,10946,77750,76318,67585,8733,1432,68844,1432,73332,-24,5157,4336,0,821,11053,68844,17957,1089,16101,20095,0,91884,90441,1443,7655,1443,-6212,19488,29336,10946,1098,-11833,-11833,4336,9038,-967,10005,-2251,0,-67,-2332,148,0,-3098,-4015,917,0,0,0,0,647,622,65,-40,21176,11983,2343,9640,77,6929,2187,-16840,-12142,0,-7136,5007,43144,42418,597,129,0,0,0,-662,43806,39318,579997,499335,483427,13153,2755,80662,34903,11678,23225,30500,0,22940,5176,2384,0,3153,-1416,4569,0,0,0,0,12106,10630,1259,217,579997,297321,145501,13252,132249,4816,124386,22618,282676
1971,99378,12227,87150,85882,75266,10616,1268,74836,1268,81501,-34,5487,4582,0,905,13386,74836,20186,1174,19332,24130,0,100994,102279,-1285,5718,-1285,-7003,20112,30711,12227,1628,-14393,-14393,9264,8143,984,7159,-2777,0,-353,-2172,-252,0,1632,553,1079,0,0,0,0,2266,929,1246,91,28166,16065,2483,13582,365,9342,2394,-18902,-26008,0,-21500,4508,32619,32226,271,122,0,0,0,-2114,34733,14443,640365,550439,533184,14147,3108,89926,43046,12662,30384,27723,0,22587,3004,2132,0,4785,-863,5648,0,0,0,0,14372,11559,2505,308,640365,343246,161566,15735,145831,5181,151487,25012,297119
1972,110257,13314,96943,95502,82844,12658,1441,80926,1441,89447,-53,5924,4937,0,987,15834,80926,26135,1320,21953,32846,0,119274,113201,6072,13342,6072,-7270,19684,31342,13314,1656,-6342,-6342,17305,7545,768,6777,5331,0,2309,3321,-299,0,1298,-89,1387,0,0,0,0,3131,1454,1779,-102,26844,13618,52,13566,345,10346,2535,-9539,-28218,0,-25021,3197,34381,33952,297,133,0,0,0,-3124,37505,22629,710080,602849,583972,15401,3476,107231,50591,13430,37161,33054,0,24896,6325,1833,0,6083,-952,7035,0,0,0,0,17503,13013,4284,206,710080,390332,175184,15787,159397,5526,182075,27547,319748
1973,121498,14840,106658,105231,91633,13598,1427,87840,1427,97421,-81,7762,6601,27,1134,18689,87840,28854,1492,24084,36076,0,130178,124592,5586,12898,5586,-7312,20872,33989,14840,1723,-7973,-7973,22614,7011,-213,7224,8031,0,1169,6633,229,0,3149,1449,1700,0,0,0,0,4423,2827,1624,-28,28648,13783,315,13468,286,11808,2771,-6034,16116,0,14176,-1940,70553,69342,887,325,0,0,0,5413,65140,94154,822402,692557,670987,17517,4053,129845,57602,13217,44385,41085,0,26065,12958,2062,0,9232,497,8735,0,0,0,0,21926,15840,5908,178,822402,408500,189863,16102,173761,4916,183403,30318,413902
1974,134892,18353,116540,115737,100030,15707,803,94175,803,104838,-116,10193,8906,32,1255,21542,94175,31202,1665,25276,37945,0,139711,142036,-2324,6846,-2324,-9170,24024,40500,18353,1876,-17178,-17178,9989,5635,-67,5702,4068,0,458,3086,524,0,714,-1756,2470,0,0,0,0,-428,-2038,1664,-54,31199,12758,2709,10049,676,14443,3322,-21210,-15059,0,-11027,4032,164631,160937,3274,420,0,0,0,6358,158273,150060,1019216,879382,852362,22292,4728,139834,63237,13150,50087,45153,0,26523,16044,2586,0,9946,-1259,11205,0,0,0,0,21498,13802,7572,124,1019216,455254,202621,18811,183810,5592,213401,33640,563962
1975,151471,20976,130495,130147,111823,18324,348,99654,348,113215,-158,11185,9817,38,1330,24936,99654,34224,1843,30802,47205,0,152124,162849,-10725,249,-10725,-10974,25518,44550,20976,1944,-25269,-25269,7989,-1498,476,-1974,5805,0,1260,2162,2383,0,786,-821,1607,0,0,0,0,2896,1389,1579,-72,30584,10957,-259,11216,189,15635,3803,-22595,-10151,0,-12825,-2674,15428,13311,1876,241,0,0,0,-5512,20940,11038,1066209,918386,887629,25493,5264,147823,61739,13626,48113,50958,0,27783,18206,4969,0,10732,-2080,12812,0,0,0,0,24394,15191,9151,52,1066209,491209,213578,18552,195026,5781,234407,37443,575000
1976,162550,22044,140507,139987,121102,18885,520,107946,520,125014,-189,10429,9040,43,1346,27828,107946,40710,2187,34138,53314,0,170019,174462,-4443,7578,-4443,-12021,24594,44891,22044,1746,-17016,-17016,22836,1139,-960,2099,12523,0,7998,2153,2372,0,5915,205,5710,0,0,0,0,3259,1726,1444,89,38252,16435,-4067,20502,2036,15787,3994,-15416,23246,0,21647,-1600,17310,15553,1509,248,0,0,0,-2689,19999,50823,1129199,958540,924616,28098,5826,170659,62878,12666,50212,63481,0,35781,20359,7341,0,16647,-1875,18522,0,0,0,0,27653,16917,10595,141,1129199,503376,230013,14485,215528,7817,224109,41437,625823
1977,176032,23436,152596,152125,130809,21316,471,118376,471,136941,-210,11665,10369,46,1250,30492,118376,46795,2775,37039,59640,0,190547,190033,514,13601,514,-13087,22082,43960,23436,1558,-8481,-8481,40406,8044,1074,6970,18597,0,11672,6346,579,0,9910,-95,10005,0,0,0,0,3855,2344,1665,-154,39976,19674,-2915,22589,205,15905,4192,431,6899,0,-2013,-8912,44240,42014,1899,328,0,0,0,3774,40467,60966,1234381,1023316,985968,30869,6479,211065,70922,13740,57182,82078,0,47453,26705,7920,0,26557,-1970,28527,0,0,0,0,31508,19261,12260,-13,1234381,547592,248143,11570,236573,8022,245798,45629,686789
1978,192610,25413,167196,166679,142472,24207,518,127222,518,145620,-239,14657,13270,65,1322,33334,127222,52556,3410,40767,69021,0,211442,206590,4852,18562,4852,-13710,27193,50825,25413,1782,-8631,-8631,54024,8156,72,8084,24015,0,11907,12790,-682,0,17037,4128,12909,0,0,0,0,4816,3311,1361,144,57800,40992,584,40408,-1556,13667,4697,-3776,-1655,0,-6511,-4855,76928,73998,2482,448,0,0,0,-677,77605,94512,1390727,1125638,1083868,34409,7361,265089,79078,13812,65266,106093,0,59360,39495,7238,0,43594,2158,41436,0,0,0,0,36324,22572,13621,131,1390727,609426,289135,12154,276981,6466,263499,50326,781301
1979,211410,28559,182851,182882,155122,27760,-31,137197,-31,154417,-327,20141,18126,83,1932,37004,137197,57600,3880,44316,70292,0,224653,225872,-1219,14999,-1219,-16218,31794,58356,28559,1997,-16795,-16795,42843,-1216,-201,-1015,20902,0,1490,19862,-450,0,16372,9623,6749,0,0,0,0,6785,3891,2837,57,53390,26419,977,25442,196,21486,5289,-10547,-3989,0,-10238,-6249,140113,136736,2691,686,0,0,0,340,139773,150783,1603447,1295515,1248372,38558,8585,307932,77862,13611,64251,126995,0,60850,59357,6788,0,59966,11781,48185,0,0,0,0,43109,26463,16458,188,1603447,671363,315554,13131,302423,6662,293532,55615,932084
1980,234051,33061,200991,201831,171341,30490,-841,150513,-841,166667,-354,26267,23058,97,3112,41227,150513,63357,3572,51201,76867,0,243108,249030,-5922,12677,-5922,-18599,34816,65699,33061,2178,-22139,-22139,26870,-2311,-570,-1741,9206,0,8622,364,220,0,14238,5216,9022,0,0,0,0,5737,2754,3049,-66,42766,21294,1737,19557,924,14657,5891,-15896,22728,0,16485,-6244,177100,172462,3765,874,0,0,0,-1871,178971,214376,1840131,1505329,1451264,44023,10042,334802,75551,13041,62510,136201,0,69472,59721,7008,0,74204,16997,57207,0,0,0,0,48846,29217,19507,122,1840131,693671,336848,14868,321980,7586,287731,61506,1146460
1981,257102,37776,219326,221429,185152,36277,-2103,168521,-2103,185715,-402,31976,28515,126,3335,46664,168521,70057,3860,57090,77971,0,263319,273485,-10166,7617,-10166,-17783,31385,66917,37776,2245,-23768,-23768,30224,915,-1453,2368,25358,0,15863,9364,131,0,3476,-3336,6812,0,0,0,0,475,2334,-1942,83,51223,26382,1138,25244,1238,17281,6322,-20999,-20295,0,-23065,-2770,134998,130768,3379,852,0,0,0,3568,131431,118753,2034557,1669531,1609260,48744,11527,365026,76466,11588,64878,161559,0,85335,69085,7139,0,77680,13661,64019,0,0,0,0,49321,31551,17565,205,2034557,769344,363230,16006,347224,8824,329462,67828,1265213
1982,280582,41192,239390,240668,199131,41537,-1278,181481,-1278,199977,-454,36720,33077,154,3489,53484,181481,73181,4043,61197,75876,0,273383,296144,-22761,-5815,-22761,-16946,28015,66993,41192,2214,-33830,-33830,34633,4809,-1198,6007,16596,0,15257,1095,244,0,10364,2425,7939,0,0,0,0,2864,1348,1525,-9,70330,40753,6731,34022,967,21929,6681,-35697,-17769,0,-15902,1867,66528,64145,1728,655,0,0,0,-6372,72899,49316,2161520,1761861,1696957,52021,12883,399659,81275,10390,70885,178155,0,100592,70180,7383,0,88044,16086,71958,0,0,0,0,52185,32899,19090,196,2161520,846991,403983,22737,381246,9791,358708,74509,1314529
1983,300968,42713,258256,258195,211673,46522,61,198966,61,218898,-442,41443,37007,176,4260,60994,198966,82001,4140,66906,78735,0,296936,315373,-18438,-478,-18438,-17960,28337,68827,42713,2223,-28815,-28815,49473,-3728,-261,-3467,13347,0,11901,-126,572,1000,35515,16579,18936,0,0,0,0,4339,1499,2742,98,80612,46226,-1481,47707,1109,26163,7114,-31139,5345,0,7669,2324,-3927,-5555,1006,622,0,0,0,-9450,5523,10390,2233197,1784065,1714287,55461,14317,449132,77547,10129,67418,191502,0,112493,70054,7955,1000,123559,32665,90894,0,0,0,0,56524,34398,21832,294,2233197,908278,450209,21256,428953,10900,365546,81623,1324919
1984,323932,44296,279636,277818,226991,50827,1818,225343,1818,242473,-385,47674,42585,164,4925,66237,225343,94822,4677,71169,84664,0,338337,338517,-180,19887,-180,-20067,35854,77589,44296,2561,-15967,-15967,71558,9034,5630,3404,18689,0,9110,4518,1061,4000,38352,20457,17895,0,0,0,0,5483,3110,969,1404,75383,44784,-3656,48440,7741,15020,7838,-3825,14986,0,2843,-12142,27303,26014,697,593,0,0,0,382,26922,61794,2365352,1844662,1768947,59825,15890,520690,86581,15759,70822,210191,0,121603,74572,9016,5000,161911,53122,108789,0,0,0,0,62007,37508,22801,1698,2365352,978639,494993,17600,477393,18641,375544,89461,1386713
1985,354028,46757,307271,303777,245712,58065,3495,248823,3495,262081,-327,55612,50099,156,5357,72037,248823,101607,4886,77260,89798,0,367854,370261,-2407,19573,-2407,-21979,43653,87347,46757,3063,-24081,-24081,181165,9816,1423,8393,83657,0,49557,30511,589,3000,73934,21006,52928,0,0,0,0,13758,3775,3992,5991,185524,155393,2203,153190,8179,13203,8749,-4359,26878,0,7157,-19722,43603,42176,1142,286,0,0,0,5003,38600,85051,2630711,1928856,1845633,65830,17393,701855,96397,17182,79215,293848,0,171160,105083,9605,8000,235845,74128,161717,0,0,0,0,75765,41283,26793,7689,2630711,1158947,651111,20528,630583,26820,382806,98210,1471764
1986,381170,50135,331035,327906,265211,62695,3129,262979,3129,279675,-306,58960,52572,150,6238,78479,262979,109866,5957,84344,99786,0,394245,398218,-3974,19044,-3974,-23018,49739,96200,50135,3674,-30695,-30695,82767,2097,3182,-1085,35457,0,34067,-1420,810,2000,39637,4849,34788,216,0,216,0,5360,933,2734,1693,87498,72762,-126,72888,1437,3785,9514,-4731,20566,0,-5399,-25964,81797,79792,1749,256,3,0,3,-6789,88588,128198,2841351,2056726,1964715,72950,19061,784625,98494,20364,78130,329305,0,205227,103663,10415,10000,275482,78977,196505,219,0,219,0,81125,42216,29527,9382,2841351,1241389,724873,20402,704471,27257,381535,107724,1599962
1987,409978,53969,356009,352761,284745,68016,3248,280769,3248,301605,-275,58536,53039,162,5335,82344,280769,120501,7207,90726,94436,0,412188,426551,-14364,7965,-14364,-22329,52390,102194,53969,4166,-44425,-44425,81879,3453,1028,2425,20301,219,13059,5233,-210,2000,49463,11931,37532,532,0,532,0,8130,3767,483,3879,109805,92805,-828,93633,-2359,9270,10089,-27927,21651,0,5153,-16498,74984,73905,449,631,-64,0,-64,12847,62073,91689,3046371,2179932,2080297,78462,21173,866439,101947,21392,80555,349606,219,218286,108896,10205,12000,324945,90908,234037,687,0,687,0,89254,45983,30010,13261,3046371,1354720,817678,19574,798104,24898,394331,117813,1691651
