date,FA476000105.Q,FA475013005.Q,FA474090005.Q,FA474010005.Q,FA472050053.Q,FA474022005.Q,FA473069153.Q,FA473061105.Q,FA473061705.Q,FA473062005.Q,FA473063005.Q,FA474023000.Q,FA473068005.Q,FA473065005.Q,FA473065100.Q,FA473065403.Q,FA473065503.Q,FA473065603.Q,FA473066000.Q,FA473092403.Q,FA473064205.Q,FA473093005.Q,FA474190005.Q,FA713068743.Q,FA473127003.Q,FA473130005.Q,FA472150053.Q,FA473169333.Q,FA473193005.Q,FA477005005.Q,FA473139103.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11,1,73,19,0,0,0,0,0,0,0,54,0,41,41,0,0,0,13,0,0,0,73,0,0,63,0,0,10,10,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15,1,95,-9,0,15,0,15,0,0,0,89,0,68,68,0,0,0,21,0,0,0,90,0,0,81,0,0,9,9,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,22,3,113,-2,0,10,0,10,0,0,0,105,0,77,77,0,0,0,28,0,0,0,107,0,0,93,0,0,14,13,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,29,4,124,-7,0,7,0,7,0,0,0,124,0,43,43,0,0,0,81,0,0,0,116,0,0,98,0,0,18,17,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,39,5,185,25,0,8,0,8,0,0,0,152,0,57,57,0,0,0,95,0,0,0,174,0,0,149,0,0,25,23,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,44,5,265,199,0,10,0,10,0,0,0,56,0,3,3,0,0,0,53,0,0,0,255,0,0,225,0,0,30,29,0
1952:Q1,49,5,228,-28,0,8,0,8,0,0,0,248,0,-192,-192,0,0,0,440,0,0,0,212,0,0,184,0,0,28,28,0
1952:Q2,53,5,356,136,0,4,0,4,0,0,0,216,0,188,188,0,0,0,28,0,0,0,344,0,0,308,0,0,36,36,0
1952:Q3,57,4,352,128,0,4,0,4,0,0,0,220,0,-176,-176,0,0,0,396,0,0,0,340,0,0,300,0,0,40,41,0
1952:Q4,57,5,368,92,0,12,0,8,4,0,0,264,0,120,120,0,0,0,144,0,0,0,352,0,0,312,0,0,40,36,0
1953:Q1,62,10,292,-128,0,4,0,4,0,0,0,416,0,20,20,0,0,0,396,0,0,0,264,0,0,236,0,0,28,24,0
1953:Q2,70,10,532,244,0,4,0,4,0,0,0,284,0,132,132,0,0,0,152,0,0,0,512,0,0,468,0,0,44,40,0
1953:Q3,78,10,408,116,0,4,0,4,0,0,0,288,0,-168,-168,0,0,0,456,0,0,0,380,0,0,336,0,0,44,40,0
1953:Q4,94,10,396,128,0,12,0,12,0,0,0,256,0,-12,-12,0,0,0,268,0,0,0,368,0,0,308,0,0,60,56,0
1954:Q1,95,10,316,48,0,8,0,8,0,0,0,260,0,-88,-88,0,0,0,348,0,0,0,300,0,0,228,0,0,72,69,0
1954:Q2,95,10,456,228,0,8,0,8,0,0,0,220,0,380,380,0,0,0,-160,0,0,0,444,0,0,368,0,0,76,73,0
1954:Q3,96,10,532,304,0,8,0,8,0,0,0,220,0,-160,-160,0,0,0,380,0,0,0,516,0,0,444,0,0,72,70,0
1954:Q4,104,10,452,224,0,8,0,8,0,0,0,220,0,-36,-36,0,0,0,256,0,0,0,440,0,0,356,0,0,84,82,0
1955:Q1,104,13,292,-72,0,12,0,12,0,0,0,352,0,392,392,0,0,0,-40,0,0,0,252,0,0,196,0,0,56,51,0
1955:Q2,112,14,596,212,0,16,0,16,0,0,0,368,0,152,152,0,0,0,216,0,0,0,564,0,0,492,0,0,72,66,0
1955:Q3,124,15,672,268,0,16,0,16,0,0,0,388,0,-68,-68,0,0,0,456,0,0,0,632,0,0,556,0,0,76,69,0
1955:Q4,132,15,516,160,0,16,0,16,0,0,0,340,0,-8,-8,0,0,0,348,0,0,0,476,0,0,392,0,0,84,77,0
1956:Q1,133,12,588,200,0,16,0,16,0,0,0,372,0,-8,-8,0,0,0,380,0,0,0,556,0,0,464,0,0,92,89,0
1956:Q2,137,12,564,176,0,16,0,16,0,0,0,372,0,508,508,0,0,0,-136,0,0,0,528,0,0,436,0,0,92,89,0
1956:Q3,146,14,580,176,0,16,0,16,0,0,0,388,0,-212,-212,0,0,0,600,0,0,0,540,0,0,444,0,0,96,92,0
1956:Q4,150,14,668,220,0,12,0,12,0,0,0,436,0,-12,-12,0,0,0,448,0,0,0,632,0,0,528,0,0,104,100,0
1957:Q1,154,17,604,156,0,16,0,16,0,0,0,432,0,340,340,0,0,0,92,0,0,0,564,0,0,460,0,0,104,97,0
1957:Q2,163,17,592,100,0,16,0,16,0,0,0,476,0,32,32,0,0,0,444,0,0,0,552,0,0,440,0,0,112,106,0
1957:Q3,179,18,636,112,0,16,0,16,0,0,0,508,0,-140,-140,0,0,0,648,0,0,0,588,0,0,468,0,0,120,113,0
1957:Q4,196,17,684,288,0,12,0,12,0,0,0,384,0,-236,-236,0,0,0,620,0,0,0,644,0,0,500,0,0,144,139,0
1958:Q1,192,19,664,484,0,16,0,16,0,0,0,164,0,296,296,0,0,0,-132,0,0,0,636,0,0,484,0,0,152,145,0
1958:Q2,190,18,632,360,0,16,0,16,0,0,0,256,0,-140,-140,0,0,0,396,0,0,0,600,0,0,456,0,0,144,140,0
1958:Q3,190,17,680,400,0,16,0,16,0,0,0,264,0,136,136,0,0,0,128,0,0,0,644,0,0,504,0,0,140,137,0
1958:Q4,194,18,688,292,0,12,0,12,0,0,0,384,0,-184,-184,0,0,0,568,0,0,0,660,0,0,508,0,0,152,148,0
1959:Q1,190,19,740,192,0,12,0,12,0,0,0,536,0,416,416,0,0,0,120,0,0,0,684,0,36,528,0,0,120,115,0
1959:Q2,190,20,712,80,0,8,0,8,0,0,0,624,0,28,28,0,0,0,596,0,0,0,656,0,4,532,0,0,120,114,0
1959:Q3,194,21,784,-48,0,8,0,8,0,0,0,824,0,200,200,0,0,0,624,0,0,0,724,0,0,604,0,0,120,113,0
1959:Q4,210,21,780,96,0,12,0,12,0,0,0,672,0,-112,-112,0,0,0,784,0,0,0,720,0,0,584,0,0,136,129,0
1960:Q1,205,21,724,-92,0,8,0,8,0,0,0,808,0,712,712,0,0,0,96,0,0,0,676,0,4,528,0,0,144,136,0
1960:Q2,201,22,708,-64,0,8,0,8,0,0,0,764,0,-96,-96,0,0,0,860,0,0,0,660,0,0,520,0,0,140,131,0
1960:Q3,181,21,704,56,0,8,0,8,0,0,0,640,0,-124,-124,0,0,0,764,0,0,0,648,0,0,536,0,0,112,104,0
1960:Q4,170,21,728,224,0,16,0,16,0,0,0,488,0,-88,-88,0,0,0,576,0,0,0,684,0,4,568,0,0,112,105,0
1961:Q1,174,21,764,360,0,16,0,16,0,0,0,388,0,560,560,0,0,0,-172,0,0,0,720,0,0,604,0,0,116,109,0
1961:Q2,174,22,764,360,0,20,0,20,0,0,0,384,0,-268,-268,0,0,0,652,0,0,0,720,0,0,604,0,0,116,108,0
1961:Q3,166,22,852,424,0,20,0,20,0,0,0,408,0,356,356,0,0,0,52,0,0,0,804,0,0,700,0,0,104,96,0
1961:Q4,150,23,860,376,0,24,0,24,0,0,0,460,0,272,272,0,0,0,188,0,0,0,820,0,4,720,0,0,96,87,0
1962:Q1,150,25,896,408,0,20,0,20,0,0,0,468,0,204,204,0,0,0,264,0,0,0,828,0,0,760,0,0,68,57,0
1962:Q2,146,26,736,8,0,16,0,16,0,0,0,712,0,-156,-156,0,0,0,868,0,0,0,664,0,4,600,0,0,60,48,0
1962:Q3,130,26,824,120,0,20,0,20,0,0,0,684,0,252,252,0,0,0,432,0,0,0,744,0,0,708,0,0,36,24,0
1962:Q4,114,26,796,156,0,24,0,24,0,0,0,616,0,276,276,0,0,0,340,0,0,0,728,0,4,692,0,0,32,20,0
1963:Q1,101,22,960,312,0,40,0,36,4,0,0,608,0,400,400,0,0,0,208,0,0,0,892,0,0,872,0,0,20,11,0
1963:Q2,85,23,832,-64,0,48,0,44,4,0,0,848,0,-24,-24,0,0,0,872,0,0,0,756,0,4,756,0,0,-4,-14,0
1963:Q3,82,23,924,184,0,48,0,44,4,0,0,692,0,296,296,0,0,0,396,0,0,0,848,0,0,856,0,0,-8,-17,0
1963:Q4,78,24,912,224,0,44,0,36,8,0,0,644,0,348,348,0,0,0,296,0,0,0,844,0,4,844,0,0,-4,-14,0
1964:Q1,86,28,972,184,0,32,0,24,8,0,0,756,0,16,16,0,0,0,740,0,0,0,856,0,0,900,0,0,-44,-58,0
1964:Q2,90,29,1272,308,0,24,0,16,8,0,0,940,0,-232,-232,0,0,0,1172,0,0,0,1160,0,4,1192,0,0,-36,-51,0
1964:Q3,102,30,1176,192,0,24,0,12,12,0,0,960,0,228,228,0,0,0,732,0,0,0,1052,0,0,1088,0,0,-36,-52,0
1964:Q4,108,31,1148,348,0,20,0,8,12,0,0,780,0,-140,-140,0,0,0,920,0,0,0,1028,0,4,1052,0,0,-28,-43,0
1965:Q1,104,30,932,-92,0,20,0,8,12,0,0,1004,0,556,556,0,0,0,448,0,0,0,812,0,0,844,0,0,-32,-46,0
1965:Q2,112,31,1124,-236,0,8,0,4,4,0,0,1352,0,-12,-12,0,0,0,1364,0,0,0,1000,0,4,1024,0,0,-28,-43,0
1965:Q3,113,33,1080,180,0,20,0,4,16,0,0,880,0,-324,-324,0,0,0,1204,0,0,0,948,0,0,984,0,0,-36,-52,0
1965:Q4,117,34,1224,332,0,60,0,16,44,0,0,832,0,-316,-316,0,0,0,1148,0,0,0,1104,0,4,1120,0,0,-20,-37,0
1966:Q1,125,31,944,-56,0,100,0,20,80,0,0,900,0,984,984,0,0,0,-84,0,0,0,816,0,4,832,0,0,-20,-34,0
1966:Q2,137,33,1088,-184,0,144,0,28,116,0,0,1128,0,-196,-196,0,0,0,1324,0,0,0,960,0,0,968,0,0,-8,-24,0
1966:Q3,134,33,932,-264,0,152,0,28,124,0,0,1044,0,-484,-484,0,0,0,1528,0,0,0,784,0,4,808,0,0,-28,-47,0
1966:Q4,138,34,908,-76,0,120,0,20,100,0,0,864,0,-272,-272,0,0,0,1136,0,0,0,780,0,0,788,0,0,-8,-24,0
1967:Q1,135,33,988,352,0,92,0,8,84,0,0,544,0,4,4,0,0,0,540,0,0,0,880,0,4,868,0,0,8,-6,0
1967:Q2,135,34,1392,308,0,68,0,-4,72,0,0,1016,0,-28,-28,0,0,0,1044,0,0,0,1296,0,0,1276,0,0,20,5,0
1967:Q3,132,33,1232,336,0,72,0,0,72,0,0,824,0,-12,-12,0,0,0,836,0,0,0,1120,0,4,1116,0,0,0,-13,0
1967:Q4,137,34,976,132,0,96,0,12,84,0,0,748,0,-164,-164,0,0,0,912,0,0,0,876,0,4,856,0,0,16,3,0
1968:Q1,138,42,1240,292,0,132,0,12,120,0,0,816,0,-260,-260,0,0,0,1076,0,0,0,1120,0,0,1124,0,0,-4,-24,0
1968:Q2,140,41,1664,-16,0,140,0,0,140,0,0,1540,0,-32,-32,0,0,0,1572,0,0,0,1548,0,4,1544,0,0,0,-17,0
1968:Q3,149,42,1124,-556,0,168,0,20,148,0,0,1512,0,-128,-128,0,0,0,1640,0,0,0,984,0,0,1000,0,0,-16,-33,0
1968:Q4,158,45,1296,-392,0,212,0,72,140,0,0,1476,0,-12,-12,0,0,0,1488,0,0,0,1180,0,8,1156,0,0,16,-3,0
1969:Q1,164,45,1720,-76,0,264,0,132,132,0,0,1532,0,-68,-68,0,0,0,1600,0,0,0,1580,0,0,1580,0,0,0,-21,0
1969:Q2,176,45,1600,-1100,0,320,0,204,116,0,0,2380,0,-308,-308,0,0,0,2688,0,0,0,1460,0,4,1444,0,0,12,-9,0
