date,FA883120005.Q,FA313125003.Q,FA713120005.Q,FA713123005.Q,FA713124005.Q,FA713129005.Q,FA713122605.Q,FA713125005.Q,FA703025005.Q,FA763127005.Q,FA763123005.Q,FA763128000.Q,FA763122605.Q,FA763129205.Q,FA753127005.Q,FA753122603.Q,FA753129205.Q,FA743127003.Q,FA473127003.Q,FA883120005.Q,FA153020005.Q,FA143020005.Q,FA103020005.Q,FA113020005.Q,FA313020005.Q,FA213020005.Q,FA793020005.Q,FA713012003.Q,FA763025000.Q,FA753025003.Q,FA513020005.Q,FA543020005.Q,FA573020005.Q,FA343020033.Q,FA223020043.Q,FA403020005.Q,FA613020003.Q,FA643020073.Q,FA663020003.Q,FA503020005.Q,FA263020005.Q,FA263027003.Q,FA263025003.Q,FA903020005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-14400,223,-783,-599,0,0,-398,37,177,-13761,-21521,875,27,6858,-63,-26,-37,-16,0,-14400,5202,1147,543,604,-22723,875,613,0,177,0,189,-6,20,0,8,2,-6,0,229,0,-397,-397,0,883
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1275,0,-917,-459,0,0,-374,-254,170,2243,-1646,741,-192,3340,-14,4,-18,-37,0,1275,-105,2082,1932,150,-552,741,485,0,170,0,182,246,30,0,8,-3,-47,0,-101,0,-562,-562,0,-814
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
