1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,118644,26641,900,75,0,0,18655,195,17647,0,813,0,7081,30,7051,555,0,13706,3,0,45866,5162,1689,0,0,3473,338639,189784,44828,331,0,44497,40270,22979,3827,13464,579,33077,17381,53649,160,26214,27275,148855,146628,2227,46271,77595,59.631322914412976,31.88936710594033
1953:Q1,117014,23589,900,102,0,0,19241,212,18164,0,865,0,6411,31,6380,570,0,14065,3,0,46828,5305,1721,0,0,3585,329783,184436,45627,370,0,45257,40877,23076,4046,13756,596,31088,16007,50241,167,27068,23006,145347,143052,2295,43832,74587,58.76659850504669,31.780617252355093
1953:Q2,117637,25710,900,74,0,0,17581,194,16454,0,933,0,6777,32,6745,586,0,14472,3,0,46126,5408,1753,0,0,3655,312262,176132,46567,297,0,46270,40787,22710,4381,13696,602,31407,15201,41568,175,27876,13517,136130,133816,2314,44265,73996,59.82116926079266,31.352423206540685
1953:Q3,121633,25865,900,85,0,0,19467,214,18232,0,1021,0,6697,32,6665,599,0,14825,3,0,47561,5631,1785,0,0,3847,307975,176324,47147,347,0,46800,41191,23000,4430,13761,619,32222,17399,37746,182,28706,8858,131651,129274,2377,46317,77398,59.84292440927192,31.443540610599257
1953:Q4,122477,26550,900,114,0,0,20449,204,19240,0,1005,0,7341,32,7309,611,0,15124,3,0,45021,6364,1812,0,0,4553,340165,193649,48414,402,0,48012,40838,22417,4279,14142,632,32800,17986,52979,191,29504,23284,146516,144082,2434,48013,77884,61.646835916024045,30.36133815912952
1954:Q1,118201,23706,950,115,0,0,19162,312,17887,0,963,0,6453,32,6421,623,0,15408,3,0,45279,6502,1835,0,0,4667,358834,200090,49314,525,0,48789,40852,22094,4340,14419,646,30154,14340,64784,199,30054,34531,158744,156255,2489,43933,71452,61.485815719423144,29.898537891328264
1954:Q2,117669,25354,1000,128,0,0,16134,338,14874,0,922,0,6862,32,6830,639,0,15801,3,0,45273,6475,1851,0,0,4624,389084,213975,50208,484,0,49724,39943,21445,4213,14285,667,30197,11324,81636,205,30708,50723,175109,172550,2559,42616,67663,62.982796841398404,28.997832214646373
1954:Q3,123213,26760,1050,150,0,0,17663,300,16366,0,997,0,6790,32,6758,648,0,16001,3,0,47592,6556,1868,0,0,4688,432934,238318,51583,584,0,50999,39583,21273,4095,14216,682,31519,13163,101788,213,31277,70298,194616,191985,2631,45623,70633,64.59138514361183,28.465786454631854
1954:Q4,128676,28329,1100,158,0,0,18786,291,17523,0,972,0,7687,33,7654,663,0,16373,3,0,48406,7171,1895,0,0,5276,445618,248159,52078,531,0,51547,40765,21761,4368,14636,681,34832,14767,105036,224,31625,73187,197459,194840,2619,48373,76259,63.43267580636266,28.714888850564797
1955:Q1,129393,26814,1075,147,0,0,19039,281,17543,150,1065,0,6834,36,6798,675,0,16656,3,0,50806,7344,1929,0,0,5415,458240,253422,52555,500,0,52055,41165,22121,4109,14935,699,34093,12936,111974,237,31888,79849,204818,202122,2696,47075,73759,63.822538218041345,28.521321194337084
1955:Q2,132431,27756,1050,127,0,0,18399,352,16788,200,1059,0,7398,40,7358,693,0,17144,4,0,52383,7477,1964,0,0,5513,507774,279461,53159,380,0,52779,42227,22865,4234,15128,723,35703,12026,135623,259,31675,103689,228313,225533,2780,47332,75208,62.934634970609274,28.80849495039711
1955:Q3,139777,28304,1025,123,0,0,20323,245,18619,250,1209,0,7477,44,7433,707,0,17493,4,0,56754,7567,2008,0,0,5559,547310,303467,53624,371,0,53253,43249,23814,4080,15355,740,39673,15248,150933,280,31528,119125,243843,240995,2848,49775,83186,59.83596627580192,29.177267184837692
1955:Q4,147000,29282,1000,129,0,0,23017,217,21281,300,1219,0,8385,47,8338,728,0,17992,6,0,58009,8452,2067,0,0,6386,565008,317916,54926,362,0,54564,46290,25662,4433,16195,746,43874,18430,153650,295,31685,121670,247092,244222,2870,53428,92761,57.59731891845104,30.091418995248937
1956:Q1,142953,26140,1000,95,0,0,20868,171,18878,325,1494,0,7505,49,7456,750,0,18536,8,0,59131,8920,2142,0,0,6778,597801,332502,55348,362,0,54986,48257,27113,4715,16429,769,41991,15133,171004,311,31906,138787,265299,262345,2954,48103,89314,53.858353258653594,31.069988191603798
1956:Q2,142874,26977,1000,141,0,0,17675,325,15667,350,1333,0,7910,50,7860,775,0,19186,10,0,60287,8913,2233,0,0,6680,580682,324948,56235,289,0,55946,49748,28607,4609,16532,789,43720,12175,162281,317,32735,129229,255734,252704,3030,45793,89400,51.222653915278094,31.613526975368323
1956:Q3,147474,27277,1000,119,0,0,17616,371,15575,375,1295,0,7936,51,7885,809,0,19990,14,0,63778,8935,2330,0,0,6605,574893,324962,57414,401,0,57013,50343,29331,4398,16615,804,45420,14259,156722,324,33442,122956,249931,246833,3098,46012,93808,49.04889585660267,31.67256066514397
1956:Q4,153191,28990,1000,138,0,0,18765,305,16718,400,1342,0,8701,54,8647,846,0,20894,17,0,63809,10031,2430,0,0,7601,625669,354148,58418,378,0,58040,52544,30747,4670,17127,819,47992,16754,177621,339,33765,143517,271521,268373,3148,48893,100541,48.62997973634324,32.2587095622237
1957:Q1,151332,26402,1000,198,0,0,18440,355,16166,500,1419,0,7609,58,7551,870,0,21482,22,0,65016,10293,2556,0,0,7737,595538,338333,59863,353,0,59510,53683,30873,5180,17629,827,46320,14218,163422,348,34977,128097,257205,254023,3182,46040,96945,47.490923170503976,32.06363943916537
1957:Q2,152037,27100,1000,176,0,0,16579,349,14227,600,1403,0,8152,63,8089,917,0,22680,27,0,65154,10252,2702,0,0,7550,634060,357756,61295,320,0,60975,55042,32125,5220,17697,838,46312,11957,182312,370,35442,146500,276304,273076,3228,44855,95934,46.75627571261373,32.37543612648969
1957:Q3,155894,27712,1000,153,0,0,17328,345,14773,700,1510,0,8064,68,7996,936,0,23106,31,0,67098,10466,2856,0,0,7610,584281,335653,62852,364,0,62488,54973,31811,5354,17807,840,47428,13511,156049,373,36957,118719,248628,245392,3236,46193,98469,46.91125609592813,31.852352572055036
1957:Q4,158201,29024,1000,131,0,0,18303,435,15589,800,1479,0,8742,72,8670,955,0,23569,37,0,65436,11004,3005,0,0,7999,592177,343075,64494,422,0,64072,56139,31971,5730,18438,873,49578,14621,157370,378,38377,118615,249102,245747,3355,48458,102322,47.35829372030357,31.602564705710556
1958:Q1,154785,25972,1550,160,0,0,17057,746,14394,700,1217,0,7512,76,7436,965,0,23878,41,0,66550,11100,3142,0,0,7959,617724,352982,66653,716,0,65937,55707,30808,6185,18713,890,45517,11495,172720,393,38752,133575,264742,261319,3423,44739,94721,47.23228397192376,30.818352452150975
1958:Q2,156050,27218,2100,132,0,0,14977,455,12340,500,1682,0,7958,80,7878,990,0,24479,41,0,66706,11449,3277,0,0,8172,651467,369404,67808,791,0,67017,55466,30687,5841,18938,910,46871,8991,189358,414,38813,150131,282063,278565,3498,44427,93181,47.67832618737903,30.273081803591783
1958:Q3,163273,28211,2000,172,0,0,15928,224,13175,550,1979,0,8051,84,7967,1005,0,24832,42,0,71453,11579,3415,0,0,8164,720923,406813,69258,795,0,68463,55022,30474,5335,19214,928,50103,10322,221180,440,38606,182134,314110,310541,3569,46311,97029,47.729255616413994,29.452386674269448
1958:Q4,170565,30083,1900,149,0,0,18860,210,16092,600,1958,0,8907,87,8820,1028,0,25415,43,0,71840,12340,3555,0,0,8784,757700,429456,70373,658,0,69715,57595,31650,5758,20187,930,53810,12026,234722,469,38221,196032,328244,324670,3574,50992,103903,49.07677673178669,29.746828811394018
1959:Q1,171233,27264,1800,143,0,0,20440,502,17280,700,1958,0,8118,74,8044,1049,0,25930,45,0,73501,12943,3697,0,0,9246,773199,437512,70959,652,0,70307,57894,31437,6248,20209,956,53685,11682,242336,484,38918,202934,335687,332012,3675,49647,103704,47.873647253330255,29.752608798017693
1959:Q2,177043,28230,1700,137,0,0,21635,622,18104,900,2009,0,8667,62,8605,1080,0,26670,48,0,75575,13301,3841,0,0,9460,807484,457236,71627,458,0,71169,60301,33407,6655,20238,987,55502,12591,256228,510,38993,216725,350248,346451,3797,51702,108614,47.601787682101545,30.714141239575987
1959:Q3,181310,27748,1600,145,0,0,24006,240,20311,1000,2455,0,8553,21,8532,1099,0,27150,52,0,77484,13473,3986,0,0,9487,797303,453539,72264,527,0,71737,60637,34014,6412,20211,1010,55842,13275,250511,520,39889,210102,343764,339875,3889,53499,110070,48.60467057430587,30.81450224829118
1959:Q4,186711,29196,1500,132,0,0,25357,742,21621,1200,1794,0,10139,21,10118,1118,0,27634,57,0,77386,14192,4131,0,0,10060,849422,483359,73109,315,0,72794,63539,35439,7088,21012,1017,59100,14150,272444,547,39918,231979,366063,362157,3906,56185,116092,48.397154857967465,31.35175627202664
1960:Q1,185462,26528,1268,121,0,0,24375,740,19986,1200,2449,0,8340,22,8318,1140,0,28172,64,0,79948,15506,4282,0,0,11224,804525,461235,73643,427,0,73216,65101,35977,8149,20975,1035,58535,12817,250104,549,40880,208675,343290,339310,3980,52292,115905,45.116242060708885,32.11170175410612
1960:Q2,185488,27535,1087,140,0,0,22526,757,18247,1343,2179,0,9044,23,9021,1153,0,28488,71,0,80465,14979,4437,0,0,10542,823415,471802,74654,547,0,74107,66751,36856,8811,21084,1045,59438,11903,258011,572,40782,216657,351613,347588,4025,51288,117555,43.62891045823723,32.68215792083408
1960:Q3,187740,27737,1346,191,0,0,20832,648,16446,1190,2548,0,8777,24,8753,1165,0,28811,76,0,83319,15486,4589,0,0,10897,773047,447675,75671,782,0,74889,66254,36543,8402,21309,1064,60426,11795,232465,573,41839,190053,325372,321285,4087,50106,117948,42.4815494694333,32.218979872440634
1960:Q4,188650,28243,3000,148,0,0,20038,788,15752,1116,2382,0,9647,24,9623,1192,0,29478,79,0,82311,14514,4728,0,0,9786,865552,496284,76985,769,0,76216,68611,37651,9131,21829,1067,61935,12560,275126,613,40780,233733,369268,365166,4102,51429,122046,42.13902555645135,32.65947511634001
1961:Q1,186949,26462,3272,189,0,0,19503,562,15225,936,2780,0,7992,26,7966,1222,0,30171,82,0,83213,14843,4853,0,0,9990,950453,535938,77200,623,0,76577,68332,37641,8942,21748,1082,60270,10921,318133,657,39132,278344,414515,410353,4162,49426,118397,41.74586796137481,32.437182506093556
1961:Q2,192910,27769,3863,213,0,0,19264,613,14636,1233,2782,0,8574,28,8546,1248,0,30831,84,0,85820,15244,4963,0,0,10281,954981,539182,79256,726,0,78530,68439,37343,9061,22035,1103,61734,10584,318066,674,38832,278560,415799,411555,4244,51109,119448,42.787736510019094,31.910149006746696
1961:Q3,196641,27903,4606,238,0,0,17972,245,13288,1248,3191,0,8619,30,8589,1278,0,31568,85,0,89372,15000,5073,0,0,9927,981654,553747,80254,1017,0,79237,68116,37134,8712,22270,1114,63376,11557,329330,697,38193,290440,427907,423621,4286,50719,121796,41.64258248148621,31.585207599945864
1961:Q4,201492,31673,4100,236,0,0,18828,1089,14096,1248,2395,0,9650,33,9617,1299,0,32088,88,0,88253,15277,5195,0,0,10081,1016815,574947,81705,1094,0,80611,71286,38585,9454,23247,1092,65676,13274,341914,740,36517,304657,441868,437674,4194,54837,128083,42.81358398701717,32.115132070238246
1962:Q1,201284,28211,5395,234,0,0,19393,562,14217,1238,3376,0,8569,38,8531,1316,0,32538,91,31,89326,16180,5329,0,0,10850,1006162,574000,82568,1131,0,81437,71199,38089,9530,23580,1099,64315,12916,341903,749,36336,304818,432162,427931,4231,53264,125981,42.279305073335095,31.703909906995193
1962:Q2,204483,29469,5554,296,0,0,18221,907,13061,1184,3069,0,9450,44,9406,1342,0,33183,95,82,90553,16238,5477,0,0,10760,913058,582177,84073,1092,0,82981,73151,39474,9680,23997,1118,65041,13001,345793,686,40045,305062,330881,326582,4299,53622,128288,41.79808657001953,31.95833867947276
1962:Q3,208904,30249,4903,788,0,0,17088,1079,11645,1308,3056,0,9484,50,9434,1367,0,33766,97,134,94489,16539,5623,0,0,10916,935732,586025,84921,1363,0,83558,73807,40045,9269,24493,1129,67540,13996,344632,716,38753,305163,349707,345363,4344,53162,132213,40.209407762137786,31.92691672115228
1962:Q4,213164,34564,5000,790,0,0,17583,1304,12307,1275,2697,0,10444,54,10390,1392,0,34401,99,168,92772,15951,5749,0,0,10202,1018768,589952,85841,1198,0,84643,77629,42226,9836,25567,1171,68611,14355,342345,768,36261,305316,428816,424314,4502,58105,136226,42.6533750925842,32.58093614221973
1963:Q1,213534,27771,5344,828,0,0,21755,1092,16367,930,3366,0,9406,56,9350,1427,11691,35258,99,187,94615,5153,5858,0,0,-705,1041376,588845,86793,1214,0,85579,77942,41735,10253,25954,1184,68025,13596,341305,803,34964,305538,452531,447981,4550,67576,134823,50.12207392485837,32.295477459218716
1963:Q2,218493,29185,5160,1065,0,0,21340,1008,15252,1314,3766,0,10135,56,10079,1460,12026,36117,99,193,96295,5418,5963,0,0,-545,1066231,592548,87682,987,0,86695,79862,42769,10562,26531,1212,69619,13743,340430,834,33853,305743,473683,469026,4657,68969,137680,50.09385629294718,32.41997097197619
1963:Q3,223047,29821,5117,1000,0,0,21017,445,14602,1399,4571,0,10312,56,10256,1486,12268,36697,99,195,99420,5615,6050,0,0,-435,1088586,596154,88336,1111,0,87225,80360,42999,10195,27166,1236,71911,14713,339598,864,32782,305952,492432,487677,4755,69418,140930,49.25716281478113,32.19140673595607
1963:Q4,228481,33427,5687,731,0,0,21492,969,15128,1608,3787,0,11405,60,11345,1519,12666,37562,100,203,99080,4609,6105,0,0,-1496,1076268,605845,89382,968,0,88414,84806,45623,10942,28240,1208,75976,15744,338729,895,31670,306164,470423,465779,4644,74206,149254,49.718086496990374,33.029576000145575
1964:Q1,228058,28846,6724,867,0,68,22638,1341,16148,1325,3824,0,10564,65,10499,1548,13226,38273,101,214,100167,4822,6189,0,0,-1367,1102088,602347,90039,948,0,89091,85665,45036,11799,28831,1224,72804,15109,337506,940,30220,306346,499741,495027,4714,72583,145696,49.81823959731978,32.88630582361951
1964:Q2,232934,30806,6452,978,0,169,22000,1058,15240,1364,4338,0,11105,72,11033,1586,13568,39188,102,225,101853,4902,6267,0,0,-1365,1122626,606734,91251,889,0,90362,88453,46688,12414,29351,1247,74377,14675,336731,978,29163,306590,515892,511094,4798,74198,149043,49.7828535054566,33.38337399782193
1964:Q3,238983,30996,6309,1243,0,135,21074,1729,14402,1152,3791,0,11260,79,11181,1620,13866,40064,102,238,107264,4812,6346,0,0,-1534,1145682,611889,92139,1081,0,91058,89765,47295,12296,30174,1258,77360,15338,336029,1014,28201,306814,533793,528953,4840,73861,153370,48.158662909625924,33.353866703998484
1964:Q4,242984,32738,6671,1097,0,309,20855,1694,14481,1000,3680,0,12365,84,12281,1658,13844,40974,103,253,107622,4495,6434,0,0,-1939,1174364,623621,93533,1125,0,92408,94396,50264,12685,31447,1245,82924,16211,335312,1049,27284,306979,550743,545955,4788,75767,163209,46.42342824236941,34.094594540521975
1965:Q1,245268,29399,7704,1033,0,280,21054,995,14092,1078,4889,0,11493,86,11407,1718,14085,42446,104,270,110418,5264,6521,0,0,-1257,1192428,627669,94189,847,0,93342,98088,52461,13442,32185,1281,82781,15891,335439,1081,27109,307249,564759,559834,4925,73825,165422,44.628341455298184,34.715467944954874
1965:Q2,250887,30209,8601,822,0,198,19512,678,12320,1059,5455,0,12125,86,12039,1773,13763,43805,107,289,113626,6057,6624,0,0,-567,1180879,636501,95668,727,0,94941,102187,55467,14108,32612,1282,85261,15316,336787,1087,28293,307407,544378,539451,4927,73394,170879,42.95083331476597,35.53208920775091
1965:Q3,256792,29266,9212,892,0,336,19162,893,11829,1254,5186,0,12131,86,12045,1809,14731,44718,107,309,119193,4926,6738,0,0,-1813,1235212,642226,97560,926,0,96634,103579,56660,13777,33143,1313,88536,16329,334909,1157,26073,307679,592986,587928,5058,73908,176227,41.93899156012704,35.47910661165352
1965:Q4,276298,33053,8993,781,0,593,19756,1370,12548,1238,4600,0,13314,88,13226,2074,15148,51270,111,330,120892,9983,6859,0,0,3124,1285469,656553,98057,797,0,97260,110140,61141,14894,34105,1329,94592,18294,334141,1203,25033,307905,628916,623812,5104,78654,189718,41.45839969274469,36.90353393914657
1966:Q1,278375,27944,9886,884,0,512,20617,2375,12958,1216,4068,0,12265,93,12172,2112,15646,52197,118,351,124146,11697,6990,0,0,4706,1273512,662029,101043,820,0,100223,112570,62119,15760,34692,1354,93372,18132,335558,1226,26183,308149,611483,606267,5216,75840,190202,39.87336729963792,36.8414195349015
1966:Q2,283831,28747,9708,917,0,439,19245,2473,11330,1382,4060,0,12891,100,12791,2169,15829,53625,126,370,128445,11320,7132,0,0,4188,1259681,673337,103651,861,0,102790,118667,66583,16261,35823,1375,95670,15594,338380,1223,28805,308352,586344,581050,5294,75255,194969,38.598390042851406,37.65106706859728
1966:Q3,287819,27617,9774,932,0,481,18339,1952,10774,1107,4506,0,12560,108,12452,2214,15179,54715,131,393,133794,11690,7281,0,0,4409,1214599,686108,106689,1466,0,105223,119911,67759,15365,36787,1369,98923,16562,342654,1189,33061,308404,528491,523227,5264,72715,200075,36.343879056704075,37.330146983820455
1966:Q4,288868,32371,8603,885,0,895,18572,2852,11054,1027,3639,0,13511,114,13397,2207,16847,54524,136,425,133268,6624,7435,0,0,-811,1251063,697659,109096,1622,0,107474,123832,69715,16422,37695,1434,103800,17414,342083,1249,32178,308656,553404,547891,5513,78598,208973,37.61155931341936,37.67649600755222
