1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053,0,0,0,0,0,0,0,0,0,0,2053,2053,0
1952:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,0,0,0,0,0,0,0,0,0,0,1968,1968,0
1952:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,1890,1890,0
1952:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,0,0,0,0,0,0,0,0,0,2028,2028,0
1952:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188,0,0,0,0,0,0,0,0,0,0,2188,2188,0
1953:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,0,0,0,0,0,0,0,0,0,0,2170,2170,0
1953:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2238,0,0,0,0,0,0,0,0,0,0,2238,2238,0
1953:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2254,0,0,0,0,0,0,0,0,0,0,2254,2254,0
1953:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,0,0,0,0,0,0,0,0,0,0,2157,2157,0
1954:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044,0,0,0,0,0,0,0,0,0,0,2044,2044,0
1954:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057,0,0,0,0,0,0,0,0,0,0,2057,2057,0
1954:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,0,0,0,0,0,0,0,0,0,0,2382,2382,0
1954:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,0,0,0,0,0,0,0,0,0,0,2741,2741,0
1955:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,0,0,0,0,0,0,0,0,0,0,2790,2790,0
1955:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737,0,0,0,0,0,0,0,0,0,0,2737,2737,0
1955:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828,0,0,0,0,0,0,0,0,0,0,2828,2828,0
1955:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,0,0,0,0,0,0,0,0,0,0,2924,2924,0
1956:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797,0,0,0,0,0,0,0,0,0,0,2797,2797,0
1956:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860,0,0,0,0,0,0,0,0,0,0,2860,2860,0
1956:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0,0,0,0,0,0,0,0,2999,2999,0
1956:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,0,0,0,0,0,0,0,0,0,0,3013,3013,0
1957:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,0,0,0,0,0,0,0,0,0,0,2940,2940,0
1957:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643,0,0,0,0,0,0,0,0,0,0,2643,2643,0
1957:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824,0,0,0,0,0,0,0,0,0,0,2824,2824,0
1957:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898,0,0,0,0,0,0,0,0,0,0,2898,2898,0
1958:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835,0,0,0,0,0,0,0,0,0,0,2835,2835,0
1958:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4856,0,0,0,0,0,0,0,0,0,0,4856,4856,0
1958:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5052,0,0,0,0,0,0,0,0,0,0,5052,5052,0
1958:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4953,0,0,0,0,0,0,0,0,0,0,4953,4953,0
1959:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330,0,0,0,0,0,0,0,0,0,0,5330,5330,0
1959:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5617,0,0,0,0,0,0,0,0,0,0,5617,5617,0
1959:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223,0,0,0,0,0,0,0,0,0,0,6223,6223,0
1959:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6438,0,0,0,0,0,0,0,0,0,0,6438,6438,0
1960:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6079,0,0,0,0,0,0,0,0,0,0,6079,6079,0
1960:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6135,0,0,0,0,0,0,0,0,0,0,6135,6135,0
1960:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,0,0,0,0,0,0,0,0,0,0,5795,5795,0
1960:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7022,0,0,0,0,0,0,0,0,0,0,7022,7022,0
1961:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6796,0,0,0,0,0,0,0,0,0,0,6796,6796,0
1961:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6727,0,0,0,0,0,0,0,0,0,0,6727,6727,0
1961:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6798,0,0,0,0,0,0,0,0,0,0,6798,6798,0
1961:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8423,0,0,0,0,0,0,0,0,0,0,8423,8423,0
1962:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7832,0,0,0,0,0,0,0,0,0,0,7832,7832,0
1962:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6206,0,0,0,0,0,0,0,0,0,0,6206,6206,0
1962:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5731,0,0,0,0,0,0,0,0,0,0,5731,5731,0
1962:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8041,0,0,0,0,0,0,0,0,0,0,8041,8041,0
1963:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8548,0,0,0,0,0,0,0,0,0,0,8548,8548,0
1963:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9438,0,0,0,0,0,0,0,0,0,0,9438,9438,0
1963:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10281,0,0,0,0,0,0,0,0,0,0,10281,10281,0
1963:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9895,0,0,0,0,0,0,0,0,0,0,9895,9895,0
1964:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10914,0,0,0,0,0,0,0,0,0,0,10914,10914,0
1964:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11379,0,0,0,0,0,0,0,0,0,0,11379,11379,0
1964:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11599,0,0,0,0,0,0,0,0,0,0,11599,11599,0
1964:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11289,0,0,0,0,0,0,0,0,0,0,11289,11289,0
1965:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19546,0,0,0,0,0,0,0,0,0,0,19546,19546,0
1965:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18328,0,0,0,0,0,0,0,0,0,0,18328,18328,0
1965:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19950,0,0,0,0,0,0,0,0,0,0,19950,19950,0
1965:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19840,0,0,0,0,0,0,0,0,0,0,19840,19840,0
1966:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18350,0,0,0,0,0,0,0,0,0,0,18350,18350,0
1966:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18206,0,0,0,0,0,0,0,0,0,0,18206,18206,0
1966:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15681,0,0,0,0,0,0,0,0,0,0,15681,15681,0
1966:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19948,0,0,0,0,0,0,0,0,0,0,19948,19948,0
1967:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20383,0,0,0,0,0,0,0,0,0,0,20383,20383,0
1967:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18984,0,0,0,0,0,0,0,0,0,0,18984,18984,0
1967:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20901,0,0,0,0,0,0,0,0,0,0,20901,20901,0
1967:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19714,0,0,0,0,0,0,0,0,0,0,19714,19714,0
1968:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21251,0,0,0,0,0,0,0,0,0,0,21251,21251,0
1968:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24449,0,0,0,0,0,0,0,0,0,0,24449,24449,0
1968:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25699,0,0,0,0,0,0,0,0,0,0,25699,25699,0
1968:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29499,0,0,0,0,0,0,0,0,0,0,29499,29499,0
1969:Q1,1740,0,0,0,0,0,0,0,350,0,0,900,0,490,100,390,32046,595,0,200,200,0,0,0,395,0,395,31451,31451,0
1969:Q2,4295,0,0,0,0,0,0,0,1662,0,0,1800,0,833,200,633,36916,1825,0,1245,1245,0,0,0,580,0,580,35091,35091,0
1969:Q3,7265,0,0,0,0,0,0,0,3858,0,0,2700,0,707,300,407,38309,3559,0,2595,2595,0,0,0,964,0,964,34750,34750,0
1969:Q4,8695,0,0,0,0,0,0,0,3946,0,0,3600,0,1149,400,749,39876,4708,0,4294,4294,0,0,0,414,0,414,35168,35168,0
1970:Q1,13147,0,0,0,0,0,0,0,6837,0,0,4500,0,1810,500,1310,46153,7623,0,7415,6477,938,0,0,208,0,208,38530,38530,0
1970:Q2,16373,0,0,0,0,0,0,0,8083,0,0,5400,0,2890,600,2290,42535,8741,0,8581,7603,978,0,0,160,0,160,33794,33794,0
1970:Q3,14094,0,0,0,0,0,0,0,5228,0,0,7200,0,1666,800,866,40781,5888,0,5672,4618,1054,0,0,216,0,216,34893,34893,0
1970:Q4,14719,0,0,0,0,0,0,0,2954,0,0,9000,0,2765,1000,1765,39935,5022,0,3449,2349,1100,0,0,1573,0,1573,34913,34913,0
1971:Q1,14579,0,0,0,0,0,0,0,2858,0,0,9900,0,1821,1169,652,43293,4976,0,3811,1692,2119,0,0,1165,0,1165,38317,38317,0
1971:Q2,15898,0,0,0,0,0,0,0,3058,0,0,10800,0,2040,1334,706,38664,5426,0,3851,1733,2118,0,0,1575,0,1575,33238,33238,0
1971:Q3,18096,0,0,0,0,0,0,0,2960,0,0,12600,0,2536,1673,863,40102,7496,0,4042,1900,2142,0,0,3454,0,3454,32606,32606,0
1971:Q4,18949,0,0,0,0,0,0,0,2840,0,0,13500,0,2609,2065,544,44749,7789,0,4211,1973,2238,0,0,3578,0,3578,36960,36960,0
1972:Q1,19951,0,0,0,0,0,0,0,2772,0,0,14400,0,2779,2635,144,48972,7472,0,4843,2172,2671,0,0,2629,0,2629,41500,41500,0
1972:Q2,21123,0,0,0,0,0,0,0,2296,0,0,15300,0,3527,3407,120,48976,8005,0,5179,1971,3208,0,0,2826,0,2826,40971,40971,0
1972:Q3,24239,0,0,0,0,0,0,0,2264,0,0,17100,0,4875,4304,571,55722,8936,0,6106,2368,3738,0,0,2830,0,2830,46786,46786,0
1972:Q4,27629,0,0,0,0,0,0,0,2598,0,0,18900,0,6131,5050,1081,63929,9432,0,6789,2637,4152,0,0,2643,0,2643,54497,54497,0
1973:Q1,32608,-1000,1000,0,0,0,0,0,3161,0,0,20085,0,9362,6300,3062,60487,11128,0,7916,3456,4460,0,0,3212,0,3212,49359,49359,0
1973:Q2,36210,-1000,1000,0,0,0,0,0,3520,0,0,21065,0,11625,6684,4941,57919,12357,0,8956,4283,4673,0,0,3401,0,3401,45562,45562,0
1973:Q3,43332,-2500,2500,0,0,0,0,0,4637,0,0,21343,0,17352,9216,8136,67629,14783,0,10088,5231,4857,0,0,4695,0,4695,52846,52846,0
1973:Q4,43007,-2500,2500,0,0,0,0,0,4300,0,0,22303,0,16404,9531,6873,62998,14678,0,9959,4881,5078,0,0,4719,0,4719,48320,48320,0
1974:Q1,46910,-3000,3000,0,0,0,0,0,4904,0,0,23913,0,18093,10601,7492,64522,16011,0,11575,6045,5530,0,0,4436,0,4436,48511,48511,0
1974:Q2,49372,-3000,3000,0,0,0,0,0,5372,0,0,25719,0,18281,10823,7458,50388,16854,0,12961,6952,6009,0,0,3893,0,3893,33534,33534,0
1974:Q3,47517,-3500,3500,0,0,0,0,0,4914,0,0,27309,0,15294,11824,3470,41410,16230,0,15107,8639,6468,0,0,1123,0,1123,25180,25180,0
1974:Q4,49270,-3500,3500,0,0,0,0,0,4901,0,0,28290,0,16079,12211,3868,43147,16833,0,15192,8332,6860,0,0,1641,0,1641,26314,26314,0
1975:Q1,51071,-4000,4000,0,0,0,0,0,4677,0,0,29990,0,16404,13600,2804,49010,17454,0,16049,8954,7095,0,0,1405,0,1405,31556,31556,0
1975:Q2,54754,-4000,4000,0,0,0,0,0,4667,0,0,31955,0,18132,14387,3745,55706,18715,0,15974,8791,7183,0,0,2741,0,2741,36991,36991,0
1975:Q3,58515,-4000,4000,0,0,0,0,0,4496,0,0,33960,0,20059,15311,4748,48968,20004,0,16231,8798,7433,0,0,3773,0,3773,28964,28964,0
1975:Q4,63048,-2700,4200,0,1500,120,330,1050,3400,0,0,36020,0,20628,17980,2648,52858,23400,0,19954,8654,11300,0,0,3446,700,2746,29458,29458,0
1976:Q1,65412,-2500,4200,0,1600,128,352,1120,3500,0,0,37140,0,21472,18860,2612,60889,24800,0,20327,8427,11900,0,0,4473,700,3773,36089,36089,0
1976:Q2,67773,-2400,4300,0,1700,136,374,1190,3600,0,0,38192,0,22381,19808,2573,63411,26200,0,20508,8008,12500,0,0,5692,700,4992,37211,37211,0
1976:Q3,70030,-2200,4300,0,1800,144,396,1260,3700,0,0,39380,0,23050,20620,2430,62121,27500,0,21394,7894,13500,0,0,6106,800,5306,34621,34621,0
1976:Q4,73273,-1840,4400,0,2055,164,452,1439,3781,0,0,41035,0,23842,21726,2116,66480,29066,0,22230,7859,14371,0,0,6836,800,6036,37414,37414,0
1977:Q1,76028,-1600,4400,0,2300,184,506,1610,3700,0,0,42232,0,24996,21768,3228,65232,30600,0,22965,7965,15000,0,0,7635,800,6835,34632,34632,0
1977:Q2,78366,-1300,4500,0,2600,208,572,1820,3800,0,0,43352,0,25414,22648,2766,66287,32000,0,24230,8530,15700,0,0,7770,900,6870,34287,34287,0
1977:Q3,80698,-900,4500,0,3000,240,660,2100,3800,0,0,44472,0,25826,23528,2298,66766,33100,0,25315,8915,16400,0,0,7785,900,6885,33666,33666,0
1977:Q4,84218,-530,4600,0,3349,268,737,2344,3810,0,0,47213,0,25776,23828,1948,69230,35164,0,26200,9135,17065,0,0,8964,900,8064,34066,34066,0
1978:Q1,86396,-100,4700,0,3000,240,660,2100,4000,0,0,48046,0,26750,24454,2296,70495,36400,0,27446,10146,17300,0,0,8954,900,8054,34095,34095,0
1978:Q2,88261,2462,2738,0,2700,216,594,1890,4200,0,0,49933,0,26228,24067,2161,73720,37300,0,30299,12027,18272,0,0,7001,228,6773,36420,36420,0
1978:Q3,90121,3224,2776,0,2400,192,528,1680,4400,0,0,50919,0,26402,24581,1821,78593,38200,0,31675,13005,18670,0,0,6525,230,6295,40393,40393,0
1978:Q4,93887,3790,2945,0,2065,165,454,1446,4628,0,0,52803,0,27656,25793,1863,78617,41027,0,35095,15835,19260,0,0,5932,234,5698,37590,37590,0
1979:Q1,96375,3280,3620,0,2500,200,550,1750,4500,0,0,53625,0,28850,26876,1974,80584,42400,0,36500,16435,20065,0,0,5900,235,5665,38184,38184,0
1979:Q2,98776,2686,4414,0,3000,240,660,2100,4400,0,0,54352,0,29924,28148,1776,83485,42600,0,39804,18956,20848,0,0,2796,252,2544,40885,40885,0
1979:Q3,101776,3253,4047,0,3500,280,770,2450,4300,0,0,56363,0,30313,28637,1676,87457,44600,0,41581,20415,21166,0,0,3019,734,2285,42857,42857,0
1979:Q4,104714,4652,2945,0,3722,298,819,2605,4230,0,0,58986,0,30179,28425,1754,85692,46735,0,41741,20382,21359,0,0,4994,1045,3949,38957,38957,0
1980:Q1,106520,3977,4023,0,3800,304,836,2660,4100,0,0,60027,0,30593,29973,620,79668,47000,0,44621,22502,22119,0,0,2379,1181,1198,32668,32668,0
1980:Q2,110161,4695,3805,0,3800,304,836,2660,4000,0,0,62284,0,31577,30716,861,89662,49100,0,45613,22624,22989,0,0,3487,1311,2176,40562,40562,0
1980:Q3,113634,4458,4542,0,3900,312,858,2730,3900,0,0,64027,0,32807,31973,834,90451,51100,0,46721,23062,23659,0,0,4379,1641,2738,39351,39351,0
1980:Q4,118373,3513,5856,0,3904,312,859,2733,3703,0,0,64977,0,36420,35007,1413,94363,54059,0,50268,25943,24325,0,0,3791,1840,1951,40304,40304,0
1981:Q1,116537,2399,6201,0,3700,296,814,2590,2700,0,0,66494,0,35043,31506,3537,93755,50500,0,47186,25767,21419,0,0,3314,2081,1233,43255,43255,0
1981:Q2,122542,1728,8692,0,3643,291,801,2551,3167,0,0,69811,0,35501,34249,1252,105217,55906,0,52144,28857,23287,0,0,3762,2308,1454,49311,49311,0
1981:Q3,131450,-247,12447,0,3700,296,814,2590,3650,0,0,72247,0,39653,37753,1900,107850,64500,0,57604,32609,24995,0,0,6896,2505,4391,43350,43350,0
1981:Q4,141256,967,13034,0,3860,309,849,2702,4092,0,0,77350,0,41953,40010,1943,111482,64886,0,59772,32959,26813,0,0,5114,2876,2238,46596,46596,0
1982:Q1,144365,738,15462,0,2900,232,638,2030,3500,0,0,76546,0,45219,42954,2265,112333,67700,0,61365,34634,26731,0,0,6335,2869,3466,44633,44633,0
1982:Q2,147123,-902,19386,0,1904,152,419,1333,2928,0,0,74551,0,49256,47450,1806,109656,69944,0,65793,38016,27777,0,0,4151,1876,2275,39712,39712,0
1982:Q3,156290,1537,15563,0,2300,184,506,1610,3000,0,0,85147,0,48743,46853,1890,115485,73000,0,63112,33685,29427,0,0,9888,3173,6715,42485,42485,0
1982:Q4,165457,230,15493,0,2700,216,594,1890,3053,0,0,92177,0,51804,49378,2426,122068,74197,0,67268,34550,32718,0,0,6929,3158,3771,47871,47871,0
1983:Q1,166185,787,17413,0,2750,220,605,1925,2600,0,0,89364,0,53271,52638,633,128503,75000,0,69393,34981,34412,0,0,5607,2888,2719,53503,53503,0
1983:Q2,169111,1669,17826,0,2773,222,610,1941,2240,0,0,89181,0,55422,53539,1883,134561,77045,0,72141,35612,36529,0,0,4904,2936,1968,57516,57516,0
1983:Q3,183112,2634,18366,0,3600,288,792,2520,2450,0,0,97300,0,58762,55700,3062,141059,84000,0,76303,37158,39145,0,0,7697,3255,4442,57059,57059,0
1983:Q4,197420,3075,19324,0,4492,359,988,3145,2726,0,0,105697,0,62106,59232,2874,153136,89074,0,80212,38007,42205,0,0,8862,3852,5010,64062,64062,0
1984:Q1,198030,1537,21463,0,4100,328,902,2870,2300,0,0,101598,0,67032,62402,4630,148815,93000,0,77571,41384,36187,0,0,15429,3813,11616,55815,55815,0
1984:Q2,198453,-507,23836,0,3874,310,852,2712,1970,0,0,98868,0,70412,66956,3456,145372,96206,0,87546,45904,41642,0,0,8660,3646,5014,49166,49166,0
1984:Q3,213032,1252,20548,0,4600,368,1012,3220,2400,0,0,113583,0,70649,66417,4232,159731,101000,0,88778,43025,45753,0,0,12222,5247,6975,58731,58731,0
1984:Q4,227017,-741,20690,0,5345,428,1176,3741,2797,0,0,124687,0,74239,69964,4275,167898,105183,0,96289,44140,52149,0,0,8894,4632,4262,62715,62715,0
1985:Q1,231967,-2173,22223,0,5900,472,1298,4130,2800,0,0,125314,0,77903,73686,4217,179026,109000,0,99512,45638,53874,0,0,9488,5126,4362,70026,70026,0
1985:Q2,238162,-937,21080,0,6528,522,1436,4570,2915,0,0,128322,0,80254,76216,4038,195337,112373,0,102811,45596,57215,0,0,9562,4671,4891,82964,82964,0
1985:Q3,247971,2651,17499,0,8100,648,1782,5670,2500,0,0,136660,0,80561,76840,3721,192674,118000,0,108260,45557,62703,0,0,9740,3897,5843,74674,74674,0
1985:Q4,259463,151,20068,0,9710,777,2136,6797,2127,0,0,141268,0,86139,81976,4163,216621,123236,0,115158,46380,68778,0,0,8078,3506,4572,93385,93385,0
1986:Q1,263939,3742,15258,0,8800,704,1936,6160,2000,0,0,148975,0,85164,79026,6138,243405,129000,0,110538,38361,72177,0,0,18462,3923,14539,114405,114405,0
1986:Q2,287191,3229,16542,0,8037,643,1768,5626,2247,0,0,174895,0,82241,74310,7931,255925,139436,0,126260,45439,80821,0,0,13176,4026,9150,116489,116445,44
1986:Q3,296069,2037,18119,0,8376,670,1843,5863,2802,0,0,178937,0,85798,77872,7926,249084,144838,0,131499,45183,86316,0,0,13339,4043,9296,104246,104202,44
1986:Q4,305224,465,19993,0,7910,633,1740,5537,3825,0,0,184019,0,89012,82056,6956,272117,150809,0,136561,50782,85779,0,0,14248,4709,9539,121308,121272,36
1987:Q1,317997,-257,23060,0,8624,690,1897,6037,4430,0,0,188930,0,93210,85125,8085,294351,159566,0,144990,54679,90311,0,0,14576,4582,9994,134785,134750,35
1987:Q2,307470,2248,19519,0,9122,730,2007,6385,4535,0,0,177728,0,94318,86724,7594,294162,161959,0,147775,53864,93911,0,0,14184,4029,10155,132203,132168,35
1987:Q3,319236,953,23512,0,9124,730,2007,6387,4060,0,0,183380,0,98207,89273,8934,296996,168549,0,153608,56919,96689,0,0,14941,4776,10165,128447,128411,36
1987:Q4,316922,1100,17408,0,9347,748,2056,6543,4566,0,0,185232,0,99269,91108,8161,267797,166655,0,150601,52492,98109,0,0,16054,5589,10465,101142,101106,36
1988:Q1,318206,199,18851,0,8345,668,1836,5841,6294,0,0,184641,0,99876,91711,8165,278717,168289,0,152703,53236,99467,0,0,15586,5037,10549,110428,110392,36
1988:Q2,328222,-790,21296,0,8227,658,1810,5759,5951,0,0,192311,0,101227,93344,7883,296736,171541,0,152835,52547,100288,0,0,18706,7411,11295,125195,125158,37
1988:Q3,336519,-1269,23314,0,8446,676,1858,5912,5906,0,0,198400,0,101722,94047,7675,307423,174480,0,153750,54893,98857,45,0,20685,9393,11292,132943,132881,62
1988:Q4,338504,-1518,20387,0,9492,759,2088,6645,4339,0,0,202202,0,103602,95880,7722,301655,172003,0,150137,51877,98260,45,0,21821,10311,11510,129652,129590,62
1989:Q1,349656,-686,24960,0,9437,755,2076,6606,5779,0,0,207931,0,102235,94006,8229,320140,179350,0,158026,58391,99635,45,0,21279,9601,11678,140790,140728,62
1989:Q2,354331,194,21064,0,9337,747,2054,6536,5085,0,0,212436,0,106215,97711,8504,338864,178888,0,157584,57392,100192,45,0,21259,9225,12034,159976,159915,61
1989:Q3,355947,2250,18072,0,8950,716,1969,6265,7152,0,0,211833,0,107690,99490,8200,353403,181650,0,161207,59403,101804,45,0,20398,8638,11760,171753,171692,61
1989:Q4,358601,2566,16375,0,10714,857,2357,7500,5857,0,0,210830,0,112259,102620,9639,331233,181345,0,161047,60043,101004,45,0,20253,8092,12161,149888,149849,39
1990:Q1,360393,1688,16618,0,11553,924,2542,8087,6361,0,0,215565,0,108608,98884,9724,317549,179854,0,158940,59527,99413,45,0,20869,8478,12391,137695,137635,60
1990:Q2,354962,3009,15088,0,9459,757,2081,6621,6078,0,0,219308,0,102020,92224,9796,303993,169172,0,148213,51008,97205,45,0,20914,8369,12545,134821,134760,61
1990:Q3,351753,-7063,13921,334,8921,735,2032,6154,4706,0,0,220791,0,110143,100517,9626,257218,160441,156,135337,43795,91542,45,0,24903,13273,11630,96777,96713,64
1990:Q4,340244,-11557,16459,445,8389,562,1464,6363,5652,0,0,218294,0,102562,93282,9280,251462,148460,200,124843,35569,89274,45,0,23372,12681,10691,103002,102940,62
1991:Q1,339141,-10838,14631,683,8139,533,1606,6000,4748,0,0,221342,0,100436,91663,8773,274560,143312,47,119572,30171,89401,132,0,23561,13754,9807,131248,131185,63
1991:Q2,341334,-12133,16142,1710,8062,919,2048,5095,3677,0,0,223575,0,100301,90913,9388,288040,140486,44,116344,27353,88991,146,0,23952,14025,9927,147554,147490,64
1991:Q3,341090,-12167,15414,1872,8584,1561,1801,5222,3409,0,0,226335,0,97643,88709,8934,308275,137348,37,114275,25948,88327,139,0,22897,12991,9906,170927,170857,70
