1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q1,2836889,108180,279586,20427,140135,1397346,152339,458548,584387,14852,187220,405611,223691,181920,101050,51148,154549,111741,67116,6694054,3179451,60350,3119101,22923,678157,2813523
2011:Q2,2781007,113287,275103,20429,134751,1364278,145981,450551,570264,14724,182758,392947,226527,166420,97389,50157,157029,111909,63728,6701036,3145740,37883,3107857,26498,687737,2841061
2011:Q3,2746482,112743,280644,20293,132968,1339778,137745,446384,557786,15065,182798,379035,227205,151830,96258,49823,157101,111965,65874,7037590,3139636,48315,3091321,30626,697297,3170031
2011:Q4,2850560,125771,294210,21074,139417,1395169,134976,469927,579651,16360,194255,379947,227887,152060,101092,52586,157057,112021,72216,7026563,3159711,52574,3107137,28577,706877,3131398
2012:Q1,2836721,122903,313453,19688,136006,1367623,138408,460282,560381,16513,192039,379992,227212,152780,98781,51638,159271,113833,73533,6848048,3162354,52141,3110213,32310,716466,2936918
2012:Q2,2820982,121246,306930,18652,134541,1351680,128851,464164,549290,16884,192491,388560,226540,162020,97878,51419,158626,115646,75804,6972146,3178086,43610,3134476,32442,726011,3035607
2012:Q3,2905106,115903,319791,18399,140563,1406950,120849,495559,568574,18216,203752,384380,225870,158510,102428,54075,162689,117516,82412,6948200,3173670,56160,3117510,32407,735533,3006590
2012:Q4,2877417,122075,326956,18864,136133,1368574,113650,491323,545495,18203,199903,387791,225201,162590,99364,52715,162617,119386,82942,6933534,3171819,56607,3115212,16388,745090,3000237
2013:Q1,2951115,119575,332377,17986,141503,1426825,138542,496678,561625,19506,210474,381049,223239,157810,103454,55153,163568,120147,89478,7061400,3179781,54744,3125037,16787,754732,3110100
2013:Q2,2898000,116830,331121,17745,137145,1387933,129166,493599,539086,19475,206607,376175,221295,154880,100435,53805,166002,120909,89900,7280904,3161564,39640,3121924,16821,764407,3338112
2013:Q3,2879870,120187,338988,18136,136580,1382827,111313,511558,531621,19964,208371,343448,219368,124080,100189,53933,171174,121700,92708,7379127,3136574,46856,3089718,16974,774158,3451421
2013:Q4,2940014,128941,347405,18053,140363,1415165,91639,544646,540933,21105,216842,338058,217458,120600,103136,55788,172056,122492,98557,7501265,3123544,45460,3078084,61077,783940,3532704
2014:Q1,2961655,125916,355601,17011,141479,1433657,101203,549529,539756,21869,221300,325256,216716,108540,104131,56597,175142,124202,102663,7591537,3117968,43207,3074761,72151,793722,3607696
2014:Q2,2937066,125956,349294,16128,138679,1412669,106654,540705,523677,22022,219611,327837,215977,111860,102242,55837,178611,125912,103901,7543529,3115766,33804,3081962,61662,803642,3562459
2014:Q3,2871070,128429,355666,15930,132079,1353814,108531,518422,493593,21535,211733,320909,215239,105670,97540,53524,183387,127707,102085,7595916,3088151,37598,3050553,17965,813671,3676129
2014:Q4,2974025,145725,359003,16352,138359,1401993,101174,541530,511631,23149,224509,330995,214505,116490,102351,56431,183084,129501,110231,7662811,3098927,39068,3059859,18091,823743,3722050
2015:Q1,3041110,135177,370117,15744,143303,1452453,106173,562079,524262,24590,235349,330946,213016,117930,106188,58824,179887,130876,117595,7711749,3123241,38251,3084990,18214,833721,3736573
2015:Q2,2978508,139017,362570,15484,138817,1418592,121953,539145,502353,24418,230723,311308,211538,99770,103039,57350,182835,132250,117246,7794778,3131856,31207,3100649,18331,844036,3800555
2015:Q3,2913988,135875,364751,15603,134459,1383731,135570,516548,481233,24232,226148,288190,210070,78120,99975,55906,185111,133580,116807,8050804,3123831,31893,3091938,18269,854516,4054188
2015:Q4,2978321,137086,373158,16161,139524,1423164,138461,527719,493786,25751,237447,283762,208612,75150,103919,58384,183665,134911,124587,8074345,3116526,33129,3083397,18228,864946,4074645
2016:Q1,3023965,137982,376692,17636,140209,1445702,163981,523231,490582,26489,241419,292605,209805,82800,104608,59046,183422,137453,128610,8162676,3133556,32522,3101034,18085,875480,4135555
