1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,36856,8692,4036,0,155,17256,0,13775,793,2688,0,1529,1529,0,0,0,4112,575,501,126051,69924,3548,66376,1250,7266,47611
1960:Q4,37255,8466,4557,0,-176,17536,0,13739,1050,2747,0,1582,1582,0,0,0,4214,553,523,128562,70971,3457,67514,1240,7501,48850
1961:Q1,37459,7873,4883,0,79,17674,0,13581,1287,2806,0,1643,1643,0,0,0,4211,537,559,131503,72420,3820,68600,1290,7749,50044
1961:Q2,37969,7732,5266,0,0,17886,0,13946,1116,2824,0,1712,1712,0,0,0,4293,543,537,134064,73250,3483,69767,1403,7992,51419
1961:Q3,38680,7540,5242,0,556,18071,0,13790,1474,2807,0,1783,1783,0,0,0,4413,573,502,137492,75018,3875,71143,1441,8237,52796
1961:Q4,39654,8438,5465,0,-55,18285,0,14002,1520,2763,0,1849,1849,0,0,0,4521,643,508,140528,76349,3693,72656,1466,8496,54217
1962:Q1,40207,8262,6087,0,41,18222,0,13976,1534,2712,0,1914,1914,0,0,0,4529,637,515,141717,78037,3901,74136,1551,8754,53375
1962:Q2,41009,8483,6341,0,0,18516,0,14220,1617,2679,0,1979,1979,0,0,0,4587,642,461,142905,79203,3735,75468,1712,9012,52978
1962:Q3,41989,8143,6115,0,912,18931,0,14581,1708,2642,0,2042,2042,0,0,0,4766,660,420,143901,80552,3680,76872,1764,9276,52309
1962:Q4,43038,8530,6450,0,466,19597,0,15157,1867,2573,0,2100,2100,0,0,0,4844,670,381,145012,81800,3682,78118,1970,9543,51699
1963:Q1,43992,8408,7309,0,-1,20170,0,16107,1570,2493,0,2154,2154,0,0,0,4879,668,405,147632,82976,3508,79468,2031,9820,52805
1963:Q2,44716,8576,7466,0,0,20457,0,16398,1625,2434,0,2202,2202,0,0,0,4950,685,380,150568,84724,3946,80778,2052,10099,53693
1963:Q3,45649,7950,7458,0,1004,20802,0,16966,1450,2386,0,2249,2249,0,0,0,5100,709,377,153178,85899,4005,81894,2154,10389,54736
1963:Q4,46545,9466,8093,0,-745,21050,0,16314,2402,2334,0,2297,2297,0,0,0,5308,748,328,155724,87040,4128,82912,2203,10685,55796
1964:Q1,46987,9816,8361,0,-943,21067,0,16504,2282,2281,0,2353,2353,0,0,0,5241,806,286,158205,88177,4162,84015,2199,10986,56843
1964:Q2,47829,8979,8680,0,0,21265,0,16446,2576,2243,0,2413,2413,0,0,0,5350,863,279,161429,89948,4695,85253,2274,11298,57909
1964:Q3,49107,8962,8887,0,344,21766,0,16793,2748,2225,0,2471,2471,0,0,0,5554,830,293,164945,91760,5092,86668,2372,11614,59199
1964:Q4,50735,10728,9812,0,-1758,22488,0,17333,2932,2223,0,2524,2524,0,0,0,5840,792,309,168180,93160,4889,88271,2464,11933,60623
1965:Q1,51744,9817,10450,0,-848,22816,0,17597,2998,2221,0,2574,2574,0,0,0,5903,762,270,171401,94661,4689,89972,2523,12258,61959
1965:Q2,53196,9525,10573,0,0,23272,0,17987,3078,2207,0,2622,2622,0,0,0,6070,852,282,175663,96858,5309,91549,2655,12596,63554
1965:Q3,54944,9243,11049,0,539,23988,0,18760,3039,2189,0,2667,2667,0,0,0,6291,848,319,179668,98905,5712,93193,2719,12951,65093
1965:Q4,56912,10151,12186,0,-708,24791,0,19524,3100,2167,0,2713,2713,0,0,0,6603,869,307,183182,100397,5507,94890,2777,13314,66694
1966:Q1,58119,10473,12244,0,-265,25074,0,19835,3098,2141,0,2758,2758,0,0,0,6616,910,309,186857,101842,5275,96567,2823,13684,68508
1966:Q2,59451,10625,12634,0,0,25328,0,20346,2863,2119,0,2805,2805,0,0,0,6750,935,374,191701,104141,6051,98090,2910,14062,70588
1966:Q3,60104,9614,12761,0,1708,24967,0,20248,2607,2112,0,2848,2848,0,0,0,6975,854,377,195694,105524,6236,99288,3207,14447,72516
1966:Q4,60999,10691,13462,0,805,24583,0,20097,2361,2125,0,2888,2888,0,0,0,7244,874,452,199275,106633,6168,100465,3404,14849,74389
1967:Q1,61512,10771,15000,0,20,24322,0,20115,2074,2133,0,2922,2922,0,0,0,7112,908,457,202615,107874,6067,101807,3414,15266,76061
1967:Q2,62406,10821,15668,0,0,24265,0,20003,2126,2136,0,2948,2948,0,0,0,7256,950,498,207267,110195,7010,103185,3464,15685,77923
1967:Q3,63348,10659,15458,0,959,24466,0,20033,2306,2127,0,2975,2975,0,0,0,7459,904,468,211623,112319,7826,104493,3570,16104,79630
1967:Q4,64469,11427,15892,0,256,24618,0,19742,2751,2125,0,3003,3003,0,0,0,7822,999,452,215192,113793,8000,105793,3579,16536,81284
1968:Q1,65613,10738,16380,0,869,25247,0,19320,3842,2085,0,3044,3044,0,0,0,7742,1122,471,221497,115278,8074,107204,3636,16983,85600
1968:Q2,66979,11587,16522,0,200,25925,0,19303,4478,2144,0,3090,3090,0,0,0,8025,1166,464,227408,117323,8427,108896,3835,17448,88802
1968:Q3,68625,9722,17432,0,1369,27059,0,19514,5396,2149,0,3141,3141,0,0,0,8388,1114,400,233480,119319,8102,111217,3878,17922,92361
1968:Q4,70372,10766,19110,0,-1273,28254,0,19926,6157,2171,0,3195,3195,0,0,0,8769,1184,367,240243,122132,8143,113989,3993,18407,95711
1969:Q1,72144,10527,18276,0,-160,29833,0,20432,7206,2195,0,3243,3243,0,0,0,8842,1259,324,248847,125803,9006,116797,4130,18903,100011
1969:Q2,73634,10747,16690,0,1300,30816,0,20956,7608,2252,0,3302,3302,0,0,0,9173,1304,302,257089,129343,10082,119261,4205,19411,104130
1969:Q3,74816,10300,13572,0,4858,31613,0,21751,7607,2255,0,3432,3432,0,0,0,9543,1209,289,264272,132054,10721,121333,4271,19922,108025
1969:Q4,76326,12645,13220,0,2599,32751,0,23007,7508,2236,0,3652,3652,0,0,0,10008,1194,257,270768,133518,10909,122609,4739,20431,112080
1970:Q1,77270,11529,14934,0,2010,33226,0,23963,7055,2208,0,4078,4078,0,0,0,9991,1246,256,276850,135658,11218,124440,4698,20953,115541
1970:Q2,78499,12140,17148,0,0,33293,0,24366,6633,2294,0,4187,4187,0,0,0,10184,1289,258,285303,138998,12155,126843,4572,21484,120249
1970:Q3,79454,9980,19896,0,1073,32322,0,23868,6158,2296,0,4353,4353,0,0,0,10351,1250,229,290418,141582,12261,129321,4766,22045,122025
1970:Q4,80662,11678,23225,0,-1416,30500,0,22940,5176,2384,0,4569,4569,0,0,0,10630,1259,217,297321,145501,13252,132249,4816,22618,124386
1971:Q1,81789,11873,26179,0,-1819,28406,0,22010,4033,2363,0,4875,4875,0,0,0,10701,1368,206,308217,149746,14386,135360,4909,23200,130362
1971:Q2,83967,12293,26221,0,0,27522,0,21890,3301,2331,0,5031,5031,0,0,0,10839,1806,255,320243,153966,15210,138756,4841,23796,137640
1971:Q3,86621,11630,26926,0,1901,27283,0,21848,3150,2285,0,5358,5358,0,0,0,11062,2136,325,332128,157875,15820,142055,5090,24395,144768
1971:Q4,89926,12662,30384,0,-863,27723,0,22587,3004,2132,0,5648,5648,0,0,0,11559,2505,308,343246,161566,15735,145831,5181,25012,151487
1972:Q1,93311,12115,31820,0,-63,28518,0,23279,3235,2004,0,5983,5983,0,0,0,11582,3023,333,355623,165681,16206,149475,5448,25638,158856
1972:Q2,97178,12586,33110,0,0,29505,0,23584,4197,1724,0,6386,6386,0,0,0,11785,3471,335,367772,169065,15722,153343,5145,26259,167303
1972:Q3,101621,11915,33400,0,2314,30972,0,24150,4885,1937,0,6673,6673,0,0,0,12291,3766,290,380008,172476,15926,156550,5271,26891,175370
1972:Q4,107231,13430,37161,0,-952,33054,0,24896,6325,1833,0,7035,7035,0,0,0,13013,4284,206,390332,175184,15787,159397,5526,27547,182075
1973:Q1,112422,11867,40149,0,-346,35173,0,25424,7691,2058,0,7313,7313,0,0,0,13297,4761,208,395051,179246,16164,163082,4797,28217,182791
1973:Q2,118087,12927,40734,0,0,37351,0,25889,9409,2053,0,7556,7556,0,0,0,14058,5246,215,399394,182295,15879,166416,4555,28895,183649
1973:Q3,123513,11315,42737,0,1706,39309,0,26152,11195,1962,0,8002,8002,0,0,0,14726,5483,235,401481,185754,16180,169574,4971,29591,181165
1973:Q4,129845,13217,44385,0,497,41085,0,26065,12958,2062,0,8735,8735,0,0,0,15840,5908,178,408500,189863,16102,173761,4916,30318,183403
1974:Q1,134768,11471,45961,0,2748,42739,0,26102,14593,2044,0,9188,9188,0,0,0,16116,6427,118,419272,193783,16055,177728,4974,31089,189426
1974:Q2,139339,13790,47711,0,0,44091,0,25809,15834,2448,0,9652,9652,0,0,0,16846,7105,144,431934,197783,16663,181120,4781,31913,197457
1974:Q3,142527,11289,47471,0,3331,45205,0,26258,16412,2535,0,10095,10095,0,0,0,17457,7503,176,447749,201380,18296,183084,5173,32766,208430
1974:Q4,139834,13150,50087,0,-1259,45153,0,26523,16044,2586,0,11205,11205,0,0,0,13802,7572,124,455254,202621,18811,183810,5592,33640,213401
1975:Q1,140690,11930,48665,0,953,45880,0,26991,16327,2562,0,11754,11754,0,0,0,13581,7818,109,461070,204056,19042,185014,5688,34575,216751
1975:Q2,142452,12963,48219,0,0,46812,0,26734,17610,2468,0,12202,12202,0,0,0,13772,8390,94,467789,206992,19786,187206,5678,35497,219622
1975:Q3,145474,11473,47218,0,1946,48888,0,27183,18506,3199,0,12500,12500,0,0,0,14447,8910,92,480461,208694,18071,190623,5793,36449,229525
1975:Q4,147823,13626,48113,0,-2080,50958,0,27783,18206,4969,0,12812,12812,0,0,0,15191,9151,52,491209,213578,18552,195026,5781,37443,234407
1976:Q1,152566,10936,49446,0,-1515,55130,0,30610,18389,6131,0,13752,12752,1000,0,0,15055,9751,11,491987,216975,17019,199956,7040,38467,229505
1976:Q2,156988,12336,46544,0,0,56806,0,31077,18729,7000,0,15221,13221,2000,0,0,15648,10319,114,497354,225736,18777,206959,5733,39465,226420
1976:Q3,162583,11514,47536,0,572,59629,0,32536,19745,7348,0,16607,13607,3000,0,0,16158,10402,165,500999,228642,17801,210841,6970,40452,224935
1976:Q4,170659,12666,50212,0,-1875,63481,0,35781,20359,7341,0,18522,14062,4460,0,0,16917,10595,141,503376,230013,14485,215528,7817,41437,224109
1977:Q1,180143,11196,52900,0,-1354,67836,0,36802,23950,7084,0,21041,14217,6824,0,0,17252,11127,145,514069,230963,11159,219804,8159,42458,232489
1977:Q2,189926,12684,51872,0,0,72365,0,40594,24830,6941,0,23181,13996,9185,0,0,17845,11903,76,526073,240472,13385,227087,6118,43509,235974
1977:Q3,200873,11626,54242,0,715,78094,0,44335,26402,7357,0,25828,14283,11545,0,0,18278,12084,6,538517,244799,13033,231766,7334,44563,241821
1977:Q4,211065,13740,57182,0,-1970,82078,0,47453,26705,7920,0,28527,14617,13910,0,0,19261,12260,-13,547592,248143,11570,236573,8022,45629,245798
1978:Q1,224062,11463,61336,0,-1382,89239,0,52265,28415,8559,0,31683,15174,16509,0,0,19667,12072,-16,563423,255832,9887,245945,8307,46700,252584
1978:Q2,237841,12958,60774,0,0,95875,0,54489,33040,8346,0,34870,15758,19112,0,0,20539,12792,33,577164,268370,11430,256940,6464,47870,254460
1978:Q3,249959,11900,63600,0,479,101700,0,58951,34581,8168,0,38002,16288,21714,0,0,21163,13007,108,590938,278386,11898,266488,6461,49080,257011
1978:Q4,265089,13812,65266,0,2158,106093,0,59360,39495,7238,0,41436,17116,24320,0,0,22572,13621,131,609426,289135,12154,276981,6466,50326,263499
1979:Q1,278205,11426,68221,0,3783,114572,0,65120,42995,6457,0,42606,18216,24390,0,0,23021,14385,191,623475,295363,10970,284393,6481,51548,270083
1979:Q2,286762,12545,64937,0,8000,117753,0,64868,46504,6381,0,44038,19575,24463,0,0,24027,15233,229,638761,302887,11801,291086,6648,52845,276381
1979:Q3,296735,11701,65287,0,10528,122199,0,65551,50211,6437,0,45804,21269,24535,0,0,25158,15786,272,655229,310578,13424,297154,6551,54203,283897
1979:Q4,307932,13611,64251,0,11781,126995,0,60850,59357,6788,0,48185,23575,24610,0,0,26463,16458,188,671363,315554,13131,302423,6662,55615,293532
1980:Q1,313213,11297,66165,0,14013,126886,0,58119,61731,7036,0,49511,25601,23910,0,0,26878,18254,209,678675,319378,11846,307532,6714,57082,295501
1980:Q2,316519,12643,62481,0,17500,126537,0,58847,60336,7354,0,51743,28113,23630,0,0,26900,18561,154,680572,325729,13147,312582,6779,58546,289518
1980:Q3,325712,11602,61154,0,20253,131233,0,64357,59467,7409,0,54503,30873,23630,0,0,27613,19226,128,687377,332297,14621,317676,7138,60010,287932
1980:Q4,334802,13041,62510,0,16997,136201,0,69472,59721,7008,0,57207,33357,23850,0,0,29217,19507,122,693671,336848,14868,321980,7586,61506,287731
1981:Q1,342905,10357,64463,0,17135,141599,0,74161,60564,6874,0,59044,35554,23490,0,0,30482,19604,221,711633,341667,15122,326545,7813,63091,299062
1981:Q2,350433,11522,61615,0,16301,149675,0,80335,62628,6712,0,61003,37793,23210,0,0,31017,19030,270,728219,346762,15562,331200,8570,64649,308238
1981:Q3,359377,10155,62279,0,17315,156897,0,83719,66253,6925,0,62757,39547,23210,0,0,31069,18573,332,753893,356158,17057,339101,8469,66215,323051
1981:Q4,365026,11588,64878,0,13661,161559,0,85335,69085,7139,0,64019,41039,22980,0,0,31551,17565,205,769344,363230,16006,347224,8824,67828,329462
1982:Q1,372105,9498,69492,0,11896,166886,0,93525,65763,7598,0,65333,42173,23160,0,0,31190,17622,188,791541,371040,15228,355812,9068,69447,341986
1982:Q2,382997,10768,68118,0,13450,173971,0,102120,64250,7601,0,66574,43194,23380,0,0,31687,18257,172,816022,383029,19038,363991,9606,71099,352288
1982:Q3,390513,9514,70277,0,14701,176738,0,99211,69922,7605,0,68182,44602,23580,0,0,32091,18765,245,832060,393578,22112,371466,9653,72783,356046
1982:Q4,399659,10390,70885,0,16086,178155,0,100592,70180,7383,0,71958,46278,25680,0,0,32899,19090,196,846991,403983,22737,381246,9791,74509,358708
1983:Q1,409046,8626,71915,0,18517,183298,0,105040,70582,7551,125,75025,47885,27140,0,0,32231,19289,145,855226,411681,19704,391977,10033,76249,357263
1983:Q2,424834,10543,68292,0,23422,185704,0,107143,71057,7254,250,82865,49755,33110,0,0,32688,20891,429,867506,428044,21554,406490,10350,77999,351113
1983:Q3,433923,8395,66910,0,30795,186097,0,107744,70347,7506,500,86747,51647,35100,0,0,32866,21583,530,889190,439293,21548,417745,10703,79804,359390
1983:Q4,449132,10129,67418,0,32665,191502,0,112493,70054,7955,1000,90894,54164,36730,0,0,34398,21832,294,908278,450209,21256,428953,10900,81623,365546
1984:Q1,464993,12166,66193,0,36581,197334,0,115460,71639,8454,1781,94630,56580,38050,0,0,35090,22556,443,927162,460827,18502,442325,10713,83503,372119
1984:Q2,484102,14730,66176,0,40000,202966,0,119641,71707,8743,2875,99303,59363,39940,0,0,36415,23192,1320,948432,477008,18960,458048,11000,85435,374989
1984:Q3,504056,12672,69751,0,48267,208674,0,120545,75416,8682,4031,103152,61772,41380,0,0,36765,22609,2166,962673,493057,18439,474618,11941,87428,370247
1984:Q4,520690,15759,70822,0,53122,210191,0,121603,74572,9016,5000,108789,64399,44390,0,0,37508,22801,1698,978639,494993,17600,477393,18641,89461,375544
1985:Q1,553868,13326,76954,0,58548,227909,0,128528,84887,8650,5844,114155,66455,47700,0,0,37683,24016,1277,1008124,516139,14750,501389,21106,91551,379328
1985:Q2,587525,16995,75177,0,67216,240408,0,136664,88968,8151,6625,122471,68591,53880,0,0,38424,25142,1692,1039232,539249,14983,524266,24367,93724,381892
1985:Q3,608978,15356,76708,0,73614,241529,0,134169,90871,9145,7344,133971,71191,62780,0,0,38725,26228,2847,1080984,563703,19920,543783,25535,95945,395801
1985:Q4,701855,17182,79215,0,74128,293848,0,171160,105083,9605,8000,161717,74207,87510,0,0,41283,26793,7689,1158947,651111,20528,630583,26820,98210,382806
1986:Q1,708774,14939,81490,0,74379,296120,0,174755,102965,9822,8578,167269,78819,88450,0,0,39252,27379,7946,1158022,653141,19139,634002,26942,100548,377391
1986:Q2,741760,20299,79609,0,75637,309292,0,194475,95669,10086,9062,179916,81696,98220,0,0,39528,28303,9176,1190035,684072,23362,660710,27050,102911,376002
1986:Q3,754120,16969,78209,0,81473,312309,0,190209,102273,10312,9515,186112,83742,102370,86,0,40386,28586,9990,1223509,700113,20400,679713,26999,105315,391082
1986:Q4,784625,20364,78130,0,78977,329305,0,205227,103663,10415,10000,196505,86005,110500,219,0,42216,29527,9382,1241389,724873,20402,704471,27257,107724,381535
1987:Q1,808714,16421,80922,0,81673,340066,0,226292,92814,10444,10516,207926,89436,118490,367,0,42807,29287,9245,1242125,753356,18678,734678,27066,110188,351515
1987:Q2,824671,19951,79244,0,85191,338956,0,223205,94242,10446,11063,217699,92299,125400,500,0,43037,30438,9655,1257536,770823,12717,758106,25175,112681,348857
1987:Q3,840310,17902,77980,0,90656,345853,86,223789,100018,10381,11579,222303,93273,129030,609,0,43964,30505,10538,1281857,795600,16238,779362,25348,115227,345682
1987:Q4,866439,21392,80555,0,90908,349606,219,218286,108896,10205,12000,234037,94697,139340,687,0,45983,30010,13261,1354720,817678,19574,798104,24898,117813,394331
1988:Q1,871695,23833,84063,0,88141,352401,367,224149,105533,10039,12313,238916,96036,142880,796,0,46643,30384,6518,1361386,826823,18145,808678,24190,120427,389946
1988:Q2,881665,28324,79685,0,92201,350388,500,216499,110888,10000,12501,243654,96714,146940,1000,0,47514,31672,7227,1375613,838042,16253,821789,23300,123119,391152
1988:Q3,890316,26963,81069,0,92776,356248,609,208255,124609,10086,12689,244568,96968,147600,1297,55,47804,32707,6829,1400741,861662,19952,841710,15000,125840,398239
1988:Q4,911873,29292,80481,0,89894,368434,687,212746,131713,10288,13000,250157,98647,151510,1688,94,50757,33652,7424,1424294,883989,21536,862453,9000,128620,402685
1989:Q1,925744,24279,83400,0,97872,369769,796,201494,143527,10514,13438,254644,100224,154420,2110,211,51488,34896,7075,1458563,892568,20333,872235,9376,131467,425152
1989:Q2,946806,26850,81193,0,100237,381200,1000,202594,152932,10673,14001,258086,102096,155990,2500,500,52449,36140,7651,1476279,899977,18847,881130,9403,134396,432503
1989:Q3,962505,25683,79602,0,103620,389423,1266,201227,161595,10771,14564,261963,103383,158580,2875,945,52866,36949,8579,1515724,917344,24085,893259,8801,137363,452216
1989:Q4,983110,28408,79645,0,106040,395825,1563,205817,162629,10816,15000,268231,104961,163270,3250,1531,54242,37147,8791,1567407,931593,24843,906750,8770,140418,486626
1990:Q1,1005547,25562,79991,0,106401,417731,1954,237602,151991,10871,15313,269699,106189,163510,3625,2226,53795,37366,9151,1614876,949669,23433,926236,9020,143577,512610
1990:Q2,1017161,27913,77093,0,109562,421680,2500,240719,151960,11000,15501,271703,107423,164280,4000,3000,54533,37376,10301,1635991,960810,21854,938956,9170,146740,519271
1990:Q3,1020825,27071,75882,0,109957,427904,3180,246011,151795,11229,15689,269849,108599,161250,4375,3867,55975,37077,8868,1711561,970791,27903,942888,9570,149965,581235
1990:Q4,1032507,28934,75246,0,111771,432320,3969,249735,151033,11583,16000,271035,110215,160820,4750,4844,56691,36617,10299,1724475,977772,27788,949984,9648,153326,583729
1991:Q1,1041441,26123,77435,0,109672,442361,4899,256239,152905,11896,16422,270955,111575,159380,5125,5899,55161,37606,11104,1722866,991423,28012,963411,9580,156685,565178
1991:Q2,1053691,30146,72890,0,114641,444566,6000,255815,153813,12000,16938,273133,112113,161020,5500,7000,56201,38241,11373,1771496,1009504,27857,981647,9403,160065,592524
1991:Q3,1073505,30325,70566,0,115611,466358,7336,272115,157515,11907,17485,271075,112955,158120,5875,8156,57271,38327,9941,1809697,1037959,34805,1003154,9801,163507,598430
1991:Q4,1095570,34239,65295,0,118442,477119,8969,275798,162725,11627,18000,273463,113723,159740,6250,9375,59091,38374,13922,1846714,1068584,34659,1033925,10011,167005,601114
1992:Q1,1100930,32176,66261,0,115788,490736,10617,302227,148155,11284,18453,271504,113714,157790,6625,10656,58386,38665,10133,1914855,1070532,29685,1040847,10050,170576,663697
1992:Q2,1104857,34152,60538,0,122350,482642,12000,273703,166627,11000,19312,275755,113895,161860,7000,12000,59795,38945,11680,1982074,1080174,26923,1053251,10000,174157,717743
1992:Q3,1107312,35542,61117,0,122183,488319,13156,271740,172507,10751,20165,271327,113757,157570,7375,13406,60597,38756,8690,2035864,1093769,38379,1055390,9950,177744,754401
1992:Q4,1104493,38125,57261,0,123050,485074,14125,264645,174902,10502,20900,267209,113679,153530,7750,14875,62201,38307,10641,2056391,1085225,33586,1051639,9870,181351,779945
1993:Q1,1107717,36491,60865,26,125870,491472,15036,282428,161627,10257,22124,265348,113718,151630,8128,16412,61958,37873,3274,2074736,1102882,34103,1068779,9750,185014,777090
1993:Q2,1114912,39106,56964,53,124256,504773,16011,288608,166518,10007,23629,263533,110713,152820,8506,18013,62638,36800,270,2116978,1128561,33848,1094713,9613,188762,790042
1993:Q3,1115955,39192,57556,105,126012,504250,16989,271637,180726,9759,25139,259051,109601,149450,8891,19676,63516,35703,2003,2131499,1143629,37630,1105999,9438,192537,785895
1993:Q4,1123997,40180,55020,158,134021,500578,17901,271252,175367,9503,26555,257958,108508,149450,9286,21391,65802,35595,4008,2144981,1143882,35378,1108504,9158,196360,795581
1994:Q1,1119623,40120,58031,211,128778,498355,18882,273693,168599,9254,27927,253607,108107,145500,9673,23185,65516,36130,6017,2189632,1140838,37493,1103345,9154,200227,839413
1994:Q2,1122922,41198,55235,316,126308,501508,20082,269710,173359,9037,29320,251690,108310,143380,10041,25103,67321,36169,8033,2208733,1128085,30781,1097304,9240,204171,867237
1994:Q3,1124221,38874,56556,421,118998,508284,21575,262184,184965,8844,30716,247131,109741,137390,10376,27255,68439,36162,11725,2204718,1115642,34360,1081282,9683,208240,871153
1994:Q4,1127032,42086,57802,527,119449,490108,22440,239010,187873,8667,32118,243881,111261,132620,10670,29298,71244,36863,25104,2203116,1097943,33200,1064743,9554,212372,883247
1995:Q1,1126091,39275,62781,597,110624,503305,24204,229311,207483,8507,33800,235557,112647,122910,11005,31595,71266,37938,22148,2170268,1083130,36797,1046333,9663,216586,860889
1995:Q2,1127696,41930,60595,792,102132,467743,26447,194472,202344,8385,36095,235209,114059,121150,11544,33791,72562,37740,63658,2144491,1074431,32680,1041751,9626,220898,839536
1995:Q3,1131076,40797,62701,835,106893,447230,35286,192952,174033,7269,37690,227608,114238,113370,20246,34751,74635,37389,77991,2102660,1048582,32618,1015964,10215,225223,818640
1995:Q4,1130161,42911,66423,960,117106,425455,39850,187608,153361,5178,39458,219667,115207,104460,26739,35430,77310,37742,80418,2088925,1037040,34430,1002610,9692,229594,812599
1996:Q1,1131673,38790,71561,1011,137338,431736,42308,189523,152530,4109,43266,212257,115777,96480,31055,36221,77378,38771,55555,2076174,1032290,35865,996425,9825,233999,800060
1996:Q2,1142387,40174,71282,1004,145625,441461,51074,187769,151312,4854,46452,214143,116313,97830,36950,39602,79590,39200,33356,2072889,1033512,34210,999302,10384,238499,790494
1996:Q3,1149651,38334,73074,1020,146019,418026,54801,170209,139557,4618,48841,213074,117404,95670,41521,41007,79785,39507,58284,2065119,1014241,37548,976693,10637,243089,797152
1996:Q4,1172055,40623,74851,1083,149780,391088,60479,157802,117763,4701,50343,220468,119198,101270,47524,41582,82902,40079,82075,2044811,1021340,40682,980658,4849,247833,770789
1997:Q1,1194434,38042,78079,1180,153854,374613,66304,145402,110470,4493,47944,224746,119976,104770,50261,41125,82877,41527,108130,2070527,1024126,41691,982435,10240,252601,783560
1997:Q2,1231433,40620,76792,1234,151586,383790,68020,137364,123331,4605,50470,229010,121090,107920,61006,39384,84326,42368,121317,1985051,1036877,39296,997581,10016,257418,680740
1997:Q3,1260945,40639,79708,1328,154942,364261,72317,125217,111907,4061,50759,233980,122120,111860,71464,36428,86328,43017,148850,1930812,1045093,44566,1000527,10537,262316,612866
1997:Q4,1294324,42856,80781,1407,153772,365272,75173,117064,117265,3962,51808,247310,123230,124080,79669,34169,89245,44323,155520,1970671,1066957,48996,1017961,9989,267315,626410
1998:Q1,1353060,39288,86409,1484,162568,350024,80541,100589,111995,3556,53343,263440,124300,139140,88981,30989,90449,46147,193281,1899777,1086783,49897,1036886,9974,272354,530666
1998:Q2,1397252,41910,87441,1704,156771,379999,79250,105362,134884,3054,57449,280539,125569,154970,95633,33513,90879,45400,183463,1947019,1110880,44448,1066432,10082,277533,548524
1998:Q3,1421183,39920,89550,1861,155039,397601,82315,109507,143243,3099,59437,289930,125500,164430,85995,26934,91882,47872,194599,2142727,1114893,40797,1074096,10346,282851,734637
1998:Q4,1486504,43613,95158,4201,162225,440097,90519,120421,160714,3331,65112,298113,132823,165290,102777,35602,96255,49299,159164,2006521,1133636,42728,1090908,10117,288235,574533
1999:Q1,1518160,40336,98681,4298,161710,463948,94835,126163,171568,3412,67970,301428,133978,167450,102772,35430,98344,50299,160914,2024924,1152668,43649,1109019,10117,293743,568396
1999:Q2,1547306,41901,101005,4374,160267,486179,98797,131435,181906,3476,70565,307020,134430,172590,102189,35053,99936,55900,153482,1984467,1165057,41503,1123554,10199,299368,509843
1999:Q3,1566116,41929,104407,4449,158646,508812,102821,136789,192466,3541,73195,302884,134794,168090,101505,34634,101526,56324,151000,2117675,1166567,42974,1123593,10163,305130,635815
1999:Q4,1611949,46776,108848,4605,159689,541478,108844,144801,206927,3671,77235,303243,137513,165730,102545,34794,104942,59217,145812,1965971,1172521,45291,1127230,8488,311080,473882
2000:Q1,1637378,43631,112825,4688,157927,566193,113239,150648,218456,3742,80108,299784,137914,161870,101804,34339,106684,65582,143921,1954713,1175824,46952,1128872,8525,317205,453159
2000:Q2,1651576,44820,115502,4732,154763,586740,116785,155366,228434,3782,82373,297493,137143,160350,100168,33577,107549,68258,137974,2048422,1182717,45705,1137012,8584,323357,533764
2000:Q3,1668926,43020,120409,4811,152566,611809,121216,161263,240222,3850,85258,290576,137286,153290,99171,33023,109189,65802,138550,2062945,1176656,43774,1132882,8818,329611,547860
2000:Q4,1672758,47635,119372,4847,148993,632197,124707,165908,250221,3886,87475,287272,136242,151030,97289,32168,109867,69796,123322,2251281,1189025,46648,1142377,8867,336029,717360
2001:Q1,1691053,43639,121822,4903,145825,654984,128662,171169,261207,3934,90012,288499,135609,152890,95681,31401,110969,69187,124143,2495810,1216228,52839,1163389,8941,342638,928003
2001:Q2,1735246,47439,126442,5026,144502,687419,134493,178926,276109,4038,93853,290098,136778,153320,95300,31027,113602,68248,126143,2489325,1250414,55118,1195296,8971,349450,880490
2001:Q3,1728165,46638,127472,5026,139540,703505,137111,182410,284492,4044,95448,280922,134562,146360,92532,29869,113441,70464,118756,2751173,1256372,65514,1190858,8892,356129,1129780
2001:Q4,1762785,53127,131593,5140,137673,736144,142944,190171,299612,4142,99275,281641,135391,146250,91828,29372,115862,72817,107588,2714048,1294383,70496,1223887,8967,362983,1047715
2002:Q1,1766498,52381,134480,5167,133307,756632,146403,194773,309839,4169,101448,274886,133836,141050,89472,28339,116322,73446,102066,2745796,1316154,71605,1244549,9237,369964,1050441
2002:Q2,1772406,54974,136250,5191,128819,776900,149815,199312,319994,4195,103584,274942,132192,142750,87041,27279,116701,73040,91269,3000207,1366203,76729,1289474,9322,376991,1247691
2002:Q3,1773219,54539,137079,5189,123652,793277,152474,202850,328555,4199,105199,274151,129861,144290,84153,26075,116507,72701,85896,3178775,1389412,85135,1304277,9495,384078,1395790
2002:Q4,1814873,59768,140357,5282,120653,824449,157968,210159,343275,4280,108767,283262,129862,153400,82753,25325,118433,74346,80245,3283938,1438302,95717,1342585,9598,391241,1444797
