1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2215,1704,979,979,725,34708,2327,779,29,43,0,108,5234,471,-468,-62,1619,3674,15027,5076,1450,7831,670,22,632,127,0,0,0,110,10270,33983,33762,2085,7678,4951,37,0,-6,1071,447,238,386,-255,-278,23,41,266,2555,13803,10,230,1296,221,200,21,511
1952:Q1,612,202,231,231,-28,5341,-111,-341,369,81,0,344,103,245,-1651,-122,474,1157,949,-338,-263,1519,31,0,353,24,0,0,0,26,3544,5369,5294,71,-1920,1761,84,0,224,1,222,-112,-109,-629,-162,-467,0,144,653,3992,10,241,662,75,48,27,410
1952:Q2,645,680,234,234,446,9635,-1123,58,16,63,0,-55,2127,-163,591,-128,453,1374,5219,975,658,2046,1540,0,423,25,0,0,0,25,2857,9189,9158,-1173,1546,2349,62,0,-197,323,142,99,82,1046,1035,11,1,128,688,3920,0,-83,548,31,9,22,-35
1952:Q3,679,789,213,213,576,12109,1616,124,17,-28,0,505,3043,210,881,378,346,1228,3554,-99,614,2120,919,1,609,20,0,0,0,24,2624,11533,11400,2083,2004,1506,-27,0,385,232,167,93,-28,-471,-515,44,2,125,731,3900,40,165,725,133,118,15,-110
1952:Q4,707,867,231,231,636,13399,-536,333,17,41,0,-219,4662,5,2810,227,378,1242,6224,2292,561,1939,1432,1,193,31,0,0,0,23,2629,12763,12815,-1057,4852,2576,40,0,-378,-128,-175,-23,70,1502,1316,186,0,108,773,3935,10,16,566,-52,-80,28,-160
1953:Q1,689,614,287,287,327,4483,602,-332,17,47,0,402,-1495,180,-3593,-45,591,1372,2304,-682,136,1579,1271,0,604,40,0,0,0,19,2275,4156,3956,603,-4414,1980,49,0,577,444,155,-104,393,-856,-626,-230,2,137,766,4022,10,-158,794,200,164,36,76
1953:Q2,685,760,290,290,469,5721,-1445,26,19,38,0,-462,-160,-173,-895,-436,192,1152,4651,180,745,2431,1295,1,601,32,0,0,0,16,2404,5252,5057,-1372,-1938,2847,36,0,-579,445,-119,15,549,294,285,9,2,83,742,4167,10,-114,434,195,165,30,-75
1953:Q3,716,686,299,299,387,13981,78,181,18,-24,0,187,6546,257,4489,208,470,1122,3704,486,190,2258,770,1,548,22,0,0,0,13,2707,13594,13430,479,3616,1635,-24,0,189,684,278,119,287,448,341,107,2,77,713,4175,10,241,1185,164,143,21,30
1953:Q4,729,918,296,296,622,11649,943,83,19,64,0,-199,5566,13,1779,1835,812,1127,1678,-886,108,2086,370,1,191,25,0,0,0,10,3268,11027,11035,254,2445,2767,77,0,-196,113,-7,-26,146,420,224,196,-6,86,687,4226,0,500,-338,-8,-39,31,-189
1954:Q1,709,646,298,298,349,867,-1235,-78,22,188,0,-93,-838,266,-3700,396,942,1258,93,-940,-94,1800,-673,0,164,55,0,0,0,11,2578,518,603,-1618,-4937,2677,181,0,37,40,232,-227,35,-1056,-812,-244,3,100,705,4019,10,-237,679,-85,-128,43,63
1954:Q2,735,1169,296,296,873,12266,-181,87,22,80,0,-214,4618,-153,3543,-823,1042,1009,4455,346,622,2707,780,1,382,35,0,0,0,13,2968,11393,11519,65,2176,3337,80,0,-49,30,-99,97,32,949,857,92,1,53,738,4071,0,-367,435,-126,-135,9,-434
1954:Q3,739,1152,302,302,850,10164,-499,200,16,-46,0,40,3342,133,2633,-1374,840,1110,3867,371,197,2941,358,0,312,28,0,0,0,15,2889,9314,9471,-226,1514,2048,-46,0,303,-85,-24,133,-194,193,93,100,4,114,769,3924,10,281,668,-157,-177,20,-413
1954:Q4,774,1723,301,301,1422,15177,890,-248,11,28,0,-257,5657,-236,2627,1732,595,939,5718,831,973,3376,538,1,299,41,0,0,0,19,3018,13755,13782,200,5752,2487,29,0,-311,-149,42,-20,-171,695,416,279,8,154,789,3992,0,54,82,-27,-147,120,-949
1955:Q1,849,59,349,349,-291,4118,-228,205,25,58,0,732,-4279,235,-6128,125,890,599,4489,380,-35,3251,893,0,326,57,0,0,0,20,2713,4408,4347,-260,-4110,2091,57,0,653,321,239,-11,93,-270,-108,-162,3,142,781,4101,0,-270,1108,61,12,49,791
1955:Q2,865,828,371,371,457,11431,-426,-79,31,-30,0,-437,-1190,-26,-1158,-881,94,781,9968,2626,972,3995,2375,2,344,43,0,0,0,22,3183,10974,11120,-155,1097,2656,-4,0,-613,303,55,325,-77,806,601,205,2,121,761,4296,0,-330,2180,-146,-186,40,37
1955:Q3,861,1256,395,395,861,12375,941,390,35,-153,0,493,-675,77,-1074,-535,392,465,7837,1592,550,3976,1719,1,290,30,0,0,0,24,3162,11514,11560,1220,960,1410,-186,0,417,402,-18,251,169,473,127,346,3,169,757,4260,0,186,1489,-46,-72,26,-395
1955:Q4,869,1070,414,414,656,14823,989,-104,40,-3,0,-193,2197,-222,282,749,189,1199,8374,3055,661,3449,1209,0,837,40,0,0,0,26,2620,14167,14132,461,4574,2298,29,0,-434,364,-262,414,212,830,724,106,4,140,771,4271,10,40,774,35,3,32,-201
1956:Q1,890,384,400,400,-16,5724,-581,-54,25,104,0,599,-2118,586,-4173,48,549,872,4225,623,204,2940,458,1,355,79,0,0,0,29,3060,5740,5765,-547,-3235,2112,73,0,789,1262,577,117,568,-769,-523,-246,2,314,792,4469,10,-91,584,-25,-102,77,506
1956:Q2,928,1004,410,410,593,8746,-125,-612,26,-30,0,-602,-1968,-269,-2185,-524,207,803,7627,2103,431,3568,1525,2,878,48,0,0,0,32,3470,8153,7925,-344,-384,3181,-32,0,-735,414,-32,216,230,130,164,-34,2,35,819,4648,10,-234,415,228,191,37,-75
1956:Q3,960,1098,425,425,673,11832,518,824,26,-83,0,482,1402,41,31,-217,355,1192,4892,466,334,3460,632,0,694,33,0,0,0,35,3009,11159,10969,1389,763,1493,-80,0,693,554,68,248,238,-141,-146,5,3,323,805,4651,0,345,171,190,167,23,-138
