1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q3,91627,69394,27956,628,4428,-9630,-3508,-1080,-112,-108,2816,-13444,-12820,140,39108,17760,-29901,153711,102514,-9528,292,2058,43071,1228,-4688,2732,256,7024,25572,124,2672,0,0,-8532,-16936,-64,5580,336,0,-62084
1982:Q4,-120526,2875,30256,-20664,2232,-107855,-2732,800,-2368,1460,3228,19480,-26720,120,-19704,-11116,10182,-132103,-79267,-8028,-196,-1756,-76673,8728,-1560,1260,-2628,6600,208,124,-3252,1,0,8788,9328,-88,4164,2144,0,11577
1983:Q1,310857,123995,11064,7012,-9292,86240,468,1376,1476,-56,4736,4112,17216,60,23580,-4208,43077,266450,131201,3860,-204,356,120317,-15036,64,-8184,4,4508,17664,140,2220,-5531,0,896,11332,52,9964,-7172,0,44407
1983:Q2,116094,30860,13668,-2780,5760,57273,-2944,3828,1740,-16,5128,2848,5084,64,9608,-3004,-11023,30772,30368,4360,1136,-522,-12714,-3040,3364,-6672,388,8148,35280,208,-26356,-4212,0,5112,-1976,44,-7144,5000,0,85322
1983:Q3,85542,19544,12040,2068,12084,29917,3708,3656,-500,844,5312,3052,-4128,20,-11896,9896,-75,78830,21547,6860,404,2092,23719,4696,3220,8308,200,10920,-932,284,7780,4784,0,1044,-15708,0,-5104,4716,0,6712
1983:Q4,44507,8642,13716,1752,-9280,-25144,496,1272,-1468,1324,5300,-240,3648,68,11264,2272,30885,-160889,-116163,8364,-944,1728,-86410,-952,68,7848,-6244,4956,7500,348,13356,6068,0,-2732,8484,56,-5468,-752,0,205396
1984:Q1,267838,184452,12628,29636,-5744,10699,1820,940,1072,164,9148,1796,10904,-352,-24436,26424,8686,164321,99156,-7400,596,86,94342,4512,-960,-10028,-112,1000,-13928,-140,240,-12175,0,2348,8872,-2916,-6196,7024,0,103516
1984:Q2,205527,92849,1672,4768,1708,55730,-1788,-1292,2912,-204,11740,4748,4528,-328,-14548,-26408,69440,177266,204617,-7896,3508,2992,-1720,1876,-3788,-2704,32,7732,-8320,-140,-13088,-3735,0,5884,1408,-2864,-1832,-4696,0,28261
1984:Q3,290908,127085,13324,3996,16292,105843,7584,-1636,-1504,-516,11868,-2392,-6132,-324,37000,7844,-27424,393663,252130,-10400,3384,11326,88421,9100,-4284,4056,68,5532,21428,-68,4048,5266,0,5008,-10880,-2848,9272,3104,0,-102755
1984:Q4,-184006,-135912,10692,-18896,-10716,-4877,-1060,320,956,-1608,7844,5208,-9088,-388,6696,-10852,-22325,-95114,-47355,-11896,-1872,248,-76203,-3720,-2020,6924,-232,16324,8488,-212,8328,11408,0,-648,-6264,-2028,5444,172,0,-88892
1985:Q1,370509,213521,23912,24344,-9104,-28484,4820,536,1640,-216,11052,9296,11680,-252,2432,400,104932,311054,216940,-2528,-1684,-1004,90067,-700,-1792,-6864,-408,1981,23228,68,11164,-19142,0,-2772,8932,-152,-4048,-232,0,59455
1985:Q2,169203,80668,17104,7000,1824,92090,-5468,2236,-372,-292,11412,-4300,-7556,-284,4176,2116,-31151,50442,-2502,-2024,1660,-924,11001,-6880,-320,-1584,108,7898,24968,72,296,-3039,0,2688,7336,-284,12688,-716,0,118761
1985:Q3,433467,142337,57480,-176,11404,25034,17548,2144,-4608,852,4832,35836,-72,-280,35612,3808,101716,178402,155699,472,4620,1522,21386,6984,-44,9768,212,3749,-13884,144,-2496,5938,0,-5492,-3072,-280,-5556,-1268,0,255065
1985:Q4,145731,146619,18100,-28836,-4124,35580,-26512,272,3640,1228,10708,-26640,-8600,112,7880,-5084,21389,152389,108411,1976,19368,-1548,-53441,-15608,-928,4272,-9332,8072,72292,200,-2016,20263,0,-6848,-4308,-3612,13408,1768,0,-6658
1986:Q1,-43265,-94007,13412,24712,-11488,-80095,5184,-1564,-64,-364,15724,-5020,-9552,-84,49792,57868,-7719,76706,38236,2936,1028,-1314,-21021,8240,-1728,-10244,-20,-1397,-8408,396,5750,-22637,0,-888,9900,-4648,56624,25900,0,-119971
1986:Q2,-65380,-88342,3688,2576,-2488,59889,-4312,-3256,580,32,-4968,9320,-28052,420,19508,-11156,-18820,-4353,-42463,3440,4920,-1464,14500,-2656,-2444,4084,-32,13011,2644,364,17508,1611,0,-13360,1644,-5008,-11824,11172,0,-61028
1986:Q3,221585,100501,5808,-856,9004,34543,7412,-3560,-312,136,-7128,3164,31760,-420,-10004,584,50953,264726,225154,5936,3256,1174,39017,9940,-2412,9872,-52,12344,11396,-36,-7430,7692,0,4732,9416,-4612,-60640,-20,0,-43140
1986:Q4,-127228,-106608,11020,-13772,492,15604,-2760,-2512,1656,4508,1240,8904,-22308,-2768,-7600,972,-13296,142120,6651,7440,-2432,396,14505,-2224,-1668,8980,-11956,8474,60852,124,-10184,24730,0,17128,-11988,-2908,40080,-3880,0,-269348
1987:Q1,244148,148583,-17852,-3208,-4472,43090,6924,-1660,864,-544,25412,13632,13108,-652,-15260,1820,34363,271255,102392,5644,-547,-3368,122702,5128,-1160,-7736,-692,12229,43368,272,13146,-27191,0,4320,17240,-6836,-12172,4516,0,-27107
1987:Q2,-6883,7324,-2176,3028,548,-29575,-2348,-1280,852,1592,916,5296,-15688,-968,5852,644,19100,147721,100025,6148,1641,-2598,-23068,-2132,-812,1728,-244,13026,2928,-20,15346,-3027,0,7556,-11520,-6768,-12524,62036,0,-154604
1987:Q3,-139032,-110161,-8612,-936,752,-18585,8328,-888,712,204,21780,-1776,36144,-732,-32028,40,-33274,156071,16664,8644,3531,13882,18437,10896,-408,8928,-20,16289,70712,-584,-14914,11241,0,-284,14544,-7656,-19192,5360,0,-295103
1987:Q4,186421,96177,2872,-36368,6468,-25127,496,-480,2684,12244,-10560,-5712,138876,-1232,-16260,1200,21143,112482,237006,10148,10892,774,-65413,-1340,120,-4848,784,7236,-93936,-192,-11554,24689,0,15896,4224,-5116,-13796,-3092,0,73939
1988:Q1,217571,83845,17380,41268,-1820,-8717,11416,112,-44,1108,8100,-588,109412,92,-71200,336,26872,218307,143107,16644,-5560,-7118,13413,13680,824,-4796,0,20821,8724,-176,30248,-33849,0,-1948,22744,-1776,3308,16,0,-735
1988:Q2,151778,-7459,17380,22088,10968,78456,-880,804,-708,508,4744,1784,-30784,-152,960,2984,51086,256267,124935,16144,2837,652,89665,-1536,1636,-1052,0,7009,27192,-176,5297,5779,0,4616,-5892,-3100,-16612,-1128,0,-104489
1988:Q3,94100,-5701,17384,-2772,-392,-14461,5748,1000,3532,404,3420,10252,22856,508,-14324,-12,66658,240672,191196,13644,-1593,646,-15643,4164,1812,12740,0,-1056,46120,116,-14712,2406,0,8436,2184,-3444,-5512,-832,0,-146572
