1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,15618,4807,2443,5585,2855,833,1344,553,2783,15618,14794,7094,3182,3422,1047,50,135,-873,0,0,0,-56,1026,0,38,0,689,15618,2289,866,497,76,824,26,13329,0,10367,62,16,385,5,931,-15,1118,166,0,-398,180,0,8,0,504,0,0,0
1967:Q3,9592,-1227,2088,7318,4471,947,1347,553,1413,9592,7490,5813,-1007,2310,268,106,1591,-180,0,0,0,497,-78,0,1352,0,511,9592,2230,1064,-200,-103,1442,27,7362,0,4885,82,16,238,5,711,83,31,78,0,437,161,0,-304,0,939,0,0,0
1967:Q4,29864,15831,3720,7290,4427,1067,1325,471,3023,29864,27216,21404,2552,2767,484,9,1970,264,0,0,0,-461,479,0,1688,0,678,29864,3590,1597,987,245,733,28,26274,0,21332,20,14,182,4,1068,24,218,78,0,957,167,0,968,0,1242,0,0,0
1968:Q1,-4860,-11209,1678,5966,3404,662,1294,606,-1295,-4860,-2178,-8621,4334,1902,150,57,-3315,-117,0,0,0,26,-2005,7,-1226,0,633,-4860,590,241,-968,-280,1556,41,-5450,0,-7857,156,5,43,3,734,8,42,145,0,1005,181,0,600,56,-571,0,0,0
1968:Q2,26838,6725,8441,7540,4405,765,1606,764,4132,26838,22959,12336,5170,3875,1483,95,3635,620,0,0,0,-6,1571,7,1443,0,244,26838,4689,2832,546,85,1180,46,22149,0,13797,91,6,517,2,809,-41,1269,121,0,1440,190,0,1927,100,1921,0,0,0
1968:Q3,13289,286,2578,7669,4508,899,1813,449,2756,13289,10506,7317,822,2300,24,43,2436,137,0,0,0,238,-389,9,2441,0,347,13289,3231,2313,-372,-145,1384,51,10058,0,7726,132,6,407,2,831,21,-9,6,0,375,85,0,160,71,245,0,0,0
1968:Q4,27607,10851,3298,8294,4751,1110,2092,341,5164,27607,24275,13114,7892,2894,260,115,2965,233,0,0,0,-11,1930,17,796,0,367,27607,3065,314,1379,320,998,54,24542,0,18269,-10,6,369,1,1332,-4,34,87,0,529,82,0,2480,121,1246,0,0,0
1969:Q1,2265,-1585,-2345,6635,3872,945,1348,470,-440,2265,7008,497,3226,3071,77,137,-5189,72,0,0,0,-283,-1016,4,-3966,0,446,2265,-3276,-3238,-898,-322,1134,48,5541,0,3124,254,31,218,2,826,12,127,64,0,1138,90,0,950,89,-1734,350,0,0
1969:Q2,30093,8221,8924,8157,4881,1156,1425,695,4791,30093,24773,11154,7355,5126,1063,75,4582,1082,0,0,0,0,2218,6,1276,0,738,30093,3376,1608,540,137,1032,59,26717,0,16246,275,45,733,1,1112,-10,1116,49,0,2173,85,0,3866,144,-430,1312,0,0
1969:Q3,9188,-2845,2072,7823,4774,1160,1479,410,2138,9188,12345,5599,2610,3825,245,66,-3333,1527,0,0,0,0,-1918,4,-2946,0,176,9188,-1457,-2715,14,18,1096,130,10645,0,3096,434,49,490,1,1331,65,305,75,0,2762,248,0,1084,134,-1625,2196,0,0
1969:Q4,28324,8865,8024,8017,4177,1664,1933,243,3418,28324,22032,10750,7282,3296,236,468,5686,1349,0,0,0,0,1714,13,2610,0,606,28324,7109,4158,1230,327,1174,220,21215,0,12464,356,43,311,3,1302,82,-29,25,0,3104,255,0,2660,291,260,88,0,0
1970:Q1,-1738,-6887,3214,4503,1815,2192,-101,597,-2568,-1738,869,-3838,11895,-6813,-334,-41,-2940,456,0,0,0,0,-1143,-12,-2241,0,333,-1738,-2098,-2218,-1011,-198,903,426,360,0,-7320,821,30,-53,8,1365,14,38,75,0,2601,295,0,478,295,-1178,2891,0,0
1970:Q2,22109,5968,5768,7615,3395,1587,2303,330,2758,22109,19760,6332,6861,4946,1747,-126,1743,491,0,0,0,0,2520,8,-1276,0,606,22109,2226,778,472,164,703,109,19883,0,10916,94,23,542,12,1201,-17,1725,158,0,2174,214,0,2146,215,-766,1246,0,0
1970:Q3,12753,2719,-1189,9220,3983,2114,2804,319,2003,12753,10969,6630,-688,4670,163,194,1829,289,0,0,0,0,-16,0,1556,0,-45,12753,3550,1822,574,202,786,166,9203,0,7685,1000,21,424,13,867,-20,136,-19,0,1875,419,0,-830,224,263,-2855,0,0
1970:Q4,20237,6755,2497,8749,3891,2161,2446,251,2236,20237,15294,8732,1755,3864,893,50,3839,90,0,0,0,0,799,9,2941,0,1104,20237,4481,2091,1325,349,500,216,15756,0,12508,641,24,114,12,1154,-22,482,131,0,1055,623,0,499,416,393,-2274,0,0
1971:Q1,6922,-3976,2666,7820,4109,2183,1197,331,412,6922,8553,2475,713,4137,1135,93,-2553,-925,0,0,0,0,-221,18,-1425,0,922,6922,1652,-883,1198,-98,1129,306,5270,0,1915,-166,26,27,0,390,-91,198,99,0,-355,1202,0,1776,231,114,-96,0,0
1971:Q2,27843,7084,2969,12950,6857,2740,2390,963,4840,27843,28489,13425,5655,7630,1847,-68,-1442,-2449,0,0,0,0,1550,9,-552,0,796,27843,1713,-485,783,385,874,156,26130,0,20217,-15,54,700,-5,211,-166,1857,151,0,-1692,1615,0,1784,362,857,200,0,0
1971:Q3,20517,457,1421,14086,8173,2347,3237,329,4553,20517,21361,12351,2598,5347,816,249,-1476,396,0,0,0,0,-1967,14,81,0,632,20517,325,-1326,543,266,515,327,20192,0,14513,449,27,632,-7,523,-146,231,8,0,2038,797,0,348,251,626,-98,0,0
1971:Q4,31641,6927,4907,14029,7656,2451,3656,266,5778,31641,25816,15986,3047,5455,1237,91,4929,299,0,0,0,0,1587,1,3042,0,896,31641,4295,1966,1246,505,288,290,27346,0,18725,363,25,472,-10,998,-110,557,110,0,1634,1147,0,2214,362,979,-120,0,0
1972:Q1,16358,924,2136,13694,7342,2586,3051,715,-396,16358,18119,6967,5454,4765,666,267,-2588,-1944,0,0,0,0,-24,33,-653,0,827,16358,-201,-409,-909,-41,823,335,16559,0,11669,459,2,174,-8,104,-326,-82,21,0,-669,1026,0,1803,572,1882,-68,0,0
1972:Q2,40424,9746,4679,18624,9973,3366,4272,1013,7375,40424,38584,19367,6387,10219,2914,-303,2030,83,0,0,0,0,914,8,1025,0,-190,40424,3336,1544,955,311,123,403,37088,0,27412,-177,-23,1146,-11,261,-199,2134,-52,0,1368,1206,0,2496,649,1354,-476,0,0
1972:Q3,28310,3325,505,19173,11621,2788,4018,746,5307,28310,26613,15124,3376,7014,973,126,1249,661,0,0,0,0,701,-4,-109,0,448,28310,1464,-719,789,239,868,287,26846,0,20795,626,77,508,-11,433,-268,270,83,0,1707,1067,0,860,337,394,-32,0,0
1972:Q4,51894,15457,8789,20420,10034,4042,5838,506,7228,51894,42102,18665,12279,9386,1517,255,8517,1243,0,0,0,0,3364,57,3853,0,1275,51894,5352,2754,1667,534,35,362,46542,0,34217,-343,-47,519,-12,1592,-137,671,130,0,2354,1589,0,4780,804,91,334,0,0
1973:Q1,32033,10974,3645,16407,9376,1817,4085,1129,1007,32033,35594,10813,15042,8908,664,167,-4644,441,0,0,0,0,-475,73,-4683,0,1083,32033,-1066,-1059,-2284,-169,2168,278,32910,0,26743,342,-4,501,-5,499,-214,-182,162,0,2545,756,0,1829,459,-1084,563,0,189
1973:Q2,53679,12938,9212,22659,12069,3364,5755,1471,8870,53679,47715,18428,17733,8575,3221,-242,4410,2725,0,0,0,0,2459,69,-843,0,1554,53679,4061,2415,1786,212,-595,243,49641,0,34464,439,-5,1188,-3,1245,-75,2315,189,0,4792,1455,0,3945,889,-1556,359,0,-23
1973:Q3,39173,6244,5574,21058,11870,3170,5027,991,6297,39173,37751,18710,16718,1825,82,416,1761,3153,0,0,0,0,-353,32,-1071,0,-339,39173,2342,-974,958,-75,1987,446,36973,0,24275,1170,60,952,-2,2089,-78,-304,67,0,5664,442,0,1074,1111,-664,1117,0,-142
1973:Q4,40009,9412,6777,17535,9946,2064,4671,854,6285,40009,32656,15961,17350,-1360,760,-55,5938,849,0,0,0,0,1858,61,3170,0,1415,40009,5657,3018,1484,124,298,733,34344,0,21321,1210,61,469,-5,2784,15,306,253,0,2621,983,0,5046,649,-1032,-337,0,8
1974:Q1,15868,3046,472,14870,8069,2164,3749,888,-2520,15868,21772,3658,9567,8128,361,58,-5586,-152,0,0,0,0,-1452,76,-4058,0,-318,15868,-2805,-786,-661,-247,-1564,453,18654,0,11796,356,56,-71,-2,1255,17,-386,136,0,1865,1669,0,1549,457,-647,604,0,19
1974:Q2,58484,17804,15022,19341,10929,1866,4922,1624,6317,58484,50182,19969,13814,12002,4590,-193,4373,2647,0,0,0,0,809,84,833,0,3929,58484,6982,3647,1243,97,1531,464,51435,0,33838,2403,56,917,-2,1707,-16,3799,53,0,6542,423,0,1750,-34,-469,468,0,67
1974:Q3,33494,5472,7738,15820,10021,1712,2668,1419,4464,33494,29817,17806,2876,10453,-1710,392,1421,3130,0,0,0,110,-1618,55,-256,0,2256,33494,4142,1505,559,-114,1749,443,29326,0,17314,1737,234,1181,-1,2072,-9,-2287,93,0,7255,1470,0,1034,-323,-301,-143,0,26
1974:Q4,32300,9336,10127,12152,6500,1133,3334,1185,685,32300,27624,12644,7509,6523,529,419,2285,1032,0,0,0,585,99,13,556,0,2391,32300,7837,1495,579,18,4635,1110,24354,0,12966,2362,130,307,-4,2494,4,112,279,0,3987,921,0,1047,-89,-149,-13,0,109
1975:Q1,-8323,-13142,2265,8568,4655,-82,2132,1863,-6014,-8323,-1112,-1318,-8647,5501,3256,96,-8566,-3640,0,0,0,258,-4284,-36,-864,0,1355,-8323,3351,3983,-2907,-553,2279,549,-11711,0,-12532,201,25,156,-6,1476,37,1092,3,0,-2074,2962,0,-1535,-1290,-2,-224,0,37
1975:Q2,27399,821,8061,15796,10875,149,3027,1745,2721,27399,26408,16120,-2190,7109,5379,-10,228,-1361,0,0,0,294,567,-102,830,0,763,27399,7980,3541,-53,-68,4112,448,19471,0,10757,-373,30,1058,21,1103,-31,5096,105,0,910,1183,0,765,-1271,128,-10,0,-52
1975:Q3,14491,-5982,-1150,16373,12139,80,3600,554,5250,14491,18551,19661,-3675,4331,-1881,115,-4971,679,0,0,0,161,-4532,-97,-1182,0,911,14491,2973,-225,-650,-133,3683,298,11507,0,6334,289,60,1952,19,755,-12,-1081,65,0,2036,1182,0,1221,-1463,321,-171,0,11
1975:Q4,36307,5101,9701,15692,11136,-135,3922,769,5813,36307,29997,23053,2462,3413,1081,-12,3850,363,0,0,0,151,-699,-65,4100,0,2460,36307,9571,5268,445,198,3348,312,26660,0,18787,996,61,1085,30,1205,17,61,-333,0,2086,1726,0,2486,-1026,575,-1096,0,76
1976:Q1,14406,-9144,9175,16463,11850,1441,2228,944,-2088,14406,16607,8052,-2114,8007,1403,1259,-3143,-2088,0,0,0,-25,-188,-37,-805,0,942,14406,4877,1788,-1036,-255,3440,940,9564,0,3008,-620,24,827,0,555,0,-774,1,0,-801,2641,0,1737,-333,1354,1945,0,-35
1976:Q2,49583,8152,12276,20915,14840,1438,3124,1513,8240,49583,47692,26223,6777,7695,8304,-1307,197,-483,0,0,0,0,-95,-33,808,0,1694,49583,1776,817,884,175,-1569,1469,47720,0,29872,634,22,2079,24,652,0,6336,80,0,1020,2864,0,3108,-335,1264,100,0,87
1976:Q3,35757,-2054,5847,24424,17739,1302,3772,1611,7540,35757,35703,24414,2563,7304,186,1237,-667,788,0,0,0,-44,-1624,-22,235,0,721,35757,6977,728,338,157,4368,1386,28664,0,20137,41,-4,1998,-1,854,-10,-1397,2,0,2520,2968,0,1368,-334,422,100,0,116
1976:Q4,60605,11989,17591,22752,16238,986,4037,1491,8273,60605,48450,27343,9427,6479,4354,847,8478,-200,0,0,0,-318,1924,-41,7113,0,3677,60605,12591,6752,1589,635,1700,1915,48012,0,33892,653,-3,1106,29,1693,41,327,107,0,510,3709,0,5337,-335,865,81,0,2
1977:Q1,25098,920,2439,21686,15260,1247,3211,1968,53,25098,35433,15982,6480,10540,2090,342,-11154,-1400,0,0,0,-1172,-1117,-37,-7428,0,819,25098,-2151,-4297,-1635,-150,1412,2519,27102,0,17274,238,2,971,54,703,6,-1201,-48,0,737,4725,0,3458,-162,426,-81,0,147
1977:Q2,68829,9190,12733,34013,25556,2604,2895,2958,12893,68829,65124,37547,12058,12722,4838,-2041,2963,1255,0,0,0,20,409,-41,1320,0,742,68829,7156,2564,1566,133,753,2140,61721,0,42098,835,2,2368,41,1551,119,1608,180,0,3241,2562,0,6090,-162,1088,100,0,-48
1977:Q3,67707,6758,13121,36923,27359,2089,5447,2028,10905,67707,63469,36976,5598,10017,9662,1216,2337,1337,0,0,0,80,1777,-20,-837,0,1901,67707,7957,-526,1094,190,4552,2647,59796,0,38755,690,39,2086,27,1668,-53,6142,-242,0,2595,4432,0,3861,-161,-43,0,0,-46
1977:Q4,82613,11985,22969,35720,24527,2444,7166,1583,11939,82613,68098,36712,17225,9450,4023,688,12862,3119,0,0,0,5,2398,-9,7349,0,1653,82613,16287,7279,2460,701,3148,2699,66229,0,42102,2098,37,1311,-11,3094,11,113,419,0,3709,4391,0,8563,-164,546,10,0,97
1978:Q1,45642,5530,9862,28171,19003,2522,4646,2000,2079,45642,53518,22386,16135,10753,3959,285,-6578,1105,0,0,0,75,-1625,-11,-6122,0,-1298,45642,7641,536,-836,-17,4802,3156,37853,0,23220,1689,-107,1234,-9,1524,62,-1277,41,0,3537,2709,0,3215,-49,1874,190,0,148
1978:Q2,92538,16642,18257,40084,28461,3445,5385,2793,17555,92538,81624,49217,14617,16649,2985,-1843,9186,3996,0,0,0,100,2244,-25,2871,0,1728,92538,10890,3257,1084,421,2941,3187,81398,0,52042,1947,-110,3349,-10,2549,88,1441,164,0,7872,3099,0,6266,-48,2549,200,0,250
1978:Q3,83143,5876,20707,43064,32819,2409,5533,2303,13496,83143,76337,46539,3570,16411,9820,-3,5341,3884,0,0,0,55,-50,-9,1461,0,1465,83143,16321,5120,1053,566,6450,3132,66453,0,35417,2561,14,1581,1,2941,59,6195,161,0,8334,3144,0,4130,-66,1781,200,0,369
1978:Q4,101746,17846,29929,40688,30940,2447,5589,1712,13283,101746,82986,43063,13501,14583,11834,5,11419,3512,0,0,0,170,2770,-5,4972,0,7341,101746,26223,15816,2657,1096,3220,3434,76034,0,43158,5168,15,1115,25,4894,15,583,179,0,7550,4652,0,12069,-31,-3586,228,0,-511
1979:Q1,43236,5997,102,34623,23988,2451,4507,3677,2514,43236,52223,25860,14354,12633,-638,15,-10469,-789,0,0,0,115,-857,-4,-8934,0,1482,43236,1536,-3468,-610,350,4094,1170,41260,0,20954,3199,16,470,57,3179,77,-1724,211,0,5331,4900,0,5560,-23,-819,-128,0,440
1979:Q2,98717,19949,19967,45301,31996,2268,6536,4501,13500,98717,84687,46421,15385,25132,-2418,167,10997,3190,0,0,0,110,2915,-6,4788,0,3033,98717,12044,1720,1494,700,6698,1432,86136,0,50671,3327,20,1012,-20,3617,-48,1465,220,0,8237,4879,0,10247,-23,2632,-100,0,537
1979:Q3,103019,18177,23119,47514,33981,2493,7642,3398,14209,103019,88101,49285,9620,20447,8846,-97,6568,3525,0,0,0,135,2226,-6,688,0,8350,103019,14773,6215,1581,536,4675,1766,87665,0,46206,7449,21,1333,30,4061,218,7521,305,0,6963,6803,0,5587,-23,1291,-100,0,581
1979:Q4,80861,11169,19522,37082,25964,2631,6065,2422,13088,80861,70536,43082,10423,15601,1319,111,9238,3242,0,0,0,230,82,-7,5691,0,1087,80861,16395,6912,2561,726,3815,2381,64037,0,32087,3197,24,-9,192,6077,171,873,282,0,9121,6469,0,7737,-23,-2791,630,0,429
1980:Q1,32885,4801,2066,30972,20732,1979,4434,3827,-4954,32885,35526,18125,8923,17455,-9029,52,-5035,2284,0,0,0,280,-256,-2,-7341,0,2394,32885,-5697,-11873,-1272,-696,6818,1326,38018,0,11852,3296,21,-290,124,6043,52,-2120,450,0,9408,5176,0,2885,-26,1277,-130,0,564
1980:Q2,22402,-8201,8546,26082,16196,1381,4952,3553,-4025,22402,15477,17075,-12517,16290,-5436,65,1870,-1758,0,0,0,395,-136,-3,3372,0,5055,22402,10546,-1016,2959,-196,6567,2232,9740,0,-3220,-1197,142,-2500,47,5651,72,1168,241,0,2234,4062,0,3282,-27,-115,-100,0,2116
1980:Q3,73812,11576,19831,37706,29241,1810,4919,1736,4699,73812,64799,34592,5592,15395,8861,359,4704,1797,0,0,0,165,722,-3,2023,0,4309,73812,19061,7372,3266,436,5227,2760,55056,0,24624,4077,167,300,44,3327,208,9544,302,0,4945,5675,0,619,-28,1352,-100,0,-305
1980:Q4,97035,29586,23356,36385,26382,2308,6079,1616,7708,97035,78980,40817,24871,14048,-1203,448,14010,4802,0,0,0,375,607,-2,8228,0,4045,97035,18242,4949,4649,939,5001,2704,79554,0,42167,6500,170,700,129,4224,93,233,293,0,9129,4268,0,7107,-27,4765,-197,0,-761
1981:Q1,21765,-2890,1940,26857,15217,1422,7608,2610,-4142,21765,26318,7730,5472,18094,-5205,227,-9295,212,0,0,0,675,-828,-2,-9352,0,4742,21765,4028,-7508,446,1614,7639,1837,14527,0,3893,2469,250,200,61,3636,184,-2778,276,0,4323,3301,0,1555,-10,-2930,97,0,3210
1981:Q2,92160,23177,22421,38854,23808,1004,10958,3084,7708,92160,76700,35679,22604,18596,-936,757,10577,6920,0,0,0,5,1980,-3,1675,0,4883,92160,17388,3149,3130,1800,7350,1959,74407,0,42375,-478,280,1300,92,3470,123,1141,436,0,10946,3591,0,10303,-11,372,467,0,365
1981:Q3,83760,17213,24654,31575,17634,1087,10426,2428,10318,83760,73301,29237,22985,13707,7473,-101,7885,8252,0,0,0,900,394,-2,-1659,0,2574,83760,10292,-724,2285,2167,4810,1754,70769,0,26961,6098,340,1000,102,3480,7,11453,598,0,13944,3519,0,3906,-11,-1111,483,0,2699
1981:Q4,89641,35570,23625,24492,10894,1278,10700,1620,5954,89641,58666,24569,20978,14321,-1557,355,9737,847,0,0,0,300,363,-2,8229,0,21238,89641,18047,6679,3535,2416,4155,1262,66970,0,42866,3066,430,-800,92,3375,35,284,319,0,3310,4616,0,6990,-10,1955,442,0,4624
1982:Q1,28615,16061,-4300,21199,10448,1263,7766,1722,-4345,28615,23742,901,13727,11621,-2751,244,-6783,968,0,0,0,400,1298,-2,-9447,0,11656,28615,4413,87,-1701,1529,3184,1314,22949,0,8282,6472,547,-700,65,2390,0,-2866,471,0,3558,8642,0,433,20,-3773,-592,0,1253
1982:Q2,78353,28832,17299,24872,13459,1054,9028,1331,7350,78353,60635,21807,19663,18639,-12,538,7293,3236,0,0,0,0,9,2,4046,0,10425,78353,13185,3703,1479,1354,5408,1241,64554,0,29953,5052,691,400,42,2199,1473,2032,236,0,8105,9323,0,5750,21,-151,-572,0,614
1982:Q3,65767,15868,18395,25576,13418,704,10639,815,5928,65767,60370,20475,13115,17081,9652,47,7,-1756,0,0,0,0,-89,1,1851,0,5390,65767,9673,969,879,1005,5212,1608,53263,0,12139,5574,697,1200,53,1858,975,12171,441,0,2963,13280,0,121,20,1699,72,0,2831
1982:Q4,69018,13627,16382,29106,17162,2422,9308,214,9903,69018,57593,34113,9200,10538,3604,138,6791,-1641,0,0,0,0,1373,0,7059,0,4634,69018,23143,14033,2226,709,2399,3776,45829,0,11903,1232,565,200,99,2050,1409,729,106,0,214,18288,0,3968,20,4993,53,0,46
1983:Q1,12717,342,-13738,30921,16952,1032,12708,229,-4808,12717,20555,9751,-4305,18113,-3246,242,-10506,-5534,0,0,0,0,1209,0,-6181,0,2668,12717,-5154,-8529,-1470,548,1230,3067,16516,0,-3186,1285,454,100,149,1806,1286,-2871,210,0,-4003,17998,0,2804,-15,952,-453,0,1355
1983:Q2,93266,8292,25431,47615,29157,3741,13885,832,11928,93266,84986,47269,12113,17115,8173,317,4572,-487,0,0,0,0,376,-6,4689,0,3708,93266,17123,2416,2290,765,3812,7840,74203,0,37879,-2785,364,2600,205,1680,653,2361,116,0,2144,16544,0,6804,-17,6015,-360,0,1940
1983:Q3,111639,13108,25050,56707,37188,5023,13760,736,16774,111639,102249,54000,15260,16974,15662,353,-1241,-173,0,0,0,0,105,-5,-1168,0,10631,111639,10147,1153,1560,1300,2252,3882,100946,0,46707,9899,329,3300,206,2780,860,12765,50,0,927,18477,0,3429,-16,1023,210,0,546
1983:Q4,110917,8775,23582,54294,32787,5445,15449,613,24266,110917,119069,59265,36678,19125,3804,197,8148,1609,0,0,0,0,738,-4,5805,0,-16300,110917,14844,3348,3939,1731,1679,4147,94168,0,50656,3225,353,3000,151,3846,-445,2287,502,0,4549,13269,0,12121,-18,396,276,0,1905
1984:Q1,83707,20942,5761,49872,29515,6043,15065,-751,7132,83707,82688,32498,24757,26255,-635,-187,-7076,-1034,0,0,0,0,-1509,0,-4533,0,8095,83707,5158,-3289,654,2467,1590,3736,72616,0,51385,2172,347,3500,103,423,-232,-2147,75,0,3422,11123,0,5210,115,-2454,-426,0,5933
1984:Q2,160132,28705,34655,68983,39331,8004,21279,369,27789,160132,139621,63200,38549,32164,5421,287,11654,8390,0,0,0,0,3364,2,-102,0,8857,160132,15288,1009,4434,2480,2692,4673,137341,0,93629,3738,312,4400,76,2371,-523,3907,209,0,10995,7781,0,9729,113,934,-330,0,7503
1984:Q3,126249,11535,30379,62295,34659,5417,22091,128,22040,126249,114109,52783,15884,28954,15547,941,9720,7238,0,0,0,0,361,1,2120,0,2420,126249,17995,4725,3389,2513,3519,3849,104450,0,58346,2991,335,3600,90,1955,-328,13417,26,0,9569,12194,0,3954,113,-2242,430,0,3804
1984:Q4,156694,34968,39717,57264,32419,5771,20119,-1045,24745,156694,141854,63371,38074,26291,7418,6700,13830,1783,0,0,0,0,976,0,11071,0,1010,156694,29596,5722,6344,2546,9347,5637,121560,0,66270,8655,413,3400,84,1393,694,3298,294,0,3643,13449,2000,16067,84,1419,397,0,5538
1985:Q1,80412,3222,8014,59737,38884,5401,15152,300,9439,80412,92044,46443,12148,24209,6779,2465,-9758,289,0,0,0,0,-3556,1,-6492,0,-1874,80412,14400,2335,-1450,1698,6451,5366,66363,0,31367,-1365,522,1300,205,1746,1306,8601,64,0,4544,15046,541,3653,50,-1220,3,0,-351
1985:Q2,146644,14268,42172,66635,42401,6474,18903,-1143,23569,146644,132745,75245,8497,29074,16668,3261,16397,5182,0,0,0,0,-2155,4,13366,0,-2498,146644,36429,17094,3041,1484,6494,8316,109433,0,47173,3973,657,3100,178,3592,763,3976,26,0,7631,17057,1901,12952,75,6264,115,0,782
1985:Q3,138540,11352,32750,68125,49120,5674,16173,-2842,26313,138540,130171,89009,4166,13187,22641,1168,11264,6363,0,0,0,300,5700,7,-1106,0,-2895,138540,15647,-6361,2485,954,7069,11500,120384,0,51921,3775,624,3100,150,2569,-443,13902,-24,0,7022,22242,590,13203,78,2090,-415,0,2509
1985:Q4,189308,27029,72076,65534,49695,10951,19535,-14647,24669,189308,161498,90490,39471,3930,26322,1285,25540,3317,0,0,0,785,-2443,8,23873,0,2270,189308,50001,16745,6983,536,-2009,27746,134894,0,50919,13585,419,2200,142,7055,2655,-805,-12,0,1936,24532,2936,17123,851,11731,-373,0,4413
1986:Q1,56146,1275,10693,47953,30790,7059,12570,-2466,-3775,56146,58736,26752,13988,18022,-648,622,-776,-1405,0,0,0,115,-1492,6,2000,0,-1814,56146,6963,2391,-3957,-165,3142,5552,48188,0,12856,-620,233,600,284,3198,-154,-2403,91,0,-4809,26723,1440,8615,112,2149,-127,0,995
1986:Q2,152345,10908,44227,76118,59132,7888,11592,-2494,21092,152345,144321,66826,24878,21686,30323,608,12167,7776,0,0,0,289,9985,6,-5889,0,-4143,152345,12876,-4940,-68,1273,3964,12647,131364,0,38139,2078,62,2800,220,5501,-870,19636,-203,0,5584,34485,2701,20844,146,-6,247,0,8105
1986:Q3,128247,-1022,21317,85955,67193,7976,13307,-2521,21997,128247,120230,86229,14884,15739,3429,-51,6921,4376,0,0,0,-433,5222,7,-2251,0,1096,128247,13054,3624,-762,1168,2828,6196,103828,0,22301,10293,-6,4300,232,5460,-383,-3528,167,0,998,46824,2455,11431,50,2679,555,0,11365
1986:Q4,212458,56626,61882,77483,46736,10556,22712,-2521,16467,212458,194354,87752,65377,11699,29268,258,18618,9849,0,0,0,-336,-1067,4,10168,0,-514,212458,27246,15254,2440,-1583,742,10393,184081,0,81923,15793,25,3600,273,7572,-1354,15041,186,0,5221,55695,-13278,10762,-309,1908,1023,0,1131
1987:Q1,22310,-25462,1605,68205,51909,3509,14828,-2041,-22038,22310,35507,15453,-4066,16316,7995,-191,-15301,-1711,0,0,0,-720,-5689,9,-7190,0,2104,22310,8892,3982,-2129,-1726,-2656,11421,15438,0,-21991,2534,29,300,96,1557,-1159,-3099,-217,0,-6293,43844,2377,602,115,-3862,605,0,-2020
1987:Q2,156727,6305,42216,92210,73463,4749,16062,-2064,15996,156727,151338,95279,27410,14509,16031,-1891,7741,8355,0,0,0,-30,227,9,-820,0,-2352,156727,11926,1462,2476,-2512,727,9773,140681,0,50854,9424,-8,4600,306,4463,-788,6051,-105,0,5831,39707,3757,13172,-10,3322,105,0,4120
1987:Q3,129946,8711,28783,73128,58207,4452,12556,-2087,19324,129946,131657,81103,17787,13707,18887,173,4139,5951,0,0,0,0,-4981,9,3160,0,-5850,129946,4067,5377,2034,-2086,-5862,4604,123169,0,48493,5443,-4,6100,118,4023,-583,13934,180,0,6694,31942,6041,-1395,152,2506,-475,0,2710
1987:Q4,145531,10916,25813,89799,57186,4532,30167,-2086,19003,145531,148263,60616,47821,13505,26771,-450,-8187,13191,0,0,0,0,-2260,8,-19126,0,5455,145531,10307,-7471,6554,-443,-67,11734,139579,0,59499,10893,35,3500,126,12706,-520,14623,-77,0,12366,22310,1381,20302,235,-18306,506,0,-4355
1988:Q1,82856,3543,22800,61421,35780,11983,14896,-1238,-4908,82856,92202,33661,35558,18721,4970,-708,-5168,-3603,0,0,0,0,-5057,14,3478,0,-4178,82856,14330,7457,1195,2276,-1477,4879,54491,0,29932,-301,173,1700,145,3612,1409,-3643,117,0,4,8447,1740,10454,146,-1172,1728,0,14035
1988:Q2,156575,22084,29242,88853,70066,-2328,22354,-1239,16396,156575,145691,84987,23411,25606,12577,-890,11118,5295,0,0,0,0,5160,21,642,0,-234,156575,17896,4593,6093,3531,-1059,4738,136611,0,58308,11662,262,4600,130,5262,1655,7225,189,0,9311,17474,1805,18446,19,606,-343,0,2068
1988:Q3,138773,138,35740,87185,60980,3345,24112,-1252,15710,138773,141943,81979,18582,25101,16981,-700,3498,6569,0,0,0,0,-2028,6,-1049,0,-6668,138773,14980,3494,5393,3362,1817,914,116007,0,53879,1035,288,5700,137,5388,2714,13684,-51,0,7153,25822,2510,-3367,260,900,-45,0,7786
