1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,17535,5076,1591,9465,6542,1341,1002,580,1403,17535,17468,8602,5073,3293,239,261,-255,101,0,0,0,0,-77,0,-279,0,322,17535,2508,385,627,109,1318,69,15027,0,9875,183,28,56,14,3389,18,710,30,0,362,11,0,422,0,-71,0,0,0
1952:Q1,518,-338,-231,1840,1274,178,225,163,-753,518,954,614,-241,527,99,-45,-629,-322,0,0,0,0,118,0,-425,0,193,518,-431,-116,-1625,842,440,28,949,0,437,79,3,23,2,612,6,99,8,0,-269,2,0,-54,0,1,0,0,0
1952:Q2,6434,975,808,2370,1732,217,214,207,2281,6434,5226,4143,-444,1139,315,73,1046,64,0,0,0,0,146,0,836,0,162,6434,1215,137,556,186,311,25,5219,0,3217,71,1,88,1,494,7,386,9,0,117,2,0,794,0,32,0,0,0
1952:Q3,4389,-99,974,2427,1842,238,234,113,1087,4389,4711,2985,587,562,441,136,-471,62,0,0,0,0,131,0,-664,0,149,4389,835,211,104,65,429,26,3554,0,2043,-55,1,72,1,499,8,425,9,0,59,3,0,478,0,11,0,0,0
1952:Q4,8116,2292,947,2320,1776,206,236,102,2557,8116,6593,4406,1558,276,195,158,1502,149,0,0,0,0,725,0,628,0,21,8116,1892,347,805,321,395,24,6224,0,4515,33,0,54,1,455,8,48,10,0,149,3,0,911,0,37,0,0,0
1953:Q1,2485,-682,669,2119,1590,106,263,160,379,2485,3227,2274,608,163,408,-225,-856,-253,0,0,0,0,-187,0,-416,0,114,2485,181,701,-670,-221,350,21,2304,0,1279,-20,1,66,2,535,10,60,11,0,-317,2,0,512,0,163,0,0,0
1953:Q2,5552,180,733,2868,2219,179,279,191,1771,5552,4907,4450,-392,853,70,-74,294,107,0,0,0,0,90,0,97,0,351,5552,901,-94,366,111,497,21,4651,0,2588,27,2,104,4,560,11,333,11,0,168,1,0,653,0,189,0,0,0
1953:Q3,4465,486,796,2501,1980,168,273,80,682,4465,3531,2487,404,534,103,3,448,83,0,0,0,0,95,0,270,0,486,4465,761,163,-80,-8,666,20,3704,0,2401,26,1,89,5,527,11,98,12,0,80,2,0,517,0,-65,0,0,0
1953:Q4,3150,-886,434,2342,1733,187,352,70,1260,3150,2447,3352,-354,-630,147,-68,420,151,0,0,0,0,-169,0,438,0,283,3150,1472,418,644,246,143,21,1678,0,717,40,0,52,5,650,11,39,13,0,36,2,0,36,0,77,0,0,0
1954:Q1,-830,-940,19,1961,1413,53,316,179,-1870,-830,256,-170,15,445,70,-104,-1056,-322,0,0,0,0,-307,0,-427,0,-30,-830,-923,335,-888,-309,-83,22,93,0,-146,12,0,27,4,553,11,20,14,0,-254,1,0,-171,0,22,0,0,0
1954:Q2,5079,346,426,3045,2263,138,444,200,1262,5079,4214,3775,-908,1104,436,-193,949,45,0,0,0,0,138,0,766,0,-84,5079,624,496,409,73,-378,24,4455,0,2817,37,0,88,2,675,10,312,15,0,147,1,0,194,0,157,0,0,0
1954:Q3,4365,371,367,3391,2722,140,458,71,236,4365,4167,3408,-359,976,166,-24,193,14,0,0,0,0,-46,0,225,0,5,4365,498,534,-72,-50,63,23,3867,0,2521,37,0,74,0,703,11,8,16,0,58,8,0,186,0,245,0,0,0
1954:Q4,7774,831,1399,3823,3020,213,531,59,1721,7774,6821,5282,1182,30,341,-14,695,178,0,0,0,0,76,0,441,0,258,7774,2056,680,897,287,171,21,5718,0,3579,102,2,41,-2,936,14,78,16,0,105,8,0,457,0,382,0,0,0
1955:Q1,4169,380,374,3676,2881,117,452,226,-261,4169,4455,3173,401,686,187,8,-270,-165,0,0,0,0,200,0,-305,0,-16,4169,-320,575,-853,-298,239,17,4489,0,3036,-45,7,51,1,853,17,-12,17,0,-32,8,0,289,0,299,0,0,0
1955:Q2,11108,2626,1029,4400,3460,207,498,235,3053,11108,10190,7059,1062,1704,374,-9,806,315,0,0,0,0,269,0,222,0,112,11108,1140,202,564,118,242,14,9968,0,6667,14,11,124,2,787,19,355,17,0,463,9,0,1438,0,62,0,0,0
1955:Q3,8302,1592,682,4240,3335,190,556,159,1788,8302,7784,5304,1022,1188,267,3,473,258,0,0,0,16,345,0,-146,0,45,8302,465,292,79,-6,87,13,7837,0,5152,-22,11,117,3,801,22,273,18,0,343,10,0,1009,0,100,0,0,0
1955:Q4,10059,3055,671,3927,2904,311,556,156,2406,10059,9193,5574,3143,342,124,10,830,142,0,0,0,50,113,0,525,0,36,10059,1685,375,908,292,95,15,8374,0,5829,-14,9,70,3,1191,25,73,17,0,115,11,0,1070,0,-25,0,0,0
1956:Q1,3758,623,398,3435,2420,167,579,269,-698,3758,4453,1683,1967,615,181,7,-769,-279,0,0,0,-40,15,0,-465,0,74,3758,-467,715,-880,-274,-44,16,4225,0,2734,19,6,56,4,1007,28,13,18,0,-84,11,0,422,0,-9,0,0,0
1956:Q2,8652,2103,452,4067,2971,170,628,298,2030,8652,8361,5174,1490,1456,239,2,130,35,0,0,0,68,93,0,-66,0,161,8652,1025,261,405,101,244,14,7627,0,5596,64,4,125,3,964,32,316,16,0,312,11,0,181,0,3,0,0,0
1956:Q3,5258,466,316,3779,2847,145,617,170,697,5258,5387,3297,596,1000,459,35,-141,-31,0,0,0,4,176,0,-290,0,12,5258,366,252,26,40,29,19,4892,0,3058,88,3,117,2,856,34,541,19,0,171,5,0,3,0,-5,0,0,0
1956:Q4,7581,1797,839,3343,2571,92,604,76,1602,7581,6818,4683,2200,21,-110,24,594,86,0,0,0,263,12,0,233,0,169,7581,1889,263,883,289,423,31,5692,0,3892,32,5,94,0,946,34,-7,24,0,359,6,0,262,0,45,0,0,0
1957:Q1,883,-430,-192,2843,2106,21,518,198,-1338,883,2075,1083,1138,317,-520,57,-1298,-267,0,0,0,-150,-211,0,-670,0,106,883,-1400,-56,-1092,-313,20,41,2283,0,899,-10,5,66,0,766,33,13,30,0,242,8,0,358,0,-127,0,0,0
