1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q3,139376,56771,28063,17585,500,119,10156,-297,66891,38184,82393,68005,59953,171,67,7814,14388,0,-27459,45135,0,-1022,0,-2266,0,213,6950400,1479197
1977:Q4,157181,57755,28591,17455,532,114,10795,-304,67098,37934,99147,79096,68742,220,82,10054,20050,0,-27962,48448,0,-10,0,-426,0,280,7107581,1528880
1978:Q1,173254,70298,27316,17922,512,186,9013,-317,66540,23557,100413,67497,57166,257,37,10037,32916,0,-29553,65170,0,-1218,0,-1483,0,2543,7280835,1566088
1978:Q2,246728,41010,32070,19431,545,178,12249,-332,59299,50359,204055,97740,86430,321,60,10930,106316,0,36331,63941,0,2833,0,3211,0,1662,7527563,1615146
1978:Q3,246134,57780,30581,19064,487,162,11214,-345,74768,47569,187198,85121,72671,403,108,11940,102077,0,38721,57340,0,1967,0,4049,0,1156,7773697,1656310
1978:Q4,181906,60636,31073,19487,449,152,11342,-356,73732,44168,118672,87903,74038,459,148,13259,30768,0,-25649,60790,0,-2619,0,-1754,0,2598,7955603,1698742
1979:Q1,315192,65569,29438,18358,519,203,10727,-369,63245,27113,248410,124159,108367,422,113,15257,124251,0,38994,76823,0,2244,0,6190,0,1213,8270795,1751557
1979:Q2,275796,48080,27532,18098,437,193,9182,-378,68176,47628,224560,127756,110348,468,144,16796,96804,0,17346,77843,0,903,0,713,0,3156,8546591,1783199
1979:Q3,279323,51081,28334,18138,422,192,9969,-388,73154,50407,226430,99211,86501,455,174,12081,127219,0,45831,75715,0,2305,0,3368,0,1812,8825914,1836048
1979:Q4,270483,68741,25825,17201,361,197,8464,-398,87404,44488,196970,90463,71761,529,171,18003,106507,0,39200,68017,0,489,0,-1200,0,4772,9096397,1884378
1980:Q1,204440,68959,23176,15214,497,192,7685,-411,65215,19432,132546,127670,101353,827,210,25280,4876,0,-48894,63912,0,-3483,0,-6659,0,2935,9300836,1948375
1980:Q2,346151,63098,11773,10238,354,191,1410,-420,69574,18249,280999,98431,76576,871,179,20806,182568,0,96832,73737,0,4237,0,7762,0,2054,9646988,1978594
1980:Q3,391141,83419,14787,11177,345,193,3499,-427,104631,35999,314169,130684,113574,796,175,16140,183486,0,94744,77632,0,4571,0,6538,0,-6447,10038129,2047035
1980:Q4,321325,92009,19177,13976,313,197,5122,-431,115281,42450,237184,61898,45718,623,204,15353,175287,0,94875,74019,0,2527,0,3865,1,-7868,10359454,2125789
1981:Q1,194129,90367,19919,13201,377,203,6579,-441,79692,9245,105201,43192,31983,716,158,10336,62009,0,12382,51993,0,-603,0,-1763,0,-1438,10553583,2177067
1981:Q2,285973,67834,17365,12660,364,204,4579,-441,87869,37400,213670,183271,165646,738,231,16657,30400,0,-7981,42061,0,-305,0,-3375,0,4469,10839556,2215467
1981:Q3,105609,112291,17284,10984,412,228,6101,-440,125995,30988,-12947,108524,95093,468,155,12808,-121471,0,-129326,23072,0,-5341,0,-9876,0,6265,10945165,2300120
1981:Q4,313789,132736,10961,9034,424,260,1683,-440,148507,26731,173987,63362,51529,437,226,11170,110626,0,68505,33331,0,2337,0,6453,0,7065,11258954,2337014
1982:Q1,147688,119669,12614,8710,338,142,3893,-470,110146,3090,27739,100639,91330,407,184,8717,-72899,-0,-114392,41759,0,-3259,0,2993,-0,279,11406642,2372184
1982:Q2,139474,93583,12498,8527,345,188,3906,-468,105296,24212,41641,31739,22953,494,146,8146,9902,-0,-23771,31382,0,51,0,2240,0,4251,11546116,2409803
1982:Q3,218704,125838,12784,8653,391,237,3969,-466,136176,23122,82017,8539,4622,170,83,3664,73479,-0,45707,11696,0,4396,0,11679,-0,10849,11764820,2460346
1982:Q4,319426,87315,16953,10321,420,274,6402,-463,107354,36992,223328,34050,30982,21,99,2948,189278,0,166831,14921,0,7795,0,-269,0,8783,12084246,2496537
1983:Q1,340918,108157,22678,14619,327,138,8078,-485,98666,13187,194969,50599,43397,253,139,6811,144370,-0,91449,34673,0,4546,0,13702,-0,37792,12425164,2542271
1983:Q2,296769,111364,30012,17749,479,186,12085,-487,132453,51100,185970,37884,34689,49,66,3081,148086,0,112675,10463,0,7502,0,17447,0,-565,12721932,2583834
1983:Q3,158463,128217,35189,20624,583,212,14265,-495,150841,57813,34723,39823,34557,7,154,5106,-5101,-0,-26419,25702,0,-1156,0,-3227,-0,-4477,12880395,2656772
1983:Q4,100592,94359,39699,22044,739,234,17193,-510,117260,62600,22518,38866,32549,156,112,6051,-16348,-0,-57448,40668,0,-695,0,-3062,-5,-16285,12980987,2732466
1984:Q1,234063,105769,42405,22801,631,206,19276,-509,98759,35394,133717,161360,160421,-21,139,820,-27643,-0,-41773,14078,0,-3278,0,3330,0,-5423,13215050,2815063
1984:Q2,229518,123976,44101,23256,638,197,20542,-532,145826,65951,95655,133192,125169,102,16,7905,-37537,0,-36849,9547,0,-4232,0,-6003,0,9887,13444568,2888212
1984:Q3,333441,107320,42317,22747,614,191,19321,-556,120740,55737,213501,124292,121182,90,106,2914,89209,-0,53890,14722,0,6639,0,13959,0,12619,13778009,2948522
1984:Q4,285666,131369,43945,22789,612,192,20933,-581,154504,67080,153365,112106,109146,172,7,2781,41259,0,11785,21329,0,2434,0,5685,59,932,14063674,2991250
1985:Q1,401365,142340,45437,22768,499,210,22553,-593,146391,49488,257252,128476,121127,-44,60,7333,128776,-0,77238,14530,0,6289,0,30719,0,1773,14465040,3019219
1985:Q2,339647,81396,45162,22777,521,219,22266,-621,114828,78593,243090,150802,146828,41,34,3899,92289,-0,87946,1767,0,9475,0,-6899,-0,15161,14804687,3104431
1985:Q3,204194,71474,49778,23384,470,229,26346,-651,113706,92010,121800,160852,162074,108,38,-1367,-39052,0,-45607,21025,0,-1129,0,-13340,-0,10920,15008880,3120151
1985:Q4,498170,113627,46895,24691,522,249,22116,-682,181205,114473,455532,158123,153548,203,-30,4402,297409,-0,181696,45955,0,23139,0,46552,-6,-70989,15507051,3176512
1986:Q1,502459,154545,49372,26817,419,256,22559,-679,129765,24592,318214,89775,86756,321,95,2603,228439,0,163131,17448,0,22825,0,25034,-0,29700,16009509,3242404
1986:Q2,377743,116349,54606,29483,568,305,24959,-709,128411,66668,238473,132198,122784,570,58,8785,106275,-0,72539,21130,0,4604,0,8002,0,22921,16387252,3279727
1986:Q3,183200,124832,62998,30431,664,353,32289,-738,148823,86989,47401,136490,121706,442,-28,14370,-89090,0,-88114,33863,0,-4673,0,-30166,0,10967,16570452,3315453
1986:Q4,569620,189361,60163,30840,810,409,28870,-766,216484,87286,370504,118506,107695,77,-85,10820,251998,0,214149,32199,0,3451,0,1942,70,9756,17140072,3335966
1987:Q1,623581,118241,53665,31050,796,392,22215,-787,82778,18202,494570,121997,112102,281,64,9551,372573,-0,262851,37105,0,27915,0,44702,0,10770,17763652,3392286
1987:Q2,288776,89976,57689,31717,900,420,25459,-807,128372,96085,197973,130380,121553,-51,58,8819,67593,-0,24903,28659,0,-6499,0,20530,0,827,18052429,3389595
1987:Q3,412806,147387,61157,31914,881,406,28777,-821,167507,81277,261650,123755,115750,-5,90,7922,137895,-0,83756,26854,0,-1008,0,28292,-0,3769,18465234,3483129
1987:Q4,-64960,146656,57344,32701,661,362,24451,-830,152085,62773,-246227,76750,72520,851,295,3085,-322978,0,-259431,48885,0,-44534,0,-68475,-559,34611,18400274,3563869
1988:Q1,505905,171332,59834,31630,1020,592,27425,-834,145764,34265,324553,123254,122952,91,200,12,201300,-0,125783,50420,0,14526,219,10352,0,10019,18906179,3651096
1988:Q2,430797,101685,55796,28612,820,509,26698,-844,131702,85813,327484,180810,168134,210,228,12239,146674,0,91016,39972,0,5679,184,9823,-0,1628,19336976,3733634
1988:Q3,320023,144046,56997,32584,689,475,24107,-858,170557,83508,165478,120118,104437,275,173,15234,45359,-0,20588,37896,0,-251,153,-13027,-0,10499,19656998,3818096
1988:Q4,493305,161379,59161,33012,708,497,25824,-879,176800,74582,289161,104885,87683,893,182,16129,184276,0,143902,45204,0,-1359,-217,-3291,0,42765,20150303,3893495
1989:Q1,430252,104371,57372,32160,899,526,24684,-896,81261,34262,271991,104212,92559,379,213,11061,167779,-0,97944,41781,0,9788,-52,18319,-0,53890,20580555,3980878
1989:Q2,428416,74583,55468,30328,983,574,24513,-929,107562,88447,325869,118707,114932,162,176,3437,207162,0,118218,46157,0,21920,138,20728,0,27964,21008971,4021334
1989:Q3,540376,98029,56705,29974,1095,632,25973,-968,125695,84372,412080,186802,180125,392,98,6187,225278,-0,162726,27704,0,11527,156,23165,-0,30267,21549347,4071738
1989:Q4,399189,159012,50572,28847,926,639,21173,-1012,209822,101382,226313,92887,84089,417,151,8231,133426,0,80663,36612,0,-1462,22,17121,70,13864,21948536,4139149
1990:Q1,40873,184211,53048,26371,984,512,26213,-1032,170241,39078,-129889,-2162,-18068,490,228,15187,-127727,-0,-113209,14618,0,-14543,-318,-14275,-0,-13448,21989409,4232899
1990:Q2,293564,108344,48121,27516,892,566,20213,-1067,133331,73108,174811,50003,44381,219,212,5191,124808,0,76197,25897,0,11419,391,10904,0,10409,22282973,4302906
1990:Q3,-133866,153238,42119,23756,1015,613,17826,-1091,174702,63582,-307911,62389,55792,489,167,5941,-370300,-0,-315215,24114,0,-39007,-882,-39310,-0,20807,22149107,4358183
1990:Q4,456983,187163,36406,22100,1038,677,13697,-1106,217443,66687,263909,-28128,-37891,634,-62,9191,292037,-0,238643,10618,0,14599,274,27917,-157,5911,22606090,4380538
1991:Q1,503701,160542,29880,19246,929,511,10259,-1065,156583,25921,333729,-3077,-22664,733,371,18483,336806,0,278578,-16637,0,30289,640,43936,-0,9429,23109791,4416999
1991:Q2,85478,70637,31666,21516,930,609,9677,-1066,104335,65364,3302,37193,30791,-86,252,6237,-33891,-0,-28659,-1701,0,-140,148,-3539,0,11539,23195268,4474407
1991:Q3,338975,139398,34983,23324,1051,665,11009,-1065,146626,42211,188893,34325,25558,-182,179,8769,154568,0,129965,-20596,0,21692,283,23224,0,10685,23534244,4522073
1991:Q4,573993,158384,33373,24135,1118,766,8419,-1064,205261,80250,412474,23462,18167,-45,-213,5553,389012,0,361758,-34345,0,28310,595,32679,-95,3135,24108237,4590565
1992:Q1,8649,200899,40515,27385,732,776,12691,-1069,180715,20331,-97531,26398,23936,573,-178,2066,-123928,0,-76349,-23117,0,-8090,-170,-16202,0,-94720,24116886,4708396
1992:Q2,118939,89881,42523,28884,901,777,13029,-1067,91461,44103,-11900,21376,13263,-20,145,7989,-33275,-0,-29573,-14003,0,11946,-32,-1614,-0,40958,24235825,4784123
1992:Q3,383605,182974,44238,29184,860,718,14541,-1065,206594,67858,174271,88720,84367,230,161,3962,85551,-1,57926,1317,0,12126,226,13958,0,26360,24619430,4835461
1992:Q4,600951,143788,47979,31516,747,636,16144,-1063,169076,73267,413388,50171,44060,51,462,5600,363217,2,330383,-13519,0,11682,496,34378,-67,43774,25220380,4890790
1993:Q1,336330,139702,45979,31504,473,481,14585,-1064,101804,8081,185093,-15821,-14281,101,-203,-1439,200914,-4,129796,21113,0,27810,382,21817,-0,11535,25556710,4938702
1993:Q2,289766,113435,49575,31154,503,442,18543,-1068,132241,68380,174067,89058,77630,12,128,11289,85008,2,24798,27197,0,27823,119,5069,-0,2264,25846476,4987377
1993:Q3,431915,130665,53585,34640,518,431,19071,-1075,164098,87019,300258,95896,85521,-47,-128,10550,204362,-6,109092,37055,0,33310,438,24472,0,992,26278390,5013209
1993:Q4,452514,118651,58646,37295,532,338,21567,-1086,151857,91851,314703,91958,76521,183,640,14614,222745,3,176258,26369,0,5836,285,12701,56,19161,26730905,5077153
1994:Q1,148207,242914,60310,38990,563,414,21448,-1105,215486,32881,-86925,55533,52731,377,-37,2462,-142458,9,-121495,54993,0,-48553,-566,-26845,-0,-7782,26879112,5128478
1994:Q2,210155,116124,64597,42327,516,397,22481,-1123,137677,86150,89797,89407,78023,265,144,10975,390,7,-26962,51352,0,-20455,-76,-3476,0,4234,27089267,5208541
1994:Q3,394540,106087,61925,39042,458,361,23209,-1145,133940,89778,284676,87883,73777,18,397,13691,196793,3,94115,38840,0,26846,581,36408,-0,3777,27483807,5276837
1994:Q4,226178,112454,64708,38547,501,308,26523,-1171,168827,121081,100153,41985,40498,-245,633,1099,58168,4,59861,40710,0,-35533,-290,-6692,111,13572,27709985,5377530
1995:Q1,566399,167098,58835,36459,676,275,22623,-1198,139033,30769,389538,36820,22063,-113,933,13938,352717,-11,222767,25104,0,41109,1202,62546,-0,9763,28276384,5449491
1995:Q2,605163,121669,54919,33212,592,288,22038,-1211,159612,92861,474147,65934,63881,418,37,1599,408213,-16,234291,36325,0,63592,2112,71909,-0,9347,28881548,5496388
1995:Q3,458181,98327,59417,35439,500,307,24379,-1207,153330,114420,350959,-123592,-120357,57,394,-3687,474552,-1,288510,56077,0,54283,1576,74107,0,8894,29339728,5568821
1995:Q4,723186,181568,62602,37476,510,306,25496,-1187,214721,95754,478798,48357,50087,-88,-427,-1214,430441,-10,317648,45161,0,8192,802,58566,138,62819,30062914,5625106
1996:Q1,552012,218956,64594,39085,481,303,25940,-1214,212809,58447,343343,76860,69644,-383,401,7198,266483,20,158209,33019,0,17031,1059,57145,-0,-10287,30614926,5708977
1996:Q2,486843,94642,72092,44445,521,341,27963,-1177,123636,101086,363335,57159,69109,-487,126,-11590,306177,7,184841,38191,0,45853,885,36400,0,28866,31101769,5799069
1996:Q3,318277,88801,71551,43857,703,430,27704,-1143,116365,99115,227058,64227,65638,-64,-3,-1345,162831,0,50572,38396,0,25733,809,47321,-0,2418,31420047,5869286
1996:Q4,743782,175947,71809,43013,760,528,28619,-1111,204736,100598,558331,74343,80616,-205,-204,-5865,483988,28007,266802,85303,0,52824,1607,49615,82,9505,32163829,5939133
1997:Q1,308724,92291,76291,44511,948,460,31530,-1158,58477,42476,228953,84957,87145,-313,539,-2415,143997,-45474,98612,99343,0,-9776,138,1154,0,-12521,32472553,6020067
1997:Q2,1392112,92086,74182,45762,1166,599,27820,-1165,114541,96636,1300244,78982,96757,-388,512,-17899,1221262,33626,761165,74182,0,133601,4773,213914,-0,-218,33864665,6087066
1997:Q3,1033329,113963,79145,45070,1442,712,33134,-1211,156000,121182,934302,94138,104426,-376,193,-10105,840164,30000,442047,89231,0,104739,3432,170715,0,-14937,34897993,6175301
1997:Q4,629869,178220,83587,47480,1481,826,35098,-1297,191573,96940,459646,137959,146372,-793,-490,-7131,321687,28408,225031,131803,0,-34790,-271,-27616,-222,-7997,35527862,6286188
1998:Q1,1639214,188768,85924,49364,2728,639,34530,-1336,159504,56660,1424058,130206,143532,-729,-168,-12430,1293851,-5958,856743,56699,0,168593,5261,212513,0,26388,37167076,6420339
1998:Q2,719685,160754,105488,62987,2776,691,40472,-1438,195349,140082,532995,206984,220100,-567,275,-12825,326012,15660,166368,110323,0,44574,944,-11857,-0,25936,37886761,6522052
1998:Q3,-652868,191144,100030,55560,2728,762,42504,-1524,207699,116585,-869479,172691,186410,-389,152,-13483,-1042170,41987,-682659,61785,0,-185691,-6439,-271152,0,25468,37233893,6607201
1998:Q4,2075096,124954,110820,58514,2939,858,50104,-1595,161387,147252,1945158,175256,188204,-483,604,-13070,1769903,-25833,1184121,36531,0,212116,9014,354426,-473,4984,39308989,6674156
1999:Q1,312102,53867,105956,55774,3033,608,48163,-1622,36117,88207,234396,92335,113241,-225,-25,-20656,142062,-39774,111166,-39103,0,23460,1807,84495,-0,23839,39621092,6758699
1999:Q2,1120556,-122569,115042,58251,3117,719,54608,-1654,-81617,155994,1224663,216809,228004,-614,452,-11033,1007854,-59191,692742,109816,0,109530,4466,150466,0,18462,40741648,6801647
1999:Q3,-19749,-9505,119992,61756,3133,778,55988,-1662,31871,161368,-25872,282035,292792,-607,-20,-10131,-307907,-34849,-231148,195708,0,-102029,-3996,-131572,-0,15629,40721899,6887387
1999:Q4,2534806,88362,116293,59588,2895,811,54646,-1647,144685,172616,2385593,191989,205323,-58,978,-14255,2193604,-39390,1498217,70763,0,325501,13834,324604,-0,60851,43256705,7019003
2000:Q1,1061768,155672,130862,60544,3283,623,68083,-1672,153293,128483,961890,282220,292978,93,407,-11257,679670,-4908,445097,-28042,0,135615,5500,126382,0,-55793,44318473,7199618
2000:Q2,71206,25405,124056,61108,3471,640,60505,-1669,47517,146167,30502,460497,463795,-44,461,-3716,-429994,-864,-392370,177052,0,-127903,-4359,-81531,-0,15299,44389679,7319561
2000:Q3,638663,29874,122311,60003,3526,725,59758,-1702,82673,175110,599785,404586,420626,-108,359,-16291,195200,20493,-32372,183888,0,413,296,22481,0,9003,45028342,7464027
2000:Q4,-546082,344285,123233,62375,3478,813,58339,-1772,356837,135784,-884230,356253,361566,-643,87,-4758,-1240483,51258,-880603,93084,0,-276631,-8980,-218569,0,-6137,44482260,7556664
2001:Q1,-189516,280175,121945,61672,3903,657,57544,-1830,215153,56922,-574254,625775,638911,-532,-54,-12552,-1200028,20620,-664402,31484,0,-260557,-11588,-315513,0,104562,44292744,7673477
2001:Q2,1284916,84209,119583,64316,3349,556,53284,-1922,166875,202249,1168612,328338,349526,168,-119,-21237,840274,-16116,481944,122469,0,128194,4301,119453,-0,32095,45577659,7703502
2001:Q3,-1046101,211355,118617,64756,2999,447,52415,-2000,346577,253839,-1290310,311407,331663,-57,-349,-19850,-1601717,35122,-1028924,82845,0,-306999,-14702,-368975,0,32854,44531558,7883495
2001:Q4,1501986,233790,133086,63641,3465,611,67433,-2065,230336,129631,1242610,221671,236883,-437,-282,-14493,1020940,-27102,707213,-40160,0,203759,8854,168316,-0,25585,46033544,7755899
2002:Q1,651103,142839,131331,67964,3719,662,61024,-2038,146025,134517,505456,325392,351835,327,260,-27030,180064,-23559,83306,94920,0,-45450,2140,68692,0,2808,46684646,7957569
2002:Q2,-602751,95235,131752,69630,4071,847,59280,-2075,152903,189420,-760162,269620,284553,-95,-254,-14585,-1029782,31435,-669222,77652,0,-201498,-11951,-256125,-0,62176,46081895,8080919
2002:Q3,-1111449,-51760,136571,71042,4239,934,62457,-2101,34324,222655,-1061221,310826,326892,-1439,36,-14662,-1372047,67410,-968720,106934,0,-270874,-13604,-293086,0,1532,44970446,8132548
2002:Q4,926654,258366,131390,72495,4034,858,56116,-2114,375001,248025,869020,328211,349648,-230,-492,-20716,540809,2136,221505,108425,0,74212,5166,129194,123,-200732,45897100,8220458
2003:Q1,276702,-13186,130994,75651,3812,855,52782,-2107,44707,188888,197089,329434,360290,-1314,-158,-29383,-132345,2120,-162448,147401,0,-34136,-2331,-82933,-0,92799,46173802,8285363
2003:Q2,1897979,254477,139330,77601,3981,815,59044,-2111,503169,388022,1715770,307735,330578,-843,570,-22569,1408035,37301,708348,121648,0,236110,12205,292321,0,-72268,48071781,8387901
2003:Q3,910421,135132,153091,85343,4161,870,64836,-2118,237231,255191,783447,289922,310740,-1298,530,-20051,493525,-22789,276271,88956,0,85848,4157,61052,0,-8158,48982201,8586985
2003:Q4,1912205,277482,158435,92052,4186,820,63505,-2129,357593,238546,1534974,351592,368017,53,270,-16747,1183382,-598,624700,75390,0,207913,12144,264549,-797,99749,50894407,8652611
2004:Q1,2484184,283762,160590,93146,4112,1028,64539,-2234,305794,182623,1365392,679117,684179,-647,-41,-4374,686275,20126,326387,203400,0,94983,3944,37405,0,835030,53378590,8758765
2004:Q2,895097,-31598,164619,99995,4260,887,61700,-2222,122386,318603,890234,598124,602015,512,-51,-4352,292110,-102016,76524,319958,0,-2887,661,-134,0,36461,54273687,8907978
2004:Q3,1258231,197730,168396,102669,4082,766,63055,-2176,288074,258739,1013457,710088,741092,-792,97,-30309,303369,67451,-50150,329606,0,19978,-760,-62752,0,47044,55531918,9009501
2004:Q4,2226431,233682,173889,105052,4016,624,66292,-2096,423727,363935,1928567,608352,602909,716,660,4067,1320215,7292,711821,126267,0,200976,12863,261865,-940,64182,57758350,9192274
2005:Q1,920040,131247,175421,109200,4131,823,63607,-2340,163766,207940,753327,619608,625550,634,111,-6687,133720,-32353,88874,218913,0,-78981,-3717,-58963,0,35466,58678390,9120285
2005:Q2,1527821,193751,183434,113951,3994,720,67029,-2260,339505,329188,1276173,631857,635339,-214,540,-3808,644316,26091,215221,294542,0,13162,4051,91188,0,57897,60206211,9261799
2005:Q3,1697429,72418,190364,121144,3972,617,66864,-2232,234675,352621,1758859,771238,799927,-1642,263,-27309,987621,-14643,370666,376687,0,97425,6142,151256,0,-133848,61903640,9396375
2005:Q4,1420097,287004,178476,120702,3673,400,55955,-2254,408329,299801,1087873,622968,630394,-648,822,-7600,464905,-8986,154707,204258,0,-2083,3053,112327,1587,45220,63323737,9556135
2006:Q1,2001109,238930,187272,121044,4461,548,63608,-2389,371808,320150,1399892,15377,24486,-590,547,-9067,1384515,-30815,968243,122672,0,154094,7351,162504,317,362287,65324846,9783857
2006:Q2,266249,57589,173378,111351,4429,584,59463,-2449,259731,375520,140669,343736,355552,-696,-76,-11044,-203068,-32327,-244013,211845,0,-60830,-3642,-73739,-291,67991,65591095,9906545
2006:Q3,1141431,60680,163690,101775,4393,699,59392,-2570,221572,324582,1092085,230145,239849,587,54,-10344,861940,57081,336198,209337,0,129480,6412,123395,-89,-11334,66732526,9992331
2006:Q4,1493977,139937,153249,92082,4363,823,58732,-2751,261521,274833,1328997,34526,52549,395,333,-18751,1294471,-7917,722583,141868,0,200292,12038,225311,66,25044,68226503,10097401
2007:Q1,931506,227242,147040,84341,4587,702,60079,-2669,266647,186445,536591,-281944,-269556,529,790,-13706,818534,-6784,615463,78584,0,71878,2398,57367,-416,167673,69158009,10267698
2007:Q2,718429,-174970,136702,75297,4539,678,58997,-2808,-6725,304947,815713,-107154,-96369,463,759,-12008,922867,-42477,409926,131436,0,208528,9896,205125,253,77686,69876438,10406081
2007:Q3,810418,644960,126542,66362,4554,730,57767,-2871,760250,241832,128691,-221739,-199861,-1077,645,-21446,350430,5609,111501,47479,0,88932,5696,90587,528,36767,70686856,10482565
2007:Q4,-807416,536346,112158,52902,4678,949,56488,-2859,632974,208787,-1345478,-417289,-406100,-1657,109,-9641,-928189,-112612,-406025,-140657,0,-133524,-6512,-128317,-434,1716,69879440,10602170
2008:Q1,-2188599,384487,91919,40250,5681,1373,47404,-2788,446644,154076,-2651434,-895796,-896224,-1796,1038,1186,-1755638,-44864,-647035,-353181,0,-335993,-18517,-356467,727,78348,67690841,10733994
2008:Q2,-1083993,95844,80279,34537,5771,1661,41026,-2716,-1341,-16906,-1153757,-578818,-561741,-2014,599,-15662,-574938,-25239,-410258,-33602,0,-40300,-3456,-61470,-552,-26081,66606848,11061837
2008:Q3,-2445579,389671,64084,29382,5888,1848,29628,-2662,494304,168716,-2860475,-629358,-629620,630,269,-637,-2231117,-167571,-918236,-198819,0,-492206,-22590,-431155,-131,25224,64161268,10964447
2008:Q4,-3151076,545744,33936,22168,5062,2108,7223,-2626,281165,-230643,-3664928,-649942,-634494,4233,-972,-18709,-3014986,20843,-1276613,-345502,0,-685707,-35229,-691988,-98,-31892,61010192,10912439
2009:Q1,-1849876,335563,21183,11850,3690,1482,6795,-2634,270936,-43444,-2499019,-686261,-665997,1182,-460,-20986,-1812759,19466,-1052182,-365825,0,-185711,-9338,-218876,-98,313581,59160317,10830420
2009:Q2,388469,-25025,14339,6221,3817,2080,4832,-2610,-14000,25364,456058,-759860,-750647,-333,-508,-8373,1215918,119170,840335,-526738,0,384252,18403,380110,-134,-42564,59548786,10946227
2009:Q3,1769493,118760,25909,7455,4451,2382,14204,-2582,151809,58958,1629553,-389734,-356323,-1633,-327,-31452,2019287,213237,1046827,-133025,0,433991,21622,436830,-676,21180,61318280,10888261
2009:Q4,132432,326415,20792,6417,4646,2516,9763,-2550,362142,56519,-180260,-319784,-337475,-2371,960,19103,139524,-61991,155193,-206230,-302,117562,6448,129375,-639,-13722,61450712,10988307
2010:Q1,1216148,382701,20057,7484,3816,2190,9107,-2539,235692,-126952,690575,-82602,-60158,-3841,-167,-18437,773178,9243,404135,73250,-455,135698,6342,145542,-661,142871,62666860,11096944
2010:Q2,-533358,249094,17797,-141,4182,1806,14455,-2505,215719,-15578,-1057569,12418,46103,-1,663,-34347,-1069987,56550,-768209,284399,-307,-305271,-14389,-321998,-570,275117,62133501,11298797
2010:Q3,2060234,223986,26935,5898,4742,1784,16984,-2473,164718,-32333,1538833,-178159,-151522,1230,-337,-27530,1716992,112299,767807,106314,-144,364611,15197,350567,119,297415,64193735,11381992
2010:Q4,1682133,465923,32821,5239,4949,1940,23139,-2445,456438,23336,888716,-250539,-244935,1140,1257,-8002,1139255,-167655,763834,23897,-104,229307,12570,277988,-758,327494,65875868,11498297
2011:Q1,1115416,341694,29988,1216,5122,2120,23961,-2431,325650,13944,752552,-271744,-281050,-670,1176,8800,1024296,-23572,636433,37204,1019,173907,8431,190779,-21,21170,66991284,11711592
2011:Q2,395714,374626,31576,5334,5362,2322,20961,-2403,336616,-6434,-25843,-121427,-142447,542,629,19850,95584,92263,-8244,-2388,-73,9045,206,4738,34,46931,67386998,11803351
2011:Q3,-1897158,497481,35014,8400,6047,2373,20567,-2373,488143,25675,-2395401,-100702,-101667,-484,461,989,-2294699,100392,-1297139,52374,-62,-570870,-23236,-555740,-94,762,65489840,11921126
2011:Q4,1440982,379712,38065,7437,6190,2426,24353,-2340,366734,25086,1036329,-79114,-69250,445,19,-10328,1115443,24425,482570,92043,-7,235995,10565,269707,-23,24941,66930822,11987448
2012:Q1,1985739,282034,52307,13618,5782,2728,32491,-2310,204343,-25383,1501018,-202778,-204238,-1040,729,1771,1703796,14546,797972,38175,-6,422642,17232,412284,688,202688,68916562,12252058
2012:Q2,101852,310947,50951,15134,6007,2716,29380,-2285,273659,13663,-165460,153633,174584,-1838,218,-19331,-319093,49609,-222263,151685,-43,-146632,-6663,-145340,657,-43635,69018414,12364178
2012:Q3,1924881,370945,53618,17250,5644,2550,30445,-2270,361877,44550,1566708,255850,274680,-567,539,-18802,1310858,67552,541061,234031,0,231491,9661,227493,-591,-12771,70943295,12301844
2012:Q4,1016716,470209,62211,21363,5849,2590,34675,-2266,411024,3026,540321,202143,211051,-345,-722,-7842,338178,-18392,185620,112726,0,31693,1615,25472,-583,6186,71960011,12715043
2013:Q1,2830063,364765,73666,26644,8869,3038,37474,-2357,283389,-7710,2267820,392994,406935,-1443,-676,-11824,1874826,-33157,1198440,106224,0,274159,12469,317184,-668,197477,74790073,12254044
2013:Q2,1230363,111078,74304,30635,8146,2574,35264,-2315,84063,47289,818734,543485,575347,-1276,948,-31534,275248,-167137,178287,301545,0,-36646,-294,210,-712,300552,76020437,12353217
2013:Q3,2543411,144261,74784,31324,7600,2515,35638,-2293,145110,75633,2114314,588452,614363,-619,705,-25996,1525861,-38211,710127,299091,0,280232,10093,264341,41,284836,78563848,12447306
2013:Q4,2225005,278037,73993,30200,7688,2302,36095,-2291,390284,186241,1731398,302664,327101,-1175,1961,-25223,1428735,-23463,699965,92548,0,311098,11690,337045,-321,215570,80788853,12510375
2014:Q1,1687745,415658,72218,29369,7082,1752,36329,-2314,350833,7394,1228185,194696,230012,-1413,692,-34595,1033489,74698,765993,-2372,0,94677,4129,96222,79,43903,82476599,12714403
2014:Q2,2180708,265551,84356,33208,7405,1841,44242,-2340,266517,85322,1745746,474924,501698,-596,-412,-25766,1270821,51810,537320,233828,0,222457,8053,217156,72,169411,84657306,12931863
2014:Q3,679388,308341,89256,35313,7701,1868,46769,-2395,224729,5644,293755,400766,412246,-1016,321,-10785,-107011,36533,-195726,238087,0,-111919,-2676,-71735,467,77292,85336694,13089118
