date,FL893150005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL263150005.Q,FL893150005.Q,FL153050005.Q,FL543050005.Q,FL543151905.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
2003:Q2,11940965,1501137,4329755,2231254,3870175,8644,11940965,11904386,36489,90,2762500,223786,46226,321503,156000,1011896,1003089
2003:Q3,12107829,1525803,4384621,2256087,3932307,9011,12107829,12070095,37641,93,2877750,223152,46302,325871,153000,1063579,1065846
2003:Q4,12495562,1583813,4610729,2288994,4002649,9377,12495562,12456641,38824,97,2993000,220905,46804,338433,150000,1180000,1056858
2004:Q1,12754035,1635516,4679891,2314270,4114330,10028,12754035,12712855,41076,104,3069500,221171,46721,340429,146750,1228492,1085937
2004:Q2,12975508,1665347,4737374,2338157,4223951,10679,12975508,12932082,43316,110,3146000,222955,47604,340543,143500,1248481,1142917
2004:Q3,13169179,1707164,4757846,2362144,4330696,11329,13169179,13123513,45549,117,3222500,222520,47167,337449,140250,1264548,1210566
2004:Q4,13660030,1777609,5023528,2396167,4450747,11979,13660030,13612068,47839,123,3299000,221650,47677,348054,137000,1385000,1159619
2005:Q1,13767998,1797273,5023755,2420313,4513702,12955,13767998,13718970,48889,139,3330500,222160,47692,350332,138500,1382784,1189032
2005:Q2,14028108,1848746,5136727,2447712,4580994,13929,14028108,13977986,49967,155,3362000,223026,48814,360102,140000,1430945,1159113
2005:Q3,14321407,1882730,5294185,2477401,4652187,14904,14321407,14270187,51050,170,3393500,224606,48791,371981,141500,1510849,1095773
2005:Q4,14597277,1926029,5430482,2504258,4720630,15878,14597277,14544971,52120,186,3425000,229054,49309,381024,143000,1557000,1065613
2006:Q1,14884100,1977057,5525708,2534712,4829076,17547,14884100,14826958,56924,218,3620500,232303,49796,388708,151500,1654909,1143284
2006:Q2,14987867,1987074,5525462,2556815,4899308,19208,14987867,14925922,61694,251,3816000,236797,51033,387043,160000,1652766,1328361
2006:Q3,15271289,2035855,5650187,2586424,4977920,20903,15271289,15204454,66552,283,4011500,244500,52218,393668,168500,1734522,1418092
2006:Q4,15642621,2099284,5839115,2620823,5060757,22642,15642621,15570794,71512,315,4207000,259609,53231,406002,177000,1858000,1453158
2007:Q1,15857721,2118636,5929133,2648202,5137498,24252,15857721,15783612,73780,329,4340000,264920,54844,426000,184000,1922000,1488236
2007:Q2,16244507,2185354,6120677,2680781,5231761,25934,16244507,16167979,76185,343,4605000,271255,56332,422000,193000,2052000,1610413
2007:Q3,16489369,2217583,6227171,2707550,5309477,27588,16489369,16410494,78518,357,4775000,275224,57372,427000,207000,2119000,1689404
2007:Q4,16530555,2207899,6191356,2728055,5374147,29098,16530555,16449566,80619,370,4748000,281844,58244,425000,221000,2090000,1671912
2008:Q1,16326163,2151855,5995106,2738326,5407853,33023,16326163,16242120,83558,485,4555000,291031,60146,412000,244000,1939000,1608823
2008:Q2,16420850,2143703,6001033,2760008,5478951,37155,16420850,16333459,86790,601,4580000,297737,61717,410000,235000,1940000,1635546
2008:Q3,16173699,2104004,5755620,2768967,5504147,40961,16173699,16083419,89565,715,4225000,307879,62515,402000,253000,1693000,1506606
2008:Q4,15625895,1972909,5331571,2769448,5507445,44522,15625895,15533068,91997,830,3681000,326000,65457,377000,267000,1337000,1308543
2009:Q1,15502010,1912631,5219802,2787762,5538462,43353,15502010,15410977,90168,865,3536000,340774,69653,366000,272000,1235000,1252573
2009:Q2,16016939,1988201,5524410,2830686,5630955,42687,16016939,15926986,89054,899,3925000,351551,72010,380000,253000,1452000,1416439
2009:Q3,16573634,2074332,5859951,2874606,5722678,42067,16573634,16484685,88015,934,4325000,355435,73263,396000,237000,1677000,1586302
2009:Q4,16839184,2109872,5988219,2911255,5788658,41180,16839184,16751625,86591,968,4488000,356711,74203,404000,225000,1772000,1656086
2010:Q1,17263413,2161605,6177957,2970074,5914663,39114,17263413,17177877,84497,1039,4644000,360880,75316,412000,215000,1866000,1714804
2010:Q2,17213496,2126295,6048755,3008877,5992847,36722,17213496,17130482,81904,1110,4405000,369572,76344,407000,213000,1743000,1596084
2010:Q3,17854824,2235547,6370972,3076622,6136892,34791,17854824,17773625,80018,1181,4757000,374761,77171,428000,207000,1935000,1735068
2010:Q4,18418669,2326121,6640669,3143752,6275313,32814,18418669,18339356,78062,1251,5029000,383298,77212,445000,201000,2081000,1841490
2011:Q1,18722851,2341361,6824208,3177426,6347744,32112,18722851,18643154,78305,1392,5255000,385560,77492,457000,196000,2190000,1948948
2011:Q2,18849989,2357483,6869979,3204006,6387233,31288,18849989,18770096,78360,1533,5315000,392565,77858,460000,201000,2213000,1970577
2011:Q3,18425236,2258187,6549658,3204520,6382591,30280,18425236,18345495,78067,1674,4910000,404346,78275,444000,211000,1939000,1833379
2011:Q4,18817351,2326682,6774072,3243639,6443466,29492,18817351,18737311,78225,1815,5153000,403637,78442,456000,210000,2058000,1946921
2012:Q1,19389760,2468034,7092573,3283920,6515875,29358,19389760,19308252,79450,2058,5550000,406705,79251,484000,202000,2271000,2107044
2012:Q2,19347664,2420100,7047820,3304789,6545733,29222,19347664,19264818,80543,2303,5450000,413456,79839,474000,204000,2218000,2060705
2012:Q3,19702725,2491266,7239745,3339276,6603351,29087,19702725,19618483,81696,2546,5700000,420034,80295,487000,208000,2341000,2163671
2012:Q4,19860882,2522135,7295765,3366820,6647211,28951,19860882,19775271,82822,2789,5785000,428019,79852,492000,215000,2375000,2195129
2013:Q1,20575832,2608743,7642868,3404070,6891513,28638,20575832,20488967,84285,2580,6123000,424160,79886,512000,210000,2556000,2340954
2013:Q2,20979197,2621024,7781943,3431906,7116000,28324,20979197,20891086,85740,2371,6189000,433769,79912,514000,225000,2573000,2363319
2013:Q3,21653269,2704842,8092184,3470615,7357619,28009,21653269,21563909,87198,2162,6487000,434354,79887,528000,232000,2722000,2490759
2013:Q4,22413553,2800929,8457092,3524941,7602896,27695,22413553,22322944,88657,1952,6819000,428524,79192,546000,228000,2904000,2633284
2014:Q1,22624614,2835381,8533963,3544322,7684954,25994,22624614,22535098,86872,2644,6961000,420894,78884,555000,224000,2972000,2710222
2014:Q2,22949493,2891162,8693336,3568811,7771891,24293,22949493,22861071,85088,3334,7215000,419159,78496,565000,220000,3102000,2830345
2014:Q3,22989301,2876188,8656320,3587882,7846320,22591,22989301,22901975,83300,4026,7182000,423016,78136,562000,222000,3061000,2835848
2014:Q4,23240194,2920139,8756420,3612482,7930263,20890,23240194,23153962,81516,4716,7292000,428164,77619,570000,218000,3111000,2887217
2015:Q1,23457816,2949440,8840982,3642517,8003890,20987,23457816,23370792,82810,4214,7400000,422865,77408,575000,211000,3207000,2906727
2015:Q2,23545961,2963305,8825922,3665281,8070368,21085,23545961,23458149,84100,3712,7380000,428027,77342,578000,213000,3220000,2863631
2015:Q3,23245391,2890850,8548904,3669231,8115224,21182,23245391,23156801,85380,3210,7165000,442311,77354,566000,221000,3002000,2856335
2015:Q4,23574214,2962504,8685998,3709285,8195149,21278,23574214,23484834,86673,2707,7477000,445825,77293,578000,214000,3091000,3070882
2016:Q1,23769183,2981730,8777398,3729304,8260960,19791,23769183,23680278,85891,3014,7610000,453936,77803,586000,227000,3103000,3162261
2016:Q2,24012161,3030534,8883287,3751505,8328531,18304,24012161,23923728,85112,3321,7770000,459250,78456,596000,227000,3163000,3246294
2016:Q3,24351278,3091693,9060032,3782689,8400047,16817,24351278,24263319,84331,3628,7950000,474913,79160,606000,235000,3271000,3283927
2016:Q4,24459597,3057504,9110052,3808387,8468324,15330,24459597,24372115,83548,3934,8015000,482313,78866,603000,244000,3271000,3335821
2017:Q1,24920193,3132530,9382551,3840717,8548175,16220,24920193,24830651,85505,4037,8415000,477144,78932,620000,243000,3440000,3555924
2017:Q2,25255574,3176755,9569994,3867091,8624625,17109,25255574,25163973,87461,4140,8680000,470262,79083,628000,236000,3546000,3720655
2017:Q3,25639185,3222444,9799445,3897367,8701931,17998,25639185,25545526,89416,4243,8980000,469535,79040,637000,240000,3666000,3888425
2017:Q4,26069640,3279863,10056666,3925485,8788739,18887,26069640,25973923,91372,4345,9439000,469227,78424,647000,240000,3824000,4180349
2018:Q1,26130695,3280230,10023591,3950901,8842417,33556,26130695,26007190,116406,7099,9395000,468510,78108,635000,232000,3821000,4160382
2018:Q2,26393065,3318407,10127913,3992034,8906480,48231,26393065,26241757,141455,9853,9540000,466156,78227,642000,234000,3869000,4250617
2018:Q3,26810051,3372682,10354106,4040397,8979950,62916,26810051,26630911,166534,12606,9910000,469639,78406,652000,240000,4009000,4460955
2018:Q4,26057187,3234710,9732357,4013354,8999251,77515,26057187,25850451,191376,15360,9135000,490190,78264,626000,265000,3535000,4140546
2019:Q1,26979961,3380019,10335960,4082734,9102865,78383,26979961,26770908,193535,15518,9948000,464487,79401,654000,266000,3908000,4576112
2019:Q2,27420756,3449114,10583123,4126361,9182964,79194,27420756,27209539,195541,15676,10267000,464508,80212,667000,279000,4032000,4744280
2019:Q3,27655985,3487618,10675513,4158525,9254349,79980,27655985,27442672,197479,15834,10396000,437517,81253,675000,300000,4034000,4868230
2019:Q4,28290901,3566926,11097388,4201265,9344512,80810,28290901,28075372,199537,15992,10949000,476457,81737,690000,314000,4286000,5100806
2020:Q1,27036503,3339268,10099403,4142915,9362506,92411,27036503,26801882,222036,12585,9700000,524108,82716,646000,369000,3521000,4557176
2020:Q2,28317522,3544594,10968617,4240891,9459167,104253,28317522,28063117,245225,9180,11050000,559587,83576,685000,378000,4093000,5250837
2020:Q3,28968262,3654440,11366370,4294734,9536692,116026,28968262,28694266,268223,5773,11700000,548952,84391,707000,392000,4343000,5624657
2020:Q4,30085889,3876946,12079060,4375529,9626552,127802,30085889,29792246,291277,2366,12661000,600654,84625,750000,391000,4840000,5994721
2021:Q1,30492140,3888198,12342068,4423104,9700374,138396,30492140,30176749,313432,1959,13000000,558808,85074,752000,380000,5046000,6178118
2021:Q2,31238951,4010636,12813712,4483483,9782126,148994,31238951,30901740,335658,1553,13725000,581877,85032,775000,366000,5377000,6540091
2021:Q3,31313899,4025181,12783640,4498865,9846626,159587,31313899,30954975,357778,1146,13740000,553387,84745,779000,366000,5366000,6590868
2021:Q4,31955167,4107692,13203120,4547735,9926440,170180,31955167,31574474,379954,739,14563000,592229,83939,795000,368000,5613000,7110832
2022:Q1,31008412,3972119,12582903,4551278,9710353,191759,31008412,30601554,405989,869,14000000,578379,84061,769000,384000,5239000,6945560
2022:Q2,29334949,3743437,11406860,4494238,9477078,213336,29334949,28901987,431963,999,12550000,635945,83968,725000,407000,4499000,6199087
2022:Q3,28615877,3698860,10936652,4480932,9264518,234915,28615877,28156719,458029,1129,12100000,572649,83787,716000,420000,4231000,6076564
2022:Q4,28851666,3810335,11201769,4510882,9072182,256498,28851666,28366207,484200,1259,12900000,560093,83009,738000,440000,4435000,6643898
2023:Q1,29542389,3951170,11609799,4560317,9148645,272458,29542389,29034198,506923,1268,13600000,470962,83478,765000,466000,4650000,7164560
2023:Q2,30178892,4064729,11990414,4611292,9224040,288417,30178892,29647985,529628,1279,14220000,482605,84300,787000,500000,4838000,7528095
2023:Q3,29956611,4001382,11756376,4612201,9282281,304371,29956611,29403059,552264,1288,13715000,427926,84942,776000,533000,4678000,7215132
2023:Q4,31024898,4147271,12501257,4691783,9364255,320332,31024898,30448597,575004,1297,15000000,458246,85397,804000,563000,5078000,8011357
2024:Q1,31879023,4287955,13049230,4757446,9435417,348975,31879023,31269964,607454,1605,15830000,413066,86202,825000,578000,5411000,8516732
2024:Q2,32194264,4343035,13188497,4789509,9495607,377616,32194264,31552483,639868,1913,16185000,438206,86793,829000,603000,5477000,8751001
2024:Q3,32938021,4463463,13655472,4848297,9564532,406257,32938021,32263489,672312,2220,17030000,413245,87432,846000,630000,5761000,9292323
2024:Q4,33037542,4475102,13635358,4871830,9620356,434896,33037542,32330308,704706,2528,17000000,461714,87391,841000,659000,5685000,9265895
2025:Q1,32824018,4456275,13373468,4861696,9672850,459729,32824018,32087392,734055,2571,ND,ND,ND,ND,ND,ND,ND
