1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,34704,24529,9135,950,0,880,70,-11,100,34704,13406,8126,3174,5185,4417,405,4,135,133,1,0,1,26,16,1,1,0,0,83,1,138,7241
1952:Q1,9136,5856,2962,311,0,292,19,-14,22,9136,3178,2236,614,2199,831,78,1,21,21,0,0,0,4,4,0,0,0,0,27,-1,23,1563
1952:Q2,9700,6383,2950,360,0,330,30,-14,21,9700,3265,2382,578,2170,1227,79,1,21,21,0,0,0,5,4,0,0,0,0,27,-1,23,1466
1952:Q3,9150,6647,2089,408,0,369,40,-14,21,9150,3239,1879,310,2274,1393,55,1,13,13,-0,0,-0,2,2,0,-0,0,0,24,-3,17,1062
1952:Q4,9789,6715,2603,465,0,417,48,-14,21,9789,3426,2285,544,2314,1150,71,1,18,18,0,0,0,4,3,0,-0,0,0,26,-2,21,1912
1953:Q1,10050,6530,3022,477,0,422,54,-6,28,10050,3479,2518,655,2440,834,124,2,56,54,1,0,1,6,2,1,0,0,0,9,2,47,2524
1953:Q2,10687,7011,3138,517,0,453,64,-6,28,10687,3492,2534,698,2515,1323,126,2,57,55,1,0,1,5,2,1,0,0,0,9,2,48,2324
1953:Q3,10865,7102,3196,546,0,484,61,-6,27,10865,3363,2629,757,2405,1580,132,2,59,57,1,0,1,6,3,0,0,0,0,10,2,50,2117
1953:Q4,10041,6897,2562,561,0,503,58,-6,28,10041,3298,2479,712,2062,1365,125,2,56,54,1,0,1,5,2,0,0,0,0,9,2,49,1856
1954:Q1,9310,6537,2156,549,0,492,57,70,-2,9310,3379,2330,497,1912,1071,122,1,45,44,1,0,1,7,4,0,0,0,0,10,1,54,1439
1954:Q2,9833,7308,1906,551,0,496,55,70,-2,9833,3640,2222,538,1660,1656,118,1,43,42,1,0,1,6,4,0,0,0,0,10,1,53,1454
1954:Q3,10238,7954,1659,557,0,493,64,70,-1,10238,3945,2239,673,1284,1976,121,1,45,43,1,0,1,7,4,0,0,0,0,11,1,53,1405
1954:Q4,10043,7884,1526,565,0,492,73,70,-2,10043,4218,2120,771,1185,1631,119,1,44,43,1,0,1,7,4,0,0,0,0,10,1,52,1842
1955:Q1,9904,7874,1374,555,0,455,100,111,-9,9904,4609,2133,829,941,1226,166,1,66,63,1,0,1,11,7,1,0,0,0,16,3,62,2251
1955:Q2,11169,8587,1874,607,0,499,109,111,-10,11169,4724,2397,1078,935,1849,186,1,73,70,2,0,2,13,8,1,0,0,0,19,4,67,2682
1955:Q3,11739,8918,2051,669,0,559,110,111,-10,11739,4640,2767,1181,816,2130,206,1,81,77,2,0,2,14,9,1,0,0,0,22,5,73,2967
1955:Q4,11423,8417,2141,763,0,658,105,111,-10,11423,4397,3169,1077,784,1779,218,2,85,82,2,0,2,15,9,1,0,0,0,23,5,78,2561
1956:Q1,10764,7968,1868,843,0,756,88,86,-1,10764,4244,3279,928,766,1350,197,2,46,44,1,0,1,16,13,1,0,0,0,14,0,106,1577
1956:Q2,11671,8816,1825,945,0,868,77,86,-1,11671,4282,3514,776,861,2039,201,3,46,44,1,0,1,16,13,1,0,0,0,13,0,109,1501
1956:Q3,12348,9251,1988,1025,0,946,79,86,-1,12348,4177,3755,702,1122,2384,209,3,48,46,1,0,1,17,13,1,0,0,0,14,0,113,1375
1956:Q4,11972,8755,2048,1084,0,997,87,86,-1,11972,4069,3754,635,1327,1981,208,3,48,46,1,0,1,17,13,1,0,0,0,14,-0,113,1619
1957:Q1,11350,8081,2160,1043,0,955,88,67,-2,11350,3926,3801,697,1226,1506,194,4,71,68,1,0,2,14,11,1,0,0,0,12,1,82,2126
1957:Q2,11694,8646,1917,1066,0,967,99,67,-2,11694,3806,3726,616,1072,2284,190,4,69,66,1,0,2,13,11,1,0,0,0,11,1,81,1875
1957:Q3,12441,9062,2236,1080,0,973,107,67,-3,12441,3764,3818,693,1295,2678,193,4,72,68,1,0,2,13,11,1,0,0,0,11,1,82,1620
1957:Q4,11555,8498,1925,1068,0,969,99,67,-3,11555,3711,3442,717,1269,2237,179,4,66,63,1,0,1,12,10,1,0,0,0,10,0,77,1461
1958:Q1,9640,7669,1011,1020,0,936,84,-59,-1,9640,3388,2436,688,1244,1721,164,2,63,60,1,0,2,8,8,0,-0,0,0,14,-3,72,456
1958:Q2,10005,8274,775,1014,0,925,89,-59,0,10005,3343,1981,697,1293,2551,141,2,55,53,1,0,1,6,6,0,-0,0,0,11,-4,65,87
1958:Q3,10608,8995,640,1033,0,942,90,-59,-1,10608,3613,1774,790,1381,2919,132,2,51,50,1,0,1,6,6,0,-0,-0,0,10,-4,61,278
1958:Q4,11228,9190,1020,1078,0,965,113,-59,-1,11228,4094,1999,1022,1597,2375,142,2,56,53,1,0,1,7,7,0,-0,-0,0,12,-4,64,557
1959:Q1,11895,9113,1618,1062,2,932,129,103,-2,11895,4720,2348,1054,1855,1770,148,2,43,41,1,0,1,15,13,1,0,0,0,17,-1,58,1646
1959:Q2,13404,10396,1810,1096,1,958,138,103,-1,13404,4935,2563,1205,1912,2629,161,2,49,46,1,0,2,16,14,1,0,0,0,19,-1,63,1871
1959:Q3,14036,10715,2125,1094,3,962,129,103,-1,14036,4836,2805,1229,2008,2981,178,2,54,51,1,0,2,18,15,1,0,0,0,21,0,68,1979
1959:Q4,12837,9623,2004,1109,7,986,115,103,-1,12837,4648,2836,1093,1706,2376,179,2,54,51,1,0,2,19,16,1,0,0,0,21,0,68,1395
1960:Q1,12796,9376,2235,1070,17,998,55,118,-2,12796,4898,3284,988,1647,1754,226,2,82,79,2,0,2,13,12,1,-0,0,0,18,3,95,1399
1960:Q2,13078,9703,2135,1125,31,1061,33,118,-3,13078,4399,3381,940,1567,2549,243,2,92,88,2,0,2,14,13,1,-0,0,0,19,4,98,1544
1960:Q3,13114,9860,1927,1212,39,1089,85,118,-2,13114,4162,3143,882,1802,2891,236,2,91,87,2,0,2,14,13,1,-0,0,0,17,4,96,1331
1960:Q4,12360,9490,1493,1261,44,1104,113,118,-1,12360,4098,3022,911,1714,2387,228,2,85,82,1,0,2,12,12,1,-0,0,0,16,3,98,978
1961:Q1,11915,8966,1609,1254,33,1084,138,86,-1,11915,4012,2797,931,2108,1856,210,1,79,76,1,0,2,13,12,1,-0,-0,0,-6,4,108,364
1961:Q2,13040,9805,1807,1343,32,1141,170,86,-1,13040,3998,2932,1048,2060,2786,215,1,83,80,1,0,2,13,13,1,-0,-0,0,-6,5,107,604
1961:Q3,13956,10467,2004,1400,33,1187,180,86,-1,13956,4217,2945,1187,2182,3206,220,1,88,84,1,0,2,13,13,1,-0,-0,0,-6,5,107,833
1961:Q4,13993,10105,2371,1431,38,1228,166,86,-1,13993,4360,3165,1350,2261,2616,241,1,103,99,2,0,2,14,14,1,-0,-0,0,-5,6,109,1248
1962:Q1,13683,9549,2726,1366,30,1212,124,46,-3,13683,4427,3272,1459,2304,1959,262,1,115,110,2,0,3,11,11,1,-0,1,0,11,7,106,1477
1962:Q2,15096,10936,2701,1418,33,1275,110,46,-4,15096,4561,3487,1609,2277,2882,280,1,124,119,2,0,3,12,12,1,-0,1,0,12,7,112,1713
1962:Q3,15766,11419,2834,1472,38,1330,104,46,-4,15766,4500,3539,1663,2450,3337,279,1,119,113,2,0,3,12,12,1,-0,1,0,12,8,115,1733
1962:Q4,14830,10641,2575,1571,49,1407,115,46,-3,14830,4414,3416,1662,2299,2783,257,1,101,96,2,0,3,13,12,1,-0,1,0,11,8,111,2073
1963:Q1,14053,9999,2310,1661,46,1488,127,84,-0,14053,4553,3384,1746,1954,2189,228,0,106,102,2,0,2,8,7,1,0,-0,0,-11,9,108,2130
1963:Q2,16092,11938,2262,1808,66,1592,151,84,1,16092,4910,3652,1960,2033,3306,231,0,96,92,2,0,3,10,9,1,0,-0,0,-11,10,117,2319
1963:Q3,17252,12598,2637,1935,112,1677,147,84,-0,17252,4922,3885,2052,2366,3779,248,0,107,103,2,0,2,11,10,1,0,-0,0,-11,11,120,2362
1963:Q4,16688,11786,2855,1965,98,1725,142,84,-0,16688,5124,4131,2194,1962,2990,287,0,136,131,2,0,3,12,11,1,0,-0,0,-10,12,126,2456
1964:Q1,16534,11576,3002,1903,84,1727,92,51,2,16534,5404,4282,2324,2006,2177,340,0,119,113,2,0,4,29,24,1,0,1,0,25,17,125,2816
1964:Q2,17965,12950,3040,1923,82,1759,81,51,1,17965,5159,4499,2275,1996,3649,388,0,158,151,3,0,4,29,24,1,0,1,0,26,18,131,2995
1964:Q3,18837,13645,3191,1950,79,1785,87,51,1,18837,5087,4782,2268,2010,4266,424,0,187,180,3,0,4,30,24,1,-0,1,0,28,18,136,3284
1964:Q4,17997,12641,3329,1975,75,1806,94,51,1,17997,5138,4989,2253,1902,3272,443,0,202,195,3,0,4,31,25,1,-0,1,0,28,19,138,2660
1965:Q1,17798,11904,3806,2020,58,1835,127,69,-1,17798,5256,5736,2349,1648,2333,477,1,201,194,3,1,4,34,29,2,0,1,0,43,24,144,3923
1965:Q2,19793,13948,3670,2109,82,1879,148,69,-2,19793,5358,6172,2383,1593,3801,487,1,193,187,3,1,4,36,31,2,0,1,0,45,25,155,3686
1965:Q3,21408,14910,4222,2210,101,1938,171,69,-2,21408,5397,6646,2416,1765,4693,491,1,183,176,3,1,4,39,33,1,0,1,0,47,27,161,3956
1965:Q4,21257,14474,4383,2333,121,2030,182,69,-2,21257,5427,7263,2482,1679,3911,497,1,163,156,3,1,4,42,37,1,0,1,0,49,29,174,4361
1966:Q1,21300,13612,5061,2444,114,2119,212,182,-0,21300,5452,7851,2548,2110,2847,492,1,203,197,3,1,4,32,25,2,0,1,0,46,19,164,5009
1966:Q2,22462,14546,5190,2546,137,2194,215,182,-1,22462,5108,8164,2436,1963,4309,484,1,186,179,3,1,4,34,27,2,0,1,0,48,20,167,4144
1966:Q3,23306,14977,5522,2625,163,2255,207,182,-0,23306,4812,8276,2294,2478,4968,479,1,175,169,2,1,4,35,27,2,0,1,0,47,20,170,4467
1966:Q4,21742,13126,5760,2675,188,2288,199,182,-0,21742,4260,8205,2045,2489,4264,480,1,178,171,3,1,4,36,28,2,0,1,0,47,21,167,4234
1967:Q1,19860,11878,5166,2616,156,2281,179,201,-0,19860,4082,7737,1827,2504,3233,477,2,116,110,3,1,4,42,32,2,0,1,0,97,25,160,3693
1967:Q2,21683,13967,4932,2584,151,2278,155,201,-1,21683,4717,7546,1910,2180,4832,499,2,147,140,3,1,4,41,32,2,1,1,0,97,25,153,4307
1967:Q3,22760,15036,4937,2587,140,2280,168,201,-1,22760,5010,7384,1941,2530,5365,531,2,190,184,3,1,3,39,30,1,-0,1,0,95,24,149,4072
1967:Q4,22644,14773,5059,2611,142,2281,188,201,-0,22644,5430,7678,2138,2268,4525,605,2,256,249,3,1,3,40,31,2,0,1,0,98,24,152,3931
1968:Q1,22013,14096,5110,2575,120,2269,187,235,-2,22013,5448,8120,2293,1919,3531,704,2,200,190,4,1,5,41,32,3,1,1,0,208,41,175,4831
1968:Q2,23496,16042,4590,2632,131,2287,213,235,-2,23496,5500,7769,2339,1860,5298,731,2,241,233,4,1,5,40,31,3,1,1,0,205,40,168,5004
1968:Q3,24202,16618,4705,2648,144,2293,210,235,-3,24202,5494,7885,2471,1700,5891,762,2,270,261,4,1,5,40,32,2,0,1,0,208,41,167,5695
1968:Q4,24045,16276,4886,2651,157,2297,197,235,-3,24045,5779,8388,2792,1485,4808,793,2,277,267,4,1,5,43,33,2,0,1,0,217,43,176,5338
1969:Q1,24343,15859,5696,2565,149,2248,168,232,-8,24343,6075,8731,3117,1810,3825,786,2,350,339,4,1,6,42,31,3,1,1,0,112,48,197,5316
1969:Q2,25305,17480,5037,2565,189,2224,152,232,-9,25305,5979,8807,3239,1176,5340,764,2,319,308,4,1,6,44,32,4,1,1,0,113,50,201,5048
1969:Q3,26130,18073,5317,2516,243,2177,97,232,-8,26130,5867,9183,3384,1274,5656,765,2,294,284,4,1,6,47,34,3,0,1,0,117,53,214,4707
1969:Q4,23260,15969,4629,2439,291,2081,67,232,-8,23260,5321,8976,3223,649,4352,740,2,267,256,4,1,6,47,35,3,0,1,0,116,55,214,4431
1970:Q1,22182,14847,4739,2188,281,1884,24,412,-4,22182,5224,8700,3208,951,3380,718,3,229,220,3,1,5,54,41,3,1,2,0,96,65,226,3872
1970:Q2,22834,16044,4374,2009,303,1728,-23,412,-4,22834,4950,8529,3116,766,4747,726,3,233,225,3,0,4,55,41,3,1,2,0,95,66,227,3964
1970:Q3,23595,17141,4192,1854,295,1613,-53,412,-4,23595,5088,8337,3186,515,5715,755,3,270,262,3,1,4,54,41,3,1,2,0,95,65,223,3924
1970:Q4,22403,16982,3338,1674,263,1484,-72,412,-4,22403,5770,7389,3343,595,4548,758,3,312,305,3,1,4,48,37,3,0,2,0,87,60,208,2504
1971:Q1,21551,16817,2679,1572,197,1423,-49,485,-1,21551,6399,7431,3602,-271,3538,853,8,342,329,4,1,8,49,41,4,1,2,0,55,69,284,4539
1971:Q2,24538,19745,2766,1542,210,1391,-59,485,-0,24538,7433,7605,4038,-355,4899,917,8,395,382,5,1,8,51,42,4,1,1,0,56,72,290,4742
1971:Q3,26097,21242,2823,1548,225,1373,-49,485,-1,26097,8034,7571,4229,-80,5415,928,8,401,388,4,1,7,51,43,4,1,1,0,55,73,292,4945
1971:Q4,25965,21171,2684,1627,255,1399,-26,485,-2,25965,8578,7940,4451,-559,4631,924,9,379,366,5,1,8,54,45,4,1,2,0,56,77,300,5637
1972:Q1,27270,21330,3757,1762,238,1481,42,428,-7,27270,9466,8836,4873,-287,3475,907,5,377,367,4,1,7,37,32,4,0,2,0,35,74,343,5879
1972:Q2,29509,22851,4413,1824,251,1510,63,428,-7,29509,9704,9152,4967,232,4566,888,5,350,338,4,1,7,37,32,4,0,2,0,36,75,348,6181
1972:Q3,29907,23769,3949,1768,259,1470,39,428,-7,29907,9903,9301,5051,-558,5312,898,5,353,342,4,1,7,38,33,4,0,2,0,36,77,351,6570
1972:Q4,32032,24433,5407,1770,244,1520,6,428,-6,32032,10780,10227,5586,-241,4675,1005,6,429,417,5,1,7,40,34,4,0,2,0,41,80,369,7467
1973:Q1,33746,24427,7139,1850,247,1579,24,376,-47,33746,11442,10998,6056,378,3718,1155,7,436,417,7,1,11,63,59,4,0,4,0,125,87,371,9237
1973:Q2,35333,25402,7780,1820,270,1557,-7,376,-46,35333,11021,11880,6026,164,4928,1313,7,548,527,7,1,12,67,63,4,0,4,0,134,93,395,8506
1973:Q3,35401,26129,7215,1728,295,1474,-42,376,-46,35401,10752,12239,5868,-520,5633,1430,7,640,618,8,2,13,69,65,5,0,4,0,136,95,409,7734
1973:Q4,33525,24499,7030,1665,325,1406,-66,376,-45,33525,10141,12315,5410,-725,4870,1514,7,724,703,7,1,13,70,66,5,0,4,0,135,97,408,6574
1974:Q1,31942,22557,7379,1681,308,1333,40,339,-14,31942,9281,12383,4757,-199,4131,1590,8,650,622,9,2,17,83,79,2,0,6,0,197,84,481,5632
1974:Q2,33872,24417,7521,1608,314,1279,16,339,-13,33872,8934,12662,4281,183,6127,1685,8,734,705,9,2,17,84,80,2,0,5,0,200,84,489,6051
1974:Q3,34085,24074,8199,1485,365,1143,-22,339,-13,34085,8907,12754,3897,109,6648,1771,8,809,780,10,2,17,86,82,2,1,6,0,204,87,487,6521
1974:Q4,29909,20703,7521,1359,431,1006,-78,339,-14,29909,7550,12127,3002,190,5241,1799,8,833,805,10,2,17,88,85,2,1,6,0,201,90,488,3163
1975:Q1,24197,17474,4984,1406,488,983,-66,329,5,24197,7159,9862,2306,-53,3244,1680,12,718,684,13,3,19,119,114,1,0,5,0,177,81,454,3640
1975:Q2,25425,19616,4151,1324,465,949,-90,329,5,25425,7741,8727,2050,-308,5583,1633,12,728,695,12,3,18,112,109,1,0,4,0,169,74,424,4211
1975:Q3,29789,22914,5195,1346,416,997,-68,329,5,29789,8761,8655,2089,659,7973,1652,12,769,736,12,3,18,108,105,1,0,4,0,170,69,415,5886
1975:Q4,29991,22612,5535,1510,394,1112,4,329,6,29991,9609,8960,2163,811,6774,1675,12,801,768,12,3,18,105,103,1,0,4,0,171,66,411,6851
1976:Q1,29592,21893,5339,1839,341,1315,184,511,10,29592,11066,9813,2507,715,3783,1708,11,853,814,17,3,20,98,98,1,1,2,0,178,71,397,7907
1976:Q2,33375,25319,5414,2120,386,1447,287,511,11,33375,11841,10365,2633,640,6189,1708,11,835,795,17,3,20,101,101,1,1,2,0,181,74,402,7804
1976:Q3,35677,26506,6356,2294,422,1498,375,511,11,35677,11698,11203,2618,909,7533,1716,12,815,773,18,3,21,105,105,0,0,2,0,187,77,414,8080
1976:Q4,36883,27067,6902,2393,454,1519,420,511,10,36883,14036,11891,3100,819,5343,1694,12,768,725,19,3,22,108,108,0,0,3,0,192,81,422,8692
1977:Q1,37181,25387,8576,2539,377,1657,506,692,-13,37181,15052,13485,3439,927,2562,1715,10,814,768,22,2,22,102,101,1,-0,2,0,200,93,393,9391
1977:Q2,44953,32480,9226,2568,342,1730,497,692,-12,44953,17760,14563,4120,1147,5617,1747,10,812,764,23,3,22,104,103,1,-0,2,0,210,94,412,9762
1977:Q3,47896,34842,9757,2618,299,1831,488,692,-12,47896,18117,15408,4347,1107,7102,1816,11,861,811,24,3,23,104,103,0,-1,3,0,218,94,423,10156
1977:Q4,47591,33151,11131,2630,283,1913,434,692,-13,47591,18164,16752,4685,754,5242,1993,12,991,938,25,3,25,107,106,0,-1,3,0,233,99,444,10795
1978:Q1,45384,30736,10890,2849,364,2107,379,940,-31,45384,18569,16811,4974,627,2262,2142,7,994,917,41,3,33,140,136,1,0,3,0,265,106,492,9013
1978:Q2,57295,39539,13849,2997,433,2214,350,940,-30,57295,20210,20556,6344,1136,6450,2600,9,1250,1161,48,4,38,163,158,1,0,3,0,306,124,588,12249
1978:Q3,63544,44965,14404,3267,515,2367,384,940,-31,63544,20626,22083,7241,1564,9174,2857,9,1404,1311,50,4,40,177,171,2,0,3,0,320,132,640,11214
1978:Q4,64735,44701,15588,3537,606,2470,461,940,-30,64735,20544,23586,8235,1747,7526,3098,10,1542,1444,53,4,41,191,184,1,0,3,0,337,142,688,11342
1979:Q1,61058,39226,17019,4001,638,2663,700,823,-11,61058,19513,24622,9268,1389,2984,3281,6,1307,1180,79,4,45,262,243,3,1,2,0,329,293,837,10727
1979:Q2,65339,44269,16054,4203,715,2749,739,823,-11,65339,19129,24419,9702,1575,7126,3388,6,1392,1267,77,4,45,268,249,3,1,2,0,321,297,848,9182
1979:Q3,72349,49769,17419,4348,785,2861,702,823,-11,72349,19142,26313,10232,2381,10543,3737,6,1618,1486,81,4,47,286,266,3,1,2,0,334,313,908,9969
1979:Q4,69137,48038,15837,4450,865,3038,547,823,-11,69137,18207,26378,9640,1805,9144,3963,6,1819,1689,80,4,46,294,274,3,1,2,0,324,318,924,8464
1980:Q1,64201,42441,16105,4530,808,3157,566,1144,-19,64201,16477,27445,8489,2523,4930,4338,13,1754,1562,129,5,58,291,266,4,1,2,0,391,398,1219,7685
1980:Q2,56563,39205,11804,4429,862,3175,392,1144,-18,56563,11372,24045,6012,2371,8564,4199,11,1793,1619,117,5,53,275,252,3,1,2,0,342,378,1143,1410
1980:Q3,60173,42895,11659,4494,944,3294,256,1144,-18,60173,12203,24175,6310,2424,10682,4380,12,1930,1754,119,5,54,281,258,4,1,2,0,344,389,1161,3499
1980:Q4,63012,44965,12178,4744,1026,3523,195,1144,-18,63012,14630,25095,7691,2538,8462,4597,12,2034,1852,122,5,55,295,271,4,1,2,0,353,405,1220,5122
1981:Q1,61046,41247,13152,5325,954,3655,717,1338,-16,61046,14076,26322,8815,2611,4450,4772,19,1972,1781,129,5,56,323,291,4,1,2,0,306,467,1388,6579
1981:Q2,66005,45346,13732,5604,991,3758,855,1338,-16,66005,13398,27567,9470,3221,7362,4987,19,2044,1848,133,5,58,340,307,5,1,2,0,315,484,1471,4579
1981:Q3,68291,46470,14637,5862,1079,3969,815,1338,-15,68291,11663,28889,9337,3444,9715,5244,20,2168,1964,138,6,60,356,321,5,1,2,0,326,504,1542,6101
1981:Q4,66189,45124,13451,6293,1220,4090,984,1338,-16,66189,9756,30807,8778,3626,7612,5612,21,2333,2126,141,6,61,383,345,6,2,2,0,328,524,1670,1683
1982:Q1,55967,37633,10321,6019,1186,3994,839,1984,10,55967,9045,28351,7177,3007,2855,5532,23,1898,1689,139,6,65,413,370,7,1,5,0,276,684,1857,3893
1982:Q2,55188,38811,8314,6070,1221,4082,767,1984,9,55188,8749,25144,5673,3815,6429,5379,21,1982,1789,128,5,60,388,348,6,1,4,0,231,655,1744,3906
1982:Q3,53516,38990,6303,6230,1176,4296,758,1984,9,53516,8894,22053,4423,3631,9274,5241,19,2129,1952,118,5,55,357,320,6,1,3,0,191,622,1595,3969
1982:Q4,51257,37422,5500,6340,1103,4450,788,1984,11,51257,10698,20057,3909,4118,7242,5233,18,2343,2179,109,5,51,332,298,5,1,3,0,157,589,1489,6402
1983:Q1,49611,36545,4891,6078,1027,4328,724,1974,123,49611,14724,18053,4087,4640,2900,5207,10,1391,1251,91,4,46,373,334,9,2,22,0,782,809,1476,8078
1983:Q2,57457,41487,7254,6620,1250,4541,829,1974,123,57457,17928,18366,4647,4839,6259,5418,10,1632,1491,91,4,47,368,329,8,1,22,0,807,833,1408,12085
1983:Q3,69502,49768,10194,7443,1573,4909,961,1974,123,69502,21125,21151,5777,5564,9982,5905,11,1898,1749,97,4,49,390,349,8,1,24,0,859,893,1472,14265
1983:Q4,75239,49002,15654,8487,1801,5584,1102,1974,123,75239,22899,25628,7002,6169,6973,6567,13,2215,2047,109,4,56,422,378,8,1,26,0,956,972,1577,17193
1984:Q1,75934,49048,16785,8327,1596,5568,1163,1697,78,75934,23955,27673,7858,5975,3639,6835,8,1855,1688,106,4,57,468,418,13,3,40,0,1227,1060,1745,19276
1984:Q2,86985,56827,19199,9185,1812,6117,1255,1697,77,86985,24766,31324,9033,6392,8086,7385,8,2065,1886,114,4,61,501,448,14,3,43,0,1303,1128,1873,20542
1984:Q3,93088,61757,19792,9764,2080,6400,1285,1697,78,93088,24387,33239,9739,5753,12203,7768,9,2243,2059,117,4,63,522,466,14,3,44,0,1342,1179,1946,19321
1984:Q4,93464,59211,22407,10072,2345,6474,1254,1697,77,93464,24417,34201,10497,6892,9363,8093,9,2437,2252,119,4,63,535,477,15,3,45,0,1375,1221,1978,20933
1985:Q1,89711,56595,21346,10395,2118,7245,1031,1350,26,89711,24230,33931,11094,7278,4868,8311,21,2041,1820,141,5,75,734,651,20,3,62,0,1364,1344,2072,22553
